tændt	tˢɛnˀd̥
band	b̥æːnd̥
starte	sd̥ɑːd̥ə
paris	pʰɑʁiˀs
total	tˢotˢal
hjulpne	jɔlb̥nə
flygel	flyːˀəl
flygtning	fløɡ̊d̥neŋ
udlejer	uðlɑjˀɐ
flåde	flɔðð̩
trick	tˢʁɛɡ̊
bersærk	b̥æɐ̯sæɐ̯ɡ̊
af	æːˀ
middelmådig	miðˀəlmɔːˀði
nevada	nevɛːtæ
magasin	mɑɡ̊asiːˀn
ilte	ild̥ə
ildebrand	iləb̥ʁɑnˀ
tåge	tˢɔːʊ
tager	tˢæːjɐ
talte	tˢald̥ə
tænkt	tˢɛŋˀd̥
tortere	tˢɒtˢeːˀɐ
polsk	pʰoːˀlsɡ̊
falsk	falˀsɡ̊
forsørger	fɒsɶɐ̯ˀwɐ
hinder	henˀd̥ɐ
tal	tˢæˀl
krævet	kʰʁ̥æwð̩
ligeledes	liːəleːðˠəs
nogle	noən
ode	oːðə
bueskytte	b̥uəsɡ̊ød̥ə
nominativ	nominatˢiwˀ
skarpskytte	sɡ̊ɑːb̥sɡ̊ød̥ə
chauffør	ɕoføˀɐ̯
læse	lɛːsə
egn	ɑjˀn
tugt	tˢɔɡ̊d̥
kronprins	kʰʁ̥oːˀnpʰʁ̥ɛnˀs
kok	kʰʌɡ̊
lig	liˀ
samfund	sɑmfɔnˀ
flad	flæˀð
eneste	eːnəsd̥ə
prøve	pʰʁ̥œːʋə
fiskehandler	fesɡ̊əhanˀlɐ
firsindstyve	fiɐ̯ˀsn̩stˢyːʋə
spelt	sb̥ɛlˀd̥
tigger	tˢeɡ̊ɐ
fordøje	fʌdʌjˀə
biddet	b̥iðˀð̩
oprindelse	ʌbʁænˀl̩sə
gulve	ɡ̊ɔlvə
fugl	fɑʊ̯ːl
savne	sɑwnə
sørget	sɶɐ̯wəð
nå	nɔˀ
kasserolle	kʰasəʁʌlə
væsen	vɛˀsən
sønner	sœnɐ
tyran	tˢyʁɑn
bombes	b̥ɔmb̥əs
putte	pʰud̥ə
grøn	ɡ̊ʁɶnˀ
uomgængelig	ʌmɡ̊ɛŋˀli
tvær	tˢʋ̥ɛˀɐ̯
revne	ʁæwnə
lider	liðˀɐ
pædagog	pʰɛd̥aɡ̊oˀ
sukker	sɔɡ̊ɐ
anciennitet	ɑŋɕənitˢeːˀd̥
bred	b̥ʁæð
nairobi	najʁoːb̥i
margrethe	mɑɡ̊ʁæːˀd̥ə
bytte	b̥yd̥ə
frys	fʁ̥yːˀs
hurtig	huɐ̯d̥i
arrest	aʁɑsd̥
selvisk	sɛlˀvisɡ̊
faktisk	fɑɾisɡ̊
slagen	sl̥æːjən
forbyd	fɒb̥yðˀ
behov	b̥ehʌw
eksamen	eɡ̊sæːmm̩
negl	nɑjˀl
kræsen	kʰʁ̥æːsn̩
italien	itˢæˀljən
umbra	ɔmb̥ʁɑ
bombardement	b̥ɔmb̥ɑd̥əmɑŋ
spændende	sb̥ɛnn̩nə
strøm	stχœmˀ
rense	ʁansə
tape	tˢɛjb̥ə
brædder	b̥ʁɑðɐ
hjul	juːˀl
torsdag	tˢɒˀsd̥a
koloenorm	kʰoloenɑːˀm
dyd	d̥yˀð
brod	b̥ʁʌð
kørsel	kʰøɐ̯ˀsl̩
røg	ʁʌjˀ
vind	ʋenˀ
spænde	sb̥ɛnə
cellofan	sɛlofæːˀn
brynje	b̥ʁønjə
synke	søŋɡ̊ə
uvægerlig	uʋɛɐ̯ˀli
kryddernellike	kʰʁ̥œðɐnelˀeɡ̊ə
klog	kʰlɔːˀw
ræk	ʁɑɡ̊
brite	b̥ʁid̥ə
stuve	sd̥uːu
ragelse	ʁɑːwl̩sə
kærte	kʰæɐ̯d̥ə
ejerløs	ɑjɐløːˀs
taltes	tˢæːld̥əs
bilde	b̥elə
nøddeskal	nøðəsɡ̊alˀ
græsk	ɡ̊ʁasɡ̊
palaver	pʰalæˀwɐ
lavede	læːwð̩ð̩
menneske	mɛnsɡ̊ə
menneske	mɛnn̩sɡ̊ə
legemlige	lɛːɪmlii
lakaj	lakʰɑjˀ
hyrde	hya̯d̥ə
fortrække	fʌtˢʁ̥aɡ̊ə
sendte	sɛnd̥ə
statelig	sd̥æːd̥əli
pig	pʰiɡ̊
hoved	hoːð̩
folk	fʌlˀɡ̊
pulvere	pʰɔlˀvɐɐ
irritabel	iɐ̯itˢæːˀb̥əl
besættelse	b̥esɛd̥əlsə
sørg	sɶɐ̯ˀwə
turkis	tˢyɐ̯kʰiːˀs
boykotte	b̥ʌjkʰʌd̥ə
gidet	ɡ̊iːðəd̥
tilværelse	tˢelʋaɐ̯ˀlsə
fortælle	fʌtˢɛlˀə
geværild	ɡ̊eʋɛˀɐ̯ilˀ
koldt	kʰʌlˀd̥
flakon	flakʰʌŋ
adverbium	að̠ˠʋæɐ̯ˀb̥jɔm
hjald	jalˀ
fremmede	fʁɑməðə
frikvarter	fʁɛɡ̊ʋɑtˢeɐ̯ˀ
dolk	d̥ʌlɡ̊
dagligvarer	d̥ɑwliʋɑːɑ
vækkelse	vɛɡ̊əlsə
betyde	betyˀðə
finger	feŋɡ̊eːˀɐ̯
ledestjerne	leːðəsd̥jæɐ̯nə
pincet	pʰensɛd̥
jasmin	ɕasmiːˀn
lægerne	lɛːɐnə
pjece	pʰj̊ɛːsə
pizza	pʰid̥sa
lektie	lɛɡ̊ɕə
ad	a
æ	ɛːˀ
stækket	sd̥ɛɡ̊əð
sommer	sʌmɐ
fare	fɑːɑ
kolos	kʰolʌs
palæstinensisk	pʰaləsd̥inɛnˀsisɡ̊
klient	kʰliɛnˀd̥
støber	sd̥øːb̥ɐ
talte	tˢalˀd̥ə
bådhus	b̥ɔðˠhuːˀs
muldvarpen	mulʋɑːb̥ən
altan	altˢæːˀn
sleb	slewˀ
altid	alˀtˢið
grævling	ɡ̊ʁɛwleŋ
vordede	ʋɒːd̥ð̩ð̩
gul	ɡ̊uːˀl
røræg	ʁœ̞ɐ̯ɛːˀɡ̊
tør	tˢøɐ̯ˀ
mønstre	mønsd̥ʁɐ
pålæg	pʰʌlɛˀɡ̊
burdet	b̥oɐ̯d̥əð
æts	ɛd̥s
fjor	fjoˀɐ̯
frygtsom	fʁœɡ̊d̥sʌmˀ
valgt	ʋalˀd̥
fornemme	fʌnɛmˀə
finger	feŋˀɐ
snog	snoːˀ
bunden	b̥ɔnən
kvaj	kʰʋ̥ɑj
kunnen	kʰunən
brændte	b̥ʁand̥ə
blottet	b̥lʌd̥əð
bær	b̥aɐ̯
sutte	sud̥ɘ
kim	kʰiːˀm
tage	tˢæːjə
bedrøvede	b̥ed̥ʁœðˀð̩ð̩
omkring	ʌmkʁɛ̝ŋ
ja	jæɐ̯
hjelm	jɛlˀm
smålig	smʌli
faste	fasd̥ə
rir	ʁiːˀɐ̯
bredders	b̥ʁæðɐs
omgås	ʌmɡ̊ɔˀs
kogger	kʌwˀɐ
svar	sʋ̥ɑˀ
aftener	ɑfnɐ
filippinsk	filipʰiːˀnsɡ̊
øjet	ʌðð̩
kys	kʰyːˀs
tempo	tˢɛmpʰo
fødsel	føsl̩
sygeplejerske	syːypʰl̥ɑjˀɐsɡ̊ə
kage	kʰæːæ
dysfori	dysfoʁiˀ
brise	b̥ʁiːsə
karikatur	kʰɑikʰatˢuɐ̯ˀ
givende	ɡ̊iːʊnə
bedrøvet	b̥ed̥ʁœðˀð̩
knusende	kʰnuːsənə
gris	ɡ̊ʁis
kværke	kʰvæɐ̯ɡ̊ə
afart	ɑʊ̯ɑːˀd̥
stod	sd̥oˀ
mærke	maɐ̯ɡ̊ə
bøflen	b̥øflən
brygge	b̥ʁœɡ̊ə
fluks	flɔɡ̊s
blad	b̥laːˀð
honning	hʌneŋ
troende	tˢʁ̥oːonə
svigerinde	sʋ̥iɐenə
lemmen	lɛmˀm̩
færing	fɛːɐ̯eŋ
uret	uˀɐð
band	b̥ænˀ
væd	vɛðˀ
blod	b̥loˀð
avokado	avokʰæːd̥o
kavaleri	kʰaʋləʁiˀ
ångstrøm	ʌŋsd̥ʁœmˀ
tør	tˢøˀɐ̯
dale	d̥æːlə
døm	d̥œmˀ
vente	ʋɛnd̥ə
skreven	sɡ̊ʁæwn̩
ophøre	ʌb̥høːˀɐ
ral	ʁɑlˀ
bie	b̥iːi
race	ʁɑːsə
nikke	neɡə
stedte	sd̥ɛːd̥ə
peb	pʰewˀ
søn	sœn
støje	sd̥ʌːɪ
protoindoeuropæisk	pʰʁ̥otˢoend̥oœwʁopʰɛˀisɡ̊
forulykke	fɒuløɡ̊ə
lovligt	lɒwlid̥
forliget	fʌliˀð̩
sprede	sb̥ʁæːðə
øje	ʌjə
sennep	senəb̥
aalborg	ʌlpɒːˀ
platon	pʰl̥æːtˢʌn
hittegods	hid̥əɡ̊ɔs
undtagen	ɔntˢæˀn
kysse	kʰøsə
testikel	tˢesd̥iɡ̊əl
rollespil	ʁʌləsb̥el
nørre	nɶɐ̯ɐ
frosne	fʁ̥ʌsnə
hans	hans
svær	sʋ̥ɛɐ̯ˀ
stuearrest	sd̥uːaʁɑsd̥
stryge	sd̥ʁyːə
socialdemokrati	soɕæˀld̥emokʰʁ̥ɑtˢiˀ
øreflip	øːɐfleb̥
bøffel	b̥øfəl
bredt	b̥ʁæd̥
basketballkurv	b̥ɑːsɡ̊əd̥b̥ɒːlkʰuɐ̯ˀv
fristelse	fʁɛsd̥ɭ̩sə
værge	ʋaɐ̯wə
ignorant	enjoʁɑnˀd̥
aftenerne	ɑfnɐnə
rendte	ʁɑnd̥ə
pornografi	pʰɒnoɡ̊ʁɑfiːˀ
dyse	d̥ysə
dulgte	d̥ulˀd̥ə
døv	d̥øˀʊ̯
betinge	beteŋˀə
nåede	nɔˀð̩ð̩
materiale	matˢəɐ̯iœːlə
løber	løːb̥ɐ
nyfødt	nyføˀd̥
hamborg	hɑmb̥ɒˀ
mødte	møːd̥ə
gallien	ɡ̊alˀjən
klædernes	kʰl̥ɛɐ̯nəs
sekstende	sɑɪ̯sd̥ənə
spist	sb̥iˀsd̥
badminton	b̥ad̥məntˢʌn
græd	ɡ̊ʁɑðˀ
atheniensisk	atˢeniɛnˀsisɡ̊
læg	lɛˀ
ansvar	ansʋ̥ɑˀ
al	al
båd	b̥ɔðˀ
surströmming	suɐ̯sd̥ʁɶmeŋ
ihjel	ijɛl
elleve	ɛlvə
spejlæg	sb̥ɑjlɛˀɡ̊
fjer	fjeˀɐ̯
slående	sl̥ɔːɔnə
fly	flyˀ
hittepåsom	hid̥əpʰɔˀsʌmˀ
kræs	kʰʁ̥ɛˀs
lager	læˀjɐ
hyttede	hyd̥ð̩ð̩
bedrøve	b̥ed̥ʁœwˀʊ
berette	b̥eʁad̥ə
skårne	sɡ̊ɒːnə
valsen	valˀsn̩
gemmested	ɡ̊ɛməsd̥ɛð
kødet	kʰøðˀəd̥
flyvestation	flyːʊsd̥aɕoˀn
hærgede	haɐ̯wəðə
værd	ʋɛˀɐ̯
kondom	kʰɔnd̥oːˀm
gamer	ɡ̊ɛjmʌ
brødflov	b̥ʁœðflɒwˀ
lej	lɑjˀ
geder	ɡ̊eːðɐ
udeblevne	uːðəb̥lewˀnə
reel	ʁiːl
tage	tˢæːæ
mistelten	misd̥əltˢeːˀn
svøbte	sʋøb̥d̥ə
æbletræ	ɛːb̥lətˢʁɛːˀ
stykke	sd̥øɡ̊ə
schweiz	sʋɑjˀd̥s
hin	hin
håndværker	hʌnʋaɐ̯ɡ̊ɐ
voven	ʋɔːʋn̩
fald	falˀ
manuskript	manusɡ̊ʁɛb̥d̥
sparsomt	sb̥ɑːsʌmˀd̥
breddens	b̥ʁæðˀn̩s
hittegodskontor	hid̥əɡ̊ɔskɔntˢoɐ̯ˀ
kraft	kʰʁ̥ɑfd̥
ytre	yd̥ʁɐ
anerkende	anɐkʰɛnˀə
hyle	hyːlə
ofte	ʌfd̥ə
arme	ɑmeːˀ
af	a
gilde	ɡ̊ilə
land	lanˀ
rædsel	ʁɑðˀsɭ̩
fælled	fɛlð̩
stønne	sd̥œnə
bede	b̥eðð̩
fuldkommen	fulkʰʌmˀən
kvælende	kʰʋ̥ɛːlənə
anordning	anɒˀd̥neŋ
cykle	syɡ̊lə
rumænsk	ʁumɛːˀnsɡ̊
ærkeengel	æɐ̯ɡ̊əɛŋəl
bordeaux	b̥ɒd̥o
malm	malˀm
jage	jæːɪ
styg	sd̥yɡ̊
münchen	mønˀɕən
tandpasta	tˢanpʰasd̥a
gulvet	ɡ̊ɔlˀəð
tråd	tˢʁ̥ɔðˀ
løb	løˀb̥
halvtredsindstyvende	haltˢʁ̥æsn̩stˢyːʋənə
pule	pʰuːlə
fængsel	fɛŋˀsl̩
pils	pʰiːˀls
hint	hiˀnd̥
sved	sʋeðˀ
biord	b̥ioɐ̯ˀ
accenter	ɑɡ̊sɛnˀd̥ɐ
fjendtlig	fjend̥li
eddikesur	æðɡ̊əsuɐ̯ˀ
krone	kʰʁ̥oːnə
emballage	ɛmb̥alæːɕə
krammer	kʁ̥ɑmɐ
glansbillede	ɡ̊lanˀsb̥eləðə
kul	kʰɔl
værktøj	vaɐ̯ɡ̊tˢʌj
vaskebjørn	vasɡəbjɶɐ̯ˀn
krydre	kʰʁ̥yðʁɐ
kurv	kʰuɐ̯ˀw
synlighed	syːnliheðˀ
ferie	feɐ̯ˀjə
lyserød	lysəʁœðˀ
fremmede	fʁaməðə
fremmed	fʁɑmð̩
uværdig	uʋaɐ̯d̥i
hunnen	hunˀn̩
grise	ɡ̊ʁisə
brødet	bʁœðˀð̩
alvorlig	alvɒːˀli
lykkelig	løɡ̊əli
bakke	b̥ɑɡ̊ə
belysning	b̥elyˀsneŋ
påklædning	pʰʌkʰl̥ɛðˀneŋ
dræbte	d̥ʁɑb̥d̥ə
hamstrer	hɑmsd̥ʁɐ
mælkebøtte	mɛlɡ̊əb̥ød̥ə
ur	uɐ̯ˀ
ejendom	ɑːɪnd̥ʌmˀ
værgede	ʋaɐ̯wəðə
ved	ʋeðˀ
sende	sɛnə
regne	ʁɑjnə
troet	tˢʁ̥oˀð̩
løn	lœnˀ
mangle	mɑŋlə
klapvogn	kʰlɑb̥vɔwˀn
for	foˀɐ̯
gylle	ɡ̊ylə
karnap	kanɑb̥
lut	lud̥
ekstraordinær	ɛɡ̊stˢʁ̥ɑɒd̥inɛɐ̯ˀ
amalie	amæːˀljə
retten	ʁad̥n̩
plombere	pʰl̥ɔmb̥eːˀɐ
forsoning	fʌsoˀneŋ
gavmild	ɡɑwmilˀ
drive	d̥ʁiːʊ
die	d̥iːə
rede	ʁæˀ
mord	moɐ̯ˀ
pølse	pʰølsə
skilling	sɡ̊elˀeŋ
rød	ʁœˀð
vågede	ʋɔwð̩ð̩
trævl	tˢʁ̥awˀl
have	hæˀ
levnedsmiddel	lɛwnð̩smiðˀl̩
fluorescens	fluɐɛsɛnˀs
ødipuskompleks	øˀd̥ipʰuskʰʌmpʰl̥ɛɡ̊s
indspist	ensb̥iːˀsd̥
løbet	løˀb̥əð
kun	kʰɔn
hård	hɒˀ
resurse	ʁɛsuɐ̯sə
skrækkelig	sɡ̊ʁaɡ̊əli
tænder	tˢɛnɐ
aftnen	ɑfnən
stor	sd̥oɐ̯ˀ
dræbte	d̥ʁab̥d̥ə
mage	mæːjə
hen	hɛn
talord	tˢaloɐ̯ˀ
ukrudt	ukʰʁ̥od̥
igennem	iɡ̊ɛmˀm̩
fortolkning	fʌtˢʌlˀɡ̊neŋ
laps	lɑb̥s
trompeter	tˢʁ̥ɔmpʰed̥ɐ
mave	mæːʊ
stirre	sd̥iːɐ
blive	b̥liːʊ
hundrede	hunɐðə
finger	feŋɡ̊eɐ̯ˀ
gulvenes	ɡ̊ɔlvənəs
knud	knuðˀ
byrde	b̥yɐ̯d̥ə
slagen	sl̥æːæn
øde	øðð̩
tyve	tˢyːʊ
gengælde	ɡ̊ɛnɡ̊ɛlˀə
boet	b̥oˀð̩
grisede	ɡ̊ʁisəðə
væren	ʋɛːɐn
halvfemte	halfɛmd̥ə
gymnasium	ɡ̊ymnæːˀɕɔm
mulig	muːli
kuriøs	kʰuɐ̯iøːˀs
galge	ɡ̊aljə
værterne	væɐ̯d̥ɐnə
perfektionist	pʰæɐ̯fəɡ̊ɕonismə
livegen	liweˀen
tvedragt	tˢʋ̥ed̥ʁɒɡ̊d̥
lemmer	lɛmɐ
tager	tˢɑˀ
hen	hɛnˀ
ribbenssteg	ʁib̥ensd̥ɑjˀ
olav	olɑwˀ
vover	ʋɔwɐ
kiks	kʰiɡs
ubrugelig	ub̥ʁoːˀli
søgte	søɡ̊d̥ə
europæisk	ɛwʁopʰɛˀisɡ̊
vogte	ʋʌɡ̊d̥ə
finder	fenɐ
høvl	hœwˀl
leven	lɛfn̩
nåde	nɔðð̩
tal	tˢal
kører	kʰøɐ̯ˀ
nå	nʌ
børnene	b̥ɶɐ̯ˀnnə
legeme	lɛːɪmə
farvel	fʌvɛl
karisma	kʰɑʁisma
findes	fenəs
vakte	ʋɑɡ̊d̥ə
toilet	tˢoalɛd̥
gemmer	ɡ̊ɛmɐ
trældom	tˢʁ̥ald̥ʌmˀ
mørbrad	møɐ̯ˀb̥ʁɑð
anholdelse	anhʌlˀəlsə
nabo	næːb̥o
relativ	ʁɛlatˢiʊ̯ˀ
sygehus	syːyhuˀs
primær	pʰʁ̥iːmɛɐ̯ˀ
skabning	sɡ̊æːb̥neŋ
optræder	ʌb̥tˢʁ̥ɛˀðɐ
stresset	sd̥ʁɑsəð
hvisken	ʋesɡ̊ən
en	en
skov	sɡ̊ɒwˀ
bulgarer	b̥ulɡ̊ɑːˀɑ
mut	mud̥
fængsle	fɛŋslə
træt	tˢʁ̥ad̥
fæ	fɛˀ
pind	pʰenˀ
ordsprog	oɐ̯sb̥ʁɔˀw
abbedi	ab̥ed̥iˀ
kyklop	kʰykʰl̥oˀb̥
laver	lɑwˀɐ
afholdes	ɑwhʌlˀəs
interessere	entˢʁ̥ɐseˀɐ
sød	søðˀ
alvorligt	alvɒːˀlid̥
magre	mæːʁʌ
unik	juniɡ̊
hængte	hɛŋˀd̥ə
sparsom	sb̥ɑːsʌmˀ
helgen	hɛljən
intelligent	entˢeliɡ̊ɛnˀd̥
bid	b̥ið
harmoni	hɑmoniˀ
forhøjelse	fʌhʌjˀəlsə
politiker	pʰolid̥iɡ̊ɒ
meget	mɑðð̩
navneord	nɑwnəoɐ̯ˀ
vovede	ʋɔwð̩ð̩
tumult	tˢumulˀd̥
athenæer	atˢenɛˀɐ
hjelme	jɛlˑm̩
pålagte	pʰʌlɑɡ̊d̥ə
memorere	memoʁeːˀɐ
rimelig	ʁiːməli
tut	tˢud̥
hår	hɒˀ
skak	sɡ̊ɑɡ̊
vejret	ʋɑjʁɐð
uskreven	usɡ̊ʁæwˀn̩
stige	sd̥iːə
hindbær	henb̥æɐ̯
lodden	lʌðən
sproget	sb̥ʁɔwˀəð
laurbær	lɑwˀɐb̥aɐ̯
sagte	sæːɡdə
enten	ɛnd̥n̩
gifte	ɡ̊ifd̥ə
krævede	kʰʁ̥æðð̩
mælken	mɛlɡ̊ən
værgens	ʋaɐ̯wəns
bestå	b̥esd̥ɔˀ
øgenavn	øːjənɑwˀn
sigte	seɡ̊d̥ə
fugl	fou̯ːˀl
rov	ʁɒw
fyraften	fyɐ̯ɑfd̥n̩
sølvbryllup	sølb̥ʁœ̞lʌb̥
livsforsikring	liʊ̯sfʌseɡ̊ʁɛŋ
børen	b̥øˀɐn
knus	kʰnuːˀs
unødvendige	unøðʋɛnˀd̥ii
vordet	ʋɒːd̥ð̩
pagaj	pʰɑɡ̊ɑjˀ
lyst	lyˀsd̥
halvfemsindstyve	halfɛmˀsn̩stˢyːʋə
løber	løˀb̥ɐ
søstrene	søsd̥ʁɐnə
slavisk	slæˀʋisɡ̊
gram	ɡ̊ʁɑmˀ
kryddersild	kʰʁ̥yðɐsilˀ
lide	liːðə
tykkes	tˢœwˀs
klokkeren	kʰlʌɡ̊əʁæːˀn
ulige	uliːə
periferi	pʰeɐ̯ifeʁiːˀ
madding	maðeŋ
adgangskode	aðɡ̥ɑŋskʰoːðə
vrag	vʁɑːˀw
ståsted	sd̥ɔːˀsd̥ɛð
bastard	b̥asd̥ɑːˀ
salig	sæːli
ernst	ænsd̥
værn	ʋaɐ̯ˀn
ordbog	oɐ̯b̥ɔˀw
ilde	ilə
skød	sɡ̊øðˀ
besjælet	b̥eɕɛˀləð
ånden	ʌnn̩
hundekold	hunəkʰʌlˀ
træf	tˢʁ̥ɑf
flyve	fl̥yːʋə
lægt	lɛɡ̊d̥
træffer	tˢʁ̥ɑfɐ
bedyre	b̥ed̥yˀɐ
trekke	tˢʁ̥aɡ̊ə
vid	ʋiðˀ
orden	ɒˀd̥n̩
frankisk	fʁɑŋˀɡ̊isɡ̊
krydderbolle	kʰʁ̥œðɐb̥ʌlə
synder	sønɐ
nitte	ned̥ə
muldvarp	mulʋɑːb̥
probat	pʰʁ̥ob̥æːˀd̥
hingst	heŋˀsd̥
misbruge	misbʁuˀə
skjald	sɡ̊jalˀ
mobilisering	mobiliseˀɐ̯eŋ
tidlige	tˢiðlii
brad	b̥ʁɑð
glædelig	ɡ̊lɛːðəli
rørig	ʁœ̞ːɐ̯i
kvartets	kʰʋ̥ɑtˢɛd̥s
bringe	b̥ʁæŋə
dom	d̥oˀm
mutter	mud̥ɐ
dulgte	d̥uld̥ə
børnesygdom	b̥œ̞ɐ̯nəsyːd̥ʌm
lysning	lyːsneŋ
hvisken	ʋesɡ̊ŋ̩
rytter	ʁyd̥ɐ
bekenden	b̥ekʰɛnˀn̩
hverandre	ʋɛɐ̯ɑnd̥ʁɐ
oplyse	ʌb̥lyˀsə
bønnen	b̥œnən
stryge	sd̥ʁyːy
lun	luːˀn
jegernes	jɑjˀɐnəs
slags	sl̥ɑɡs
cowboyder	kʰɒwb̥ʌjˀd̥ɐ
ægtefælle	ɛɡ̊d̥əfɛlə
jomfruelig	jʌmfʁuˀuli
fyrretyve	fɶɐ̯ɐtˢyːʋə
stedmor	sd̥ɛmoɐ̯
ragede	ʁɑwð̩ð̩
sø	søˀ
røves	ʁœːʊs
trætte	tˢʁ̥ad̥ə
udadvendt	uðˀaðvɛnˀd̥
haler	hæːˀlɐ
figen	fiːin
europæer	ɛwʁopʰɛˀɐ
faldgrube	falɡ̊ʁuːb̥ə
frossent	fʁ̥ʌsn̩d̥
spyt	sbød
bat	b̥ad̥
rædsom	ʁɑðsʌmˀ
pilgrim	pʰilɡ̊ʁɛm
småt	smʌd̥
tiende	tˢiːinə
ræd	ʁaðˀ
kæp	kʰɛb̥
værst	ʋaɐ̯sd̥
ådsel	ʌðˀsl̩
fornem	fʌnɛmˀ
synes	syːnəs
feje	fɑːjə
oldtidskundskab	ʌltˢiðskʰɔnsɡ̊æˀb̥
forbyder	fɒb̥yˀðɐ
hankat	haŋkʰad̥
rosé	ʁose
rig	ʁɛɡ̊
bidder	b̥iðɐ
svigersøn	sʋ̥iˀɐsœn
pittoresk	pʰitˢoʁæsɡ̊
jord	joɐ̯ˀ
skændes	sɡ̊ɛnˀəs
børnepornografi	b̥œɐ̯nəpʰɒnoɡ̊ʁɑfiːˀ
hoben	hoˀb̥m̩
gårsdag	ɡ̊ɑːsd̥æːˀ
nikolaj	neɡ̊olaɪ̯
styrbord	sd̥yɐ̯b̥oːˀɐ̯
børnenes	b̥ɶɐ̯ˀnnəs
definerlig	defineɐ̯ˀli
uddateret	uðd̥atˢeːˀɐð
spor	sb̥oːˀɐ̯
kom	kʰʌmˀ
amerikaner	ɑmʁikʰæːnɐ
blottelse	b̥lʌd̥əlsə
drømme	d̥ʁɶmə
læst	lɛsd̥
gammeldansk	ɡ̊ɑml̩d̥anˀsɡ̊
irer	iˀɐ
vågner	ʋɔwnɐ
imitere	imitˢeˀɐ
bratsch	b̥ʁɑːˀd̥ɕ
reol	ʁæjoˀl
spøg	sb̥øˀ
korrigere	kʰɒiɡ̊eːˀɐ
rygte	ʁœɡ̊d̥ə
charabanc	ɕɑɑb̥ɑŋ
forbydes	fɒb̥yðˀəs
timer	tˢɑjmɐ
lokale	lokʰæːlə
pebet	pʰeːb̥əð
omgåedes	ʌmɡ̊ɔˀð̩s
ypsilon	yb̥silʌn
pseudonym	sœwd̥onyːˀm
mødes	møːðəs
lygte	løɡ̊d̥ə
ændringsforslag	ɛnd̥ʁeŋsfɒːsl̥æˀj
odense	oðˀn̩sə
slige	sliːi
landsby	lanˀsb̥yːˀ
flueknepperi	fl̥uːəkʰneb̥ɐʁiːˀ
døbte	d̥øb̥d̥ə
skabe	sɡ̊æːʊ
træde	tˢʁ̥aðð̩
sværm	svæɐ̯ˀm
jernbanefløjl	jæɐ̯nb̥ænəflʌjˀl
iver	iːˀwɐ
nødtørftig	nøðtˢɶɐ̯fd̥i
trapez	tˢʁ̥ɑpɛd̥s
apostrof	ab̥osd̥ʁʌf
skære	sɡ̊ɛːɐ
styret	sd̥yːɐð
trænet	tˢʁ̥æˀnð̩
støbt	sd̥øb̥d̥
klædtes	kʰl̥ɛːd̥əs
peberkværn	pʰeʊ̯ɐkʰʋæɐ̯ˀn
fingerbøl	feŋɐb̥øl
trussel	tˢʁusəl
drømmeverdenen	d̥ʁɶməʋaɐ̯d̥nən
ordblind	oɐ̯b̥lenˀ
avlede	ɑwləð̩
tude	tˢuːðə
heliotrop	heliotˢʁ̥oːˀb̥
hendes	hinn̩s
saml	sɑml
høns	hœnˀs
horehus	hoːɐhuːˀs
bjælde	b̥jɛlə
nødt	nøðˀ
bøsse	b̥øsə
mjød	mjøð
vantro	vantˢʁ̥oːˀ
kriminel	kʰʁiminɛlˀ
tilfreds	tˢefʁɛs
støb	sd̥øˀb̥
klædte	kʰl̥ɛˀd̥ə
øv	œːw
sagtne	sɑɡ̊d̥nə
mangt	mɑŋˀd̥
eventyrlig	ɛwn̩tˢyɐ̯ˀli
forkert	fʌkʰeɐ̯ˀd̥
leg	lɑjˀ
lav	lɑw
bandage	b̥and̥æːɕə
chauffør	ɕoføɐ̯ˀ
hammer	hɑmɐ
pilgrim	pʰiːlɡ̊ʁɛmˀ
øst	øˀsd̥
regler	ʁæˀlɐ
freden	fʁ̥æˀðn̩
resumere	ʁæsymeːˀɐ
anfange	anfɑŋˀə
tillade	tˢelæːˀð̠ˠə
synlig	syːnli
pumpe	pʰɔmb̥ə
vægte	ʋɛɡ̊d̥ə
rigt	ʁiɡ̊d̥
camper	kʰɑmpʰeːˀɐ̯
smørelse	smɶːʌlsə
kvæld	kʰʋ̥ɛlˀ
hæve	hɛːwə
værgets	ʋaɐ̯ʊðs
patte	pʰad̥
landskab	lansɡ̊aːˀb̥
uheldig	uhɛlˀd̥i
grim	ɡ̊ʁɛmˀ
fodboldspiller	foðb̥ʌlsb̥elɐ
lært	lɛɐ̯ˀd̥
cykel	siɡ̊l̩
skrive	sɡ̊ʁiːʋə
hvem	ʋɛmˀ
charmere	ɕɑmeˀɐ
læg	lɛˀɡ̊
september	sɛb̥tˢɛmˀb̥ɐ
piller	pʰelɐ
klædende	kʰl̥ɛˀənə
parti	pʰatˢiːˀ
tysk	tˢysɡ̊
føn	føːˀn
kogt	kʰʌɡ̊d̥
fortov	fɒːtˢɔw
tegnefilm	tˢɑjnəfilˀm
båre	b̥ɒːɒ
kørt	kʰøɐ̯ˀd̥
forfatte	fɒfad̥ə
hævngerrig	hɛwnɡ̊æɐ̯ˀi
børe	b̥øːɐ
held	hɛlˀ
nytårsaften	nyd̥ʌsɑfd̥ən
kvartetten	kʰʋ̥ɑtˢɛd̥ən
diagonal	d̥iaɡ̊onæːˀl
van	væːˀn
martyr	mɑːtˢyɐ̯ˀ
færd	fɛˀɐ̯
