gibraltarski	ɡǐbraltarskiː
pjeniti	pjêniti
peru	peru
puhati	pǔːxati
bleštati	blěːʃtati
rukica	rǔkit͡sa
odjahati	ǒdjaxati
biograf	biǒɡraf
krajcaraški	krajt͡sǎraːʃkiː
materijalan	mâterijaːlan
opozvati	opǒzʋati
demanti	děmanti
košnica	kôʃnit͡sa
projahati	prǒjaxati
primjeren	prǐmjeren
feljton	fěʎtoːn
pozer	pǒzeːr
trajno	trâːjno
preostajati	preǒstajati
vrištati	ʋrǐːʃtati
upozoravati	upozorǎːʋati
evolucionist	eʋolut͡siǒnist
rez	rêːz
kob	kôːb
homoseksualan	xômoseksuaːlan
pismen	pîsmen
bogomoljka	boɡǒmoːʎka
mrzak	mr̂zak
jezgrovito	jezɡrǒʋito
zastrijeti	zǎstrjeːti
rakun	rǎkuːn
lagodnost	lâɡodnoːst
podnosilac	podnǒsilat͡s
sintaktički	sintǎktitʃkiː
patrijarhat	patrijǎrxaːt
spiritualizam	spiritualǐzam
damask	dǎmask
alat	ǎlaːt
zamenjiv	zaměɲiʋ
kvantitet	kʋantǐteːt
žganica	ʒɡǎnit͡sa
slovnica	slǒːʋnit͡sa
poljak	pǒʎaːk
mora	môra
postola	postǒla
makadam	mǎkadam
cvjetača	t͡sʋjětat͡ʃa
ljiljan	ʎǐʎan
selekcija	selěkt͡sija
zatalasati	zatalǎsati
vladati	ʋlǎːdati
moćan	môt͡ɕan
col	t͡sôːl
činjeničan	t͡ʃîɲenit͡ʃan
rukometni	rûkomeːtniː
demagoški	demǎɡoʃki
gotov	ɡǒtoʋ
oksid	ǒksiːd
transkripcijski	transkrǐpt͡siːjskiː
nektar	nêktar
ahat	âxaːt
šekspirski	ʃěkspiːrskiː
nekoliko	nêkoliko
brod	brôːd
žandarmerija	ʒandarměrija
ponositi	ponǒsiti
besprimeran	besprǐːmeːran
ispod	îspod
biglisati	bǐɡlisati
snegovit	sneɡǒʋit
sašiti	sǎʃiti
piskati	pîskati
livadski	lǐʋadskiː
kovačica	koʋǎt͡ʃit͡sa
nagore	nâɡoreː
novčić	nǒʋt͡ʃit͡ɕ
zavodljiv	zaʋǒdʎiʋ
neuspješnost	nêuspjeʃnoːst
tata	tâta
julski	jûːlskiː
belaj	bělaːj
kontrast	kǒntrast
folklorist	folklǒrist
kozer	kǒzeːr
novosađanin	noʋosǎːdʑanin
petnaestak	petnaěːstak
severoistok	seʋeroǐstok
zamrzavati	zamrzǎːʋati
siromah	sirǒmaːx
zapuštati	zapǔːʃtati
prekipeti	prekǐːpeti
vika	ʋîka
besavesno	besǎːʋesno
zabubnjati	zabǔbɲati
spaljivati	spaʎǐːʋati
gladak	ɡlâdak
povratak	pǒʋratak
predlagati	predlǎːɡati
piroksilin	piroksǐliːn
omofor	omǒfoːr
venčanica	ʋent͡ʃǎnit͡sa
onakav	onǎkaːʋ
mećava	mět͡ɕaʋa
prisiljavati	prisiʎǎːʋati
živopisnost	ʒîʋopisnoːst
paralelno	paralělno
snebivati	snebǐːʋati
kruh	krûx
stjecati	stjêt͡sati
dosegnuti	dosěːɡnuti
longitudinalan	lônɡitudinaːlan
testirati	testǐːrati
europski	ěuropskiː
suprotan	sǔprotan
blefirati	blefǐːrati
čerga	t͡ʃêːrɡa
zahtijevati	zaxtjěːʋati
pojahati	pǒjaxati
rad	râːd
novosibirsk	noʋosǐbirsk
civilizacija	t͡siʋilizǎːt͡sija
azijatski	azǐjatski
uturati	utǔːrati
kazan	kǎzan
tromjesečje	trǒmjeseːt͡ʃje
lokativ	lôkatiːʋ
članica	t͡ʃlǎnit͡sa
mramor	mrâmor
diskusija	dǐskuːsija
počiniti	pot͡ʃǐniti
ticati	tǐːt͡sati
kozmologija	kozmolǒɡija
mliječ	mlijêːt͡ʃ
nakit	nǎːkit
otpočinuti	otpǒt͡ʃinuti
kratkovidost	kratkǒʋidoːst
vreti	ʋrêti
promaći	prǒmat͡ɕi
hahar	xâxaːr
direktan	dǐrektan
zbor	zbôr
dve	dʋêː
kolijevka	kǒljeːʋka
nišan	nǐʃan
agnostički	aɡnǒstit͡ʃkiː
zasjenjivati	zasjeɲǐːʋati
mediteranski	meditěraːnskiː
propovijedati	propoʋjěːdati
prosto	prôsto
felacija	felǎːt͡sija
zbornik	zbôːrniːk
agroturizam	aɡroturǐzam
nabrbljati	nǎbrbʎati
imperator	impěraːtor
očito	ǒt͡ʃito
bludan	blûːdan
detaljan	dêtaːʎan
žardinijera	ʒardinijěːra
anatemizirati	anatemizǐːrati
famozan	fâmoːzan
mauricijus	maurîːt͡sijus
univerzalan	ûniʋerzaːlan
satrapija	satrǎpija
amfiteatar	amfitěaːtar
postalveolaran	pôstalʋeolaːran
afiks	ǎfiks
muljator	mǔʎaːtor
dućan	dǔt͡ɕaːn
mariti	mǎːriti
podanik	pǒdaniːk
predložiti	predlǒʒiti
poliklinika	poliklǐnika
nagodba	nǎːɡodba
borbenost	bôrbenoːst
torzija	tǒrzija
atomizacija	atomizǎːt͡sija
kraćati	krǎt͡ɕati
optužiti	optǔːʒiti
krabuljača	krabǔʎat͡ʃa
aljaska	ǎʎaska
nerešiv	nerěʃiʋ
djelomice	djêlomit͡seː
glagol	ɡlâɡol
skolastika	skolǎstika
nateravati	naterǎːʋati
svirka	sʋîːrka
pozoj	pǒzoj
zahvaljujući	zaxʋǎʎujuːt͡ɕi
bucanj	bûːt͡saɲ
značiti	znǎːt͡ʃiti
general	ɡeněraːl
plemenit	plêmenit
istraživač	istraʒǐʋaːt͡ʃ
žalfija	ʒǎlfija
prepoznatljivost	prepoznǎtʎiʋoːst
prezervativ	prezerʋǎtiːʋ
lisac	lǐːsat͡s
kratkovrat	krâtkoʋraːt
otuđenost	ǒtuːd͡ʑenoːst
besperspektivan	bêsperspektiːʋan
treptav	trêptaʋ
okrivljavati	okriʋʎǎːʋati
jaspis	jǎspis
pužić	pǔʒit͡ɕ
bat	bâːt
telegrafirati	teleɡrafǐːrati
razbistriti	razbǐstriti
radijus	râːdijus
smisao	smîːsao
prerušivati	preruʃǐːʋati
provaliti	proʋǎːliti
uvetan	ǔːʋetan
slupati	slǔːpati
hteti	xtêti
trijasni	trîjaːsniː
zdaj	zdaj
družiti	drǔːʒiti
veran	ʋěːran
duvar	dûʋaːr
potepuh	potěpuːx
križalina	krǐʒalina
brabonjak	brâboɲak
bambus	bǎmbus
neustrašivo	neustrǎʃiʋo
odbacivati	odbat͡sǐːʋati
hladnoratovski	xladnorǎtoʋski
doznavati	doznǎːʋati
svitanje	sʋîtaːɲe
aeroban	âeroːban
mrak	mrâːk
sadilac	sǎdilat͡s
ćudorednost	t͡ɕûdoreːdnoːst
snen	snên
složenica	sloʒěnit͡sa
svirepo	sʋǐrepo
algebarski	ǎlɡeːbarski
neprimetljiv	neprimětʎiʋ
sangrija	sanɡrǐja
ranac	rǎːnat͡s
birokratski	birǒkratskiː
naveče	nâʋet͡ʃeː
dalekovod	dalekǒʋod
osjećajan	ôsjet͡ɕaːjan
žalostiti	ʒalǒstiti
očevidan	ôt͡ʃeʋiːdan
smišljati	smǐːʃʎati
vučiti	ʋutʃiti
delomičan	dêlomit͡ʃan
svojeglavo	sʋojěɡlaʋo
osteopatija	osteopǎtija
šnala	ʃnǎːla
ponosito	pǒnosito
skrnaviti	skrnǎːʋiti
deponij	děpoːnij
lateks	lǎteks
brojno	brôːjno
idealan	îdeaːlan
definitivan	dêfinitiːʋan
bradavica	brǎdaʋit͡sa
hraniti	xrǎːniti
odnedavna	ǒdnedaːʋna
viđati	ʋǐːd͡ʑati
defetist	defětist
obezglaviti	obezɡlǎːʋiti
kambodža	kambǒd͡ʒa
kurvar	kǔrʋaːr
đubre	d͡ʑûbre
uspeh	ǔspex
dokon	dǒkon
vrilo	ʋrilo
nastaviti	nǎstaʋiti
ječam	jět͡ʃam
neosjetljivo	neosjětʎiʋo
poljodelstvo	poʎoděːlstʋo
hohštapler	xǒxʃtapler
zaprega	zâːpreɡa
ogrejavati	oɡrejǎːʋati
đerđef	d͡ʑěrd͡ʑef
krstiti	křstiti
šašavo	ʃâʃaʋo
vjeroispovijed	ʋjeroǐspoʋijeːd
kiselina	kiselǐna
džanarika	d͡ʒânarika
tašna	tǎʃna
kidnapirati	kidnapǐːrati
odžak	ǒd͡ʒak
hroničan	xrǒnit͡ʃan
polaziti	pǒlaziti
izdajica	ǐzdajit͡sa
fleka	flêka
razrješivost	razrjěʃiʋoːst
kristalno	krǐstaːlno
gonetati	ɡoněːtati
kozmetički	kozmětitʃki
m	m
poštanski	pôʃtanskiː
specifično	spet͡sǐfit͡ʃno
utješan	ǔtjeʃan
kamoli	kâmoli
đule	d͡ʑûle
demokratski	demǒkratski
obrtnički	ǒbrtnitʃki
profitabilan	prôfitabiːlan
tematski	těmatski
autoritaran	âutoritaːran
balkanizirati	balkanizǐːrati
prirodan	prǐːrodan
pojas	pôjaːs
van	ʋân
jamčevina	jǎmt͡ʃeʋina
obrada	ôbrada
tragati	trǎɡati
zar	zâːr
preliminaran	prêliminaːran
hedonist	xedǒnist
anticipacija	antit͡sipǎːt͡sija
sipiti	sǐːpiti
bezvodan	bězʋodan
iracionalno	îrat͡sionaːlno
drevan	drêːʋan
mršav	mr̂ʃaʋ
spremati	sprěːmati
sintetičan	sintětit͡ʃan
veslač	ʋěslaːt͡ʃ
zbuniti	zbǔːniti
otvoriti	otʋǒriti
iznimno	ǐzniːmno
pokupiti	pokûpiti
patologija	patolǒɡija
tinejdžer	tǐnejd͡ʒer
svjetlomjer	sʋjêtlomjeːr
združiti	zdrǔːʒiti
jezerski	jêzerskiː
tobom	tôboːm
vladarski	ʋlǎdaːrski
ada	ǎːda
borer	bǒːrer
pleiotropija	pleiotrǒpija
pregrejati	prěɡrejati
potreban	pôtreban
zabuna	zâːbuna
prodorno	prǒːdoːrno
svjetina	sʋjětina
mesečni	mêset͡ʃniː
namamiti	namǎːmiti
kotačić	kotǎt͡ʃit͡ɕ
približno	prǐːbliʒno
ovca	ǒːʋt͡sa
maran	mâːran
italijanski	italǐjaːnski
gusto	ɡûːsto
mudo	mǔːdo
śesti	ɕêsti
ispostavljati	ispǒstaʋʎati
samopouzdanje	samopouzdǎːɲe
osvajanje	osʋǎːjaːɲe
bešćutan	běʃt͡ɕutan
kuvar	kûʋaːr
mangan	mǎnɡaːn
graničar	ɡrǎnit͡ʃaːr
izveštavati	izʋeʃtǎːʋati
šlajer	ʃlâjer
eparh	ěparx
penušav	penǔʃaʋ
bojkot	bǒjkot
ruševina	rǔʃeʋina
gips	ɡîps
dvojben	dʋǒjben
jelen	jělen
blagdan	blâɡdaːn
kramp	krâmp
objektivnost	objektǐːʋnoːst
probiti	prǒbiti
afektacija	afektǎːt͡sija
travanj	trâːʋaɲ
odabirati	odǎbirati
erotičan	erǒtit͡ʃan
buranija	burǎnija
pejorativ	pêjoratiːʋ
regrut	rěɡruːt
nevinost	nêʋiːnoːst
šmrkalj	ʃmr̂kaʎ
špera	ʃpěːra
djelovati	djêloʋati
koža	kôʒa
lešina	lěʃina
oslabjeti	ǒslabjeti
tvrdnja	tʋřːdɲa
atomski	ǎtoːmskiː
revolver	reʋǒlʋer
neaktivan	nêaktiːʋan
usidelica	usǐdelit͡sa
zatočiti	zatǒt͡ʃiti
naručivati	narut͡ʃǐːʋati
inat	ǐnaːt
kračun	krǎt͡ʃuːn
budžovan	bud͡ʒǒʋaːn
elaborat	elabǒraːt
zaoravati	zaorǎːʋati
kostriš	kǒstriːʃ
zemljotres	zêmʎotreːs
abonman	abǒnmaːn
naporno	nǎːpoːrno
mehurast	mexǔrast
siromašan	sirǒmaʃan
vladar	ʋlǎdaːr
granit	ɡrǎniːt
ogrejati	ǒɡrejati
triftonški	trǐftonʃkiː
homozigotan	xomozǐɡotan
dušoslovje	duʃoslovje
nijemo	nijêːmo
osnivati	osnǐːʋati
špiser	ʃpǐːser
pomorje	pǒmoːrje
plijen	plijêːn
mandula	mândula
obelodaniti	obelodǎːniti
povratnik	pǒʋratniːk
pribrajati	pribrǎːjati
sjednica	sjêdnit͡sa
psaltir	psǎltiːr
točno	tôt͡ʃno
psić	psît͡ɕ
čvrstoća	t͡ʃʋrstǒt͡ɕa
lijeniti	lijěːniti
potanko	pôtanko
jadan	jâdan
fotografija	fotoɡrǎfija
probadati	probǎːdati
tupost	tǔːpoːst
han	xâːn
smrtnost	smr̂tnoːst
rezolucija	rezolǔːt͡sija
nabrati	nǎbrati
prijegled	prjěːɡled
bledilo	blědilo
prevodilac	preʋǒdilat͡s
pokvarenjački	pokʋarěɲaːtʃkiː
zastupnik	zǎːstupniːk
bježati	bjěʒati
severoistočni	seʋeroǐstot͡ʃniː
civilni	t͡sǐʋiːlniː
troja	trǒːja
čamiti	t͡ʃǎːmiti
skočimiš	skǒt͡ʃimiʃ
uzbuđeno	ǔzbuːd͡ʑeno
slizati	slǐːzati
šampion	ʃampǐoːn
pobornik	pǒboːrniːk
prepuštati	prepǔːʃtati
svezati	sʋěːzati
nekompetentno	nekompetěntno
komfor	kǒmfoːr
oboriti	obǒriti
uzrok	ǔzrok
žezlo	ʒězlo
zlatnina	zlatnǐna
zbrka	zbr̂ka
nelagodan	nêlaɡodan
aga	ǎɡa
engleski	ěnɡleːski
treptaj	trêptaːj
drugde	drûɡde
špekulant	ʃpekǔlant
vikač	ʋǐkaːt͡ʃ
napasti	nǎpasti
rastjerivati	rastjerǐːʋati
doktor	dôktor
nautički	naǔtit͡ʃkiː
ovamo	ǒʋaːmo
lakomislen	lakǒmislen
putem	pǔːtem
komitet	komǐteːt
izostajati	izǒstajati
niskost	nîskoːst
krampaški	krǎmpaːʃki
začarivati	zat͡ʃarǐːʋati
terapeut	terapěut
rasipno	rǎːsipno
amater	amǎteːr
analni	ǎnaːlniː
zamišljati	zamǐːʃʎati
trputac	trpǔːtat͡s
katolički	kâtolit͡ʃkiː
homozigot	xomozǐɡoːt
sirutka	sîrutka
hazarderka	xazǎrdeːrka
odudarati	odǔdarati
oduprijeti	odǔprjeːti
temeljiti	teměʎiti
izgrepsti	ǐzɡrepsti
skinuti	skînuti
platnen	plǎtnen
sugrađanka	sǔɡrad͡ʑaːnka
koštica	kǒʃtit͡sa
iskopati	iskǒpati
sokl	sǒkl
lokvanj	lǒkʋaːɲ
antonimija	antonǐmija
beznadno	běznadno
kremšnita	krěmʃnita
nagnuti	nǎɡnuti
stres	strês
resiti	rěːsiti
malo	mâlo
zvek	zʋêːk
šargarepa	ʃarɡarěːpa
brokula	brôkula
trsiti	tr̂siti
stajati	stâjati
vragolast	ʋraɡǒlast
permutacija	permutǎːt͡sija
podrum	pǒdrum
instruktor	ǐnstruktor
kandidatura	kandidatǔːra
bezosjećajnost	bezosjet͡ɕǎːjnoːst
vešto	ʋêʃto
vodopad	ʋôdopaːd
upravo	upraʋo
prevod	prěːʋod
naklon	nǎːklon
dodatan	dôdaːtan
dozvoliti	dozʋǒliti
zubni	zûːbniː
afinitet	afinǐteːt
makedonija	makědoːnija
ocena	ôt͡sena
kosijer	kǒsijeːr
navezati	naʋěːzati
poredak	pǒredak
kratkovrat	kratkǒʋrat
odbojkašica	odbojkǎʃit͡sa
vapno	ʋǎːpno
bućnuti	bût͡ɕnuti
pouzdanost	pǒuzdaːnoːst
korab	kôraːb
spljošten	spʎôʃten
bagdadski	bǎɡdadskiː
redak	rěːdak
berba	běrba
hraniteljica	xranitěʎit͡sa
osjetljiv	osjětʎiʋ
opasan	ôpaːsan
zavređivati	zaʋred͡ʑǐːʋati
rubinet	rubǐnet
raširiti	raʃǐːriti
rasprodati	rasprǒdati
prezirno	prêziːrno
nalomiti	nalǒmiti
krampaš	krǎmpaːʃ
maloljetnik	mâloʎetniːk
spremnost	sprêmnoːst
ušteđevina	uʃted͡ʑěʋina
progutati	proɡǔtati
spavač	spǎʋaːt͡ʃ
unatoč	unǎːtot͡ʃ
suvisao	sǔʋisao
rujan	rûːjan
ovoj	ǒʋoj
kolosijek	kôlosijeːk
regula	rêɡula
preglas	prěːɡlas
ukaz	ǔːkaːz
ozlijeđen	ǒzlijeːd͡ʑen
pramajka	prǎmaːjka
podudaran	pôdudaːran
rječit	rjět͡ʃit
deran	děran
transverzalan	trânsʋerzaːlan
svest	sʋêːst
neudoban	nêudoban
lapidarno	lâpidaːrno
adventistički	adʋentǐstit͡ʃki
plitica	plîtit͡sa
lombard	lǒmbaːrd
antisocijalizam	antisot͡sijalǐzam
tronoške	trǒnoʃkeː
slatkorečivo	slatkorět͡ʃiʋo
verenički	ʋêrenit͡ʃkiː
veštačenje	ʋeʃtǎːt͡ʃeːɲe
kliziti	klǐːziti
odjednom	odjědnoːm
kaj	kâj
profiniti	profǐːniti
dragocenost	draɡǒt͡senoːst
šesterac	ʃestěːrat͡s
skandinavski	skandǐnaːʋskiː
preplaćivati	preplat͡ɕǐːʋati
štajge	ʃtâːjɡe
opatica	opǎtit͡sa
autarhija	autǎrxija
prosjačiti	prosjǎːt͡ʃiti
ništarija	niʃtǎrija
psihološki	psixǒloʃkiː
začiniti	zat͡ʃǐniti
uzburkavati	uzburkǎːʋati
kalup	kǎlup
krnje	kr̂ɲeː
izražajan	îzraʒaːjan
večeras	ʋet͡ʃěras
hrast	xrâːst
koturaš	kotǔraːʃ
tur	tûːr
ojačati	ojǎt͡ʃati
ismejati	ismějati
beštija	běʃtija
krštenje	krʃtěːɲe
jarki	jâːrkiː
kostriješiti	kostrijěːʃiti
ljubavnički	ʎǔːbaːʋnit͡ʃki
odgristi	ǒdɡristi
kreposno	krêposno
pučkoškolac	put͡ʃkoʃkǒːlat͡s
uzbudljiv	uzbǔdʎiʋ
kepec	kěpet͡s
naočit	nǎot͡ʃit
peta	pěːta
dnevni	dnêːʋniː
kostret	kôstreːt
ljuljati	ʎǔːʎati
renesansni	renesǎnsniː
monogamija	monoɡǎmija
pelud	pělud
ponuda	pônuda
tamnjeti	tǎːmɲeti
pubertetski	puběrteːtski
glamur	ɡlǎmuːr
spekulacija	spekulǎːt͡sija
stagnirati	staɡnǐːrati
mučenički	mût͡ʃenit͡ʃkiː
uvažavati	uʋaʒǎːʋati
dva	dʋâː
dramski	drâːmskiː
slatko	slǎtkoː
menjač	měɲaːt͡ʃ
hazarder	xazǎrdeːr
mal	mâːl
samozadovoljstvo	samozadoʋǒʎstʋo
nikakav	nîkakaːʋ
panda	pǎːnda
ovuda	ǒʋuda
nevidljivo	neʋǐdʎiʋo
kubanski	kǔbaːnskiː
zareći	zǎret͡ɕi
bezdušno	bězduʃno
dendrokronologija	dendrokronolǒɡija
veterinarstvo	ʋeterinǎːrstʋo
tržišni	tr̂ʒiːʃniː
pijetao	pjěːtao
tamjan	tǎmjan
totemist	totěmist
zavodnik	zǎːʋodniːk
zabrljati	zabřːʎati
kapitalistički	kapitalǐstitʃki
uvoziti	uʋǒziti
finansijski	finǎnsiːjski
australija	aǔstraːlija
staroslovenski	staroslǒʋeːnskiː
zalevati	zalěːʋati
buva	bǔʋa
prodoran	prǒːdoːran
šegrt	ʃěɡrt
smokvik	smǒkʋiːk
domaći	dǒmaːt͡ɕiː
šljaker	ʃʎâker
signal	sǐɡnaːl
beznadan	běznadan
antitelo	ǎntiteːlo
svetac	sʋěːtat͡s
poliklinički	poliklǐnitʃki
zjenica	zjěnit͡sa
rušitelj	rǔʃiteʎ
amnestirati	amnestǐːrati
razmnožiti	razmnǒʒiti
rimljanin	rǐːmʎanin
postaja	pôstaja
svojedobno	sʋôjedobno
podrigivati	podriɡǐːʋati
prokleti	prǒkleːti
raznolik	raznǒlik
kajiš	kǎjiʃ
papagaj	papǎɡaj
osvetljiv	osʋětʎiʋ
ćaknut	t͡ɕâknuːt
prašak	prǎːʃak
sticati	stit͡sati
zakonski	zǎːkonskiː
kineski	kǐneːskiː
ludnički	lǔːdnit͡ʃkiː
istovremeno	istǒʋremeno
špinati	ʃpînati
zamisliv	zamǐsliʋ
narcis	nǎrt͡sis
klipa	klîpa
anakronizam	anakronǐzam
venerični	ʋeněrit͡ʃniː
opet	ôpeːt
kurčiti	kûːrt͡ʃiti
sprečiti	sprěːt͡ʃiti
autorski	ǎutorski
petorica	petǒrit͡sa
italijan	italǐjaːn
šol	ʃôːl
kraguj	krǎɡuːj
uceniti	ut͡sěːniti
karikaturist	karikatǔrist
kozarski	kǒzaːrski
slikar	slîkaːr
etiopski	etǐopskiː
tajnovit	tajnǒʋit
tužilaštvo	tǔʒilaːʃtʋo
razgodak	rǎːzɡodak
proplivavati	propliʋǎːʋati
slikati	slîkati
budak	bûdaːk
saten	sǎteːn
ekser	ěkser
narečje	nǎːret͡ʃje
diskvalifikacija	diskʋalifikǎːt͡sija
šahovski	ʃǎxoʋskiː
nečovečnost	nêt͡ʃoʋet͡ʃnoːst
jednodušno	jednǒduʃno
sapunar	sapǔnaːr
individualnost	indiʋiduǎːlnoːst
oklevati	oklěːʋati
epileptičar	epilěptit͡ʃaːr
mlada	mlâːda
srednjoškolac	sredɲoʃkǒːlat͡s
god	ɡôːd
procjena	prôt͡sjena
kozjak	kôzjaːk
vajda	ʋǎjda
nacrt	nǎːt͡srt
reparacija	reparǎːt͡sija
ćor	t͡ɕôr
legionar	leɡiǒnaːr
cvjetati	t͡sʋjětati
automatski	autǒmatskiː
doživeti	doʒǐːʋeti
uraniti	ǔraniti
sumoran	sûmoːran
transplantacijski	transplantǎt͡siːjskiː
opijati	opǐːjati
ljigav	ʎîɡaʋ
centimetar	t͡sěntimetar
saći	sâːt͡ɕi
nejač	nêjaːt͡ʃ
poradi	pôradi
zadnji	zâdɲiː
grozan	ɡrôːzan
izuzetno	îzuzeːtno
zamicati	zǎmit͡sati
suicid	suǐt͡siːd
avatar	aʋǎtaːr
zlodjelo	zlǒdjelo
naravno	nǎːraʋno
glogov	ɡlǒɡoʋ
svijeća	sʋijěːt͡ɕa
aorta	ǎoːrta
izmet	ǐzmet
porumenjeti	poruměɲeti
zagovor	zâɡoʋoːr
preostati	preǒstati
prsnuti	pr̂snuti
termin	těrmiːn
beocija	beǒt͡sija
junakinja	junǎkiɲa
šablona	ʃablǒːna
zacenutost	zǎt͡seːnutoːst
drastično	drǎstit͡ʃno
rezbarski	rězbaːrskiː
eksterni	ěksteːrniː
šeflja	ʃêfʎa
budžetski	bǔd͡ʒetski
ablaut	ǎblaut
legitimno	lêɡitiːmno
primjetan	prîmjetan
neurološki	neurǒloʃkiː
raspetljati	raspětʎati
izuzetak	izuzěːtak
kotul	kôtul
pobjeđivati	pobjed͡ʑǐːʋati
selektivan	sêlektiːʋan
uravnotežen	uraʋnǒteːʒen
lomača	lǒmat͡ʃa
kriminalistika	kriminalǐstika
komplicirati	komplit͡sǐːrati
prekršiti	prekřːʃiti
trbuhozborac	trbuxozbǒːrat͡s
funta	fûːnta
sirena	sirěːna
nezasitno	nêzasitno
krvoproliće	krʋoprolǐːt͡ɕe
plačljiv	plǎt͡ʃʎiʋ
nikotinski	nikǒtiːnskiː
čovjekoljubac	t͡ʃoʋjekoʎǔːbat͡s
bevanda	běʋaːnda
nadživljavati	nad͡ʒiʋʎǎːʋati
podstanarski	pôdstanaːrski
poprište	pôpriːʃte
zatvor	zǎːtʋor
zaslužiti	zaslǔːʒiti
do	dôː
terati	têrati
ubijač	ubǐjaːt͡ʃ
zbunjeno	zbûːɲeno
dnevno	dnêːʋno
marelica	marělit͡sa
minimalistički	minimalǐstitʃki
judeja	juděja
ozonski	ǒzoːnskiː
entuzijastičan	entuzijǎstit͡ʃan
bujnost	bǔːjnoːst
saksonija	sǎksoːnija
ulaznica	ǔlaznit͡sa
štrajkaš	ʃtrǎjkaːʃ
satanizam	satanǐzam
upravni	ûpraːʋniː
putilo	pǔtilo
tvrd	tʋr̂ːd
berlinski	běrliːnskiː
kapuljača	kapǔʎat͡ʃa
prekretnica	prěkretnit͡sa
naspavati	naspǎːʋati
pijandura	pijǎndura
vjerenički	ʋjêrenit͡ʃkiː
led	lêːd
micati	mît͡sati
aman	ǎmaːn
floskula	flôskula
podići	pǒdiːtɕi
utoliti	utǒliti
spada	spâːda
kaligrafija	kaliɡrǎfija
podmornica	pǒdmoːrnit͡sa
neopipljivost	neopǐpʎiʋoːst
potpis	pǒtpis
apolitički	apolǐtitʃki
djelomično	djêlomit͡ʃno
balansirati	balansǐːrati
termodinamika	termodinǎmika
afganistanski	afɡanǐstaːnskiː
pripovijest	prîpoʋjeːst
podbijel	pǒdbijel
kolektiv	kôlektiːʋ
unaprijed	ǔnaprjeːd
doručak	dǒrut͡ʃak
radoznao	radǒznao
njome	ɲǒːme
dostaviti	dǒstaʋiti
dovršetak	doʋrʃěːtak
natmuren	nǎtmuːren
vladanje	ʋlǎːdaːɲe
akumulacija	akumulǎːt͡sija
erekcija	erěkt͡sija
spadati	spâdati
španjolska	ʃpǎɲoːlskaː
greben	ɡrêbeːn
normalno	nôrmaːlno
veseo	ʋêseo
spev	spêːʋ
usled	ûsled
teatralan	têatraːlan
razvitak	razʋǐːtak
promjer	prǒːmjer
flota	flôta
ionosfera	ionosfěːra
smatrati	smǎːtrati
svađa	sʋâd͡ʑa
skrbništvo	skr̂ːbniːʃtʋo
bubati	bǔːbati
prosjačina	prosjǎt͡ʃina
nesvesno	něsʋesno
oženiti	oʒěniti
opomena	ôpomena
razumljiv	razǔmʎiʋ
patent	pǎtent
rudarski	rǔdaːrskiː
antipatično	antipǎtit͡ʃno
preko	prêko
ovako	oʋǎkoː
razbistrivati	razbistrǐːʋati
metati	mětati
kampanja	kampǎɲa
školovati	ʃkôloʋati
studija	stûːdija
potkupljivati	potkupʎǐːʋati
zavladavati	zaʋladǎːʋati
tajac	tǎːjat͡s
prakrt	prǎkrt
papirnat	papǐrnat
škrtariti	ʃkrtǎːriti
balon	bǎloːn
nenadano	něnaːdano
nesimetrično	nesimětrit͡ʃno
svirala	sʋǐrala
širok	ʃǐrok
vašmašina	ʋâʃmaʃiːna
eon	ěoːn
maloazijski	maloâːziːjskiː
šnorer	ʃnǒːrer
knjižničarstvo	kɲiʒnit͡ʃǎːrstʋo
protivno	prôtiːʋno
sirov	sǐroʋ
drvodjelja	drʋǒdjeʎa
animirati	animǐːrati
boljeti	bǒʎeti
odvajkada	odʋǎjkada
mikrofon	mîkrofoːn
kičmeni	kǐt͡ʃmeniː
međusoban	mêd͡ʑusoban
tjelešce	tjelěʃt͡se
džabe	d͡ʒâbeː
sakupljati	sakǔːpʎati
sako	sǎkoː
šindelbraten	ʃǐndelbraːten
kvas	kʋâːs
parazitologija	parazitolǒɡija
aktivizam	aktiʋǐzam
šibati	ʃǐːbati
ekstrakt	ěkstrakt
projektor	prǒjektor
snimka	snîːmka
afirmirati	afirmǐːrati
plauzibilan	plâuzibiːlan
prostrti	prǒstrːti
rešetka	rěʃetka
akvizicija	akʋizǐːt͡sija
prigristi	prǐɡristi
šaman	ʃǎmaːn
suđe	sǔd͡ʑe
krajanka	krǎjaːnka
iznenađenje	iznenad͡ʑěːɲe
mentalni	měntaːlniː
teli	těli
dobrobit	dôbrobiːt
fil	fîl
marki	mârkiː
populizam	populǐzam
specijalno	spêt͡sijaːlno
radiološki	radiǒloʃkiː
filološki	filǒloʃkiː
oživljavati	oʒiʋʎǎːʋati
ubrzo	ûbrːzo
regrutacija	reɡrutǎːt͡sija
brbljati	břbʎati
para	pâra
graciozno	ɡrât͡sioːzno
proračunati	prorat͡ʃǔnati
mobilan	môbiːlan
bujati	bǔjati
kupola	kǔpola
staklar	stǎklaːr
izvaditi	ǐzʋaditi
premda	prêmda
sumrak	sûmraːk
privoleti	priʋǒleti
prisiliti	prǐsiliti
većinski	ʋětɕiːnski
posijediti	posijěːditi
savršen	sǎʋrːʃen
čistilac	t͡ʃǐstilat͡s
bistrina	bistrǐna
leska	lěːska
