سىستېمىسى	sˌɪstemˈɪsɪ
سېنىڭ	sˈenɪŋ
خۇيزۇ	χˈujzu
پۇرسىتىگە	pˌursɪtˈɪɡæ
ئىشلىرىنى	ˌɪʃlɪɾˈɪnɪ
ساھە	sˈɑhæ
ئىشتا	ˈɪʃtɑ
زادى	zˈɑdɪ
مەنبە	mˈænbæ
زىيان	zˈɪjɑn
ئىمزا	ˈɪmzɑ
قۇياشنىڭ	qujˈɑʃnɪŋ
نۆۋىتى	nœwˈɪtɪ
يېرى	jˈeɾɪ
ھۈسەيىن	hysˈæjɪn
چالغۇ	t͡ʃˈɑlʁu
تۈركىستاندىكى	tˌyrkɪstɑndˈɪkɪ
تەكشۈرۈپ	tækʃˈyɾyp
ئارىسىدىكى	ˌɑɾɪsɪdˈɪkɪ
شۇنچىلىك	ʃunt͡ʃˈɪlɪk
نەتىجىگە	nˌætɪd͡ʒˈɪɡæ
ئومۇمى	omˈumɪ
بېكىتىلگەن	bˌekɪtˈɪlɡæn
ئىقتىدارى	ˌɪqtɪdˈɑɾɪ
ئاياللىرىنىڭ	ˌɑjɑllɪɾˈɪnɪŋ
كەلمەيدۇ	kælmˈæjdu
يوق	jˈoq
تەرىپىدە	tˌæɾɪpˈɪdæ
كونا	kˈonɑ
پۇرسەت	pˈursæt
يىغلاپ	jˈɪʁlɑp
كىرەك	kˈɪɾæk
ۋاقتىدا	wɑqtˈɪdɑ
تەرتىپى	tærtˈɪpɪ
دەيدۇ	dˈæjdu
ئېتنىك	ˈetnɪk
لى	lˈɪ
بىكار	bˈɪkɑr
كومپىيوتىر	kˌompɪjˈotɪr
بازىرى	bɑzˈɪɾɪ
ئىسرائىل	ɪsrˈɑɪl
سەرپ	sˈærp
تەھرىرلەش	tæhrˈɪrlæʃ
ئارىلاشتۇرۇپ	ˌɑɾɪlɑʃtˈuɾup
قايرىپ	qˈɑjrɪp
كۈن	kˈyn
يازغۇچىسى	jˌɑzʁut͡ʃˈɪsɪ
كىچىك	kˈɪt͡ʃɪk
ئۇشبۇ	ˈuʃbu
تارمىقى	tɑrmˈɪqɪ
يولىدا	jolˈɪdɑ
باھاسى	bɑhˈɑsɪ
كېتىشكە	ketˈɪʃkæ
مەنىدە	mænˈɪdæ
مالىكنىڭ	mɑlˈɪknɪŋ
بازىرىدا	bˌɑzɪɾˈɪdɑ
تەركىب	tˈærkɪb
ئۈنۈمى	ynˈymɪ
كۆتۈرۈپ	kœtˈyɾyp
جەمئىيەتكە	d͡ʒˌæmɪjˈætkæ
قەتئىي	qˈætɪj
شېڭ	ʃˈeŋ
كىتابىدا	kˌɪtɑbˈɪdɑ
قىلغۇچى	qɪlʁˈut͡ʃɪ
ئايروپىلانى	ˌɑjropɪlˈɑnɪ
باشقۇرغۇچى	bˌɑʃqurʁˈut͡ʃɪ
كىتابنى	kɪtˈɑbnɪ
قەدىمىي	qædˈɪmɪj
تېلىفون	telˈɪfon
كومىتېتىنىڭ	kˌomɪtetˈɪnɪŋ
نىكاھ	nˈɪkɑh
ئۆمەرنىڭ	œmˈærnɪŋ
ماقالىدە	mˌɑqɑlˈɪdæ
ئۆتمەيلا	œtmˈæjlɑ
بەدەن	bˈædæn
ئۆتكۈزۈلگەن	ˌœtkyzˈylɡæn
سىڭدۈرمە	sɪŋdˈyrmæ
قېرىنداشلار	qˌeɾɪndˈɑʃlɑr
غەرپكە	ʁˈærpkæ
يەرلەرنى	jærlˈærnɪ
ئاۋاز	ˈɑwɑz
پولو	pˈolo
رۇس	rˈus
نەق	nˈæq
مەسىلىلەرنى	mˌæsɪlɪlˈærnɪ
خەلقئارالىق	χˌælqɑɾˈɑlɪq
خالاس	χˈɑlɑs
دەۋرىنىڭ	dæwrˈɪnɪŋ
ھەققىنى	hæqqˈɪnɪ
ئەمگەكچىلەر	ˌæmɡækt͡ʃˈɪlær
تايىنىپ	tɑjˈɪnɪp
كۈتۈپ	kˈytyp
زامانلاردا	zˌɑmɑnlˈɑrdɑ
ۋاكالەت	wɑkˈɑlæt
ۋاڭنىڭ	wˈɑŋnɪŋ
سانتىمېتىر	sˌɑntɪmˈetɪr
مېتىر	mˈetɪr
قۇتادغۇبىلىك	qˌutɑdʁubˈɪlɪk
ئوبلاستى	oblˈɑstɪ
مەندەك	mˈændæk
قۇرامىغا	qˌuɾɑmˈɪʁɑ
مۇستەملىكىسى	mˌustæmlɪkˈɪsɪ
مىللەت	mˈɪllæt
تەرتىپكە	tærtˈɪpkæ
قىرىم	qˈɪɾɪm
چۈشەندۈرىدۇ	t͡ʃˌyʃændyɾˈɪdu
يەرلەرگە	jærlˈærɡæ
مەدەنىيىتى	mˌædænɪjˈɪtɪ
نوپۇسى	nopˈusɪ
بوۋاق	bˈowɑq
ئازىركى	ɑzˈɪrkɪ
ئورگانىك	orɡˈɑnɪk
ئامبال	ˈɑmbɑl
يەردىن	jˈærdɪn
جەريانى	d͡ʒærjˈɑnɪ
تۈپ	tˈyp
ئىستېمال	ɪstˈemɑl
ساقلاش	sˈɑqlɑʃ
يەتتە	jˈættæ
ئاخىرىغا	ˌɑχɪɾˈɪʁɑ
خوش	χˈoʃ
بىلدۈرگەن	bɪldˈyrɡæn
تەك	tˈæk
ئارغامچا	ɑrʁˈɑmt͡ʃɑ
خىلدىن	χˈɪldɪn
تۈركىستاننىڭ	tˌyrkɪstˈɑnnɪŋ
ئەتراپىدا	ˌætrɑpˈɪdɑ
ئاياللار	ɑjˈɑllɑr
توختىتىپ	toχtˈɪtɪp
بىردەم	bˈɪrdæm
مىللەتچىلىك	mˌɪllætt͡ʃˈɪlɪk
نۇپۇسى	nupˈusɪ
ئۆلگەن	ˈœlɡæn
ئۆزئارا	œzˈɑɾɑ
دىۋان	dˈɪwɑn
مەزمۇنى	mæzmˈunɪ
بىرنەچچە	bɪrnˈæt͡ʃt͡ʃæ
ئۇلۇغ	ˈuluʁ
ئېيتتى	ˈejttɪ
ئەنئەنىۋىي	ˌænænˈɪwɪj
ئۈزۈپ	ˈyzyp
قىسمى	qˈɪsmɪ
كۈلتۈر	kˈyltyr
ئېرى	ˈeɾɪ
تەشكىل	tˈæʃkɪl
ئىسھاق	ˈɪshɑq
قوزغىلاڭ	qozʁˈɪlɑŋ
نەۋائىي	næwˈɑɪj
ئايەتلەر	ɑjˈætlær
غىچە	ʁˈɪt͡ʃæ
پوچتا	pˈot͡ʃtɑ
كېيىنمۇ	kejˈɪnmu
ئۇلۇس	ˈulus
ئۆزىمىزگە	ˌœzɪmˈɪzɡæ
پەرز	pˈærz
كېيىنچە	kejˈɪnt͡ʃæ
كىتابى	kɪtˈɑbɪ
ئوقۇغۇچىلارنىڭ	ˌoquʁˌut͡ʃɪlˈɑrnɪŋ
مىللەتلەرنى	mˌɪllætlˈærnɪ
ساقىت	sˈɑqɪt
جىنايى	d͡ʒɪnˈɑjɪ
كۆمەچ	kˈœmæt͡ʃ
شىمالدىكى	ʃˌɪmɑldˈɪkɪ
ئىجاد	ˈɪd͡ʒɑd
سوڭرە	sˈoŋræ
ياۋرۇپا	jɑwrˈupɑ
ئەكس	ˈæks
بايلىقىدىن	bˌɑjlɪqˈɪdɪn
ئوغلى	ˈoʁlɪ
ۋاستە	wˈɑstæ
قوللانغان	qollˈɑnʁɑn
ھاراق	hˈɑɾɑq
تۈر	tˈyr
مەركىزىدە	mˌærkɪzˈɪdæ
مەكتىپى	mæktˈɪpɪ
خاتا	χˈɑtɑ
تېگىشلىك	teɡˈɪʃlɪk
تۇنجى	tˈund͡ʒɪ
ئالەمنىڭ	ɑlˈæmnɪŋ
ئەسەرلىرى	ˌæsærlˈɪɾɪ
ئىچىنى	ɪt͡ʃˈɪnɪ
دۇنيادىكى	dˌunjɑdˈɪkɪ
رايۇننومۇرى	rˌɑjunnomˈuɾɪ
بىرىنى	bɪɾˈɪnɪ
تېخىچە	teχˈɪt͡ʃæ
ئازات	ˈɑzɑt
توغۇلغان	toʁˈulʁɑn
ئەدەبىياتىغا	ˌædæbˌɪjɑtˈɪʁɑ
رەڭدە	rˈæŋdæ
قىلىشىغا	qˌɪlɪʃˈɪʁɑ
زور	zˈor
قىلغۇچىلارنىڭ	qˌɪlʁut͡ʃɪlˈɑrnɪŋ
قامۇسى	qɑmˈusɪ
ھالقا	hˈɑlqɑ
شەكىللىرى	ʃˌækɪllˈɪɾɪ
شۇنىڭغا	ʃunˈɪŋʁɑ
سىياسىتىنى	sˌɪjɑsɪtˈɪnɪ
مەسىلىگە	mˌæsɪlˈɪɡæ
بەزىلىرى	bˌæzɪlˈɪɾɪ
تاشلاپ	tˈɑʃlɑp
ئۆسىدۇ	œsˈɪdu
كېيىنكى	kejˈɪnkɪ
شەخسى	ʃˈæχsɪ
ۋەزىپىسى	wˌæzɪpˈɪsɪ
جەنۇبتىن	d͡ʒænˈubtɪn
ياسىلىدۇ	jˌɑsɪlˈɪdu
ھەددىدىن	hæddˈɪdɪn
قىسمەن	qˈɪsmæn
تاۋۇشى	tɑwˈuʃɪ
ئېيىق	ˈejɪq
نۇقتىسىدىن	nˌuqtɪsˈɪdɪn
رەئىسى	ræˈɪsɪ
جەڭدە	d͡ʒˈæŋdæ
سەپ	sˈæp
تەربىيىسى	tˌærbɪjˈɪsɪ
بەدىلىگە	bˌædɪlˈɪɡæ
قوينىڭ	qˈojnɪŋ
بەك	bˈæk
نومۇرى	nomˈuɾɪ
تۈنۈگۈن	tynˈyɡyn
بېسىمى	besˈɪmɪ
بولۇۋاتقان	bˌoluwˈɑtqɑn
ياسىغان	jɑsˈɪʁɑn
ئىزدەڭ	ˈɪzdæŋ
ئەنئەنە	ænˈænæ
پارتىيىسى	pˌɑrtɪjˈɪsɪ
بىرىش	bˈɪɾɪʃ
ھاجى	hˈɑd͡ʒɪ
لېكىن	lˈekɪn
ئىدۇق	ˈɪduq
بىلىدۇ	bɪlˈɪdu
بېشىدىن	beʃˈɪdɪn
قىلغانلىقىنى	qˌɪlʁɑnlɪqˈɪnɪ
كۈنلەردە	kynlˈærdæ
ئىلىم	ˈɪlɪm
ئىشخانىسى	ˌɪʃχɑnˈɪsɪ
قولدىن	qˈoldɪn
ئېغىرلىق	eʁˈɪrlɪq
ئىمپېرىيە	ˌɪmpeɾˈɪjæ
تاش	tˈɑʃ
قاتاردا	qɑtˈɑrdɑ
ئالاھىدىلىكى	ˌɑlɑhˌɪdɪlˈɪkɪ
ئوقۇغانلىقى	ˌoquʁɑnlˈɪqɪ
ئادەملىرى	ˌɑdæmlˈɪɾɪ
ھېلىمۇ	helˈɪmu
ۋاپاتى	wɑpˈɑtɪ
كەلتۈرۈش	kæltˈyɾyʃ
تۈردە	tˈyrdæ
كىيىنكى	kɪjˈɪnkɪ
مىللىتىنىڭ	mˌɪllɪtˈɪnɪŋ
قولدا	qˈoldɑ
ئۇنۋان	ˈunwɑn
بىرۇنىنىڭ	bˌɪɾunˈɪnɪŋ
جەرياندا	d͡ʒærjˈɑndɑ
شەكلى	ʃˈæklɪ
ئىشىكى	ɪʃˈɪkɪ
بېكىتىپ	bekˈɪtɪp
شىركەتتىن	ʃɪrkˈættɪn
يوقىرى	joqˈɪɾɪ
سۇغا	sˈuʁɑ
قالدى	qˈɑldɪ
مۇددەت	mˈuddæt
بايلىقى	bɑjlˈɪqɪ
يېزىلىشى	jˌezɪlˈɪʃɪ
قىپتۇ	qˈɪptu
ئۇ	ˈu
فىلىم	fˈɪlɪm
ئۆزى	ˈœzɪ
زىيالىي	zɪjˈɑlɪj
تاشيوللىرى	tˌɑʃjollˈɪɾɪ
ماڭغاندا	mɑŋʁˈɑndɑ
مۇكاپاتىغا	mˌukɑpɑtˈɪʁɑ
باغ	bˈɑʁ
پەش	pˈæʃ
ئۆزگەرتىلگەن	ˌœzɡærtˈɪlɡæn
داۋا	dˈɑwɑ
كىچىككىنە	kˌɪt͡ʃɪkkˈɪnæ
ھېسابلىنىدۇ	hˌesɑblɪnˈɪdu
دەرھال	dˈærhɑl
تونۇش	tˈonuʃ
غەلىتە	ʁælˈɪtæ
مىلادىدىن	mˌɪlɑdˈɪdɪn
كۆپىنچىسى	kˌœpɪnt͡ʃˈɪsɪ
چىقىپ	t͡ʃˈɪqɪp
تەبىئىي	tæbˈɪɪj
گېكتار	ɡˈektɑr
بارلىققا	bɑrlˈɪqqɑ
ئالەمدىن	ɑlˈæmdɪn
ئۇنىۋېرسال	ˌunɪwˈersɑl
ئەمەسلىكىنى	ˌæmæslɪkˈɪnɪ
يېتىشىپ	jetˈɪʃɪp
ھەر	hˈær
ھىندى	hˈɪndɪ
ئالدىدا	ɑldˈɪdɑ
ئەسىردىن	æsˈɪrdɪn
ھەركەت	hˈærkæt
پات	pˈɑt
كۆچمە	kˈœt͡ʃmæ
جەنۇبىي	d͡ʒænˈubɪj
تۈسىنى	tysˈɪnɪ
قۇرۇلدى	quɾˈuldɪ
نەچچە	nˈæt͡ʃt͡ʃæ
ى	ˈɪ
بۇخارا	buχˈɑɾɑ
ئۇرۇق	ˈuɾuq
ناھايىتىمۇ	nˌɑhɑjɪtˈɪmu
چۈشەنچىسىنى	t͡ʃˌyʃænt͡ʃɪsˈɪnɪ
ھەمىشە	hæmˈɪʃæ
ھۇجۇم	hˈud͡ʒum
ھەسسىلەپ	hæssˈɪlæp
تېزلا	tˈezlɑ
جۈملىدىن	d͡ʒymlˈɪdɪn
ياكى	jˈɑkɪ
كىچىكىدىن	kˌɪt͡ʃɪkˈɪdɪn
ئازادلىقتىن	ˌɑzɑdlˈɪqtɪn
يەرنىڭ	jˈærnɪŋ
ئىتالىيە	ˌɪtɑlˈɪjæ
قىزىل	qˈɪzɪl
يەرنى	jˈærnɪ
قاتارىدىن	qˌɑtɑɾˈɪdɪn
تىرىشىپ	tɪɾˈɪʃɪp
ئوقۇشقا	oqˈuʃqɑ
قالمىدى	qɑlmˈɪdɪ
قاراخانىيلار	qˌɑɾɑχɑnˈɪjlɑr
مەنىسىدىكى	mˌænɪsɪdˈɪkɪ
كېلىۋاتقان	kˌelɪwˈɑtqɑn
يىلىغا	jɪlˈɪʁɑ
ھالاك	hˈɑlɑk
قىلىشىمىز	qˌɪlɪʃˈɪmɪz
قاپتۇ	qˈɑptu
ياۋروپادا	jˌɑwropˈɑdɑ
مەقسىدى	mæqsˈɪdɪ
ئاستى	ˈɑstɪ
بىرىپ	bˈɪɾɪp
سوڭىغا	soŋˈɪʁɑ
ئوزۇقلۇق	ozˈuqluq
نەزىرىدە	nˌæzɪɾˈɪdæ
سارىيى	sɑɾˈɪjɪ
كۈچلۈك	kˈyt͡ʃlyk
ئېچىلغان	et͡ʃˈɪlʁɑn
شېئىرلار	ʃeˈɪrlɑr
باغۋەنچىلىك	bˌɑʁwænt͡ʃˈɪlɪk
قەشقەر	qˈæʃqær
ياشاپ	jˈɑʃɑp
دە	dˈæ
ترامپ	trˈɑmp
ئاللاھ	ˈɑllɑh
تارقىتىلغان	tˌɑrqɪtˈɪlʁɑn
ھاكىمىيەتنى	hˌɑkɪmɪjˈætnɪ
خەنزۇ	χˈænzu
يەتكۈزۈپ	jætkˈyzyp
سەنئەت	sˈænæt
ماددى	mˈɑddɪ
ئاتا	ˈɑtɑ
تۇرۇشلۇق	tuɾˈuʃluq
ئاپتونۇم	ɑptˈonum
دەرىجىسىنى	dˌæɾɪd͡ʒɪsˈɪnɪ
بىلىمگە	bɪlˈɪmɡæ
ماددىي	mˈɑddɪj
رەھىمەھۇللاھ	rˌæhɪmæhˈullɑh
تۈرى	tˈyɾɪ
ھىندىستاننىڭ	hˌɪndɪstˈɑnnɪŋ
پايتەختى	pɑjtˈæχtɪ
گۇرۇپپا	ɡuɾˈuppɑ
خەت	χˈæt
ئىنسانىيەتنىڭ	ˌɪnsɑnɪjˈætnɪŋ
ق	q
قۇرۇلمىسى	qˌuɾulmˈɪsɪ
ئىكەن	ˈɪkæn
ناننىڭ	nˈɑnnɪŋ
ئۇنۋانىغا	ˌunwɑnˈɪʁɑ
ئىتتىپاقداش	ˌɪttɪpˈɑqdɑʃ
ئىچكىرى	ɪt͡ʃkˈɪɾɪ
ياخشىراق	jɑχʃˈɪɾɑq
تۆھپە	tˈœhpæ
نەشر	nˈæʃr
پەقەت	pˈæqæt
سالىھ	sˈɑlɪh
بىرگە	bˈɪrɡæ
ئۇچۇرلار	ut͡ʃˈurlɑr
چاچ	t͡ʃˈɑt͡ʃ
سۈرئەتتە	syɾˈættæ
ئىمكانىيەت	ˌɪmkɑnˈɪjæt
بىلىپ	bˈɪlɪp
ھاياتلىق	hɑjˈɑtlɪq
گىلەم	ɡˈɪlæm
شۇنچە	ʃˈunt͡ʃæ
كۆڭلىنى	kœŋlˈɪnɪ
ئىشلەپچىقىرىش	ˌɪʃlæpt͡ʃɪqˈɪɾɪʃ
دىمەك	dˈɪmæk
توپلاش	tˈoplɑʃ
ئەسىرىنى	ˌæsɪɾˈɪnɪ
جازاسىغا	d͡ʒˌɑzɑsˈɪʁɑ
ھەزرىتى	hæzrˈɪtɪ
مۇۋەپپەقىيەتلىك	mˌuwæppˌæqɪjˈætlɪk
تەڭرىتاغ	tæŋrˈɪtɑʁ
دۆلەتلىرى	dˌœlætlˈɪɾɪ
جەمئىي	d͡ʒˈæmɪj
قىلالايدىغان	qˌɪlɑlɑjdˈɪʁɑn
قار	qˈɑr
تۆلەپ	tˈœlæp
بىلەتتى	bɪlˈættɪ
خەۋپسىزلىكى	χˌæwpsɪzlˈɪkɪ
ئىسىم	ˈɪsɪm
ئۇچرايدىغان	ˌut͡ʃrɑjdˈɪʁɑn
مەندىن	mˈændɪn
بەرداشلىق	bærdˈɑʃlɪq
تۇرمۇشنى	turmˈuʃnɪ
دەۋرىدىن	dæwrˈɪdɪn
ياسىر	jˈɑsɪr
يوپۇرماق	jopˈurmɑq
مۇۋەپپەقىيەتكە	mˌuwæppˌæqɪjˈætkæ
ئىگىلەيدۇ	ˌɪɡɪlˈæjdu
كىشىلەرگە	kˌɪʃɪlˈærɡæ
سەلبى	sˈælbɪ
ئىشلەش	ˈɪʃlæʃ
تەۋە	tˈæwæ
گۇاڭشۈ	ɡuˈɑŋʃy
باغلىنىپ	bɑʁlˈɪnɪp
شەنبە	ʃˈænbæ
خوتەن	χˈotæn
شىسىنىڭ	ʃɪsˈɪnɪŋ
نۇزۇكۇمنىڭ	nˌuzukˈumnɪŋ
تىخى	tˈɪχɪ
باغلاپ	bˈɑʁlɑp
يېتىدىغان	jˌetɪdˈɪʁɑn
ھىچكىم	hˈɪt͡ʃkɪm
كىتابلار	kɪtˈɑblɑr
ئۇسۇلىنى	ˌusulˈɪnɪ
چىقىم	t͡ʃˈɪqɪm
تۇل	tˈul
دورىغا	doɾˈɪʁɑ
ئاددىي	ˈɑddɪj
كىتاب	kˈɪtɑb
تېپىش	tˈepɪʃ
قىلماق	qˈɪlmɑq
ئىلىش	ˈɪlɪʃ
قوزغىغان	qozʁˈɪʁɑn
يېرىنى	jeɾˈɪnɪ
مەھسۇلاتلىرىنى	mˌæhsulˌɑtlɪɾˈɪnɪ
بولغانلار	bolʁˈɑnlɑr
سىتاتىسكىگا	sˌɪtɑtɪskˈɪɡɑ
ياشاۋاتقان	jˌɑʃɑwˈɑtqɑn
دوكتۇر	dˈoktur
رامىزان	rɑmˈɪzɑn
مەخسۇت	mˈæχsut
بولۇۋاتىدۇ	bˌoluwɑtˈɪdu
قوناق	qˈonɑq
ماگىستىرلىق	mˌɑɡɪstˈɪrlɪq
ھەدىسنى	hædˈɪsnɪ
ئالدىغا	ɑldˈɪʁɑ
پەيغەمبەرنىڭ	pˌæjʁæmbˈærnɪŋ
خەلقىمىز	χælqˈɪmɪz
كىرىدۇ	kɪɾˈɪdu
ئىتىراپ	ɪtˈɪɾɑp
يۇلتۇز	jˈultuz
كەتسە	kˈætsæ
قاتارلىقلار	qˌɑtɑrlˈɪqlɑr
ھازىرچە	hɑzˈɪrt͡ʃæ
ھېسابلاش	hesˈɑblɑʃ
مىللىمېتىر	mˌɪllɪmˈetɪr
تەرجىمىسى	tˌærd͡ʒɪmˈɪsɪ
مەۋجۇتلۇقىنى	mˌæwd͡ʒutluqˈɪnɪ
باجنى	bˈɑd͡ʒnɪ
پۇلغا	pˈulʁɑ
ئوتتا	ˈottɑ
بېرىپتۇ	beɾˈɪptu
مەھمۇد	mˈæhmud
ئەقىللىق	æqˈɪllɪq
كىرىمى	kɪɾˈɪmɪ
يېنىپ	jˈenɪp
ئېلىنىپ	elˈɪnɪp
تۆت	tˈœt
تەقدىر	tˈæqdɪr
تاشقى	tˈɑʃqɪ
قۇرۇلما	quɾˈulmɑ
ئاخىرىدا	ˌɑχɪɾˈɪdɑ
بىلىش	bˈɪlɪʃ
مەسخىرە	mæsχˈɪɾæ
يۇرتى	jˈurtɪ
بولۇشتىن	bolˈuʃtɪn
ئەل	ˈæl
مىللەتلەرگە	mˌɪllætlˈærɡæ
شىمالدا	ʃɪmˈɑldɑ
ۋۇجۇدقا	wud͡ʒˈudqɑ
ئاددى	ˈɑddɪ
بولمايدۇ	bolmˈɑjdu
ئۆزىدە	œzˈɪdæ
ياشىغان	jɑʃˈɪʁɑn
غوللۇق	ʁˈolluq
سورايدۇ	soɾˈɑjdu
تەرەپتە	tæɾˈæptæ
بۈگۈنگىچە	bˌyɡynɡˈɪt͡ʃæ
قاتارلىقلارنىڭ	qˌɑtɑrlɪqlˈɑrnɪŋ
جۇمھۇرىيەت	d͡ʒˌumhuɾˈɪjæt
بەزىلەر	bæzˈɪlær
چۆللۈك	t͡ʃˈœllyk
ئارىدا	ɑɾˈɪdɑ
كەلدى	kˈældɪ
دۆلىتىگە	dˌœlɪtˈɪɡæ
تەقلىد	tˈæqlɪd
قالسا	qˈɑlsɑ
قىلىپتۇ	qɪlˈɪptu
يۈك	jˈyk
خاتىرجەم	χɑtˈɪrd͡ʒæm
قۇربان	qˈurbɑn
گەۋدىلىك	ɡæwdˈɪlɪk
يەھۇدى	jæhˈudɪ
ئايالى	ɑjˈɑlɪ
قەشقەرنىڭ	qæʃqˈærnɪŋ
تۈركىيە	tyrkˈɪjæ
ئېسىمگە	esˈɪmɡæ
خەلقئارادا	χˌælqɑɾˈɑdɑ
بەلۋاغ	bˈælwɑʁ
ياپونىيىدە	jˌɑponɪjˈɪdæ
مايسا	mˈɑjsɑ
ئىلگىرى	ɪlɡˈɪɾɪ
تۈزلەڭلىك	tyzlˈæŋlɪk
يەرگە	jˈærɡæ
جۇڭگوغا	d͡ʒuŋɡˈoʁɑ
زىمىنى	zɪmˈɪnɪ
ھۆكۈمرانلىق	hˌœkymrˈɑnlɪq
سىياسىتىنىڭ	sˌɪjɑsɪtˈɪnɪŋ
كۆرسىتىلگەن	kˌœrsɪtˈɪlɡæn
يارىتىپ	jɑɾˈɪtɪp
تەشۋىقات	tæʃwˈɪqɑt
ئانام	ˈɑnɑm
بۇيىچە	bujˈɪt͡ʃæ
ئورگىنىنىڭ	ˌorɡɪnˈɪnɪŋ
ئورۇندا	oɾˈundɑ
شارائىتتا	ʃˌɑɾɑˈɪttɑ
كىلىدۇ	kɪlˈɪdu
ئوغلىنى	oʁlˈɪnɪ
پاختا	pˈɑχtɑ
قەدىمدىن	qædˈɪmdɪn
قىلىندى	qɪlˈɪndɪ
ئەشمە	ˈæʃmæ
دائىرىدە	dˌɑɪɾˈɪdæ
ئاستىدا	ɑstˈɪdɑ
رايوندا	rɑjˈondɑ
نەرسىنىڭ	nærsˈɪnɪŋ
خاتىرە	χɑtˈɪɾæ
تىلەيمىز	tɪlˈæjmɪz
قىلىنىشقا	qˌɪlɪnˈɪʃqɑ
نېمىگە	nemˈɪɡæ
قىلاتتى	qɪlˈɑttɪ
ئۇنىڭدىكى	ˌunɪŋdˈɪkɪ
جايدىكى	d͡ʒɑjdˈɪkɪ
قىلغۇچ	qˈɪlʁut͡ʃ
سازاۋەر	sɑzˈɑwær
كۈنگە	kˈynɡæ
شىمالدىن	ʃɪmˈɑldɪn
بىلىدىغان	bˌɪlɪdˈɪʁɑn
تۈركىيەنىڭ	tˌyrkɪjˈænɪŋ
ئىجادىيەت	ˌɪd͡ʒɑdˈɪjæt
فرانسۇز	frˈɑnsuz
بىرى	bˈɪɾɪ
قىممىتىنى	qˌɪmmɪtˈɪnɪ
ئاسانلا	ɑsˈɑnlɑ
گېزىت	ɡˈezɪt
دەۋرنىڭ	dˈæwrnɪŋ
مەزگىل	mˈæzɡɪl
ساقلانغان	sɑqlˈɑnʁɑn
تىرىشچانلىق	tˌɪɾɪʃt͡ʃˈɑnlɪq
سەمىمىي	sæmˈɪmɪj
مەقسىتىدە	mˌæqsɪtˈɪdæ
تارقىلىش	tɑrqˈɪlɪʃ
فوند	fˈond
ئالدى	ˈɑldɪ
كەڭ	kˈæŋ
مەقسىتى	mæqsˈɪtɪ
بىزدىكى	bɪzdˈɪkɪ
چىراغ	t͡ʃˈɪɾɑʁ
بىن	bˈɪn
يېغىن	jˈeʁɪn
ھېس	hˈes
ئۈستىدە	ystˈɪdæ
مەركىزىي	mærkˈɪzɪj
قالغان	qˈɑlʁɑn
پادىشاھى	pˌɑdɪʃˈɑhɪ
سىناپ	sˈɪnɑp
ئېرىشكەن	eɾˈɪʃkæn
بېسىپ	bˈesɪp
سۆزلەرگە	sœzlˈærɡæ
ماتېماتىكا	mˌɑtemɑtˈɪkɑ
بارىدىغان	bˌɑɾɪdˈɪʁɑn
ھىجرىيە	hɪd͡ʒrˈɪjæ
كىرىشكە	kɪɾˈɪʃkæ
قالغانلىرى	qˌɑlʁɑnlˈɪɾɪ
ئارقا	ˈɑrqɑ
تەشكىلىي	tæʃkˈɪlɪj
بەكمۇ	bˈækmu
كەچۈرگەن	kæt͡ʃˈyrɡæn
سالىدۇ	sɑlˈɪdu
ئىكەنلىكى	ˌɪkænlˈɪkɪ
شەكلىدىكى	ʃˌæklɪdˈɪkɪ
ئانىسىغا	ˌɑnɪsˈɪʁɑ
ھاجىم	hˈɑd͡ʒɪm
نەتىجىدە	nˌætɪd͡ʒˈɪdæ
يۇيۇش	jˈujuʃ
ناماز	nˈɑmɑz
توسقۇنلۇق	tosqˈunluq
قاتارلىق	qɑtˈɑrlɪq
مەكتىپىگە	mˌæktɪpˈɪɡæ
زىكىر	zˈɪkɪr
پۇت	pˈut
تەشكىلاتلارنىڭ	tˌæʃkɪlɑtlˈɑrnɪŋ
مۇناسىۋىتى	mˌunɑsɪwˈɪtɪ
يېزىنىڭ	jezˈɪnɪŋ
كىشىلەر	kɪʃˈɪlær
تاتار	tˈɑtɑr
چاغدا	t͡ʃˈɑʁdɑ
ئاپتونومىيە	ˌɑptonomˈɪjæ
ئۈرۈمچىدە	ˌyɾymt͡ʃˈɪdæ
پىشقان	pˈɪʃqɑn
تۈركۈم	tˈyrkym
ياۋروپانىڭ	jˌɑwropˈɑnɪŋ
ھۆل	hˈœl
كارخانا	kɑrχˈɑnɑ
بىرلا	bˈɪrlɑ
سوزۇلغان	sozˈulʁɑn
بۆلۈنۈپ	bœlˈynyp
بارا	bˈɑɾɑ
يېشىل	jˈeʃɪl
ياشلارنىڭ	jɑʃlˈɑrnɪŋ
قازانغان	qɑzˈɑnʁɑn
ئىتتىپاق	ɪttˈɪpɑq
چاقىردى	t͡ʃɑqˈɪrdɪ
مەندە	mˈændæ
تۇغما	tˈuʁmɑ
ماشىنا	mɑʃˈɪnɑ
داۋالاش	dɑwˈɑlɑʃ
ئوتاق	ˈotɑq
قاماق	qˈɑmɑq
ئالىملىرى	ˌɑlɪmlˈɪɾɪ
تەنلىك	tˈænlɪk
كەينىدىن	kæjnˈɪdɪn
دېگەن	dˈeɡæn
شەرەپ	ʃˈæɾæp
كىرىش	kˈɪɾɪʃ
دېڭىز	dˈeŋɪz
ئانا	ˈɑnɑ
