hokimiyatiga	hˌɑkymˌyjætˈyɡæ
bajarish	bæd͡ʒˈæɾyʃ
aktyor	ˈæktjɑɾ
magnetit	mæɡnˈetyt
tarhli	tˈæɾhɫy
mahoratini	mˌæhɑɾætˈyny
hayvonlarning	hˌæjʋɑnlˈæɾnyŋ
Mening	mˌenyŋ
birlashmalari	bˌyɾlæʃmælˈæɾy
jangni	d͡ʒˈæŋny
metallni	metˈæɫɫny
har	hˈæɾ
huquqni	hʊqˈʊqny
Paxtachilik	pˌæχtæt͡Sˈyɫyk
olmaydigan	ˌɑɫmæjdˈyɡæn
janrlar	d͡ʒˈænɾlæɾ
adabiyotida	ˌædæbˌyjɑtˈydæ
chuqurlashtirish	t͡Sˌʊqʊɾlæʃtˈyɾyʃ
Mirzachoʻl	myɾzˈæt͡Soɫ
Xayyom	χˈæjjɑm
siyosati	sˌyjɑsˈæty
qumtoshlardan	qˌʊmtɑʃlˈæɾdæn
sektor	sˈektɑɾ
muxlislari	mˌʊχɫyslˈæɾy
vakolat	ʋækˈɑlæt
telekoʻrsatuv	tˌelekoɾsˈætʊʋ
protonlar	pɾɑtˈɑnlæɾ
kontakt	kˈɑntækt
harobalari	hˌæɾɑbælˈæɾy
belgilaydigan	bˌeɫɡylæjdˈyɡæn
qotishmalari	qˌɑtyʃmælˈæɾy
yirik	jˈyɾyk
qiyofasini	qˌyjɑfˌæsˈyny
durang	dˈʊɾæŋ
boʻyin	bˈojyn
mumkin	mˈʊmkyn
demak	dˈemæk
boʻlishida	bˌoɫyʃˈydæ
muvozanatni	mˌʊʋɑzænˈætny
saroyi	sæɾˈɑjy
jamoasi	d͡ʒˌæmɑˈæsy
binoda	bynˈɑdæ
yakunlandi	jˌækʊnlˈændy
nechta	nˈet͡Stæ
Belgiya	beɫɡˈyjæ
oʻzgartirilgan	ˌozɡæɾtyɾˈyɫɡæn
qofiya	qɑfˌyjæ
kritik	kɾˈytyk
janubga	d͡ʒænˈʊbɡæ
bosqichli	bɑsqˈyt͡Sɫy
uch	ˈʊt͡S
talabini	tˌælæbˈyny
sakkiz	sˈækkyz
chorvachilik	t͡Sˌɑɾʋæt͡Sˈyɫyk
Hazorasp	hæzˈɑɾæsp
yotqiziklar	jˌɑtqyzˈyklæɾ
Chimyon	t͡Sˈymjɑn
bolaning	bɑlˈænyŋ
yuritish	jʊɾˈytyʃ
ahvoliga	ˌæhʋɑɫˈyɡæ
mutlaq	mˈʊtlæq
tadan	tˈædæn
yadroli	jædɾˈɑɫy
musodara	mˌʊsɑdˈæɾæ
Shohrux	ʃˈɑhɾʊχ
Dastur	dˈæstʊɾ
hayotidagi	hˌæjɑtydˈæɡy
uyumlari	ˌʊjʊmlˈæɾy
jurnalining	d͡ʒˌʊɾnæɫˈynyŋ
Ozarbayjonda	ˌɑzæɾbæjd͡ʒˈɑndæ
ehtiros	ehtˈyɾɑs
Stavropol	stæʋɾˈɑpɑɫ
erkinlik	eɾkˈynɫyk
benzol	bˈenzɑɫ
Yana	jˈænæ
ishlarga	yʃlˈæɾɡæ
ogʻirroq	ɑʁˈyɾɾɑq
balandlikka	bˌælændɫˈykkæ
yutilishi	jˌʊtyɫˈyʃy
olmagan	ɑɫmˈæɡæn
sirlarini	sˌyɾlæɾˈyny
эса	ˈesæ
voqelikka	ʋˌɑqeɫˈykkæ
kemasi	kemˈæsy
aralashmasidan	ˌæɾælˌæʃmæsˈydæn
atmosferada	ˌætmɑsfˌeɾˈædæ
yoqimli	jɑqˈymɫy
insoniyatning	ˌynsɑnyjˈætnyŋ
mablagʻlari	mˌæblæʁlˈæɾy
investitsiyalar	ˌynʋestˌytsyjˈælæɾ
эга	ˈeɡæ
davlati	dæʋlˈæty
XIX	χˈyχ
boʻlgach	bˈoɫɡæt͡S
boʻlish	bˈoɫyʃ
olinadigan	ˌɑɫynædˈyɡæn
Fargʻona	fˌæɾʁˈɑnæ
Somoniylar	sˌɑmɑnˈyjlæɾ
aralashgan	ˌæɾælˈæʃɡæn
okeanlar	ˌɑkeˈænlæɾ
oʻtilgan	otˈyɫɡæn
kundagi	kʊndˈæɡy
askar	ˈæskæɾ
koʻpchilik	kopt͡Sˈyɫyk
xodimlar	χɑdˈymlæɾ
yadrolar	jædɾˈɑlæɾ
Toshkentga	tɑʃkˈentɡæ
buyurgan	bʊjˈʊɾɡæn
sermahsul	seɾmˈæhsʊɫ
bir	bˈyɾ
partenogenez	pˌæɾtenɑɡˈenez
trubka	tɾˈʊbkæ
shohlari	ʃɑhlˈæɾy
romanida	ɾˌɑmænˈydæ
yopilgan	jɑpˈyɫɡæn
Erkin	ˈeɾkyn
nashr	nˈæʃɾ
sikli	sˈykɫy
idoralari	ˌydɑɾælˈæɾy
Markazi	mæɾkˈæzy
Maorif	mæˈɑɾyf
murakkab	mʊɾˈækkæb
davridagi	dˌæʋɾydˈæɡy
ortopediya	ˌɑɾtɑpedˈyjæ
tomoniga	tˌɑmɑnˈyɡæ
tayyorlash	tæjjˈɑɾlæʃ
birliklar	byɾɫˈyklæɾ
kutib	kˈʊtyb
yoritishga	jˌɑɾytˈyʃɡæ
Turkistondagi	tˌʊɾkystɑndˈæɡy
saboq	sˈæbɑq
sharda	ʃˈæɾdæ
tarixchisi	tˌæɾyχt͡Sˈysy
Azot	ˈæzɑt
tayinlangan	tˌæjynlˈæŋæn
hodisani	hˌɑdysˈæny
Daryo	dˈæɾjɑ
Akademiya	ˌækædemˈyjæ
tuzishga	tʊzˈyʃɡæ
bojxona	bɑd͡ʒχˈɑnæ
muomala	mˌʊɑmˈælæ
poyaning	pɑjˈænyŋ
tubining	tʊbˈynyŋ
sohalardagi	sˌɑhælæɾdˈæɡy
safarga	sæfˌæɾɡæ
Ubayda	ʊbˈæjdæ
dushmani	dʊʃmˈæny
xorijga	χɑɾˈyd͡ʒɡæ
muallif	mʊˈæɫɫyf
qutqarib	qʊtqˈæɾyb
siljiydi	syɫd͡ʒˈyjdy
hisoblashadi	hˌysɑblæʃˈædy
unti	ˈʊnty
Neft	nˈeft
ehtiyotkorlik	ˌehtyjɑtkˈɑɾɫyk
aniqladi	ˌænyqlˈædy
suyuqliklar	sˌʊjʊqɫˈyklæɾ
yotqiziqlarida	jˌɑtqyzˌyqlæɾˈydæ
qoldiklari	qˌɑɫdyklˈæɾy
buzilishi	bˌʊzyɫˈyʃy
tamomlagan	tˌæmɑmlˈæɡæn
qismiga	qysmˈyɡæ
Boshqacha	bɑʃqˈæt͡Sæ
bildirish	byɫdˈyɾyʃ
transformator	tɾænsfˌɑɾmˈætɑɾ
Sudralib	sʊdɾˈæɫyb
tavsiyasi	tˌæʋsyjˈæsy
huquq	hˈʊqʊq
jamiyatini	d͡ʒˌæmyjætˈyny
organizm	ɑɾɡˈænyzm
toʻplamida	tˌoplæmˈydæ
shakllardan	ʃækɫlˈæɾdæn
Piter	pˈyteɾ
yoshlari	jɑʃlˈæɾy
qanotlari	qˌænɑtlˈæɾy
ekvator	ekʋˈætɑɾ
xandaq	χˈændæq
osmonda	ɑsmˈɑndæ
tuziladi	tˌʊzylˈædy
qalqonsimon	qˌæɫqɑnsˈymɑn
tadqiqotlarida	tˌædqyqˌɑtlæɾˈydæ
imperiyasining	ˌympeɾˌyjæsˈynyŋ
arigʻi	æɾˈyʁy
chalinadigan	t͡Sˌæɫynædˈyɡæn
askarlar	æskˈæɾlæɾ
Tailandda	tˌæylˈænddæ
mahsulotining	mˌæhsʊɫɑtˈynyŋ
koʻpincha	kopˈynt͡Sæ
konsertlar	kɑnsˈeɾtlæɾ
joyi	d͡ʒˈɑjy
tilla	tˈyɫlæ
Shreder	ʃɾˈedeɾ
kaskadi	kæskˈædy
ahvolda	æhʋˈɑɫdæ
xitoylik	χytˈɑjɫyk
hozir	hˈɑzyɾ
birinchidan	bˌyɾynt͡Sˈydæn
turklarning	tʊɾklˈæɾnyŋ
boshqariladi	bˌɑʃqæɾylˈædy
sohada	sɑhˈædæ
Oliy	ˈɑɫyj
Nutq	nˈʊtq
hanuzgacha	hˌænʊzɡˈæt͡Sæ
hokimiyati	hˌɑkymyjˈæty
rayonlashtirish	ɾˌæjɑnlæʃtˈyɾyʃ
kilib	kˈyɫyb
yerda	jˈeɾdæ
foizi	fˌɑˈyzy
boqiladi	bˌɑqylˈædy
Murakkab	mʊɾˈækkæb
yasaladi	jˌæsælˈædy
yozuvchilarning	jˌɑzʊʋt͡Sylˈæɾnyŋ
erish	ˈeɾyʃ
toʻldiriladi	tˌoɫdyɾylˈædy
din	dˈyn
gʻoʻzaning	ʁozˈænyŋ
balli	bˈæɫɫy
butkul	bˈʊtkʊɫ
taraqqiyoti	tˌæɾæqqyjˈɑty
gʻoyalarini	ʁˌɑjælæɾˈyny
Relyefi	ɾeɫjˈefˌy
kelayotgan	kˌelæjˈɑtɡæn
progressiv	pɾɑɡɾˈessyʋ
Aylanma	æjlˈænmæ
moddada	mɑddˈædæ
yaqin	jˌæqyn
konlaridan	kˌɑnlæɾˈydæn
kechadigan	kˌet͡Sædˈyɡæn
yod	jˈɑd
masalalarini	mˌæsælˌælæɾˈyny
uyushmalar	ˌʊjʊʃmˈælæɾ
markazlari	mˌæɾkæzlˈæɾy
aytganda	æjtɡˈændæ
Mansur	mˈænsʊɾ
qasos	qˈæsɑs
rejalashtirish	ɾˌed͡ʒælæʃtˈyɾyʃ
burgʻi	bˈʊɾʁy
yomonlashadi	jˌɑmɑnlæʃˈædy
chiqarildi	t͡Sˌyqæɾˈyɫdy
masala	mæsˈælæ
qogʻozi	qɑʁˈɑzy
James	d͡ʒˈæmes
turkumga	tʊɾkˈʊmɡæ
yangi	jˈæŋy
boʻlmadi	boɫmˈædy
vegetatsiya	ʋˌeɡetætsˈyjæ
jadalligi	d͡ʒˌædæɫɫˈyɡy
kimga	kˈymɡæ
hududlar	hʊdˈʊdlæɾ
palma	pˈæɫmæ
qatagʻon	qætˈæʁɑn
yetkazgan	jetkˈæzɡæn
Suvga	sˈʊʋɡæ
tasdiqlandi	tˌæsdyqlˈændy
masofani	mˌæsɑfˌæny
Asosiy	æsˈɑsyj
pastga	pˈæstɡæ
boshqarmasi	bˌɑʃqæɾmˈæsy
chiqishida	t͡Sˌyqyʃˈydæ
koʻrsatib	koɾsˈætyb
qishloqlarga	qˌyʃɫɑqlˈæɾɡæ
suvlarini	sˌʊʋlæɾˈyny
siydik	sˈyjdyk
aprel	ˈæpɾeɫ
Issiqlik	yssˈyqɫyk
ajratilib	ˌæd͡ʒɾætˈyɫyb
poʻlat	pˈolæt
harakatga	hˌæɾækˈætɡæ
oʻrtacha	oɾtˈæt͡Sæ
sir	sˈyɾ
poydevori	pˌɑjdeʋˈɑɾy
бу	bʊ
Iravan	yɾˈæʋæn
Yu	jˈʊ
koʻlining	koɫˈynyŋ
xonada	χɑnˈædæ
eksporti	ekspˈɑɾty
punkti	pˈʊnkty
ruhda	ɾˈʊhdæ
Madina	mædˈynæ
odatda	ɑdˈætdæ
qatnashish	qætnˈæʃyʃ
ehtimol	ehtˈymɑɫ
vazifalarini	ʋˌæzyfˌælæɾˈyny
melioratsiya	mˌeɫyˌɑɾætsˈyjæ
noʻxat	nˈoχæt
harakatlarning	hˌæɾækætlˈæɾnyŋ
olimpiya	ˌɑɫympˈyjæ
yuzasidagi	jˌʊzæsydˈæɡy
Yil	jˈyɫ
kuchsiz	kˈʊt͡Ssyz
polyaklar	pɑɫjˈæklæɾ
buyicha	bʊjˈyt͡Sæ
yozuvchi	jɑzˈʊʋt͡Sy
Oʻquv	ˈoqʊʋ
massalar	mæssˈælæɾ
pyx	pjχ
buzilganda	bˌʊzyɫɡˈændæ
Serial	seɾˈyæɫ
grammatik	ɡɾæmmˈætyk
ijodiyoti	ˌyd͡ʒɑdyjˈɑty
urinib	ʊɾˈynyb
soʻnggi	sˈoŋɡy
milliondan	mˌyɫɫyˈɑndæn
nuqsonlar	nʊqsˈɑnlæɾ
sogʻlomlashtirish	sˌɑʁɫɑmlæʃtˈyɾyʃ
qar	qˈæɾ
Fargona	fˌæɾɡˈɑnæ
koshinlar	kɑʃˈynlæɾ
yetuk	jˈetʊk
moddaga	mɑddˈæɡæ
oʻlja	ˈoɫd͡ʒæ
pullar	pˈʊɫlæɾ
Erkak	ˈeɾkæk
Oʻzbekistonda	ˌozbekystˈɑndæ
shaharlarini	ʃˌæhæɾlæɾˈyny
tomonga	tɑmˈɑŋæ
yoʻlga	jˈoɫɡæ
Chatqol	t͡Sˈætqɑɫ
intildi	yntˈyɫdy
oʻsimligi	ˌosymɫˈyɡy
koʻplik	kˈopɫyk
koʻrsatkich	koɾsˈætkyt͡S
tebranishlarni	tˌebɾænyʃlˈæɾny
avtomatlashtirilgan	ˌæʋtɑmˌætlæʃtyɾˈyɫɡæn
ped	pˈed
yuritadi	jˌʊɾytˈædy
infraqizil	ynfɾˌæqˈyzyɫ
olmaydilar	ˌɑɫmæjdˈylæɾ
eruvchan	eɾˈʊʋt͡Sæn
laureati	lˌæʊɾeˈæty
Chetga	t͡Sˈetɡæ
oʻqilgan	oqˈyɫɡæn
foyda	fˌɑjdæ
osongina	ˌɑsɑŋˈynæ
tejash	tˈed͡ʒæʃ
Adliya	ædɫˈyjæ
vazirligining	ʋˌæzyɾɫyɡˈynyŋ
toʻplamlari	tˌoplæmlˈæɾy
ochishga	ɑt͡Sˈyʃɡæ
Suv	sˈʊʋ
sistemasini	sˌystemæsˈyny
dotsent	dˈɑtsent
Nerv	nˈeɾʋ
Universitetda	ˌʊnyʋˌeɾsytˈetdæ
klaster	klˈæsteɾ
timsoli	tymsˈɑɫy
gomologik	ɡˌɑmɑɫˈɑɡyk
Komil	kˈɑmyɫ
sara	sˈæɾæ
mamlakati	mˌæmlækˈæty
oʻzga	ˈozɡæ
yoʻllarida	jˌoɫlæɾˈydæ
operasi	ˌɑpeɾˈæsy
Qarshi	qˌæɾʃy
Koreyaning	kˌɑɾejˈænyŋ
Isuzu	ysˈʊzʊ
filiallari	fˌyɫyæɫlˈæɾy
mamlakatlardan	mˌæmlækætlˈæɾdæn
amaliyot	ˌæmæɫˈyjɑt
protsessual	pɾˌɑtsessˈʊæɫ
davrning	dˈæʋɾnyŋ
kooperativ	kˌɑɑpeɾˈætyʋ
jurnalist	d͡ʒʊɾnˈæɫyst
ortgan	ˈɑɾtɡæn
berganda	beɾɡˈændæ
bilgan	bˈyɫɡæn
GES	ɡˈes
burchagi	bʊɾt͡Sˈæɡy
Murod	mˈʊɾɑd
kumir	kˈʊmyɾ
Iqtisodiy	ˌyqtysˈɑdyj
yetish	jˈetyʃ
boʻgʻin	bˈoʁyn
organizmiga	ˌɑɾɡænyzmˈyɡæ
havzasida	hˌæʋzæsˈydæ
umumiylik	ˌʊmʊmˈyjɫyk
balandlikdagi	bˌælændɫykdˈæɡy
oldidan	ɑɫdˈydæn
duragaylar	dˌʊɾæɡˈæjlæɾ
qondagi	qɑndˈæɡy
sazovor	sæzˈɑʋɑɾ
oʻrtalarida	ˌoɾtælæɾˈydæ
tekislikda	tˌekysɫˈykdæ
nutqda	nˈʊtqdæ
hayot	hˈæjɑt
ichimliklar	ˌyt͡Symɫˈyklæɾ
Ohangaron	ˌɑhæŋˈæɾɑn
slavyan	slˈæʋjæn
matematika	mˌætemætˈykæ
dushmanga	dʊʃmˈæŋæ
virusli	ʋyɾˈʊsɫy
mahorat	mæhˈɑɾæt
moddadan	mɑddˈædæn
boʻgʻoz	bˈoʁɑz
toshadi	tɑʃˈædy
surnay	sˈʊɾnæj
Manbalarda	mˌænbælˈæɾdæ
dolomit	dɑɫˈɑmyt
Zafar	zˈæfˌæɾ
Efiopiya	efˌyɑpˈyjæ
qoplab	qˈɑplæb
taraqqiyparvar	tˌæɾæqqyjpˈæɾʋæɾ
eriydigan	ˌeɾyjdˈyɡæn
xilmaxil	χyɫmˈæχyɫ
oʻzgacha	ozɡˈæt͡Sæ
javob	d͡ʒˈæʋɑb
yuritiladi	jˌʊɾytylˈædy
Vatan	ʋˈætæn
Yenisey	jenˈysej
profilaktika	pɾɑfˌylæktˈykæ
dastur	dˈæstʊɾ
borar	bˈɑɾæɾ
Nihoyat	nyhˈɑjæt
qidirib	qydˈyɾyb
Sogʻliqni	sɑʁɫˈyqny
Yurak	jˈʊɾæk
etila	etˈylæ
kursini	kʊɾsˈyny
qilingandan	qˌyɫyŋˈændæn
And	ˈænd
Yadro	jˈædɾɑ
erta	ˈeɾtæ
atlas	ˈætlæs
etilgach	etˈyɫɡæt͡S
drama	dɾˈæmæ
aniqlik	ænˈyqɫyk
mumkinligini	mˌʊmkynɫyɡˈyny
kengaydi	keŋˈæjdy
pogʻonasining	pˌɑʁɑnæsˈynyŋ
doridarmonlar	dˌɑɾydæɾmˈɑnlæɾ
internet	yntˈeɾnet
asari	æsˈæɾy
Telegraf	telˈeɡɾæf
juz	d͡ʒˈʊz
mevalari	mˌeʋælˈæɾy
belgilagan	bˌeɫɡylˈæɡæn
umumlashma	ˌʊmʊmlˈæʃmæ
oʻqigan	oqˈyɡæn
quticha	qʊtˈyt͡Sæ
boshqalarning	bˌɑʃqælˈæɾnyŋ
yosh	jˈɑʃ
unvonini	ˌʊnʋɑnˈyny
soliqlar	sɑɫˈyqlæɾ
tasviriy	tæsʋˈyɾyj
mollyuskalar	mˌɑɫɫjʊskˈælæɾ
tanlashda	tænlˈæʃdæ
saltanati	sˌæɫtænˈæty
uyida	ʊjˈydæ
yozuvga	jɑzˈʊʋɡæ
oʻzidan	ozˈydæn
Kogon	kˈɑɡɑn
Kolumbiya	kˌɑɫʊmbˈyjæ
motor	mˈɑtɑɾ
zarrachalar	zˌæɾɾæt͡Sˈælæɾ
millionga	mˌyɫɫyˈɑŋæ
Aliyev	æɫˈyjeʋ
ratsional	ɾˌætsyˈɑnæɫ
nominal	nɑmˈynæɫ
yetkazadi	jˌetkæzˈædy
ashyosi	æʃjˈɑsy
yonuvchi	jɑnˈʊʋt͡Sy
quyidagicha	qˌʊjydæɡˈyt͡Sæ
pastroq	pˈæstɾɑq
yollanma	jɑɫlˈænmæ
nisbat	nˈysbæt
boshqarish	bɑʃqˈæɾyʃ
taga	tˈæɡæ
qolgani	qɑɫɡˈæny
Safaviylar	sæfˌæʋˈyjlæɾ
Qora	qˈɑɾæ
imkoniyati	ˌymkɑnyjˈæty
takroriy	tækɾˈɑɾyj
tinchlikni	tynt͡Sɫˈykny
sodda	sˈɑddæ
mohiyatini	mˌɑhyjætˈyny
harobasi	hˌæɾɑbˈæsy
Qirgʻiz	qˈyɾʁyz
oqimlar	ɑqˈymlæɾ
kim	kˈym
dispers	dˈyspeɾs
yozish	jˈɑzyʃ
daryolar	dæɾjˈɑlæɾ
Nyu	njˈʊ
mum	mˈʊm
bogʻlaydi	bɑʁlˈæjdy
kattalar	kættˈælæɾ
mashinalari	mˌæʃynælˈæɾy
iltimos	yɫtˈymɑs
yillaridan	jˌyɫlæɾˈydæn
kiyimlar	kyjˈymlæɾ
bayon	bˈæjɑn
susayadi	sˌʊsæjˈædy
bloki	bɫˈɑky
oʻlchagich	oɫt͡Sˈæɡyt͡S
tezlashadi	tˌezlæʃˈædy
odati	ɑdˈæty
Oʻz	ˈoz
daryosigacha	dˌæɾjɑsyɡˈæt͡Sæ
huquqining	hˌʊqʊqˈynyŋ
Konchilik	kɑnt͡Sˈyɫyk
oblasti	ɑblˈæsty
oshirgan	ɑʃˈyɾɡæn
astronomiya	ˌæstɾɑnɑmˈyjæ
Zilzila	zyɫzˈylæ
quduq	qˈʊdʊq
talabalarning	tˌælæbælˈæɾnyŋ
zabt	zˈæbt
urushining	ˌʊɾʊʃˈynyŋ
mahsulotlarining	mˌæhsʊɫˌɑtlæɾˈynyŋ
teatriga	tˌeætɾˈyɡæ
daryosida	dˌæɾjɑsˈydæ
sal	sˈæɫ
rangtasvir	ɾæŋtˈæsʋyɾ
asarlarining	ˌæsæɾlæɾˈynyŋ
uchun	ˌʊt͡Sʊn
arxipelagi	ˌæɾχypelˈæɡy
sohalarida	sˌɑhælæɾˈydæ
kechiradi	kˌet͡Syɾˈædy
ga	ɡæ
tushuntiradi	tˌʊʃʊntyɾˈædy
konlari	kɑnlˈæɾy
ertak	ˈeɾtæk
Kosonsoy	kɑsˈɑnsɑj
erigan	eɾˈyɡæn
qizdirib	qyzdˈyɾyb
ishqalanish	ˌyʃqælˈænyʃ
avlod	ˈæʋɫɑd
Kvant	kʋˈænt
badan	bˈædæn
oylarida	ˌɑjlæɾˈydæ
dengizning	deŋˈyznyŋ
qiyinlashtiradi	qˌyjynlˌæʃtyɾˈædy
kitobxonlar	kˌytɑbχˈɑnlæɾ
kompozitsiyasi	kˌɑmpɑzˌytsyjˈæsy
oʻzgartirildi	ˌozɡæɾtyɾˈyɫdy
elektron	elˈektɾɑn
Nasr	nˈæsɾ
biriktirish	bˌyɾyktˈyɾyʃ
biriktiriladi	bˌyɾyktˌyɾylˈædy
barqarorlik	bˌæɾqæɾˈɑɾɫyk
konstitutsiyaviy	kˌɑnstytˌʊtsyjˈæʋyj
hududining	hˌʊdʊdˈynyŋ
nashriyoti	nˌæʃɾyjˈɑty
NATO	nˈætɑ
asosiy	æsˈɑsyj
Ibtidoiy	ˌybtydˈɑyj
Tomas	tˈɑmæs
afsonasi	æfsˌɑnˈæsy
anglatgan	æŋlˈætɡæn
ayirish	æjˈyɾyʃ
tarixda	tæɾˈyχdæ
keladigan	kˌelædˈyɡæn
qoʻltigʻiga	qˌoɫtyʁˈyɡæ
paleozoy	pˌæleˈɑzɑj
oʻrganishga	ˌoɾɡænˈyʃɡæ
oʻziyurar	ˌozyjˈʊɾæɾ
jarohat	d͡ʒæɾˈɑhæt
qaytarish	qæjtˈæɾyʃ
kitoblarning	kˌytɑblˈæɾnyŋ
adabiyotga	ˌædæbyjˈɑtɡæ
boʻladilar	bˌolædˈylæɾ
tut	tˈʊt
bayrogʻi	bæjɾˈɑʁy
vakolatxonalari	ʋˌækɑlˌætχɑnælˈæɾy
dekabr	dˈekæbɾ
jarangdor	d͡ʒæɾˈæŋdɑɾ
ishlanib	yʃlˈænyb
changlar	t͡Sˈæŋlæɾ
devorida	dˌeʋɑɾˈydæ
qandaydir	qændˈæjdyɾ
olinayotgan	ˌɑɫynæjˈɑtɡæn
qumtosh	qˈʊmtɑʃ
oldiga	ɑɫdˈyɡæ
sado	sˈædɑ
xromosomalar	χɾˌɑmɑsɑmˈælæɾ
gʻori	ʁˈɑɾy
tugatilgan	tˌʊɡætˈyɫɡæn
vodiysidan	ʋˌɑdyjsˈydæn
ozroq	ˈɑzɾɑq
qilinib	qyɫˈynyb
yuzida	jʊzˈydæ
muzlik	mˈʊzɫyk
hisoblagan	hˌysɑblˈæɡæn
yozadi	jɑzˈædy
Atom	ˈætɑm
yopishqoq	jɑpˈyʃqɑq
mashaqqatli	mˌæʃæqqˈætɫy
berish	bˈeɾyʃ
sotuvga	sɑtˈʊʋɡæ
axloq	ˈæχɫɑq
issiklik	yssˈykɫyk
yodgorliklarda	jˌɑdɡɑɾɫyklˈæɾdæ
davlatiga	dˌæʋlætˈyɡæ
federal	fˌedˈeɾæɫ
Samarqandning	sˌæmæɾqˈændnyŋ
egalladi	ˌeɡæɫlˈædy
tillarning	tyɫlˈæɾnyŋ
Georgiy	ɡeˈɑɾɡyj
qayd	qˈæjd
Kushon	kˈʊʃɑn
oshirildi	ˌɑʃyɾˈyɫdy
manfaatlariga	mænfˌæætlæɾˈyɡæ
Dnepr	dnˈepɾ
tabiatdagi	tˌæbyætdˈæɡy
reaksiyasi	ɾˌeæksyjˈæsy
iqlimga	yqɫˈymɡæ
fazoni	fˌæzˈɑny
insonning	ynsˈɑnnyŋ
otasiga	ˌɑtæsˈyɡæ
Kutubxonasi	kˌʊtʊbχɑnˈæsy
misradan	mysɾˈædæn
joylariga	d͡ʒˌɑjlæɾˈyɡæ
yulgʻun	jˈʊɫʁʊn
orollari	ˌɑɾɑɫlˈæɾy
harflari	hæɾflˌæɾy
koʻchmas	kˈot͡Smæs
sepiladi	sˌepylˈædy
Soʻfi	sˈofˌy
oʻzgargan	ozɡˈæɾɡæn
Shaharda	ʃæhˈæɾdæ
jarayoni	d͡ʒˌæɾæjˈɑny
sotiladigan	sˌɑtylædˈyɡæn
Armaniston	ˌæɾmænˈystɑn
publitsist	pʊbɫˈytsyst
sotiladi	sˌɑtylˈædy
Daimler	dæˈymleɾ
etadilar	ˌetædˈylæɾ
sharq	ʃˈæɾq
Bayram	bˈæjɾæm
tubi	tˈʊby
yaxshilanadi	jˌæχʃylænˈædy
tikilgan	tykˈyɫɡæn
Shayboniyxon	ʃˌæjbɑnˈyjχɑn
qurilmalar	qˌʊɾyɫmˈælæɾ
qadar	qˈædæɾ
sovrindori	sˌɑʋɾyndˈɑɾy
chizilgan	t͡Syzˈyɫɡæn
Shtat	ʃtˈæt
hujayralari	hˌʊd͡ʒæjɾælˈæɾy
biladi	bylˈædy
tarmogʻiga	tˌæɾmɑʁˈyɡæ
ovlash	ˈɑʋlæʃ
taraqqiyotini	tˌæɾæqqˌyjɑtˈyny
foydalanishda	fˌɑjdælænˈyʃdæ
podzol	pˈɑdzɑɫ
birjasi	byɾd͡ʒˈæsy
imperator	ˌympeɾˈætɑɾ
gorizontal	ɡˌɑɾyzˈɑntæɫ
rivojida	ɾˌyʋɑd͡ʒˈydæ
ijodida	ˌyd͡ʒɑdˈydæ
bogʻliqligi	bˌɑʁɫyqɫˈyɡy
nomzod	nˈɑmzɑd
kaolin	kæˈɑɫyn
Umumiy	ʊmˈʊmyj
qoʻgʻirchoq	qoʁˈyɾt͡Sɑq
Shanxay	ʃˈænχæj
bajariladigan	bˌæd͡ʒæɾˌylædˈyɡæn
noqulay	nɑqˈʊlæj
asosda	æsˈɑsdæ
boshligʻining	bˌɑʃɫyʁˈynyŋ
tusiga	tʊsˈyɡæ
iborasi	ˌybɑɾˈæsy
tuzilishining	tˌʊzyɫyʃˈynyŋ
boʻddi	bˈoddy
tariqati	tˌæɾyqˈæty
dengizida	dˌeŋyzˈydæ
uchli	ˈʊt͡Sɫy
Oʻ	ˈo
tolasining	tˌɑlæsˈynyŋ
Respublika	ɾˌespʊbɫˈykæ
kommunal	kɑmmˈʊnæɫ
falsafasi	fˌæɫsæfˌæsy
yoʻnalishlaridan	jˌonæɫˌyʃlæɾˈydæn
oʻylaydi	ojlˈæjdy
endokrin	endˈɑkɾyn
safiga	sæfˌyɡæ
U	ʊ
avtomobil	ˌæʋtɑmˈɑbyɫ
qatlamlarida	qˌætlæmlæɾˈydæ
chiqara	t͡Syqˈæɾæ
islohoti	ˌysɫɑhˈɑty
Jumladan	d͡ʒʊmlˈædæn
noqonuniy	nˌɑqɑnˈʊnyj
siyosat	syjˈɑsæt
tavsiya	tæʋsˈyjæ
yelka	jˈeɫkæ
dinini	dynˈyny
ommalashgan	ˌɑmmælˈæʃɡæn
xonlik	χˈɑnɫyk
koʻrsata	koɾsˈætæ
kuchaydi	kʊt͡Sˈæjdy
jiyani	d͡ʒyjˈæny
chegarasidan	t͡Sˌeɡæɾæsˈydæn
ashulalari	ˌæʃʊlælˈæɾy
plastinka	plæstˈynkæ
havodagi	hˌæʋɑdˈæɡy
insonparvarlik	ˌynsɑnpæɾʋˈæɾɫyk
sifatini	syfˌætˈyny
xavfi	χˈæʋfˌy
pishirib	pyʃˈyɾyb
merosiga	mˌeɾɑsˈyɡæ
oʻtgach	ˈotɡæt͡S
yoshida	jɑʃˈydæ
ortigʻi	ɑɾtˈyʁy
massivlari	mˌæssyʋlˈæɾy
Uzluksiz	ʊzɫˈʊksyz
etishiga	ˌetyʃˈyɡæ
vaziyat	ʋæzˈyjæt
oʻyin	ˈojyn
oradan	ɑɾˈædæn
bitimi	bytˈymy
