जलसा	d͡ʒəl̪s̪äː
पतित्व	pət̪ɪt̪wᵊ
मिलन	mɪl̪ə̃n̪
तालु	t̪äːl̪uː
लीद	l̪iːd̪
ऊपरवाला	uːpəɾʋäːl̪äː
सलोतरी	s̪əl̪oːt̪ɾiː
गाँजा	ɡä̃ːn̪d͡ʒäː
प्रजातंत्रवाद	pɾəd͡ʒäːt̪ə̃n̪t̪ɾəʋäːd̪
अत्याचारी	ət̪jäːt͡ʃäːɾiː
बग़ावत	bəɡäːʋət̪
इंफाल	ɪ̃mpʰäːl̪
उनींदा	ʊn̪ĩːn̪d̪äː
खटमिट्ठा	kʰəʈmɪʈ̚ʈʰäː
गिलहरी	ɡɪl̪ɛɦɾiː
मुंसिफ़ाना	mʊ̃n̪s̪ɪpʰäːn̪äː
पीएम	piːẽːm
जुमला	d͡ʒʊ̃ml̪äː
मोबिलिटी	moːbɪl̪ɪʈiː
सौन्दर्य	s̪ɔ̃ːn̪d̪əɾjᵊ
आसाम	äːs̪ä̃ːm
लालफ़ीता	l̪äːl̪pʰiːt̪äː
मांगलिक	mä̃ːŋɡəl̪ɪk
कम्युनिजम	kə̃mjʊn̪ɪzə̃m
कमरबन्द	kəməɾbə̃n̪d̪
शल्यक्रियागार	ʃəl̪jəkɾijäːɡäːɾ
स्वास्थ्य	s̪ʋäːs̪t̪ʰjə
चींटा	t͡ʃĩːʈäː
अंगोट	ə̃ŋɡoːʈ
अनन्नास	ən̪ə̃n̪n̪äːs̪
ग़ुस्लख़ाना	ɣʊs̪l̪xäːn̪äː
ठोकना	ʈʰoːkn̪äː
घंटा	ɡʱəɳʈaː
नानसरा	n̪äːn̪əs̪ɾäː
भावना	bʱäːʋn̪äː
हैज़ा	ɦɛːzäː
आदेश	äːd̪eːʃ
आमंत्रित	äːmə̃n̪t̪ɾɪt̪
पता	pət̪äː
फिसलन	pʰɪs̪l̪ə̃n̪
आलस्य	äːl̪əs̪jᵊ
ओगाज़्म	oːɡäːd͡ʒm
तन्दूरी	t̪ə̃n̪d̪uːɾiː
दरार	d̪əɾäːɾ
भ्रमण	bʱɾəmə̃ɳ
आपत्तिजनक	äːpət̪̚t̪iːd͡ʒən̪ək
दंतमंजन	d̪ə̃n̪t̪mə̃n̪d͡ʒə̃n̪
यान	jä̃ːn̪
डूंगर	ɖũːŋɡəɾ
अफ़्रीका	əpʰɾiːkäː
लड़की	l̪əɽkiː
अधिवार्षिकी	əd̪ʱɪʋäːɾʃɪkiː
मुक्का	mʊk̚käː
तख़ल्लुस	t̪əkʰəl̪l̪ʊs̪
लोहड़ी	l̪oːɦɽiː
हंगरी	ɦə̃ŋɡəɾiː
चुनाव	t͡ʃʊn̪äːʋ
पाकपत्तन	päːkpət̪̚t̪ə̃n̪
प्रकासम	pɾəkäːs̪ə̃m
भैंसा	bʱɛːs̪äː
मनोनित	mən̪oːn̪ɪt̪
हिमाक़त	ɦɪmäːkət̪
भाड़	bʱäːɽ
तीली	t̪iːl̪iː
फ़िल्म	fɪl̪ə̃m
शिकोहाबाद	ʃɪkoːɦäːbäːd̪
जवारी	d͡ʒəʋäːɾiː
ख़ुदावंद	xʊd̪äːʋə̃n̪d̪
मन्नत	mə̃n̪n̪ət̪
ढंग	ɖʱə̃ŋɡ
तपस्वी	t̪əpəs̪ʋiː
संग्रंथन	s̪ə̃ŋɡɾə̃n̪t̪ʰə̃n̪
अतुल्य	ət̪ʊl̪jᵊ
रार	ɾäːɾ
इत्तिहाद	ɪt̪̚t̪ɪɦäːd̪
अभ्यास	əbʱjäːs̪
सन	s̪ə̃n̪
फालसा	pʰäːl̪s̪äː
शख़्स	ʃəxs̪
अंडमान	ə̃ɳɖmä̃ːn̪
तलक	t̪əl̪ək
युग्मनज	jʊɡmən̪əd͡ʒ
अव्यावहारिक	əʋjäːʋɦäːɾɪk
जन्म	d͡ʒə̃n̪mᵊ
भ्रम	bʱɾə̃m
लालफ़ीता	l̪äːl̪fiːt̪äː
मालिकाना	mäːl̪ɪkäːn̪äː
ललाट	l̪əl̪äːʈ
लालफ़ीताशाही	l̪äːl̪fiːt̪äːʃäːɦiː
नमूना	n̪əmuːn̪äː
झाड़	d͡ʒʱäːɽ
उन्नीस	ʊ̃n̪n̪iːs̪
तिरानवे	t̪ɪɾä̃ːn̪weː
धनायन	d̪ʱən̪äːjə̃n̪
सरफ़रोश	s̪əɾfəɾoːʃ
अस्तबल	əs̪t̪əbəl̪
आसक्त	äːs̪əkt̪
वरण	ʋəɾə̃ɳ
उलटना	ʊl̪əʈn̪äː
ढकना	ɖʱəkn̪äː
क्रिस्मस	kɾɪs̪məs̪
बहुसंख्यक	bɔɦɔs̪ə̃ŋkʰjək
उपाय	ʊpäːj
दाता	d̪äːt̪äː
फ़ानी	pʰäːn̪iː
कम्युनिज़म	kə̃mjʊn̪ɪzə̃m
विदा	ʋɪd̪äː
असामान्य	əs̪äːmä̃ːn̪jᵊ
तालीम	t̪äːl̪ĩːm
अफ़सोसजनक	əpʰs̪oːs̪d͡ʒən̪ək
सिक्किम	s̪ɪk̚kɪ̃m
शाही	ʃäːɦiː
मौक़ा	mɔːkäː
शिवलिंग	ʃɪʋl̪ɪ̃ŋɡ
सूचीबद्ध	s̪uːt͡ʃiːbəd̪d̪ʱ
फोड़ा	pʰoːɽäː
रन	ɾə̃n̪
पौरुष	pɔːɾʊʃ
करनाल	kəɾn̪äːl̪
शैक्षणिक	ʃɛːkʃəɳɪk
फोन	pʰõːn̪
शुक्राणु	ʃʊkɾäːɳuː
सशक्तिकरण	s̪əʃəkt̪ɪkəɾə̃ɳ
गैस	ɡɛːs̪
निःशुल्क	n̪ɪɦʃʊl̪k
योग	joːɡäː
अंकुर	ə̃ŋkʊɾ
अर्थालंकार	əɾt̪ʰäːl̪ə̃ŋkäːɾ
अकाल	əkäːl̪
गूगल	ɡuːɡəl̪
दर्जा	d̪əɾd͡ʒäː
निर्दिष्ट	n̪ɪɾd̪ɪʂʈ
शताब्दी	ʃət̪äːbd̪iː
आलपीन	äːl̪pĩːn̪
अजेंडा	əd͡ʒẽːɳɖäː
छलकना	t͡ʃʰəl̪əkn̪äː
वातानुकूलक	ʋäːt̪äːn̪ʊkuːl̪ək
नख़लिस्तान	n̪əkʰl̪ɪs̪t̪ä̃ːn̪
कील	kiːl̪
लेस्टर	l̪eːs̪ʈəɾ
जलारेख	d͡ʒəl̪äːɾeːkʰ
अध्यादेश	əd̪ʱjäːd̪eːʃ
बलग़म	bəl̪ɡə̃m
व्यभिचार	ʋjəbʱɪt͡ʃäːɾ
तुरन्त	t̪ʊɾə̃n̪t̪
मुरझाना	mʊɾd͡ʒʱäːn̪äː
टोकना	ʈoːkn̪äː
अम्मा	ə̃mmäː
प्रयोजन	pɾəjoːd͡ʒə̃n̪
बुलबुला	bʊl̪bʊl̪äː
दुभाषिया	d̪ʊbʱäːʃijäː
हार	ɦäːɾ
गाड़ना	ɡäːɽn̪äː
सुक़रात	s̪ʊqɾäːt̪
सशुल्क	s̪əʃʊl̪k
नाराज़	n̪äːɾäːd͡ʒ
सरहद	s̪əɾɦəd̪
शुरुआती	ʃʊɾʊäːt̪iː
पालतू	päːl̪t̪uː
रौनक़	ɾɔːn̪ək
राजस्थान	ɾäːd͡ʒəs̪t̪ʰä̃ːn̪
शरणार्थी	ʃəɾɳäːɾt̪ʰiː
सकता	s̪əkt̪äː
संग्रहालय	s̪ə̃ŋɡɾəɦäːl̪əj
लहर	l̪ɛɦɛɾ
चेचेन	t͡ʃeːt͡ʃẽːn̪
कान	kä̃ːn̪
बिछवाना	bɪt͡ʃʰʋäːn̪äː
अनुदान	ən̪ʊd̪ä̃ːn̪
तुम्हें	t̪ʊ̃mɦẽː
सत्वर	s̪ət̪wəɾ
तहज़ीब	t̪ɛɦd͡ʒiːb
पश्मीना	pəʃmiːn̪äː
क़बीला	qəbiːl̪äː
एकसमान	eːks̪əmä̃ːn̪
रुग्णालय	ɾʊɡɳäːl̪əj
कत्ल	qət̪l̪
हज़ारहा	ɦəzäːɾɦäː
सैर	s̪ɛːɾ
सलाम	s̪əl̪ä̃ːm
निरपेक्ष	n̪ɪɾpeːkʃ
लिखे	l̪ɪkʰeː
वन	ʋə̃n̪
बरक़रार	bəɾqəɾäːɾ
जोरदार	zoːɾd̪äːɾ
व्यायाम	ʋjäːjä̃ːm
आशीर्वाद	äːʃiːɾʋäːd̪
माधव	mäːd̪ʱəʋ
अनमोल	ə̃n̪moːl̪
इल्मी	ɪl̪miː
फट्टू	pʰəʈ̚ʈuː
अक्षरारंभ	əkʃəɾäːɾə̃mbʱ
गुओमिंदांग	ɡʊoːmɪ̃n̪d̪ä̃ːŋɡ
अधिमास	əd̪ʱɪmäːs̪
मुख़ालिफ़त	mʊkʰäːl̪ɪpʰət̪
अधिकरण	əd̪ʱɪkəɾə̃ɳ
छायावाद	t͡ʃʰäːjäːʋäːd̪
इंगलिस्तान	ɪ̃ŋɡl̪ɪs̪t̪ä̃ːn̪
शुल्क	ʃʊl̪k
सुहाग	s̪ʊɦäːɡ
निपूता	n̪ɪpuːt̪äː
मंत्रिमंडल	mə̃n̪t̪ɾɪmə̃ɳɖəl̪
गुज़श्ता	ɡʊzəʃt̪äː
इलायची	ɪl̪äːjt͡ʃiː
मनोविदलता	mən̪oːʋɪd̪əl̪t̪äː
तरोताज़ा	t̪əɾoːt̪äːd͡ʒäː
सिंघ	s̪ɪ̃ŋɡʱ
तबला	t̪əbl̪äː
बातूनी	bäːt̪uːn̪iː
आत्मरक्षा	äːt̪məɾəkʃäː
पास	päːs̪
सांसद	s̪ä̃ːn̪s̪əd̪
बाल्टी	bäːl̪ʈiː
सहारा	s̪əɦäːɾäː
सचिव	s̪ət͡ʃɪʋ
इंचियोन	ɪ̃n̪t͡ʃijõːn̪
घोड़ा	ɡʱoːɽäː
सपूत	s̪əpuːt̪
विजयादशमी	ʋɪd͡ʒjäːd̪əʃmiː
खाँग	kʰä̃ːŋɡ
शराफत	ʃəɾäːfət̪
समास	s̪əmäːs̪
दिखाऊ	d̪ɪkʰäːuː
खनिज	kʰən̪ɪd͡ʒ
उपधारा	ʊpd̪ʱäːɾäː
मसरूफ़	məs̪ɾuːpʰ
बेल्जियम	beːl̪d͡ʒijə̃m
मौजूदा	mɔːd͡ʒuːd̪äː
जातीय	d͡ʒäːt̪iːjᵊ
छात्र	t͡ʃʰäːt̪ɾᵊ
खानि	kʰäːn̪iː
महफ़ूज़	mɛɦpʰuːd͡ʒ
सहसा	s̪ɛɦs̪äː
सभ्य	s̪əbʱjᵊ
सात	s̪äːt̪
शहज़ादा	ʃɛɦzäːd̪äː
दरमियान	d̪əɾmijä̃ːn̪
नगण्य	n̪əɡə̃ɳjᵊ
चमड़ी	t͡ʃə̃mɽiː
धर्मार्थ	d̪ʱəɾmäːɾt̪ʰ
साग	s̪äːɡ
किला	kɪl̪äː
अभयारण्य	əbʱjäːɾə̃ɳjᵊ
द्विर	d̪wɪɾ
बालतोड़	bäːl̪t̪oːɽ
लंदन	l̪ə̃n̪d̪ə̃n̪
दूधमुँहा	d̪uːd̪ʱmʊ̃ɦäː
क्षमता	kʃə̃mt̪äː
टोली	ʈoːl̪iː
समेटना	s̪əmeːʈn̪äː
बेवा	beːʋäː
वार्तालाप	ʋäːɾt̪äːl̪äːp
स्कूली	s̪kuːl̪iː
चेतावनी	t͡ʃeːt̪äːʋn̪iː
सुलह	s̪ʊl̪əɦ
हलक़	ɦəl̪q
पकवान	pəkwä̃ːn̪
पैंट	pɛ̃ːɳʈ
उदारवाद	ʊd̪äːɾʋäːd̪
मंच	mə̃n̪t͡ʃ
बजना	bəd͡ʒn̪äː
ओसाका	oːs̪äːkäː
कुसल	kʊs̪əl̪
रसोईघर	ɾəs̪oːiːɡʱəɾ
खींचतान	kʰĩːt͡ʃt̪ä̃ːn̪
ख़ुशामद	xʊʃäːməd̪
व्युत्पन्न	ʋjʊt̪pə̃n̪n̪ᵊ
पटल	pəʈəl̪
कारवाँ	käːɾʋä̃ː
नाफ़	n̪äːpʰ
निचोड़	n̪ɪt͡ʃoːɽ
हस्तलिखित	ɦəs̪t̪l̪ɪkʰɪt̪
जाड़ा	d͡ʒäːɽäː
बारूद	bäːɾuːd̪
अल्पकारी	əl̪pəkäːɾiː
अंदाज़ा	ə̃n̪d̪äːd͡ʒäː
अकेलापन	əkeːl̪äːpə̃n̪
संजय	s̪ə̃n̪d͡ʒəj
कैमरा	kɛ̃ːmɾäː
पुरज़ा	pʊɾd͡ʒäː
काढ़ना	käːɽʱn̪äː
गीतकार	ɡiːt̪käːɾ
विस्फोटक	ʋɪs̪pʰoːʈək
आत्मज्ञान	äːt̪məɡjä̃ːn̪
प्रतिनिधित्व	pɾət̪ɪn̪ɪd̪ʱɪt̪wᵊ
आनंद	äːn̪ə̃n̪d̪
देवनागरी	d̪eːʋn̪äːɡɾiː
नक़्क़ारा	n̪ək̚käːɾäː
कोटवाल	koːʈwäːl̪
ख़ारिज	kʰäːɾɪd͡ʒ
जंभ	d͡ʒə̃mbʱ
माघ	mäːɡʱ
घनचक्कर	ɡʱə̃n̪t͡ʃək̚kəɾ
आड़ू	äːɽuː
फ़ायदा	fäːjd̪äː
चालकता	t͡ʃäːl̪əkt̪äː
नित्यप्रति	n̪ɪt̪jəpɾət̪iː
किन्नर	kɪ̃n̪n̪əɾ
कम्युनिज़म	kə̃mjʊn̪ɪd͡ʒm
नत	n̪ət̪
अमचूर	ə̃mt͡ʃuːɾ
आंवला	ä̃ːmwl̪äː
काँव	kä̃ːʋ
परवानगी	pəɾʋä̃ːn̪ɡiː
हामी	ɦäːmiː
ओलंपिक	oːl̪ə̃mpɪk
ख़ूबसूरत	xuːbs̪uːɾət̪
इंतिहा	ɪ̃n̪t̪ɪɦäː
असंभव	əs̪ə̃mbʱəʋ
फ़िलिस्तीनी	pʰɪl̪ɪs̪t̪iːn̪iː
सन्दूक़चा	s̪ə̃n̪d̪uːqt͡ʃäː
मनुज	mən̪ʊd͡ʒ
दरख़ास्त	d̪əɾkʰäːs̪t̪
भास्कर	bʱäːs̪kəɾ
भांजा	bʱä̃ːn̪d͡ʒäː
राज्यानुसार	ɾäːd͡ʒjäːn̪ʊs̪äːɾ
निंदा	n̪ɪ̃n̪d̪äː
स्टाक	s̪ʈäːk
काला	käːl̪äː
करण	kəɾə̃ɳ
भाषा	bʱäːʃäː
तक्षशिला	t̪əkʃəʃɪl̪äː
कॉमनवेल्थ	kɔmə̃n̪weːl̪t̪ʰ
प्रबंधकर्ता	pɾəbə̃n̪d̪ʱkəɾt̪äː
ज़्यादती	d͡ʒjäːd̪ət̪iː
अंतरराष्ट्रीय	ə̃n̪t̪əɾɾäːʃʈɾiːjᵊ
इंग्लैंड	ɪ̃ŋɡl̪ɛ̃ːɳɖ
चमत्कारी	t͡ʃəmət̪käːɾiː
ज़िंदा	zɪ̃n̪d̪äː
मक़दूनिया	məqd̪uːn̪ijäː
द्वारा	d̪wäːɾäː
बनना	bə̃n̪n̪äː
सिरका	s̪ɪɾkäː
गड्ढा	ɡəɖ̚ɖʱäː
स्टेथोस्कोप	s̪ʈeːt̪ʰoːs̪koːp
अयोग्यता	əjoːɡjət̪äː
नेपाल	n̪eːpäːl̪
बुलावा	bʊl̪äːʋäː
ज़लज़ला	zəl̪zəl̪äː
कंठ	kə̃ɳʈʰ
ढील	ɖʱiːl̪
दारू	d̪äːɾuː
मजाल	məd͡ʒäːl̪
क्रान्ति	kɾä̃ːn̪t̪iː
कैसा	kɛːs̪äː
विकिरणशील	ʋɪkɪɾə̃ɳʃiːl̪
वकालत	ʋəkäːl̪ət̪
अच्छाई	ət̚t͡ʃʰäːiː
नरसंहार	n̪əɾs̪ə̃ɦäːɾ
मेघालय	meːɡʱäːl̪əj
प्रत्यर्पण	pɾət̪jəɾpə̃ɳ
हम	ɦə̃m
चौरानवे	t͡ʃɔːɾä̃ːn̪weː
वड़ा	ʋəɽäː
क़ाफ़िला	käːpʰɪl̪äː
आत्मघाती	äːt̪məɡʱäːt̪iː
अनाड़ी	ən̪äːɽiː
धुन्नी	d̪ʱʊ̃n̪n̪iː
बुलेटिन	bʊl̪eːʈɪ̃n̪
दीवार	d̪iːʋäːɾ
अक्सर	əks̪əɾ
लाओस	l̪äːoːs̪
अन्त	ə̃n̪t̪
तंबोला	t̪ə̃mboːl̪äː
अयोध्या	əjoːd̪ʱjäː
तालाबंदी	t̪äːl̪äːbə̃n̪d̪iː
चिमटा	t͡ʃɪ̃mʈäː
मूतना	muːt̪̚n̪äː
उत्तराधिकार	ʊt̪̚t̪əɾäːd̪ʱɪkäːɾ
कालिज	käːl̪ɪd͡ʒ
ब्रह्मदेश	bɾɛɦməd̪eːʃ
आवाजाही	äːʋäːd͡ʒäːɦiː
तसला	t̪əs̪l̪äː
माने	mäːn̪eː
खैरात	kʰɛːɾäːt̪
खुला	kʰʊl̪äː
मुर्दन	mʊɾd̪ə̃n̪
अनौपचारिक	ən̪ɔːpt͡ʃäːɾɪk
मसला	məs̪l̪äː
मातम	mäːt̪ə̃m
मटकाना	məʈkäːn̪äː
आलू	äːl̪uː
यातु	jäːt̪uː
मनोबल	mən̪oːbəl̪
ध्वस्त	d̪ʱʋəs̪t̪
बनवाना	bə̃n̪wäːn̪äː
अपराधिनी	əpɾäːd̪ʱɪn̪iː
तारख़ाना	t̪äːɾkʰäːn̪äː
अहिवाद	əɦɪʋäːd̪
अविश्वासनीय	əʋɪʃʋäːs̪n̪iːjᵊ
संयमी	s̪ə̃n̪jəmiː
नदारद	n̪əd̪äːɾəd̪
छाला	t͡ʃʰäːl̪äː
खुदाई	kʰʊd̪äːiː
इंतज़ार	ɪ̃n̪t̪əzäːɾ
तौल	t̪ɔːl̪
निनानवे	n̪ɪn̪ä̃ːn̪weː
दहना	d̪ɛɦn̪äː
वाटर	ʋäːʈəɾ
मज़ाक़िया	məzäːqijäː
ख़बरनवीस	xəbəɾn̪əʋiːs̪
शर्मनाक	ʃəɾmn̪äːk
अन्न	ə̃n̪n̪ᵊ
हिचकिचाना	ɦɪt͡ʃkɪt͡ʃäːn̪äː
दिलबर	d̪ɪl̪bəɾ
आपातकाल	äːpäːt̪käːl̪
तिमाही	t̪ɪmäːɦiː
सौतेला	s̪ɔːt̪eːl̪äː
समय	s̪əməj
शुष्कफल	ʃʊʃkəpʰəl̪
मानुस	mäːn̪ʊs̪
पच्चीस	pət̚t͡ʃɪs̪
लिखित	l̪ɪkʰɪt̪
प्लीहा	pl̪iːɦäː
स्कॉट्स	s̪kɔʈs̪
मुअज़्ज़िन	mʊəd̚d͡ʒɪ̃n̪
सांख्यिकी	s̪ä̃ːkʰjɪkiː
महापण्डित	məɦäːpə̃ɳɖɪt̪
बुनना	bʊ̃n̪n̪äː
असंतुष्ट	əs̪ə̃n̪t̪ʊʂʈ
फफूँदी	pʰəpʰũːn̪d̪iː
ताक़त	t̪äːqət̪
लगान	l̪əɡä̃ːn̪
हमाहमी	ɦəmäːɦəmiː
नज़र	n̪əzəɾ
बिहार	bɪɦäːɾ
जटा	d͡ʒəʈäː
कुसुम	kʊs̪ʊ̃m
गुप्तचर	ɡʊpt̪̚t͡ʃəɾ
कमान	kəmä̃ːn̪
पुराण	pʊɾä̃ːɳ
थकावट	t̪ʰəkäːʋəʈ
शिलातैल	ʃɪl̪äːt̪ɛːl̪
ग़लती	ɡəl̪t̪iː
सत्रह	s̪ət̪ɾəɦ
इंतज़ाम	ɪ̃n̪t̪əzä̃ːm
अँगरेज़	ə̃ŋɡɾeːz
फूफा	pʰuːpʰäː
बेंच	bẽːn̪t͡ʃ
साड़ी	s̪äːɽiː
पिज़्ज़ा	pɪzzäː
ज़ालिम	d͡ʒäːl̪ɪ̃m
अंशुक	ə̃n̪ʃʊk
समामेलित	s̪əmäːmeːl̪ɪt̪
सदन	s̪əd̪ə̃n̪
मामा	mäːmäː
बीकानेर	biːkäːn̪eːɾ
कथन	kət̪ʰə̃n̪
पुनः	pʊn̪əɦ
एहसानमंद	eːɦs̪ä̃ːn̪mə̃n̪d̪
टोना	ʈoːn̪äː
ख़ंजर	kʰə̃n̪d͡ʒəɾ
क़ौम	qɔ̃ːm
दिलरुबा	d̪ɪl̪ɾʊbäː
आततायी	äːt̪ət̪äːjiː
लेना	l̪eːn̪äː
कुंजड़ा	kʊ̃n̪d͡ʒɽäː
आज़ार	äːd͡ʒäːɾ
रैनबसेरा	ɾɛ̃ːn̪bəs̪eːɾäː
ठेकेदार	ʈʰeːkeːd̪äːɾ
दंत्य	d̪ə̃n̪t̪jᵊ
रूमाल	ɾuːmäːl̪
निश्चित	n̪ɪʃt͡ʃɪt̪
हतोत्साहित	ɦət̪oːt̪s̪äːɦɪt̪
वाक्य	ʋäːkjᵊ
मस्तिष्क	məs̪t̪ɪʃk
नाज़	n̪äːz
आवारा	äːʋäːɾäː
फ़ाश	fäːʃ
पिचकना	pɪt͡ʃəkn̪äː
फुहार	pʰʊɦäːɾ
चीख़ना	t͡ʃiːxn̪äː
मुस्टंडा	mʊs̪ʈə̃ɳɖäː
निर्णय	n̪ɪɾɳəj
इंतख़ाब	ɪ̃n̪t̪əkʰäːb
संकोच	s̪ə̃ŋkoːt͡ʃ
जोहना	d͡ʒoːɦn̪äː
सरेआम	s̪əɾeːä̃ːm
माहिर	mäːɦɪɾ
आग्नेयास्त्र	äːɡn̪eːjäːs̪t̪ɾᵊ
संतान	s̪ə̃n̪t̪ä̃ːn̪
मनीऑर्डर	mən̪iːɔɾɖəɾ
दीपिका	d̪iːpɪkäː
हार्दिक	ɦäːɾd̪ɪk
रमणीय	ɾə̃mɳiːjᵊ
क़त्लेआम	kət̪l̪eːä̃ːm
कोसना	koːs̪n̪äː
मंत्र	mə̃n̪t̪ɾᵊ
सिर	s̪ɪɾ
हंगुल	ɦə̃ŋɡʊl̪
लायक़	l̪äːjəq
चाहना	t͡ʃäːɦn̪äː
धाम	d̪ʱä̃ːm
डेनमार्क	ɖẽːn̪mäːɾk
मोरनी	moːɾn̪iː
लाइन	l̪äːɪ̃n̪
कार्यसमिति	käːɾjəs̪əmɪt̪iː
खलासी	kʰəl̪äːs̪iː
चरख़ा	t͡ʃəɾxäː
ओझल	oːd͡ʒʱəl̪
अनाज	ən̪äːd͡ʒ
हड्डी	ɦəɖ̚ɖiː
विषाणु	ʋɪʃäːɳuː
तुमने	t̪ʊ̃mn̪eː
माहौल	mäːɦɔːl̪
फ़ासला	pʰäːs̪l̪äː
नादान	n̪äːd̪ä̃ːn̪
पाई	päːiː
गांड	ɡä̃ːɳɖ
जागना	d͡ʒäːɡn̪äː
कुख्यात	kʊkʰjäːt̪
पुरुषोचित	pʊɾʊʃoːt͡ʃɪt̪
प्रगतिवाद	pɾəɡət̪ɪʋäːd̪
आत्मबलिदान	äːt̪məbəl̪ɪd̪ä̃ːn̪
ख़्वाबगाह	kʰʋäːbɡäːɦ
प्रवीणता	pɾəʋĩːɳt̪äː
बहादुरी	bəɦäːd̪ʊɾiː
अथवा	ət̪ʰʋäː
ज़ुल्फ़	d͡ʒʊl̪pʰ
उजाला	ʊd͡ʒäːl̪äː
ऋषि	ɾɪʃiː
आत्मा	äːt̪mäː
मरहम	məɾɦə̃m
रत्न	ɾət̪̚n̪ᵊ
प्रयास	pɾəjäːs̪
चिट्टी	t͡ʃɪʈ̚ʈiː
काकी	käːkiː
शोषित	ʃoːʃɪt̪
गायब	ɣäːjəb
छिपाना	t͡ʃʰɪpäːn̪äː
नगर	n̪əɡəɾ
उनसठ	ʊ̃n̪s̪əʈʰ
रामलीला	ɾä̃ːml̪iːl̪äː
चन्द	t͡ʃə̃n̪d̪
ब्रह्मा	bɾɛɦmäː
मेज़बान	meːzbä̃ːn̪
अंजु	ə̃n̪d͡ʒuː
सीढ़ी	s̪iːɽʱiː
आज़माना	äːd͡ʒmäːn̪äː
सम्राज्ञी	s̪ə̃mɾäːɡjiː
तैनाती	t̪ɛːn̪äːt̪iː
राज़	ɾäːd͡ʒ
उसूल	ʊs̪uːl̪
कायोत्सर्ग	käːjoːt̪s̪əɾɡ
स्वच्छता	s̪ʋət̚t͡ʃʰt̪äː
सहपाठी	s̪ɛɦpäːʈʰiː
तराई	t̪əɾäːiː
माता	mäːt̪äː
नजीबाबाद	n̪əd͡ʒiːbäːbäːd̪
सालन	s̪äːl̪ə̃n̪
असमर्थ	əs̪əməɾt̪ʰ
अर्धशिक्षित	əɾd̪ʱʃɪkʃɪt̪
आला	äːl̪äː
गुरुत्वीय	ɡʊɾʊt̪wiːjᵊ
रस	ɾəs̪
लतीफ़ा	l̪ət̪iːfäː
लीडरी	l̪iːɖəɾiː
उबाऊ	ʊbäːuː
तिरपाल	t̪ɪɾpäːl̪
ग़ुसलख़ाना	ɣʊs̪əl̪xäːn̪äː
सर्वनाम	s̪əɾʋn̪ä̃ːm
ख़सरा	xəs̪ɾäː
हालाँकि	ɦäːl̪ä̃ːkiː
मलना	məl̪n̪äː
माशा	mäːʃäː
सोखना	s̪oːkʰn̪äː
पर्यटन	pəɾjəʈə̃n̪
नवाबशाह	n̪əʋäːbʃäːɦ
अभ्यागत	əbʱjäːɡət̪
दासप्रथा	d̪äːs̪pɾət̪ʰäː
बहकना	bɛɦɛkn̪äː
घोराही	ɡʱoːɾäːɦiː
पेटेंट	peːʈẽːɳʈ
गढ़वाल	ɡəɽʱʋäːl̪
पंजा	pə̃n̪d͡ʒäː
लैंडर	l̪ɛ̃ːɳɖəɾ
बोझिल	boːd͡ʒʱɪl̪
कड़वाहट	kəɽʋäːɦəʈ
कहावत	kəɦäːʋət̪
ज़ुल्फ़	zʊl̪f
वैशाख	ʋɛːʃäːkʰ
तात्क्षणिक	t̪äːt̪kʃəɳɪk
छलावा	t͡ʃʰəl̪äːʋäː
व्लादिमीर	ʋl̪äːd̪ɪmiːɾ
पूछताछ	puːt͡ʃʰt̪äːt͡ʃʰ
ममता	mə̃mt̪äː
पृथक्करण	pɾɪt̪ʰək̚kəɾə̃ɳ
मसख़री	məs̪kʰəɾiː
कठुआ	kəʈʰʊäː
गुणधर्म	ɡʊ̃ɳd̪ʱəɾm
खोना	kʰoːn̪äː
अनकहा	ə̃n̪kəɦäː
बताना	bət̪äːn̪äː
अलि	əl̪iː
परिकलित	pəɾɪkl̪ɪt̪
समूहन	s̪əmuːɦə̃n̪
शुरुआत	ʃʊɾʋäːt̪
बंदिश	bə̃n̪d̪ɪʃ
हमशक्ल	ɦə̃mʃəkl̪ᵊ
पत्थरबाज़ी	pət̪̚t̪ʰəɾbäːd͡ʒiː
ख़ानगी	xä̃ːn̪ɡiː
चौथा	t͡ʃɔːt̪ʰäː
अड़ाना	əɽäːn̪äː
चुकंदर	t͡ʃʊqə̃n̪d̪əɾ
नील	n̪iːl̪
कोष	koːʃ
नक़ल	n̪əkəl̪
खुलेआम	kʰʊl̪eːä̃ːm
ज़मीनी	d͡ʒəmiːn̪iː
कुटुंब	kʊʈʊ̃mb
सुअर	s̪ʊəɾ
पगोडा	pəɡoːɖäː
आरज़ू	äːɾzuː
सड़ियल	s̪əɽijəl̪
गंदगी	ɡə̃n̪d̪əɡiː
प्रमाणभूत	pɾəmä̃ːɳbʱuːt̪
लोथ	l̪oːt̪ʰ
शफ़ा	ʃəpʰäː
ख़ातिर	kʰäːt̪ɪɾ
सूचित	s̪uːt͡ʃɪt̪
बांटना	bä̃ːʈn̪äː
रिवाज	ɾɪʋäːd͡ʒ
दम्पती	d̪ə̃mpət̪iː
ढाबा	ɖʱäːbäː
फ़िल्म	fɪl̪m
हरामज़ादा	ɦəɾä̃ːmd͡ʒäːd̪äː
गौरैया	ɡɔːɾə̯ijäː
चीज़बस्त	t͡ʃiːzbəs̪t̪
आपस	äːpəs̪
