bomba	bˈomba
terreno	terˈeno
tardana	taɾðˈana
codigo	koðˈiɣo
particulars	pˌaɾtikulˈas
plena	plˈena
ocupa	okˈupa
personals	pˌeɾsonˈals
orbita	oɾβˈita
chulio	t͡ʃˈuljɔ
autonoma	ˌa͡ʊtonˈoma
chugar	t͡ʃuɣˈaɾ
ruedas	ruˈɛðas
estudio	estˈuðjɔ
masculinas	mˌaskulˈinas
nombrato	nombɾˈato
estatus	estˈatus
biens	bjˈɛns
pierde	pjˈɛɾðe
portugués	pˌoɾtuɣˈes
efectos	efˈektos
Léxico	lˈeksiko
consideran	kˌonsiðˈeɾan
Dos	dˈos
propuesta	pɾopwˈɛsta
canto	kˈanto
Viello	bjˈɛʎo
propias	pɾˈopjas
dorsal	doɾsˈal
citar	θitˈaɾ
espanyola	ˌespaɲˈɔla
palacio	palˈaθjɔ
votos	bˈotos
caza	kˈaθa
premite	pɾemˈite
administrativas	ˌadminˌistɾatˈiβas
quitó	kitˈo
Ventura	bentˈuɾa
mixtas	mˈiʃtas
tener	tenˈeɾ
aquella	akˈɛʎa
parroquias	parˈokjas
parellanas	pˌaɾeʎˈanas
beluns	belˈuns
Vicente	biθˈente
eslavas	eslˈaβas
formación	fˌoɾmaθjˈon
proporción	pɾˌopoɾθjˈon
celulas	θelˈulas
relacionar	rˌelaθjɔnˈaɾ
grant	ɣɾˈantʰ
libro	lˈiβɾo
anyo	ˈaɲɔ
villa	bˈiʎa
distancias	distˈanθjas
capiella	kapjˈɛʎa
disponibles	dˌisponˈiβles
intrés	intɾˈes
abril	aβɾˈil
habito	aβˈito
mesurar	mˌesuɾˈaɾ
dura	dˈuɾa
Madrid	maðɾˈi
Alta	ˈalta
caracteristico	kˌaɾaktˌeɾistˈiko
transformación	tɾˌansfoɾmaθjˈon
lingüisticos	lˌinɡwistˈikos
ni	ni
Benedet	bˌeneðˈetʰ
Presenta	pɾesˈenta
visto	bˈisto
las	las
servir	seɾβˈiɾ
breu	βɾˈe͡ʊ
constitución	kˌonstituθjˈon
viellos	bjˈɛʎos
tanyer	taɲˈɛɾ
Si	sˈi
Federal	fˌeðeɾˈal
coloquial	kˌolokjˈal
sociedatz	sˌoθjɛðˈaθ
Quercus	kˈɛɾkus
vasos	bˈasos
h	ˈat͡ʃe
finals	finˈals
dito	dˈito
autoctona	ˌa͡ʊtoktˈona
costera	kostˈeɾa
cuello	kwˈɛʎo
etnica	etnˈika
negros	nˈeɣɾos
socials	soθjˈals
amuestra	amwˈɛstɾa
liquida	likˈiða
sol	sˈol
notables	notˈaβles
irregulars	ˌireɣulˈas
fundación	fˌundaθjˈon
tu	tu
cortz	kˈoɾθ
cheolochía	t͡ʃˌeolot͡ʃˈia
Joan	xˈoan
golpe	ɣˈolpe
Encara	enkˈaɾa
Mapa	mˈapa
negro	nˈeɣɾo
sustancias	sustˈanθjas
prenioron	pɾenjˈɔɾon
investigacions	ˌimbestˌiɣaθjˈɔns
Revista	reβˈista
Quaid	kwˈa͡ɪ
desapareixiu	dˌesapˌaɾeʃˈiu
obtenió	ˌobtenjˈo
relacionau	rˌelaθjɔnˈa͡ʊ
acidos	aθˈiðos
gramatical	ɣɾˌamatikˈal
tota	tˈota
romance	romˈanθe
flor	flˈoɾ
Comarca	komˈaɾka
Zelanda	θelˈanda
González	ɣonθˈaleθ
Galicia	ɣalˈiθja
conseguir	kˌonseɣˈiɾ
Marilyn	maɾˈilin
cursa	kˈuɾsa
cadieras	kaðjˈɛɾas
presa	pɾˈesa
meter	metˈeɾ
Colección	kˌolekθjˈon
anterior	ˌanteɾjˈɔɾ
parte	pˈaɾte
posesión	pˌosesjˈon
decenas	deθˈenas
descrito	deskɾˈito
Mundial	mundjˈal
sus	sus
espelunga	ˌespelˈunɡa
analochía	ˌanalot͡ʃˈia
singular	sˌinɡulˈaɾ
pista	pˈista
del	dˈel
Universitarias	ˌuniβˌeɾsitˈaɾjas
externa	ekstˈeɾna
estación	ˌestaθjˈon
á	ˈaakθɛntwˈaða
guerras	ɡˈɛras
contaminación	kˌontamˌinaθjˈon
substancia	suβstˈanθja
oficial	ˌofiθjˈal
York	jˈɔɾk
eixe	ˈeʃe
Chunto	t͡ʃˈunto
Real	reˈal
km²	kˌaˈɛmeðˈos
Hitler	itlˈeɾ
chicot	t͡ʃikˈotʰ
perdiu	peɾðˈiu
perdió	peɾðjˈo
peix	pˈeʃ
Zona	θˈona
reconoixita	rˌekonoʃˈita
nobleza	noβlˈeθa
enerchía	ˌeneɾt͡ʃˈia
evitar	ˌeβitˈaɾ
istas	ˈistas
aspectos	aspˈektos
costato	kostˈato
zifra	θˈifɾa
regla	rˈeɣla
chudicial	t͡ʃˌuðiθjˈal
disenyato	dˌiseɲˈato
monarquía	mˌonaɾkˈia
premios	pɾˈemjɔs
moderna	moðˈeɾna
Popular	pˌopulˈaɾ
Más	mˈas
Centro	θˈentɾo
antigo	antˈiɣo
Armenia	aɾmˈenja
Diputación	dˌiputaθjˈon
cambra	kˈambɾa
requiere	rekjˈɛɾe
Organización	ˌoɾɣanˌiθaθjˈon
feto	fˈeto
adultos	aðˈultos
tetulo	tetˈulo
ocupando	ˌokupˈando
lis	lis
implica	implˈika
nombre	nˈombɾe
sería	seɾˈia
adaptación	ˌaðaptaθjˈon
comuna	komˈuna
toristico	tˌoɾistˈiko
dos	dˈos
A	ˈa
narancha	naɾˈant͡ʃa
chunio	t͡ʃˈunjɔ
fonetica	fˌonetˈika
industrial	ˌindustɾjˈal
suyo	sˈujɔ
encara	enkˈaɾa
realidat	rˌealiðˈatʰ
verano	beɾˈano
lo	lo
anglés	anɡlˈes
vuelos	bwˈɛlos
mirando	miɾˈando
determinar	dˌeteɾminˈaɾ
gosa	ɣˈosa
simbolica	sˌimbolˈika
Peter	petˈeɾ
catalans	kˌatalˈans
qué	kˈe
pronuncia	pɾonˈunθja
chenerals	t͡ʃˌeneɾˈals
categorías	kˌateɣoɾˈias
fundata	fundˈata
cantidat	kˌantiðˈatʰ
artistica	ˌaɾtistˈika
esportivos	ˌespoɾtˈiβos
Ya	jˈa
Quan	kwan
posición	pˌosiθjˈon
habitual	ˌaβitwˈal
monesterio	mˌonestˈeɾjɔ
encargau	ˌenkaɾɣˈa͡ʊ
acción	akθjˈon
cognato	koɡnˈato
activos	aktˈiβos
grupos	ɣɾˈupos
campionatos	kˌampjɔnˈatos
charrar	t͡ʃarˈaɾ
Roma	rˈoma
arribar	ˌariβˈaɾ
Tot	tˈotʰ
tampoco	tampˈoko
falla	fˈaʎa
arriba	arˈiβa
Tierra	tjˈɛra
previament	pɾˌeβjamˈentʰ
Cinco	θˈinko
orichinau	ˌoɾit͡ʃinˈa͡ʊ
Toledo	tolˈeðo
corresponde	kˌorespˈonde
estratos	estɾˈatos
microorganismos	mˌikɾoˌoɾɣanˈismos
ducato	dukˈato
posterior	pˌosteɾjˈɔɾ
periglo	peɾˈiɣlo
coalición	kˌoaliθjˈon
Pueblos	pwˈɛβlos
ideyas	iðˈejas
román	romˈan
nuclio	nˈukljɔ
punk	pˈunk
participoron	pˌaɾtiθipˈoɾon
lurs	lˈus
profesionals	pɾˌofesjɔnˈals
nueit	nwˈe͡ɪtʰ
eslavos	eslˈaβos
semellants	sˌemeʎˈantʰs
bien	bjˈɛn
Diz	dˈiθ
país	paˈis
disenyos	disˈeɲɔs
criticos	kɾitˈikos
partidarios	pˌaɾtiðˈaɾjɔs
tenioron	tenjˈɔɾon
cadiera	kaðjˈɛɾa
espacial	ˌespaθjˈal
favor	faβˈoɾ
sovieticas	sˌoβjɛtˈikas
cuerpos	kwˈɛɾpos
cul	kˈul
mullers	muʎˈes
utilizau	ˌutiliθˈa͡ʊ
resulta	resˈulta
chunta	t͡ʃˈunta
literalment	lˌiteɾalmˈentʰ
Arredol	ˌareðˈol
metat	metˈatʰ
torre	tˈore
conflicto	komflˈikto
mica	mˈika
diferiencia	dˌifeɾjˈɛnθja
Sovietica	sˌoβjɛtˈika
completa	komplˈeta
naixen	nˈaʃen
Banco	bˈanko
Dimpués	dimpwˈes
comarcas	komˈaɾkas
observar	ˌoβseɾβˈaɾ
risgo	rˈisɣo
situato	sitwˈato
personaches	pˌeɾsonˈat͡ʃes
esdevenir	ˌesðeβenˈiɾ
provenzal	pɾˌoβenθˈal
exito	eksˈito
rotación	rˌotaθjˈon
moleculas	mˌolekˈulas
frase	fɾˈase
vasco	bˈasko
nueu	nwˈe͡ʊ
Mequinenza	mˌekinˈenθa
francico	fɾanθˈiko
diferencias	dˌifeɾˈenθjas
John	xˈon
mesmas	mˈesmas
diaspora	djaspˈoɾa
per	peɾ
Monesterio	mˌonestˈeɾjɔ
establita	ˌestaβlˈita
poquet	pokˈɛtʰ
cerca	θˈeɾka
treballo	tɾeβˈaʎo
nuclios	nˈukljɔs
esporte	espˈoɾte
fillo	fˈiʎo
traviés	tɾaβjˈes
viviban	biβˈiβan
derivaus	dˌeɾiβˈa͡ʊs
prencipio	pɾenθˈipjɔ
semellant	sˌemeʎˈantʰ
Fuerza	fwˈɛɾθa
teneban	tenˈeβan
externos	ekstˈeɾnos
teorías	tˌeoɾˈias
important	ˌimpoɾtˈantʰ
griego	ɣɾjˈɛɣo
Africa	afɾˈika
arabe	aɾˈaβe
emplegan	emplˈeɣan
metal	metˈal
Mientres	mjˈɛntɾes
plachas	plˈat͡ʃas
partitos	paɾtˈitos
laterals	lˌateɾˈals
viene	bjˈɛne
tornada	toɾnˈaða
hombre	ˈombɾe
treballar	tɾˌeβaʎˈaɾ
creyoron	kɾejˈɔɾon
mayors	majˈɔs
idioma	iðjˈɔma
autors	a͡ʊtˈos
partir	paɾtˈiɾ
parlamento	pˌaɾlamˈento
colonias	kolˈonjas
pietz	pjˈɛθ
fue	fwˈɛ
oracions	ˌoɾaθjˈɔns
deixa	dˈeʃa
chuegos	t͡ʃwˈɛɣos
Canal	kanˈal
declaró	dˌeklaɾˈo
qüestión	kwestjˈon
interior	ˌinteɾjˈɔɾ
etc	ˈetk
muitos	muˈitos
desinencia	dˌesinˈenθja
tien	tjˈɛn
densidat	dˌensiðˈatʰ
publicato	pˌuβlikˈato
IP	ˌipˈe
salida	salˈiða
serbios	sˈeɾβjɔs
totz	tˈoθ
producen	pɾoðˈuθen
ganato	ɣanˈato
bulgaros	bulɣˈaɾos
conoixito	kˌonoʃˈito
tienden	tjˈɛnden
entroron	entɾˈoɾon
escuela	eskwˈɛla
historicos	ˌistoɾˈikos
aplicación	ˌaplikaθjˈon
prebas	pɾˈeβas
Tién	tjˈen
deseparación	dˌesepˌaɾaθjˈon
secreto	sekɾˈeto
Aires	ˈa͡ɪɾes
cuenta	kwˈɛnta
conoixius	kˌonoʃˈius
uello	ɡwˈɛʎo
medida	meðˈiða
matrimonio	mˌatɾimˈonjɔ
contexto	kontˈeksto
idiomas	iðjˈɔmas
hue	ɡwˈɛ
decada	dekˈaða
parque	pˈaɾkɛ
Gobierno	ɣoβjˈɛɾno
templo	tˈemplo
estable	estˈaβle
critica	kɾitˈika
Londres	lˈondɾes
ista	ˈista
être	ˈetɾe
treballó	tɾˌeβaʎˈo
fisicas	fisˈikas
tenito	tenˈito
mes	mes
Ixe	ˈiʃe
dominios	domˈinjɔs
usau	usˈa͡ʊ
toponimia	tˌoponˈimja
diez	djˈɛθ
libros	lˈiβɾos
vapor	bapˈoɾ
VI	sˌe͡ɪsˈeno
tradicionals	tɾˌaðiθjɔnˈals
individuos	ˌindiβˈiðwɔs
recipient	rˌeθipjˈɛntʰ
naturals	nˌatuɾˈals
diferencia	dˌifeɾˈenθja
repuis	repˈuis
Huei	ɡwˈe͡ɪ
familia	famˈilja
denguna	denɡˈuna
Eixemplos	eʃˈemplos
despoblados	dˌespoβlˈaðos
condicions	kˌondiθjˈɔns
reforma	refˈoɾma
Cort	kˈoɾtʰ
vivos	bˈiβos
viellas	bjˈɛʎas
Road	roˈa
propio	pɾˈopjɔ
Baixos	bˈaʃos
visibles	bisˈiβles
promoción	pɾˌomoθjˈon
guaire	ɡwˈa͡ɪɾe
imperativo	ˌimpeɾatˈiβo
abaixo	aβˈaʃo
sonda	sˈonda
pisos	pˈisos
qualques	kwˈalkɛs
Estas	ˈestas
amaneixen	ˌamanˈeʃen
amaneix	ˌamanˈeʃ
costau	kostˈa͡ʊ
Millor	miʎˈoɾ
publicas	puβlˈikas
Peña	pˈeɲa
estacions	ˌestaθjˈɔns
variant	baɾjˈantʰ
individuo	ˌindiβˈiðwɔ
aintro	ˈa͡ɪntɾo
menas	mˈenas
unico	unˈiko
Mónegue	mˈoneɣɛ
partida	paɾtˈiða
vive	bˈiβe
Fue	fwˈɛ
azuls	aθˈuls
determinadas	dˌeteɾminˈaðas
emigración	ˌemiɣɾaθjˈon
contes	kˈontes
Olimpicos	ˌolimpˈikos
Dreito	ðɾˈe͡ɪto
razons	raθˈons
etimolochica	ˌetimˌolot͡ʃˈika
reptils	reptˈils
fonetico	fˌonetˈiko
Occidental	ˌokθiðentˈal
dotze	dˈoθe
rota	rˈota
correspondient	kˌorespondjˈɛntʰ
chenerar	t͡ʃˌeneɾˈaɾ
funcional	fˌunθjɔnˈal
Moldavia	molðˈaβja
Nacions	naθjˈɔns
fambre	fˈambɾe
miembros	mjˈɛmbɾos
nivel	niβˈel
muros	mˈuɾos
Ligallo	liɣˈaʎo
confusión	kˌomfusjˈon
veiga	bˈe͡ɪɣa
particla	paɾtˈikla
alimentos	ˌalimˈentos
amanatas	ˌamanˈatas
significa	sˌiɡnifˈika
calcula	kalkˈula
fácil	fˈaθil
Altoaragoneses	ˌaltoˌaɾaɣonˈeses
quiere	kjˈɛɾe
enchaquia	ent͡ʃˈakja
Cine	θˈine
semanas	semˈanas
tot	tˈotʰ
constituyen	kˌonstitˈujɛn
periodo	peɾjˈɔðo
narracions	nˌaraθjˈɔns
comparten	kompˈaɾten
indicativo	ˌindikatˈiβo
Congreso	konɡɾˈeso
tocar	tokˈaɾ
diftongo	diftˈonɡo
especificament	ˌespeθˌifikamˈentʰ
precisión	pɾˌeθisjˈon
completivas	kˌompletˈiβas
civils	θiβˈils
latins	latˈins
partes	pˈaɾtes
Frank	fɾˈank
propietarios	pɾˌopjɛtˈaɾjɔs
federal	fˌeðeɾˈal
plegada	pleɣˈaða
molimento	mˌolimˈento
George	xeˈoɾxe
récord	rˈekˌoɾ
revista	reβˈista
enta	ˈenta
personal	pˌeɾsonˈal
seguiu	seɣˈiu
ibons	iβˈons
parella	paɾˈeʎa
mitolochía	mˌitolot͡ʃˈia
clamato	klamˈato
proposito	pɾˌoposˈito
gubernador	ɣˌuβeɾnaðˈoɾ
Instituto	ˌinstitˈuto
pinturas	pintˈuɾas
divide	diβˈiðe
caballos	kaβˈaʎos
regano	reɣˈano
Conejero	kˌonexˈeɾo
muerto	mwˈɛɾto
garra	ɣˈara
prenen	pɾˈenen
posesions	pˌosesjˈɔns
mayestro	majˈɛstɾo
basica	basˈika
capaz	kapˈaθ
podrían	poðɾˈian
l	ˈɛle
sigan	sˈiɣan
remonta	remˈonta
comercials	kˌomeɾθjˈals
Países	paˈises
largas	lˈaɾɣas
victoria	biktˈoɾja
cosas	kˈosas
nusaltros	nusˈaltɾos
Católico	katˈoliko
occitanismos	ˌokθitanˈismos
Son	sˈon
dispositivos	dˌispositˈiβos
agora	aɣˈoɾa
dentradas	dentɾˈaðas
naixita	naʃˈita
relato	relˈato
altas	ˈaltas
definiu	dˌefinˈiu
rocoso	rokˈoso
muito	muˈito
Navarra	naβˈara
Bellas	bˌeʎas
vuelta	bwˈɛlta
publico	puβlˈiko
lechislación	lˌet͡ʃislaθjˈon
Roya	rˈoja
plural	pluɾˈal
construita	kˌonstɾuˈita
El	el
molimentos	mˌolimˈentos
vocals	bokˈals
César	θˈesaɾ
viviendas	biβjˈɛndas
organismos	ˌoɾɣanˈismos
representando	rˌepɾesentˈando
clamada	klamˈaða
Prene	pɾˈene
trobar	tɾoβˈaɾ
militars	mˌilitˈas
mala	mˈala
minchan	mˈint͡ʃan
construito	kˌonstɾuˈito
escritas	eskɾˈitas
estudiar	ˌestuðjˈaɾ
Alpes	ˈalpes
convierte	kombjˈɛɾte
construccions	kˌonstɾukθjˈɔns
trescruzato	tɾˌeskɾuθˈato
tipicas	tipˈikas
exposición	ˌeksposiθjˈon
estructuras	ˌestɾuktˈuɾas
noviembre	noβjˈɛmbɾe
por	poɾ
decisión	dˌeθisjˈon
reis	rˈe͡ɪs
brazos	βɾˈaθos
familiars	fˌamiljˈas
biera	bjˈɛɾa
Chris	t͡ʃɾˈis
locucions	lˌokuθjˈɔns
Con	kon
rica	rˈika
campión	kampjˈon
podeba	poðˈeβa
quereba	kɛɾˈeβa
platero	platˈeɾo
producción	pɾˌoðukθjˈon
Hispania	ispˈanja
mar	mˈaɾ
visión	bisjˈon
Alto	ˈalto
carreras	karˈeɾas
malotías	mˌalotˈias
linache	linˈat͡ʃe
Cuenca	kwˈɛnka
puent	pwˈɛntʰ
dividito	dˌiβiðˈito
emplega	emplˈeɣa
Bell	bel
desemboca	dˌesembˈoka
fina	fˈina
par	pˈaɾ
troban	tɾˈoβan
Esto	ˈesto
Chapón	t͡ʃapˈon
Republica	rˌepuβlˈika
aus	ˈa͡ʊs
cal	kˈal
Reyal	rejˈal
cambeó	kˌambeˈo
fama	fˈama
criticas	kɾitˈikas
buenos	bwˈɛnos
monedas	monˈeðas
noreste	noɾˈeste
creyador	kɾˌejaðˈoɾ
Escuela	eskwˈɛla
Pa	pa
Pueyo	pwˈɛjɔ
espectro	espˈektɾo
Gredos	ɣɾˈeðos
Escudo	eskˈuðo
especie	espˈeθjɛ
fusión	fusjˈon
censo	θˈenso
Rei	rˈe͡ɪ
Ebro	ˈeβɾo
Teherán	tˌeeɾˈan
prencipiar	pɾˌenθipjˈaɾ
qualidatz	kwˌaliðˈaθ
feminín	fˌeminˈin
cheograficos	t͡ʃˌeoɣɾafˈikos
facto	fˈakto
creyación	kɾˌejaθjˈon
graus	ɣɾˈa͡ʊs
XVIII	dˌeθiɣwitˈeno
respuesta	respwˈɛsta
capital	kˌapitˈal
completo	komplˈeto
Khan	kˈan
esperanto	ˌespeɾˈanto
sirven	sˈiɾβen
europea	ˌe͡ʊɾopˈea
Gran	ɣɾˈan
teito	tˈe͡ɪto
fuego	fwˈɛɣo
fondo	fˈondo
Biescas	bjˈɛskas
cambios	kˈambjɔs
leva	lˈeβa
formalment	fˌoɾmalmˈentʰ
zonas	θˈonas
turismo	tuɾˈismo
poeta	poˈeta
Es	es
existen	eksˈisten
sovietica	sˌoβjɛtˈika
Literatura	lˌiteɾatˈuɾa
primera	pɾimˈeɾa
condición	kˌondiθjˈon
museu	musˈe͡ʊ
destaca	destˈaka
abraca	aβɾˈaka
qualas	kwˈalas
Broto	βɾˈoto
elaboración	ˌelaβˌoɾaθjˈon
motor	motˈoɾ
soniu	sonˈiu
primer	pɾimˈeɾ
planetas	planˈetas
particular	pˌaɾtikulˈaɾ
preso	pɾˈeso
posar	posˈaɾ
manto	mˈanto
invariable	ˌimbaɾjˈaβle
especifica	ˌespeθifˈika
negativas	nˌeɣatˈiβas
Atros	ˈatɾos
ocupación	ˌokupaθjˈon
tenendo	tenˈendo
productos	pɾoðˈuktos
localidatz	lˌokaliðˈaθ
inscripcions	ˌinskɾipθjˈɔns
resultato	rˌesultˈato
raza	rˈaθa
yeran	jˈɛɾan
Grecia	ɣɾˈeθja
pobladors	pˌoβlaðˈos
celebrar	θˌeleβɾˈaɾ
data	dˈata
atros	ˈatɾos
campiona	kampjˈɔna
Castiello	kastjˈɛʎo
Els	els
planta	plˈanta
pero	pˈeɾo
terminolochía	tˌeɾminˌolot͡ʃˈia
actuación	ˌaktwaθjˈon
Historicament	ˌistoɾˌikamˈentʰ
aplicacions	ˌaplikaθjˈɔns
superar	sˌupeɾˈaɾ
vegata	beɣˈata
transmisión	tɾˌansmisjˈon
kg	kˌaɣˈe
luitar	lˌuitˈaɾ
Ciudat	θjuðˈatʰ
molín	molˈin
Muitas	muˈitas
plana	plˈana
altro	ˈaltɾo
obchectivos	ˌobt͡ʃektˈiβos
femenín	fˌemenˈin
lugars	luɣˈas
mayo	mˈajɔ
toponimos	tˌoponˈimos
musicos	musˈikos
modernas	moðˈeɾnas
fluido	fluˈiðo
Europea	ˌe͡ʊɾopˈea
reyals	rejˈals
tornan	tˈoɾnan
disenyau	dˌiseɲˈa͡ʊ
P	pˈe
esfuerzo	esfwˈɛɾθo
seqüencia	sekwˈenθja
Les	les
of	ˈof
numerosas	nˌumeɾˈosas
baixar	baʃˈaɾ
quedando	kɛðˈando
marina	maɾˈina
dezaga	deθˈaɣa
marzo	mˈaɾθo
usato	usˈato
urbanas	uɾβˈanas
amanata	ˌamanˈata
horas	ˈoɾas
historicas	ˌistoɾˈikas
uellas	ɡwˈɛʎas
tiengan	tjˈɛnɡan
Podemos	poðˈemos
comunas	komˈunas
trescruzar	tɾˌeskɾuθˈaɾ
unatra	unˈatɾa
Los	los
apareixioron	ˌapaɾeʃjˈɔɾon
habitadors	ˌaβitaðˈos
construyó	kˌonstɾujˈo
chicota	t͡ʃikˈota
politica	pˌolitˈika
catolica	kˌatolˈika
recursos	rekˈuɾsos
celta	θˈelta
costaus	kostˈa͡ʊs
desintegración	dˌesintˌeɣɾaθjˈon
arco	ˈaɾko
será	seɾˈa
potencia	potˈenθja
tracta	tɾˈakta
bronze	βɾˈonθe
be	bˈe
Ilesia	ilˈesja
prencipe	pɾenθˈipe
industrials	ˌindustɾjˈals
Heinrich	e͡ɪnrˈit͡ʃ
fósils	fˈosils
estilos	estˈilos
simple	sˈimple
arias	ˈaɾjas
testimonio	tˌestimˈonjɔ
midas	mˈiðas
respecto	respˈekto
minchar	mint͡ʃˈaɾ
Costantinoble	kˌostantinˈoβle
responsabilidat	rˌesponsˌaβiliðˈatʰ
declinación	dˌeklinaθjˈon
tipica	tipˈika
dificil	dˌifiθˈil
describe	deskɾˈiβe
romanización	rˌomanˌiθaθjˈon
Rumanía	rˌumanˈia
sentito	sentˈito
altaria	altˈaɾja
ordinadors	ˌoɾðinaðˈos
poblacions	pˌoβlaθjˈɔns
Recibió	rˌeθiβjˈo
denominacions	dˌenomˌinaθjˈɔns
operacions	ˌopeɾaθjˈɔns
Reparo	repˈaɾo
Talment	talmˈentʰ
troba	tɾˈoβa
sí	sˈi
febrero	feβɾˈeɾo
sinyal	siɲˈal
produz	pɾoðˈuθ
mantienen	mantjˈɛnen
producto	pɾoðˈukto
revueltas	reβwˈɛltas
nieu	njˈe͡ʊ
contienen	kontjˈɛnen
suposa	supˈosa
clau	klˈa͡ʊ
cristiana	kɾistjˈana
Vaticano	bˌatikˈano
partidos	paɾtˈiðos
reaccions	rˌeakθjˈɔns
Praga	pɾˈaɣa
fruita	fɾuˈita
prencipal	pɾˌenθipˈal
mensache	mensˈat͡ʃe
agricolas	ˌaɣɾikˈolas
canals	kanˈals
puerta	pwˈɛɾta
atletas	atlˈetas
sufixo	sufˈiʃo
Crimea	kɾimˈea
clasifican	klˌasifˈikan
edicions	ˌeðiθjˈɔns
competición	kˌompetiθjˈon
feitas	fˈe͡ɪtas
pintura	pintˈuɾa
ilesias	ilˈesjas
brazo	βɾˈaθo
da	dˈa
dominación	dˌominaθjˈon
cabalto	kaβˈalto
otomán	ˌotomˈan
entorno	entˈoɾno
proporciona	pɾˌopoɾθjˈɔna
incluius	ˌinkluˈius
yo	jˈɔ
descendients	dˌesθendjˈɛntʰs
clima	klˈima
guión	ɡjˈon
contién	kontjˈen
via	bjˈa
periodico	pˌeɾjɔðˈiko
monesterios	mˌonestˈeɾjɔs
vital	bitˈal
relichiosas	rˌelit͡ʃjˈɔsas
baixo	bˈaʃo
papel	papˈel
transistors	tɾˌansistˈos
poderba	poðˈeɾβa
casa	kˈasa
Cruz	kɾˈuθ
The	tˈe
definir	dˌefinˈiɾ
Cal	kˈal
choven	t͡ʃˈoβen
Cup	kˈup
esdevenito	ˌesðeβenˈito
atmosfera	ˌatmosfˈeɾa
Puerto	pwˈɛɾto
republica	rˌepuβlˈika
positiva	pˌositˈiβa
usando	usˈando
diners	dinˈes
rayo	rˈajɔ
evident	ˌeβiðˈentʰ
mamifers	mˌamifˈes
mai	mˈa͡ɪ
Alionor	ˌaljɔnˈoɾ
linias	lˈinjas
Jones	xˈones
Bielsa	bjˈɛlsa
faiga	fˈa͡ɪɣa
Teatro	teˈatɾo
normal	noɾmˈal
aconsigue	ˌakonsˈiɣɛ
alfabeto	ˌalfaβˈeto
Yera	jˈɛɾa
departamento	dˌepaɾtamˈento
colaboración	kˌolaβˌoɾaθjˈon
radiación	rˌaðjaθjˈon
combate	kombˈate
metros	mˈetɾos
Semontano	sˌemontˈano
corredor	kˌoreðˈoɾ
Sierra	sjˈɛra
eixemplo	eʃˈemplo
seguindo	seɣˈindo
verdat	beɾðˈatʰ
Ramón	ramˈon
chaponés	t͡ʃˌaponˈes
Nuestra	nwˈɛstɾa
pobre	pˈoβɾe
cristals	kɾistˈals
populars	pˌopulˈas
Toponimia	tˌoponˈimja
pendendo	pendˈendo
muga	mˈuɣa
siguient	siɣjˈɛntʰ
nacionalidat	nˌaθjɔnˌaliðˈatʰ
diversos	diβˈeɾsos
concentración	kˌonθentɾaθjˈon
and	ˈan
internos	intˈeɾnos
patrimonials	pˌatɾimonjˈals
gosan	ɣˈosan
aconseguir	ˌakonseɣˈiɾ
chenitivo	t͡ʃˌenitˈiβo
rechistro	ret͡ʃˈistɾo
pais	pˈa͡ɪs
perder	peɾðˈeɾ
atra	ˈatɾa
Pablo	pˈaβlo
ferramienta	fˌeramjˈɛnta
musulmán	mˌusulmˈan
esportistas	ˌespoɾtˈistas
dica	dˈika
recurso	rekˈuɾso
capas	kˈapas
rechistros	ret͡ʃˈistɾos
plazas	plˈaθas
rurals	ruɾˈals
sino	sˈino
presas	pɾˈesas
debant	deβˈantʰ
estando	estˈando
aquells	akˈɛls
guitarra	ɡitˈara
actuacions	ˌaktwaθjˈɔns
canal	kanˈal
fuellas	fwˈɛʎas
anyadas	aɲˈaðas
gubierno	ɣuβjˈɛɾno
documentos	dˌokumˈentos
cultural	kˌultuɾˈal
expedición	ˌekspeðiθjˈon
Oriental	ˌoɾjɛntˈal
fotografía	fˌotoɣɾafˈia
razas	rˈaθas
p	pˈe
districtos	distɾˈiktos
temas	tˈemas
provenients	pɾˌoβenjˈɛntʰs
Alavez	ˌalaβˈeθ
pobreza	poβɾˈeθa
leit	lˈe͡ɪtʰ
patas	pˈatas
cercuitos	θˌeɾkuˈitos
XVI	sɛθˈeno
italians	ˌitaljˈans
morir	moɾˈiɾ
Ixo	ˈiʃo
Galitzia	ɣalˈiθja
facioron	faθjˈɔɾon
muere	mwˈɛɾe
costa	kˈosta
reserva	resˈeɾβa
esfera	esfˈeɾa
Comité	kˌomitˈe
aquell	akˈɛl
social	soθjˈal
m²	ˈɛmeðˈos
Otomán	ˌotomˈan
griegos	ɣɾjˈɛɣos
climatico	klˌimatˈiko
asegurar	ˌaseɣuɾˈaɾ
altras	ˈaltɾas
cristians	kɾistjˈans
precipitacions	pɾˌeθipˌitaθjˈɔns
entender	ˌentendˈeɾ
teoría	tˌeoɾˈia
Civil	θiβˈil
ubiertos	uβjˈɛɾtos
definito	dˌefinˈito
nucleyar	nˌuklejˈaɾ
rotas	rˈotas
rural	ruɾˈal
Institución	ˌinstituθjˈon
x	ʃˈe
ezquierda	eθkjˈɛɾða
trobada	tɾoβˈaða
musclos	mˈusklos
cómo	kˈomo
acceso	akθˈeso
días	dˈias
autor	a͡ʊtˈoɾ
columnas	kolˈumnas
dios	djˈɔs
ferrocarril	fˌerokarˈil
occitán	ˌokθitˈan
Sydney	sˈidne͡ɪ
