เกลือก	klɯa̯k̚˨˩
ฝีดาษ	fiː˩˩˦.daːt̚˨˩
ลูกครึ่ง	luːk̚˥˩.kʰrɯŋ˥˩
โลหะ	loː˧.haʔ˨˩
สมัยพระเจ้าเหา	sa˨˩.maj˩˩˦.pʰra˦˥.t͡ɕaːw˥˩.haw˩˩˦
ฆ้อน	kʰɔːn˦˥
บาปซ้ำกรรมซัด	baːp̚˨˩.sam˦˥.kam˧.sat̚˦˥
ปน	pon˧
เจ้าหน้าที่	t͡ɕaːw˥˩.naː˥˩.tʰiː˥˩
จำกัด	t͡ɕam˧.kat̚˨˩
ผัดไทย	pʰat̚˨˩.tʰaj˧
อั่ว	ʔua̯˨˩
โคมไฟ	kʰoːm˧.faj˧
เป็นธรรม	pen˧.tʰam˧
การป้อง	kaːn˧.pɔŋ˥˩
ดีเด่น	diː˧.den˨˩
หนูตะเภา	nuː˩˩˦.ta˨˩.pʰaw˧
จิตใจ	t͡ɕit̚˨˩.t͡ɕaj˧
ยาดอง	jaː˧.dɔːŋ˧
การกินใจ	kaːn˧.kin˧.t͡ɕaj˧
แพง	pʰɛːŋ˧
ชัยภูมิ	t͡ɕʰaj˧.ja˦˥.pʰuːm˧
เกิดขึ้น	kɤːt̚˨˩.kʰɯn˥˩
เส้นเลือดดำ	sen˥˩.lɯa̯t̚˥˩.dam˧
กินข้าวแดง	kin˧.kʰaːw˥˩.dɛːŋ˧
รูปภาพ	ruːp̚˥˩.pʰaːp̚˥˩
อุบัติ	ʔu˨˩.bat̚˨˩.ti˨˩.,ʔu˨˩.bat̚˨˩.,ʔu˨˩.bat̚˨˩
ปลาร้า	plaː˧.raː˦˥
ที่ตัดเล็บ	tʰiː˥˩.tat̚˨˩.lep̚˦˥
เสดจ์	sa˨˩.det̚˨˩
ฝืน	fɯːn˩˩˦
เข็มนาฬิกา	kʰem˩˩˦.naː˧.li˦˥.kaː˧
น้ำค้าง	nam˦˥.kʰaːŋ˦˥
ทรัมป์	tʰram˦˥
คะมำ	kʰa˦˥.mam˧
เสือหมอบแมวเซา	sɯa̯˩˩˦.mɔːp̚˨˩.mɛːw˧.saw˧
ถั่วดำ	tʰua̯˨˩.dam˧
มาดริด	maː˧.drit̚˨˩
วาติกัน	waː˧.ti˨˩.kan˧
รูปแบบ	ruːp̚˥˩.bɛːp̚˨˩
ข้างบน	kʰaːŋ˥˩.bon˧
ขึงขัง	kʰɯŋ˩˩˦.kʰaŋ˩˩˦
กระดี่ได้น้ำ	kra˨˩.diː˨˩.daj˥˩.naːm˦˥
กรุงเขมา	kruŋ˧.kʰa˨˩.maw˩˩˦
สัปตศก	sap̚˨˩.ta˨˩.sok̚˨˩
วอมแบต	wɔm˧.bɛt̚˨˩
สิบแปดมงกุฎ	sip̚˨˩.pɛːt̚˨˩.moŋ˧.kut̚˨˩
แจ่มใส	t͡ɕɛm˨˩.saj˩˩˦
ศิลปศาสตร์	sin˩˩˦.la˦˥.pa˨˩.saːt̚˨˩
การเฝ้า	kaːn˧.faw˥˩
ท้องฟ้าจำลอง	tʰɔːŋ˦˥.faː˦˥.t͡ɕam˧.lɔːŋ˧
แม่ง	mɛŋ˥˩
แมสซาชูเซตส์	mɛt̚˦˥.saː˧.t͡ɕʰuː˧.seːt̚˨˩
ด้อย	dɔj˥˩
คิวบา	kʰiw˧.baː˧
ไหล่	laj˨˩
การติ่ง	kaːn˧.tiŋ˨˩
เรียกร้อง	ria̯k̚˥˩.rɔːŋ˦˥
ขี่ช้างจับตั๊กแตน	kʰiː˨˩.t͡ɕʰaːŋ˦˥.t͡ɕap̚˨˩.tak̚˦˥.ka˨˩.tɛːn˧
เป็นใจ	pen˧.t͡ɕaj˧
โดโดมา	doː˧.doː˧.maː˧
ปืนลูกซอง	pɯːn˧.luːk̚˥˩.sɔːŋ˧
ละหุ่ง	la˦˥.huŋ˨˩
นั่นเอง	nan˥˩.ʔeːŋ˧
ความเคารพ	kʰwaːm˧.kʰaw˧.rop̚˦˥
เลบานอน	leː˧.baː˧.nɔn˧
อบ	ʔop̚˨˩
การเปิดโปง	kaːn˧.pɤːt̚˨˩.poːŋ˧
ตะบอง	ta˨˩.bɔːŋ˧
สกู๊ตเตอร์	sa˨˩.kuːt̚˦˥.tɤː˥˩
คฑา	kʰa˦˥.tʰaː˧
หลังคาแดง	laŋ˩˩˦.kʰaː˧.dɛːŋ˧
ยุคหินเก่า	juk̚˦˥.hin˩˩˦.kaw˨˩
ค่าแรง	kʰaː˥˩.rɛːŋ˧
แน่ชัด	nɛː˥˩.t͡ɕʰat̚˦˥
สรท	sa˨˩.ra˦˥.tʰaʔ˦˥
นักการตลาด	nak̚˦˥.kaːn˧.ta˨˩.laːt̚˨˩
ทรงคล้ายทรงกลม	soŋ˧.kʰlaːj˦˥.soŋ˧.klom˧
การสำคัญ	kaːn˧.sam˩˩˦.kʰan˧
แฟนคลับ	fɛːn˧.kʰlap̚˨˩
กระสา	kra˧.saː˩˩˦,kra˨˩.saː˩˩˦
ชัง	t͡ɕʰaŋ˧
ยาเสพติด	jaː˧.seːp̚˨˩.tit̚˨˩
แม่บท	mɛː˥˩.bot̚˨˩
โครยอ	kʰoː˧.ra˦˥.jɔː˧
ดิน	din˧
รักษาการ	rak̚˦˥.saː˩˩˦.kaːn˧
การเคลื่อนไหว	kaːn˧.kʰlɯa̯n˥˩.waj˩˩˦
ตะเบ็ง	ta˨˩.beŋ˧
กุมภ์	kum˧
ความใคร่	kʰwaːm˧.kʰraj˥˩
ใจกว้าง	t͡ɕaj˧.kwaːŋ˥˩
แบ่งแยก	bɛŋ˨˩.jɛːk̚˥˩
เกรวี	kreː˧.wiː˧
มรรยาท	man˧.jaːt̚˥˩
เอกภพ	ʔeːk̚˨˩.ka˨˩.pʰop̚˦˥
นักดนตรี	nak̚˦˥.don˧.triː˧
โบ้	boː˥˩
ทางเพศ	tʰaːŋ˧.pʰeːt̚˥˩
ต่อมน้ำเหลือง	tɔm˨˩.nam˦˥.lɯa̯ŋ˩˩˦
อนาถา	ʔa˨˩.naː˧.tʰaː˩˩˦
ใบ้แดก	baj˥˩.dɛːk̚˨˩
เอ็นดู	ʔen˧.duː˧
กานพลู	kaːn˧.pʰluː˧
วอชิงตัน	wɔː˧.t͡ɕʰiŋ˧.tan˧,wɔː˧.t͡ɕʰiŋ˧.tan˥˩
แพลงก์ตอน	pʰlɛŋ˧.tɔn˧
โค๊ก	kʰoːk̚˦˥
วิปลาส	wip̚˦˥.pa˨˩.laːt̚˥˩,wi˦˥.pa˨˩.laːt̚˥˩
ฮอบบิท	hɔp̚˦˥.bit̚˨˩
ชาตรูป	t͡ɕʰaː˧.ta˨˩.ruːp̚˥˩
ยาหยี	jaː˧.jiː˩˩˦
ยี่สิบหก	jiː˥˩.sip̚˨˩.hok̚˨˩
การแจ้ง	kaːn˧.t͡ɕɛːŋ˥˩
สาป	saːp̚˨˩
สวดมนต์	sua̯t̚˨˩.mon˧
พราน	pʰraːn˧
อาทิ	ʔaː˧.tʰiʔ˦˥
เด็กวัด	dek̚˨˩.wat̚˦˥
กลึง	klɯŋ˧
ราชา	raː˧.t͡ɕʰaː˧
นุ่ง	nuŋ˥˩
ณครรลำภาง	na˦˥.kʰɔːn˧.lam˧.pʰaːŋ˧
ยางลบ	jaːŋ˧.lop̚˦˥
บันจูล	ban˧.t͡ɕuːl˧
กล่อง	klɔŋ˨˩
คบไฟ	kʰop̚˦˥.faj˧
ขอ	kʰɔː˩˩˦
เผื่อ	pʰɯa̯˨˩
ตู้หนังสือ	tuː˥˩.naŋ˩˩˦.sɯː˩˩˦
วิกิพจนานุกรม	wi˦˥.ki˨˩.pʰot̚˦˥.t͡ɕa˨˩.naː˧.nu˦˥.krom˧
ลาวเบิ้ง	laːw˧.bɤːŋ˥˩
คิริ	kʰi˦˥.riʔ˦˥
เทกระจาด	tʰeː˧.kra˨˩.t͡ɕaːt̚˨˩
ซักอบรีด	sak̚˦˥.ʔop̚˨˩.riːt̚˥˩
วัตถุนิยม	wat̚˦˥.tʰu˨˩.ni˦˥.jom˧
ยานอวกาศ	jaːn˧.ʔa˨˩.wa˦˥.kaːt̚˨˩
อาจารย์ใหญ่	ʔaː˧.t͡ɕaːn˧.jaj˨˩
การแจง	kaːn˧.t͡ɕɛːŋ˧
อิเล็กตรอน	ʔi˨˩.lek̚˦˥.trɔn˧
ส่งผู้ร้ายข้ามแดน	soŋ˨˩.pʰuː˥˩.raːj˦˥.kʰaːm˥˩.dɛːn˧
โศภิต	soː˩˩˦.pʰit̚˦˥
กลั่นกรอง	klan˨˩.krɔːŋ˧
อำนาจบาตรใหญ่	ʔam˧.naːt̚˥˩.baːt̚˨˩.jaj˨˩
เชือก	t͡ɕʰɯa̯k̚˥˩
อมรบดี	ʔa˨˩.ma˦˥.ra˦˥.bɔː˧.diː˧
แกรนด์ดัชเชส	krɛːn˧.dat̚˦˥.t͡ɕʰes˦˥,krɛːn˧.dat̚˦˥.t͡ɕʰes˥˩
งีบ	ŋiːp̚˥˩
กะจั๊ว	ka˨˩.t͡ɕua̯˦˥,ka˨˩.t͡ɕua̯ʔ˦˥
ไทยเหนือ	tʰaj˧.nɯa̯˩˩˦
เชียง	t͡ɕʰia̯ŋ˧
วิชา	wi˦˥.t͡ɕʰaː˧
หัวร่อ	hua̯˩˩˦.rɔː˥˩
ฟองน้ำ	fɔːŋ˧.naːm˦˥
ใส่ใจ	saj˨˩.t͡ɕaj˧
มะตะบะ	ma˦˥.ta˨˩.baʔ˨˩
จมปลัก	t͡ɕom˧.plak̚˨˩
สุรบดี	su˨˩.ra˦˥.bɔː˧.diː˧
ครัว	kʰrua̯˧
เจริญ	t͡ɕa˨˩.rɤːn˧
ง้าว	ŋaːw˦˥
จารึก	t͡ɕaː˧.rɯk̚˦˥
ถุงน่อง	tʰuŋ˩˩˦.nɔŋ˥˩
รูปคดี	ruːp̚˥˩.kʰa˦˥.diː˧
หน่วยอภิบาล	nua̯j˨˩.ʔa˨˩.pʰi˦˥.baːn˧
เอาใจช่วย	ʔaw˧.t͡ɕaj˧.t͡ɕʰua̯j˥˩
อบรม	ʔop̚˨˩.rom˧
กัลยาณี	kan˧.la˦˥.jaː˧.niː˧
รำคาญ	ram˧.kʰaːn˧
โยดา	joː˧.daː˧
พรรฦก	pʰan˧.lɯk̚˦˥
ปทุม	pa˨˩.tʰum˧
สามัญ	saː˩˩˦.man˧
เฟอเลชิโอ	fɤː˧.leː˧.t͡ɕʰi˦˥.ʔoː˧
เต้า	taw˥˩
การก่อสร้าง	kaːn˧.kɔː˨˩.saːŋ˥˩
คาย	kʰaːj˧
สวม	sua̯m˩˩˦
บ่	bɔʔ˨˩,bɔː˨˩
เขียง	kʰia̯ŋ˩˩˦
เครื่องปรับอากาศ	kʰrɯa̯ŋ˥˩.prap̚˨˩.ʔaː˧.kaːt̚˨˩
การดูแล	kaːn˧.duː˧.lɛː˧
ยอดเกสรตัวเมีย	jɔːt̚˥˩.keː˧.sɔːn˩˩˦.tua̯˧.mia̯˧
โกเมน	koː˧.meːn˧
โปรดเกล้าฯ	proːt̚˨˩.klaːw˥˩
เซาท์ซูดาน	saw˦˥.suː˧.daːn˧
โตเกียว	toː˧.kia̯w˧
รบ.	rɔː˧.bɔː˧
แผ่นเสียง	pʰɛːn˨˩.sia̯ŋ˩˩˦
เส้นแวง	sen˥˩.wɛːŋ˧
ดีวีดี	diː˧.wiː˧.diː˧
ทักษิโณทก	tʰak̚˦˥.si˨˩.noː˧.tʰok̚˦˥
เบี้ยว	bia̯w˥˩
แกล้ม	klɛːm˥˩
เบ็ด	bet̚˨˩
เชื่อใจ	t͡ɕʰɯa̯˥˩.t͡ɕaj˧
โอห์ม	ʔoːm˧
โบโนโบ	boː˧.noː˧.boː˧
สรทะ	sa˨˩.ra˦˥.tʰaʔ˦˥
ความตาย	kʰwaːm˧.taːj˧
แจกัน	t͡ɕɛː˧.kan˧
วีซีดี	wiː˧.siː˧.diː˧
หมีหมา	miː˩˩˦.maː˩˩˦
กล้องถ่ายรูป	klɔŋ˥˩.tʰaːj˨˩.ruːp̚˥˩
ประหารชีวิต	pra˨˩.haːn˩˩˦.t͡ɕʰiː˧.wit̚˦˥
ไม้กอล์ฟ	maːj˦˥.kɔːp̚˦˥
บาย	baːj˧
เซลฟี่	seːl˧.fiː˥˩
แดกดัน	dɛːk̚˨˩.dan˧
มีนา	miː˧.naː˧
ค่าโง่	kʰaː˥˩.ŋoː˥˩
ไส้เดือน	saj˥˩.dɯa̯n˧
ซูรินาเม	suː˧.ri˦˥.naː˧.meː˧
ยอด	jɔːt̚˥˩
โทรทัศน์	tʰoː˧.ra˦˥.tʰat̚˦˥
แผ่นดินไหว	pʰɛn˨˩.din˧.waj˩˩˦
อกไหม้ไส้ขม	ʔok̚˨˩.maj˥˩.saj˥˩.kʰom˩˩˦
ใบไม้ผลิ	baj˧.maːj˦˥.pʰliʔ˨˩
เชอร์รี	t͡ɕʰɤː˧.riː˥˩
อาหารกลางวัน	ʔaː˧.haːn˩˩˦.klaːŋ˧.wan˧
ไม้เซลฟี่	maːj˦˥.seːl˧.fiː˥˩
นมัสการ	na˦˥.mat̚˦˥.sa˨˩.kaːn˧
เฮช	heːt͡ɕʰ˦˥,het͡ɕʰ˦˥
สิ้นใจ	sin˥˩.t͡ɕaj˧
เฉียบ	t͡ɕʰia̯p̚˨˩
น้ำส้มสายชู	nam˦˥.som˥˩.saːj˩˩˦.t͡ɕʰuː˧
ถุงยางอนามัย	tʰuŋ˩˩˦.jaːŋ˧.ʔa˨˩.naː˧.maj˧
พวก	pʰua̯k̚˥˩
การบรรทม	kaːn˧.ban˧.tʰom˧
ไททาเนียม	tʰaj˧.tʰaː˧.nia̯m˥˩
อสูร	ʔa˨˩.suːn˩˩˦
วีร	wiː˧.raʔ˦˥
โสณ	soːn˩˩˦
หินปูน	hin˩˩˦.puːn˧
เซลเซียส	sen˧.sia̯t̚˥˩,sel˧.sia̯t̚˥˩
การล่าแม่มด	kaːn˧.laː˥˩.mɛː˥˩.mot̚˦˥
น้องสาว	nɔːŋ˦˥.saːw˩˩˦
ผลประโยชน์ทับซ้อน	pʰon˩˩˦.pra˨˩.joːt̚˨˩.tʰap̚˦˥.sɔːn˦˥
ปุย	puj˧
โคไพร	kʰoː˧.pʰraj˧
อืด	ʔɯːt̚˨˩
ร้อนรน	rɔːn˦˥.ron˧
ดึกดำบรรพ์	dɯk̚˨˩.dam˧.ban˧
ตัวกลม	tua̯˧.klom˧
ลูกเต๋า	luːk̚˥˩.taw˩˩˦
คูเมือง	kʰuː˧.mɯa̯ŋ˧
แท็ก	tʰɛk̚˨˩
น้ำมันมะกอก	nam˦˥.man˧.ma˦˥.kɔːk̚˨˩
มุ่งมาด	muŋ˥˩.maːt̚˥˩
เดา	daw˧
การร่วมเพศ	kaːn˧.rua̯m˥˩.pʰeːt̚˥˩
พฤฒิบาศ	pʰrɯt̚˦˥.tʰi˦˥.baːt̚˨˩
กงล้อ	koŋ˧.lɔː˦˥
ตุ๋ย	tuj˩˩˦
ชาขาว	t͡ɕʰaː˧.kʰaːw˩˩˦
ทั้งปวง	tʰaŋ˦˥.pua̯ŋ˧
ไอโซโทป	ʔaj˧.soː˧.tʰoːp̚˨˩
ฤดู	rɯ˦˥.duː˧
เก้าอี้	kaw˥˩.ʔiː˥˩
ลอย	lɔːj˧
อ้อม	ʔɔːm˥˩
แสร้งว่า	sɛːŋ˥˩.waː˥˩
เฉียง	t͡ɕʰia̯ŋ˩˩˦
ม้า	maː˦˥
หมากขาม	maːk̚˨˩.kʰaːm˩˩˦
โรงอาหาร	roːŋ˧.ʔaː˧.haːn˩˩˦
หน้าจั่ว	naː˥˩.t͡ɕua̯˨˩
โบกรถ	boːk̚˨˩.rot̚˦˥
สำรับ	sam˩˩˦.rap̚˦˥
กุ	kuʔ˨˩
เมลานีเซีย	meː˧.laː˧.niː˧.sia̯˧
ปลง	ploŋ˧
การชักใย	kaːn˧.t͡ɕʰak̚˦˥.jaj˧
การพับ	kaːn˧.pʰap̚˦˥
รักสามเส้า	rak̚˦˥.saːm˩˩˦.saw˥˩
เทลลูเรียม	tʰeːl˧.luː˧.ria̯m˥˩
จ้าว	t͡ɕaːw˥˩
การสิ้นบุญ	kaːn˧.sin˥˩.bun˧
ผลิตภาพ	pʰa˨˩.lit̚˨˩.ta˨˩.pʰaːp̚˥˩
นามปากกา	naːm˧.paːk̚˨˩.kaː˧
จาระบี	t͡ɕaː˧.ra˧.biː˧,t͡ɕaː˧.ra˦˥.biː˧
เครื่องฉาย	kʰrɯa̯ŋ˥˩.t͡ɕʰaːj˩˩˦
จักร	t͡ɕak̚˨˩,t͡ɕak̚˨˩.kra˨˩.
อาณา	ʔaː˧.naː˧
สี่เหลี่ยมข้าวหลามตัด	siː˨˩.lia̯m˨˩.kʰaːw˥˩.laːm˩˩˦.tat̚˨˩
กลีบ	kliːp̚˨˩
กระดานถีบ	kra˨˩.daːn˧.tʰiːp̚˨˩
ร่ม	rom˥˩
เพียบพร้อม	pʰia̯p̚˥˩.pʰrɔːm˦˥
วิทยาลัย	wit̚˦˥.tʰa˦˥.jaː˧.laj˧
นักแสดง	nak̚˦˥.sa˨˩.dɛːŋ˧
ประหลาดใจ	pra˨˩.laːt̚˨˩.t͡ɕaj˧
หยั่งรู้	jaŋ˨˩.ruː˦˥
ธรรมะ	tʰam˧.maʔ˦˥
การสืบพันธุ์	kaːn˧.sɯːp̚˨˩.pʰan˧
จม	t͡ɕom˧
เต่ง	teːŋ˨˩
การเดินทาง	kaːn˧.dɤːn˧.tʰaːŋ˧
จ.	t͡ɕɔː˧
เดือดเนื้อร้อนใจ	dɯa̯t̚˨˩.nɯa̯˦˥.rɔːn˦˥.t͡ɕaj˧
ปฐมทัศน์	pa˨˩.tʰom˩˩˦.ma˦˥.tʰat̚˦˥
โป่ง	poːŋ˨˩
ความเป็นจริง	kʰwaːm˧.pen˧.t͡ɕiŋ˧
อาสน	ʔaːt̚˨˩.sa˨˩.na˦˥.,ʔaːt̚˨˩.sa˨˩.naʔ˦˥
มึง	mɯŋ˧
เลื่อม	lɯa̯m˥˩
ร้านอาหาร	raːn˦˥.ʔaː˧.haːn˩˩˦
การกะ	kaːn˧.kaʔ˨˩
พนา	pʰa˦˥.naː˧
ระดับ	ra˦˥.dap̚˨˩
หัวใจ	hua̯˩˩˦.t͡ɕaj˧
คางคก	kʰaːŋ˧.kʰok̚˦˥
สงครามโลกครั้งที่สอง	soŋ˩˩˦.kʰraːm˧.loːk̚˥˩.kʰraŋ˦˥.tʰiː˥˩.sɔːŋ˩˩˦
ตึ๊ง	tɯŋ˦˥
ดาย	daːj˧
หวน	hua̯n˩˩˦
เร	reː˧
เรฟูจี	reː˧.fuː˧.t͡ɕiː˧
ขนแกะ	kʰon˩˩˦.kɛʔ˨˩
หูก	huːk̚˨˩
ลิเทียม	li˦˥.tʰia̯m˥˩
ใจเพชร	t͡ɕaj˧.pʰet̚˦˥
สิงคาร	siŋ˩˩˦.kʰaːn˧
เปลี่ยวใจ	plia̯w˨˩.t͡ɕaj˧
มนุษยธรรม	ma˦˥.nut̚˦˥.sa˨˩.ja˦˥.tʰam˧
ดูก่อน	duː˧.kɔːn˨˩
ลูกชิ้น	luːk̚˥˩.t͡ɕʰin˦˥
นิคม	ni˦˥.kʰom˧
สี่สิบเจ็ด	siː˨˩.sip̚˨˩.t͡ɕet̚˨˩
สุวรรณ	su˨˩.wan˧.na˦˥.,su˨˩.wan˧
ซิงเกิล	siŋ˧.kɤn˥˩
การจบการศึกษา	kaːn˧.t͡ɕop̚˨˩.kaːn˧.sɯk̚˨˩.saː˩˩˦
พีพี	pʰiː˧.pʰiː˧
ไฟฟ้าสถิต	faj˧.faː˦˥.sa˨˩.tʰit̚˨˩
อนุรักษ์นิยม	ʔa˨˩.nu˦˥.rak̚˦˥.ni˦˥.jom˧
ชาวบ้าน	t͡ɕʰaːw˧.baːn˥˩
ใจดี	t͡ɕaj˧.diː˧
น้อยใจ	nɔːj˦˥.t͡ɕaj˧
ภายนอก	pʰaːj˧.nɔːk̚˥˩
ทอน	tʰɔːn˧
ทรงตัว	soŋ˧.tua̯˧
ลักทรัพย์	lak̚˦˥.sap̚˦˥
เห็น	hen˩˩˦
ฟันกราม	fan˧.kraːm˧
ข้อจำกัด	kʰɔː˥˩.t͡ɕam˧.kat̚˨˩
โคล่า	kʰoː˧.laː˥˩
แผลง	pʰlɛːŋ˩˩˦
วิเศษ	wi˦˥.seːt̚˨˩
เชียร์	t͡ɕʰia̯˧
ซามัว	saː˧.mua̯˧
เว็บแคม	wep̚˦˥.kʰɛːm˧
ปลาย	plaːj˧
ความทรมาน	kʰwaːm˧.tʰɔː˧.ra˦˥.maːn˧
ดุริยางค์	du˨˩.ri˦˥.jaːŋ˧
มะกรูด	ma˦˥.kruːt̚˨˩
หัวข้อ	hua̯˩˩˦.kʰɔː˥˩
อับอาย	ʔap̚˨˩.ʔaːj˧
วาล์ว	waːw˧
โอฬารึก	ʔoː˧.laː˧.rɯk̚˦˥
ซ้าย	saːj˦˥
เมษายน	meː˧.saː˩˩˦.jon˧,meː˧.saː˩˩˦.jon˧.,meː˧.saː˩˩˦.jon˧.na˦˥.
ลิ้นทะเล	lin˦˥.tʰa˦˥.leː˧
ใฝ่	faj˨˩
รสนิยม	rot̚˦˥.ni˦˥.jom˧
สามสิบ	saːm˩˩˦.sip̚˨˩
อยากรู้อยากเห็น	jaːk̚˨˩.ruː˦˥.jaːk̚˨˩.hen˩˩˦
ประโยค	pra˨˩.joːk̚˨˩
พอร์ต	pʰɔːt̚˥˩
ลงมือ	loŋ˧.mɯː˧
ทศ	tʰa˦˥.saʔ˨˩,tʰot̚˦˥.sa˨˩.,tʰot̚˦˥
สปุตนิก	sa˨˩.put̚˦˥.nik̚˨˩
ยูโร	juː˧.roː˧
ขั้นตอน	kʰan˥˩.tɔːn˧
เบรอตาญ	brɤː˧.taːn˧
ท่อน้ำเลี้ยง	tʰɔː˥˩.naːm˦˥.lia̯ŋ˦˥
ค่าอุปการะเลี้ยงดู	kʰaː˥˩.ʔup̚˨˩.pa˨˩.kaː˧.ra˦˥.lia̯ŋ˦˥.duː˧
เพดาน	pʰeː˧.daːn˧
ป่อง	pɔŋ˨˩
บัดกรี	bat̚˨˩.kriː˧
สุขา	suk̚˨˩.kʰaː˩˩˦,su˨˩.kʰaː˩˩˦
หมายเลข	maːj˩˩˦.leːk̚˥˩
ยาแก้ไอ	jaː˧.kɛː˥˩.ʔaj˧
กล้อง	klɔŋ˥˩
ชัลลุกะ	t͡ɕʰan˧.lu˦˥.kaʔ˨˩
มหาเศรษฐี	ma˦˥.haː˩˩˦.seːt̚˨˩.tʰiː˩˩˦
ชายรักร่วมเพศ	t͡ɕʰaːj˧.rak̚˦˥.rua̯m˥˩.pʰeːt̚˥˩
ทัศนาจร	tʰat̚˦˥.sa˨˩.naː˧.t͡ɕɔːn˧
โต๊ะ	toʔ˦˥
ข้าวโอ๊ต	kʰaːw˥˩.ʔoːt̚˦˥
ที่ยี่สิบ	tʰiː˥˩.jiː˥˩.sip̚˨˩
น่าเกลียด	naː˥˩.klia̯t̚˨˩
นักว่ายน้ำ	nak̚˦˥.waːj˥˩.naːm˦˥
หนี	niː˩˩˦
เค้า	kʰaw˦˥
มูก	muː˧.kaʔ˨˩,muːk̚˥˩
โกง	koːŋ˧
บรเทศ	bɔː˧.ra˦˥.tʰeːt̚˥˩
ฤณ	rin˧
การทรมาน	kaːn˧.tʰɔː˧.ra˦˥.maːn˧
กล้องยาเส้น	klɔːŋ˥˩.jaː˧.seːn˥˩
ความแอ๊บแบ๊ว	kʰwaːm˧.ʔɛp̚˦˥.bɛw˦˥
ยอง	jɔːŋ˧
ผ้าห่ม	pʰaː˥˩.hom˨˩
น้ำมัน	nam˦˥.man˧
ฝุ่นควัน	fun˨˩.kʰwan˧
ปรสิต	pa˨˩.ra˦˥.sit̚˨˩.ta˨˩.,pa˨˩.ra˦˥.sit̚˨˩
ที่ราบสูง	tʰiː˥˩.raːp̚˥˩.suːŋ˩˩˦
เกสร	keː˧.sɔːn˩˩˦
กระทัดรัด	kra˨˩.tʰat̚˦˥.rat̚˦˥
ขุดรากถอนโคน	kʰut̚˨˩.raːk̚˥˩.tʰɔːn˩˩˦.kʰoːn˧
วุฒิสภา	wut̚˦˥.tʰi˦˥.sa˨˩.pʰaː˧
สนามกีฬา	sa˨˩.naːm˩˩˦.kiː˧.laː˧
มูส	muːs˦˥
วัน	wan˧
ฝิ่น	fin˨˩
การตลาด	kaːn˧.ta˨˩.laːt̚˨˩
วิธี	wi˦˥.tʰiː˧
คนรัก	kʰon˧.rak̚˦˥
ยักยอก	jak̚˦˥.jɔːk̚˥˩
วิสัยทัศน์	wi˦˥.saj˩˩˦.tʰat̚˦˥
ปฤจฉาสรรพนาม	prit̚˨˩.t͡ɕʰaː˩˩˦.sap̚˨˩.pʰa˦˥.naːm˧
ท้อง	tʰɔːŋ˦˥
ขด	kʰot̚˨˩
สกุณ	sa˨˩.kun˧
เถาวัลย์	tʰaw˩˩˦.wan˧
มวยปล้ำ	mua̯j˧.plam˥˩
จักรเย็บผ้า	t͡ɕak̚˨˩.jep̚˦˥.pʰaː˥˩
วาสลีน	waːs˦˥.liːn˧
นิสัย	ni˦˥.saj˩˩˦
ปลีกล้วยหูเหลืองใหญ่	pliː˧.klua̯j˥˩.huː˩˩˦.lɯa̯ŋ˩˩˦.jaj˨˩
เห็ดรา	het̚˨˩.raː˧
ราหู	raː˧.huː˩˩˦
ดักควาย	dak̚˨˩.kʰwaːj˧
แขม่ว	kʰa˨˩.mɛw˨˩
กระทะใบบัว	kra˨˩.tʰa˦˥.baj˧.bua̯˧
ใคร่ครวญ	kʰraj˥˩.kʰrua̯n˧
ซาฮาราตะวันตก	saː˧.haː˧.raː˧.ta˨˩.wan˧.tok̚˨˩
ยนต์	jon˧
อาเจียน	ʔaː˧.t͡ɕia̯n˧
เอ่ย	ʔɤːj˨˩
ความเร็วหลุดพ้น	kʰwaːm˧.rew˧.lut̚˨˩.pʰon˦˥
ปาร์ตี้	paː˧.tiː˥˩
เอ็กซ์เรย์	ʔek̚˨˩.reː˧
บ๊ะจ่าง	ba˦˥.t͡ɕaːŋ˨˩
กอก	kɔːk̚˨˩
พงศาวดาน	pʰoŋ˧.saː˩˩˦.wa˦˥.daːn˧
บัวลอย	bua̯˧.lɔːj˧
ครับผม	kʰrap̚˦˥.pʰom˩˩˦
ทัพ	tʰap̚˦˥,tʰap̚˦˥.pʰa˦˥.
ค่าเฉลี่ย	kʰaː˥˩.t͡ɕʰa˨˩.lia̯˨˩
การละเมิดอำนาจศาล	la˦˥.mɤːt̚˥˩.ʔam˧.naːt̚˥˩.saːn˩˩˦
กา	kaː˧
สุดยอด	sut̚˨˩.jɔːt̚˥˩
เฟซบุ๊ค	feːs˦˥.buk̚˦˥
แซ็ว	sɛw˧
เกรี้ยวกราด	kria̯w˥˩.kraːt̚˨˩
การว่างงาน	kaːn˧.waːŋ˥˩.ŋaːn˧
นางเงือก	naːŋ˧.ŋɯa̯k̚˥˩
มาดราซาห์	maː˧.draː˧.saː˧
กิโล	ki˨˩.loː˧
สร้อยข้อมือ	sɔj˥˩.kʰɔː˥˩.mɯː˧
นิวเจอร์ซีย์	niw˧.t͡ɕɤː˧.siː˥˩
แอลเบเนีย	ʔɛl˧.beː˧.nia̯˧
ตะแลงแกง	ta˨˩.lɛːŋ˧.kɛːŋ˧
ตับแข็ง	tap̚˨˩.kʰɛŋ˩˩˦
ผู้รับพินัยกรรม	pʰuː˥˩.rap̚˦˥.pʰi˦˥.naj˧.kam˧
