гъогурыгъуазэ	ʁʷaɡʷrəʁʷaːza
бжьащэ	bʑaːɕa
арба	arbaː
гущаӏэ	ɡʷəɕaːʔa
гулъытэн	ɡʷəɬətan
осӏэбыцу	wasʔabət͡sʷ
жьыбгъэос	ʑəbʁawas
тӏы	tʼə
тэуцӏэлэн	tawt͡sʼalan
ханэ	xaːna
бэӏул	baʔʷəl
кӏэлэгъу	t͡ʃalaʁʷ
зыгъэгусэн	zəʁəɡʷəsan
мыжъо	məʐʷa
жэрыӏуабз	ʒarəʔʷaːbz
ӏэгьэ	ʔaɡʲa
фэмэн	faman
жэ	ʒa
ешъухъогъон	jaʃʷəχʷaʁʷan
лые	ɮəja
ахъчалъ	aːχt͡ʃaːɬ
чъэн	tʂan
шӏыбзыу	ʃʼəbzəw
суэу	ʃʷaw
лэжьакӏу	laʑaːkʷʼ
щалъ	ɕaːɬ
бгъэгу	bʁaɡʷ
бзэгухьын	bzaɡʷəħən
хэкӏын	xakʲʼən
щазымэ	ɕaːzəma
а	ʔaː
деупӏэпӏэн	dajwpʼapʼan
бэшхы	baʃxə
зэпыун	zapəwən
пыгъэхьан	pəʁaħaːn
хыбзу	xəbzəw
щабзэ	ɕaːbza
мэпсэлъэн	mapsaɬan
суыз	ʃʷəz
бэкъу	baqʷ
бэгьэхъ	baɡʲaχ
зыохьын	zəwaħən
гъэунэхъун	ʁawnaχʷʁn
зэхэшӏыкӏын	zaxaʃʼət͡ʃʼən
джаргъэн	d͡ʒaːrʁan
сысын	səsən
шапхъэ	ʃaːpχa
епыджын	japəd͡ʒən
нэӏазэ	naʔaːza
фэшӏу	faʃʷʼə
пылӏыкӏын	pəɬʼət͡ʃʼən
шъхьацышъо	ʂħaːt͡səʃʷa
былымылы	bələmələ
ӏофытэн	ʔʷafətan
гъогу	ʁʷaɡʷ
бзыужъый	bzəwʐəj
ишъун	jəʃʷən
пагэ	paːɣa
пэпсы	papsə
шыкӏэпшынэ	ʃəkʲapʃəna
итын	jətən
пкъэу	pqaw
янэш	jaːnaʃ
жъогъоплӏэн	ʐʷaʁapɬan
щыун	ɕəwən
арышъхьае	aːrəʂħaːja
изакъу	jəzaːqʷ
фэгуӏэн	faɡʷaʔan
бгэн	jabɣən
бгъэкӏапх	bʁat͡ʃʼaːpx
бэбахь	babaːħ
псыгу	psəɡʷə
уцышъо	wət͡səʂʷa
мэгъушъыжъын	maʁʷʂəʐən
гъучӏынэ	ʁʷət͡ʂʼəna
куу	kʷəwə
къытегъэзэн	qətajʁazan
хьатыр	ħaːtər
унакӏэ	wənaːt͡ʃʼa
убын	wəbə
къыӏэкӏэхьэн	qəʔat͡ʃʼaħaːn
бжьашӏо	bʑaːʃʷʼa
нэкӏы	nat͡ʃʼə
шъхьэталъхьэ	ʂħataːɬħa
елбэтэу	jaɮbataw
пщы	pɕə
дзуцон	d͡zʷət͡sʷan
хьазыр	ħaːzər
псӏырый	psʼərəj
делэхъан	dajlaχaːn
мэсэкъатын	masaqaːtən
ӏункӏэн	ʔʷənt͡ʃʼan
къилъын	qəjɬən
убэн	wəban
плъэкӏун	pɬakʷʼən
нэфнэ	nafna
быяун	bəjaːwʑəb
цӏэлъэн	t͡sʼaɬan
тедэжьын	tajdaʑən
пшъэдалъхь	pʂadaːɬħ
гъэкьэрэзын	ʁakʲarazən
хьэкъухъ	ħaqʷəʐ
блэпкӏьын	blaptkʲʼən
лъычъэн	ɬət͡ʂan
хъэдэн	χadan
псыуалъэ	psəəwaːɬa
шъэнэкъо	ʂanaqʷa
бжьыныфщыгъу	bʑənəfɕəʁʷ
тӏэкӏу	tʼakʷʼ
къэбкӏэ	qabkʲʼa
нэхьышӏу	naħəʃʷʼə
япэрэ	jaːpara
ахын	aːxən
тхылъылъ	txəɬəɬ
джэдыпэ	d͡ʒadəpa
хымэ	xəma
жъыкъат	ʐəqaːt
утэшъон	wtaʃʷan
цыгъо	t͡səʁʷa
ӏэ	ʔa
гъэщын	ʁaɕən
цые	t͡səja
шъуашэ	ʃʷaːʃa
хамэ	xaːma
кьэт	kʲat
блын	blən
цыхьэмышӏ	t͡sʼəħaməʃʼ
дэзэкӏон	dazakʷʼan
мэрсысын	marsəsən
пчэнышъо	pt͡ʃanəʃʷa
зэкъодзэн	zaqʷad͡zan
чӏэбын	t͡ʂʼabən
еблэгъапӏэ	jablaʁaːpʼa
къохь	qʷaħ
бжьыныфыц	bʑənəfəts
гъэлыгьын	ʁaləɡʲən
губзыгъ	ɡʷəbzəʁ
мэшъуен	maʃʷəjan
гъэпскӏыпӏэ	ʁapst͡ʃəpʼa
гъэчэрэгъун	ʁat͡ʃaraʁʷən
шэпсэун	ʃapsawən
жьыкъухь	ʑəqʷəħ
машэ	maːʃa
улэлэн	wəlalan
дэхьан	daħaːn
фэрэзэн	farazan
мыгъо	məʁʷa
жэлый	ʒaləj
ибэдалэу	jəbadaːlaw
жъогъофах	ʐʷaʁʷafaːx
дэсын	dasən
дэлъхьэн	daɬħan
енэгуен	janaɡʷəjan
хъэн	χan
ебэнын	jabanən
пчы	pt͡ʃə
гумэкӏыгъу	ɡʷəmat͡ʃəʁʷ
бзэджай	bzad͡ʒaːj
шъыбын	ʂəbən
напсэ	naːpsa
зэгъэфэгъэн	zaʁafaʁan
бэкъогъу	baqʷaʁw
мэхъут	maχʷət
жъый	ʐəj
къэкӏорэтхьэмафэ	qakʷʼaratħamaːfa
нэрыплъ	narəpɬ
набгъэ	naːbʁa
псыунэ	psəwəna
бжъэмыяпщ	bʐaməjaːpɕ
плӏэнэбзы	pɬʼanabzə
тыгъуакӏо	təʁʷaːkʷʼa
матхъэжьын	maːtχaʑən
мэшъухъогъон	ʃʷəχʷaʁʷan
кӏэмгуе	t͡ʃʼamɡʷəja
быдзашъу	bəd͡zaːʂʷ
даргу	daːrɡʷ
узын	wəzən
одыджын	wadəd͡ʒən
цӏыфыгъэ	t͡sʼəfəʁa
хьалы	ħaːlə
мэгъун	maʁʷən
кӏэшӏэн	t͡ʃʼaʃʼan
налэ	naːla
бэджыджэн	bad͡ʒəd͡ʒan
джаузэ	d͡ʒaːwza
гъэрэкӏопагъэ	ʁarakʷʼapaːʁa
цӏашъутэ	t͡sʼaːʃʷta
блэ	bla
цадльэ	t͡saːɣa
гуао	ɡʷaːwa
бжьэмат	bʑamaːt
апэрэу	aːparaw
хьэнтӏэрэпӏый	ħantarapəj
пэшын	paʃən
апкӏхьэн	aːpt͡ʃħan
гъэохъун	ʁawaχʷən
псычӏэгъы	psət͡ʂʼaʁə
цӏэтхъун	t͡sʼatχʷən
пчъэӏупэ	pt͡ʃaʔʷəpa
мэчэн	mat͡ʃan
зегъэшӏужьын	zajʁaʃʷʼəʑən
ӏукӏыхьан	ʔʷət͡ʃəħaːn
плъышъо	pɬəʃʷa
дэгъналъэ	daʁnaːɬa
гущыӏанчъэ	ɡʷəɕəʔant͡ʂʼa
делъэсэен	dajɬasajan
шӏоигъоджэн	ʃʷajəʁʷad͡ʒan
бжьыныкӏ	bʑənəkʲʼ
хьэлэбэлыкъ	ħaɮabaɮəq
чырбыч	t͡ʃərbət͡ʃ
хьэблыу	ħabləw
лъэкъуацӏэ	ɬaqʷaːt͡sʼa
бзын	bzən
кьэтжъые	kʲatʐəj
нэнэжъ	nanaʐ
лӏымыш	ɬʼəməʃ
щыугъэ	ɕəwəʁa
мыхъумыбз	məχʷəməbz
пщагъу	pɕaːʁʷ
ӏэдэб	ʔadab
ешъокӏу	jaʂʷakʷʼ
хьадэгъущ	ħaːdaʁʷəɕ
цэлы	t͡salə
дадыу	daːdəw
гъэстыныпхъ	ʁastənəpχ
кӏапэ	kʲaːpa
кӏэлэегъадж	t͡ʃʼaɮaʁaːd͡ʒ
пахъэ	paːχ
хъу	χʷə
шъотэгын	ʂʷataɣən
шъыгъо	ʂəʁʷa
жьыдзапӏэ	ɕəd͡zəpʼa
гурихьан	ɡʷərəjħən
хьапкӏ	ħaːpt͡ʃʼ
тэгъэцӏэшъутыкӏын	taʁat͡sʼaʃʷtət͡ʃʼən
шъуалъэ	ʂʷaːɬa
бгъэ	bʁa
мэгъушъын	maʁʷʂən
адыгэкъэб	aːdəɣaqab
мэбзэен	mabzajan
мэтхьаусхэн	matħaːwəsxan
гыкӏыгъ	ɣət͡ʃʼəʁ
гъэткӏун	ʁatkʷʼən
чэупчъэ	t͡ʃawəpt͡ʂa
бынд	bənd
тегощэн	ɡʷaɕən
гъэунэн	ʁawənən
мастэ	maːsta
фэ	fa
ӏэкӏэукӏэн	ʔat͡ʃʼawt͡ʃʼan
тхьэпкӏэ	tħapt͡ʃa
ецэгъон	jat͡səʁʷan
мэцӏын	mat͡sʼən
мэзагъо	mazaːʁʷa
хъужьын	χʷəʑən
шъхьафы	ʂħaːfə
къуэдэс	qʷadas
шъхьантэ	ʂħaːnta
шэкӏогъумаз	ʃakʷʼaʁʷəmaːz
дэгъэфэн	daʁafan
унэ	wəna
уфэн	wfan
бэткэлӏ	batkaɬʼ
ныпчэдыжьы	nəpt͡ʃadəʑə
ешъукӏын	jaʃʷət͡ʃʼən
гъэчэрэзын	ʁat͡ʃarazən
гъэ	ʁa
егъоин	ʁʷajən
гъэшӏон	ʁaʃʷʼan
зэхэдзын	zaxad͡zən
быркусын	bərkʷʁsən
ахъу	aːχʷə
щыдыхьэщхын	ɕədəħaɕxən
теутхэн	tjawətxən
чъу	t͡ʃʷə
щэгьэгъоуж	ɕaɡʲaʁʷaʒ
шъуамбгъо	ʂʷaːmbʁʷaː
шӏэн	ʃan
шъофбзыу	ʂʷafbzəw
гъэпсӏэн	ʁapsʼən
гущыӏэрые	ɡʷəɕəʔarəja
пчэдыжьышхэ	pt͡ʃadəʑəʃxa
дэялъ	dajaːɬ
жъышъхьэмаф	ʐəʂħamaːf
анэл	aːnal
яжьэ	jaːʑa
копкъышъхьэ	kʷapqəʂħa
хыкъу	xəqʷə
ахъчэзэблэхъущ	aːχt͡ʃazablaχʷən
нэшхъэй	naʃχaj
ӏэпшэхъу	ʔapʃaχʷ
зандэ	zaːnda
жэдэлъхьажьын	ʒadaɬħaːʑən
блапцӏэ	blaːpt͡sʼa
жабз	ʒabz
хьэлъэбакъо	ħaɬawbaːq
архъуан	aːrχʷaːn
унашъо	wənaːʂʷa
гъэзет	ʁazjat
къэлэмдалъхьэ	qalamdaːɬħa
нып	nəp
елэн	jalan
лыдын	ɮədən
къэшъуакӏо	qaʃʷaːkʷʼa
ушъхьагъу	wəʂħaːʁʷ
ӏэкӏэкӏын	ʔat͡ʃʼat͡ʃʼən
сагъындакъ	saːʁəndaːq
стырыпс	stərəps
лъэпкъ	ɬapq
тӏэрэхьын	matʼaraħən
тӏаркъу	tʼaːrqʷ
бгъушы	bʁʷəʃə
шъуз	ʂʷəzə
бжамэ	bʒaːma
нысэ	nəsa
пытэ	pəta
гъуамэ	ʁʷaːma
таплъэ	taːpɬa
гъэмысэн	ʁaməsan
урыс	wərəs
тхьэмбылышъу	tħambələʂʷ
гъэшӏыкӏьэен	ʁaʃʼəkʲʼajan
тӏэрэхын	tʼaraxən
тхьарыӏу	tħaːrəʔʷ
тхьэмышӏэ	tħaməʃʼa
ятӏэ	jaːtʼa
кӏай	t͡ʃʼaːj
хъушъу	χʷəʃʷ
бзэмай	bzamaːj
хьан	ħaːn
кьэ	kʲa
гурышхъу	ɡʷərəʃχʷ
фэшъхьаф	faʂħaːf
чылэдэс	t͡ʃəɮadas
джынэс	d͡ʒənas
хьэӏу	ħaʔʷə
джы	d͡ʒə
къетӏэрэхын	qajtʼaraxən
ехъункӏын	jaχʷənt͡ʃən
щаибжъэ	ɕaːjəbʐa
кӏосэн	kʷʼasan
джыны	d͡ʒənə
угощын	wəɡʷaɕən
мэлъэхъу	maɬaχʷ
хьэкуаку	ħakʷaːkʷ
тегъэстыхьан	tajʁasəħaːn
пый	pəj
фэлъэкӏын	ɬat͡ʃʼən
фэӏофытэн	ʔʷafətan
пыскӏэн	pəst͡ʃan
бгыкъу	bɣəqʷ
лъабжъэ	ɬaːbʐa
къабзэ	qaːbza
мэзгуащэ	mazɡʷaːɕa
блыныкӏ	blənət͡ʃ
гъучӏыбзыу	ʁʷət͡ʂʼəbzəw
къэфын	qafən
къегъэблэгъэн	qajʁablaʁan
сымэджэщ	səmad͡ʒaɕ
къоуцон	qʷawt͡ʃʷan
гъэӏонтӏэн	ʁaʔʷantʼan
ӏалъмэкъ	ʔaːɬmaq
къэучъыӏын	qawtʂəʔən
ӏэлъмэкъ	ʔaɬmaq
хыгъэхъун	xəʁaχʷən
цӏы	t͡sʼə
иушӏоин	jəwʃʷajən
лъэкӏын	ɬakʲʼən
уфэупцӏэ	wəfawpt͡sʼa
пхъэтэкъэжъ	pχataqaʐ
зэблэхъун	zaplaχʷən
дэублэн	dawəbɮan
гъэбэдзэжьын	ʁabad͡zaʑən
гъэтӏэтӏэн	ʁatʼatʼan
зэблэдзын	zabɮad͡zən
лӏэу	ɬʼaw
бжыхьэ	bʒəħa
ецӏэшъутэхын	jat͡sʼaʃʷtaxən
къэсэхын	qasaxən
гъолагъ	ʁʷaɮaːʁ
шъхьэатынгъэ	ʂħaʔaːtənʁa
мэцӏэшъутэн	mat͡sʼaʃʷtan
ӏэплъэкӏжъые	ʔapɬat͡ʃʐəja
ощы	waɕə
шӏуфэс	ʃʷʼəfas
бгъо	bʁʷa
бгыгъуан	bɣəʁʷaːn
мэстын	mastən
еукӏын	jawət͡ʃʼən
чӏэӏотыкӏьын	t͡ʂʼaʔʷatəkʲʼən
екӏуэщэн	jakʷʼaɕan
зэпэчӏэкӏын	zapat͡ʂʼat͡ʃʼən
ещэхын	jaɕaxən
абыкъу	aːbəqʷ
нэкӏушъхь	nakʷʼəʂħ
ожъубанэхьэмлыу	waʐʷbaːnaħamləw
бзыиплъ	bzəjəpɬ
жэхэтхъон	ʒaxatχʷan
зэтэуӏокӏэн	zatawʔʷat͡ʃʼan
еутэкӏын	jawtat͡ʃʼən
узыныгъэ	wəzənəʁa
тхэн	txan
лъэпщ	ɬapʃʷ
ӏэнэжъ	ʔanaʐ
укӏын	wət͡ʃʼən
нэгу	naɡʷ
хэкъутыхьан	xaqʷətəħaːn
бгынэн	bɣənan
бжъэдыгъу	bʐadəʁʷ
мэгубжын	maɡʷəbʒən
щае	ɕaːja
ны	nə
хэнэн	xanan
мэчэрэгъун	mat͡ʃaraʁʷən
тгъэргъаз	tʁarʁaːz
хыхьэ	xəħa
ахъщалъ	aːχɕaːɬ
гушӏон	ɡʷəʃʷʼan
даут	dawət
гьэнэпылъапӏ	ɡʲanapəɬaːpʼ
койыл	kʷajəl
динынчъэ	dənənt͡ʂʼa
хьэцэӏукь	ħat͡saʔʷəkʲ
шӏыкӏэ	ʃʼət͡ʃʼa
ӏэпшъэхъу	ʔapʂaχʷ
джэгъолӏ	d͡ʒaʁʷaɬʼ
ӏудан	ʔʷədaːn
мэгъэгъэн	maʁaʁan
хэпкӏьэн	xapkʲan
шъхьэубэтагъ	ʂħawbaːt
быраб	bəraːb
жъэрым	ʐarəm
архъуажъ	aːrχʷaːʐ
гъычгъэ	ʁət͡ʃʁa
кӏэй	t͡ʃʼaj
щао	ʃaːwa
егъашӏи	jaʁaːʃʼəj
гъын	ʁən
тхыпкъылъэ	txəpqəɬa
ышъхьагъ	əʂħaːʁ
унэгъуацӏэ	wənaʁʷat͡sʼa
пӏастэ	pʼaːsta
гъалэ	ʁaːɮa
къехьэхын	qajħaxən
бзыукӏьалъэ	bzəwkʲʼaːɬa
гъэмартын	ʁamaːrtən
къуапсӏэ	qʷaːpsʼa
псау	psaːwa
дэфэн	dafan
дэкон	dakʷan
псэн	psan
тецӏэлэн	tajt͡sʼaɮan
гъэшъхъэгъ	ʁaʂχəʁa
псыжъы	psəʐə
лъэгъуен	ɬaʁʷəjan
пщынэжь	pɕənaʑ
бжьыгъэ	bʑəʁa
уцолъын	wət͡ʃʷaɬən
бжыдзэ	bʒəd͡za
цугу	t͡sʷəɡʷ
къэлэсэрай	qalasaraːj
гукъэкӏьын	ɡʷəqakʲʼən
кӏэен	t͡ʃʼajan
пчэны	pt͡ʃanə
сын	sən
хыуалъэ	xəwaːɬa
шъун	ʃʷən
бгышъхь	bɣəʂħa
шъхьангъупчъэ	ʂħaːnʁʷəptʂa
жэхэкӏотэн	ʒaxakʷʼatan
цӏыун	t͡sʼəwən
къэсын	qasən
гъаф	ʁaːf
ашъо	aːʂʷa
пӏуаблэ	pʷʼaːbɮa
хысыдж	xəsəd͡ʒ
зыпэгъутхьажьын	zəpaʁʷatħaʑən
чэм	t͡ʃam
цэлъэкӏ	t͡saɬat͡ʃ
щэдж	ɕad͡ʒ
нахьышӏу	naːħəʃʷʼ
щыуаныжъ	ɕəwaːnəʐ
ӏолӏэн	ʔʷaɬʼan
хьаумэ	ħaːwma
бэслъыный	basɬənəj
щыгъэӏэн	ɕəʔan
хъэхалъэ	χaxaːɬa
щэфын	ɕafən
кӏэхьы	t͡ʃʼaħə
къыӏыхын	qəʔəxən
фэпсӏын	fapsʼən
гукъэкӏьыжьын	ɡʷəqakʲʼəʑən
блэгъэзыкӏын	bɮaʁazət͡ʃʼən
гъэрэзэн	ʁarazan
жашъу	ʒaːʂʷ
жэгъуб	ʒaʁʷəb
жъогъобын	ʐʷaʁʷabən
къихын	qəjxən
чӏэгъэкӏын	t͡ʂʼaʁat͡ʃʼən
кӏышъоӏот	t͡ʃʼəʃʷaʔʷat
тэджын	tad͡ʒən
кӏэсэн	t͡ʃʼasan
жъонакӏу	ʐʷanaːkʷ
пщынао	pɕənaːwa
шэнджэ	ʃand͡ʒa
гопкӏэн	ɡʷapt͡ʃʼan
чыян	t͡ʃəjaːan
блыгу	bləɡʷ
ушыгун	wəɕəɡʷən
шъоны	ʃʷanə
блэгьан	blaɡʲaːn
пыкӏэрэплъын	pət͡ʃʼarapɬən
кӏэджэн	t͡ʃʼad͡ʒan
къошъофы	qʷaʂʷafə
пчъэ	pt͡ʃa
ӏашкӏ	ʔaːʃt͡ʃʼ
гохьан	ɡʷaħaːn
ӏапшъ	ʔaːpʂ
еукӏорэикӏын	jawkʷʼarajət͡ʃʼən
пщылӏы	pɕəɬʼ
пэшӏэн	paʃʼan
бжъау	bʐaːw
псыбыб	psəbəb
тегъэзын	tajʁazən
шӏыжьын	ʃəʑən
дэубытэн	dawbətan
сакӏо	saːkʷʼa
нэмаздэкъ	namaːzdaq
хьэкӏутӏэ	ħakʷʼətʼa
мэшъухъугъон	maʃʷχʷəʁʷan
псэи	psajə
пэбзыджын	pabzəd͡ʒən
джэнджэш	d͡ʒand͡ʒaʃ
бгъакъэ	bʁaːqa
гъэушӏоин	ʁawʂʷajən
ӏахь	ʔaːħ
ипшын	jəpʃən
фэшӏын	faʃʼən
быслымэн	bəsləman
дзакӏо	d͡zaːkʷʼa
пшэсэн	pʃasan
шъофы	ʂʷafə
чъуакъо	t͡ʃʷaːqʷa
уасэ	waːsa
щылъэн	ɕəɬan
нэпчыхьэ	napt͡ʃəħa
пчыхьэзэхахь	pt͡ʃəħazaxaːħ
тхьэкӏэт	tħakʲʼat
пӏупкӏэ	pʷʼənt͡ʃʼa
енэкӏэон	janat͡ʃawan
зэфэчъэн	zafat͡ʂan
гущыӏэмпае	ɡʷəɕəʔampaːja
гъучӏы	ʁʷət͡ʃʼə
бэлахь	balaːħ
ӏэшъхьэ	ʔaʂħa
зэгъэлъагъэ	zaʁaɬaːʁa
бадзэ	baːd͡za
быты	bətə
хъыу	χəw
къэпсын	qapsən
гъэухьазырын	ħaːzərən
ӏофшӏэнынчъэ	ʔʷafʃʼanənt͡ʂa
ашӏэгъудж	aːʃʼaʁʷəd͡ʒ
кӏыин	mat͡ʃʼəjən
зэхэутын	zaxawtən
еубэн	jawban
кӏэгъэкӏын	t͡ʃʼaʁat͡ʃʼən
ушъорэкӏын	wəʃʷarat͡ʃʼən
хэкӏэн	xat͡ʃʼan
тхъурыжъ	tχʷərəʐ
шыгъо	ʃəʁʷa
гъэлъэхъу	ʁaɬaχʷ
шӏошъын	ʃʷaʂən
ашъоцуакъ	aːʂʷat͡ʃʷaːɡʷ
ланчъэ	laːnt͡ʃa
нысхъапэ	nəsχaːpa
зэшӏохын	zaʃʷʼaxən
жьыгъэкъабзэ	ʑəʁaqaːbza
хьамлашкӏу	ħaːmɮaːʃkʷʼ
хьаджын	ħaːd͡ʒən
ӏофшӏэн	ʔʷafʃʼan
фэгоӏэн	faɡʷaʔan
кӏурэжъый	kʷʼəraʐəj
нэгъургьэ	naʁʷərɡʲa
хъупӏэ	χʷəpʼa
ныбжьэгъу	nəbʑaʁʷ
жъырку	ʐərkʷ
чъыгышъхьэцыз	t͡ʂəɣəʂħat͡səz
мэшӏыкӏьэен	maʃʼəkʲʼajan
сымаджэ	səmaːd͡ʒa
пэкӏэракӏэу	pət͡ʃʼarapɬən
шэмбэт	ʃambat
бэшӏагъ	baʃʼaːʁ
хьэуарзэ	ħawaːrza
адэкӏо	aːdakʷʼa
мэкӏьыин	makʲʼəjən
кӏын	t͡ʃʼən
ецӏэтхъун	jat͡sʼatχʷən
нэкъыгъэ	naqəʁa
бэдзэнэшъу	bad͡zanaʂʷ
гъэпрэзэн	ʁaprazan
къэгъэкӏохьын	qaʁakʷʼaħən
жьыгъэбыб	ʑəʁabəb
жэхэлъэдэн	ʒaxaɬadan
тхыпкъэ	txəpqa
тэфэн	tafan
пцӏыус	pt͡sʼəwəs
ебгъэчэхын	jabʁat͡ʃaxən
пчэдыгъо	pt͡ʃadəʁʷa
цыпэ	t͡səpa
нацэӏуцэ	natsaʔʷtsa
зэфэшӏын	zafaʃʼən
джэрыуакӏо	d͡ʒarəwaːkʷʼa
пӏоны	pʷʼanə
хьаулый	ħaːwələj
ошъочап	waʃʷat͡ʃaːp
мэткӏун	matkʷʼən
джэщгъум	d͡ʒaɕʁʷəm
къашыкъгъуанэ	qaːʃəqʁʷaːna
псэлъыхъон	psaɬəχʷən
щыпэлъф	ɕəpaɬf
гущыӏал	ɡʷəɕəʔaːl
мэшӏуач	maʃʷʼaːt͡ʃ
ушъын	wəʂən
мэзчэтыу	mazt͡ʃatəw
гъэкощын	ʁakʷaɕən
лыпцэ	ləpt͡sa
бзэен	bzajan
шъо	ʃʷa
бжыхьэбадзэ	bʒəħabaːd͡za
жэмыӏан	ʒaməʔaːn
гъожьы	ʁʷaʑə
цэкъэн	t͡saqan
дэхьэзэ	daħaza
лъапсэ	ɬaːpsa
тегъэзэн	tajʁazən
чэщныкъо	t͡ʃaɕənəqʷa
къэгупшысын	qaɡʷəpʃəsən
ишӏыхьан	jəʃʼəħaːn
хьэӏуцӏ	ħaʔʷət͡sʼ
хъэпрашъо	χapraːʂʷa
гущыӏэгъал	ɡʷəɕəʔaʁaːɮ
джэгъун	d͡ʒaʁʷən
чӏыпӏалъэ	t͡ʂʼəpʼaːɬa
нухь	nəwħ
шъабэ	ʂaːba
мэшъутырэхьын	maʃʷtəraħən
пхъэуӏу	pχawʔʷə
быбхалъ	bəbxaːɬ
лӏы	ɬʼə
ебэджын	jabad͡ʒən
гъэтхъэн	ʁatχan
пкӏэ	pt͡ʃʼa
иӏэн	jəʔan
мэбзэин	mabzajən
мызуэ	məʒʷa
утхыпкӏын	wətxəpt͡ʃʼən
мэзыкъу	mazəqʷ
къыӏэпхъотэн	qəʔapχʷatan
ӏукӏэн	ʔʷət͡ʃan
егъэкӏун	jaʁakʷʼən
щыдэхьащхын	ɕədəħaɕxən
псыхъо	psəχʷa
лӏыкӏо	ɬʼəkʷʼa
кӏьэ	kʲʼa
гъозэн	ʁʷazan
пщынэн	pɕənan
кӏакӏо	t͡ʃaːkʷʼa
къорылъф	qʷarəɬf
джыбэ	d͡ʒəba
чъыгу	t͡ʃʼəɡʷə
штэ	ɕta
шъоблыр	ʃʷabɮər
жьыдзакӏо	ʑəd͡zaːkʷʼa
бэрауты	baraːwtə
жъыпӏэ	ʐəpʼa
пыжъы	pəʐə
былымыпс	bələməps
пэсын	pasən
ныбджэгъу	nəbd͡ʒaʁʷ
джау	d͡ʒaːw
кӏэшъун	t͡ʃʼaʃʷən
афы	aːfə
тыгъэгъэзэмаз	təʁaʁazamaːz
шэнычъэ	ʃant͡ʂa
шъхьакӏо	ʂħaːkʷʼa
къошъомэзэжъый	qʷaʂʷamazaʐəj
пэщ	paɕ
блегъэзыкӏын	blajʁazəkʲən
шӏоилъ	ʃʷʼajəɬ
сэнэхьат	sanaħaːt
щыгъэгъупщын	ɕəʁaʁʷəpʃən
гъэшъыхъыгъ	ʁaʂχəʁa
гъунэгъу	ʁʷənaʁʷ
пӏакӏэ	pʼaːt͡ʃa
ар	aːr
аӏууц	aːʔʷəwət͡s
зэщын	zaɕən
шъхьэгьашъу	ʂħaɡʲaːʃʷ
къугъо	qʷəʁʷa
сэмэгу	samaɡʷ
хыкум	xəkʷəm
ебз	jabz
къолэн	qʷalan
гъэгъун	ʁaʁʷən
быжъутэн	bəʐʷətan
убэтэн	wəbatan
гъэчанын	ʁat͡ʃaːnən
укӏьэпхъэн	wkʲʼapχan
тэшӏыкӏьын	taʃʼəkʲʼən
ӏонтагъ	ʔʷantaːʁ
пэгъокӏьын	paʁʷakʲən
джыхэхьэн	d͡ʒəxaħan
кьэпчъэӏу	kʲapt͡ʂaʔʷ
убытын	wbətən
занкӏэ	zaːnt͡ʃa
къэгъэущын	qaʁawɕən
шэшэн	ʃaʃan
къошъолӏы	qʷaʂʷaɬʼə
псыцу	psət͡sʷa
джынэузэщ	d͡ʒənawzaɕ
нахэ	naːxa
жэӏулэлыгъ	ʒaʔʷəlaləʁ
гъэцохъон	ʁat͡sʷaχʷan
бзыушыр	bzəwʃər
хьэубыт	ħawbət
деӏэн	dajʔan
жэкӏапэ	ʒatʃʼaːpa
чӏэгъэсӏэн	t͡ʃʼaʁasʼan
гъэмэхъэшэн	ʁamaχaʃan
бэлыджакӏэ	baləd͡ʒaːkʼa
шэн	ʃan
шъыпкъэмкӏэ	ʂəpqamt͡ʃʼa
цӏэлэн	t͡sʼalan
псычэтыхъу	psət͡ʃatəχʷ
бгъодэкӏын	bʁʷadat͡ʃʼən
фэен	fajan
ежьхэ	jaʑxa
джыдэдэм	d͡ʒədadam
шъорышӏын	ʃʷarəʃʼən
еӏолӏэн	jaʔʷaɬʼan
ыкъудыин	əqʷədəjən
жэхэхьан	ʒaxaħan
ощхы	waɕxə
егъэуагъ	jaʁawaːʁ
бэнэныгъ	bananəʁ
укӏытапхэ	wt͡ʃʼətaːpx
кӏыкӏьай	t͡ʃəkʲaːj
осылӏ	wasəɬʼ
зэкӏэхьэн	zat͡ʃʼaħan
пыдзэгъ	pəd͡zʁ
кӏотэн	kʷʼatan
зэпыгъэчъыхьан	zapəʁat͡ʂəħaːn
асэ	ʔaːsa
мыӏэрысэпсы	məʔarəsapsə
чэгый	t͡ʃaɣəj
арджан	aːrd͡ʒaːn
цы	t͡sə
анезе	anajzaj
суыз	fəz
щэгьагъо	ɕad͡ʒaːʁʷa
шъхьэтелъхьэ	ʂħatajɬħa
щыбырысыр	ɕəbərəsər
лы	ɮə
къалэ	qaːɮa
тэгъзакӏэ	taʁzaːkʲʼa
ӏэлджанэ	ʔald͡ʒaːana
къэхьын	qaħən
джакӏо	d͡ʒaːkʷʼa
хъуакӏо	χʷaːkʷʼa
шъхьэкӏьэ	ʂħakʲʼa
тхылъ	txəɬ
пыун	pəwən
тӏын	tʼən
къэгъэучъыӏын	qaʁawtʂəʔən
чӏэн	t͡ʃʼan
ешӏужьын	jaʃʷʼəʑən
гъэутӏэпӏын	ʁawtʼapʼən
кӏэрэон	t͡ʃʼarawan
ятэ	jaːta
нэкъокъон	naqʷaqʷan
ӏоталъ	ʔʷataːɬ
