بچووک	.bi.çûk
پەیڤین	.pey.vîn
دەربارەی	.der.ba.rey
گەنم	.ge.nim
ئینجیلیان	.ʔîn.cîl.yan
بەرەی	.be.rey
هۆنراوەگەلە	.hon.ra.we.ge.le
هەرتک	.her.tik
پێبدرێ	.pê.bi.di.rê
ئی	.ʔî
کەماڵیستەکان	.ke.ma.łîs.te.kan
ڕەزامەندی	.ře.za.men.dî
قەبارەی	.qe.ba.rey
قسەکردن	.qi.se.kir.din
تێڕوانینی	.tê.řwa.nî.nî
دوچاری	.du.ça.rî
سەرنجڕاکێش	.se.rinc.řa.kêş
لێکراون	.lê.ki.ra.win
ناساندنی	.na.san.di.nî
مەسەلەیە	.me.se.le.ye
هەڵوەشێنرا	.heł.we.şên.ra
زمانە	.zi.ma.ne
رووپەڕێک	.rû.pe.řêk
کوژران	.kuj.ran
بزاڤەکانیش	.bi.za.ve.ka.nîş
ماوەتەوە	.ma.we.te.we
موستەفا	.mus.te.fa
مەحموود	.meḧ.mûd
بردنەوەی	.bir.di.ne.wey
چیرۆکە	.çî.ro.ke
لەلایەن	.le.la.yen
ئەندامان	.ʔen.da.man
شارەزاوە	.şa.re.za.we
بازرگانییان	.ba.zir.ga.nî.yan
فەرهەنگێک	.fer.hen.gêk
دەستنووسانێک	.dest.nû.sa.nêk
وڵامەکانیان	.wi.ła.me.kan.yan
عێراقدا	.ƹê.raq.da
شکاو	.şi.kaw
چێرمک	.çê.rimk
باشترین	.baş.ti.rîn
گوتارەکانی	.gu.ta.re.ka.nî
برا	.bi.ra
مێژوویی	.mê.jû.yî
ڕاپەڕین	.řa.pe.řîn
کێشەکان	.kê.şe.kan
ڕژێم	.ři.jêm
ببەستێتەوە	.bi.bes.tê.te.we
ناڕەزایی	.na.ře.za.yî
دابنرێت	.da.bi.ni.rêt
رەشیدێ	.re.şî.dê
دیاربەکر	.dyar.be.kir
ئابووریی	.ʔa.bû.rîy
گروپێکی	.gi.ru.pê.kî
کۆتایی	.ko.ta.yî
یەکتیا	.yek.tya
چەقڵ	.çe.qił
توندوتیژیی	.tun.du.tî.jîy
کەین	.keyn
شیکەری	.şî.ke.rî
بریتانیای	.bi.rî.tan.yay
هیوا	.hî.wa
کێ	.kê
پشت	.pişt
حیزب	.ḧîzb
رخنەگیری	.rix.ne.gî.rî
رۆژنامەیەک	.roj.na.me.yek
بیروڕا	.bî.ru.řa
خراوەتە	.xi.ra.we.te
بۆنە	.bo.ne
کەناڵەکانی	.ke.na.łe.ka.nî
سەرکردایەتیی	.ser.kir.da.ye.tîy
کتێبێکیش	.ki.tê.bê.kîş
دەکرێتەوە	.de.ki.rê.te.we
لەئەنجامدا	.le.ʔen.cam.da
هاوسەرگیری	.haw.ser.gî.rî
ئیسلامیەکان	.ʔîs.lam.ye.kan
بیرکردنەوە	.bîr.kir.di.ne.we
دیاربەکرەوە	.dyar.be.ki.re.we
یاساکان	.ya.sa.kan
ماڵەوە	.ma.łe.we
بەرزتری	.berz.ti.rî
خێزانە	.xê.za.ne
چاودێرییەکان	.çaw.dê.rî.ye.kan
دەهێوراند	.de.hêw.rand
سویسرا	.swîs.ra
دووەمیش	.du.we.mîş
چاپدا	.çap.da
مەدیا	.med.ya
ئەدەب	.ʔe.deb
شارەکانی	.şa.re.ka.nî
ئەوکاتەی	.ʔew.ka.tey
گەنجێکی	.gen.cê.kî
فەلسەفی	.fel.se.fî
بەگ	.beg
دۆخێکی	.do.xê.kî
جببە	.cib.be
تاکو	.ta.ku
لەسەری	.le.se.rî
نێوبراوە	.nêw.bi.ra.we
گەورە	.gew.re
ئاماری	.ʔa.ma.rî
رێیپێنادرێ	.rêy.pê.na.di.rê
کۆبوونەوەگەلە	.ko.bû.ne.we.ge.le
مەولانا	.mew.la.na
قورسی	.qur.sî
بەتەنیا	.be.ten.ya
پەیوەندیەکانی	.pey.wend.ye.ka.nî
خوناڤ	.xu.nav
ڕێگە	.řê.ge
فرۆش	.fi.roş
پەنا	.pe.na
بڵاوکراونەتە	.bi.ław.ki.raw.ne.te
جیاوازەکانی	.cya.wa.ze.ka.nî
پێشوازی	.pêş.wa.zî
عیماد	.ƹî.mad
کاربەدەستێکی	.kar.be.des.tê.kî
میلیۆن	.mîl.yon
نووبهار	.nû.bi.har
گاز	.gaz
بەرامبەر	.be.ram.ber
داڕێژەرەکانی	.da.řê.je.re.ka.nî
ئاسایش	.ʔa.sa.yiş
گەورەکاندا	.gew.re.kan.da
بۆمان	.bo.man
لەدوای	.le.dway
شڵوێ	.şił.wê
جیاوازییان	.cya.wa.zî.yan
داخستنی	.da.xis.ti.nî
پیرۆزی	.pî.ro.zî
هاتبوون	.ha.ti.bûn
بەڕێوەبەریی	.be.řê.we.be.rîy
سەریان	.ser.yan
کراوەکانی	.ki.ra.we.ka.nî
فیدراسیۆنی	.fîd.ras.yo.nî
نەرم	.nerm
دەمیش	.de.mîş
کەمەوە	.ke.me.we
ڕێوشوێنی	.řêw.şwê.nî
توێژینەوەی	.twê.jî.ne.wey
داخوازەکەی	.da.xwa.ze.key
ژیانیش	.jya.nîş
پارچەی	.par.çey
دابنێت	.da.bi.nêt
سەردێڕی	.ser.dê.řî
ڕۆژە	.řo.je
ئەوەم	.ʔe.wem
بوارە	.bwa.re
خوێنی	.xwê.nî
بانە	.ba.ne
بیخوێننەوە	.bî.xwê.ni.ne.we
بکەمەوە	.bi.ke.me.we
ڕێگایەکمان	.řê.ga.yek.man
کردین	.kir.dîn
رۆژاوایی	.ro.ja.wa.yî
لێبکرێ	.lê.bi.ki.rê
پەرتووکەکانیشی	.per.tû.ke.ka.nî.şî
مادەی	.ma.dey
گرووپێکی	.gi.rû.pê.kî
نووسیویەتی	.nû.sîw.ye.tî
بەهاری	.be.ha.rî
دەستخۆشی	.dest.xo.şî
ئەمە	.ʔe.me
ناوخۆیییەکانی	.naw.xo.yî.ye.ka.nî
نرابوو	.ni.ra.bû
ئۆتۆمبێلی	.ʔo.tom.bê.lî
هێرشانە	.hê.ri.şa.ne
بەتەمای	.be.te.may
پێداچوونەوەکان	.pê.da.çû.ne.we.kan
بووە	.bu.we
باقی	.ba.qî
نرخە	.nir.xe
لەهەمان	.le.he.man
سەردانیان	.ser.dan.yan
چییە	.çî.ye
زانکۆی	.zan.koy
ورمێ	.wir.mê
هاتوچووی	.ha.tu.çûy
کایەی	.ka.yey
ئەوەیان	.ʔe.we.yan
کەماڵ	.ke.mał
ڕۆژئاوایی	.řoj.ʔa.wa.yî
راگەیەندراو	.ra.ge.yen.di.raw
هەڵسەنگاندن	.heł.sen.gan.din
تازەش	.ta.zeş
چیای	.çyay
حەوتەمین	.ḧew.te.mîn
هەڵدەکەوێ	.heł.de.ke.wê
نین	.nîn
دواییانەدا	.dway.ya.ne.da
کردنەوەکانی	.kir.di.ne.we.ka.nî
هەڵوەشاندنەوەی	.heł.we.şan.di.ne.wey
توانیویانە	.twa.nîw.ya.ne
چەڵەمەدا	.çe.łe.me.da
چیرۆکدا	.çî.rok.da
کۆیە	.ko.ye
دەنگە	.den.ge
مەرجەکانی	.mer.ce.ka.nî
زۆرتر	.zor.tir
پاشماوەی	.paş.ma.wey
کوردن	.kur.din
ناوەکانە	.na.we.ka.ne
دیا	.dya
دە	.de
ناخۆشییە	.na.xo.şî.ye
کتێبەکە	.ki.tê.be.ke
کرابووەوە	.ki.ra.bu.we.we
دەبیندرا	.de.bîn.di.ra
ناتوانرێت	.nat.wan.rêt
بیانی	.bya.nî
نازناوەوە	.naz.na.we.we
دەنگدانەکاندا	.den.gi.da.ne.kan.da
بەبێ	.be.bê
پێنووسان	.pê.nû.san
ڕێککەوتننامەی	.řêk.kew.tin.na.mey
بیەوێت	.bye.wêt
ڕۆڵەکانی	.řo.łe.ka.nî
لەبەرانبەر	.le.be.ran.ber
مەڵبەندەکانیان	.meł.ben.de.kan.yan
شوان	.şwan
ڕاو	.řaw
بارودۆخەدا	.ba.ru.do.xe.da
بیناسێنین	.bî.na.sê.nîn
بخوێننەوە	.bi.xwê.ni.ne.we
دیوانی	.dî.wa.nî
خۆمم	.xo.mim
موبارەک	.mu.ba.rek
ناتۆ	.na.to
دیت	.dît
بداتەوە	.bi.da.te.we
تەواوەوە	.te.wa.we.we
دڵسۆز	.dił.soz
کوشتنی	.kuş.ti.nî
کەوا	.ke.wa
هەمیشەیی	.he.mî.şe.yî
دووزمانە	.dû.zi.ma.ne
وەرگرت	.wer.girt
بڵاودەکردەوە	.bi.ław.de.kir.de.we
کوروس	.ku.rus
فارسی	.far.sî
جۆربەجۆر	.cor.be.cor
ئازاری	.ʔa.za.rî
سیدیی	.sî.dîy
داهاتووی	.da.ha.tûy
کرانەوەی	.ki.ra.ne.wey
لێکۆڵەرەکان	.lê.ko.łe.re.kan
شاعیر	.şa.ƹîr
دەشتوانن	.deş.twa.nin
بەرپرسان	.ber.pir.san
یاساکە	.ya.sa.ke
تایبەتە	.tay.be.te
کۆمەڵ	.ko.meł
بڵوێزی	.bił.wê.zî
باوە	.ba.we
دڵەڕاوکێی	.di.łe.řaw.kêy
هێرشیان	.hê.riş.yan
سەرژمێریی	.ser.ji.mê.rîy
کەسانێکی	.ke.sa.nê.kî
ئەوەندەی	.ʔe.wen.dey
نمایش	.ni.ma.yiş
خومەینی	.xu.mey.nî
سپی	.si.pî
مەرگ	.merg
سەوز	.sewz
دایکم	.day.kim
بدینێتەوە	.bi.dî.nê.te.we
دووبارە	.dû.ba.re
لوبنان	.lub.nan
سوڵتانی	.suł.ta.nî
فەرهەنگیی	.fer.hen.gîy
شێوەزاری	.şê.we.za.rî
ڕێکەوتنی	.řê.kew.ti.nî
مەکتەبی	.mek.te.bî
سەرەتای	.se.re.tay
زنجیرە	.zin.cî.re
حاڵێک	.ḧa.łêk
چاپخانەیەک	.çap.xa.ne.yek
نەهاتووە	.ne.ha.tu.we
رووپەڕی	.rû.pe.řî
شوێنەواری	.şwê.ne.wa.rî
بەستنەوەی	.bes.ti.ne.wey
دۆخە	.do.xe
یەزیدی	.ye.zî.dî
دەزانێ	.de.za.nê
خواست	.xwast
تەها	.te.ha
لەهەوڵی	.le.hew.łî
دەبم	.de.bim
خوێندنگەیان	.xwên.din.ge.yan
سامی	.sa.mî
مادام	.ma.dam
لێدوانی	.lêd.wa.nî
ئەفغانستان	.ʔef.ẍa.nis.tan
نووری	.nû.rî
شەوان	.şe.wan
کۆیلەپەروەرانەکانی	.koy.le.per.we.ra.ne.ka.nî
دادەشکێ	.da.deş.kê
زایەندێتی	.za.yen.dê.tî
کەسەی	.ke.sey
پیشەیەکی	.pî.şe.ye.kî
نازانم	.na.za.nim
داواکاریییەکە	.da.wa.ka.rîy.ye.ke
گرتووەتەوە	.gir.tu.we.te.we
دووهەمی	.dû.he.mî
وڵاتان	.wi.ła.tan
پێشکەوتنی	.pêş.kew.ti.nî
خوێندنی	.xwên.di.nî
کەمپی	.kem.pî
بکرێن	.bi.ki.rên
لەنێوبەری	.le.nêw.be.rî
ئاسمانیی	.ʔas.ma.nîy
رای	.ray
سۆسیالیست	.sos.ya.lîst
هاوبەشن	.haw.be.şin
ڕەش	.řeş
هەڵدا	.heł.da
نەدەن	.ne.den
سەرگری	.ser.gi.rî
کوردیبێژ	.kur.dî.bêj
قسەم	.qi.sem
بەرهەمێکی	.ber.he.mê.kî
کەسی	.ke.sî
داخرا	.da.xi.ra
سیناریۆی	.sî.nar.yoy
تاقە	.ta.qe
پەرەستاندنی	.pe.res.tan.di.nî
یارمەتیی	.yar.me.tîy
سەرداگیرا	.ser.da.gî.ra
نەک	.nek
ببرێتە	.bib.rê.te
تیشک	.tîşk
کورمانجی	.kur.man.cî
شێخ	.şêx
نوری	.nu.rî
خوێندکاران	.xwênd.ka.ran
پارەکەیان	.pa.re.ke.yan
فڕێ	.fi.řê
کەریمی	.ke.rî.mî
گرفت	.gi.rift
وەخوێننەوە	.we.xwê.ni.ne.we
کتێبی	.ki.tê.bî
کوردستانی	.kur.dis.ta.nî
باشور	.ba.şur
گەر	.ger
مردنی	.mir.di.nî
مردن	.mir.din
کوژراو	.kuj.raw
کۆبانی	.ko.ba.nî
رەزۆیێ	.re.zo.yê
گۆڤارەکەی	.go.va.re.key
پیشکەوتنی	.pîş.kew.ti.nî
جارێکیتر	.ca.rê.kî.tir
چەندەها	.çen.de.ha
سەیر	.seyr
دروستکراوە	.di.rust.ki.ra.we
واش	.waş
ئەندامی	.ʔen.da.mî
محەمەد	.mi.ḧe.med
ئەوڕۆکانێ	.ʔew.řo.ka.nê
ڕەخنە	.řex.ne
تۆ	.to
کۆمیتەی	.ko.mî.tey
خانوویەکی	.xa.nû.ye.kî
بەرین	.be.rîn
شەرمەزار	.şer.me.zar
لیژنەی	.lîj.ney
میسری	.mîs.rî
دەشەلێ	.de.şe.lê
بن	.bin
رژێمی	.ri.jê.mî
تێدەکۆشێ	.tê.de.ko.şê
ئەرەن	.ʔe.ren
کاتی	.ka.tî
کۆم	.kom
گرینگەکان	.gi.rîn.ge.kan
گاڵ	.gał
ئاماژەی	.ʔa.ma.jey
ڕەوشی	.řew.şî
کەسان	.ke.san
خوێندکار	.xwênd.kar
لەگۆڕاندایە	.le.go.řan.da.ye
لەبەرئەوەی	.le.ber.ʔe.wey
گۆشت	.goşt
سامان	.sa.man
حکوومەتی	.ḧi.kû.me.tî
نوێیەکەیان	.nwê.ye.ke.yan
پلانی	.pi.la.nî
ئامۆژگارییان	.ʔa.moj.ga.rî.yan
هەڵەیەکی	.he.łe.ye.kî
پەسەند	.pe.send
سووری	.sû.rî
چم	.çim
گونجاوترە	.gun.caw.ti.re
راستییەکەیان	.ras.tî.ye.ke.yan
بباتەوە	.bi.ba.te.we
ئەڵمانیا	.ʔeł.man.ya
کەمال	.ke.mal
بکەنەوە	.bi.ke.ne.we
یانەکە	.ya.ne.ke
بەو	.bew
هەستکردن	.hest.kir.din
ئاو	.ʔaw
ڕوسیا	.řus.ya
توێژینەوەکانی	.twê.jî.ne.we.ka.nî
بڵاو	.bi.ław
ڕادەیەک	.řa.de.yek
وڵامی	.wi.ła.mî
لەهەمبەر	.le.hem.ber
لانیکەم	.la.nî.kem
پڕبایەخترین	.piř.ba.yex.ti.rîn
نەدابوو	.ne.da.bû
مانگ	.mang
راگەیەندرا	.ra.ge.yen.di.ra
ئامادەی	.ʔa.ma.dey
نووسەرەکانیدا	.nû.se.re.ka.nî.da
داڕێژەرانی	.da.řê.je.ra.nî
مەبەستی	.me.bes.tî
شیاو	.şyaw
تاوتوێکردنی	.taw.twê.kir.di.nî
هەزاریش	.he.za.rîş
دۆخەدا	.do.xe.da
بێبڕوایییەش	.bê.biř.wa.yî.yeş
ئەرتشیدا	.ʔer.ti.şî.da
کۆمەڵە	.ko.me.łe
پێگرتن	.pê.gir.tin
حکومەتێکی	.ḧi.ku.me.tê.kî
هەڵگوێزراون	.heł.gwêz.ra.win
لەچاپنەدرا	.le.çap.ne.di.ra
چێژی	.çê.jî
لەچاپدرابێ	.le.çap.di.ra.bê
راستییەکان	.ras.tî.ye.kan
لەکۆی	.le.koy
ئەیاد	.ʔe.yad
هاووڵاتییەکی	.haw.wi.ła.tî.ye.kî
دواکەوت	.dwa.kewt
منداڵێکی	.min.da.łê.kî
بەدی	.be.dî
ناوچەکانە	.naw.çe.ka.ne
هەموو	.he.mû
کربوونەوە	.kir.bû.ne.we
داری	.da.rî
رێپێنەدراوییەکان	.rê.pê.ne.di.ra.wî.ye.kan
بێگومان	.bê.gu.man
بەڕێوەبەرایەتی	.be.řê.we.be.ra.ye.tî
پانتایی	.pan.ta.yî
ئەمنیەتی	[.ʔem.nye.tî]
هەڤاڵەکانیان	.he.va.łe.kan.yan
کۆمال	.ko.mal
مۆتکلی	.mot.ki.lî
بەلەکی	.be.le.kî
فۆتۆکۆپی	.fo.to.ko.pî
دەوروبەری	.dew.ru.be.rî
دەگیران	.de.gî.ran
نەتەوەخوازیی	.ne.te.we.xwa.zîy
پژاک	.pi.jak
ناکەین	.na.keyn
نەدەگیرا	.ne.de.gî.ra
جوانیان	.cwan.yan
ئەوقاف	.ʔew.qaf
ڕێژەیەکی	.řê.je.ye.kî
ڕە	.ře
ئیسلامییە	.ʔîs.la.mî.ye
وانەی	.wa.ney
هەلانە	.he.la.ne
کۆمپانیاکان	.kom.pan.ya.kan
بەکاری	.be.ka.rî
پەڕتووکنامەیەک	.peř.tûk.na.me.yek
ڕاگەیاندووە	.řa.ge.yan.du.we
زمانکوژییە	.zi.man.ku.jî.ye
بزاڤەکانی	.bi.za.ve.ka.nî
وشە	.wi.şe
کەلوپەلی	.ke.lu.pe.lî
کراوەتەوە	.ki.ra.we.te.we
لەچاپدەرانەن	.le.çap.de.ra.nen
پێکهاتنی	.pêk.ha.ti.nî
مەسەلەی	.me.se.ley
کۆنتڕۆڵی	.kon.ti.řo.łî
نێوخۆیییەکانەوە	.nêw.xo.yî.ye.ka.ne.we
وشەی	.wi.şey
دەردەبڕی	.der.deb.řî
رابگەیەندرێ	.ra.bi.ge.yen.di.rê
ناشتوانن	.naş.twa.nin
بایەخ	.ba.yex
ناوچەکاندا	.naw.çe.kan.da
هەردی	.her.dî
گرووپەکان	.gi.rû.pe.kan
ناوبژیوانی	.naw.bi.jî.wa.nî
هۆی	.hoy
چاوەڕێی	.ça.we.řêy
مۆسکۆ	.mos.ko
خوارێ	.xwa.rê
بۆیە	.bo.ye
دیاربەکرن	.dyar.be.ki.rin
چاکردنەوەی	.ça.kir.di.ne.wey
دەژی	.de.jî
ڕیاڵ	.řyał
ئامرازی	.ʔam.ra.zî
دواوە	.dwa.we
رێزمان	.rêz.man
دێموکراتیک	.dê.muk.ra.tîk
ئەدات	.ʔe.dat
لێپرسینەوەکەمدا	.lê.pir.sî.ne.we.kem.da
وتارەکەیدا	.wi.ta.re.key.da
من	.min
چاپخانەگەلێکیان	.çap.xa.ne.ge.lêk.yan
دروستکردنی	.di.rust.kir.di.nî
کاتێکی	.ka.tê.kî
دەرچووە	.der.çu.we
وێ	.wê
لەکۆڵی	.le.ko.łî
داوە	.da.we
کۆکراوەکان	.ko.ki.ra.we.kan
لەمپەر	.lem.per
ئامادەن	.ʔa.ma.den
هاووڵاتییە	.haw.wi.ła.tî.ye
فەرهاد	.fer.had
بیبیسە	.bî.bî.se
ژێرنووسی	.jêr.nû.sî
دێموکراسی	.dê.muk.ra.sî
کانی	.ka.nî
قەیران	.qey.ran
تێرمینۆلۆژی	.têr.mî.no.lo.jî
بۆچوونە	.bo.çû.ne
نابێت	.na.bêt
ستاندنیان	.si.tan.din.yan
لەمپەرانێکیان	.lem.pe.ra.nêk.yan
وەرناگیردرێ	.wer.na.gîr.di.rê
خووی	.xûy
جەنگەوە	.cen.ge.we
ململانێ	.mil.mi.la.nê
هەردوو	.her.dû
رۆژنامەوانی	.roj.na.me.wa.nî
بەڵکو	.beł.ku
هەندێکیش	.hen.dê.kîş
خەڵکانی	.xeł.ka.nî
ڕۆح	.řoḧ
ئەمڕۆ	.ʔem.řo
بەرهەم	.ber.hem
پاشان	.pa.şan
رێزلێنانی	.rêz.lê.na.nî
وەها	.we.ha
هەڵبژاردن	.heł.bi.jar.din
زیادەباج	.zya.de.bac
کامەران	.ka.me.ran
ڕێگری	.řê.gi.rî
هەندەرانێ	.hen.de.ra.nê
کوشتن	.kuş.tin
گۆڕانکاریگەلێکی	.go.řan.ka.rî.ge.lê.kî
بەکاردەهێنران	.be.kar.de.hên.ran
چالاکییەکانیان	.ça.la.kî.ye.kan.yan
بەکوردی	.be.kur.dî
سەعید	.se.ƹîd
کۆمەڵگادا	.ko.meł.ga.da
دێتەوە	.dê.te.we
شێوازە	.şê.wa.ze
شیعەکان	.şî.ƹe.kan
دەبێ	.de.bê
ڕۆژهەڵات	.řoj.he.łat
چەشنگەلێکی	.çe.şin.ge.lê.kî
کۆبوونەوە	.ko.bû.ne.we
کەنداو	.ken.daw
خاوێن	.xa.wên
بیست	.bîst
ناحیەی	.naḧ.yey
رێکخراوەیەک	.rêk.xi.ra.we.yek
پڕۆژە	.pi.řo.je
سەرهەڵدانی	.ser.heł.da.nî
نافرۆشن	.na.fi.ro.şin
کۆنگرە	.kon.gi.re
لیستە	.lîs.te
بدە	.bi.de
دروشمی	.di.ruş.mî
گۆڤارەکاندا	.go.va.re.kan.da
چالاکی	.ça.la.kî
کۆبوونەوەی	.ko.bû.ne.wey
یانی	.ya.nî
عەفرین	.ƹef.rîn
لکێنراوە	.li.kên.ra.we
دەفرۆشتنەوە	.def.roş.ti.ne.we
قەدەغەکردنی	.qe.de.ẍe.kir.di.nî
ئەحمەدی	.ʔeḧ.me.dî
پێنجەم	.pên.cem
بەرگرییان	.ber.gi.rî.yan
بنکەیەکی	.bin.ke.ye.kî
عەشق	.ƹeşq
نێوەیان	.nê.we.yan
کۆی	.koy
دەکەینەوە	.de.key.ne.we
دەکەی	.de.key
دروستکرد	.di.rust.kird
نارەزایەتی	.na.re.za.ye.tî
گەیاندە	.ge.yan.de
دووەمدا	.du.wem.da
شام	.şam
تابلۆی	.tab.loy
بنووسن	.bi.nû.sin
بەشداران	.beş.da.ran
ئازادکردنی	.ʔa.zad.kir.di.nî
دابینکردنی	.da.bîn.kir.di.nî
دەیانکوت	.de.yan.kut
بڵاویکردبوونەوە	.bi.ła.wî.kir.di.bû.ne.we
ڕووداوەکانی	.řû.da.we.ka.nî
سەرکۆماری	.ser.ko.ma.rî
وەربگرن	.wer.big.rin
تورکییە	.tur.kî.ye
مام	.mam
نەخۆشخانەی	.ne.xoş.xa.ney
دووپاتکردەوە	.dû.pat.kir.de.we
نەتەوەکان	.ne.te.we.kan
وڵام	.wi.łam
چەکدارانی	.çek.da.ra.nî
ئێمەش	.ʔê.meş
جێبەجێ	.cê.be.cê
نییە	.nî.ye
بوونەوە	.bû.ne.we
یەکێتێ	.ye.kê.tê
هەم	.hem
عەبدوڕەحمان	.ƹeb.du.řeḧ.man
ڕۆژنامەنووس	.řoj.na.me.nûs
نێوخۆیییەکان	.nêw.xo.yî.ye.kan
دیسانەوە	.dî.sa.ne.we
ئابوری	.ʔa.bu.rî
حدکا	.ḧid.ka
ڕکابەری	.ři.ka.be.rî
راپرسنامەکە	.ra.pirs.na.me.ke
جێبەجێنەکرانی	.cê.be.cê.ne.ki.ra.nî
بەدڵنیاییەوە	.bed.łi.nyay.ye.we
تابلۆ	.tab.lo
چەپی	.çe.pî
دێڕان	.dê.řan
وێنەکە	.wê.ne.ke
کوردوستانی	.kur.dus.ta.nî
دابین	.da.bîn
لێک	.lêk
تەک	.tek
بایوغلو	.ba.yuẍ.lu
خێرا	.xê.ra
سەیری	.sey.rî
باکوور	.ba.kûr
تێیاندا	.tê.yan.da
هاوڕێیەکان	.haw.řê.ye.kan
مامۆستایان	.ma.mos.ta.yan
وەبەرهێنان	.we.ber.hê.nan
کۆمارخوازەکانی	.ko.mar.xwa.ze.ka.nî
خوار	.xwar
یاریەکانی	.yar.ye.ka.nî
بەها	.be.ha
برد	.bird
فەرمانبەرە	.fer.man.be.re
شەقامەکان	.şe.qa.me.kan
سەرکردایەتی	.ser.kir.da.ye.tî
کتێبەش	.ki.tê.beş
واتای	.wa.tay
حەمکە	.ḧem.ke
وەرگێڕێک	.wer.gê.řêk
هاڕۆڵد	.ha.řołd
درێژخایەن	.di.rêj.xa.yen
ڤیدیۆ	.vî.dyo
ڕووداوانە	.řû.da.wa.ne
پرۆگرامی	.pi.rog.ra.mî
پێشێل	.pê.şêl
ناسنامەی	.nas.na.mey
بدرێ	.bid.rê
هۆرتەوبەرەیە	.hor.tew.be.re.ye
کوردەکانی	.kur.de.ka.nî
ئێمەوە	.ʔê.me.we
کوردانەیە	.kur.da.ne.ye
نەدەدرا	.ne.de.di.ra
دانیشتووە	.da.nîş.tu.we
دەوروبەر	.dew.ru.ber
ئافراندنی	.ʔaf.ran.di.nî
بەتەما	.be.te.ma
پشتسووریی	.pişt.sû.rîy
چاپخانەکەشیاندا	.çap.xa.ne.keş.yan.da
گەنجانی	.gen.ca.nî
رێکخراوەکانی	.rêk.xi.ra.we.ka.nî
عێراقییەکان	.ƹê.ra.qî.ye.kan
بەخشی	.bex.şî
نازناوانە	.naz.na.wa.ne
خانەوادەی	.xa.ne.wa.dey
ڕۆژەی	.řo.jey
شێوەیەکی	.şê.we.ye.kî
بڵاودەکاتەوە	.bi.ław.de.ka.te.we
کانوونی	.ka.nû.nî
هەڵسوکەوتی	.heł.su.kew.tî
شۆڕشی	.şo.ři.şî
ڕووت	.řût
تریان	.tir.yan
کەسایەتیی	.ke.sa.ye.tîy
کەسانە	.ke.sa.ne
کەسوکاری	.ke.su.ka.rî
ئەوروپای	.ʔew.ru.pay
بەشداریی	.beş.da.rîy
بڵاوکراوەتەوە	.bi.ław.ki.ra.we.te.we
ساڵێک	.sa.łêk
گوتنەوە	.gu.ti.ne.we
هەڵبژاردنەکانی	.heł.bi.jar.di.ne.ka.nî
سۆران	.so.ran
جەختی	.cex.tî
تەلەڤیزیۆنە	.te.le.vîz.yo.ne
پڕ	.piř
بابەتی	.ba.be.tî
دەفرۆشدرێن	.def.roş.di.rên
کەوایە	.ke.wa.ye
پێچەوانەوە	.pê.çe.wa.ne.we
داواکارییەی	.da.wa.ka.rî.yey
دەبەنگ	.de.beng
دەکڕی	.de.ki.řî
ئەورووپاش	.ʔew.rû.paş
بنەمای	.bi.ne.may
ئەگینا	.ʔe.gî.na
ئاوایییەکانیان	.ʔa.wa.yî.ye.kan.yan
ناز	.naz
گەنجان	.gen.can
پێشگری	.pêş.gi.rî
جاری	.ca.rî
مەناف	.me.naf
زۆرێک	.zo.rêk
بەرژەوەندی	.ber.je.wen.dî
لەرووی	.le.rûy
ناچار	.na.çar
بەشێوەی	.be.şê.wey
راستیی	.ras.tîy
چەوسانەوەی	.çew.sa.ne.wey
مانایەکی	.ma.na.ye.kî
فێری	.fê.rî
شارەزای	.şa.re.zay
گەبەروبێکار	.ge.be.ru.bê.kar
دەگرێتەوە	.de.gi.rê.te.we
خاوەنە	.xa.we.ne
بدۆزنەوە	.bi.do.zi.ne.we
رامانەوە	.ra.ma.ne.we
فی	.fî
راگەیاندنەکانی	.ra.ge.yan.di.ne.ka.nî
سنوورەکە	.si.nû.re.ke
ناکەن	.na.ken
پێکردنی	.pê.kir.di.nî
عەللاوی	.ƹel.la.wî
دەزگا	.dez.ga
ئاگادارینامەکەدا	.ʔa.ga.da.rî.na.me.ke.da
شاندێکی	.şan.dê.kî
لەسەرجەم	.le.ser.cem
کوردیییەکانیان	.kur.dîy.ye.kan.yan
وەسف	.we.sif
خەلک	.xelk
بەرلەوەی	.ber.le.wey
هاوبڕیارەکانیاندا	.haw.biř.ya.re.kan.yan.da
سەرژمێرییەکە	.ser.ji.mê.rî.ye.ke
دین	.dîn
فیکری	.fîk.rî
گرنگە	.gi.rin.ge
مێشکی	.mêş.kî
لۆژیکی	.lo.jî.kî
سوورییانە	.sû.rî.ya.ne
سەخت	.sext
دارێژراوە	.da.rêj.ra.we
پەرەسەندنی	.pe.re.sen.di.nî
ویژدانی	.wîj.da.nî
وایکردووە	.way.kir.du.we
پێشقوتابی	.pêş.qu.ta.bî
داسەپاند	.da.se.pand
ئانکارادا	.ʔan.ka.ra.da
گۆڵ	.goł
ئەوروپی	.ʔew.ru.pî
دراوسێ	.di.raw.sê
نەیدەتوانی	.ney.det.wa.nî,.ney.de.twa.nî
کرد	.kird
هان	.han
هەردووک	.her.dûk
گەرمیان	.germ.yan
رانەهاتوون	.ra.ne.ha.tûn
پێشکەفتن	.pêş.kef.tin
مەبەستە	.me.bes.te
هەرێمەوە	.he.rê.me.we
جەنابی	.ce.na.bî
بەچەند	.be.çend
داخەوە	.da.xe.we
زیادی	.zya.dî
