egypt	ɛɡipt
žerucha	ʒɛruxa
nič	ɲit͡ʃ
dagmara	daɡmara
kopa	kɔpa
urtikárie	urtikaːriɛ
ázijský	aːzijskiː
chorý	xɔriː
nádcha	naːtxa
klárka	kɫaːrka
palacinka	palatsiŋka
drahomíra	draɦɔmiːra
vädnúť	vædnuːc
oko	ɔkɔ
výťah	viːcax
lista	lista
zdravie	zdravi̯ɛ
vestibul	vɛstibuɫ
škótština	ʃkɔːtʃcina
nedeľa	ɲeɟelʲa
súťaž	suːcaʃ
astát	astaːt
vážka	vaːʃka
údolie	uːdɔʎi̯ɛ
pivá	pivaː
americký	amɛrit͡skiː
police	pɔlit͡sɛ
hovädo	ɦɔvɛdɔ
č	t͡ʃ
artritída	artritiːda
galaxiou	ɡalaksiou̯
posteľ	pɔscɛʎ
predložka	prɛdɫɔʃka
žurnál	ʒurnaːɫ
protirečiť	prɔcirɛt͡ʃic
svahilčina	svaɦiɫt͡ʃina
gdynia	ɡdiɲa
katapultom	katapuɫtɔm
kamil	kamiɫ
arabčina	arapt͡ʃina
bobona	bɔbɔna
nádherný	naːdɦɛrniː
smrti	smr̩ci
hloh	ɦɫɔx
stromoch	strɔmɔx
landgróf	ɫandɡrɔːf
dánka	daːŋka
sýkorka	siːkɔrka
izabela	izabɛɫa
jednému	jedneːmu
hruď	ɦruc
bratislavu	bracisɫavu
labutí	ɫabuciː
kadmium	kadmium
lakeť	ɫakɛc
tridsať	trit͡sac
lyža	liʒa
nosiť	nɔsic
dĺžka	dɫ̩ːʃka
dedko	ɟɛtkɔ
islande	isɫanɟɛ
vodiť	vɔɟic
záhrada	zaːɦrada
knižôčka	kɲiʒu̯ɔt͡ʃka
pretože	prɛtɔʒɛ
finále	finaːlɛ
níreďháza	ɲiːrɛɟɦaːza
žuvačka	ʒuvat͡ʃka
hlaholika	ɦɫaɦɔlit͡sa
os	ɔs
potravina	pɔtravina
prísudok	priːsudɔk
stupidita	stupɪdɪta
slovenskí	sɫɔvɛnskiː
lekorica	lɛkɔrit͡sa
ľadoborec	ʎadɔbɔrɛt͡s
kipa	kipa
oldrich	ɔɫdrix
vedec	vɛɟɛt͡s
šachovnica	ʃaxɔu̯ɲit͡sa
ovca	ɔu̯t͡sa
motorka	mɔtɔrka
tadžik	tad͡ʒik
báseň	baːsɛɲ
baktéria	baktɛːria
danka	daŋka
bozk	bɔsk
iný	iniː
jednako	jeːdnako
najvyšší	najviʃʃiː
október	ɔktɔːbɛr
slovan	sɫɔvan
ulice	uʎit͡se
hniezdo	ɦɲi̯ɛzdɔ
pilier	pili̯ɛr
chameleón	xamɛlɛɔːn
meny	mɛni
blažej	bɫaʒɛj
doktoroch	dɔktɔrɔx
švédčina	ʃvɛːtt͡ʃina
minsk	minsk
smiech	smi̯ɛx
dav	daw
dobré	dɔbrɛː
chrabrý	xrabriː
pomaranč	pɔmarant͡ʃ
hodžová	hɔd͡ʒɔvaː
slnečný	sɫ̩ɲɛt͡ʃniː
heda	ɦɛda
vypínať	vipiːnac
ema	ɛma
meranie	mɛraɲi̯ɛ
utešený	ucɛʃɛniː
papraď	paprac
odborníčka	ɔdbɔrɲiːt͡ʃka
kameň	kamɛɲ
richard	rixart
listu	listu
živočích	ʒivɔt͡ʃiːx
aktínium	aktiːnium
olive	ɔlivɛ
melánia	mɛɫaːnia
mesiačik	mɛsi̯at͡ʃik
šofér	ʃɔfɛːr
cestovina	t͡sɛstɔvina
cyril	t͡siriɫ
smäd	smæt
dážďovka	daːʒɟɔu̯ka
jačmeň	jat͡ʃmɛɲ
krava	krava
áno	aːnɔ
dcérka	t͡sɛːrka
slovensky	sɫɔvɛnski
almanach	almanax
spálňa	spaːɫɲa
mäkký	mækiː
lož	lɔʃ
kde	ɡɟɛ
tibetčina	tibɛtt͡ʃina
plávať	pɫaːvac
slivovica	slɪvovɪtsa
ringlota	riŋɡɫɔta
mier	mi̯ɛr
hassium	ɦasium
vädnúť	vɛdnuːc
cesnak	t͡sɛsnak
krajinu	krajinu
med	mɛt
premiéra	prɛmiɛːra
rené	rɛnɛː
žĺtkový	ʒɫ̩ːtkɔviː
zoja	zɔja
ľahký	ʎaxkiː
mater	macɛr
bara	bara
múch	muːx
súlož	suːɫɔʃ
lea	lɛa
istý	istiː
mních	mɲiːx
viezť	vi̯ɛsc
jazdec	jazɟɛt͡s
lietať	li̯ɛtac
prazeodým	prazɛɔdiːm
dom	dɔm
čiapka	t͡ʃi̯apka
brány	braːni
smrekovec	smrɛkɔvɛt͡s
sekunda	sɛkunda
vidieť	viɟi̯ɛc
kilo	kiɫɔ
suka	suka
oblasť	ɔbɫasc
naďalej	naɟalɛj
ponuka	pɔnuka
láva	ɫaːva
paládium	paɫaːdium
jazykovedec	jazikɔvɛɟɛt͡s
lesbický	lɛzbit͡skiː
galaxiách	ɡalaksiaːx
pazucha	pazuxa
chlór	xɫɔːr
číňanka	t͡ʃiːɲaŋka
ľad	ʎat
väčší	vɛt͡ʃʃi
kňaz	kɲas
alánd	aɫaːnt
kľuka	kʎuka
karina	karina
lift	lift
srbský	sr̩pskiː
jabĺčok	jabɫ̩ːt͡ʃok
uliciach	uɫit͡si̯ax
sviečkami	svi̯ɛt͡ʃkami
cestár	t͡sɛstaːr
cisárstvo	t͡sisaːrstvɔ
kmeňmi	kmɛɲmi
žurnalista	ʒurnalista
valaška	vaɫaʃka
užívateľ	uʒiːvacɛʎ
právd	praːvd
cudová	t͡sudɔvaː
švédka	ʃʋeːtka
lužica	ɫuʒit͡sa
wikipédia	vikipɛːdia
cézium	tseːzium
krídlo	kriːdɫɔ
győr	ɟøːr
molybdén	mɔlibdɛːn
kukulienka	kukuli̯ɛŋka
andrej	andrɛj
pomalý	pɔmaliː
ročný	rɔt͡ʃniː
ubehlík	ubɦɛliːk
menej	meɲej
gýč	ɡiːt͡ʃ
hafnium	ɦafnium
šiesty	ʃi̯ɛsti
rak	rak
ozeáš	ɔzɛaːʃ
jantárový	jantaːrɔviː
koreňa	kɔrɛɲa
svoj	svɔj
rím	riːm
testosterón	tɛstɔstɛrɔːn
zväz	zʋæs
bielizník	bi̯ɛlizɲiːk
ä	e
starký	starkiː
chromozóm	xrɔmɔzɔːm
svetový	svɛtɔviː
ľubor	ʎubɔr
pomoc	pɔmɔt͡s
vitamín	vitamiːn
rusko	ruskɔ
turizmus	turizmus
fínčina	fiːnt͡ʃina
rodina	rɔɟina
hovädina	ɦɔvæɟina
detí	ɟɛciː
pšenica	pʃɛɲit͡sa
rímsky	riːmski
najlepší	najlɛpʃiː
dve	dvɛ
svokor	svɔkɔr
matkin	matkin
múr	muːr
temnota	cɛmnɔta
ich	ix
vlčica	vɫ̩t͡ʃit͡sa
hrýzť	ɦriːsc
dĺžeň	dɫ̩ːʒɛɲ
žlna	ʒɫ̩na
strachmi	straxmi
pavol	pavɔɫ
vratko	vratkɔ
zubár	zubaːr
vladimíra	vɫaɟimiːra
vojačik	vɔjat͡ʃik
afriku	afriku
obtiažny	ɔbci̯aʒni
prokop	prɔkɔp
triezvy	tri̯ɛzvi
jazvec	jazvɛt͡s
urgentný	urɡɛntniː
jedový	jɛdɔviː
island	islant
ľubica	ʎubit͡sa
dobrých	dɔbriːx
lídra	liːdra
kopernikium	kɔpɛrnikium
kupovať	kupɔvac
sviečkou	svi̯ɛt͡ʃkɔu̯
hrach	ɦrax
kmeňu	kmɛɲu
víno	viːnɔ
helga	ɦɛɫɡa
ľudomil	ʎudɔmiɫ
medvedica	mɛdvɛɟit͡sa
alojz	aɫɔjs
dávid	daːvit
cibuľa	t͡sibuʎa
siedmy	si̯ɛdmi
krhla	kr̩ɦla
pančucha	pant͡ʃuxa
výskum	viːskum
pätica	pɛcit͡sa
čechy	t͡ʃɛxi
mineralógia	minɛraɫɔːɡia
ligotať	liɡɔtac
sveťo	svɛcɔ
lietadlo	li̯ɛtadɫɔ
pohlavie	pɔɦɫavi̯ɛ
čiaročka	t͡ʃi̯arɔt͡ʃka
hnedý	ɦɲɛdiː
rajčina	rajt͡ʃina
drahokam	draɦɔkam
esbjerg	ɛzbjɛr
zmrzlina	zmr̩zʎina
alica	alit͡sa
čerešňa	t͡ʃɛrɛʃɲa
šakal	ʃakaɫ
mária	maːria
mäta	mɛta
ovocie	ɔvɔt͡si̯ɛ
blahoslav	bɫaɦɔsɫau̯
bohatý	bɔɦatiː
vyhodnotiť	viɦɔdnɔcic
tálium	taːlium
gaskonsko	ɡaskɔnskɔ
fajka	fajka
mak	mak
vďačný	vɟat͡ʃniː
kapitalistický	kapitalisciskiː
mäsiar	mɛsi̯ar
dŕžavní	dr̩ːʒavniː
strachoch	straxox
pomôcť	pɔmu̯ɔt͡sc
dedinôčka	ɟɛɟinu̯ɔt͡ʃka
stretnúť	strɛtnuːc
feudalizmus	fɛu̯dalizmus
černoch	t͡ʃɛrnɔx
győrsky	ɟeːrski
sirôtka	siru̯ɔtka
hrivna	ɦrivna
gazdiná	ɡazɟinaː
lívia	liːvia
sebe	sɛbɛ
karpaty	karpati
päta	pɛta
agáta	aɡaːta
vdovám	vdɔvaːm
pestrý	pɛstriː
ani	aɲi
uhlík	uɦʎiːk
dostať	dɔstac
handra	ɦandra
klobása	kɫɔbaːsa
ôsmy	u̯osmi
väčšina	vɛt͡ʃʃina
kotol	kɔtɔɫ
protaktínium	prɔtaktiːnium
ródium	rɔːdium
dolinôčka	dɔlinu̯ɔt͡ʃka
berkélium	bɛrkɛːlium
lienka	li̯ɛŋka
faerčina	faɛrt͡ʃina
jarolím	jarɔliːm
návrh	naːvr̩x
filozofia	filɔzɔfia
xénia	kseːnia
sluch	sɫux
pipík	pipiːk
kmeni	kmɛɲi
ångström	ankstrem
bianka	bi̯aŋka
merkúr	mɛrkuːr
slovenka	sɫɔvɛŋka
krásne	kraːsnɛ
segment	seɡment
domov	dɔmɔu̯
smäd	smɛt
hranica	ɦraɲit͡sa
ukrajinský	ukrajinskiː
aktivovať	aktivovac
sôvä	su̯ɔvæ
rudo	rudɔ
smotana	smɔtana
umrieť	umri̯ɛc
otecko	ɔcɛt͡skɔ
ostrov	ostrou̯
ujček	ujt͡ʃɛk
prepáčiť	prɛpaːt͡ʃic
mašina	maʃina
škatuľa	ʃkatuʎa
panpsychizmus	panpsixizmus
noviny	nɔvini
američan	amɛrit͡ʃan
ručička	rut͡ʃit͡ʃka
žíla	ʒiːɫa
denník	ɟɛnɲiːk
faerčanka	faɛrt͡ʃaŋka
bystrý	bistriː
pravoslav	pravɔsɫau̯
chodiť	xɔɟic
snežiť	sɲɛʒic
blanka	bɫaŋka
krvavnica	kr̩vau̯ɲit͡sa
rodinný	rɔɟinniː
víťazstvo	viːcasstvɔ
fám	faːm
menu	mɛnu
fén	fɛːn
ráz	raːs
jaroslav	jarɔsɫau̯
žinčica	ʒint͡ʃit͡sa
slovníkmi	sɫoʋɲiːkmi
ceruzka	t͡sɛruska
titán	titaːn
anglicko	aŋɡlit͡skɔ
chí	xiː
kovu	kɔvu
dobrí	dɔbriː
tretí	trɛciː
srdcom	sr̩t͡sɔm
štefan	ʃcɛfan
vdovách	vdɔvaːx
odpoludnie	ɔtpɔɫudɲi̯ɛ
aurélia	au̯rɛːlia
margaréta	marɡare̞ːta
príroda	priːrɔda
keňa	kɛɲa
mapa	mapa
čujný	t͡ʃujniː
silvia	siɫvia
ihrisko	iɦriskɔ
chrbát	xr̩baːt
jüan	jyan
fruštik	fruʃtik
ženami	ʒɛnami
hrdinov	ɦr̩ɟinɔu̯
fermium	fɛrmium
svätý	svetiː
sovietsky	sɔvi̯ɛtski
zázrak	zaːzrak
korytnačka	kɔritnat͡ʃka
kat	kat
somarina	sɔmarina
so	sɔ
cyprián	t͡sipriaːn
knieža	kɲi̯ɛʒa
ingrida	iŋɡrida
štiny	ʃcini
ľudmila	ʎudmiɫa
riti	rici
spojka	spɔjka
henten	ɦɛntɛn
škrečok	ʃkrɛt͡ʃɔk
rozum	rɔzum
jazier	jazi̯er
chrumkavý	xrumkaviː
koľaj	kɔʎaj
československo	t͡ʃɛskɔsɫɔvɛnskɔ
hortenzia	ɦɔrtɛnzia
číselný	t͡ʃiːsɛɫniː
zima	zima
ukrajina	ukrajina
myšlienka	miʃli̯ɛŋka
kukučka	kukut͡ʃka
jaseň	jasɛɲ
platina	pɫatina
pažerák	paʒɛraːk
vdovu	vdɔvu
tadžikistan	tad͡ʒikistan
kurence	kurɛnt͡sɛ
francúzština	frant͡suːsʃcina
jahňa	jaɦɲa
zelenina	zɛlɛɲina
sestra	sɛstra
króna	kroːna
segedín	sɛɡɛdiːn
vlha	ʋɫ̩ɦa
oblička	ɔblit͡ʃka
pešiak	pɛʃi̯ak
mäte	mɛcɛ
bryndza	brind͡za
bežať	bɛʒac
jebať	jɛbac
ja	ja
iskra	iskra
veko	vɛkɔ
jadro	jadrɔ
machiavelizmus	makiavɛlizmus
vlásočnica	vɫaːsɔt͡ʃɲit͡sa
gabriel	ɡabriɛɫ
olivám	ɔlivaːm
bárium	baːrium
obed	ɔbɛt
ivica	ivit͡sa
rasťo	rascɔ
hrdinovi	ɦr̩ɟinɔvi
srvátka	sr̩vaːtka
tepať	cɛpac
prinútiť	prinuːcic
rušeň	ruʃɛɲ
pravdu	pravdu
pane	paɲɛ
poľnohospodárstvo	pɔʎnɔɦɔspɔdaːrstvɔ
škótsko	ʃkɔːtskɔ
leu	lɛu̯
mzda	mzda
žubrienka	ʒubri̯ɛŋka
psychológia	psixɔɫɔːɡia
priateľ	pri̯acɛʎ
princezná	print͡sɛznaː
zemepis	zɛmɛpis
jed	jɛt
peržan	pɛrʒan
malina	malina
dominik	dɔminik
autostráda	au̯tɔstraːda
kôš	ku̯oʃ
tri	tri
sýrsky	siːrski
skrutkovač	skrutkɔvat͡ʃ
bruchomluvec	bruxɔmluvɛt͡s
baník	baɲiːk
dosiaľ	dɔsi̯aʎ
streda	streda
zemi	zemi
simona	simɔna
súrne	suːrɲɛ
dobre	dɔbrɛ
hod	ɦɔt
luxembursko	ɫuksɛmburskɔ
štopeľ	ʃtɔpɛʎ
chrípka	xriːpka
miroslav	mirɔsɫau̯
egypťan	ɛɡipcan
polabčina	pɔɫapt͡ʃina
katapultu	katapuɫtu
materský	macɛrskiː
žriebäcí	ʒri̯ɛbæt͡siː
reštaurácia	rɛʃtau̯raːt͡sia
hrdinami	ɦr̩ɟinami
matematika	matɛmatika
domorodec	dɔmɔrɔɟɛt͡s
akýkoľvek	akiːkɔʎvɛk
miest	mi̯est
bisexualita	bisɛksualita
informovať	infɔrmɔvac
lutécium	ɫutɛːt͡sium
jelša	jɛɫʃa
dobromil	dɔbrɔmiɫ
psica	psit͡sa
uliciach	uʎit͡si̯ax
nacionalistický	nat͡siɔnalistit͡skiː
tamara	tamara
dcérenka	t͡sɛːrɛŋka
kniha	kɲiɦa
dorota	dɔrɔta
yeti	jeti
riziko	rizikɔ
pedagogika	pɛdaɡɔɡika
napríklad	napriːkɫat
teodor	tɛɔdɔr
kyjev	kijɛu̯
hodina	ɦɔɟina
oblok	ɔbɫɔk
sex	sɛks
daň	daɲ
sviečku	svi̯ɛt͡ʃku
machuľa	maxuʎa
vdove	vdɔvɛ
visla	visɫa
iskrička	iskrit͡ʃka
kuna	kuna
zlato	zɫatɔ
kača	kat͡ʃa
platiť	pɫacic
najmä	najmɛ
zlodej	zɫɔɟɛj
piesok	pi̯ɛsɔk
noe	nɔɛ
gašpar	ɡaʃpar
afrika	afrika
jesenný	jɛsɛnniː
človek	t͡ʃɫɔvɛk
viedenský	vi̯ɛɟɛnskiː
zažať	zaʒac
runa	runa
biológia	biɔɫɔːɡia
guľa	ɡuʎa
zachmúrený	zaxmuːrɛniː
listom	listɔm
myší	miʃiː
nemý	ɲɛmiː
vápnik	ʋaːpɲik
juraj	juraj
verejný	vɛrɛjniː
obdĺžnik	ɔbdɫ̩ːʒɲik
dýchať	diːxac
tesť	cɛsc
drevo	drɛvɔ
čech	t͡ʃɛx
dani	daɲi
skald	skaɫt
ľadnička	ʎadɲit͡ʃka
chodidlo	xɔɟidɫɔ
svastika	svastika
módny	mɔːdni
atrament	atramɛnt
dub	dup
pat	pat
kraji	kraji
celiakia	t͡sɛliakia
ligurček	liɡurt͡ʃɛk
zľava	zʎava
autu	au̯tu
archeológia	arxɛɔɫɔːɡia
dobrou	dɔbrɔu̯
povaha	pɔvaɦa
maslo	masɫɔ
albánčina	aɫbaːnt͡ʃina
kaviarnička	kavi̯arɲit͡ʃka
marek	marɛk
apríl	apriːɫ
predsa	prɛtsa
mŕtvy	mr̩ːtvɪ
juh	jux
koleno	kɔlɛnɔ
autách	au̯taːx
alkoholický	alkɔhɔlit͡skiː
anjel	aɲi̯ɛɫ
celebrita	t͡sɛlɛbrita
sestrin	sɛstrin
letný	lɛtniː
straka	straka
seaborgium	siːbɔrɡium
vôľa	vu̯ɔʎa
kristo	kristɔ
peťo	pɛcɔ
gadolínium	ɡadɔliːnium
chleba	xlɛba
čučoriedka	t͡ʃut͡ʃɔri̯ɛtka
zbožie	zbɔʒi̯ɛ
baníctvo	baɲiːt͡svɔ
harmanček	ɦarmant͡ʃɛk
parochňa	parɔxɲa
grék	ɡrɛːk
dvaja	dvaja
praha	praɦa
paríž	pariːʃ
samovražda	samɔvraʒda
jarmulka	jarmuɫka
eugénia	ɛu̯ɡɛːnia
ryšavec	riʃavɛt͡s
janko	jaŋkɔ
dedo	ɟɛdɔ
chuligán	xuliɡaːn
pštrosí	pʃtrɔsiː
gauč	ɡau̯t͡ʃ
katarína	katariːna
zo	zɔ
nitra	ɲitra
islam	isɫam
milena	milɛna
ona	ɔna
kosť	kɔsc
lukáš	ɫukaːʃ
joga	jɔɡa
priehlavok	pri̯ɛɦɫavɔk
kaleráb	kaleraːp
vrátiť	vraːcic
duša	duʃa
zabudnúť	zabudnuːc
íver	iːvɛr
sobota	sɔbɔta
lotyšsko	ɫɔtiʃskɔ
zunovaný	zunɔvaniː
cestovateľ	t͡sɛstɔvacɛʎ
daniela	daɲiela
holubí	ɦɔɫubiː
možnosť	mɔʒnɔsc
ostrihom	ɔstriɦɔm
mladá	mɫadaː
derviš	dɛrviʃ
jednom	jednom
hentam	ɦɛntam
bystrík	bistriːk
florida	florida
počasie	pɔt͡ʃasi̯ɛ
dube	dubɛ
milovať	miɫɔvac
roland	rɔɫant
tekvica	cɛkvit͡sa
liva	liva
nôž	nu̯oʃ
pozdĺž	pɔzdɫ̩ːʃ
činnosť	t͡ʃinnɔsc
chémia	xɛːmia
elektromagnetický	ɛlɛktrɔmaɡnɛtit͡skiː
nezábudka	ɲɛzaːbutka
doteraz	dɔtɛras
on	ɔn
rumunsko	rumunskɔ
opát	ɔpaːt
škót	ʃkɔːt
breh	brɛx
preč	prɛt͡ʃ
auta	au̯ta
železo	ʒeɫezɔ
kvark	kvark
alexander	alɛksandɛr
tichomír	cixɔmiːr
zvyšný	zviʃniː
hrozný	ɦrɔzniː
nerozumiem	ɲɛrɔzumi̯ɛm
ženy	ʒeni
duše	duʃɛ
šopron	ʃɔprɔn
auto	au̯tɔ
záhreb	zaːɦrɛp
panna	panna
číňan	t͡ʃiːɲan
estónsko	ɛstɔːnskɔ
fedor	fɛdɔr
chlapovi	xɫapɔvi
sliepočka	sli̯ɛpɔt͡ʃka
margarétka	marɡareːtka
narodeniny	narɔɟɛɲini
győrsky	ɟøːrski
koniec	kɔɲi̯ɛt͡s
alžbeta	aɫʒbɛta
dlhý	dl̩ɦiː
dymov	dimɔu̯
fínsky	fiːnski
krásne	kraːsɲɛ
akuzatív	akuzatiːu̯
očko	ɔt͡ʃkɔ
schéma	sxɛːma
schopnosť	sxɔpnɔsc
portugalčina	pɔrtuɡaɫt͡ʃina
baba	baba
potrebný	pɔtrɛbniː
jarmila	jarmiɫa
krakov	krakou̯
listami	listami
gazdinka	ɡazɟiŋka
návrhy	naːvr̩ɦi
klamár	kɫamaːr
krone	krɔnɛ
pštros	pʃtrɔs
osa	ɔsa
iránsky	iraːnski
patrícia	patriːt͡sia
vieroslava	vi̯ɛrɔsɫava
márnica	maːrɲit͡sa
zvuk	zvuk
dedinčan	ɟɛɟɪntʃan
svet	svɛt
samoa	samɔa
krajinou	krajinou̯
tupý	tupiː
čln	t͡ʃɫ̩n
em	ɛm
črta	t͡ʃr̩ta
alexej	alɛksɛj
kašľať	kaʃlac
obťažný	ɔpcaʒniː
valašsko	vaɫaʃskɔ
toho	tɔɦɔ
deti	ɟɛci
kráčať	kraːt͡ʃac
brucho	bruxɔ
jen	jɛn
dominika	dɔminika
tlačovka	tɫat͡ʃɔu̯ka
röntgen	rɛntɡɛn
hrdzavý	ɦr̩d͡zaviː
miesto	mi̯ɛstɔ
netopier	ɲɛtɔpi̯ɛr
päsť	pɛsc
čssr	t͡ʃɛːɛsɛsɛr
francium	frant͡sium
nepriateľ	ɲɛpri̯acɛʎ
uško	uʃkɔ
chlapa	xɫapa
hoci	ɦɔt͡si
ryšiak	riʃi̯ak
regína	rɛɡiːna
tenký	cɛŋkiː
farbu	farbu
žurnalistika	ʒurnalistika
zemetrasenie	zɛmɛtrasɛɲi̯ɛ
rozmaznaný	rɔzmaznaniː
katovice	katovit͡se
káhira	kaːɦira
valentína	valɛntiːna
júlia	juːlia
kým	kiːm
mikrobus	mikrɔbus
rezance	rɛzant͡sɛ
kíl	kiːɫ
pravde	prau̯ɟɛ
móric	mɔːrit͡s
servác	sɛrvaːt͡s
lamí	ɫamiː
ferdinand	fɛrdinand
počúvať	pɔt͡ʃuːvac
antimón	antimɔːn
chlapoch	xɫapɔx
lama	ɫama
alkoholik	aɫkɔɦɔlik
klobúčik	kɫɔbuːt͡ʃik
upratať	upratac
božena	bɔʒɛna
koloman	kɔɫɔman
plat	pɫat
prajazyk	prajazik
deista	dɛista
kašeľ	kaʃɛʎ
nováčik	nɔvaːt͡ʃik
hedviga	ɦɛdviɡa
ivana	ivana
svätý	svætiː
fjord	fjɔrd
súper	suːpɛr
pálenka	paːlɛŋka
cicavec	t͡sit͡savɛt͡s
egyptský	ɛɡiptskiː
sloveso	sɫɔvɛsɔ
dievčinka	ɟi̯ɛu̯t͡ʃiŋka
malajec	maɫajɛt͡s
ponorka	pɔnɔrka
červený	t͡ʃɛrvɛniː
murár	muraːr
skrutka	skrutka
sudety	sudɛti
básnik	baːsɲik
pes	pɛs
jrd	jɛːɛrdɛː
belgicko	bɛɫɡit͡ʃkɔ
totalitarizmus	tɔtalitarizmus
stolička	stɔlit͡ʃka
príklad	priːkɫat
oliver	ɔlivɛr
londýn	ɫɔndiːn
bosorák	bɔsɔraːk
počas	pɔt͡ʃas
adamoch	adamɔx
mláďa	mɫaːɟa
fakt	fakt
doktorom	dɔktɔrɔm
vlasta	vɫasta
žriebä	ʒri̯ebe
kôrovec	ku̯ɔrɔvɛt͡s
lucia	ɫut͡sia
sloj	sɫɔj
portugalsko	pɔrtuɡaɫskɔ
žirafa	ʒirafa
nemka	ɲɛmka
paprika	paprika
špageta	ʃpaɡɛta
foxtrot	fɔkstrɔt
galaxie	ɡalaksie
hmla	ɦmɫa
črevo	t͡ʃrɛvɔ
hovädzí	ɦɔvɛd͡ziː
brat	brat
kaviareň	kavi̯arɛɲ
hoľa	ɦoʎa
požičať	pɔʒit͡ʃac
adamov	adamɔu̯
klenoty	klɛnɔti
tangá	taŋɡaː
priestor	pri̯ɛstɔr
jaromír	jarɔmiːr
kyslík	kisliːk
holí	ɦɔʎiː
obor	ɔbɔr
slabý	sɫabiː
iba	iba
mat	mat
vdovou	vdɔvɔu̯
kyselina	kisɛlina
garbiar	ɡarbi̯ar
dubu	dubu
hákelling	hɔɑt͡ʃʰɛtlɪŋk
zröntgenovať	zrœntɡɛnɔvac
moja	mɔja
klaudia	kɫau̯dia
pekný	pɛkniː
cintorín	t͡sintɔriːn
annu	annu
viliam	viliam
mravec	mravɛt͡s
kokot	kɔkɔt
dobrej	dɔbrɛj
mene	mɛɲɛ
zlatica	zɫacit͡sa
filoména	filɔmɛːna
albína	aɫbiːna
andrea	andrɛa
shetlandský	ʃɛtlɛndskiː
cunami	t͡sunami
otília	ɔtiːlia
jašterička	jaʃcɛrit͡ʃka
grínd	ɡriːnt
sujet	suʒɛt
mačka	mat͡ʃka
chlapom	xɫapɔm
iľja	iʎja
javor	javor
neskôr	ɲɛsku̯ɔr
potok	pɔtɔk
bábika	baːbika
takýto	takiːtɔ
kov	kɔu̯
oskár	ɔskaːr
chuj	xuj
ľubomíra	ʎubɔmiːra
telu	cɛɫu
halier	ɦaʎi̯ɛr
častí	t͡ʃasciː
diabol	ɟi̯abɔɫ
otrok	ɔtrɔk
riaditeľ	ri̯aɟicɛʎ
plameň	pɫamɛɲ
ohúriť	ɔɦuːric
socializmus	sɔt͡sializmus
všetok	fʃɛtɔk
čítať	t͡ʃiːtac
policajt	pɔlit͡sajt
púšť	puːʃc
kríza	kriːza
kupola	kupɔɫa
zrelý	zrɛliː
jedným	jedniːm
žriebä	ʒri̯ebæ
bača	bat͡ʃa
oľga	ɔʎɡa
koľko	kɔʎkɔ
príchod	priːxɔt
kurča	kurt͡ʃa
panenský	paɲɛnskiː
áut	aːu̯t
vavrinec	vavriɲɛt͡s
vankúš	vaŋkuːʃ
slnce	sɫ̩nt͡sɛ
irídium	iriːdium
bruško	bruʃkɔ
arzén	arzɛːn
stanislava	staɲisɫava
striga	striɡa
program	prɔɡram
žalúdok	ʒaɫuːdɔk
zapnúť	zapnuːc
nové	nɔvɛː
zámok	zaːmɔk
reč	rɛt͡ʃ
scípio	st͡siːpiɔ
kráľ	kraːʎ
okabátiť	ɔkabaːcic
herkules	ɦɛrkulɛs
keďže	kɛd͡ʒɛ
krištof	kriʃtɔf
mráčik	mraːt͡ʃik
európsky	ɛu̯rɔːpski
materinský	macɛrinskiː
bratislavy	bracisɫavi
milý	miliː
hlboký	ɦɫ̩bɔkiː
izba	izba
ťava	cava
tele	cɛlɛ
strukoviny	strukɔvini
paulína	pau̯liːna
maximilián	maksimiliaːn
dobrom	dɔbrɔm
spln	spɫ̩n
katapultoch	katapuɫtɔx
lastúrničiar	ɫastuːrɲit͡ʃi̯ar
lastovička	ɫastɔvit͡ʃka
spať	spac
nádražiach	naːdraʒi̯ax
črep	t͡ʃrɛp
vrana	vrana
behať	bɛɦac
dobrými	dɔbriːmi
kazachstan	kazaxstan
otcovský	ɔtt͡sɔu̯skiː
bratislave	bracisɫavɛ
jožo	jɔʒɔ
holúbä	ɦɔɫuːbɛ
kilogram	kiɫɔɡram
lídroch	liːdrɔx
bližší	bliʃʃiː
embólia	ɛmbɔːlia
nacistický	nat͡sistit͡skiː
kosa	kɔsa
kapilára	kapiɫaːra
orol	ɔrɔɫ
čeština	t͡ʃɛʃcina
milan	miɫan
pavúčí	pavuːt͡ʃiː
galina	ɡalina
whisky	ʋiski
dalibor	dalibɔr
trona	trɔna
nika	nika
žať	ʒac
varšava	ʋarʃaʋa
priateľka	pri̯acɛʎka
starček	start͡ʃɛk
vidlička	vidʎit͡ʃka
národ	naːrɔt
ozajstný	ɔzajstniː
aids	ajt͡s
žiačík	ʒi̯at͡ʃiːk
prečo	pretʃo
klement	klɛmɛnt
žni	ʒɲi
pečiatka	pɛt͡ʃi̯atka
aids	aːiːdɛːɛs
vrša	vr̩ʃa
livermorium	livɛrmɔrium
urobiť	urɔbic
tobôž	tɔbu̯ɔʃ
svete	svɛcɛ
had	ɦat
rumunčina	rumunt͡ʃina
duboch	dubɔx
ľuba	ʎuba
kristián	kristiaːn
jód	joːt
henrich	ɦɛnrix
krajom	krajom
alfonz	aɫfɔns
list	list
čaj	t͡ʃaj
vrátane	vraːtanɛ
tvaroh	tvarɔx
peniaze	pɛɲi̯azɛ
dardanely	dardanɛli
šiška	ʃiʃka
