ἀγγελικόσ	aŋɡɛlikos
εἰδυῖ'	eːdŷː
λεσβίων	lezbíɔːn
παγγαῖοσ	paɲɟeos
ἀνανταπόδοτοσ	anantapódotos
ἁγιάζεσθε	haɡiazɛstʰɛ
κοράκινοσ	korákinos
πεπαιδευκέτων	pepai̯deu̯kétɔːn
ἀγαθοεργῆισ	aɣaθoerʝis
διονυσόδωροσ	dionyːsódɔːros
ἀγερέουσι	aɡeréoːsi
ἀγαθοποιηθῆναι	aɡatʰopyetʰenɛ
ἠελίου	ieliu
ἐόντε	eonte
βούβαλε	βuβale
ἀντίπτωσισ	antíptɔːsis
ὀμφαλοέσσαισ	omɸaloessɛs
λάγυνοσ	laɡynos
μινούκιοσ	minucios
αὖλαξ	awlaks
χαίρομαι	kʰɛromɛ
μυστήριον	mistirion
θραιξίν	tʰraːi̯ksín
κατάβασισ	katavasis
ἀποτειχίζω	apotikʰizo
κερκυραίοισ	kerkyːrǎi̯oi̯s
τεύχεσιν	teɸxesin
σαλμωνεύσ	salmonefs
τόσα	tosa
πλημμύριον	plemmyrion
χάσκω	xasko
περιπατητικόσ	peripatitikos
πειραιεύσ	pireefs
σφετέραισ	sfeteres
συγκρουομένουσ	syŋkroːoménoːs
ἀπιών	apiɔ̌ːn
προτέρη	proteri
βουλόμενοι	boːlómenoi̯
ἡγεμονικόσ	iɣemonikos
σταφυλοβολεῖον	stapʰylobolêːon
καθέλκω	katʰélkɔː
ἀγειροίτην	aɣirytin
καῦνοσ	kavnos
ζυθῶν	zyθon
ἀνάγκαιν	anáŋkai̯n
δόγια	doɡia
ἀγγαρεύσοισ	aŋɡareɸsys
φορῶν	ɸoron
ἄνερ	aner
διάβαθρον	diabatʰron
σεσημειωμένοσ	sesɛːmeːɔːménos
γαῖα	ɡɛa
βάζω	bazo
ἱερά	iera
βατίσ	batis
οἴαγροσ	ǒi̯aɡros
ποιήσαντεσ	pyisantes
κίτρινοσ	kítrinos
ἀθάναι	atʰǎːnaːi̯
πλεῖστον	pliston
γένοσ	ʝenos
ἀγαπηθείτην	aɡapɛːtʰěːtɛːn
χύδην	çyðin
ἐλπίσ	ɛlpis
κίδαφοσ	kidapʰos
ἠέ	eɛ
παρελθόντεσ	parɛltʰontɛs
ἀλφόσ	alpʰos
τυκάνη	tykánɛː
ἐπιρρεπήσ	ɛpir̥r̥ɛpes
συγκρουομένωι	syŋkruomɛno
ἡμετέρουσ	hɛːmetéroːs
τρίκκη	trici
θηρίου	tʰɛːríoː
ἀώμενον	aɔ̌ːmenon
ὀξύβαφον	oksyvafon
ἥρωασ	hɛ̌ːrɔːas
διπλάσιοσ	diplásios
ἄρβηλοσ	arvilos
κελεύω	kɛlewo
πεύκη	peɸki
ὀφιοειδοῖν	opʰioidyn
ὕσταξ	hýstaks
ἐγγύη	eɲɟyi
ἀγλαοφῶτισ	aːɡlaopʰɔ̂ːtis
εὐγένιοσ	eu̯ɡénios
πιτθεύσ	pittʰeʍs
ἀγερέοιμεν	aɡɛrɛymɛn
κροσσαίη	krossɛe
ἁλιάετοσ	haliaɛtos
ἔδμεναι	eðmenɛ
ἀχαιοῖσιν	açeysin
ἱμάσθλη	himástʰlɛː
θαλάμωι	θalamo
πολέεσ	polɛɛs
οὖ	u
ἀάσειε	aasiɛ
κύπελλον	cipelon
ἀβροκόμασ	aβrokomas
περιγίγνομαι	periɣiɣnomɛ
τάμε	tame
ἑωυτούσ	hɛoytus
τύχαιν	tykʰɛn
ἦτον	ɛ̂ːton
ἀκτήν	aktɛ̌ːn
ψευδολόγοσ	psewdoloɡos
πανούργημα	panurʝima
ἁγίζεισ	haɡízdeːs
ἀγανακτῆτον	aɣanaktiton
ἄραψ	áraps
διακοσίων	diakosion
κανονίζω	kanonizo
ἑλόντεσ	helóntes
ὀδόντασ	oðondas
ἀριστόμαχοσ	aristómakʰos
ναυτικῶι	naɸtiko
ἑρμηνευτήσ	ermineɸtis
ἀαόμενοσ	aaómenos
μνῆσοσ	mnesos
πυκνότεροσ	pyknotɛros
ἀσκόσ	askos
ἀστύοχοσ	astyoxos
ἀκοῦσαι	akusɛ
σάλοσ	sálos
ἕλοιτο	hɛlyto
κυάνεοσ	cyaneos
ἀσκέρα	askɛra
ἀγερέετον	aʝereeton
προὔχω	prǒːkʰɔː
κασμέναι	kazmenɛ
ἥρπαζον	hɛ̌ːrpazdon
μειλιχίοισι	miliçiisi
φιλόδοξοσ	filoðoksos
στρατειῶν	strateːɔ̂ːn
ἀνατίθημι	anatitʰemi
ἀπόκυνον	apókynon
ἤγγισα	eŋɡisa
βούπαισ	bupɛs
ποιμένα	pimena
σφετέρου	spʰɛtɛru
δειρή	dire
κραίνω	kreno
ἀχαιόσ	akʰɛos
αἰγόκερασ	ɛɡokɛras
ἔδωκεν	eðocen
ῥήνεια	r̥enia
ἐξαπίνησ	ɛksapines
ἀγγαρεύσαιτο	aŋɡareɸsɛto
τέρμα	térma
κεμάσ	kemas
ζεῦξισ	zeɸksis
βρόχθοσ	βroxθos
ἔπρασσον	épraːsson
εὐτυχήσ	eɸtyxis
βλύζω	vlyzo
δακτυλιοθήκη	daktyliotʰɛ̌ːkɛː
ἐξ	ɛks
κεφαλαία	kepʰalǎi̯aː
σίσαρον	sísaron
σοφίαιν	sofien
ἀγεροῖμεν	aɣerymen
διάνοιαν	dianyan
σβέννυμι	zbɛnnymi
κηρύκινοσ	cirycinos
ἀγαθοποιήσοιμεν	aɣaθopiisimen
ἀλύξαι	alykse
πλεῖν	plêːn
νίνοσ	ninos
ἤθελε	etʰɛlɛ
βήϊοι	βiiy
ὀσπριοθήκη	ospriotʰeke
παιδεύσοιεν	pɛðeɸsyen
ἰαμβύκη	iamby̌ːkɛː
σαυροκτόνοσ	savroktonos
αὐδήσασκε	awdesaskɛ
προμηνύομαι	promenyomɛ
μύλασα	mýlasa
φεύγοντεσ	fevɣondes
εὐώνυμον	evonymon
κλαζομεναί	klazomene
ἀγγελλέτων	aŋɡellétɔːn
φαινόμενοσ	pʰɛnomɛnos
εἰσέρχομαι	isɛrkʰomɛ
εὔσκιοσ	ěu̯skios
ναύκληροσ	nafkliros
αὐτοκράτωρ	aftokrator
φλῶροσ	ɸloros
τῖον	tîːon
ἀναγιγνωσκόμενοσ	anaɣiɣnoskomenos
λυσιτανία	lyːsitaːníaː
ἀφιστάμενοσ	afistamenos
ἀπόγειοσ	apoɡios
αὐτήν	au̯tɛ̌ːn
πραξιτέλησ	praksitɛles
θρᾶικεσ	θraces
ἁγιάζοιτον	aʝiazyton
ποτε	potɛ
μόλοφθοσ	moloɸθos
ἀγγελθῆτον	aŋɡeltʰɛ̂ːton
λυγρῶι	lyɡro
θεσσαλία	tʰɛssalia
ἐπαμεινώνδασ	ɛpaminondas
τρινασόσ	trinasos
ἑλβήττιοσ	elvitios
δύναιτ'	ðinet
τοσαῖσδε	tosâi̯zde
λείχω	likʰo
αἴδουοσ	eðuos
ἀναπάλλω	anapalo
δαναούσ	danaǒːs
πλατανίστινοσ	platanístinos
παιδευθῶ	pɛdeʍtʰo
ἀποβάλετε	apobálete
ἐπέρχομαι	eperxome
ξανδικόσ	ksandikos
ἀργείοισιν	arɡěːoi̯sin
τελευτίασ	teleftias
ὀδόντι	oðonti
ἀτάρ	atár
ψελλόσ	pselos
ἐλέησον	eleison
ἀγειραίσθην	aʝiresθin
βεβαίωσ	veveos
βέβαιοι	bɛbɛy
βεβαιώσατε	veveosate
ἀγερέεσθαι	aɡeréestʰai̯
ἔολπα	éolpa
πλήρησ	plɛ̌ːrɛːs
μήλη	mɛ̌ːlɛː
ἐσχατιή	ɛskʰatie
συναγωγῶν	synaɡoɡon
νεφρόσ	neɸros
στρατεύω	stratěu̯ɔː
αἰγίδα	ɛɣiða
εὐσεβέσι	eʍsɛbɛsi
κηκίσ	kikis
προσωιδίασ	prosodias
ἄγων	aɣon
ὀχύρωσισ	okʰyrosis
ἐσχατιῆι	eskʰatiɛ̂ːi̯
κοῖλον	cylon
ἐπιπόρφυροσ	epiporfyros
χαονία	xaonia
κλισίηισι	klisíɛːi̯si
δυνατόσ	dynatos
πελωρίσ	pɛloris
ἄφρων	apʰron
ἀλύσκω	alysko
μηρία	mɛːría
κυριῶν	kyrion
δίδου	ðiðu
ξυλαλόη	ksylaloe
κίμωλοσ	cimolos
ἀγγελῆτον	aŋɡelɛ̂ːton
χόδανοσ	xoðanos
καρβίλιοσ	karβilios
βαρύνω	barýnɔː
μεσσήνιοσ	messɛ̌ːnios
σχίσματα	skʰízmáta
βυλάζωρα	vylazora
ὅτωι	oto
ἠγαθοποίησε	eɡatʰopyesɛ
ταχύ	takʰy
βραδέωσ	bradéɔːs
φθορά	ɸθora
καταπλέων	katapleon
καταπαιδεραστέω	katapeðerasteo
οὔτε	utɛ
θέμασιν	tʰémasin
ἀφιστάμενοσ	apʰistamɛnos
ἔρχομαι	érkʰomai̯
βήτην	beten
ὄππιοσ	óppios
ψαμαθοῦσ	psamaθus
ἠγαθοποιήθην	iɣaθopiiθin
σπερχειόσ	sperkʰeːós
ὠτογλυφίσ	otoɣlifis
ξυνέγραψεν	ksynɛɡrapsɛn
ἆθλα	aθla
ἵκοιτο	icyto
ἀποθανέομαι	apoθaneomɛ
ἀγαυόσ	aɡawos
ξυμπολεμήσασ	ksimbolemisas
πολυκλήϊσ	polikliis
ἀγείραιμι	aɣirɛmi
ἀγεροίητον	aɡɛryeton
ἔκπωμα	ekpoma
λάφυρα	laɸyra
ἀμφίπολισ	amɸipolis
ἀρχίδαμοσ	arkʰídamos
τοξόθ'	toksotʰ
κύαθοσ	cyaθos
κεκλεισμένα	kekleːzména
ἴγδισ	iɣðis
χέω	kʰɛo
μεγαρεύσ	meɡarěu̯s
ἔρευνα	ɛrewna
προάγω	proaɣo
ἀγάπην	aɡapen
παλαιοράφοσ	palɛoraɸos
ἀγαθοποιέομεν	aɡatʰopoi̯éomen
τύνη	tini
ἀγανακτέοιμι	aɣanakteimi
πυθία	pyθia
ὀλίγωι	olíɡɔːi̯
ἐπιείκεια	ɛpiikia
σάβανον	sábanon
πρόβατον	probaton
μάψ	maps
κεκλεισμένον	kɛklizmɛnon
μακεδόνασ	makeðonas
ἴδιον	iðion
ἑταίρων	hetǎi̯rɔːn
ἀνθυπατικόσ	anθipatikos
πυραλίσ	pyralis
ἵππουριν	ippurin
αὐτόματοσ	aʍtomatos
δαήρ	daer
εὐσεβῶν	efsevon
ὄρφνινοσ	orɸninos
νουμήνιοσ	numenios
συγγραφεῖσ	siŋɡrafis
ἄχοσ	akʰos
ἀγρεύω	aɡrewo
τετράων	tɛtraon
νομόσ	nomós
χρύσην	kʰry̌ːsɛːn
τύβαρισ	tyβaris
ἀνθρώποισιν	antʰrɔ̌ːpoi̯sin
λοχέοσ	loçeos
παρρησίαι	par̥r̥esia
χελώνινοσ	kʰɛloninos
κιβώτιον	civotion
δυσεντερία	dysenteríaː
τρίποδε	trípode
ἐλεύσομαι	elefsome
ζύθου	zyθu
κόρυζα	koryza
ἁδρόσ	hadros
κορυφῆισι	korifisi
φαινόμενον	pʰai̯nómenon
βλαδύσ	vlaðys
ἀγερθῆτε	aɡɛrtʰetɛ
πολλέ	pollé
ἰσραήλ	izrail
ἀπαρίνη	aparǐːnɛː
ἠγείρετε	iɣirete
πάτροκλε	pátrokle
μυροθήκη	myrotʰɛ̌ːkɛː
κάρυστοσ	kárystos
ἐπιμενίδησ	ɛpimɛnides
διόμηδεσ	diómɛːdes
ὑπάτη	hypate
σελεύκεια	sɛleʍkia
ταγή	taɡe
περίφρασισ	perifrasis
ἐκράτει	ekráteː
χιλιοδύναμισ	xilioðynamis
ἐφορᾶσθαι	epʰorâːstʰai̯
βλάπτω	bláptɔː
ὁδοῖο	oðyo
κόσμουσ	kozmus
στολή	stolɛ̌ː
πάρ	par
σπευσίνιοι	speʍsiniy
ἐϋκνήμισ	ɛyknemis
γενομένων	ɡɛnomɛnon
ἴδηται	iðitɛ
ἀχιλλῆϊ	açilii
τάλαροσ	talaros
ἀγαλλιασαμένη	aɣaliasameni
παιδεύσησθε	pɛðeɸsisθe
χθονίαισ	kʰtʰoniɛs
ἀξιόλογον	aksioloɣon
περιόδων	perioðon
ἐξαφανίζω	eksafanizo
πολύφημοσ	polifimos
γενομένην	ɡɛnomɛnen
ψεδόναι	psallós
ἀποθνήισκω	apotʰnesko
ψῆγμα	psɛ̂ːŋma
παιδευθεῖτον	peðefθiton
εἷλεν	hilɛn
ἠγέρθησ	ɛːɡértʰɛːs
ἀντείχοντο	antikʰonto
ἰδαίων	iːdǎi̯ɔːn
ἀγαλλιασοίσθην	aɣaliasisθin
οἰκήσεισ	ykisis
ἀγαλλιασοίμεθα	aɡalliasymɛtʰa
περισσεύω	perisevo
λάμβανε	lambanɛ
μαίναλον	menalon
ἔχευαν	exeβan
ἀβυδηνόσ	abyːdɛːnós
οἰσύπη	ysype
περιπλέκομαι	periplekome
ἀγαθοεργέοιεν	aɣaθoerʝeyen
λευκοῖν	lefcin
πόρε	porɛ
βορρᾶ	vorra
γεννῆτορ	ɡennɛ̂ːtor
σιτοθήκη	sitoθici
ἔπεμπον	epempon
κριγή	kriɣi
σαρακηνόσ	saracinos
φενάκη	pʰɛnake
θεά	tʰeǎː
πέλτη	pelti
ἄμη	ami
γάλινθοι	ɣalinθy
αἰτέω	ai̯téɔː
βία	bíaː
δημολέων	dɛːmoléɔːn
φόβου	ɸoβu
δύναιτο	ðynɛto
βενιαμίν	veniamin
ἀπορίαι	aporia
ἑξηκοντάκισ	hɛksekontakis
ἀγείραιτο	aʝireto
ὑψικλῆσ	ypsiklis
εὐσέβεια	efsevia
βαβυλωνία	babylɔːníaː
ἄτη	ate
αἰχμάλωτοσ	ai̯kʰmálɔːtos
πλακία	placia
κατέθηκε	kateθike
θεσπιεύσ	tʰespiěu̯s
ποτήριον	poterion
μακεδόσι	maceðosi
χειρομύλη	xiromyli
ἀγγαρεύσων	aŋɡareɸson
κατεστρέφοντο	katestreɸonto
φραόρτησ	fraortis
θύμβριον	tʰymbrion
προξενητήσ	proksenɛːtɛ̌ːs
πίσυγγοσ	pisiŋɡos
αὐτῆι	aʍte
αἴγιλοσ	ɛɡilos
φορεῖν	forin
ἕστο	hɛsto
γενικόσ	ʝenikos
πρόσοικοσ	prosikos
νέκυν	necin
ἐπιπλέοντεσ	epipleondes
θρόνω	tʰrono
σχίζομαι	sxizomɛ
ἀναρρίπτω	anaripto
ἀποκτεῖναι	apoktêːnai̯
ἀγγελέουσα	aɲɟeleusa
μνημεῖον	mnemion
πεπαιδευκοίη	pepai̯deu̯kǒi̯ɛː
τετριμμένα	tetrimmena
σημείων	semion
αἷστισιν	ɛstisin
λέμφοσ	lɛmpʰos
ἕπονται	epontɛ
τέλη	télɛː
κροσσαίη	krossei
κύαθοσ	kyaθos
ψυχοπομπέ	psyxopompe
κρωγμόσ	kroɣmos
ψεφαρόσ	psɛpʰaros
ἀγγέλλοιο	aŋɡɛllyo
νήσοισι	nisysi
σπερχειόσ	sperxios
σαργόσ	sarɣos
δικάζω	ðikazo
πολύγονον	polýɡonon
πέπον	pɛpon
βαρβαρικόσ	barbarikos
ἀγανακτήσοιτε	aɡanaktesytɛ
βοῦρκασ	bôːrkaːs
πυρετοῦ	pyrɛtu
εὐχήνωρ	efçinor
θεστιάσ	tʰɛstias
τυδεΐδησ	tyðeiðis
κόκκινοσ	kókkinos
δυνάμενοσ	dynamɛnos
χορδή	kʰordɛ̌ː
καταβολή	kataβoli
ἀντιγόνη	andiɣoni
χαμαιπλάτανοσ	xamɛplatanos
στύραξ	styraks
ἑωυτά	heɔːytá
ἀρετῆσ	aretis
ἀγαθοποιέηισ	aɣaθopyeis
ἡμένη	imeni
παραφυάσ	parapʰyas
θεοειδέα	tʰɛoidɛa
σῆστοσ	sestos
ἀέκοντε	aɛkontɛ
συγκρουομένων	syŋɡruomenon
ὁρίζων	horizon
ἀγανακτῆτον	aɡanaktɛ̂ːton
κέρκουροσ	kɛrkuros
γράα	ɡraa
πτερόν	pterón
δαταφέρνησ	ðatafernis
ἐπιπλέων	ɛpiplɛon
γλίσασ	ɡlisas
ἐπιλογή	epiloɣi
ἡράκλειτοσ	heraklitos
κοινή	kyne
πεντηκοντόροισ	pendikondoris
ἀγγελῆι	aŋɡeli
παιδεύσαισθε	peðefsesθe
νεμεσσητόν	nemessiton
διογενέσ	ðioʝenes
ταύτησ	tǎu̯tɛːs
γλοιόσ	ɣlios
πεντηκοντόρουσ	pentɛːkontóroːs
ἀκανθίων	akantʰion
βαλλάντιον	βallantion
δεισήνωρ	ðisinor
αἰσχύνω	ɛskʰyno
τρύγοιποσ	tryɡypos
διαιτάω	diɛtao
ἐπαιδεύσαντο	ɛpɛdeʍsanto
ἀγερθείημεν	aʝerθiimen
πρόβλημα	próblɛːma
κεκτημένοι	cektimeni
ἠοῖ	iy
φαττάγησ	ɸattaɣis
ἑτεροκλινήσ	eteroklinis
ἀγγαρεύουσι	aŋɡareβusi
ὁδηγοῖσ	oðiʝys
ὁρῶμαι	orome
ἀγάθων	aɡátʰɔːn
ταὐτολογία	taɸtoloɣia
δείνα	ðina
χραισμῆσαι	xrezmise
ἀγαπηθήσοισθον	aɣapiθisisθon
ἀλανοί	alanǒi̯
ἑλληνικῆσ	elinicis
τροφώνιοσ	trofonios
ἀγαθοποιέειν	aɡatʰopoi̯éeːn
νοῦθοσ	nuθos
ἀφίδναι	apʰidnɛ
ἀσφόδελοσ	asfoðelos
πολέμια	polemia
ἀγαθοποιῆσαν	aɣaθopyisan
ἀτυχήσ	atykʰɛ̌ːs
ἀξιοῖσ	aksiis
οἰσοφάγοσ	ysofaɣos
κέρθιοσ	kerθios
κλωθώ	klɔːtʰɔ̌ː
ἀσύφη	asyfi
γαληψόσ	ɡalɛːpsós
λυχνίσ	lykʰnis
ἀγχοῦ	aŋkʰu
τρέπονται	trɛpontɛ
ἀργίμπασα	arʝimpasa
εὐτελήσ	eɸtelis
πόσισ	pósis
καπυρόσ	kapyros
ῥάκινοσ	rakinos
ἀλφαβήτουσ	alpʰabɛ̌ːtoːs
ἱππίαι	hippia
καδμῖλοσ	kadmîːlos
ἐπέσπον	epespon
ὀλολύζω	ololyzo
διαφαίνω	diapʰǎi̯nɔː
δαιτροσύνη	dai̯trosýnɛː
καθομιλουμένων	katʰomiloːménɔːn
κολοφών	kolopʰɔ̌ːn
βρεττανία	vretania
συμφορά	sympʰora
ἥφαιστοσ	iɸɛstos
κυμίνινοσ	cimininos
καρχηδόνιοσ	karkʰɛːdónios
χάρυβδιν	xaryβðin
δασεία	ðasia
ἔδωκεν	ɛdokɛn
ὑπογράφομεν	hypoɡrápʰomen
διηιτώμην	diɛːi̯tɔ̌ːmɛːn
κλήθρινοσ	klɛ̌ːtʰrinos
κυνόδουσ	kynoðus
νηρίτησ	nɛːrǐːtɛːs
μόνωσ	monos
κυβερνήτησ	kyβernitis
παρέπεμψα	parɛpɛmpsa
γέλενοσ	ɡɛlɛnos
τῖον	tion
θαψία	tʰapsia
δρυοπτερίσ	ðriopteris
ἀγγέλησθον	aŋɡɛlestʰon
τετρώκοντα	tetrokonta
ὑπερμενήσ	hypɛrmɛnes
σηλυμβριανόσ	silymbriano
ἀβροτόνινοσ	abrotoninos
ἀκιδωτόσ	akiðotos
σῖφαι	sipʰɛ
γλυκύφθογγοσ	ɡlykypʰtʰoŋɡos
ἐΰ	eý
τετραγενήσ	tetraʝenis
σου	su
δῦναι	dynɛ
πυρρίασ	pirias
ἰσόθεοσ	isoθeos
ἀταραξία	ataraksia
σταγόνων	staɡonon
ἀπιστεῖν	apistêːn
ἑτάροισι	etarisi
ἐπεπαιδεύσθην	epepɛðeɸsθin
μύλοικοσ	milikos
ἔδων	édɔːn
ἴωψ	íɔːps
ἀγγαρεύσομαι	aŋɡareʍsomɛ
ἀράκυνθοσ	arákyntʰos
ψιάσ	psias
κυνῶν	cinon
λελυμέναιν	lelymenen
ἀττικίζον	attikizon
πετεηνῶν	pɛtɛenon
δοιῶι	ðyo
κλαύδιοσ	klavðios
ἐγίγνετο	ɛɡiɡnɛto
ἀγγελιοίτην	aɲɟeliitin
ἐποιχόμενοσ	ɛpykʰomɛnos
ἐνιαυτούσ	ɛniaʍtus
σκῦλα	skyla
κοπιάω	kopiao
θανατικόσ	θanatikos
ἀάσηι	aase
ἀνταποδίδωμι	antapodidomi
λυκαονία	likaonia
ἀγαπήσαιτε	aɡapɛ̌ːsai̯te
ἀρετήν	arɛten
ἄνανδροσ	ánandros
ὅππηι	opi
ἀμφικύπελλοσ	amɸikypellos
ἔγγονοσ	eŋɡonos
περικάρπιον	perikárpion
μῆδον	mɛ̂ːdon
κυνόδοντασ	kynoðontas
δείκνυνται	diknyntɛ
εὐριπίδειοσ	eβripiðios
παιδευθεῖεν	pai̯deu̯tʰêːen
θανάτωι	θanato
ἀκίνητοσ	akǐːnɛːtos
φιλαδέλφεια	pʰiladélpʰeːa
σφέτερα	sfetera
δωριεύσ	dorieʍs
ἀγερεομένη	aɡereoménɛː
ἀθηναίοισ	atʰɛːnǎi̯oi̯s
ἄννων	ánnɔːn
μεδεών	medeɔ̌ːn
νευροειδέσ	newroidɛs
μνησώμεθα	mnesomɛtʰa
μυθῶδεσ	miθoðes
πλεῖν	plin
ἐλάφινοσ	elápʰinos
σιτάλκησ	sitalkis
πολυστάφυλοσ	polystapʰylos
ὑπόκειμαι	ypokimɛ
τοκήων	tocion
σιβύνη	siβyni
οἰνηρόσ	iniros
τεόν	tɛon
ἀσήμινοσ	asɛ̌ːminos
ῥηγμίν	r̥ɛːŋmǐːn
ἔν	en
ἀργολίσ	arɡolís
ἱπποκέλευθοσ	ippokeleɸθos
ἰξίνη	iksǐːnɛː
φυλάττω	pʰylatto
ἀγαθοποιέοιτο	aɡatʰopyɛyto
συλλήβδην	syllivðin
ἀέκητι	aekiti
δύνασαι	ðinase
οἰνόφυτα	ynoɸyta
ἀγγελίεσθον	aŋɡɛliɛstʰon
κρέουσα	kréoːsa
κήρυκε	kiryke
πτερόεισ	ptɛrois
ἐξομολογήσεωσ	eksomoloɣiseos
ἄραβοσ	aravos
ἱππολάπαθον	ippolapaθon
λιβανωτόσ	livanotos
ἀλκίφρων	alkipʰron
τοίη	tii
ἑλμινθοβότανον	hɛlmintʰobotanon
ἆθλον	atʰlon
μέμασαν	mɛmasan
ἱπποβότοιο	hippobótoi̯o
συγγραφέα	syŋɡraɸea
ἰαίνω	iǎi̯nɔː
καθιδρύομαι	katʰidryomɛ
αὐτάων	aftaon
παπείριοσ	papěːrios
λευκομέλασ	leɸkomelas
ἀγείρασθαι	aɡirastʰɛ
ἐπιμηθεύσ	epimɛːtʰěu̯s
σημύδα	simyða
παιδευσάτων	pɛðeɸsaton
ἀγγείλατε	aɲɟilate
ὄργυια	orɣya
πυλεών	pyleɔ̌ːn
παφλαγών	paɸlaɣon
κασμένη	kazmɛne
πτωτόσ	ptotos
οὐλύμποιο	ulympyo
μυρμηδών	myrmɛːdɔ̌ːn
δυσμενέεσσιν	ðyzmeneessin
δάκτυλοσ	ðaktylos
τόξα	toksa
ἀπελλόν	apellon
ἡδυσματοθήκη	iðyzmatoθiki
ἀγαλλιασθεῖεν	aɡalliastʰiɛn
τάραξισ	taraksis
ἔχευεν	exeβen
γυναικεῖοσ	ɡynɛkios
νήσοισι	nesysi
σφεασ	sfeas
ἰσομέτρητοσ	isométrɛːtos
ἀνακτόριον	anaktórion
χρῶνται	kʰrontɛ
βάσανοσ	βasanos
χάνοσ	kʰanos
σκιόωντο	skioonto
ἤλθετε	eltʰɛtɛ
ἐόντεσ	eontes
ἀγγελλέσθων	aŋɡelléstʰɔːn
αἰακίδαο	ɛakidao
σοῖσι	sysi
ἐκέκτηντο	ekéktɛːnto
τάχοσ	takʰos
θεόμαχοσ	tʰɛomakʰos
ἀγείρασα	aɡirasa
καλβῖνοσ	kalbîːnos
ἄασον	aason
ἰσσηδόνεσ	issɛːdónes
ἀγαθοποιεῖ	aɡatʰopoi̯êː
εὐδαίμων	evðemon
ἀνασύνταξισ	anasyntaksis
ἔξει	eksi
ἀάοιο	aaio
ἀθηναίηι	atʰɛːnǎi̯ɛːs
ψηφίσατε	psepʰisatɛ
γεραρόσ	ɡerarós
διαλέγομαι	ðialeɣomɛ
εὐσεβῶν	eu̯sebɔ̂ːn
χρῆσισ	kʰresis
τίτυροσ	tǐːtyros
δούπησεν	ðupisen
ἀγανακτοῖ	aɣanakty
λεύκιπποσ	lěu̯kippos
ἀνακρέων	anakrɛon
προσεφώνεε	proseɸonee
φόβοισ	ɸoβys
φορήσομαι	pʰorɛ̌ːsomai̯
νηρῆισ	neres
πυγμῆσ	pyɡmes
παρασκευάζομαι	parascevazome
ἀγερήσεσθον	aɣerisesθon
θεοπάθεια	tʰeopátʰeːa
θρασύσ	θrasis
χειρίσοφοσ	kʰeːrísopʰos
εἰδῶ	ido
πεσόντα	pesonta
τῆξισ	tiksis
τῆμνοσ	temnos
βούλομαι	bulomɛ
ἀγαλλιασάμενοσ	aɣalliasamenos
σιδεύνησ	sidewnes
σινωπεύσ	sinopeɸs
ὑπερβολή	hypɛrbole
δόμοι	ðomy
ὑποτοπήσαντεσ	ypotopisantes
παθών	patʰon
κυμινοπριστοκαρδαμογλύφοσ	ciminopristokarðamoɣlifos
ἀγγαρεύσοιντο	aŋɡareɸsynto
παιδευθείησ	peðefθiis
ναυμαχίαν	nawmakʰian
φιαρόσ	fiaros
πεπεισμέναι	pepizmenɛ
βολίνη	boline
ἐφθείροντο	epʰtʰěːronto
διάζωμα	ðiazoma
γόργυρα	ɣorʝyra
ἁρμόζει	harmózdeː
ἀγαθοποιήσαιτο	aɣaθopyiseto
περιεποιήσαντο	periepiisando
κόρυθοσ	korytʰos
ἀργυρόλιθοσ	arɣyroliθos
ἀγαλλιαόμενοσ	aɡalliaomɛnos
ἀγαπησαίμην	aɣapisemin
στήθεσφιν	stetʰɛspʰin
λελυμένησ	lelimenis
ἀληθείη	aletʰie
ὀλοφυρόμενοσ	olofiromenos
εὐόφθαλμοσ	ewopʰtʰalmos
γλυκυθυμία	ɣlycyθymia
ἔτυμον	ɛtymon
γέρδιοσ	ɡɛrdios
στόρνυμι	stornymi
γυναῖκεσ	ɣynɛkes
βίαν	bian
ὠκύ	oci
πειθομένησ	piθomenis
στησίμβροτοσ	stisimbrotos
χρυσελεφαντίνωι	kʰryːselepʰantínɔːi̯
τμήματα	tmemata
μυλαί	myːlǎi̯
γύψοσ	ʝipsos
ἐπειοί	epiy
πλίνθοι	plíntʰoi̯
ἱεροφύλαξ	ieroɸylaks
βασιλεύσ	βasileɸs
τοιῶιδε	toi̯ɔ̂ːi̯de
σέλινον	sɛlinon
χλαίνασ	kʰlǎi̯naːs
ἀγαλλιάωσι	aɣalliaosi
ἐφελκύσεσι	efelcysesi
θεσσαλία	θesalia
γίγνετο	ʝiɣneto
παμφανόων	pamfanoon
αἰγαῖοσ	ai̯ɡâi̯os
συβαρίτησ	sybarites
γραμματείδιον	ɣrammatiðion
μύθων	mytʰon
ἀποκυήματα	apokyemata
ἀγγελεσκόμην	aɲɟeleskomin
φίξ	pʰiks
τίετο	tiɛto
ἀγγελέοιο	aɲɟeleio
ἠγέρθητον	eɡɛrtʰeton
ἀγαπάοιο	aɡapayo
συνέρραψα	synɛr̥r̥apsa
προξενητήσ	proksɛnetes
σατανᾶσ	satanâːs
φίλαι	pʰilɛ
νηματώδησ	nematodes
ἠγάπαε	eɡapaɛ
σμῶδιξ	zmodiks
θυία	tʰy̌ːaː
προσκεφάλαιον	proscefaleon
κίνδυνοσ	cindynos
ἡδυσματοθήκη	iðyzmatoθici
ἀγγελεῖσα	aŋɡelisa
καθάπτω	katʰáptɔː
