турбуленција	turbulɛnt͡sija
нотарка	nɔtarka
отуѓеност	ɔtuɟɛnɔst
лупи	ɫupi
отсечност	ɔtsɛt͡ʃnɔst
летнува	lɛtnuva
конзерваториум	kɔnzɛrvatɔɾijum
шрафче	ʃraft͡ʃɛ
незаоблен	nɛzaɔblɛn
неостварливост	nɛɔstvarlivɔst
оќори	ɔcɔɾi
бирократизација	biɾɔkratizat͡sija
гумичка	ɡumit͡ʃka
сонетен	sɔnɛtɛn
деспот	dɛspɔt
луѓево	ɫuɟɛvɔ
идолопоклонство	idɔɫɔpɔkɫɔnstvɔ
ереван	ɛɾɛvan
тенорски	tɛnɔrski
имено	imɛnɔ
шестмина	ʃɛstmina
бруцош	brut͡sɔʃ
пречисти	prɛt͡ʃisti
филхармонија	fiɫxarmɔnija
јајник	jajnik
недобушен	nɛdɔbuʃɛn
храм	xram
насоли	nasɔli
камшик	kamʃik
фотогеничност	fɔtɔɡɛnit͡ʃnɔst
ној	nɔj
снег	snɛk
спорен	spɔɾɛn
сено	sɛnɔ
воин	vɔin
океан	ɔkɛan
услужува	usɫuʒuva
купувачки	kupuvat͡ʃki
свињарски	sviɲarski
рениум	rɛnijum
шеќер	ʃɛcɛr
чорба	t͡ʃɔrba
изнагали	iznaɡali
утре	utrɛ
да	daː
стреличарство	strɛlit͡ʃarstvɔ
зборообразување	zbɔɾɔɔbrazuvaɲɛ
варов	vaɾɔf
фурнаџија	furnad͡ʒija
откупувач	ɔtkupuvat͡ʃ
кристализација	kristalizat͡sija
соин	sɔin
гледачки	ɡlɛdat͡ʃki
партицип	partit͡sip
пресретливост	prɛsrɛtlivɔst
дотркала	dɔtr̩kaɫa
разностраност	raznɔstranɔst
устичка	ustit͡ʃka
инспекторка	inspɛktɔrka
тбилисиски	dbilisiski
оклопен	ɔkɫɔpɛn
ташничка	taʃnit͡ʃka
раселува	rasɛɫuva
недвижности	nɛdviʒnɔsti
двонасочност	dvɔnasɔt͡ʃnɔst
сабја	sabja
грција	ɡr̩t͡sija
иселеништво	isɛlɛniʃtvɔ
климатизација	klimatizat͡sija
асови	asɔvi
јужњак	juʒɲak
искривоколчува	iskrivɔkɔɫt͡ʃuva
милениче	milɛnit͡ʃɛ
ѕвезди	d͡zvɛzdi
бангладеш	baŋɡɫadɛʃ
првобитност	pr̩vɔbitnɔst
кров	krɔf
ваму	vamu
медовина	mɛdɔvina
неопходност	nɛɔpxɔdnɔst
хрват	xr̩vat
врапченце	vrapt͡ʃɛnt͡sɛ
шума	ʃuma
детонација	dɛtɔnat͡sija
изнасече	iznasɛt͡ʃɛ
ѕверство	d͡zvɛrstvɔ
агрономија	aɡrɔnɔmija
оглупавеност	ɔɡɫupavɛnɔst
разредувач	razrɛduvat͡ʃ
послика	pɔslika
згуснувач	zɡusnuvat͡ʃ
подзачешла	pɔdzat͡ʃɛʃɫa
испонастине	ispɔnastinɛ
женски	ʒɛnski
круша	kruʃa
заматува	zamatuva
грабливост	ɡrablivɔst
расеаност	rasɛanɔst
труп	trup
човека	t͡ʃɔvɛka
есен	ɛsɛn
запаметува	zapamɛtuva
громогласност	ɡrɔmɔɡɫasnɔst
вепар	vɛpar
клаустрофобија	kɫaustrɔfɔbija
недоучен	nɛdɔut͡ʃɛn
мрсул	mr̩suɫ
разгаштува	razɡaʃtuva
екран	ɛkran
сечач	sɛt͡ʃat͡ʃ
комичност	kɔmit͡ʃnɔst
нескротливост	nɛskrɔtlivɔst
одбегнува	ɔdbɛɡnuva
натрапничка	natrapnit͡ʃka
прегледа	prɛɡlɛda
безропотност	bɛzrɔpɔtnɔst
доцртува	dɔt͡sr̩tuva
палеонтологија	palɛɔntɔɫɔɡija
пазарџија	pazard͡ʒija
бесценетост	bɛst͡sɛnɛtɔst
попишти	pɔpiʃti
управен	upravɛn
неуставност	nɛustavnɔst
шокираност	ʃɔkiɾanɔst
пикнува	piknuva
ритмичност	ritmit͡ʃnɔst
палче	paɫt͡ʃɛ
љубовџиски	lubɔvd͡ʒiski
испорака	ispɔɾaka
поднастине	pɔdnastinɛ
кљанкање	klaŋkaɲɛ
петел	pɛtɛɫ
конта	kɔnta
неодговорност	nɛɔdɡɔvɔrnɔst
полупа	pɔɫupa
тој	tɔj
огледалце	ɔɡlɛdaɫt͡sɛ
опавче	ɔpaft͡ʃɛ
настрадува	nastraduva
механичарски	mɛxanit͡ʃarski
трафика	trafika
свирење	sviɾɛɲɛ
помрачува	pɔmrat͡ʃuva
црвливост	t͡sr̩vlivɔst
’рѓа	r̩ɟa
насее	nasɛɛ
хит	xit
незамисливост	nɛzamislivɔst
литарски	litarski
кадравост	kadravɔst
интересчија	intɛrɛʃt͡ʃija
испофрла	ispɔfr̩ɫa
црвен	t͡sr̩vɛn
блудник	bɫudnik
моторен	mɔtɔɾɛn
јаболчница	jabɔɫt͡ʃnit͡sa
сунѓерче	sunɟɛrt͡ʃɛ
нелегален	nɛlɛɡalɛn
загадочност	zaɡadɔt͡ʃnɔst
пасија	pasija
криволов	krivɔɫɔf
стомничка	stɔmnit͡ʃka
пупче	pupt͡ʃɛ
ѓерданче	ɟɛrdant͡ʃɛ
дишење	diʃɛɲɛ
даде	dadɛ
кондензатор	kɔndɛnzatɔr
компонента	kɔmpɔnɛnta
годинашен	ɡɔdinaʃɛn
нестабилност	nɛstabiɫnɔst
врач	vrat͡ʃ
кромид	krɔmit
лизнува	liznuva
доделка	dɔdɛɫka
погалува	pɔɡaɫuva
ѕвекот	d͡zvɛkɔt
деца	dɛt͡sa
њујоршки	ɲujɔrʃki
мрежичка	mrɛʒit͡ʃka
озрачува	ɔzrat͡ʃuva
непрокопсаност	nɛprɔkɔpsanɔst
збрца	zbr̩t͡sa
неразреден	nɛrazrɛdɛn
стена	stɛna
проклитика	prɔklitika
глувче	ɡɫuft͡ʃɛ
предипли	prɛdipli
полжавче	pɔɫʒaft͡ʃɛ
издушува	izduʃuva
тишина	tiʃina
провокаторски	prɔvɔkatɔrski
детуле	dɛtulɛ
прекумерност	prɛkumɛrnɔst
домазни	dɔmazni
државност	dr̩ʒavnɔst
рејкјавички	rɛjkjavit͡ʃki
пониша	pɔniʃa
затвореност	zatvɔɾɛnɔst
алигатор	aliɡatɔr
дух	dux
осло	ɔsɫɔ
потекува	pɔtɛkuva
безбол	bɛzbɔɫ
безначајност	bɛznat͡ʃajnɔst
мравче	mraft͡ʃɛ
деливост	dɛlivɔst
раштрканост	raʃtr̩kanɔst
младоженски	mɫadɔʒɛnski
отчукува	ɔtt͡ʃukuva
дрндало	dr̩ndaɫɔ
тесар	tɛsar
шумолење	ʃumɔlɛɲɛ
горчливост	ɡɔrt͡ʃlivɔst
кафиња	kafiɲa
недостоинственост	nɛdɔstɔinstvɛnɔst
погори	pɔɡɔɾi
јаболко	jabɔɫkɔ
особеност	ɔsɔbɛnɔst
примеса	primɛsa
кинетика	kinɛtika
презаспива	prɛzaspiva
суд	sut
цеца	t͡sɛt͡sa
дотопи	dɔtɔpi
пролив	prɔlif
распуштеност	raspuʃtɛnɔst
авиони	avijɔni
календар	kalɛndar
илустрација	iɫustrat͡sija
гласче	ɡɫaʃt͡ʃɛ
граѓанин	ɡraɟanin
ѓаурка	ɟaurka
козарство	kɔzarstvɔ
ненормалност	nɛnɔrmaɫnɔst
раситнува	rasitnuva
билјарство	biljarstvɔ
опис	ɔpis
сценографија	st͡sɛnɔɡrafija
декорација	dɛkɔrat͡sija
противречен	prɔtivrɛt͡ʃɛn
довлекува	dɔvlɛkuva
пара	paɾa
неупотребен	nɛupɔtrɛbɛn
тужбен	tuʒbɛn
брутови	brutɔvi
дивјачка	divjat͡ʃka
трбушен	tr̩buʃɛn
изнареди	iznaɾɛdi
бандитски	banditski
економичност	ɛkɔnɔmit͡ʃnɔst
умее	umɛɛ
колаче	kɔɫat͡ʃɛ
оптегнува	ɔptɛɡnuva
заточение	zatɔt͡ʃɛnijɛ
уметништво	umɛtniʃtvɔ
загатка	zaɡatka
краварски	kravarski
прасенце	prasɛnt͡sɛ
изедува	izɛduva
ситничарка	sitnit͡ʃarka
елки	ɛɫki
инсталациски	instaɫat͡siski
пијан	pijan
партал	partaɫ
овнешки	ɔvnɛʃki
догребува	dɔɡrɛbuva
циција	t͡sit͡sija
наобразба	naɔbrazba
неповрзаност	nɛpɔvr̩zanɔst
мил	miɫ
регулаторски	rɛɡuɫatɔrski
развлеченост	razvlɛt͡ʃɛnɔst
брисел	brisɛɫ
автостоперка	aftɔstɔpɛrka
мерач	mɛɾat͡ʃ
ласерски	ɫasɛrski
онтологија	ɔntɔɫɔɡija
пет	pɛt
математичарка	matɛmatit͡ʃarka
полула	pɔɫuɫa
хотелски	xɔtɛɫski
бродоградба	brɔdɔɡradba
слаткарски	sɫatkarski
нацеди	nat͡sɛdi
попреченост	pɔprɛt͡ʃɛnɔst
размазеност	razmazɛnɔst
сауна	sauna
помодреност	pɔmɔdrɛnɔst
фотоќелија	fɔtɔcɛlija
поврат	pɔvrat
постенка	pɔstɛŋka
потчинува	pɔtt͡ʃinuva
заложник	zaɫɔʒnik
бранува	branuva
превезе	prɛvɛzɛ
многу	mnɔɡu
ковче	kɔft͡ʃɛ
испопрска	ispɔpr̩ska
раскове	raskɔvɛ
гнет	ɡnɛt
качамак	kat͡ʃamak
дниве	dnivɛ
едукација	ɛdukat͡sija
политичарски	pɔlitit͡ʃarski
метличка	mɛtlit͡ʃka
сака	saka
тим	tim
испоцрка	ispɔt͡sr̩ka
интерпретациски	intɛrprɛtat͡siski
ѕвекнува	d͡zvɛknuva
сублимација	sublimat͡sija
ракомет	rakɔmɛt
чешелче	t͡ʃɛʃɛɫt͡ʃɛ
редупликација	rɛduplikat͡sija
ручек	rut͡ʃɛk
пердув	pɛrduf
бискупов	biskupɔf
млекарски	mlɛkarski
околност	ɔkɔɫnɔst
животност	ʒivɔtnɔst
нечитливост	nɛt͡ʃitlivɔst
кајче	kajt͡ʃɛ
паликирски	palikirski
пченче	pt͡ʃɛnt͡ʃɛ
среденост	srɛdɛnɔst
фустан	fustan
полунаводник	pɔɫunavɔdnik
усрден	usr̩dɛn
борови	bɔɾɔvi
бунгалов	buŋɡaɫɔf
изрипува	izripuva
противположен	prɔtifpɔɫɔʒɛn
рендгенски	rɛndɡɛnski
викиречник	vikirɛt͡ʃnik
копито	kɔpitɔ
четиристотини	t͡ʃɛtiɾistɔtini
намеси	namɛsi
петнаесет	pɛtnaɛsɛt
мора	mɔɾa
смарагден	smaɾaɡdɛn
прелистувач	prɛlistuvat͡ʃ
безготовински	bɛzɡɔtɔvinski
потхранетост	pɔtxranɛtɔst
превитка	prɛvitka
островче	ɔstrɔft͡ʃɛ
ветрило	vɛtriɫɔ
лимон	limɔn
аспирација	aspirat͡sija
испопука	ispɔpuka
превари	prɛvaɾi
возбуденост	vɔzbudɛnɔst
безобличност	bɛzɔblit͡ʃnɔst
закалува	zakaɫuva
испосник	ispɔsnik
испосере	ispɔsɛɾɛ
изготви	izɡɔtvi
препржува	prɛpr̩ʒuva
бессилност	bɛssiɫnɔst
возила	vɔziɫa
залез	zalɛs
мудрува	mudruva
штедрост	ʃtɛdrɔst
тесноградост	tɛsnɔɡradɔst
заора	zaɔɾa
победител	pɔbɛditɛɫ
намуртеност	namurtɛnɔst
недопржен	nɛdɔpr̩ʒɛn
харизматичност	xaɾizmatit͡ʃnɔst
пукнува	puknuva
потписник	pɔtpisnik
плукалник	pɫukaɫnik
распашува	raspaʃuva
поимник	pɔimnik
остарува	ɔstaɾuva
копаничар	kɔpanit͡ʃar
чај	t͡ʃaj
многулик	mnɔɡulik
тесто	tɛstɔ
дообјаснува	dɔɔbjasnuva
ѕидарство	d͡zidarstvɔ
солзичка	sɔɫzit͡ʃka
анови	anɔvi
соперничка	sɔpɛrnit͡ʃka
механизација	mɛxanizat͡sija
се	sɛ
овес	ɔvɛs
изморува	izmɔɾuva
станува	stanuva
прописност	prɔpisnɔst
редукција	rɛdukt͡sija
недоставен	nɛdɔstavɛn
безрадосност	bɛzradɔsnɔst
препечати	prɛpɛt͡ʃati
разговор	razɡɔvɔr
дипломатија	dipɫɔmatija
опстојува	ɔpstɔjuva
вознемирувачки	vɔznɛmiruvat͡ʃki
хидрант	xidrant
мечувалка	mɛt͡ʃuvaɫka
чпп	t͡ʃəpəpə
бојлерче	bɔjlɛrt͡ʃɛ
издашност	izdaʃnɔst
отсвирува	ɔtsviɾuva
дворјанство	dvɔrjanstvɔ
професорство	prɔfɛsɔrstvɔ
магаренце	maɡaɾɛnt͡sɛ
слончиња	sɫɔnt͡ʃiɲa
хемичарски	xɛmit͡ʃarski
заледеност	zalɛdɛnɔst
париче	paɾit͡ʃɛ
момин	mɔmin
близост	blizɔst
сомот	sɔmɔt
разгаштеност	razɡaʃtɛnɔst
лицитаторски	lit͡sitatɔrski
будимпештански	budimpɛʃtanski
неделник	nɛdɛɫnik
додека	dɔdɛka
заслепувачки	zaslɛpuvat͡ʃki
научноистражувачки	naut͡ʃnɔistraʒuvat͡ʃki
неточност	nɛtɔt͡ʃnɔst
пчеличка	pt͡ʃɛlit͡ʃka
кликнува	kliknuva
препараторски	prɛparatɔrski
корупција	kɔrupt͡sija
населеност	nasɛlɛnɔst
мажу	maʒu
аклиматизација	aklimatizat͡sija
добрососедство	dɔbrɔsɔsɛtstvɔ
радиоемисија	radijɔɛmisija
маченце	mat͡ʃɛnt͡sɛ
нов	nɔf
чембалистка	t͡ʃɛmbalistka
погледнува	pɔɡlɛdnuva
реставраторски	rɛstavratɔrski
жиличка	ʒilit͡ʃka
тетратче	tɛtratt͡ʃɛ
недоволност	nɛdɔvɔɫnɔst
богобојазливост	bɔɡɔbɔjazlivɔst
готварски	ɡɔtvarski
волчјак	vɔɫt͡ʃjak
неприкладност	nɛprikɫadnɔst
заматеност	zamatɛnɔst
води	vɔdi
имиграција	imiɡrat͡sija
човекољубивост	t͡ʃɔvɛkɔlubivɔst
беспокојство	bɛspɔkɔjstvɔ
чајџилници	t͡ʃajd͡ʒiɫnit͡si
испреплетува	isprɛplɛtuva
бесповратност	bɛspɔvratnɔst
платформа	pɫatfɔrma
келнер	kɛɫnɛr
шверцер	ʃvɛrt͡sɛr
додиплува	dɔdipɫuva
реконструкциски	rɛkɔnstrukt͡siski
скијање	skijaɲɛ
момчештво	mɔmt͡ʃɛʃtvɔ
дрзок	dr̩zɔk
брцнува	br̩t͡snuva
букурешт	bukuɾɛʃt
почива	pɔt͡ʃiva
истовремено	istɔvrɛmɛnɔ
обзнани	ɔbznani
братуле	bratulɛ
премрзне	prɛmr̩znɛ
кугла	kuɡɫa
презаситеност	prɛzasitɛnɔst
загрмува	zaɡr̩muva
бирачки	biɾat͡ʃki
отвореност	ɔtvɔɾɛnɔst
барем	baɾɛm
неисплакнат	nɛispɫaknat
држи	dr̩ʒi
истоштува	istɔʃtuva
лондонка	ɫɔndɔŋka
акал	akaɫ
исполепи	ispɔlɛpi
ц	ǀ
парник	parnik
бројчаник	brɔjt͡ʃanik
докастри	dɔkastri
лихва	lixva
приклучница	prikɫut͡ʃnit͡sa
фрустрација	frustrat͡sija
постројка	pɔstrɔjka
подрасчисти	pɔdraʃt͡ʃisti
опседнува	ɔpsɛdnuva
крилест	krilɛst
станарство	stanarstvɔ
престанок	prɛstanɔk
сот	sɔt
заклопи	zakɫɔpi
прекрои	prɛkrɔi
цар	t͡sar
топка	tɔpka
вујнин	vujnin
чим	t͡ʃim
јазлест	jazlɛst
подискриви	pɔdiskrivi
кичма	kit͡ʃma
бајрактар	bajraktar
црнокос	t͡sr̩nɔkɔs
блазони	bɫazɔni
ебе	ɛbɛ
манџа	mand͡ʒa
еднаш	ɛdnaʃ
ампутација	amputat͡sija
непал	nɛpaɫ
мрсулавост	mr̩suɫavɔst
исцрнува	ist͡sr̩nuva
испобаци	ispɔbat͡si
искрснува	iskr̩snuva
деспотство	dɛspɔtstvɔ
сношти	snɔʃti
вечерва	vɛt͡ʃɛrva
водоводен	vɔdɔvɔdɛn
дегенерација	dɛɡɛnɛrat͡sija
одигрува	ɔdiɡruva
левица	lɛvit͡sa
оваа	ɔvaa
филм	fiɫm̩
галежност	ɡalɛʒnɔst
замок	zamɔk
документација	dɔkumɛntat͡sija
колоквиум	kɔɫɔkvijum
стрви	str̩vi
снегулки	snɛɡuɫki
занесеност	zanɛsɛnɔst
хроника	xrɔnika
ќеркичка	cɛrkit͡ʃka
столче	stɔɫt͡ʃɛ
флоскула	fɫɔskuɫa
смотра	smɔtra
мушама	muʃama
непоткупливост	nɛpɔtkuplivɔst
изнасее	iznasɛɛ
прерасне	prɛɾasnɛ
вранец	vranɛt͡s
засвирува	zasviɾuva
посмртница	pɔsmr̩tnit͡sa
годинава	ɡɔdinava
приштински	priʃtinski
закупнина	zakupnina
фереџе	fɛɾɛd͡ʒɛ
елеганција	ɛlɛɡant͡sija
готовински	ɡɔtɔvinski
приспособливост	prispɔsɔblivɔst
приврзаничка	privr̩zanit͡ʃka
праисторија	praistɔɾija
ослободителка	ɔsɫɔbɔditɛɫka
навасува	navasuva
лихварски	lixvarski
книгите	kniɡitɛ
испотпише	ispɔtpiʃɛ
стомак	stɔmak
кодификација	kɔdifikat͡sija
вџашеност	vd͡ʒaʃɛnɔst
ребренце	rɛbrɛnt͡sɛ
потонува	pɔtɔnuva
бруталност	brutaɫnɔst
дебитен	dɛbitɛn
завршува	zavr̩ʃuva
педерство	pɛdɛrstvɔ
пораснува	pɔrasnuva
басови	basɔvi
надареност	nadaɾɛnɔst
кметува	kmɛtuva
дека	dɛka
добројува	dɔbrɔjuva
кошмар	kɔʃmar
леукемија	lɛukɛmija
талка	taɫka
салатичка	saɫatit͡ʃka
брак	brak
гранитен	ɡranitɛn
условува	usɫɔvuva
плачливост	pɫat͡ʃlivɔst
збор	zbɔr
ранг	raŋk
мраз	mras
сигурносен	siɡurnɔsɛn
рејкјавик	rɛjkjavik
чудесно	t͡ʃudɛsnɔ
гомнарски	ɡɔmnarski
коцкичка	kɔt͡skit͡ʃka
кутре	kutrɛ
разочарувачки	razɔt͡ʃaruvat͡ʃki
евро	ɛvrɔ
десетка	dɛsɛtka
неисхранетост	nɛisxranɛtɔst
предродилен	prɛdrɔdilɛn
изгрејсонце	izɡrɛjsɔnt͡sɛ
излишност	izliʃnɔst
војводство	vɔjvɔtstvɔ
рамномерност	ramnɔmɛrnɔst
калорија	kaɫɔɾija
дабар	dabar
слаб	sɫap
риба	riba
послание	pɔsɫanijɛ
преврзе	prɛvr̩zɛ
хармонично	xarmɔnit͡ʃnɔ
орев	ɔɾɛf
аксиологија	aksijɔɫɔɡija
безвкусност	bɛsfkusnɔst
покривка	pɔkrifka
домесува	dɔmɛsuva
бетонски	bɛtɔnski
число	t͡ʃisɫɔ
бес	bɛs
грозјенце	ɡrɔzjɛnt͡sɛ
јогуртче	jɔɡurtt͡ʃɛ
картичка	kartit͡ʃka
зацвилува	zat͡sviɫuva
штитеничка	ʃtitɛnit͡ʃka
заштитнички	zaʃtitnit͡ʃki
трансфер	transfɛr
усте	ustɛ
потемнува	pɔtɛmnuva
брои	brɔi
маче	mat͡ʃɛ
вклопеност	fkɫɔpɛnɔst
лебарник	lɛbarnik
дренов	drɛnɔf
изнакраде	iznakradɛ
вршалка	vr̩ʃaɫka
сладоледџија	sɫadɔlɛdd͡ʒija
пооди	pɔɔdi
јајцевод	jajt͡sɛvɔt
трн	tr̩n̩
актуализација	aktualizat͡sija
известувачка	izvɛstuvat͡ʃka
опстанува	ɔpstanuva
претрпува	prɛtr̩puva
директорство	dirɛktɔrstvɔ
нимфа	niɱfa
сложен	sɫɔʒɛn
предомисли	prɛdɔmisli
простирка	prɔstirka
искашлува	iskaʃɫuva
ич	it͡ʃ
краткост	kratkɔst
видрин	vidrin
орница	ɔrnit͡sa
камо	kamɔ
престегне	prɛstɛɡnɛ
пишувате	piʃuvatɛ
побудалува	pɔbudaɫuva
застанува	zastanuva
металургија	mɛtaɫurɡija
восприемливост	vɔsprijɛmlivɔst
врзува	vr̩zuva
момчуле	mɔmt͡ʃulɛ
преживее	prɛʒivɛɛ
грутче	ɡrutt͡ʃɛ
кокори	kɔkɔɾi
заедно	zaɛdnɔ
окупација	ɔkupat͡sija
развратност	razvratnɔst
погуга	pɔɡuɡa
подзатегне	pɔdzatɛɡnɛ
платинест	pɫatinɛst
меѓувремен	mɛɟuvrɛmɛn
заменливост	zamɛnlivɔst
ресторан	rɛstɔran
неизлечивост	nɛizlɛt͡ʃivɔst
исцрта	ist͡sr̩ta
привршува	privr̩ʃuva
семиологија	sɛmijɔɫɔɡija
лизгавост	lizɡavɔst
соба	sɔba
лимарски	limarski
стиснатост	stisnatɔst
преграден	prɛɡradɛn
јад	jat
допадливост	dɔpadlivɔst
необузданост	nɛɔbuzdanɔst
нагласеност	naɡɫasɛnɔst
водите	vɔditɛ
подизрамни	pɔdizramni
засводи	zasvɔdi
педофилија	pɛdɔfilija
подосвести	pɔdɔsvɛsti
патопис	patɔpis
неправедност	nɛpravɛdnɔst
водине	vɔdinɛ
овци	ɔft͡si
самоубиство	samɔubistvɔ
побожност	pɔbɔʒnɔst
задоцнува	zadɔt͡snuva
испожени	ispɔʒɛni
опчинетост	ɔpt͡ʃinɛtɔst
понудува	pɔnuduva
отпадник	ɔtpadnik
лулиња	ɫuliɲa
прокобник	prɔkɔbnik
клуч	kɫut͡ʃ
измерува	izmɛɾuva
обемност	ɔbɛmnɔst
фазанов	fazanɔf
ноџе	nɔd͡ʒɛ
рицарски	rit͡sarski
лимета	limɛta
бочварство	bɔt͡ʃvarstvɔ
незапирливост	nɛzapirlivɔst
ништожност	niʃtɔʒnɔst
недобро	nɛdɔbrɔ
ракче	rakt͡ʃɛ
осакатува	ɔsakatuva
тајност	tajnɔst
пневмонија	pnɛvmɔnija
шумоли	ʃumɔli
едноставност	ɛdnɔstavnɔst
мливо	mlivɔ
сапунџија	sapund͡ʒija
панкерка	paŋkɛrka
книги	kniɡi
непривлечност	nɛprivlɛt͡ʃnɔst
безутешност	bɛzutɛʃnɔst
сликовит	slikɔvit
забутува	zabutuva
спинета	spinɛta
патка	patka
емисија	ɛmisija
бушавост	buʃavɔst
јазичест	jazit͡ʃɛst
мажите	maʒitɛ
женкарство	ʒɛŋkarstvɔ
замерка	zamɛrka
грбовник	ɡr̩bɔvnik
надживува	nadʒivuva
нагрдува	naɡr̩duva
сопруга	sɔpruɡa
сознание	sɔznanijɛ
аорист	aɔɾist
јајценце	jajt͡sɛnt͡sɛ
непостојаност	nɛpɔstɔjanɔst
дообликува	dɔɔblikuva
јазици	jazit͡si
балистика	balistika
невалидност	nɛvalidnɔst
кавалче	kavaɫt͡ʃɛ
предизвика	prɛdizvika
дотовари	dɔtɔvaɾi
убиец	ubijɛt͡s
руски	ruski
збеснува	zbɛsnuva
син	sin
дим	dim
подзапржи	pɔdzapr̩ʒi
среден	srɛdɛn
ларвин	ɫarvin
испопродаде	ispɔprɔdadɛ
истребувачка	istrɛbuvat͡ʃka
срочиште	srɔt͡ʃiʃtɛ
доселеничка	dɔsɛlɛnit͡ʃka
козметичар	kɔzmɛtit͡ʃar
јанѕа	jand͡za
дообразложува	dɔɔbrazɫɔʒuva
испоказни	ispɔkazni
синџир	sind͡ʒir
извичен	izvit͡ʃɛn
денарски	dɛnarski
проневера	prɔnɛvɛɾa
будалче	budaɫt͡ʃɛ
мачкиште	mat͡ʃkiʃtɛ
неисчистен	nɛiʃt͡ʃistɛn
папок	papɔk
недогорен	nɛdɔɡɔɾɛn
долу	dɔɫu
патлиџанче	patlid͡ʒant͡ʃɛ
бокс	bɔks
книжар	kniʒar
летоска	lɛtɔska
неудопство	nɛudɔpstvɔ
накосеност	nakɔsɛnɔst
автоматизација	aftɔmatizat͡sija
срцуле	sr̩t͡sulɛ
споредливост	spɔrɛdlivɔst
куп	kup
ѓеврек	ɟɛvrɛk
пот	pɔt
езотеричност	ɛzɔtɛɾit͡ʃnɔst
накитува	nakituva
двигател	dviɡatɛɫ
мостра	mɔstra
ежов	ɛʒɔf
стравува	sɛstravuva
самун	samun
барови	baɾɔvi
залајува	zaɫajuva
хистологија	xistɔɫɔɡija
вжештеност	vʒɛʃtɛnɔst
бишкечки	biʃkɛt͡ʃki
врвнојазичен	vr̩vnɔjazit͡ʃɛn
ролја	rɔlja
тровче	trɔft͡ʃɛ
бессодржајност	bɛssɔdr̩ʒajnɔst
вежбанка	vɛʒbaŋka
пребои	prɛbɔi
самоуштво	samɔuʃtvɔ
луле	ɫulɛ
ѕвечи	d͡zvɛt͡ʃi
наместува	namɛstuva
менталитет	mɛntalitɛt
платонски	pɫatɔnski
тетинов	tɛtinɔf
офтика	ɔftika
кавал	kavaɫ
износува	iznɔsuva
изгладнетост	izɡɫadnɛtɔst
намамува	namamuva
гази	ɡazi
ненаметливост	nɛnamɛtlivɔst
пакетче	pakɛtt͡ʃɛ
аеронаутика	aɛɾɔnautika
горе	ɡɔɾɛ
прифали	prifali
вагон	vaɡɔn
излезен	izlɛzɛn
март	mart
гребнува	ɡrɛbnuva
филолог	fiɫɔɫɔk
вон	vɔn
ресто	rɛstɔ
зора	zɔɾa
арнаутка	arnautka
двојност	dvɔjnɔst
поле	pɔlɛ
аналитичарка	analitit͡ʃarka
џогер	d͡ʒɔɡɛr
златарски	zɫatarski
мрачност	mrat͡ʃnɔst
ламба	ɫamba
белогазец	bɛɫɔɡazɛt͡s
исполнителност	ispɔɫnitɛɫnɔst
инспекторски	inspɛktɔrski
липов	lipɔf
виенски	vijɛnski
храна	xrana
свирче	svirt͡ʃɛ
придушувач	priduʃuvat͡ʃ
обезвучува	ɔbɛzvut͡ʃuva
книжен	kniʒɛn
новост	nɔvɔst
кошница	kɔʃnit͡sa
група	ɡrupa
бесплатност	bɛspɫatnɔst
имунологија	imunɔɫɔɡija
исончаност	isɔnt͡ʃanɔst
испопрати	ispɔprati
влада	vɫada
џелат	d͡ʒɛɫat
сторител	stɔɾitɛɫ
влакненце	vɫaknɛnt͡sɛ
подрасплете	pɔdrasplɛtɛ
поглуми	pɔɡɫumi
американец	amɛrikanɛt͡s
надразнетост	nadraznɛtɔst
прегрнува	prɛɡr̩nuva
десен	dɛsɛn
исклучителност	iskɫut͡ʃitɛɫnɔst
менторка	mɛntɔrka
реинкарнација	rɛiŋkarnat͡sija
цвеќенце	t͡svɛcɛnt͡sɛ
велепредавство	vɛlɛprɛdafstvɔ
здравје	zdravjɛ
коњарство	kɔɲarstvɔ
тиквичка	tikvit͡ʃka
филогенетски	fiɫɔɡɛnɛtski
јорган	jɔrɡan
солун	sɔɫun
ракија	rakija
википедија	vikipɛdija
задновенечен	zadnɔvɛnɛt͡ʃɛn
гуштерче	ɡuʃtɛrt͡ʃɛ
комшилак	kɔmʃiɫak
скитнички	skitnit͡ʃki
критичарски	kritit͡ʃarski
фотелја	fɔtɛlja
човештво	t͡ʃɔvɛʃtvɔ
лелека	lɛlɛka
гласје	ɡɫasjɛ
трагичност	traɡit͡ʃnɔst
поленце	pɔlɛnt͡sɛ
отпечати	ɔtpɛt͡ʃati
несигурност	nɛsiɡurnɔst
пресоли	prɛsɔli
подиспегла	pɔdispɛɡɫa
пасошки	pasɔʃki
регистрациски	rɛɡistrat͡siski
жабарка	ʒabarka
превие	prɛvijɛ
запазува	zapazuva
лажливост	ɫaʒlivɔst
техеран	tɛxɛɾan
променливост	prɔmɛnlivɔst
умотворба	umɔtvɔrba
осум	ɔsum
предлог	prɛdɫɔk
деветмина	dɛvɛtmina
чистота	t͡ʃistɔta
учителство	ut͡ʃitɛɫstvɔ
јавор	javɔr
снаин	snain
варварство	varvarstvɔ
боица	bɔit͡sa
изнервираност	iznɛrviɾanɔst
херцег	xɛrt͡sɛk
докупува	dɔkupuva
