ayam	ʔajɐm
eredera	ʔeɾedeɾɐ
bosing	bosɪŋ
arcega	ʔɐɾseɰɐ
ga	ɡɐ
andap	ʔɐndap
kilusan	kxilʊsan
gansa	ɡɐnsaʔ
laguslos	lɐɰʊslos
italyano	ʔɪtɐljano
luwa	lwaʔ
banta	bantɐʔ
andal	ʔɐndal
lampaso	lɐmpaso
ilao	ʔilaʊ̯
monako	monɐxo
agaran	ʔaɰaɾɐn
buraot	bʊɾaʔot
magatas	mɐɰatɐs
hawi	hawɪʔ
lanao	lanaʊ̯
bagwis	bɐɡwis
bohaghag	bohɐɡhaɡ
bakulo	baxʊlo
kataga	kxɐtɐɰaʔ
haling	halɪŋ
konyo	kxoɲo
indonesa	ʔɪndonesɐ
teritoryo	teɾɪtoɾjo
buboy	buboɪ̯
bilas	bɪlas
miklawas	mɪklawɐs
manligaw	mɐnliɰaʊ̯
mamintog	mɐmɪntoɡ
apuybilos	ʔɐpʊɪbilos
bagahe	bɐɰahe
karamihan	kxɐɾɐmihɐn
bitin	bitɪn
apganistan	ʔɐpɡɐnɪstan
magnipikador	mɐɡnɪpɪxɐdoɾ
balanan	bɐlanɐn
dragon	dɾɐɰon
bihag	bihɐɡ
baldahin	bɐldɐhin
rehas	ɾehɐs
kupido	kxupɪdo
kutsara	kxʊt͡ʃaɾɐ
sasakyan	sɐsɐkjan
mijares	mɪd͡ʒaɾes
siguraduhin	sɪɰʊɾɐduhɪn
bukong	bʊxoŋ
arkanghel	ʔɐɾkɐŋhel
bukalkal	bʊxɐlkal
aristoteles	ʔɐɾɪstoteles
kubeta	kxʊbetɐ
bayan	bajɐn
bahasa	bɐhasɐ
kupon	kxʊpon
boykot	boɪ̯xot
pitumbuko	pɪtumbʊxo
alkaldesa	ʔɐlkɐldesɐ
bihasa	bɪhasɐ
yena	jenɐ
habagat	hɐbaɰɐt
palabasan	palɐbasɐn
labinlima	lɐbinlɪma
armadilyo	ʔɐɾmɐdiljo
isa	ʔɪsa
bituin	bɪtuin
estapador	ʔestɐpɐdoɾ
lamay	lamaɪ̯
literasya	lɪteɾaʃɐ
espasyo	ʔespaʃo
pistola	pɪstolɐ
bumbunan	bumbʊnan
dalawit	dɐlawɪt
alamin	ʔɐlɐmin
epiko	ʔepɪxo
hamil	hɐmil
dugo	dʊɰoʔ
abukanin	ʔɐbʊxanɪn
baitang	bɐʔitɐŋ
padilla	pɐdiljɐ
tina	tinɐʔ
lalin	lalɪn
lagod	laɰod
dinggin	dɪŋɡin
arabo	ʔɐɾabo
magsimba	mɐɡsɪmba
palaisipan	pɐlaɪ̯sɪpan
mabulo	mɐbulo
bihilante	bɪhɪlante
manggagantso	mɐŋɡɐɰant͡ʃo
dayanghirang	dɐjɐŋhiɾɐŋ
ginaw	ɡɪnaʊ̯
bumili	bʊmɪli
abangan	ʔabaŋɐn
magkeyk	mɐɡkeɪ̯k
gagad	ɡɐɰad
espiritwalidad	ʔespɪɾɪtwɐlɪdad
libang	lɪbaŋ
gulang	ɡulɐŋ
hibi	hibɪ
kamukha	kxɐmʊkhaʔ
fajardo	pɐhaɾdo
baka	bɐxaʔ
benggala	beŋɡalɐ
sigwasan	sɪɡwasɐn
aguhon	ʔɐɰʊhon
gitisig	ɡɪtisɪɡ
benepisyo	benepiʃo
balda	bɐlda
danggit	dɐŋɡit
labanos	labɐnos
biso	bɪsoʔ
salvatierra	salbɐt͡ʃeɾɐ
patiag	pat͡ʃɐɡ
laspag	lɐspaɡ
estabillo	ʔestɐbillo
tupad	tʊpad
pagbati	pɐɡbɐti
mapalad	mɐpalɐd
batid	bɐtid
magdemanda	mɐɡdemandɐ
lakan	laxɐn
forteza	foɾtesɐ
tipak	tɪpak
hipik	hɪpik
paupahan	paʊ̯pɐhan
impapawid	ʔɪmpɐpɐwid
iwal	ʔiwɐl
lutang	lutɐŋ
karampatan	kxɐɾɐmpatɐn
lulong	lʊloŋ
batallones	bɐtɐllones
tumira	tʊmɪɾa
iilan	ʔɪʔɪlan
makunat	mɐxunɐt
magbilad	mɐɡbɪlad
bigay	bɪɰaɪ̯
kayamanan	kxɐjɐmanɐn
abelgas	ʔɐbelɡɐs
ebakwasyon	ʔebɐkwɐʃon
mabula	mɐbʊlaʔ
arnis	ʔɐɾnis
kabukiran	kxɐbʊxiɾɐn
lising	lisɪŋ
balinghoy	bɐlɪŋhoɪ̯
limita	lɪmɪta
leksikograpiya	leksɪxoɡɾɐpiɐ
barcelona	bɐɾselonɐ
manloko	mɐnloxo
kamyas	kxɐmjas
halal	hɐlal
balibat	bɐlɪbat
diitan	diʔɪtɐn
panlaqui	pɐnlaxɪ
eleksiyon	ʔelekʃon
bagko	bɐɡkoʔ
alingawngaw	ʔɐlɪŋaʊ̯ŋaʊ̯
indotsina	ʔɪndot͡ʃinɐ
inampalan	ʔɪnɐmpalɐn
ipabasa	ʔɪpɐbɐsaʔ
agila	ʔaɰɪla
antot	ʔɐntot
pamaypay	pɐmaɪ̯paɪ̯
hinaw	hɪnaʊ̯
makiko	mɐxiko
insensaryo	ʔɪnsensaɾjo
ilohikal	ʔɪlohɪxal
galang	ɡalɐŋ
binabae	bɪnɐbɐʔe
bulutong	bʊlutoŋ
abayan	ʔɐbɐjan
kortina	kxoɾtinɐ
lamasin	lɐmasɪn
bululos	bʊlʊlos
tago	taɰoʔ
balibol	balɪbol
kinang	kxɪnaŋ
linggal	lɪŋɡal
wika	wixɐʔ
lampa	lɐmpa
inggitero	ʔɪŋɡɪteɾo
dighal	dɪɡhal
tsikinini	t͡ʃɪxɪninɪʔ
linggaw	lɪŋɡaʊ̯
sirwelas	sɪɾwelɐs
bataan	bɐtaʔɐn
letmaku	letmɐxu
abejuela	ʔɐbehuelɐ
lumamig	lʊmɐmiɡ
makaluma	mɐxɐlumɐʔ
layas	lajɐs
mabilis	mɐbɪlis
daluro	dɐlʊɾoʔ
kerry	kxeɾɾɪ
lugay	luɰaɪ̯
hinayang	hɪnajɐŋ
corpus	kxoɾpʊs
ispanismo	ʔɪspɐnismo
tangkal	tɐŋkal
bakahan	bɐxɐhan
lasing	lɐsiŋ
tiyaga	tɪɐɰaʔ
bangon	bɐŋon
kagaw	kxaɰaʊ̯
alakdan	ʔɐlɐkdan
akuin	ʔɐxuʔɪn
pagtaluhan	pɐɡtɐluhɐn
pamamaril	pɐmɐmɐɾil
sanggol	sɐŋɡol
jacinto	hɐsinto
katolisismo	kxɐtolɪsismo
batuta	bɐtutɐʔ
sibug	sibʊɡ
ingay	ʔiŋaɪ̯
gayari	ɡɐjɐɾi
ipaayos	ʔɪpɐʔajos
dula	dulɐʔ
laylay	laɪ̯laɪ̯
paraan	pɐɾɐʔan
manganak	mɐŋɐnak
sisid	sisɪd
inaanak	ʔɪnaʔɐnak
lugnas	lʊɡnas
busisi	bʊsɪsiʔ
aborsyonista	ʔɐboɾʃonistɐ
makipagbati	mɐxɪpɐɡbɐtiʔ
liham	lihɐm
aktibismo	ʔɐktɪbismo
balatik	bɐlatɪk
pinlandiya	pɪnland͡ʒa
dagalwak	dɐɰɐlwak
pitumpu	pɪtumpuʔ
bagoong	bɐɰoʔoŋ
lizada	lɪsadɐ
lapag	lɐpaɡ
balintunay	bɐlɪntunaɪ̯
alin	ʔɐlin
dilis	dɪlis
adya	ʔɐd͡ʒa
salap	sɐlap
dawit	dawɪt
himlay	hɪmlaɪ̯
agwa	ʔaɡwɐ
tuwalya	twɐljɐ
mahalay	mɐhalaɪ̯
elizaga	ʔelɪsaɰɐ
kaibigan	kxaibɪɰan
hagok	haɰok
igorot	ʔɪɰoɾot
liha	lɪha
hitad	hɪtad
hamon	hɐmon
dalita	dɐlɪtaʔ
duhasik	dʊhasɪk
guyabano	ɡʊjɐbano
miksipat	mɪksɪpat
siyete	ʃete
dagison	dɐɰison
mangalunya	mɐŋɐlʊɲaʔ
barbosa	bɐɾbosɐ
dumog	dʊmoɡ
gets	ɡet͡s
lamira	lɐmɪɾaʔ
kaladkad	kxɐlɐdkad
batag	batɐɡ
anaman	ʔɐnɐman
latak	latɐk
lantot	lɐmbiŋ
himbabahay	hɪmbɐbahaɪ̯
juarez	hwɐɾes
babala	bɐbɐlaʔ
marcial	maɾʃɐl
manlaban	mɐnlɐban
espanya	ʔespaɲɐ
imbudo	ʔɪmbudo
agas	ʔaɰɐs
cabahug	kxɐbahʊɡ
lublob	lʊblob
alegre	ʔɐleɡɾe
bilang	bilɐŋ
halubid	hɐlʊbid
agwa	ʔɐɡwa
gagamba	ɡɐɰɐmba
ehersito	ʔeheɾsɪto
pundasyon	pʊndaʃon
salud	salʊd
loko	loxo
lupig	lupɪɡ
pagkabuhay	pɐɡkɐbuhaɪ̯
ligat	liɰɐt
bala	balɐʔ
balidasyon	bɐlɪdɐʃon
tindig	tɪndiɡ
dali	dalɪʔ
galak	ɡɐlak
lingo	lɪŋo
pinya	pɪɲa
tanauan	tɐnʔawɐn
determinasyon	deteɾmɪnɐʃon
hasik	hɐsik
mabini	mɐbinɪʔ
dalubhayupan	dɐlubhɐjupɐn
kolonyalismo	kxoloɲɐlismo
lagmak	lɐɡmak
mallari	mɐljaɾɪ
lugo	lʊɰo
hilaw	hɪlaʊ̯
alaskador	ʔɐlɐskɐdoɾ
galauran	ɡɐlɐʔuɾɐn
agas	ʔɐɰas
lathala	lɐthɐlaʔ
alusema	ʔɐlʊsemɐ
tambakol	tɐmbaxol
langkaan	lɐŋkaʔɐn
lubigan	lʊbiɰɐn
inaaban	ʔɪnɐʔɐban
aburido	ʔɐbʊɾido
himagsikan	hɪmɐɡsixɐn
kaliwanagan	kxɐlɪwɐnaɰɐn
krisantemo	kxɾɪsɐntemo
sakit	sɐxit
saba	sɐba
dagos	daɰos
lugi	luɰɪʔ
asyenda	ʔɐʃendɐ
are	ʔɐɾe
bumerang	bʊmeɾaŋ
bali	bɐliʔ
iyan	ʔɪan
dagat	daɰɐt
beysbol	beɪ̯sbol
kugon	kxʊɰon
magbubukid	mɐɡbʊbʊxid
amag	ʔamɐɡ
mahinay	mɐhinaɪ̯
wu	wʊ
alalay	ʔɐlɐlaɪ̯
koronahan	kxoɾonahɐn
tunog	tʊnoɡ
ahit	ʔɐhit
tanso	tɐnsoʔ
hilom	hɪlom
lukban	lukbɐn
maghangad	mɐɡhɐŋad
limbay	lɪmbaɪ̯
balabiga	bɐlɐbiɰɐʔ
eksaminador	ʔeksɐmɪnɐdoɾ
hikbi	hɪkbiʔ
ishay	ʔishaɪ̯
lumikha	lʊmɪkhaʔ
belhiko	belhɪxo
historyador	hɪstoɾjɐdoɾ
jumarang	d͡ʒʊmaɾɐŋ
dali	dalɪ
independensiya	ʔɪndependenʃa
siksin	sɪksin
tiyan	t͡ʃan
abuhin	ʔɐbʊhin
mabasa	mɐbɐsaʔ
danumsigwasan	dɐnʊmsɪɡwasɐn
linatsay	lɪnɐt͡ʃaɪ̯
dakota	dɐxotɐ
bangin	bɐŋin
anit	ʔɐnit
takahashi	tɐxɐhaʃɪ
impis	ʔɪmpis
cayetano	kxɐjetano
lahid	lahɪd
garahe	ɡɐɾahe
ilegalidad	ʔɪleɰɐlɪdad
hingan	hɪŋan
alkalde	ʔɐlkalde
ideal	ʔɪdejal
batangueño	bɐtɐŋɡeɲo
haruko	hɐɾuxo
dumura	dʊmʊɾaʔ
elegansiya	ʔeleɰanʃa
biskondesa	bɪskondesɐ
gumiran	ɡʊmiɾɐn
eliseo	ʔelɪsejo
leyte	leɪ̯te
halikan	hɐlɪxan
pulikat	pʊlixɐt
balubad	bɐlubɐd
lumapirot	lʊmɐpɪɾot
haha	hɐhaʔ
grasa	ɡɾasɐ
mabali	mɐbalɪʔ
astrolohiya	ʔɐstɾolohiɐ
baybayin	baɪ̯bɐjin
dalao	dalaʊ̯
dalawa	dɐlɐwa
libano	libɐno
gahaman	ɡɐhɐman
bintana	bɪntanɐʔ
batanes	bɐtanes
alabwab	ʔɐlɐbwab
abutan	ʔɐbutɐn
bagnet	bɐɡnet
angal	ʔɐŋal
asog	ʔɐsoɡ
dacanay	dɐxanaɪ̯
bakay	baxaɪ̯
dilikas	dɪlɪxas
gerilya	ɡeɾiljɐ
dismayado	dɪsmɐjado
dini	dinɪ
managinip	mɐnɐɰinɪp
capitan	kxɐpɪtan
antay	ʔɐntaɪ̯
sadie	seɪ̯dɪ
dukwang	dʊkwaŋ
hikahos	hɪxahos
buyo	bʊjo
hilam	hilɐm
kalaliman	kxɐlɐlimɐn
hapit	hɐpit
perya	peɾjɐ
linya	liɲɐ
lungaw	lʊŋaʊ̯
magdeliryo	mɐɡdeliɾjo
replyan	ɾeplɐjan
samahan	sɐmahɐn
sakali	sɐxalɪʔ
hinanakit	hɪnɐnɐxit
laman	lɐman
magbakal	mɐɡbaxɐl
lagabog	lɐɰɐboɡ
epidemya	ʔepɪdemjɐ
mayuga	mɐjuɰɐ
olongapo	ʔoloŋɐpo
abucay	ʔɐbuxaɪ̯
canilao	kxɐnilaʊ̯
gapang	ɡɐpaŋ
halang	hɐlaŋ
gasera	ɡɐseɾɐ
buhat	bʊhat
kapabayaan	kxɐpɐbɐjaan
mutuc	mutʊk
hindi	hɪndiʔ
handog	hɐndoɡ
pasonanca	pɐsonaŋkɐ
varias	baɾɪɐs
magbanda	mɐɡbandɐ
bodka	bodkɐ
dyudo	d͡ʒudo
pulo	pʊloʔ
akusado	ʔɐxʊsado
hikmat	hɪkmat
konotasyon	kxonotɐʃon
importante	ʔɪmpoɾtante
pinagsamantalahan	pɪnɐɡsɐmɐntɐlɐhan
bata	bɐta
aguilera	ʔɐɰɪleɾɐ
planeta	plɐnetɐ
kuha	kxuhɐʔ
krimen	kxɾɪmen
bugayong	bʊɰajoŋ
filipinas	fɪlɪpinɐs
bareta	bɐɾetɐ
kunwari	kxʊnwɐɾiʔ
pawis	pɐwis
initkapnayan	ʔinɪtkɐpnajɐn
lapi	lapɪʔ
batayan	bɐtɐjan
alipunga	ʔɐlɪpʊŋa
dalubwika	dɐlubwixɐʔ
baso	bɐso
huni	hunɪ
nilabasan	nɪlɐbɐsan
pako	paxoʔ
pulubi	pʊlubɪ
tala	tɐlaʔ
lamesa	lɐmesɐ
segismundo	seɰɪsmundo
k	kxeɪ̯
belarus	belaɾʊs
panelo	pɐnelo
tibig	tɪbiɡ
bikolano	bɪxolano
limas	lɪmas
ybañez	ʔɪbaɲes
pastol	pɐstol
korupsiyon	kxoɾʊpʃon
damag	dɐmaɡ
lila	lilɐ
lahok	lɐhok
baksa	bɐksaʔ
sahog	sɐhoɡ
agnas	ʔɐɡnas
bahing	bɐhiŋ
hilahil	hɪlahɪl
pangalan	pɐŋalɐn
gusto	ɡʊsto
alabastro	ʔɐlɐbastɾo
habonera	hɐboneɾɐ
hakbang	hɐkbaŋ
awak	ʔawɐk
butigan	bʊtɪɰan
pamahiin	pamɐhɪʔin
bayad	bajɐd
mental	mentɐl
dayami	dɐjamɪ
vitales	bɪtales
alpabeto	ʔɐlpɐbeto
darasigsukat	dɐɾɐsɪɡsuxɐt
lindol	lɪndol
algodon	ʔɐlɡodon
lee	lɪ
magkakarne	mɐɡkɐxɐɾne
masabon	masɐbon
bibingka	bɪbiŋkɐ
bulalakaw	bʊlɐlaxaʊ̯
mananakop	mɐnɐnaxop
pintuan	pɪntuʔɐn
quiambao	kjɐmbaʊ̯
inisyatiba	ʔɪnɪʃɐtibɐ
intensiyonal	ʔɪntensɪonal
bakbak	bɐkbak
laping	lɐpiŋ
imbalido	ʔɪmbalɪdo
direktoryo	dɪɾektoɾjo
santiago	sɐnt͡ʃaɰo
tirik	tiɾɪk
igat	ʔiɰɐt
imbentaryo	ʔɪmbentaɾjo
dayap	dajɐp
hugasan	hʊɰɐsan
bagbag	bɐɡbaɡ
gulanit	ɡʊlɐnit
konsehal	kxonsehal
ipakuha	ʔɪpɐxuhɐʔ
beripika	beɾɪpɪxa
galanggalangan	ɡɐlaŋɡɐlɐŋan
krus	kxɾʊs
konduktor	kxondʊktoɾ
reaño	ɾeɐɲo
bahin	bɐhiŋ
luslos	lʊslos
kidnaper	kxɪdnapeɾ
kumuyakoy	kxʊmʊjaxoɪ̯
bardagol	bɐɾdɐɰol
alabok	ʔɐlɐbok
bituin	bɪtuʔɪn
bingot	bɪŋot
apela	ʔɐpela
abno	ʔɐbnoʔ
bumiyahe	bʊmjɐhe
atig	ʔɐtiɡ
akin	ʔaxɪn
apresasyon	ʔɐpɾesɐʃon
luwas	lwas
itapon	ʔɪtɐpon
pipi	pɪpi
makiapid	mɐxiʔɐpid
pua	pʊɐ
kaedad	kxɐʔedad
bandeha	bɐndehɐ
lapad	lɐpad
busbos	bʊsbos
balanoy	bɐlanoɪ̯
labinlima	lɐbɪnlɪma
lutas	lʊtas
desesperasyon	desespeɾɐʃon
abwab	ʔɐbwab
linib	lɪnib
gera	ɡeɾɐ
lampik	lɐmpik
interogasyon	ʔɪnteɾoɰɐʃon
rekisito	ɾexɪsito
yaeko	jaexo
heograpiko	heoɡɾapɪxo
mamihasa	mɐmɪhasɐ
luto	lʊtoʔ
ananapla	ʔɐnɐnɐpla
butete	bʊteteʔ
kabit	kxɐbit
inag	ʔinɐɡ
maglarawan	mɐɡlɐɾawɐn
duryan	dʊɾjan
bagting	bɐɡtiŋ
galing	ɡɐliŋ
sumadsad	sʊmadsɐd
abyarin	ʔɐbjɐɾin
maangas	mɐʔɐŋas
manok	mɐnok
barong	bɐɾoŋ
dating	dɐtiŋ
akawntant	ʔɐxaʊ̯ntɐnt
cabanlit	kxɐbanlɪt
kural	kxʊɾal
gahak	ɡahɐk
ambulansiya	ʔɐmbʊlanʃa
luma	lʊma
hinay	hinaɪ̯
lumon	lʊmon
gipit	ɡɪpit
biyernes	bjeɾnes
cariñosa	kxɐɾɪɲosɐ
anubing	ʔɐnubɪŋ
kapre	kxapɾe
magalona	mɐɰɐlonɐ
lahoy	lahoɪ̯
lumay	lumaɪ̯
lalawigan	lɐlɐwiɰɐn
manarang	mɐnaɾɐŋ
luping	lupɪŋ
rehimen	ɾehɪmen
kapitan	kxɐpitɐn
sabana	sɐbanɐ
seminar	seminɐɾ
kabatuganan	kxɐbɐtʊɰanɐn
historya	hɪstoɾjɐ
alangilan	ʔɐlɐŋilɐn
magbukid	mɐɡbuxɪd
hambalos	hɐmbalos
ligwan	lɪɡwan
bangaw	bɐŋaʊ̯
gunimbilang	ɡʊnɪmbilɐŋ
mabait	mɐbɐʔit
dimagiba	dɪmɐɰibɐ
ongkiko	ʔoŋkixo
agaas	ʔaɰɐɐs
barya	bɐɾja
magbati	mɐɡbɐtiʔ
aliw	ʔɐliʊ̯
ha	hɐ
piloto	pɪloto
yosi	josɪ
isalba	ʔɪsɐlba
habag	hɐbaɡ
konstelasyon	kxonstelɐʃon
abitsuwela	ʔɐbɪt͡ʃʊelɐ
matauhan	mɐtɐʔuhɐn
consolacion	kxonsolɐʃon
tamis	tɐmis
maangas	mɐʔaŋɐs
pusod	pʊsod
eskuwela	ʔeskwelɐ
abrasyete	ʔɐbɾɐʃete
koreograpiya	kxoɾeoɡɾɐpiɐ
pulutan	pʊlutɐn
himbing	hɪmbiŋ
abutin	ʔɐbutɪn
hithitin	hɪthɪtin
agosto	ʔɐɰosto
likop	lɪxop
gayat	ɡajɐt
blusa	blusɐ
abuhan	ʔɐbʊhan
gasolina	ɡɐsolinɐ
gangsa	ɡɐŋsa
luwat	lwat
kostado	kxostado
abuhin	ʔabʊhin
adorador	ʔɐdoɾɐdoɾ
mananahi	mɐnɐnɐhiʔ
bumatik	bʊmɐtik
lunggati	lʊŋɡɐtiʔ
bingi	bɪŋiʔ
deang	d͡ʒɐŋ
diktadura	dɪktɐduɾɐ
bisita	bɪsitɐ
batyaw	bɐt͡ʃaʊ̯
bitso	bɪt͡ʃo
oportunista	ʔopoɾtʊnistɐ
gitna	ɡɪtnaʔ
lima	lɪma
ilokano	ʔɪloxano
limahi	lɪmɐhiʔ
indahin	ʔɪndɐhin
tumukso	tʊmʊkso
himpapawid	hɪmpɐpɐwid
kiling	kxilɪŋ
pizarro	pɪsaɾɾo
harapan	haɾapɐn
nabasa	nabasɐ
himas	himɐs
integridad	ʔɪnteɡɾɪdad
hintutubi	hɪntʊtʊbi
daan	dɐʔan
lathala	lɐthalɐʔ
ermitanyo	ʔeɾmɪtaɲo
eksklusibo	ʔeksklʊsibo
pagala	pɐɰalɐʔ
bahon	bɐhon
kalawang	kxɐlawɐŋ
aluminyo	ʔɐlʊmiɲo
macapagal	mɐxɐpɐɰal
baklita	bɐklitɐ
sirain	sɪɾaʔɪn
ama	ʔɐma
palasihayanan	pɐlasihɐjɐnan
tagunya	tɐɰʊɲaʔ
ipagsanggalang	ʔɪpɐɡsɐŋɡɐlaŋ
klinik	kxlɪnɪk
kakanin	kxɐxɐnin
isaw	ʔisaʊ̯
likaw	lɪxaʊ̯
demandado	demɐndado
abat	ʔɐbat
biskonde	bɪskonde
lingguwistika	lɪŋɡwistɪxa
hinhin	hɪŋhin
dapit	dapɪt
laksa	lɐksaʔ
ekipahe	ʔexɪpahe
binsa	bɪnsaʔ
dukot	duxot
hinggigitna	hɪŋɡɪɰɪtnaʔ
ambisyosa	ʔɐmbɪʃosɐ
brad	bɾɐd
anasan	ʔanasɐn
makahiya	mɐxɐhɪaʔ
balaid	bɐlɐʔid
alimuom	ʔɐlɪmʊʔom
anga	ʔɐŋa
baat	bɐʔat
hipno	hɪpno
kadyos	kxɐd͡ʒos
butse	bʊt͡ʃe
gumaling	ɡɐɰɐliŋ
aguha	ʔɐɰuhɐ
lunak	lʊnak
kaha	kxahɐ
magpasubasta	mɐɡpɐsʊbastɐ
pelikula	pelixʊla
duhagi	dʊhaɰɪ
batak	bɐtak
halimaw	hɐlimaʊ̯
bahaghari	bɐhɐɡhaɾɪʔ
olaivar	ʔolaɪ̯bɐɾ
kabuluhan	kxɐbʊlʊhan
dipasupil	dɪpɐsupɪl
alkatsopas	ʔɐlkɐt͡ʃopɐs
batukan	bɐtuxɐn
laro	lɐɾo
bartender	bɐɾtendeɾ
katangahan	kxɐtɐŋɐhan
elektrisista	ʔelektɾɪsistɐ
mamaril	mɐmaɾɪl
dapa	dɐpaʔ
imprastruktura	ʔɪmpɾɐstɾʊktuɾɐ
basanlot	bɐsɐnlot
lubyak	lʊbjak
lipas	lɪpas
hatsing	hɐt͡ʃiŋ
kanyon	kxɐɲon
martilyo	mɐɾtiljo
awat	ʔɐwat
loterya	loteɾjɐ
kunan	kxunɐn
balisacan	bɐlɪsaxɐn
dayuhan	dɐjuhɐn
hirap	hiɾɐp
anghit	ʔɐŋhit
puday	pʊdaɪ̯
haligi	hɐliɰɪ
halili	hɐlɪli
botika	botixɐ
ginoo	ɡɪnoʔo
haliryo	hɐlɪɾjo
lagumlalangin	lɐɰʊmlalaŋɪn
lona	lonɐ
langkayan	lɐŋkajɐn
kurbata	kxʊɾbatɐ
demokrasya	demokɾaʃɐ
istratehiya	ʔɪstɾɐtehiɐ
hati	hatɪʔ
basta	bastɐ
agulo	ʔɐɰulo
balakil	bɐlaxɪl
butig	bʊtiɡ
igop	ʔiɰop
gulpi	ɡʊlpi
laki	lɐxi
niyo	ɲo
ibayo	ʔɪbajo
bertdey	beɾtdeɪ̯
intensiyon	ʔɪntenʃon
himok	hɪmok
lamba	lɐmbaʔ
hardin	hɐɾdin
alagad	ʔɐlɐɰad
igkas	ʔɪɡkas
pagpag	pɐɡpaɡ
lagusan	lɐɰʊsan
balag	bɐlaɡ
tiburcio	tɪbuɾʃo
batikos	bɐtixos
kamandag	kxɐmɐndaɡ
budhi	bʊdhiʔ
kusina	kxʊsinɐ
liderato	lɪdeɾato
halungkat	hɐlʊŋkat
itsura	ʔɪt͡ʃuɾɐ
guwano	ɡwɐno
pilantik	pɪlɐntik
halata	hɐlɐtaʔ
estampa	ʔestampɐ
pagdudahan	pɐɡdʊdahɐn
palafox	pɐlafoks
laas	lɐʔas
bayag	bɐjaɡ
paguia	paɡjɐ
daplis	dɐplis
hingi	hɪŋiʔ
intsik	ʔɪnt͡ʃik
baybayin	baɪ̯bajɪn
magtalas	mɐɡtalɐs
bagsak	bɐɡsak
beripikasyon	beɾɪpɪxɐʃon
ingklusibo	ʔɪŋklʊsibo
galugad	ɡɐlʊɰad
malatala	mɐlɐtalɐʔ
ladya	lad͡ʒɐ
basagulero	bɐsɐɰʊleɾo
aparato	ʔɐpɐɾato
langayak	lɐŋɐjak
zamora	sɐmoɾɐ
surimbangkay	suɾɪmbɐŋkaɪ̯
pindot	pɪndot
lagis	lɐɰis
balisong	bɐlisoŋ
debosyon	deboʃon
kuwan	kwan
konsentidor	kxonsentɪdoɾ
sosyal	soʃal
asusena	ʔɐsʊsenɐ
bikat	bixɐt
bilasa	bɪlasɐʔ
labi	lɐbi
bubong	bʊboŋ
bansa	bɐnsa
butas	butɐs
arkitekto	ʔɐɾkɪtekto
arseniko	ʔɐɾsenɪxo
tanghalian	tɐŋhɐliʔɐn
umebak	ʔʊmebɐk
tagiliran	tɐɰɪliɾɐn
hangarin	hɐŋɐɾin
pasaway	pɐsawaɪ̯
banyuhay	bɐɲʊhaɪ̯
kamatayan	kxɐmɐtajɐn
bukid	buxɪd
davao	dabaʊ̯
likom	lɪxom
lakdang	lɐkdaŋ
puyod	pʊjod
nanlilimahid	nɐnlɪlɪmahɪd
binibini	bɪnɪbinɪ
mindanaw	mɪndanaʊ̯
bagama't	bɐɰɐmat
lumaya	lʊmajɐʔ
piskal	pɪskal
kilikili	kxɪlɪxilɪ
detonasyon	detonɐʃon
gambagamba	ɡɐmbaɰɐmba
angkan	ʔɐŋkan
eksklusyon	ʔeksklʊʃon
inhinyero	ʔɪŋhɪɲeɾo
bangkiling	bɐŋkɪliŋ
lambot	lɐmbot
amas	ʔɐmas
herarkiya	heɾɐɾkiɐ
militante	mɪlɪtante
gastusin	ɡɐstusɪn
ikabit	ʔɪxɐbit
alimis	ʔɐlɪmis
birimbaw	bɪɾɪmbaʊ̯
cahinaan	kxɐhɪnaʔɐn
lorenzana	loɾensanɐ
desimpeksiyon	desɪmpekʃon
arenas	ʔɐɾenɐs
hantikan	hɐntixɐn
michelena	mɪt͡ʃelenɐ
pagdilao	pɐɡdilaʊ̯
hanga	haŋɐʔ
dalubkatawan	dɐlubkɐtɐwan
diborsiyo	dɪboɾʃo
barumbado	bɐɾumbado
eskultor	ʔeskʊltoɾ
bantay	bɐntaɪ̯
dyaryo	d͡ʒaɾjo
malabuntala	mɐlɐbʊntalɐʔ
hiwas	hɪwas
angas	ʔɐŋas
dingig	dɪŋiɡ
eskandaloso	ʔeskɐndɐloso
laray	laɾaɪ̯
gisi	ɡɪsiʔ
damo	dɐmo
kerubin	kxeɾʊbin
bangkarote	bɐŋkɐɾote
salazar	sɐlɐsaɾ
graba	ɡɾabɐ
bilibid	bɪlibɪd
palayan	pɐlɐjan
balnian	bɐlniʔɐn
alulong	ʔɐlʊloŋ
domino	domɪno
tala	talɐʔ
lapurit	lɐpuɾɪt
lumuwag	lʊmwaɡ
ligaya	lɪɰajɐ
iyo	ʔɪo
hugasan	hʊɰasɐn
mangamba	mɐŋɐmba
insentibo	ʔɪnsentibo
balita	bɐlitɐʔ
dimacali	dɪmɐxalɪ
malihan	mɐlihɐn
tiyanak	t͡ʃanɐk
catral	kxatɾɐl
kambas	kxambɐs
butil	butɪl
ortega	ʔoɾteɰɐ
maneho	mɐneho
biya	bjaʔ
politiko	politɪxo
udyukan	ʔʊd͡ʒʊxan
lipunan	lɪpʊnan
mamuyac	mɐmujɐk
buling	bulɪŋ
nakamulaga	nɐxɐmʊlɐɰaʔ
lagaylay	lɐɰaɪ̯laɪ̯
ita	ʔitɐ
ragsak	ɾɐɡsak
balikwas	bɐlɪkwas
