medd	meːð
gwrthwynebiadau	ɡʊrθwɨ̞nɛbjadɛ
gorau	ɡɔra
llawn	ɬau̯n
pyliau	pəljɛ
achles	aχlɛs
bathdy	baθdɨ̞
chul	χɨːl
thelynores	θɛlənɔras
cenhinen	kɛnhɪnɛn
garej	ɡarɛdʒ
nyrs	nərs
marchgacwn	marχɡakʊn
gwiwer	ɡwɪu̯ɛr
merlod	mɛrlɔd
rhif	r̥iːv
dre	dreː
breuddwyd	breɨ̯ðʊɨ̯d
nghot	ŋ̊ɔt
adenedigaeth	adɛnɛdɪɡaɨ̯θ
lloegr	ɬɔɨ̯ɡr
trefydd	trɛvɨ̞ð
choeg	χoːɨ̯ɡ
baith	bai̯θ
telynau teires	tɛlənatei̯rɛs
digwyddaf	dɪɡwəðaf
crychau	krəχaɨ̯
brynu	brənɨ
ffrind	frɪnd
sychu	səχɨ
droet	droːɨ̯t
ellyn	ɛɬɨ̞n
ynys wyth	ənɨ̞suːɨ̯θ
magu	maɡɨ
buddugol	bɨ̞ðɨ̞ɡɔl
llesteirio	ɬɛsdei̯rjɔ
ufelai	ɨ̞vɛlai̯
ethrefig	ɛθrɛvɪɡ
ganwr	ɡanʊr
pumongl	pɨ̞mɔŋl
hiarll	hjarɬ
fo	voː
ganai	ɡanai̯
ceg	keːɡ
credant	krɛdant
siani	ʃanɪ
teisen radell	tei̯ʃɛnradɛɬ
henghraifft	hɛŋ̊rɛfd
cwyd	kuːɨ̯d
pandemig	pandɛmɪɡ
difetha	dɪvɛθa
banc	baŋk
pryfed genwair	prəvadɡɛnwar
unigrywiaeth	ɨ̞nɪɡrɨ̞u̯jɛθ
priod	priɔd
nghaint	ŋ̊ai̯nt
helpwr	hɛlpʊr
anafais	anavɪʃ
cipio	kɪpjɔ
cyfryngau	kəvrəŋaɨ̯
liwio	lɪu̯jɔ
bricsen	brɪksan
cwlwm	kʊlʊm
ymgloi	əmɡlɔi̯
ffurf	fɨ̞rv
ymddengys	əmðɛŋɨ̞s
ywen	ɪu̯ɛn
ngwystl	ŋwɨ̞sdl
sesiynau	sɛʃənɛ
clefyd y gwair	klɛvɨ̞dəɡwai̯r
cyflafaredd	kəvlavarɛð
abades	abadɛs
cansen	kansɛn
ysbrydol	əsbrədɔl
nghôt	ŋ̊oːt
gyda	da
ngeiriadurwr	ŋei̯rjadɨ̞rʊr
hen galan	heːnɡalan
nhraed	n̥raːɨ̯d
blwch	bluːχ
aberystwyth	abɛrəstwɨ̞θ
mynydda	mənəða
prifiau	prɪvjɛ
bendith	bɛndɪθ
gwyrddion	ɡwərðjɔn
frechdan	vrɛχdan
pioden	piɔdɛn
aillt	ai̯ɬd
nghaws	ŋ̊au̯s
rhwyfau	r̥ʊɨ̯vɛ
athrawes	aθrau̯as
seibiau	sei̯bjaɨ̯
blwyddyn golau	blʊɨ̯ðɨ̞nɡɔla
ffion	fɪɔn
gwrthryfeloedd	ɡʊrθrəvɛlɔɨ̯ð
sudd	sɨːð
hir	hiːr
ar daith	ardai̯θ
nghlybiau	ŋ̊ləbjaɨ̯
chlustdlws	χlɨ̞sdlʊs
ngharafán	ŋ̊aravan
cwblhau	kʊblhaɨ̯
gref	ɡreːv
carfilod bach	karvɪlɔdbaːχ
cynhesu	kənhɛsɨ
asid	asɪd
pasiaf	paʃav
mhyliau	m̥əljɛ
well	wɛɬ
canoli	kanɔli
yma	əma
ti'n iawn	tiːnjau̯n
lan	lan
swshi	sʊʃi
egwyl	ɛɡʊɨ̯l
peiriannau llungopïo	pei̯rjanaɨ̯ɬɨːŋɡɔpiːɔ
crëwr	krɛʊr
warysau	warəsaɨ̯
raced	rakɛd
gorchmynnol	ɡɔrχmənɔl
rhestrau	r̥ɛsdrɛ
niweidio	nɪu̯ei̯djɔ
basen	sɛn
rhwystredigaethau	r̥ʊɨ̯sdrɛdɨ̞ɡeɨ̯θaɨ̯
regen	rɛɡɛn
penderfynu	pɛndɛrvənɨ
iddi	ɪði
nentydd	nɛntɨ̞ð
briciau	brikjaɨ̯
gyrrwr	ɡərʊr
melltithion	mɛɬdɪθjɔn
bleiddiaid	blei̯ðjɛd
arth fwyaf	arθvʊɨ̯av
sos	soːs
ewythr	ɛu̯ɨ̞rθ
ngweriniaeth	ŋwɛrɪnjɛθ
cristionogion	krɪsdjɔnɔɡjɔn
trannoeth	tranɔɨ̯θ
fleiddiaid	vlei̯ðjai̯d
cwtsio	kʊtʃɔ
rydw i'n dy garu di	rədʊi̯ndəɡaridiː
nghath	ŋ̊aːθ
adfydau	advəda
annedd	anað
ffarm	farm
long	lɔŋ
anfantais	anvantɛs
corryn	kɔrɨ̞n
ieithoedd	jei̯θɔɨ̯ð
cyfan	kəva
buan	bɨ̞an
mellten	mɛɬdan
alban arthan	albanarθan
rywle	rʊlɛ
wyau	ʊɨ̯aɨ̯
am	am
bryngaer	brəŋɡaɨ̯r
lleoli	ɬɛɔli
cadwch	kadʊχ
llaered	ɬeɨ̯rɛd
hangen	haŋan
gweddïon	ɡwɛðɪɔn
huna	hɨ̞na
affwysedd	afʊɨ̯sɛð
cnud	knɨːd
deilen	dei̯lan
elir	ɛlɪr
adaregol	adarɛɡɔl
adferiad	advɛrjad
migwrn	mɪɡʊrn
merfenw	mɛrvɛnu
glywed	ɡləu̯ɛd
hyn i gyd	hɨ̞niɡiːd
rheiddiau	r̥ei̯ðjaɨ̯
hydref	hədra
ocr	ɔkr
finegr	vɪnɛɡr
gacha	ɡaχa
ni	niː
gwallt	ɡwaːɬd
llinell	ɬɪnɛɬ
brechdan	brɛχdan
angen	aŋɛn
glyn	ɡlɨ̞n
prif	priːv
cen y coed	kɛnəkoːɨ̯d
unllygeidiog	ɨːnɬəɡei̯djɔɡ
o flaen	ɔvlaːɨ̯n
cyhyd	kəhɨ̞d
cerir	kɛrɪr
yf	ɨːv
gwenynen	ɡwenənan
bychod	bəχɔd
anghlodwiw	aŋhlɔdwɪu̯
teisen radell	tei̯sɛnradɛɬ
pedolwyr	pɛdɔlwɨ̞r
dduw	ðɨu̯
aseswyr	asɛswɨ̞r
genweiriau	ɡɛnwei̯rjɛ
hadu	hadɨ̞
nghais	ŋ̊ai̯s
trefedigaethau	trɛvɛdɪɡeɨ̯θɛ
nodwydd	nɔdwɨ̞ð
llwchwr	ɬʊχʊr
grilio	ɡrɪljɔ
nheisen	n̥ei̯san
ambiwlans	ambɪu̯lans
llesteiriau	ɬɛsdei̯rjaɨ̯
hangen	haŋɛn
absenoldeb	absɛnɔldab
perthyn	pɛrθɨ̞n
ych	ɨːχ
dadiol	dadjɔl
canwr	kanʊr
allan	aɬan
ffenestr	fɛnɛsdr
melyn	mɛlɨ̞n
cynhennus	kənhɛnɨ̞s
twymo	tʊɨ̯mɔ
ges	ɡeːs
teithio	tei̯θjɔ
caerwrangon	kaɨ̯rwraŋɔn
wyth	uːɨ̯θ
gwanwynau	ɡwanwəna
ân	aːn
gythraul	ɡəθral
gaeafgysgu	ɡeɨ̯avɡəsɡɨ
galar	ɡalar
tâp selo	taːpsɛlɔ
gwlad pwyl	ɡwlaːdpuːɨ̯l
moes	moːɨ̯s
adref	adrɛv
melys	mɛlɨ̞s
synnu	sənɨ
corhwyad	kɔrhʊɨ̯ad
yfed	əvad
ymddiddan	əmðɪðan
pwll	pʊɬ
plentyn	plɛntɨ̞n
sbwriel	sbʊrjal
paentiau	peɨ̯ntjaɨ̯
cenedlaethol	kɛnɛdleɨ̯θɔl
sadwrn	sadʊrn
aeron	eɨ̯rɔn
phwl	fʊl
aller	aɬɛr
gweinyddiaethau	ɡwei̯nəðjeɨ̯θa
clust	klɨːst
delir	dɛlɪt
siocled	ʃɔklɛd
rhwystrau	r̥ʊɨ̯sdra
picwnen	pɪkuːnɛn
siôn corn	ʃoːŋkɔrn
ydau	əda
nghant	ŋ̊ant
dei	dei̯
gall	ɡaɬ
chyfarfod	χəvarvɔd
menig	mɛnɪɡ
sgrech	sɡreːχ
lygaid	lɨ̞ɡai̯d
ci	kiː
milwr	mɪlʊr
drôn	droːn
iäaidd	jaai̯ð
achwyniadau	aχʊɨ̯njadaɨ̯
canen	kanɛn
taen	taːɨ̯n
agosáu	aɡɔsaɨ̯
pentref	pɛntrɛv
chlywed	χləu̯ad
eilir	ei̯lɪr
allwedd	aɬwɛð
dathlu	daθlɨ
galwes	ɡalwɛs
cartre	kartra
madfallod dŵr	madvaɬɔdduːr
tafarn	tavarn
paham	paham
sero	sɛrɔ
barbeciwiau	barbɛkɪu̯ja
iytan	jətan
ar hyn o bryd	arhɨ̞nɔbrɨːd
ngwledydd	ŋwlɛdɨ̞ð
nghneuen gyll	ŋ̊neɨ̯anɡɨ̞ɬ
brawychus	brau̯əχɨ̞s
ffôi	foːi̯
thegan	θɛɡan
mêt	meːt
bôn	boːn
froch	vroːχ
amrywiaeth	amrɪu̯jɛθ
talo	talɔ
roeddet	rɔɨ̯ðat
ofnadwy	ɔvnadu
blodyn	blɔdɨ̞n
dydd gwener	dɨ̞ɡwɛnar
penillion	pɛnɪɬjɔn
modrwy	mɔdrʊɨ̯
symudliw	səmɨ̞dlɪu̯
nghefnau	ŋ̊ɛvna
throi	θrɔi̯
hawdd	hau̯ð
gŵyr	ɡuːɨ̯r
nghefnau	ŋ̊ɛvnaɨ̯
hyrddod	hərðɔd
gorsaf	ɡɔrsav
ngelli	ŋɛɬɪ
iselyddion	ɪsɛləðjɔn
achub	aχɨ̞b
cyfrifeg	kəvrɪvɛɡ
coma	kɔma
holl	hoːɬ
doliau	dɔlja
delynor	dɛlənɔr
digwydd	dɪɡwɨ̞ð
gruga	ɡrɨ̞ɡa
cotiau	kɔtjɛ
gwrando	ɡwrandɔ
tatŵ	tatuː
arfau	arva
rhuddwyn	r̥ɨ̞ðwɨ̞n
weithiau	wei̯θjɛ
marnau	marnɛ
cbac	kbak
eglwys	ɛɡlʊɨ̯s
barbeciwiau	barbɛkɪu̯jaɨ̯
êl	eːl
rhwystredigaethau	r̥ʊɨ̯sdrɛdɨ̞ɡeɨ̯θɛ
gormod	ɡɔrmɔd
rhywiol	r̥ɪu̯jɔl
pig	piːɡ
cwsmer	kʊsmar
animeiddiadau	anɪmei̯ðjjadɛ
mis	miːs
llydaw	ɬədau̯
dyfynnod	dəvənɔd
mellten	mɛɬdɛn
eid	ei̯d
penfras	pɛnvras
bencampwr	bɛŋkampʊr
chwningen	χʊnɪŋan
ddal	ðal
rhieni	r̥jɛni
ymasiad	əmaʃad
twr	tʊr
daliadaeth	daljadaɨ̯θ
acen	akɛn
rheolydd	r̥ɛɔlɨ̞ð
chlywed	χləu̯ɛd
safon	savɔn
dau ar bymtheg	daɨ̯arbəmθɛɡ
cherddoriaeth	χɛrðɔrjɛθ
plwm	plʊm
mron	mrɔn
cydgordio	kɨ̞dɡɔrdjɔ
cam	kam
elych	ɛlɨ̞χ
fforch	fɔrχ
carafáns	karavans
llanc	ɬaŋk
byth	bɨːθ
ofer	ɔvɛr
magnelau	maɡnɛlaɨ̯
jaciau	dʒakjɛ
düwch	dɨːʊχ
byddar	bəðar
gwrthrych	ɡʊrθrɨ̞χ
ydy	əndi
ansoddair	ansɔðai̯r
cwestiynau	kwɛsdjənɛ
wociau	wɔkja
geni	ɡɛnɪ
do'n	doːn
adeiladu	adei̯ladɨ̞
talan	talan
esgyll	ɛsɡɨ̯ɬ
toesen	tɔɨ̯sɛn
digoni	dɪɡɔni
mollt	moːɬd
sgrin	sɡriːn
unigryw	ɨ̞nɪɡrɨu̯
berfenwau	bɛrvɛnwɛ
welsh cêc	wɛlʃkeːk
chwinciad	χwɪŋkjad
cofbin	kɔvbɪn
punt	pɨ̞nt
mathemateg	maθɛmatɛɡ
teirw	tei̯ru
bleiddiaid	blei̯ðjai̯d
poster	pɔsdɛr
hunanynysu	hɨnanənəsɨ
rhofio	r̥ɔvjɔ
mhobl	m̥ɔbl
egni	ɛɡni
dringo	drɪŋɔ
dde	ðeː
fôn	voːn
tyrrau	təraɨ
ffurfio	fɨ̞rvjɔ
trydanwyr	trədanwɨ̞r
hynod	hənɔd
taw	ta
adwaenom	adweɨ̯nɔm
cyfamser	kəvamsɛr
cochlas	kɔχlas
tebygol	tɛbəɡɔl
gemau	ɡɛma
habadau	habada
thwymyn	θʊɨ̯mɨ̞n
faint o'r gloch	vai̯ntoːrɡloːχ
cylchu	kəlχɨ
rhyngrwyd pethau	r̥əŋrʊɨ̯dpɛθa
meddw	mɛðu
nal	nal
garen	ɡarɛn
camsefyll	kamsɛvɨ̞ɬ
nghlybiau	ŋ̊ləbja
pryf genwair	prɨːɡɛnwar
ofyn	ɔvɨ̞n
colur	kɔlɨ̞r
mwng	mʊŋ
lleua	ɬeɨ̯a
gordd	ɡɔrð
ieuenctid	jeɨɛŋktɪd
annedd	anɛð
llychlyn	ɬəχlɨ̞n
anffodus	anfɔdɨ̞s
gwybodaeth	ɡwɨ̞bɔdaɨ̯θ
dihuno	dɪhɨ̞nɔ
doeddet	dɔɨ̯ðat
hwngari	hʊŋɡri
prifddinas	priːvðɪnas
siaced	ʃakɛd
p'nawn	pnau̯n
timau	tɪma
terfysg	tɛrvɨ̞sɡ
niod	niːɔd
darian	darjan
ngŵydd	ŋuːɨ̯ð
anafes	anavɛs
arholi	arhɔlɪ
debyg	dɛbɨ̞ɡ
seithongl	sei̯θɔŋl
nghythraul	ŋ̊əθraɨ̯l
cwsmeriaid	kʊsmɛrjai̯d
mhopty	m̥ɔptɨ
cyfryngau	kəvrəŋɛ
rhoi	r̥ɔi̯
chweched	χwɛχɛd
dangos	daŋɔs
iolo	jɔlɔ
bryste	brɨ̞stɛ
bermo	əbɛrmɔ
allo	aɬɔ
siôn	ʃoːn
sbectol	sbɛktɔl
nghalon	ŋ̊alɔn
afonfeirch	avɔnvei̯rχ
rhaglen	r̥aɡlan
bysgota	bəsɡɔta
pair	pai̯r
aethon	eɨ̯θɔn
llithro	ɬɪθrɔ
doniol	dɔnjɔl
mamoth gwlanog	mamɔθɡwlanɔɡ
imi	ɪmi
ddwylo	ðʊɨ̯lɔ
peniadau	pɛnjada
bore	bɔra
hoffet	hɔfɛt
llywio	ɬɨu̯jɔ
ffwrcho	fʊrχɔ
yfory	vɔrɨ
protestaniaeth	prɔtɛsdanjɛθ
adra	adra
sudd afal	sɨːðaval
gwenithfaen	ɡwɛnɪθvaɨ̯n
cymro	kəmrɔ
problem	prɔblɛm
heol y gwynt	heːɔləɡwɨ̞nt
hych	hɨːχ
llungopïau	ɬɨ̞ŋɡɔpiːa
gar	ɡar
weriniaethau	ɡwɛrɪnjeɨ̯θaɨ̯
gwchi	ɡʊχi
cyfraith	kəvrai̯θ
oren	ɔrɛn
pasio	paʃɔ
rhanbarthau	r̥ambarθɛ
hechryd	hɛχrɨ̞d
byw	bɨu̯
bwyd	buːɨ̯d
weithiau	wei̯θja
ffonion	fɔnjɔn
tyngedfenyddiaeth	təŋɛdvɛnəðjaɨ̯θ
alban	alban
macydelgi	makədɛlɡi
rhynion	r̥ənjɔn
cŵn	kuːn
mys	miːs
negesydd	nɛɡɛsɨ̞ð
phapur	fapɨ̞r
medren	mɛdrɛn
trawstrefa	trau̯sdrɛva
byddai	bəðai̯
deiliad	dei̯ljad
swyddogaeth	sʊɨ̯ðɔɡaɨ̯θ
taliff	talɪf
adeiladwyr	adei̯ladwɨ̞r
saesneg	sɨ̞snɛɡ
flodau	vlɔda
cen pen	kɛnpɛn
eirinen ysgaw	ei̯rɪnanəsɡau̯
croeniog	krɔɨ̯njɔɡ
phaned	fanad
tywodfaen gwyrdd	təu̯ɔdθvaɨ̯nɡwɨ̞rð
mas	maːs
credet	krɛdɛt
dydd sadwrn	dɨ̞ðsadʊn
hanes	hanas
crog	kroːɡ
dŷ	dɨː
ogof	ɔɡɔv
lun	lɨːn
gwerddon	ɡwɛrðɔn
rhanddeiliad	r̥anðei̯ljad
arolygiadau	arɔləɡjada
fedra	vɛdra
seiclo	sei̯klɔ
gwybed	ɡwəbɛd
caniau	kanja
ymlacio	əmlakjɔ
harbwr	harbʊr
crwydr	krʊɨ̯dr
yr	ər
toiledau	tɔi̯lɛdaɨ̯
archseren	arχsɛrɛn
cof	koː
salm	salm
dirmygu	dɪrməɡɨ
phrif	friːv
cewri	kɛu̯ri
paith	pai̯θ
gael	ɡaːɨ̯l
dwylo	dʊɨ̯lɔ
pigau	pɪɡa
nghoch	ŋ̊oːχ
hudo	hɨ̞dɔ
rhaff	r̥aːf
ddiod	ðiːɔd
myfyrwyr	məvərwɨ̞r
basen	bəsan
blogiwr	blɔɡjʊr
iarll	jarɬ
mathau	maθa
pin	piːn
gostwng	ɡɔsdʊŋ
flog	vlɔɡ
anghymreigio	aŋhəmrei̯ɡjɔ
erchwyn	ɛrχwɨ̞n
deigr	dei̯ɡr
collen	kɔɬɛn
elw	ɛlu
caren	karɛn
meddai	mɛða
drwydded	drʊɨ̯ðad
methi	mɛθi
bancio	baŋkjɔ
nghynhadledd	ŋ̊ənhadlɛð
fersiwn	vɛrʃʊn
sw	suː
adfilwr	advɪlʊr
adardai	adardai̯
drwy	druːɨ̯
shrwmsa	ʃrʊmsa
sychin	səχɪn
gwaredu	ɡwarɛdɨ
record	rɛkɔrd
hendrefydd	hɛndrɛvɨ̞ð
abadaethau	abadeɨ̯θaɨ̯
llungopïau	ɬɨ̞ŋɡɔpiːaɨ̯
clywedog	kləu̯ɛdɔɡ
yno	ənɔ
mhapur	m̥apɨ̞r
adlefau	adlɛva
hufen	hɨ̞vɛn
ysgrifennu	sɡrɪvɛnɨ
arlwy	arluɨ̯
peiriannau arian parod	pei̯rjanaarjanparɔd
adael	adɛl
teisen gri	tei̯saŋɡriː
dales	dalɛs
'i	iː
pics	pɪks
golwr	ɡɔlʊr
ydfrain	ədvrai̯n
aderyn y bwn	adɛrɨ̞nəbʊn
sych	sɨːχ
rywbeth	rɪu̯bɛθ
pesto	pɛsdɔ
ngolau	ŋɔla
newynau	nɛu̯ənɛ
modd	moːð
torrai	tɔrai̯
dôn	doːn
anafa	anava
tocyn	tɔkɨ̞n
myned	mənɛd
gogledd	ɡɔɡlɛð
ffindir	əfɪndɪr
efwr	ɛvʊr
naen	naːi̯n
plethu	plɛθɨ
cylchoedd	kəlχɔɨ̯ð
allforyn	aɬvɔrɨ̞n
cari	karɪ
aeaf	eɨ̯av
grawnwin	ɡrau̯nwɪn
ffensiau	fɛnʃɛ
ffa	faː
geri	ɡɛrɪ
ciciau cosb	kɪkjɛɡoːsb
ydw	ndu
galla	ɡaɬa
labovaidd	labɔvai̯ð
rhwystr	r̥ʊɨ̯sdr
helpu	hɛlpɨ̞
warws	warʊs
pennau	pɛnaɨ̯
mhaned	m̥anɛd
gaeredin	ɡaɨ̯rɛdɨ̞n
copïwr	kɔpiːʊr
nghlyw	ŋ̊lɨu̯
pridd	priːð
dydd mercher	dɨːðmɛrχɛr
gylfinau	ɡəlvɪnɛ
gweplyfr	ɡwɛplɨ̞vr
cwyr	kuːɨ̯r
flodau	vlɔdɛ
dwyrain	dʊɨ̯rain
adardy	adardɨ̞
sgerbwd	sɡɛrbʊd
bwch	buːχ
gwylog	ɡʊɨ̯lɔɡ
harglwydd	harɡlʊɨ̯ð
arosfa	arɔsva
conwydden	kɔnwɨ̞ðɛn
ariannog	arjanɔɡ
derwyddiaeth	dɛrwəðjaɨ̯θ
tonau	tɔnaɨ̯
frith	vriːθ
nhalent	n̥alɛnt
llinynnau	ɬɪnənɛ
heirdd	hei̯rð
sylw	sɪlu
aethnenni	eɨ̯θnɛni
atseiniau	atsei̯njaɨ̯
trybedd	trəbɛð
ysgafnhad	əsɡavnhaːd
ugeiniau	ɪɡei̯njaɨ̯
aur	aɨ̯r
thal	θal
fwlgaria	vʊlɡarja
gelen	ɡɛlɛn
meddygfa	mɛðəɡva
habades	habadɛs
rasys	rasɨ̞s
nheisen	n̥ɪʃan
neiliaid	nei̯ljɛd
gemau	ɡɛmɛ
caen	kaːɨ̯n
wybodaeth	wəbɔdɛθ
plwyf	pluːɨ̯v
mygydau	məɡədɛ
mesa	mɛsa
hel	hɛl
emiw	ɛmɪu̯
symiau	səmja
ymladdfa	əmlaðva
gwrthgymdeithasol	ɡʊrθɡəmdei̯θasɔl
si	siː
pethach	pɛθaχ
nos sadwrn	nɔssadʊrn
awst	au̯sd
wddw	ʊðu
blwyddi	blʊɨ̯ði
sos coch	soːskoːχ
bryngaer	brɨ̞ŋɡaɨ̯r
trolïau	trɔlɪaɨ̯
ystradwel	əsdradwɛl
siomau	ʃɔma
nhewed	n̥ɛu̯ɛd
oddeutu	ɔðeɨ̯tɨ
chymaint	χəmai̯nt
defnyddiwr	dɛvnəðjʊr
chwaer	χwaːɨ̯r
rwsia	rʊsja
fenig	vɛnɪɡ
peiriannwr	pei̯rjanʊr
geilw	ɡei̯lu
ymesyd	əmɛsɨ̞d
faneg	vanɛɡ
edn	ɛdn
daflu	davlɨ
ddôn	ðoːn
llyfrgellwyr	ɬəvrɡɛɬwɨ̞r
daioni	dajɔni
prŷn	prɨːn
da	daː
flodau	vlɔdaɨ̯
golli	ɡɔɬi
dalet	dalɛt
âi	aːi̯
beirniadaeth	bei̯rnjadɛθ
gato	ɡatɔ
chewch	χɛu̯χ
anhawster	anhau̯sdɛr
tudalennau	tɨ̞dalɛnɛ
anffurfiol	anfɨ̞rvjɔl
sgil	sɡɪl
baw	baːu̯
bric	brɪk
adeg	adɛɡ
nglanaf	ŋlana
munud	mɨ̞nɨ̞d
echryd	ɛχrɨ̞d
canwyllbrennau	kanʊɨ̯ɬbrɛna
buwch	bɨu̯χ
deunyddiau	deɨ̯nəðjaɨ̯
drama	drama
nghlyw	ŋ̊lɪu̯
hysbys	həsbɨ̞s
wlad belg	wlaːdbɛlɡ
fodd	voːð
degau	dɛɡɛ
mlwyddi	mlʊɨ̯ði
nofiwr	nɔvjʊr
yn gymwys	əŋɡəmʊɨ̯s
diogel	djɔɡal
rhithweledigaeth	r̥ɪθwɛlɛdɪɡaɨ̯θ
goes	ɡoːɨ̯s
brasterog	brasdɛrɔɡ
mamoth	mamɔθ
eogiaid	ɛɔɡjɛd
cylchgrawn	kɨ̞lχɡrau̯n
doid	dɔi̯d
canlynol	kanlənɔl
cymorthion	kəmɔrθjɔn
cythreuliaid	kəθreɨ̯ljai̯d
ansawdd	ansau̯ð
malwota	malwɔta
llong foel	ɬɔŋvoːɨ̯l
nolis	nɔlɪs
caron	karɔn
gwrthwynebair	ɡʊrθwɨ̞nɛbai̯r
garan	ɡaran
gwrs	ɡʊrs
ambell	ambɛɬ
cyfiawn	kəvjau̯n
gwrdd	ɡʊrð
acw	aku
adfydau	advədɛ
oddf	ɔðv
ngherdded	ŋ̊ɛrðɛd
nglas	ŋlaːs
lloches	ɬɔχas
hil	hiːl
carreg	karɛɡ
llamhidog	ɬamhɪdɔɡ
mwgwd	mʊɡʊd
pobl	pɔbl
gobaith	ɡɔbɛθ
heibio	hei̯bjɔ
pabïau	pabiːa
lyfr	lɨ̞vɨ̞r
cyfatebiaethau	kəvatɛbjeɨ̯θa
cydweithrediadau	kɨːdwei̯θrɛdjadaɨ̯
o blith	oːbliːθ
trefor	trɛvɔr
letysen	lɛtəsɛn
leician	lei̯kjan
ddelo	ðɛlɔ
ffwrn	fʊrn
helbul	hɛlbɨ̞l
phobl	fɔbɔl
gwyrddsug	ɡwərðsɨ̞ɡ
mad	maːd
toiledi	tɔi̯lɛdi
gwybodaeth	ɡwəbɔdaɨ̯θ
saig	sai̯ɡ
deigryn	dei̯ɡrɨn
niwl	nɪu̯l
ap	ap
switsio	swɪtʃɔ
cheffyl	χɛfɨ̞l
fàs	vas
habadaeth	habadaɨ̯θ
emrallt	ɛmraɬd
oedd	oːɨ̯ð
swyddogaeth	sʊɨ̯ðɔɡɛθ
chneuen gyll	χneɨ̯anɡɨ̞ɬ
weld	wɛld
ngwys	ŋwɨːs
adleisiau	adlei̯ʃɛ
rhydychen	r̥ɨ̞dəχɛn
mygydau	məɡədaɨ̯
nico	nɪkɔ
dudno	dɨ̞dnɔ
physgod	fəsɡɔd
ergyd	ɛrɡɨ̞d
cydbreswylwyr	kɨːdbrɛsʊɨ̯lwɨ̞r
erbyn hyn	ɛrbɨ̞nhɨ̞n
epidemig	ɛpɪdɛmɪɡ
chei	χei̯
ateb	atɛb
stwrsiynod	sdʊrʃənɔd
nghwrdd	ŋ̊ʊrð
cocsa	kɔksa
gathod	ɡaθɔd
aiff	ai̯f
cydseiniol	kɨ̞dsei̯jɔl
hwythfed	hʊɨ̯θvad
trydanwr	trədanʊr
picau	pɪka
darianau	darjanɛ
garddwr	ɡarðʊr
grefi	ɡrɛvi
creda	krɛda
roeddwn	rɔɨ̯ðʊn
phenderfynu	fɛndɛrvənɨ
reiat	rei̯at
elont	ɛlɔnt
cosbau	kɔsba
meddiant	mɛðjant
phencampwriaeth	fɛŋkampʊrjaɨ̯θ
dydd sul	dɨːðsɨːl
llinell	ɬɪnaɬ
gwyrddfaen	ɡwərðvaɨ̯n
wedi hyn	wɛdihɨ̞n
teyrnged	teɨ̯rnɡɛd
basen	basan
gastell	ɡasdaɬ
llygaid	ɬəɡɛd
llyn	ɬɨ̞n
nghylchgrawn	ŋ̊ɨ̞lχɡrau̯n
perthi	pɛrθi
daliaf	daljav
banana	banana
gwahaniaeth	ɡwanjaθ
genedigaethau	ɡɛnɛdɪɡeɨ̯θa
ngwddw	ŋʊðu
nid wrth ei big y mae mesur cyffylog	nɪdʊrθei̯biːɡəmaːɨ̯mɛsɨ̞rkəfəlɔɡ
dyfarniadau	dəvarnjadaɨ̯
caint	kai̯nt
torrai	tɔrɛ
atalfeydd	atalveɨ̯ð
ffensiau	fɛnʃaɨ̯
rhod	r̥oːd
nyrsys	nərsɨ̞s
gachai	ɡaχɛ
haul	haɨ̯l
camu	kamɨ
mlwydd	mluːɨ̯ð
adeiladaeth	adei̯ladaɨ̯θ
tost	tɔst
teli	tɛli
glew	ɡlɛu̯
isteitl	iːsdei̯tl
defnyddiau	dɛvnəðjɛ
gweinyddiadau	ɡwei̯nəðjada
peiriant llungopïo	pei̯rjantɬɨ̞ŋɡɔpiːɔ
piau	piːaɨ̯
tewi	tɛu̯i
uchel	əχɛl
llyfu	ɬəvɨ
aden	adɛn
coeden afalau	kɔɨ̯danvala
pery	pɛrɨ
armenia	armɛnja
adlefau	adlɛvaɨ̯
llygaid	ɬɨ̞ɡai̯d
rhwng	r̥ʊŋ
blogiau	blɔɡjɛ
caro	karɔ
cactws	kaktʊs
fasen	vəsan
amaethyddiaeth	ameɨ̯θəðjɛθ
anghyflawn	aŋhəvlau̯n
genedigaethau	ɡɛnɛdɪɡeɨ̯θaɨ̯
cymylu	kəməlɨ
hofran	hɔvran
trywel	trəu̯ɛl
angharad	aŋharad
glasgoch	ɡlasɡɔχ
fadfall	vadvaɬ
ffeindio	fɪndjɔ
ydfran	ədvran
cannydd	kanɨ̞ð
disgybl	dɪsɡɨ̞bl
leidr	lei̯dr
chdi	χdiː
doeddet	dɔɨ̯ðɛt
caffi	kafi
benderfynu	bɛndɛrvənɨ
heddwch	hɛðʊχ
raser	rasɛr
hyd yn hyn	hɨːdənhɨ̞n
abertawe	abɛrtau̯ɛ
ricríwt	rikrɪu̯t
lyfrau	ləvraɨ̯
cryddiaeth	krəðjaɨ̯θ
chydbreswylwyr	χɨːdbrɛsʊɨ̯lwɨ̞r
ffilm	fɪlm
sut wyt ti	sɪtʊi̯ttiː
clwb	klʊb
dryslwyni	drəslʊɨ̯ni
ymrysonydd	əmrəsɔnɨ̞ð
neuddegfed	neɨ̯ðɛɡvad
hamerica	hamɛrɪka
argraffiad	arɡrafjad
plannu	plani
sir frycheiniog	siːrvrəχəi̯njɔɡ
phont	fɔnt
