spesialisointi	ˈspesiˌɑliˌsointi
jesuiittamainen	ˈjesuˌiittɑˌmɑinen
sulattaa	ˈsulɑttɑɑ
kurinpitorangaistus	ˈkurinˌpitorɑnˌgɑistus
lohkare	ˈlohkɑre
satuikä	ˈsɑtuikæ
prinsessa	ˈprinsessɑ
kattonopeus	ˈkɑttoˌnopeus
kuvakudos	ˈkuvɑˌkudos
omenavarkaisiin	ˈomenɑˌvɑrkɑisiin
keijunkukka	ˈkeijunˌkukkɑ
palelluksissa	ˈpɑlelˌluksissɑ
sotilaallisuus	ˈsotiˌlɑɑllisuus
lääke	ˈlææke
kaksinapaisesti	ˈkɑksinɑˌpɑisesti
suhdetoimintahenkilö	ˈsuhdeˌtoimintɑˌhenkilø
jarrutusjälki	ˈjɑrruˌtusjælki
elinkaari	ˈelinˌkɑɑri
talonomistaja	ˈtɑlonoˌmistɑjɑ
laivanisännistöyhtiö	ˈlɑivɑniˌsænnistøˌyhtiø
vyörymä	ˈvyørymæ
kivimöhkäle	ˈkiviˌmøhkæle
eksistentialisti	ˈeksisˌtentiɑˌlisti
kidepinta	ˈkideˌpintɑ
virkamieslakko	ˈvirkɑˌmieslɑkko
eteenpäinmeno	ˈeteenˌpæinmeno
hieromalaite	ˈhieromɑˌlɑite
ryppyotsainen	ˈryppyotˌsɑinen
hedelmöityä	ˈhedelˌmøityæ
johtoasema	ˈjohtoˌɑsemɑ
pääsiäiskirkko	ˈpææsiˌæiskirkko
laskulomake	ˈlɑskuˌlomɑke
inkakulttuuri	ˈinkɑkultˌtuuri
sokerikasvi	ˈsokeriˌkɑsvi
rakennuttaja	ˈrɑkenˌnuttɑjɑ
kädenlyönti	ˈkædenˌlyønti
vitivalkea	ˈvitiˌvɑlkeɑ
livistää	ˈlivistææ
diileri	ˈdiileri
synkkyys	ˈsynkkyys
karkaisu-uuni	ˈkɑrkɑiˌsuuuni
karho	ˈkɑrho
vieraanvarainen	ˈvierɑɑnvɑˌrɑinen
tussaus	ˈtussɑus
teoria	ˈteoˌriɑ
kimppu	ˈkimppu
profetia	ˈprofeˌtiɑ
tasapainoinen	ˈtɑsɑˌpɑinoinen
helmiäishuulipuna	ˈhelmiˌæishuuˌlipunɑ
lippusaattue	ˈlippuˌsɑɑttue
saartorengas	ˈsɑɑrtoˌrengɑs
moottorivetoinen	ˈmoottoˌriveˌtoinen
suhdetoimintasihteeri	ˈsuhdeˌtoimintɑˌsihteeri
nurmilauha	ˈnurmiˌlɑuhɑ
vastaanotto-osasto	ˈvɑstɑɑnotˌtoosɑsto
makeilla	ˈmɑkeillɑ
kuivauslinko	ˈkuivɑˌuslinko
runous	ˈrunous
segmentoitua	ˈsegmenˌtoituɑ
pensaikkoinen	ˈpensɑikˌkoinen
arvopäivä	ˈɑrvoˌpæivæ
palaveri	ˈpɑlɑˌveri
hanhensulka	ˈhɑnhenˌsulkɑ
perihämäläinen	ˈperiˌhæmæˌlæinen
betonielementti	ˈbetoˌnieleˌmentti
kaupunginosalehti	ˈkɑupunˌginosɑˌlehti
naulain	ˈnɑulɑin
pöytätennis	ˈpøytæˌtennis
saviastia	ˈsɑviˌɑstiɑ
suomustaa	ˈsuomustɑɑ
kino	ˈkino
poptaiteilija	ˈpoptɑiˌteilijɑ
silmäneula	ˈsilmæˌneulɑ
ihramahainen	ˈihrɑmɑˌhɑinen
alistuskonjunktio	ˈɑlisˌtuskonˌjunktio
hiilihappojää	ˈhiiliˌhɑppojææ
rahoitusyhtiö	ˈrɑhoituˌsyhtiø
yksilökohtaisuus	ˈyksiløˌkohtɑisuus
istuma-aukko	ˈistuˌmɑɑukko
puolustuskyky	ˈpuolusˌtuskyky
puoluejohto	ˈpuolueˌjohto
maastoratsastus	ˈmɑɑstoˌrɑtsɑstus
sielikkö	ˈsielikkø
batonki	ˈbɑtonki
pystysuora	ˈpystyˌsuorɑ
foneemi	ˈfoneemi
sukupuolikuri	ˈsukuˌpuoliˌkuri
savituote	ˈsɑviˌtuote
muurinpohjalettu	ˈmuurinˌpohjɑˌlettu
tuhlaus	ˈtuhlɑus
väestöntiheys	ˈvæesˌtøntiˌheys
hissuksiin	ˈhissuksiin
kennosto	ˈkennosto
perusrunko	ˈperusˌrunko
vislata	ˈvislɑtɑ
keskuudesta	ˈkeskuuˌdestɑ
laveerata	ˈlɑveeˌrɑtɑ
maatalousneuvonta	ˈmɑɑtɑloˌusneuˌvontɑ
tännimpää	ˈtænnimpææ
materialisti	ˈmɑteˌriɑˌlisti
päihdehuolto	ˈpæihdeˌhuolto
hortoilu	ˈhortoilu
suutuksissaan	ˈsuutukˌsissɑɑn
vähimmäisraja	ˈvæhimˌmæisrɑjɑ
silmänkääntäjä	ˈsilmænˌkææntæjæ
levyautomaatti	ˈlevyˌɑutoˌmɑɑtti
varastoalue	ˈvɑrɑsˌtoɑˌlue
hirvensarvisuola	ˈhirvenˌsɑrviˌsuolɑ
lapsellisesti	ˈlɑpselliˌsesti
pikaruokapaikka	ˈpikɑˌruokɑˌpɑikkɑ
nostalgisesti	ˈnostɑlgiˌsesti
äärimmäis-	ˈæærimmæis
systeemisyys	ˈsysteeˌmisyys
lumeutua	ˈlumeuˌtuɑ
ruusuke	ˈruusuke
kurssivoitto	ˈkurssiˌvoitto
vuorotyöntekijä	ˈvuoroˌtyønteˌkijæ
uppopumppu	ˈuppoˌpumppu
röyhähtää	ˈrøyhæhtææ
säästävyys	ˈsææstævyys
koiranköynnös	ˈkoirɑnkøˌynnøs
yhteisharjoitus	ˈyhteishɑrˌjoitus
iltakirkko	ˈiltɑˌkirkko
kolapuu	ˈkolɑpuu
logaritmitaulukko	ˈlogɑˌritmiˌtɑulukko
kujeilija	ˈkujeiˌlijɑ
lainalaisuus	ˈlɑinɑˌlɑisuus
omavaltainen	ˈomɑvɑlˌtɑinen
röstiperunat	ˈrøstiˌperunɑt
myöhäisantiikki	ˈmyøhæisɑnˌtiikki
ivallinen	ˈivɑlˌlinen
haitariseinä	ˈhɑitɑriˌseinæ
siivoluontoinen	ˈsiivoˌluontoinen
pyrstötähti	ˈpyrstøˌtæhti
violetinsininen	ˈvioleˌtinsiˌninen
vajavainen	ˈvɑjɑˌvɑinen
absurdisti	ˈɑbsurˌdisti
ympärysmuuri	ˈympærysˌmuuri
seitsemänkymmentävuotias	ˈseitseˌmænkymˌmentæˌvuotiɑs
maksaläiskä	ˈmɑksɑˌlæiskæ
parikuinen	ˈpɑriˌkuinen
räiskäle	ˈræiskæle
kiikarointi	ˈkiikɑˌrointi
valkoihoinen	ˈvɑlkoiˌhoinen
oksentelu	ˈoksenˌtelu
elintasokoti	ˈelinˌtɑsoˌkoti
suggeroida	ˈsuggeˌroidɑ
kanjoni	ˈkɑnjoni
leikkelehaarukka	ˈleikkeleˌhɑɑrukkɑ
vastarintapesäke	ˈvɑstɑˌrintɑˌpesæke
niemeke	ˈniemeke
kerskua	ˈkerskuɑ
äyskäri	ˈæysˌkæri
esikoiskokoelma	ˈesiˌkoiskokoˌelmɑ
elinaikaisuus	ˈeliˌnɑikɑisuus
eriasteinen	ˈeriɑsˌteinen
harmaakivikirkko	ˈhɑrmɑɑˌkiviˌkirkko
kaupustelija	ˈkɑupusˌtelijɑ
offshoretekniikka	ˈoffshoreˌtekniikkɑ
vastuksellisuus	ˈvɑstukˌsellisuus
embryologia	ˈembryˌoloˌgiɑ
herttuakunta	ˈherttuɑˌkuntɑ
kylki	ˈkylki
rojahdus	ˈrojɑhdus
ideologi	ˈideˌologi
lopputyö	ˈlopputyø
liukenevuus	ˈliukeˌnevuus
lämpömittari	ˈlæmpøˌmittɑri
säärenlämmitin	ˈsæærenˌlæmmitin
toteutuma	ˈtoteuˌtumɑ
tauota	ˈtɑuotɑ
sopimuslomake	ˈsopiˌmusloˌmɑke
yliampuva	ˈyliˌɑmpuvɑ
kunnanvero	ˈkunnɑnˌvero
vaivutus	ˈvɑivutus
väijytysasema	ˈvæijyˌtysɑˌsemɑ
suihkuseurapiiri	ˈsuihkuˌseurɑˌpiiri
palkkakustannukset	ˈpɑlkkɑˌkustɑnˌnukset
rakennusteline	ˈrɑkenˌnusteˌline
maahanmuuttaja	ˈmɑɑhɑnˌmuuttɑjɑ
kuvaaja	ˈkuvɑɑjɑ
mestaruusmitali	ˈmestɑˌruusmiˌtɑli
devonikausi	ˈdevoniˌkɑusi
bibliofiili	ˈbiblioˌfiili
konservatiivisesti	ˈkonservɑˌtiiviˌsesti
nuljaska	ˈnuljɑskɑ
kasvipuristin	ˈkɑsvipuˌristin
vyötäröesiliina	ˈvyøtæˌrøesiˌliinɑ
iskukyky	ˈiskuˌkyky
pillerihattu	ˈpilleriˌhɑttu
koisia	ˈkoisiɑ
bassoavain	ˈbɑssoˌɑvɑin
laajennelma	ˈlɑɑjenˌnelmɑ
kietaista	ˈkietɑistɑ
töhräytyä	ˈtøhræyˌtyæ
kokelas	ˈkokelɑs
nuukailla	ˈnuukɑillɑ
viisipäiväinen	ˈviisiˌpæivæinen
porsittaa	ˈporsittɑɑ
jalkavaivainen	ˈjɑlkɑˌvɑivɑinen
kiinnitysköysi	ˈkiinnitysˌkøysi
romaanikirjallisuus	ˈromɑɑniˌkirjɑlˌlisuus
iskulause	ˈiskuˌlɑuse
menettelytapa	ˈmenetˌtelyˌtɑpɑ
sammenmäti	ˈsɑmmenˌmæti
kunnantalo	ˈkunnɑnˌtɑlo
selkis	ˈselkis
rukka	ˈrukkɑ
kaksoissidos	ˈkɑksoisˌsidos
linnusto	ˈlinnusto
kymmenkertainen	ˈkymmenkerˌtɑinen
possessiivinen	ˈpossesˌsiivinen
demagogisuus	ˈdemɑˌgogisuus
loistosaavutus	ˈloistoˌsɑɑvutus
kämppäemäntä	ˈkæmppæeˌmæntæ
herätysliike	ˈherætysˌliike
piikikkyys	ˈpiikikkyys
partisaani	ˈpɑrtiˌsɑɑni
verekseltään	ˈverekˌseltææn
kipuna	ˈkipunɑ
steriloida	ˈsteriˌloidɑ
aamutohveli	ˈɑɑmuˌtohveli
tummaihoinen	ˈtummɑiˌhoinen
mielekäs	ˈmielekæs
markkinointisihteeri	ˈmɑrkkiˌnointisihˌteeri
synkkaan	ˈsynkkɑɑn
kahvinselvike	ˈkɑhvinˌselvike
mittamies	ˈmittɑmies
eskapistinen	ˈeskɑˌpistinen
kiitolaukka	ˈkiitolɑˌukkɑ
rintaontelo	ˈrintɑˌontelo
jeppe	ˈjeppe
joukkomuutto	ˈjoukkoˌmuutto
alaluokkalainen	ˈɑlɑˌluokkɑˌlɑinen
elämänkumppani	ˈelæˌmænkumpˌpɑni
lentokeli	ˈlentoˌkeli
järkeily	ˈjærkeily
vakausleima	ˈvɑkɑusˌleimɑ
sijaissynnytys	ˈsijɑisˌsynnytys
laulukaskas	ˈlɑuluˌkɑskɑs
pesäkolo	ˈpesæˌkolo
saunakukka	ˈsɑunɑˌkukkɑ
viikata	ˈviikɑtɑ
viljasato	ˈviljɑˌsɑto
puolustusmekanismi	ˈpuolusˌtusmekɑˌnismi
toimeksianto	ˈtoimeksiˌɑnto
ponnistusvoima	ˈponnistusˌvoimɑ
pasma	ˈpɑsmɑ
numeromerkintä	ˈnumeroˌmerkintæ
ferriittiantenni	ˈferriittiˌɑntenni
unenpöpperöinen	ˈunenˌpøppeˌrøinen
ylimysvalta	ˈyliˌmysvɑltɑ
epäsiveellisyys	ˈepæsiˌveellisyys
elämänehto	ˈelæmæˌnehto
tutkiskelu	ˈtutkisˌkelu
koululääketiede	ˈkouluˌlæækeˌtiede
huntupäinen	ˈhuntuˌpæinen
tännimmäinen	ˈtænnimˌmæinen
mortteli	ˈmortteli
tuiskahdella	ˈtuiskɑhˌdellɑ
koiras	ˈkoirɑs
näkyvyys	ˈnækyvyys
maakuntakaava	ˈmɑɑkuntɑˌkɑɑvɑ
risiini	ˈrisiini
saviliuske	ˈsɑviliˌuske
enteellisesti	ˈenteelliˌsesti
hoopo	ˈhoopo
juoksulista	ˈjuoksuˌlistɑ
tanttamaisuus	ˈtɑnttɑˌmɑisuus
typensidonta	ˈtypensiˌdontɑ
epähavainnollinen	ˈepæhɑˌvɑinnolˌlinen
kovapanosammunta	ˈkovɑˌpɑnoˌsɑmmuntɑ
krapularyyppy	ˈkrɑpulɑˌryyppy
loistohotelli	ˈloistohoˌtelli
perusmaksu	ˈperusˌmɑksu
vuorovesienergia	ˈvuoroveˌsienerˌgiɑ
alivalottaa	ˈɑlivɑˌlottɑɑ
aakkonen	ˈɑɑkkonen
jalkapallostadion	ˈjɑlkɑˌpɑllosˌtɑdion
vähintään	ˈvæhintææn
kirjakauppias	ˈkirjɑkɑˌuppiɑs
maitolasi	ˈmɑitoˌlɑsi
talirauhanen	ˈtɑliˌrɑuhɑnen
oikeustie	ˈoikeˌustie
ylittäjä	ˈylitˌtæjæ
puunjalostustuote	ˈpuunjɑˌlostusˌtuote
suulaasti	ˈsuulɑɑsti
produktiivisuus	ˈprodukˌtiivisuus
hienovaraisuus	ˈhienovɑˌrɑisuus
nystermäinen	ˈnysterˌmæinen
perunanitu	ˈperuˌnɑnitu
kuurupiilosilla	ˈkuuruˌpiiloˌsillɑ
geodeettisesti	ˈgeoˌdeettiˌsesti
väkivallanteko	ˈvækiˌvɑllɑnˌteko
kuningatarlähetti	ˈkuningɑˌtɑrlæˌhetti
kohopaino	ˈkohoˌpɑino
karakteristisuus	ˈkɑrɑkteˌristisuus
geodesia	ˈgeoˌdesiɑ
ehtolaiskurssi	ˈehtoˌlɑiskurssi
elinympäristö	ˈeliˌnympæˌristø
bussikuski	ˈbussiˌkuski
virkaura	ˈvirkɑurɑ
vesipallo	ˈvesiˌpɑllo
moraliteetti	ˈmorɑliˌteetti
vaiheittaa	ˈvɑiheittɑɑ
ravitsemusterapeutti	ˈrɑvitseˌmusteˌrɑpeˌutti
lisenssi	ˈlisenssi
syydvesti	ˈsyydvesti
käärmekuusi	ˈkæærmeˌkuusi
pitkänmatkanjuoksija	ˈpitkænˌmɑtkɑnˌjuoksijɑ
yliherkkä	ˈyliˌherkkæ
alamaihin	ˈɑlɑˌmɑihin
itsemurhalentäjä	ˈitseˌmurhɑˌlentæjæ
verhoilukangas	ˈverhoiluˌkɑngɑs
paistoaika	ˈpɑistoˌɑikɑ
alkoholipitoisuus	ˈɑlkoˌholipiˌtoisuus
paistolämpömittari	ˈpɑistoˌlæmpøˌmittɑri
avaus	ˈɑvɑus
nykyvaihe	ˈnykyˌvɑihe
kantoraketti	ˈkɑntorɑˌketti
julistegraafikko	ˈjulisteˌgrɑɑfikko
hankinta-aika	ˈhɑnkinˌtɑɑikɑ
jälkiruokalusikka	ˈjælkiˌruokɑluˌsikkɑ
alakuloisesti	ˈɑlɑkuˌloisesti
sees	ˈsees
teräsmies	ˈteræsmies
työllisyyskoulutus	ˈtyølliˌsyyskouˌlutus
nuokkuhelmikkä	ˈnuokkuˌhelmikkæ
kaunokirjailija	ˈkɑunokirˌjɑilijɑ
juudas	ˈjuudɑs
käsityö	ˈkæsityø
enimmäishinta	ˈenimˌmæishintɑ
alivoimapeli	ˈɑliˌvoimɑˌpeli
diakonia	ˈdiɑˌkoniɑ
jetsulleen	ˈjetsulleen
hermoherkkä	ˈhermoˌherkkæ
rautaesine	ˈrɑutɑˌesine
kaksoskide	ˈkɑksosˌkide
kansantauti	ˈkɑnsɑnˌtɑuti
selkäpii	ˈselkæpii
eriparisuus	ˈeriˌpɑrisuus
hippulat	ˈhippulɑt
kiiruhtaa	ˈkiiruhtɑɑ
arvailu	ˈɑrvɑilu
nyrkkeilijä	ˈnyrkkeiˌlijæ
rakkausruno	ˈrɑkkɑˌusruno
romutus	ˈromutus
vuosibudjetti	ˈvuosiˌbudjetti
kastikas	ˈkɑstikɑs
leikinohjaaja	ˈleikinohˌjɑɑjɑ
modernistua	ˈmoderˌnistuɑ
epoksimuovi	ˈepoksiˌmuovi
alkuperäisteos	ˈɑlkupeˌræisteos
ali-	ˈɑli
rikosjuttu	ˈrikosˌjuttu
bordeauxviini	ˈbordeɑˌuxviini
pistävä	ˈpistævæ
ostos	ˈostos
loskakeli	ˈloskɑˌkeli
hotaisu	ˈhotɑisu
pikeentyä	ˈpikeenˌtyæ
umpisokea	ˈumpiˌsokeɑ
sisäosa	ˈsisæˌosɑ
toissapäiväinen	ˈtoissɑˌpæivæinen
maaperänsuojelu	ˈmɑɑperænˌsuojelu
kylmäkäsitellä	ˈkylmæˌkæsiˌtellæ
särki	ˈsærki
vaikutuspiste	ˈvɑikuˌtuspiste
kodinhoitaja	ˈkodinˌhoitɑjɑ
kenkä	ˈkenkæ
ympäristöministeri	ˈympæˌristømiˌnisteri
ilmestymispäivä	ˈilmestyˌmispæivæ
penkka	ˈpenkkɑ
käyttötaide	ˈkæyttøˌtɑide
yhteiskuva	ˈyhteisˌkuvɑ
riikintaaleri	ˈriikinˌtɑɑleri
sieniaika	ˈsieniˌɑikɑ
liikekatu	ˈliikeˌkɑtu
kalendaario	ˈkɑlenˌdɑɑrio
näytelmäharjoitus	ˈnæytelmæˌhɑrjoitus
yhteiselämä	ˈyhteiˌselæmæ
vanhurskaus	ˈvɑnhursˌkɑus
tiemaksu	ˈtiemɑksu
industrialismi	ˈindustˌriɑˌlismi
yltäkylläinen	ˈyltækylˌlæinen
kivikasvo	ˈkiviˌkɑsvo
joukkuemäki	ˈjoukˌkueˌmæki
likitaitteinen	ˈlikiˌtɑitteinen
kursorisesti	ˈkursoriˌsesti
kaunispiirteinen	ˈkɑunisˌpiirteinen
tehostua	ˈtehosˌtuɑ
öykkäri	ˈøykˌkæri
tuholaistoiminta	ˈtuhoˌlɑistoiˌmintɑ
tahdonilmaisu	ˈtɑhdonilˌmɑisu
sojolleen	ˈsojolleen
käyttäytymisnormi	ˈkæytˌtæytyˌmisnormi
hiiop	ˈhiiop
sähköpatteri	ˈsæhkøˌpɑtteri
kureutua	ˈkureuˌtuɑ
kuolemattomuus	ˈkuoleˌmɑttomuus
aukiokammo	ˈɑukioˌkɑmmo
urheilusali	ˈurheiˌlusɑli
liisteröidä	ˈliisteˌrøidæ
verkkohäkki	ˈverkkoˌhækki
valkopartainen	ˈvɑlkopɑrˌtɑinen
piilevämaa	ˈpiileˌvæmɑɑ
muunnin	ˈmuunnin
lampsia	ˈlɑmpsiɑ
norppa	ˈnorppɑ
voittopuoli	ˈvoittoˌpuoli
hallittavuus	ˈhɑllitˌtɑvuus
reaaliomaisuus	ˈreɑɑˌlioˌmɑisuus
pessimistisesti	ˈpessiˌmistiˌsesti
tarkkailulaite	ˈtɑrkkɑiluˌlɑite
kauranviljely	ˈkɑurɑnˌviljely
sertinki	ˈsertinki
kolibri	ˈkolibri
poljenta	ˈpoljentɑ
sukeutua	ˈsukeuˌtuɑ
ruokokasvi	ˈruokoˌkɑsvi
suuntainen	ˈsuuntɑinen
sairaansija	ˈsɑirɑɑnˌsijɑ
karkeistus	ˈkɑrkeistus
metsänreuna	ˈmetsænˌreunɑ
osumatarkkuus	ˈosumɑˌtɑrkkuus
koksata	ˈkoksɑtɑ
sukurutsa	ˈsukuˌrutsɑ
verileipä	ˈveriˌleipæ
humanisoitua	ˈhumɑniˌsoituɑ
atomipommi	ˈɑtomiˌpommi
seuloa	ˈseuloɑ
sairaalapappi	ˈsɑirɑɑlɑˌpɑppi
hapokas	ˈhɑpokɑs
pieksäntä	ˈpieksæntæ
suulas	ˈsuulɑs
pikkuviha	ˈpikkuˌvihɑ
riettaus	ˈriettɑus
kiviveistämö	ˈkiviˌveistæmø
niksahdella	ˈniksɑhˌdellɑ
angoralanka	ˈɑngorɑˌlɑnkɑ
sanaoppi	ˈsɑnɑˌoppi
linnavuori	ˈlinnɑˌvuori
kakkupohja	ˈkɑkkuˌpohjɑ
ronkkia	ˈronkkiɑ
yötyö	ˈyøtyø
maataistelu	ˈmɑɑtɑisˌtelu
myyntikate	ˈmyyntiˌkɑte
korpivaellus	ˈkorpivɑˌellus
polsteri	ˈpolsteri
hiomakone	ˈhioˌmɑkone
munakäsikranaatti	ˈmunɑˌkæsikrɑˌnɑɑtti
koulumaailma	ˈkouluˌmɑɑilmɑ
riimu	ˈriimu
väkisten	ˈvækisten
ylöspäinen	ˈyløsˌpæinen
rigoristisesti	ˈrigoˌristiˌsesti
helmivalkosipuli	ˈhelmiˌvɑlkoˌsipuli
suonsilmä	ˈsuonsilmæ
kainostella	ˈkɑinosˌtellɑ
rengassumu	ˈrengɑsˌsumu
aamukaste	ˈɑɑmuˌkɑste
pätevöitymisaika	ˈpæteˌvøitymiˌsɑikɑ
keitinpiiras	ˈkeitinˌpiirɑs
etulyöntiasema	ˈetuˌlyøntiˌɑsemɑ
symbolisuus	ˈsymboˌlisuus
heilua	ˈheiluɑ
uimari	ˈuimɑri
ennakkomyynti	ˈennɑkkoˌmyynti
naru	ˈnɑru
kauas	ˈkɑuɑs
liesitaso	ˈliesiˌtɑso
talkoot	ˈtɑlkoot
ennenaikainen	ˈenneˌnɑikɑinen
kvitteni	ˈkvitteni
murtaa	ˈmurtɑɑ
portfolio	ˈportfoˌlio
eriniminen	ˈeriˌniminen
tyvetä	ˈtyvetæ
työviihtyvyys	ˈtyøviihˌtyvyys
morsiusneito	ˈmorsiusˌneito
kansalliskirjasto	ˈkɑnsɑlˌliskirˌjɑsto
kalista	ˈkɑlistɑ
siivous	ˈsiivous
lakkamaali	ˈlɑkkɑˌmɑɑli
piilopaikka	ˈpiiloˌpɑikkɑ
kaukokulkeutuminen	ˈkɑukokulˌkeutuˌminen
autoturma	ˈɑutoˌturmɑ
keskipakoisesti	ˈkeskipɑˌkoisesti
näivettää	ˈnæivettææ
hevi	ˈhevi
kaulia	ˈkɑuliɑ
termi	ˈtermi
palkkalainen	ˈpɑlkkɑˌlɑinen
tolueeni	ˈtoluˌeeni
suojelutyö	ˈsuojeˌlutyø
itätuonti	ˈitæˌtuonti
lohijoki	ˈlohiˌjoki
kuittausmerkintä	ˈkuittɑˌusmerˌkintæ
laatta	ˈlɑɑttɑ
leivänpalanen	ˈleivænˌpɑlɑnen
invalidisoitua	ˈinvɑˌlidiˌsoituɑ
autoritaarisesti	ˈɑutoriˌtɑɑriˌsesti
silkki	ˈsilkki
keulamies	ˈkeulɑmies
sairausvakuutusmaksu	ˈsɑirɑˌusvɑˌkuutusˌmɑksu
despoottinen	ˈdespootˌtinen
hölösuu	ˈhøløsuu
metsäyhtiö	ˈmetsæˌyhtiø
hätkähdys	ˈhætkæhdys
tenttikausi	ˈtenttiˌkɑusi
aerobikata	ˈɑeˌrobiˌkɑtɑ
arkiviikko	ˈɑrkiˌviikko
löysyys	ˈløysyys
vastakarvata	ˈvɑstɑˌkɑrvɑtɑ
vasaramies	ˈvɑsɑˌrɑmies
silmäluomi	ˈsilmæˌluomi
radioida	ˈrɑdiˌoidɑ
munanvalkuainen	ˈmunɑnˌvɑlkuˌɑinen
kronikoitsija	ˈkroniˌkoitsijɑ
armahainen	ˈɑrmɑˌhɑinen
talousvaliokunta	ˈtɑloˌusvɑˌlioˌkuntɑ
rakenteilla	ˈrɑkenˌteillɑ
papattaa	ˈpɑpɑttɑɑ
arvokas	ˈɑrvokɑs
pyörimissuunta	ˈpyørimisˌsuuntɑ
keittimö	ˈkeittimø
arkikielinen	ˈɑrkiˌkielinen
mäskäksi	ˈmæskæksi
karike	ˈkɑrike
luonnonvoima	ˈluonnonˌvoimɑ
mustamaija	ˈmustɑˌmɑijɑ
toisasteinen	ˈtoisɑsˌteinen
rautasaostuma	ˈrɑutɑsɑˌostumɑ
tahra	ˈtɑhrɑ
laminaatti	ˈlɑmiˌnɑɑtti
puimuri	ˈpuimuri
buukata	ˈbuukɑtɑ
vyöhykehakkuu	ˈvyøhykeˌhɑkkuu
vastauslähetys	ˈvɑstɑˌuslæˌhetys
kylmäniitata	ˈkylmæˌniitɑtɑ
kaivertaja	ˈkɑiverˌtɑjɑ
kylmälava	ˈkylmæˌlɑvɑ
trulli	ˈtrulli
työpiirustus	ˈtyøpiiˌrustus
kumppanukset	ˈkumppɑˌnukset
artikla	ˈɑrtiklɑ
ruorijuoppous	ˈruoriˌjuoppous
paise	ˈpɑise
siklata	ˈsiklɑtɑ
poloinen	ˈpoloinen
pintakoreus	ˈpintɑˌkoreus
aatteellisesti	ˈɑɑtteelliˌsesti
ihailijakerho	ˈihɑiˌlijɑˌkerho
rohtoemäkki	ˈrohtoeˌmækki
sisaralus	ˈsisɑˌrɑlus
nojalleen	ˈnojɑlleen
värivalokuvaus	ˈværiˌvɑloˌkuvɑus
älyllistää	ˈælylˌlistææ
killua	ˈkilluɑ
teollistua	ˈteolˌlistuɑ
kuulokeskus	ˈkuuloˌkeskus
irrottautua	ˈirrotˌtɑutuɑ
selkävika	ˈselkæˌvikɑ
kyykäärme	ˈkyykæærme
pitkämatkainen	ˈpitkæmɑtˌkɑinen
parannus	ˈpɑrɑnnus
tuoresuolaus	ˈtuoreˌsuolɑus
pata	ˈpɑtɑ
videonauhuri	ˈvideoˌnɑuhuri
kaksipuoluejärjestelmä	ˈkɑksiˌpuolueˌjærjesˌtelmæ
mainita	ˈmɑinitɑ
saatekirje	ˈsɑɑteˌkirje
millimetrimitta	ˈmilliˌmetriˌmittɑ
patruunapesä	ˈpɑtruuˌnɑpesæ
talvipäivänseisaus	ˈtɑlviˌpæivænˌseisɑus
temperatuuri	ˈtemperɑˌtuuri
embleemi	ˈembleemi
halaus	ˈhɑlɑus
riittävä	ˈriittævæ
länsiosa	ˈlænsiˌosɑ
akilleenkantapää	ˈɑkilˌleenkɑnˌtɑpææ
novelli	ˈnovelli
kansankirkko	ˈkɑnsɑnˌkirkko
vastaussähke	ˈvɑstɑˌussæhke
perinataalinen	ˈperinɑˌtɑɑlinen
pääkallo	ˈpæækɑllo
iskusana	ˈiskuˌsɑnɑ
haarniskoida	ˈhɑɑrnisˌkoidɑ
vihollispatteri	ˈviholˌlispɑtˌteri
linja-autonkuljettaja	ˈlinjɑɑuˌtonkulˌjettɑjɑ
särkkä	ˈsærkkæ
unho	ˈunho
kehitteille	ˈkehitˌteille
uusklassinen	ˈuusklɑsˌsinen
perunasyöpä	ˈperunɑˌsyøpæ
turvallisuus	ˈturvɑlˌlisuus
lampaanliha	ˈlɑmpɑɑnˌlihɑ
laihduttaa	ˈlɑihduttɑɑ
lipeäinen	ˈlipeˌæinen
vähäverisyys	ˈvæhæˌverisyys
käyttöpäällikkö	ˈkæyttøˌpæællikkø
pääpalkinto	ˈpææpɑlˌkinto
lapsipolitiikka	ˈlɑpsiˌpoliˌtiikkɑ
vaistonvarainen	ˈvɑistonvɑˌrɑinen
vuosimalli	ˈvuosiˌmɑlli
ravihevonen	ˈrɑviˌhevonen
puolustusasianajaja	ˈpuolusˌtusɑˌsiɑˌnɑjɑjɑ
ohjepalkka	ˈohjeˌpɑlkkɑ
joustavoittaa	ˈjoustɑˌvoittɑɑ
tietosuoja	ˈtietoˌsuojɑ
rajaliikenne	ˈrɑjɑˌliikenne
kiitellä	ˈkiitellæ
vaaleta	ˈvɑɑletɑ
yksinmyyntioikeus	ˈyksinˌmyyntiˌoikeus
kansallismaisema	ˈkɑnsɑllisˌmɑisemɑ
raatsia	ˈrɑɑtsiɑ
korosteisuus	ˈkorosˌteisuus
köydenpätkä	ˈkøydenˌpætkæ
himopolttaja	ˈhimoˌpolttɑjɑ
saostus	ˈsɑostus
yleisistunto	ˈyleiˌsistunto
keskivirhe	ˈkeskiˌvirhe
hintavertailu	ˈhintɑverˌtɑilu
piirtokirjoitus	ˈpiirtokirˌjoitus
epäsuhtaisesti	ˈepæsuhˌtɑisesti
ionisaattori	ˈioniˌsɑɑttori
korona	ˈkoronɑ
sämpylä	ˈsæmpylæ
levytanssit	ˈlevyˌtɑnssit
tori	ˈtori
