atiduodančiosioms	ɐtʲɪduɔdɐnʲtʲʃʲosʲoms
vartojančių	ʋɐrtoːjɛnʲtʲʃʲuː
doguose	doɡʊosʲɛ
išdaigiąja	ɪʃdɐjɡʲæːjɛ
orgiškų	orʲɡʲɪʃkuː
norvegiškas	norʋʲɛɡʲɪʃkɐs
gražesnė	ɡɾɐʒʲɛsʲnʲeː
lavono	lɐʋoːno
parkeliaujančią	pɐrʲkʲɛlʲæʊjɛnʲtʲʃʲæː
nuodingesniosios	nuɔdʲɪnʲɡʲɛsʲnʲoːsʲos
kroatiškiesiems	kroaːtʲɪʃʲkʲjɛsʲjems
širdis	ɕɪrʲdʲɪs
bedieviškesnysis	bʲɛdʲjɛʋʲɪʃʲkʲɛsʲnʲiːsʲɪs
puslapi	pʊslɐpʲɪ
tatuiruojantį	tɐtʊɪruɔjɛnʲtʲiː
įspūdingesni	iːspuːdʲɪnʲɡʲɛsʲnʲɪ
mylėdavusiuosiuose	mʲiːlʲeːdɐʋʊsʲʊosʲʊosʲɛ
sušlampančioms	sʊʃlɐmpɐnʲtʲʃʲoms
slovėniškoms	sloʋʲeːnʲɪʃkoms
tatuiruojančiosiomis	tɐtʊɪruɔjɛnʲtʲʃʲosʲomʲɪs
ugnikalninė	ʊɡʲnʲɪkɐlʲnʲɪnʲeː
pornografiškiausios	pornoɡrɐfʲɪʃʲkʲæːʊsʲos
nugara	n̪ʊɡɐrɐ
balsuose	bɐlsʊosʲɛ
vaizdinguosius	ʋɐjzʲdʲɪnɡʊosʲʊs
orgiškesniajai	orʲɡʲɪʃʲkʲɛsʲnʲɛjɛj
malūnas	mɐɫǔːn̪ɐs̪
albaniškoje	ɐlbaːnʲɪʃkojɛ
itališkųjų	ɪtaːlʲɪʃkuːjuː
moteriškesniąja	motʲɛɾʲɪʃʲkʲɛsʲnʲæːjɛ
blizgančiąja	bʲlʲɪzɡɐnʲtʲʃʲæːjɛ
mažiausiaisiais	mɐʒʲæːʊsʲɛjsʲɛjs
ypač	iːpɐtʃ
įdomesniame	iːdomʲɛsʲnʲɛmʲɛ
respublikoms	ɾʲɛspʊbʲlʲɪkoms
apipjaustytumėme	ɐpʲɪpʲjæusʲtʲitʊmʲemʲɛ
turėdavusios	tʊrʲeːdɐʋʊsʲos
šeškai	ʃʲɛʃkɐj
algoritmą	ɐlɡorʲɪtmaː
netvarkingumuose	nʲɛtʋɐrʲkʲɪnɡʊmʊosʲɛ
vengriškoje	ʋʲɛnʲɡʲrʲɪʃkojɛ
sapne	sɐpnʲɛ
pradžia	prä̌ːdʒ͡ʲɛ
bulgariškieji	bʊlɡaːrʲɪʃʲkʲjɛjɪ
gražesnį	ɡɾɐʒʲɛsʲnʲiː
vokišką	ʋoːkʲɪʃkaː
netvarkingesniajai	nʲɛtʋɐɾʲkʲɪnʲɡʲɛsʲnʲɛjɛj
šakų	ʃɐkuː
gražiosiomis	ɡɾɐʒʲoːsʲomʲɪs
prakeliaujančiose	prɐkʲɛlʲæʊjɛnʲtʲʃʲosʲɛ
itališkame	ɪtaːlʲɪʃkɐmʲɛ
korėjietiškajam	korʲeːjɛːtʲɪʃkɐjɛm
žvaigždyne	ʒʋɐjɡʲʒʲdʲiːnɛ
išbučiuodavote	ɪʃbʊtʲʃʲuodɐʋotʲɛ
medvarle	mʲæːdʋɐɾʲlʲɛ
asmeninius	ɐsʲmʲɛnʲɪnʲʊs
mįslingesnės	mʲiːsʲlʲɪnʲɡʲɛsʲnʲeːs
aklojo	aːklojo
skylėje	sʲkʲiːlʲeːjɛ
naktikovus	nɐkʲtʲɪkoʋʊs
įduosią	iːduɔsʲæː
orgiškesniosios	orʲɡʲɪʃʲkʲɛsʲnʲosʲos
būdavusius	buːdɐʋʊsʲʊs
šokdavau	ʃoːkdɐʋɐʊ
patraukliausios	pɐtɾɐʊkʲlʲæːʊsʲos
švelniausiam	ʃʲʋʲɛlnʲæːʊsʲɛm
ištatuiravusiąja	ɪʃtɐtʊɪraːʋʊsʲæːjɛ
nebeprisikiškiakopūsteliaudavusio	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊdɐʋʊsʲo
stuburus	stʊbʊɾʊs
pūslelė	puːsʲlʲæːlʲeː
saugesniame	sɐʊɡʲɛsʲnʲɛmʲɛ
žmogiškesnį	ʒmoɡʲɪʃʲkʲɛsʲnʲiː
dėme	dʲeːmʲɛ
nebeprisikiškiakopūsteliaujantį	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲiː
žmogiškaisiais	ʒmoːɡʲɪʃkɐjsʲɛjs
kitas	kʲɪt̪ɐs̪
apkeliaujančiajai	ɐpkʲɛlʲæʊjɛnʲtʲʃʲɛjɛj
kur	kʊr
vilkams	ʋʲɪlkaːms
apipjaustymą	ɐpʲɪpʲjæuːsʲtʲiːmaː
ištarimui	ɪʃtɐɾʲɪmʊɪ
ištarimų	ɪʃtɐɾʲɪmuː
mažus	mɐʒʊs
ejakuliuojančią	ɛjɛkʊlʲuojɛnʲtʲʃʲæː
žodynus	ʒodʲiːnʊs
sapnuodavusias	sɐpnuɔdɐʋʊsʲɛs
maltietiškam	mɐlʲtʲjɛtʲɪʃkɐm
tvarką	tʋɐɾkaː
greitųjų	ɡɾɛjtuːjuː
iškalbu	ɪʃkɐlbʊ
kadangi	kɐdaːŋɡɪ
švelniame	ʃʲʋʲɛlnʲɛmʲɛ
vaizdingus	ʋɐjzʲdʲɪnɡʊs
seniausieji	sʲɛnʲæːʊsʲjɛjɪ
siūlių	sʲuːlʲuː
išdaigiųjų	ɪʃdɐjɡʲuːjuː
šokusią	ʃoːkʊsʲæː
šakaluose	ʃɐkaːlʊosʲɛ
atiduodamas	ɐtʲɪduɔdɐmɐs
išbučiuosiančiam	ɪʃbʊtʲʃʲuɔsʲɛnʲtʲʃʲɛm
vištoms	ʋʲɪʃtoms
klaidingosiose	klɐjdʲɪnɡosʲosʲɛ
turinčiąją	tʊrʲɪnʲtʲʃʲæːjæː
prancūziškos	prɐntsuːzʲɪʃkos
paslaptingiausiais	pɐslɐptʲɪnʲɡʲæːʊsʲɛjs
algoritmams	ɐlɡorʲɪtmɐms
bedieviškosios	bʲɛdʲjɛʋʲɪʃkosʲos
upelius	ʊpʲɛlʲʊs
balso	bɐlso
bedieviškuose	bʲɛdʲjɛʋʲɪʃkʊosʲɛ
nuosmukiams	nuɔsmʊkʲɛms
patylėti	pɐtʲiːlʲeːtʲɪ
išduosiančiomis	ɪʃduɔsʲɛnʲtʲʃʲomʲɪs
įduodantys	iːduɔdɐnʲtʲiːs
bėgantysis	bʲeːɡɐnʲtʲiːsʲɪs
pornografiškiausio	pornoɡrɐfʲɪʃʲkʲæːʊsʲo
senesnis	sʲɛnʲɛsʲnʲɪs
išduosiantis	ɪʃduɔsʲɛnʲtʲɪs
smulkmeniškesnieji	smʊlʲkʲmʲɛnʲɪʃʲkʲɛsʲnʲjɛjɪ
blizgančiosios	bʲlʲɪzɡɐnʲtʲʃʲosʲos
davusius	daːʋʊsʲʊs
bėgusius	bʲeːɡʊsʲʊs
siuvantiems	sʲʊʋɐnʲtʲjɛms
žmoniško	ʒmoːnʲɪʃko
mažesnius	mɐʒʲɛsʲnʲʊs
šakalo	ʃɐkaːlo
iškalbiausią	ɪʃkɐlbʲæːʊsʲæː
smulkmeniškesniajame	smʊlʲkʲmʲɛnʲɪʃʲkʲɛsʲnʲæːjɛmʲɛ
galinčiam	ɡaːlʲɪnʲtʲʃʲɛm
armėniškos	ɐrʲmʲeːnʲɪʃkos
nuodingas	nuɔdʲɪŋɡɐs
išžiūrinčioji	ɪʃʲʒʲuːrʲɪnʲtʲʃʲojɪ
vaizdingiausiame	ʋɐjzʲdʲɪnʲɡʲæːʊsʲɛmʲɛ
prancūziškosios	prɐntsuːzʲɪʃkosʲos
žvaigždiškiausiosioms	ʒʋɐjɡʲʒʲdʲɪʃʲkʲæːʊsʲosʲoms
gilesniosios	ɡʲɪlʲɛsʲnʲoːsʲos
kroatiškais	kroaːtʲɪʃkɐjs
lytiniame	lʲiːtʲɪnʲɛmʲɛ
įspūdingiausioms	iːspuːdʲɪnʲɡʲæːʊsʲoms
baltesniuose	bɐlʲtʲɛsʲnʲʊosʲɛ
davėjuje	dɐʋʲeːjʊjɛ
žmogiškiesiems	ʒmoːɡʲɪʃʲkʲjɛsʲjems
nukeliaujančiomis	nʊkʲɛlʲæʊjɛnʲtʲʃʲomʲɪs
rumuniškas	rʊmʊnʲɪʃkɐs
esančioji	ɛsɐnʲtʲʃʲojɪ
ispaniški	ɪspaːnʲɪʃʲkʲɪ
esančiaisiais	ɛsɐnʲtʲʃʲɛjsʲɛjs
sėdinčioje	sʲeːdʲɪnʲtʲʃʲojɛ
sapnavusysis	sɐpnaːʋʊsʲiːsʲɪs
ejakuliavusių	ɛjɛkʊlʲæːʋʊsʲuː
ypatingesnieji	iːpɐtʲɪnʲɡʲɛsʲnʲjɛjɪ
gražiojo	ɡɾaːʒʲojo
aukštaitiškojoje	ɐʊkʃtɐjtʲɪʃkojojɛ
maltietiškuosiuose	mɐlʲtʲjɛtʲɪʃkʊosʲʊosʲɛ
šakalai	ʃɐkaːlɐj
pasakiškas	paːsɐkʲɪʃkɐs
blogieji	bloɡʲjɛjɪ
nuodingiausiuosius	nuɔdʲɪnʲɡʲæːʊsʲʊosʲʊs
paslaptingasis	pɐslɐptʲɪnɡɐsʲɪs
avynas	ɐʋʲiːnɐs
nuodingesniąsias	nuɔdʲɪnʲɡʲɛsʲnʲæːsʲɛs
dieviškesnysis	dʲjɛʋʲɪʃʲkʲɛsʲnʲiːsʲɪs
švediškam	ʃʲʋʲɛdʲɪʃkɐm
pornografinis	poɾnoɡɾaːfʲɪnʲɪs
pornografiškesni	pornoɡrɐfʲɪʃʲkʲɛsʲnʲɪ
mokyklose	mokʲiːklosʲɛ
estijai	ɛsʲtʲɪjɛj
maltietiškąsias	mɐlʲtʲjɛtʲɪʃkaːsʲɛs
vengrišką	ʋʲɛnʲɡʲrʲɪʃkaː
ejakuliavusįjį	ɛjɛkʊlʲæːʋʊsʲiːjiː
korporacija	kɔrpɔraːtsɪjɛ
serbiškųjų	sʲɛrʲbʲɪʃkuːjuː
bulgariškąja	bʊlɡaːrʲɪʃkaːjɛ
saugiausiajam	sɐʊɡʲæːʊsʲɛjɛm
valgančiu	ʋaːlɡɐnʲtʲʃʲʊ
ugningesniosios	ʊɡʲnʲɪnʲɡʲɛsʲnʲosʲos
haliucinuosiantįjį	hɐlʲʊtʲsʲɪnuosʲɛnʲtʲiːjiː
pjaustymą	pʲjæuːsʲtʲiːmaː
gulbių	ɡʊlʲbʲuː
erotiškesnėms	ɛɾotʲɪʃʲkʲɛsʲnʲeːms
panaudotojas	pɐnɐʊdoːtojɛs
giliausiai	ɡʲɪlʲɛʊsʲɛj
gražiame	ɡɾɐʒʲɛmʲɛ
skirtumo	sʲkʲɪɾtʊmo
žvaigždišką	ʒʋɐjɡʲʒʲdʲɪʃkaː
haliucinuosiančiosiose	hɐlʲʊtʲsʲɪnuosʲɛnʲtʲʃʲosʲosʲɛ
žvaigždūnę	ʒʋɐjɡʒduːnʲæː
skylės	sʲkʲiːlʲeːs
buldogą	bʊldoɡaː
žolės	ʒoːlʲeːs
iškalbiajai	ɪʃkɐlbʲɛjɛj
spermoje	sʲpʲɛɾmojɛ
ejakuliavusius	ɛjɛkʊlʲæːʋʊsʲʊs
rezultate	ɾʲɛzʊltaːtʲɛ
mįslingoji	mʲiːsʲlʲɪnɡojɪ
kalbančiajame	kɐlbɐnʲtʲʃʲɛjɛmʲɛ
suomiškieji	suɔmʲɪʃʲkʲjɛjɪ
kiniškosiomis	kʲɪnʲɪʃkosʲomʲɪs
užsimerkiate	ʊʒʲsʲɪmæɾʲkʲɐtʲɛ
buvusioms	bʊʋʊsʲoms
ejakuliuodavusiajam	ɛjɛkʊlʲuodɐʋʊsʲɛjɛm
taps	tɐps
vaizdingesniam	ʋɐjzʲdʲɪnʲɡʲɛsʲnʲæːm
ypatingą	iːpɐtʲɪŋɡaː
dieviškiausiojoje	dʲjɛʋʲɪʃʲkʲæːʊsʲojojɛ
vengriškąja	ʋʲɛnʲɡʲrʲɪʃkaːjɛ
įdomesnę	iːdomʲɛsʲnʲæː
blogiausi	bloɡʲæːʊsʲɪ
latviškuose	laːtʲʋʲɪʃkʊosʲɛ
skirtumams	sʲkʲɪɾtʊmɐms
korėjietiškosioms	korʲeːjɛːtʲɪʃkosʲoms
šakai	ʃaːkɐj
duosiančiosios	duɔsʲɛnʲtʲʃʲosʲos
išžiūrinčias	ɪʃʲʒʲuːrʲɪnʲtʲʃʲɛs
senesniu	sʲɛnʲɛsʲnʲʊ
devyni	d̪ʲɛʋʲiːn̪ʲɪ
jonvabalių	joːnʋɐbɐlʲuː
nuodingosioms	nuɔdʲɪnɡosʲoms
pornografiškume	pornoɡrɐfʲɪʃkʊmʲɛ
sakantysis	saːkɐnʲtʲiːsʲɪs
ištatuiruosiu	ɪʃtɐtʊɪɾuosʲʊ
pingvinais	pʲɪnʲɡʲʋʲɪnɐjs
japoniškoje	jɛponʲɪʃkojɛ
lietus	lijɛtʊs
švelniesiems	ʃʲʋʲɛlnʲjɛsʲjems
išdaigiam	ɪʃdɐjɡʲæːm
matančiai	maːtɐnʲtʲʃʲɛj
atsakyti	ɐtsɐkʲiːtʲɪ
ypatingojo	iːpɐtʲɪnɡojo
blizgančiojo	bʲlʲɪzɡɐnʲtʲʃʲojo
įspūdingesniuoju	iːspuːdʲɪnʲɡʲɛsʲnʲuɔjʊ
graikiškąjį	ɡrɐjkʲɪʃkaːjiː
pudeliai	pʊdʲɛlʲɛj
kalbėsią	kɐlbʲeːsʲæ
seniausios	sʲɛnʲæːʊsʲos
pisantys	pʲɪsɐnʲtʲiːs
bruk	brʊk
dainuojantysis	dɐjnuɔjɛnʲtʲiːsʲɪs
gėlių	ɡʲeːlʲuː
kalbu	kɐlbʊ
turėjusiuosiuose	tʊrʲeːjʊsʲʊosʲʊosʲɛ
abejingesni	ɐbʲɛjɪnɡʲɛsʲnʲɪ
nebeprisikiškiakopūsteliausiantiems	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊsʲɛnʲtʲjɛms
įvykį	iːʋʲiːkʲiː
mala	mä̌ːlɐ
saugesniosioms	sɐʊɡʲɛsʲnʲoːsʲoms
slovėniškame	sloʋʲeːnʲɪʃkɐmʲɛ
bėgęs	bʲeːɡʲæːs
žavus	ʒɐʋʊs
prakeliaujančiojoje	prɐkʲɛlʲæʊjɛnʲtʲʃʲojojɛ
mįslingesnį	mʲiːsʲlʲɪnʲɡʲɛsʲnʲiː
meniškojoje	mʲæːnʲɪʃkojojɛ
mumis	mʊmɪs
piktas	pʲɪkt̪ɐs̪
kalbiomis	kɐlbʲomʲɪs
rumuniškosios	rʊmʊnʲɪʃkosʲos
vengriškajai	ʋʲɛnʲɡʲrʲɪʃkɐjɛj
įdomesni	iːdomʲɛsʲnʲɪ
suomiškuosius	suɔmʲɪʃkʊosʲʊs
pornografiškesniajame	pornoɡrɐfʲɪʃʲkʲɛsʲnʲæːjɛmʲɛ
matančia	maːtɐnʲtʲʃʲɛ
žmogiško	ʒmoːɡʲɪʃko
nebeprisikiškiakopūsteliaujančiais	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲɛjs
mįslingesniojoje	mʲiːsʲlʲɪnʲɡʲɛsʲnʲoːjojɛ
erotiškesniuoju	ɛɾotʲɪʃʲkʲɛsʲnʲuɔjʊ
davėjuose	dɐʋʲeːjʊosʲɛ
žmoniškąja	ʒmoːnʲɪʃkaːjɛ
danijai	daːnʲɪjɛj
japoniškojo	jɛponʲɪʃkojo
haliucinuosiančias	hɐlʲʊtʲsʲɪnuosʲɛnʲtʲʃʲɛs
atiduosiantiems	ɐtʲɪduɔsʲɛnʲtʲjɛms
pornografiškesnes	pornoɡrɐfʲɪʃʲkʲɛsʲnʲɛs
rezultatas	ɾʲɛzʊltaːtɐs
netvarkingesnioji	nʲɛtʋɐɾʲkʲɪnʲɡʲɛsʲnʲoːjɪ
sušlampančiosios	sʊʃlɐmpɐnʲtʲʃʲosʲos
žaidžia	ʒɐjdʲʒʲɐ
aušra	ɐuʃrɐ
švelnios	ʃʲʋʲɛlnʲoːs
vartojančiose	ʋɐrtoːjɛnʲtʲʃʲosʲɛ
giliame	ɡʲɪlʲɛmʲɛ
netvarkingesnių	nʲɛtʋɐɾʲkʲɪnʲɡʲɛsʲnʲuː
nebeprisikiškiakopūsteliavusiuosius	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲʊosʲʊs
kukurūzas	kukurǔːz̪ɐs̪
meknė	mʲæːkʲnʲeː
pornografiškojoje	pornoɡraːfʲɪʃkojojɛ
mįslingesnėje	mʲiːsʲlʲɪnʲɡʲɛsʲnʲeːjɛ
ejakuliavusiąją	ɛjɛkʊlʲæːʋʊsʲæːjæː
apipjaustyk	ɐpʲɪpʲjæusʲtʲik
lenkiškais	lʲæːnʲkʲɪʃkɐjs
išnaudotojomis	ɪʃnɐʊdoːtojomʲɪs
mįslingiausiems	mʲiːsʲlʲɪnʲɡʲæːʊsʲjɛms
ugningesnes	ʊɡʲnʲɪnʲɡʲɛsʲnʲɛs
blogesniosios	bloɡʲɛsʲnʲoːsʲos
stiklas	sʲtʲɪklɐs
arabiškosiomis	ɐraːbʲɪʃkosʲomʲɪs
ugningesnius	ʊɡʲnʲɪnʲɡʲɛsʲnʲʊs
blizgančiomis	bʲlʲɪzɡɐnʲtʲʃʲomʲɪs
rumuniškojo	rʊmʊnʲɪʃkojo
duodavusiąją	duɔdɐʋʊsʲæːjæː
pudeliui	pʊdʲɛlʲʊɪ
klaidingiausiai	klɐjdʲɪnʲɡʲæːʊsʲɛj
dieviškesnieji	dʲjɛʋʲɪʃʲkʲɛsʲnʲjɛjɪ
haliucinuojančioms	hɐlʲʊtʲsʲɪnuojɛnʲtʲʃʲoms
prancūziškose	prɐntsuːzʲɪʃkosʲɛ
smulkmeniškumams	smʊlʲkʲmʲɛnʲɪʃkʊmɐms
vokiečio	ʋoːkʲjɛtʲʃʲo
žiūrinčią	ʒʲuːrʲɪnʲtʲʃʲæː
angelas	ɑnɡʲɛlɐs
kvietys	kʲvʲɪət̪ʲiːs̪
nebeprisikiškiakopūsteliavusiomis	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲomʲɪs
vokietėje	ʋoːkʲjɛtʲeːjɛ
turėsiančiajai	tʊrʲeːsʲɛnʲtʲʃʲɛjɛj
paslaptingesniuoju	pɐslɐptʲɪnʲɡʲɛsʲnʲuɔjʊ
haliucinuodavusio	hɐlʲʊtʲsʲɪnuodɐʋʊsʲo
moteriškesnių	motʲɛɾʲɪʃʲkʲɛsʲnʲuː
mažiausi	mɐʒʲæːʊsʲɪ
paslaptingesniųjų	pɐslɐptʲɪnʲɡʲɛsʲnʲuːjuː
krūtinės	kɾuːtʲɪnʲeːs
iškeliaujančiosioms	ɪʃʲkʲɛlʲæʊjɛnʲtʲʃʲosʲoms
būsiančiajai	busʲɛnʲtʲʃʲɛjɛj
iškalbų	ɪʃkɐlbuː
kiniškuoju	kʲɪnʲɪʃkʊojʊ
ulbauti	ʊlbɐʊtʲɪ
ypatingesniosios	iːpɐtʲɪnʲɡʲɛsʲnʲosʲos
nebeprisikiškiakopūsteliaujančiuoju	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲʊojʊ
šokusius	ʃoːkʊsʲʊs
žvaigždiškais	ʒʋɐjɡʲʒʲdʲɪʃkɐjs
įduodančiame	iːduɔdɐnʲtʲʃʲɛmʲɛ
rusiškosiomis	rʊsʲɪʃkosʲomʲɪs
archyvas	ɐrʲxʲiːʋɐs
įduodančiajam	iːduɔdɐnʲtʲʃʲɛjɛm
sapnuodavusiomis	sɐpnuɔdɐʋʊsʲomʲɪs
mįslingą	mʲiːsʲlʲɪnɡaː
mylinčioms	mʲiːlʲɪnʲtʲʃʲoms
izoterminį	ɪzotʲɛrʲmʲɪnʲiː
moteriškesniuosius	motʲɛɾʲɪʃʲkʲɛsʲnʲuɔsʲʊs
bėgančią	bʲeːɡɐnʲtʲʃʲæː
būdavusiojo	buːdɐʋʊsʲojo
deimantas	dʲɛjmɐntɐs
paslaptingomis	pɐslɐptʲɪnɡomʲɪs
švelnesnį	ʃʲʋʲɛlnʲɛsʲnʲiː
nukeliaujančiame	nʊkʲɛlʲæʊjɛnʲtʲʃʲɛmʲɛ
duodavusiesiems	duɔdɐʋʊsʲjɛsʲjɛms
erotiškiausiojo	ɛɾotʲɪʃʲkʲæːʊsʲojo
silpnaprotystė	sʲɪlpnɐpɾotʲiːsʲtʲeː
blogajam	bloɡaːjɛm
audinė	ɐʊdʲɪnʲeː
ejakuliavote	ɛjɛkʊlʲæːʋotʲɛ
vartojančiajai	ʋɐrtoːjɛnʲtʲʃʲɛjɛj
norvegiškais	norʋʲɛɡʲɪʃkɐjs
žmogiškose	ʒmoːɡʲɪʃkosʲɛ
iškalbesnių	ɪʃkɐlbʲɛsʲnʲuː
sėdinčiai	sʲeːdʲɪnʲtʲʃʲɛj
žvakutės	ʒʋɐkʊtʲeːs
ištatuiruosią	ɪʃtɐtʊɪɾuɔsʲæː
tatuiravusiems	tɐtʊɪraːʋʊsʲjɛms
slovakiškuosiuose	sloʋaːkʲɪʃkʊosʲʊosʲɛ
iškalbesniosios	ɪʃkɐlbʲɛsʲnʲoːsʲos
mažiausioms	mɐʒʲæːʊsʲoms
vartojančią	ʋɐrtoːjɛnʲtʲʃʲæː
abėcėlėmis	ɐbʲeːtʲsʲeːlʲeːmʲɪs
vaizdingiausiuosiuose	ʋɐjzʲdʲɪnʲɡʲæːʊsʲʊosʲʊosʲɛ
pelėdoje	pʲɛlʲeːdojɛ
maltietiškojo	mɐlʲtʲjɛtʲɪʃkojo
erkėmis	æːɾʲkʲeːmʲɪs
žmoniškiausiąsias	ʒmonʲɪʃʲkʲæːʊsʲæːsʲɛs
išbučiuosią	ɪʃbʊtʲʃʲuɔsʲæː
čekiškai	tʲʃʲɛkʲɪʃkɐj
išduodavęs	ɪʃduɔdɐʋʲæːs
aukštaitiškajam	ɐʊkʃtɐjtʲɪʃkɐjɛm
mįslingiausių	mʲiːsʲlʲɪnʲɡʲæːʊsʲuː
saugesnės	sɐʊɡʲɛsʲnʲeːs
anglišką	ɐnʲɡʲlʲɪʃkaː
haliucinuosiančiąją	hɐlʲʊtʲsʲɪnuosʲɛnʲtʲʃʲæːjæː
lapei	laːpʲɛj
saugioji	sɐʊɡʲoːjɪ
žmoniškiausiosios	ʒmonʲɪʃʲkʲæːʊsʲosʲos
iškeliaujančių	ɪʃʲkʲɛlʲæʊjɛnʲtʲʃʲuː
jūras	juːrɐs
įduosiantį	iːduɔsʲɛnʲtʲiː
atiduodančias	ɐtʲɪduɔdɐnʲtʲʃʲɛs
greitas	ɡɾɛjtɐs
mįslingiausiaisiais	mʲiːsʲlʲɪnʲɡʲæːʊsʲɛjsʲɛjs
ištarimas	ɪʃtɐɾʲɪmɐs
bulgariškoji	bʊlɡaːrʲɪʃkojɪ
švelniausiąją	ʃʲʋʲɛlnʲæːʊsʲæːjæː
moteriškesniesiems	motʲɛɾʲɪʃʲkʲɛsʲnʲjɛsʲjems
saugesnę	sɐʊɡʲɛsʲnʲæː
nebeprisikiškiakopūsteliavusiame	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲɛmʲɛ
gražiausiomis	ɡɾɐʒʲæːʊsʲomʲɪs
pabaiga	pä̌ːbɐɪ̯ˑɡɐ
iškalbesniame	ɪʃkɐlbʲɛsʲnʲɛmʲɛ
įseserėje	iːsʲɛsʲɛrʲeːjɛ
įkeliaujančiuosius	iːkʲɛlʲæʊjɛnʲtʲʃʲʊosʲʊs
pritarimuose	pʲɾʲɪtɐɾʲɪmʊosʲɛ
atkeliaujančiuoju	ɐtkʲɛlʲæʊjɛnʲtʲʃʲʊojʊ
turkiškajame	tʊrʲkʲɪʃkɐjɛmʲɛ
saugioms	sɐʊɡʲoːms
žiūrinčiąją	ʒʲuːrʲɪnʲtʲʃʲæːjæː
keliaujančia	kʲɛlʲæʊjɛnʲtʲʃʲɛ
šiknarankius	ʃʲɪknɐɾɐnʲkʲʊs
stuburais	stʊbʊɾɐjs
nuduosiantysis	nʊduɔsʲɛnʲtʲiːsʲɪs
sušlampančių	sʊʃlɐmpɐnʲtʲʃʲuː
mylėjusiuosiuose	mʲiːlʲeːjʊsʲʊosʲʊosʲɛ
pardavėjai	pɐɾdɐʋʲeːjɛj
slovakiškiems	sloʋaːkʲɪʃʲkʲjɛms
mažiausias	mɐʒʲæːʊsʲɛs
baltasis	bɐltɐsʲɪs
kiniškuosius	kʲɪnʲɪʃkʊosʲʊs
parduoti	pɐɾduɔtʲɪ
įduoti	iːduɔtʲɪ
mįslingesniu	mʲiːsʲlʲɪnʲɡʲɛsʲnʲʊ
turėsiančiąją	tʊrʲeːsʲɛnʲtʲʃʲæːjæː
ištatuiruojančiais	ɪʃtɐtʊɪɾuɔjɛnʲtʲʃʲɛjs
aukštaitiškas	ɐʊkʃtɐjtʲɪʃkɐs
išbučiuokite	ɪʃbʊtʲʃʲuokʲɪtʲɛ
žvaigždiškesnėms	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲeːms
orgiškesnius	orʲɡʲɪʃʲkʲɛsʲnʲʊs
haliucinuosiančiųjų	hɐlʲʊtʲsʲɪnuosʲɛnʲtʲʃʲuːjuː
duosiančiose	duɔsʲɛnʲtʲʃʲosʲɛ
įduodančią	iːduɔdɐnʲtʲʃʲæː
išduodamas	ɪʃduɔdɐmɐs
perbręsti	pæːrʲbʲrʲæːsʲtʲɪ
išbučiuoji	ɪʃbʊtʲʃʲuojɪ
stebinčiajam	sʲtʲæːbʲɪnʲtʲʃʲɛjɛm
lenkiškiesiems	lʲæːnʲkʲɪʃʲkʲjɛsʲjems
maltietišką	mɐlʲtʲjɛtʲɪʃkaː
bedieviškesniosioms	bʲɛdʲjɛʋʲɪʃʲkʲɛsʲnʲoːsʲoms
archyvu	ɐrʲxʲiːʋʊ
švelniosiomis	ʃʲʋʲɛlnʲoːsʲomʲɪs
korėjietiškose	korʲeːjɛːtʲɪʃkosʲɛ
nebeprisikiškiakopūsteliaujančiajame	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲɛjɛmʲɛ
nebeprisikiškiakopūsteliaujančiose	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲosʲɛ
išbučiuosi	ɪʃbʊtʲʃʲuosʲɪ
pornografinėse	poɾnoɡɾaːfʲɪnʲeːsʲɛ
ejakuliuoją	ɛjɛkʊlʲuojæː
stebinčios	sʲtʲæːbʲɪnʲtʲʃʲos
gražumu	ɡɾɐʒʊmʊ
žvaigždynais	ʒʋɐjɡʲʒʲdʲiːnɐjs
epicentras	ɛpʲɪtʲsʲɛntrɐs
iškeliaujantįjį	ɪʃʲkʲɛlʲæʊjɛnʲtʲiːjiː
ištatuiruotumėme	ɪʃtɐtʊɪɾuotʊmʲeːmʲɛ
