heilum	heiːlʏm
hagsmunum	haxsmʏnʏm
hávaða	hauːvaða
ómælt	ouːmail̥t
karmelklaustur	kʰarmɛlklœistʏr
opni	ɔhpnɪ
fjárhagur	fjauːrhaɣʏr
heimtað	heim̥tað
æð	aiːð
tíðkaðist	tʰiθkaðɪst
sólvallagata	soulvatlakaːta
kio	cʰɪːou
óburstaða	ouːpʏr̥staða
unnusti	ʏnʏstɪ
stækkunar	staihkʏnar
heppnari	hɛhpnarɪ
torvelt	tʰɔrvɛl̥t
þolinmóðir	θɔːlɪnmouːðɪr
róandi	rouːantɪ
þreyja	θreija
virtir	vɪr̥tɪr
blik	plɪːk
sveitarstjórnum	sveiːtarstjourtnʏm
hernaðaraðgerðir	hɛrtnaðaraðcɛrðɪr
staurblindum	stœjrplɪntʏm
fasistana	faːsɪstana
tóbaksvarnir	tʰouːpaksvartnɪr
stykkjum	stɪhcʏm
tungnár	tʰuŋn̥aur
leturháð	lɛːtʏrhaːuð
flak	flaːk
verðkönnun	vɛrðkœnʏn
starfrækir	starvraicɪr
lifað	lɪːvað
þunn	θʏn
árnadóttur	autnatouhtʏr
vatnsglasinu	vasklasɪnʏ
bleytt	pleiht
smellpassar	smɛtl̥pasar
ofvirkni	ɔvɪr̥knɪ
þorláksdóttir	θɔrlaukstouhtɪr
ráðgjafinn	rauðcavɪn
vilhelmsson	vɪːlhɛlmsɔːn
kynlífi	cʰɪnlivɪ
nýs	niːs
háskólasjúkrahúss	hauːskoulasjuːkrahus
röddin	rœtɪn
fertugsaldri	fɛr̥tʏxsaltrɪ
kamrinum	kʰamrɪnʏm
forsala	fɔr̥sala
glóð	klouːð
leiðinlegar	leiːðɪlɛɣar
spurningin	spʏrtniɲcɪn
herkúles	hɛr̥kulɛs
knöttur	kʰnœhtʏr
rigningarbílnum	rɪkniŋkar̥pilnʏm
nema	nɛːma
örlygsstöðum	œrlɪxstœːðʏm
tónlistarskólakennara	tʰounlɪstarcɛnara
gengnum	ceiŋknʏm
alkunna	alkʏna
bitnar	pɪhtnar
sleikjóar	stlɛːjcouar
íslandsflug	istlantsflʏːɣ
lífsbaráttan	lifsparauhtan
krankleika	kʰraŋ̊kleika
stjórnar	stjourtnar
nflí	ɛnɛfɛtl̥iː
ömmu	œmʏ
sjálfshjálparhópur	sjaulsçaul̥parhouːpʏr
yfirgefa	ɪːvɪrcɛːva
fuglategundir	fʏklatɛːɣʏntɪr
yfirmáta	ɪːvɪrmauːta
lúku	luːkʏ
brunnu	prʏnʏ
löbbuðum	lœpʏðʏm
straumi	strœiːmɪ
sjálfsmark	sjaulsmar̥k
orðabókanotkun	ɔrðapoukanɔːtkʏn
sigrum	sɪɣrʏm
verslunarmanna	vɛr̥stlʏnarmana
smíða	smiːða
hendinni	hɛntɪnɪ
skítkast	sciːtkʰast
heiðu	heiːðʏ
ungverjalandi	uŋkvɛrjalantɪ
bjarts	pjar̥ts
syndagjöld	sɪntacœlt
sviptingu	svɪftiŋkʏ
biskupa	pɪskʏpa
veltufé	vɛl̥tʏfjɛː
skók	skouːk
hrifning	r̥ɪpniŋk
sippdrif	sɪhptrɪv
sjoppunni	sjɔhpʏnɪ
skro	skrɔː
rúmteppið	rumtɛhpɪð
tog	tʰɔːɣ
elskar	ɛlskar
óséður	ouːsjɛðʏr
skapmiklir	skaːpmɪhklɪr
fermingargjöf	fɛrmiŋkarcœːv
státað	stauːtað
rafkerfum	rafcʰɛrvʏm
rýnt	rin̥t
vefrits	vɛvrɪts
lífsleikni	lifstleihknɪ
fasteignasölum	fasteiknasœːlʏm
kroppað	kʰrɔhpað
ólm	oulm
þorgautur	θɔrkœjtʏr
klaustranna	kʰlœistrana
furðum	fʏrðʏm
iðin	ɪːðɪn
festur	fɛstʏr
lífríki	livricɪ
hart	har̥t
slóðina	stlouːðɪna
fiskveiðistjórnunarkerfi	fɪskveiðɪstjourtnʏnarcɛrvɪ
þvældust	θvailtʏst
næðu	naiːðʏ
drekkt	trɛxt
festu	fɛstʏ
forrit	fɔrɪt
hlédrægur	l̥jɛːtraiɣʏr
hrópið	r̥ouːpɪð
erna	ɛrtna
sjálfrátt	sjaulvrauht
samvinnunefndar	samvɪnʏnɛmtar
jarðefnabirgðir	jarðɛpnapɪrðɪr
hringfellingarnar	r̥iŋkfɛtliŋkatnar
leikmenn	leiːkmɛn
íslandsmeistaramótsins	istlantsmɛjstaramouːtsɪns
stól	stouːl
innstreymisvatn	ɪnstrɛjmɪsvahtn̥
einkennisstafina	ɛjɲcʰɛnɪstaːvɪna
hált	haul̥t
hringfleti	r̥iŋkflɛtɪ
engri	eiŋkrɪ
skoðaðir	skɔːðaðɪr
khí	kʰauːhauːiː
sunnudagaskóla	sʏnʏtaːɣaskouːla
vexti	vɛkstɪ
agi	aːjɪ
harmur	harmʏr
innskráningar	ɪnskrauniŋkar
afskiptalausa	afscɪftalœiːsa
dulist	tʏːlɪst
samsinntu	samsɪn̥tʏ
afnotaleyfi	avnɔtalɛːjvɪ
geysistór	ceiːsɪstouːr
skaraði	skaːraðɪ
undirbúningsnefndin	ʏntɪrpuːniŋsnɛmtɪn
snigill	stniːjɪtl̥
potti	pʰɔhtɪ
strandbergs	strantpɛrks
kvartett	kʰvar̥tɛht
axla	akstla
langanes	lauŋkanɛːs
endabúnað	ɛntapuːnað
hannaður	hanaðʏr
heimsbörnin	hɛjmspœrtnɪn
samningnum	samniŋnʏm
kommarnir	kʰɔmatnɪr
skilningsríkur	scɪlniŋksriːkʏr
hljómur	l̥jouːmʏr
hiki	hɪːcɪ
brún	pruːn
verkefnisstjóra	vɛr̥kɛpnɪstjouːra
drengurinn	treiŋkʏrɪn
skrækti	skraixtɪ
heilsubæjar	hɛjlsʏpajːar
axlarsprotar	akstlarsprɔːtar
ríkisútvarpinu	riːcɪsuːtvar̥pɪnʏ
toppbaráttunni	tʰɔhparauhtʏnɪ
skoðanakannanir	skɔːðanakananɪr
hagkvæmari	haɣkvaimarɪ
atvinnumenn	aːtvɪnʏmɛn
áframhald	auːframhalt
birti	pɪr̥tɪ
kontórinn	kʰɔn̥tourɪn
færibandið	faiːrɪpantɪð
kvöl	kʰvœːl
skriðdrekar	skrɪðtrɛkar
svartamyrkur	svar̥tamɪr̥kʏr
hvítlauk	kʰviːtlœik
alvarlegra	alvarlɛɣra
jarðvegsfléttur	jarðvɛksfljɛhtʏr
smáralindar	smauːlɪntar
árbæjar	aurpaijar
mannkynið	mancɪnɪð
framarar	framarar
sveitarfélaganna	sveiːtarfjɛːlaɣana
óráðin	ouːrauðɪn
systralag	sɪstralaɣ
mótandi	mouːtantɪ
fangaklefa	fauŋkaklɛːva
undirrituðu	ʏntɪrɪːtʏðʏ
skárra	skaura
kláruðum	kʰlauːrʏðʏm
hlýjasta	l̥iːjasta
almenn	almɛn
samsvara	samsvara
sjáanlegur	sjauːanlɛɣʏr
fyrirgaf	fɪːrɪrkaːv
kaflann	kʰaplan
fjárans	fjauːrans
biblíusöguna	pɪplijʏsœːɣʏna
viðgangast	vɪðkauŋkast
keppinaut	cʰɛhpɪnœiːt
búnaðarbanka	puːnaðarpauŋ̊ka
norðuráli	nɔrðʏrauːlɪ
máki	mauːcɪ
sjónvarpsþáttunum	sjounvar̥sθauhtɔnʏm
efnahagslegra	ɛpnahaxstlɛɣra
matthíasar	mahtijasar
tónlistarskólann	tʰounlɪstarskouːlan
gagnauga	kaknœiɣa
heimanmund	heiːmanmʏnt
vorkunnlát	vɔr̥kʏnlauːt
bakgrunn	paːkrʏn
tindastólsmenn	tʰɪntastoulsmɛn
lögnum	lœknʏm
örvandi	œrvantɪ
stoðar	stɔːðar
vistvæn	vɪstvain
dráttarvélinni	trauhtarvjɛːlɪnɪ
sagnfylling	sakn̥fɪtliŋk
þornaði	θɔtnaðɪ
ásmundar	auːsmʏntar
heimilskatta	hɛːjmɪlskahta
kreml	kʰrɛml̥
dónalegt	touːnalɛxt
þjóðlögum	θjouðlœɣʏm
vélhjólakeppni	vjɛlçoulacʰɛhpnɪ
augabrúnir	œiːɣapruːnɪr
blettinum	plɛhtɪnʏm
hrísmjölsgraut	r̥iːsmjœlskrœit
kannaður	kʰanaðʏr
drattaðist	trahtaðɪst
öskubakki	œskʏpahcɪ
nefndu	nɛmtʏ
notadrjúgt	nɔːtatrjuxt
tegundinni	tʰɛːɣʏntɪnɪ
forvarnir	fɔrvartnɪr
metraleitar	mɛːtralɛːjtar
jagúarbíll	jaːkuarpitl̥
verkum	vɛr̥kʏm
klaksárast	kʰlaksaurast
rofanum	rɔːvanʏm
viðskiptavinum	vɪðscɪftavɪːnʏm
pálmasunnudag	pʰaulmasʏnʏtaɣ
raunávöxtun	rœiːnauvœkstʏn
völd	vœlt
sopann	sɔːpan
brjóstakrabbamein	prjoustakrapamein
þornuðu	θɔtnʏðʏ
jarðaður	jarðaðʏr
framvinda	framvɪnta
siglingar	sɪkliŋkar
vandaðar	vantaðar
petra	pʰɛːtra
bættar	paihtar
hjálparsveitina	çaul̥par̥svɛjtɪna
fleygar	flɛːjɣar
þjóðerni	θjouːðɛrtnɪ
ljósgráum	ljouːskrauʏm
fullorðnu	fʏtlɔrtnʏ
ástralía	australija
óróanum	ouːrouanʏm
stuttermabol	stʏhtɛrmapɔːl
andlitssnyrtingu	antlɪtstnɪr̥tiŋkʏ
syndandi	sɪntantɪ
mændu	maintʏ
hnefaleikar	n̥ɛːvaleiːkar
rotterdam	rɔhtɛrtam
friðsæl	frɪðsail
festina	fɛstɪna
jótlandi	jouːtlantɪ
geldingsnes	cɛltiŋsnɛːs
endurfæddist	ɛntʏrfaitɪst
vígstöðvanna	vixstœðvana
tónleikum	tʰounleikʏm
hesthemlar	hɛsthɛmlar
stórkostlegum	stourœkʰɔstlɛɣʏm
rymjanda	rɪmjanta
heimspekinnar	heimspɛcɪnar
skáldanna	skaultana
köldu	kʰœltʏ
gunna	kʏna
hefti	hɛftɪ
tögl	tʰœkl̥
vandlætingu	vantlaitiŋkʏ
flugkennari	flʏɣcʰɛnarɪ
veiðin	veiːðɪn
turnar	tʰʏrtnar
þvotti	θvɔhtɪ
asnaskinn	astnascɪn
dagvinnulaun	taɣvɪnʏlœiːn
skólatöskunni	skouːlatʰœskʏnɪ
fjarnámi	fjarnaumɪ
hundaskólann	hʏntaskouːlan
flestallt	flɛstal̥t
tvinna	tʰvɪna
náttúrunni	nauhturʏnɪ
réttlætismál	rjɛhtlaitɪsmauːl
már	mauːr
mokuðu	mɔːkʏðʏ
smári	smauːrɪ
ylti	ɪl̥tɪ
einkafyrirtækjum	eiŋ̊kafɪːrɪrtʰaiːcʏm
málfræði	maulfraiðɪ
varðveitir	varðveitɪr
kinnbein	cʰɪnpein
borgaryfirvalda	pɔrkarɪvɪrvalta
hallur	hatlʏr
garðahringsins	karðar̥iŋsɪns
sigurvinsson	sɪːɣʏrvɪnsɔːn
fleygir	fleijɪr
fræðasetrið	fraiːðasɛːtrɪð
stórmál	stourmaul
útvegsmenn	uːtvɛxsmɛn
tilfinninganna	tʰɪlfɪniŋkana
embættisbréfunum	ɛmpajhtɪsprjɛːvɔnʏm
vasaklink	vaːsakʰlɪŋ̥k
formælingum	fɔrmailiŋkʏm
boðskapurinn	pɔðskapʏrɪn
leikskólinn	leikskoulɪn
aleinn	aːleitn̥
ötullega	œːtʏlɛɣa
skynfæri	scɪnfairɪ
umhverfisráðuneyti	ʏmkʰvɛrvɪsraːuðʏnɛjtɪ
geimfarsins	cɛjmfar̥sɪns
kyrtli	cʰɪr̥tlɪ
sveinbjarnardóttir	sveimpjatnartouhtɪr
yfirhöfuð	ɪːvɪrhœːvʏð
peking	pʰɛːciŋk
beygluð	peiklʏð
tæknifyrirtækjum	tʰaihknɪfɪːrɪrtʰaiːcʏm
hlífalausir	l̥iːfalœisɪr
siðlaus	sɪðlœis
leituðu	leiːtʏðʏ
trygglyndi	tʰrɪklɪntɪ
argentínumenn	arkɛntiːnʏmɛn
seðlabankinn	sɛðlapauɲ̊cɪn
pólitíska	pʰouːlɪtiska
ísfélagsins	iːsfjɛlaxsɪns
gifti	cɪftɪ
þorbjörn	θɔrpjœtn̥
uppgjöri	ʏhpcœrɪ
kratarnir	kʰraːtatnɪr
völuspá	vœːlʏspauː
kengbogin	cʰeiŋpɔijɪn
stílnum	stilnʏm
stjarnan	stjartnan
teresu	tʰɛːrɛsʏ
skálann	skauːlan
sigurrósu	sɪːɣʏrouːsʏ
áframsendist	aːuframsɛntɪst
konungum	kʰɔːnuŋkʏm
leikja	leiːca
reglulega	rɛklʏlɛɣa
handtökuna	hantœkʏna
gerðu	cɛrðʏ
sveigðum	sveiɣðʏm
áréttað	auːrjɛhtað
allverulega	atl̥vɛːrʏlɛɣa
kölluð	kʰœtlʏð
heimsótti	heimsouhtɪ
sokkbol	sɔhkpɔl
dýr	tiːr
uppgjörið	ʏhpcœrɪð
vösunum	vœːsɔnʏm
hverfissamtakanna	kʰvɛrvɪsamtakana
einbeittur	eimpeihtʏr
endurgreiðslu	ɛntʏrkreiðstlʏ
elíassyni	ɛːlijasɪːnɪ
fingurna	fiŋkʏtna
gamalla	kaːmatla
heimahaganna	heiːmahaːɣana
deigan	teiːɣan
miskunna	mɪskʏna
matvöru	maːtvœrʏ
askvaðandi	askvaðantɪ
verkefnin	vɛr̥kɛpnɪn
lyfsölulaga	lɪfsœlʏlaːɣa
hrísgrjónadeigi	r̥iːskrjounatɛːjɪ
björnssonar	pjœr̥sɔnar
sáir	sauːɪr
spegluðust	speiklʏðʏst
úff	uf
feigðin	fɛjɣðɪn
svínadalnum	sviːnataːlnʏm
mokað	mɔːkað
heil	heiːl
rimaskóla	rɪːmaskouːla
fornminjar	fɔrtn̥mɪnjar
reykjagarðs	reiːcakarðs
lillablár	lɪlaplaːur
arður	arðʏr
verkalýðshreyfingarinnar	vɛr̥kaliðsr̥eiːviŋkarɪnar
snælandsskóla	stnaiːlanskouːla
stórborga	stourpɔrka
fjárhags	fjauːrhaxs
niðurlægingar	nɪːðʏrlaijiŋkar
boruna	pɔːrʏna
kjarnanum	cʰartnanʏm
snúist	stnuːɪst
samviskubiti	samvɪskʏpɪːtɪ
unnarsson	ʏnar̥sɔːn
keim	cʰeiːm
tómasson	tʰouːmasɔːn
stykkinu	stɪhcɪnʏ
störf	stœrv
hversdagsleikann	kʰvɛr̥staxstleiːkan
leiðangur	leiːðauŋkʏr
spila	spɪːla
væminn	vaiːmɪn
valgeirsson	valkeir̥sɔːn
garðabæjar	karðapaiːjar
hvumsa	kʰvʏmsa
dómaranna	touːmarana
eigandi	eiːɣantɪ
masi	maːsɪ
unaðsleg	ʏːnaðstlɛɣ
slagorðinu	stlaːɣɔrðɪnʏ
meyjarhaftið	mɛːjarhaftɪð
dýrmætu	tirmaitʏ
leikið	leiːcɪð
barnauppeldi	patnaʏhpeltɪ
rjómann	rjouːman
úlpuna	ul̥pʏna
armar	armar
kollvarpa	kʰɔtl̥var̥pa
heilbrigðisstofnunar	heilprɪɣðɪstɔpnʏnar
lifðu	lɪvðʏ
knæpuna	kʰnaiːpʏna
deginum	teijɪnʏm
affalla	afatla
kúluvarpi	kʰuːlʏvar̥pɪ
nafnorð	napnɔrð
jafnasel	japnasɛːl
skrepp	skrɛhp
margoft	markɔft
leifur	leiːvʏr
íkorni	iːkɔrtnɪ
greiðslum	kreiðstlʏm
húsráðandi	huːsrauðantɪ
gallharður	katl̥harðʏr
ásdísar	austiːsar
teiknimyndaflokkur	tʰeihknɪmɪntaflɔhkʏr
gær	caiːr
ákaflega	auːkavlɛɣa
búnaðar	puːnaðar
panama	pʰaːnama
afstaðin	afstaðɪn
fingurnir	fiŋkʏtnɪr
greiðast	kreiːðast
dvaldist	tvaltɪst
suðvesturskagann	sʏðvɛstʏr̥skaɣan
hætt	haiht
veiðarnar	veiːðatnar
pólsku	pʰoulskʏ
fjölmennum	fjœlmɛnʏm
ótrúlega	ouːtʰrulɛɣa
muldur	mʏltʏr
umræddrar	ʏmraitrar
menningarhorni	mɛniŋkarhɔrtnɪ
vorhugur	vɔːrhʏɣʏr
óvenjulegum	ouːvɛnjʏlɛɣʏm
óttumst	ouhtʏmst
hagnýtri	haɣnitrɪ
ógilt	ouːcɪl̥t
apótekanna	aːpoutɛːkana
smám	smauːm
mikkelínu	mɪhkɛliːnʏ
vonarstræti	vɔːnstraiːtɪ
nálægð	nauːlaiɣð
tónlistarhátíðinni	tʰounlɪstarhauːtiðɪnɪ
atvikaðist	aːtvɪkaðɪst
tól	tʰouːl
spaghetti	spaːkhɛhti
háttalagi	hauhtalaijɪ
grunnflatar	krʏnflatar
aðgengilegir	aðcɛjɲcɪlɛjɪr
þorkatli	θɔrkahtlɪ
dæmdir	taimtɪr
stífar	stiːvar
berum	pɛːrʏm
spörk	spœr̥k
styrkleikar	stɪr̥klɛjkar
vottur	vɔhtʏr
sundlaugum	sʏntlœiɣʏm
berufirði	pɛːrʏfɪrðɪ
arabía	aːrapija
setri	sɛːtrɪ
sjúkrahúsið	sjuːkrahuːsɪð
birtuna	pɪr̥tʏna
nintendo	nɪntɛntou
nikulásdóttir	nɪːkʏlaustouhtɪr
guðsvolaða	kvʏðsvɔlaða
yfirvinna	ɪːvɪrvɪna
hlýleg	l̥iːlɛɣ
lögmanna	lœɣmana
tuggið	tʰʏcɪð
maklegt	maːklɛxt
póstgíró	pʰoustkirou
bremsur	prɛmsʏr
húsfélagsins	huːsfjɛlaxsɪns
þúsundir	θuːsʏntɪr
öllara	œlara
menntamálaráðuneytið	mɛn̥tamauːlarauːðʏneiːtɪð
drattast	trahtast
áfjáð	auːfjauð
dragtina	traxtɪna
leggöngin	lɛɣkœiɲcɪn
steinglergluggum	stɛjŋklɛrklʏkʏm
skuld	skʏlt
málverkunum	maulvɛr̥kɔnʏm
ríkt	rixt
smekk	smɛhk
norskum	nɔr̥skʏm
hneykslið	n̥eikstlɪð
fríum	friːjʏm
bolladóttur	pɔtlatouhtʏr
sönnun	sœnʏn
tilgerðarlega	tʰɪlcɛrðarlɛɣa
byrjunarliði	pɪrjʏnarlɪːðɪ
klerkarnir	kʰlɛr̥katnɪr
æfum	aiːvʏm
vofan	vɔːvan
meginverkefni	mɛjɪnvɛr̥kɛpnɪ
spýtu	spiːtʏ
einkamál	eiŋ̊kamauːl
hleyptu	l̥eiftʏ
skinninu	scɪnɪnʏ
salóme	saːloumɛ
fært	fair̥t
minnisblaði	mɪnɪsplaːðɪ
gætir	caiːtɪr
greiðslumark	kreiðstlʏmar̥k
byggingaframkvæmdir	pɪciŋkaframkvaimtɪr
vöggunni	vœkʏnɪ
mömmu	mœmʏ
uggur	ʏkʏr
hannibal	hanɪpal
gopro	kouːprouː
auglit	œiɣlɪt
hreiðurgerð	r̥ɛːjðʏrcɛrð
vestfjörðum	vɛstfjœrðʏm
blokkir	plɔhcɪr
amalegt	aːmalɛxt
leeds	liːts
hávamálum	hauːvamauːlʏm
sagarblað	saːɣarplaːð
meistaraverk	meistaravɛr̥k
sæmilega	saiːmɪlɛɣa
sálar	sauːlar
reimar	rɛːjmar
framhaldsnámi	framhaltstnauːmɪ
vörninni	vœrtnɪnɪ
finnbogadóttur	fɪmpɔatouhtʏr
flokksmanna	flɔhksmana
heimahúsum	heiːmahuːsʏm
brauði	prœiːðɪ
markpóst	mar̥kpʰoust
verkstæði	vɛr̥kstaiðɪ
ráðgjöfum	rauðcœvʏm
þórsleiknum	θour̥stlɛjhknʏm
vegamótum	vɛːɣamouːtʏm
byrjuninni	pɪrjʏnɪnɪ
frelsið	frɛlsɪð
raðir	raːðɪr
litháen	lɪːthauɛn
dauðasynd	tœiːðasɪnt
mánaðamótin	mauːnaðamouːtɪn
frænku	fraiŋ̊kʏ
hóru	houːrʏ
veiddan	vɛjtan
ræfill	raiːvɪtl̥
flestu	flɛstʏ
starfsfólkinu	starvsfoul̥cɪnʏ
seifur	seiːvʏr
frelsis	frɛlsɪs
gullgrafara	kʏtl̥kravara
blóðug	plouːðʏɣ
ásvöllum	auːsvœtlʏm
faðerni	faːðɛrtnɪ
fegurðarsamkeppni	fɛːɣʏrðarsamcɛhpnɪ
sælan	saiːlan
syðri	sɪðrɪ
sæluvímu	saiːlʏviːmʏ
rásnúmer	raːusnumɛr
putta	pʰʏhta
fyrrnefndri	fɪrnɛmtrɪ
mánaturns	mauːnatʏrtn̥s
tuldrandi	tʰʏltrantɪ
tauinu	tʰœijɪnʏ
hagkvæmastan	haɣkvaimastan
feld	fɛlt
garðari	karðarɪ
rannveigu	ranveiɣʏ
frystibúntum	frɪstɪpun̥tʏm
þóknast	θouhknast
dúfumynd	tuːvʏmɪnt
riðils	rɪːðɪls
logið	lɔknɪð
safnara	sapnara
reykjavíkurflugvallar	reiːcavikʏrflʏɣvatlar
kostnaðinum	kʰɔstnaðɪnʏm
virði	vɪrðɪ
sálarástand	sauːlarauːstant
umferðaröngþveiti	ʏmfɛrðarœiŋkθveitɪ
einstaklingarnir	einstahkliŋkatnɪr
mjálmandi	mjaulmantɪ
reyta	reiːta
ljósmyndarinn	ljouːsmɪntarɪn
látnir	lauhtnɪr
hnokka	n̥ɔhka
myndbandinu	mɪntpantɪnʏ
komnir	kʰɔmnɪr
ísleifsson	iːstleifsɔːn
skeiðina	sceiːðɪna
skallanum	skatlanʏm
sjálfstraustið	sjaulstrœistɪð
gulskríkja	kʏlskrica
tindsson	tʰɪntsɔːn
árnað	aurtnað
öfunda	œːvʏnta
myndu	mɪntʏ
kross	kʰrɔs
fimmleytið	fɪmleitɪð
bergdís	pɛrktis
saklausa	saːklœisa
eldrauðar	ɛltrœiðar
steypustöð	stɛːjpʏstœːð
kenna	cʰɛna
dökkur	tœhkʏr
ígildi	iːcɪltɪ
borgarstjórinn	pɔrkarstjouːrɪn
heimakomusýktum	hɛːjmakʰɔːmʏsixtʏm
ökumennirnir	œːkʏmɛnɪtnɪr
mikilvægara	mɪːcɪlvaiːɣara
reykjavíkurprófastsdæmi	reiːcavikʏrpʰrouːfastaiːmɪ
óánægð	ouːaunaiɣð
hugtak	hʏxtak
fernir	fɛrtnɪr
kynningardeildar	cʰɪniŋkartɛjltar
náðar	nauːðar
íhugunar	iːhʏɣʏnar
já	jauː
velkt	vɛl̥t
dufl	tʏpl̥
póstlisti	pʰoustlɪstɪ
grunnskólunum	krʏnskoulɔnʏm
vélbyssuna	vjɛlpɪsʏna
hagvaxtarskeið	haɣvakstarscɛːjð
meðalsveiflutími	mɛːðalsvɛjflʏtʰimɪ
greinilegur	kreiːnɪlɛɣʏr
viktoría	vɪxtɔrija
sættir	saihtɪr
tengdist	tʰeiŋtɪst
geði	cɛːðɪ
baðstofunnar	paðstɔvʏnar
skipi	scɪːpɪ
hagsbóta	haxspouta
hjallakirkju	çatlacɪr̥cʏ
sköpulag	skœːpʏlaɣ
mótbárum	moutpaurʏm
kristilegum	kʰrɪstɪlɛɣʏm
helg	hɛlk
niðurgreiðslur	nɪːðʏrkreiðstlʏr
fréttayfirlit	frjɛhtaɪːvɪrlɪt
bóli	pouːlɪ
fiðluleikari	fɪðlʏleiːkarɪ
berfættir	pɛr̥faihtɪr
vatnsföll	vasfœtl̥
áskorunin	auːskɔrʏnɪn
innkaupalistar	ɪŋkʰœjpalɪstar
heimilaði	heiːmɪlaðɪ
klúbbnum	kʰlupnʏm
steininum	steiːnɪnʏm
grýta	kriːta
emmess	ɛmɛs
ómerkt	ouːmɛr̥t
steinsnar	steinstnar
frídaga	friːtaɣa
forkólfum	fɔr̥kʰoulvʏm
tæknimennirnir	tʰaihknɪmɛnɪtnɪr
bíómynd	piːjoumɪnt
karlmenni	kʰatl̥mɛnɪ
endurtekning	ɛntʏrtʰɛhkniŋk
göngutúra	kœiŋkʏtuːra
bili	pɪːlɪ
skammaryrði	skamarɪrðɪ
kostuðu	kʰɔstʏðʏ
kinka	cʰiŋ̊ka
fullstrangt	fʏtl̥strauŋ̥t
klifinu	kʰlɪːvɪnʏ
dagsett	taxsɛht
flæði	flaiːðɪ
fullsadda	fʏtl̥sata
ýlfra	ilvra
myndaflokkur	mɪntaflɔhkʏr
augnbotna	œjkn̥pɔhtna
sjónvarpsstöðina	sjounvar̥stœːðɪna
heimalands	heiːmalants
fjarskalega	fjar̥skalɛɣa
ringulreið	riŋkʏlreiːð
andey	antɛj
eignaraðild	eiknaraðɪlt
hrátt	r̥auht
hreinræktaðri	r̥ɛjnrajxtaðrɪ
gallstíflunni	katl̥stiplʏnɪ
neðstivegur	nɛðstɪvɛːɣʏr
forystuna	fɔːrʏstʏna
slorlykt	stlɔːrlɪxt
framrás	framraus
eimdi	eimtɪ
heildstætt	heiltstaiht
ósnert	ouːstnɛr̥t
brjálaðan	prjauːlaðan
vindli	vɪntlɪ
fábrotna	fauːprɔhtna
smásölu	smauːsœlʏ
grikklandi	krɪhklantɪ
grundarfjörður	krʏntarfjœrðʏr
algleymi	alkleimɪ
hlemminn	l̥ɛmɪn
kópavoginn	kʰouːpavɔːjɪn
karamellu	kʰaːramɛlʏ
lesenda	lɛːsɛnta
glúms	klums
fjármálamarkaðar	fjaurmaulamar̥kaðar
sjálfu	sjaulvʏ
utanundir	ʏːtanʏntɪr
fagnaði	faknaðɪ
hjartanlega	çar̥tanlɛɣa
olíuleiðslurnar	ɔːlijʏlɛjðstlʏtnar
fórnarlömb	fourtnarlœmp
hæfileikaríka	haiːvɪleikariːka
byggðum	pɪɣðʏm
djöfla	tjœpla
fáklædd	fauːklait
söngvakeppnin	sœiŋkvacɛhpnɪn
keyptir	cʰeiftɪr
ljóðunum	ljouːðɔnʏm
djúps	tjuːps
jarðlíf	jarðliv
frumleika	frʏmleika
brandari	prantarɪ
lágu	lauːʏ
kaldra	kʰaltra
námsráðgjafa	naumsrauðcaːva
hnusaði	n̥ʏːsaðɪ
þingeyinga	θiŋkeijiŋka
höfuðáherslu	hœːvʏðauːhɛr̥stlʏ
rauðskeggur	rœiðscɛkʏr
snertihnapp	stnɛr̥tɪn̥ahp
tæknideildarinnar	tʰaihknɪteiltarɪnar
brotna	prɔhtna
hugsjónabróður	hʏxsjounaprouːðʏr
frægi	fraijɪ
litbrigðum	lɪːtprɪɣðʏm
kleifarvatni	kʰleiːvarvahtnɪ
líkara	liːkara
utanum	ʏːtanʏm
sigurveig	sɪːɣʏrveiːɣ
gústaf	kustav
partíinu	pʰar̥tijɪnʏ
fjólubláan	fjouːlʏplauːan
jafnvæginu	japvaijɪnʏ
matt	maht
glottið	klɔhtɪð
skínandi	sciːnantɪ
erfði	ɛrðɪ
varðstjóra	varðstjoura
lækki	laihcɪ
sónötur	souːnœtʏr
svitadroparnir	svɪːtatrɔːpatnɪr
leysingum	lɛːjsiŋkʏm
ævintýrin	aiːvɪntiːrɪn
heimur	heiːmʏr
dökkbláum	tœhkplauʏm
greiddist	kreitɪst
afmarkaða	avmar̥kaða
skrökvaði	skrœːkvaðɪ
klakanum	kʰlaːkanʏm
bergþóru	pɛrkθourʏ
ársæli	aur̥sailɪ
lífsbaráttunni	lifsparauhtʏnɪ
framkvæma	framkvaima
frumbernsku	frʏmpɛnskʏ
ritu	rɪːtʏ
meginlandi	meijɪnlantɪ
sanna	sana
tryggingargjald	tʰrɪciŋkarcalt
hóla	houːla
steinunnar	steiːnʏnar
sýslumanns	sistlʏmans
rúllukragabol	rulʏkraɣapɔːl
heilsugæslunni	heilsʏcaistlʏnɪ
skúringar	skuːriŋkar
landsvirkjun	lantsvɪrcʏn
baðströndinni	paðstrœntɪnɪ
musteri	mʏstɛrɪ
hringbryggju	r̥iŋprɪcʏ
vin	vɪːn
áskel	auːscɛl
frelsara	frɛlsara
eyðimörkinni	eiːðɪmœr̥cɪnɪ
geirlaug	ceirlœiɣ
vaskinum	vascɪnʏm
ágengni	auːceiŋknɪ
