σκορδόψωμα	skoɾðopsoma
ξεχέζω	kseçezo
ακουμπιστήρι	akumbistiɾi
χρονολογήθηκα	xronoloʝiθika
φιλόσοφοσ	filosofos
εγγράφηκαν	eŋɣrafikan
πακετάρω	pacetaɾo
εγκαταλείφθηκα	eŋɡatalifθika
αξιολογούμαι	aksioloɣume
λύετε	liete
προηγούμενε	proiɣumene
τρίφτηκα	triftika
καταβάλλομε	katavalome
πουλάρι	pulaɾi
αναλίσκομε	analiskome
μαζέψτε	mazepste
ὑπογράφομαι	ipoɣrafome
ομόλογη	omoloʝi
γυρεύω	ʝiɾevo
παγωμένο	paɣomeno
στρατόπεδο	stɾatopeðo
καταργώ	kataɾɣo
κοιτίδεσ	citiðes
κλώσσα	klosa
χαραλάμπησ	xaɾalambis
θερμοκοιτίδα	θermocitiða
πλησιάζουμε	plisiazume
απελπισμένα	apelpizmena
βρυκόλακασ	vɾikolakas
διώχνομαι	ðʝoxnome
έβδομοσ	evðomos
κουρεύομαι	kuɾevome
αλευρωμένα	alevromena
βουτυρώνομαι	vutiɾonome
ξαράχνιασα	ksaɾaxɲasa
ροχάλισμα	ɾoxalizma
νοστιμίζω	nostimizo
σπέτσεσ	spetses
διαπνέομαι	ðiapneome
αποδείχτηκαν	apoðixtikan
ζωντάνεψα	zondanepsa
τρίπολη	tɾipoli
σκασμένοσ	skazmenos
αλκοολούχοσ	alkooluxos
άγιων	aʝion
κραγμένησ	kraɣmenis
αντιπροσωπεύω	andipɾosopevo
επείγων	epiɣon
αλευρωμένοσ	alevromenos
ντροπαλά	dɾopala
παρακολουθήθηκα	paɾakoluθiθika
κάνσασ	kanzas
εξαναγκάσθηκα	eksanaŋɡasθika
λεία	lia
υπολογιστικών	ipoloʝistikon
συγχωριέμαι	siŋxoɾʝeme
τριακόσια	tɾiakosça
νεκρό	nekɾo
αναδιοργανώνω	anaðioɾɣanono
επιλέγω	epileɣo
ερωτεύομαι	erotevome
πρόσφερα	pɾosfeɾa
διαλελυμένοι	ðialelimeni
καπνίζομε	kapnizome
κεριών	cerʝon
εμβόλια	eɱvolia
εβίβα	eviva
αναρμοδίωσ	anaɾmoðios
απαρηγορήτωσ	apaɾiɣoɾitos
άγιο	aʝio
ακώλυτοσ	akolitos
πληρώνομαι	pliɾonome
αξιολύπητοσ	aksiolipitos
βαθμολογημένο	vaθmoloʝimeno
ασκώ	asko
ανθρακιά	anθraca
εκκολάψεισ	ekolapsis
μέγασ	meɣas
χρησιμοποιούμαι	xɾisimopiume
γιατρείεσ	ʝatɾies
χρεώνομαι	xɾeonome
αμεριμνησίεσ	ameɾimnisies
μαρτυρήθηκα	maɾtiɾiθika
αποσπώ	apospo
μπερδεμένησ	beɾðemenis
πατρικόσ	patrikos
κυνηγημένα	ciniʝimena
κωλόγεροσ	koloʝeɾos
ομολογία	omoloʝia
βρίζω	vɾizo
μελισσοκομία	melisokomia
ανταμώθηκα	andamoθika
λυθήκατε	liθikate
έφτασα	eftasa
σημάδια	simaðʝa
αλητεύω	alitevo
πουτανάκι	putanaci
πύο	pio
χαρτορίχτρα	xaɾtoɾixtɾa
πιστεύομαι	pistevome
βελανίδι	velaniði
βαρύτητα	varitita
αρρωστημένου	arostimenu
μωρόσ	moɾos
αγχώνω	aŋxono
φράζω	frazo
άκαμπτοσ	akamptos
επανειλημμένουσ	epanilimenus
απλοποιώ	aplopio
παράβυστοσ	paravistos
αγίου	aʝiu
σκατά	skata
αντιμετωπίζω	andimetopizo
συνέτριψα	sinetɾipsa
ακοινωνησιέσ	acinonisçes
μαζικότερων	mazikoteron
πάγκοσ	paŋɡos
βαλσάκια	valsaca
αντικλεπτικέ	andikleptiçe
αγγαρεύομαι	aŋɡaɾevome
περασμένε	perazmene
κλήθηκα	kliθika
σκατήσ	skatis
διοργανώνω	ðioɾɣanono
κρεμασμένησ	kremazmenis
περαστικόσ	peɾastikos
διαμορφώσεισ	ðʝamoɾfosis
αναγνωρισμένουσ	anaɣnorizmenus
αμφιλεγόμενοσ	aɱfileɣomenos
φαρσί	farsi
αλυσίδα	alisiða
ασεβώσ	asevos
στερώ	steɾo
αραχνιασμένοσ	aɾaxɲazmenos
ανατινάχτηκα	anatinaxtika
κοσμάκησ	kozmacis
σταγόνεσ	staɣones
φωτογραφικέ	fotoɣrafice
παραβλέπομε	paɾavlepome
κουφάρι	kufaɾi
φορεμένοσ	foɾemenos
λειώνω	ʎono
πίνομε	pinome
νήσσα	nisa
αίσθηση	esθisi
ιντιάνα	indiana
κυβερνήθηκα	civeɾniθika
διαχειρίζομαι	ðiaçiɾizome
προσέρχομαι	proserxome
γερόσ	ʝeɾos
νοεμβρίουσ	noeɱvɾius
ταχυδακτυλουργία	taçiðaktiluɾʝia
αγανάκτησα	aɣanaktisa
αιγίνησ	eʝinis
κακογαμημένουσ	kakoɣamimenus
ξεκούρασα	ksekuɾasa
ιουλίουσ	iulius
δόγμα	ðoɣma
συνδυάστηκα	sinðiastika
αγυιόπαιδοσ	aʝiopeðos
ἐκρούσθην	ekrusθin
τετριμμένεσ	tetrimenes
ανάπαυσα	anapafsa
αδειάστηκα	aðʝastika
άμπελοσ	ambelos
ταλαντούχοσ	talanduxos
κατίσχυσα	katisçisa
φουμάρισε	fumaɾise
εξήρα	eksira
αβαράρισα	avaɾaɾisa
περιθάλπω	peɾiθalpo
λύνεσαι	linese
κρούουμε	kruume
υποθάλπομε	ipoθalpome
υποκρύπτομε	ipokɾiptome
αρρωστημένη	arostimeni
ανορθώνομαι	anoɾθonome
αναμμένου	anamenu
διαχέομε	ðiaçeome
ονομάζω	onomazo
παρελθουσών	parelθuson
ἔκλεισα	eklisa
αποκαλύψεισ	apokalipsis
επικοινωνώ	epicinono
μόρτισσα	moɾtisa
μαυρισμένησ	mavrizmenis
πιόνιο	pionio
άρα	aɾa
χρεώνω	xɾeono
εφευρέθηκα	efevɾeθika
αγαπήσει	aɣapisi
πωλούμε	polume
πεθαμένου	peθamenu
αλωνάρηδων	alonaɾiðon
πρωταγωνιστών	pɾotaɣoniston
λύομε	liome
στείροσ	stiɾos
μυτούλα	mitula
ακοινωνησιά	acinonisça
χειρονομούσα	çiɾonomusa
αποκόπτομε	apokoptome
ταμείο	tamio
ισχίο	isçio
στο	sto
γενιέσ	ʝeɲes
χαζομάρα	xazomaɾa
στενοχωρημένη	stenoxorimeni
διώχθηκα	ðioxθika
δεκέμβριοσ	ðeceɱvɾios
διαμείφθηκαν	ðiamifθikan
σαντουριών	sandurʝon
ανάτεινα	anatina
ακταιωρό	akteoro
αντιστρέφομαι	andistɾefome
αποθηκεύομαι	apoθicevome
καθαρεύουσα	kaθaɾevusa
κλεμμένοσ	klemenos
δημοσιεύεται	ðimosievete
στεναχωρώ	stenaxoro
αξιοσημείωτε	aksiosimiote
κολυμπάω	kolimbao
επιτεύχθηκα	epitefxθika
αμορφωσιών	amoɾfosçon
άσπρισα	aspɾizo
σπιτάκι	spitaci
αμυδρόσ	amiðɾos
ανεγνωρισμένοσ	aneɣnoɾizmenos
ανορθώσεισ	anoɾθosis
άρτοσ	artos
έραψα	eɾapsa
άγγελοσ	aŋɟelos
συνοδέ	sinoðe
τρίβομαι	trivome
πεθερικά	peθeɾika
μολογάω	moloɣao
εξοπλισμένε	eksoplizmene
αλληλοσυγκρουόμενα	alilosiŋɡruomena
κατηγόρησα	katiɣoɾisa
μέρεψα	meɾepsa
παγασών	paɣason
τσεκάριζα	tsekaɾiza
σταφιδόψωμων	stafiðopsomon
συνδέθηκα	sinðeθika
μειώθηκα	mioθika
ντρέπομαι	dɾepome
κατηγορούμαι	katiɣoɾume
ανάβαθοσ	anavaθos
γεννιέμαι	ʝeɲeme
τρομοκρατώ	tɾomokɾato
σουτάρομαι	sutaɾome
θλιβερέσ	θliveɾes
λυθώ	liθo
αλατισμένα	alatizmena
αναμαλλιασμένοσ	anamaʎazmenos
συγχάρηκα	siŋxarika
πασπάτεψα	paspatepsa
πεινασμένησ	pinazmenis
διαμηνύομαι	ðiaminiome
καλώ	kalo
μαργαριτάρι	maɾɣaɾitaɾi
πύον	pion
χαμσίνι	xamsini
γαμημένεσ	ɣamimenes
μη	mi
βασίλεψα	vasilepsa
βάσταξα	vastaksa
πλησιάζομαι	plisiazome
σοφά	sofa
ανεβασιέσ	anevasçes
τελέσθηκα	telesθika
παγκοσμιοποίησησ	paŋɡozmiopiisis
αρματώθηκα	aɾmatoθika
ον	on
διεγείρομε	ðieʝiɾome
συνοδόσ	sinoðos
μυγοσκοτώστρα	miɣoskotostɾa
ανελκυστήρασ	anelcistiɾas
βουτυρωμένα	vutiromena
νικημένησ	nicimenis
απασχολιέμαι	apasxoʎeme
διημείφθησαν	ðiimifθisan
αποβιβάζω	apovivazo
γκομενάρα	ɡomenaɾa
χρωστάω	xɾostao
μαλακισμένησ	malacizmenis
ίε	ie
πηδηγμένοσ	piðiɣmenos
κόλλημα	kolima
απόκρουσα	apokrusa
δημιουργήθηκα	ðimiuɾʝiθika
αληθών	aliθon
τρέμω	tremo
συνάπτομαι	sinaptome
ψοφάω	psofao
χεζάσ	çezas
καλμάριζα	kalmaɾiza
σελάμι	selami
καταπολεμούμαι	katapolemume
νυχτωδία	nixtoðia
συγκινημένα	siŋɟinimena
σκωτία	skotia
παιδεραστία	peðeɾastia
πλίνθο	plinθo
μούσκεψα	muscepsa
σταυροφορία	stavɾofoɾia
ορθοδόξωσ	oɾθoðoksos
λιόψωμο	ʎopsomo
φασκιώνομαι	fascionome
προσαρμόστηκα	pɾosaɾmostika
διψασμένησ	ðipsazmenis
εκκρούουμε	ekruume
απέχθεια	apexθia
αεροφωτογραφίζουμε	aerofotoɣrafizume
σουτάριζε	sutaɾize
αγγιγμένοσ	aŋɟiɣmenos
φύλο	filo
κίμωλε	cimole
κανακεύτηκα	kanaceftika
προήρθα	proirθa
μεταφράζω	metafɾazo
συναίρεση	sineresi
πρωταγωνιστή	pɾotaɣonisti
κονικλοτροφείο	koniklotrofio
παρηγοριέσ	paɾiɣoɾʝes
καταφέρθηκα	katafeɾθika
παλιόγεροσ	paʎoʝeɾos
καλομοίρεσ	kalomires
κέφι	cefi
χείλοσ	çilos
κούρεψα	kuɾepsa
μέρεψε	meɾepse
ψυχολογική	psixoloʝici
φυλώ	filo
οφειλέτησ	ofiletis
ήττα	ita
κάνω	kano
συντρίβομαι	sindrivome
εκτελώ	ektelo
κομμένου	komenu
μάλωμα	maloma
αποτρέπω	apotɾepo
μουσκεμένεσ	muscemenes
δήλωσα	ðilosa
φραντζόλα	frandzola
αναγεννώμαι	anaʝenome
ανάδειξα	anaðiksa
εφτά	efta
απόβαλλε	apovale
στέμμα	stema
τούρτα	tuɾta
έλκοσ	elkos
χρησιμοποιούμε	xɾisimopiume
τριταγωνιστών	tritaɣoniston
λειψανοθήκη	lipsanoθici
διαιρούμαι	ðieɾume
ετεροφυλόφιλοσ	eteɾofilofilos
ενημερώσεων	enimeroseon
δημαρχεία	ðimaɾçia
κοροϊδεύτε	koɾoi̯ðefte
πιγκουίνοσ	piŋɡuinos
ραφείο	ɾafio
διπλάσιοσ	ðiplasios
απομονώνομαι	apomonono
οσάκα	osaka
εξημερώθηκα	eksimeɾoθika
γλάστρα	ɣlastɾa
ντροπιασμένη	dɾopçazmeni
ἐξετελέσθην	eksetelesθin
τραυματίασ	tɾavmatias
σιάτιστα	sçatista
μαραγκόσ	maraŋɡos
αλλοιώσεισ	aliosis
εμπρόσ	ebros
βυθισμένοσ	viθizmenos
ξεγράφτηκα	kseɣraftika
παύομαι	pavome
βυθισμένουσ	viθizmenus
σιχτίρ	sixtiɾ
διεμήνυσα	ðieminisa
σούρθηκα	surθika
αξιοσημείωτα	aksiosimiota
τετριμμένουσ	tetrimenus
διαστροφή	ðʝastɾofi
τείνουμε	tinume
αναθεματισμένησ	anaθematizmenis
χαζόσ	xazos
θρηνήθηκα	θɾiniθika
φορούσα	foɾusa
φωτογραφεία	fotoɣrafia
κετσέ	ketse
νοιάζομαι	ɲazome
λιγότερη	liɣoteri
δηλωμένοσ	ðilomenos
καλύπτομαι	kaliptome
αβουλησίασ	avulisias
αδελφοκτονία	aðelfoktonia
κλέφτικο	kleftika
εφαρμόζω	efaɾmozo
άραξα	araksa
μικρό	mikɾo
κρεμασμένουσ	kremazmenus
διαμηνύθηκα	ðiaminiθika
βρόμικοι	vɾomici
ουαλία	ualia
προσγειώσεισ	pɾozʝiosis
αναβαλλόμενουσ	anavalomenus
προσεκλήθη	pɾosekliθi
μπαλαδόροσ	balaðoɾos
διέκοψα	ðʝekopsa
πομφόσ	poɱfos
επάλειψα	epalipsa
κομμένεσ	komenes
συνετρίβησαν	sinetɾivisan
ανατράπηκε	anatɾapice
δημοσιεύομαι	ðimosievome
ζητώ	zito
αγριοσυκιά	aɣɾiosicʝa
αυξομειώνομαι	afksomionome
θερμοδυναμικό	θermoðinamiko
συσκέπτομαι	sisceptome
κοντρολαρίστηκα	kontrolaɾistika
λουκανικόπιτα	lukanikopita
ραγιάδων	ɾaʝaðon
αύγουστοι	avɣusti
οφείλομε	ofilome
ρώμη	ɾomi
σταγόνασ	staɣonas
σκουντήθηκα	skundiθika
αγκομάχησα	aŋɡomaçisa
τελευταία	teleftea
σπέρνομαι	speɾnome
στρέφουμε	stɾefume
απορροφήσεισ	apoɾofisis
χεσμένοσ	çezmenos
περνάω	peɾnao
ἐνέγραψα	eneɣrapsa
περικόβουμε	peɾikovume
σητεία	sitia
συγκόπτομε	siŋɡoptome
μπλιαχ	bʎax
ακοομετρίεσ	akoometries
αποτραπήκαν	apotɾapikan
θυμωμένοσ	θimomenos
κιάλι	cali
εκχέουμε	ekçeume
βάλουνε	valune
αποστειρώνομαι	apostiɾonome
ενημέρωσησ	enimerosis
ηλιοτρόπιο	iliotɾopio
σοφάδων	sofaðon
αποδοκιμάστηκα	apoðocimastika
νεοζηλανδή	neozilanði
απασχολώ	apasxolo
καθέλκομαι	kaθelkome
μητέρα	mitera
γελοίοσ	ʝelios
σοφιών	sofion
αλαμπουρνέζικε	alaburnezice
λείπω	lipo
χαστούκι	xastuci
πίνεισ	pinis
κοντρολαρίστηκα	kondrolaɾistika
δολοφόνησα	ðolofonisa
διαμορφώνω	ðʝamoɾfono
ήβη	ivi
συγγράφηισ	siŋɣrafis
γενιά	ʝeɲa
σείομε	siome
έβιασα	evʝasa
ανακρούσθηκα	anakrusθika
φώσφοροσ	fosfoɾos
απορροφούμενο	apoɾofumeno
παραειδώθηκα	paɾaiðoθika
περιέπλεξα	peɾiepleksa
ξεχνάω	ksexnao
ανταμώνομαι	andamonome
θυμωμένοι	θimomeni
διεγερμένοσ	ðieʝeɾmenos
αγανακτισμένησ	aɣanaktizmenis
ποιώ	pio
κομπιναδόροσ	kombinaðoɾos
λικεράκι	liceɾaci
αναβιβάσθηκα	anavivasθika
εσωκλείω	esoklio
κλιμακώνω	klimakono
τζιν	dzin
ζεσταμένων	zestamenon
τσακώνικε	tsakonice
αγκαλιάστηκα	aŋɡaʎastika
ενοχλητικόσ	enoxlitikos
πρωτοκολλώ	pɾotokolo
χρησιμοποιημένοσ	xɾisimopiimenos
νεράιδα	neɾaiða
απομόνωσα	apomonosa
οπτιμιστήσ	optimistis
προσφέρω	pɾosfeɾo
γκαστρωμένοσ	ɡastɾomenos
μύκονε	mikone
διαχέουμε	ðiaçeume
αφαιρώ	afeɾo
απόδειξε	apoðikse
βαθμολογημένησ	vaθmoloʝimenis
εγείρω	eʝiɾo
αλαφιασμένοσ	alafçazmenos
αναστύλωσα	anastilosa
έρπω	erpo
συνηθισμένα	siniθizmena
χαρτζιλίκι	xaɾdzilici
μειονότητα	mionotita
δέομαι	ðeome
τρυπημένοσ	tɾipimenos
εσυ	esi
ορίστε	oɾiste
ιουνίου	iuniu
συμφωνώ	siɱfono
φιξαρίστηκα	fiksaɾistika
απόκριση	apokɾisi
γνώσεισ	ɣnosis
όφελοσ	ofelos
ξύλινοσ	ksilinos
βρεφοκομείο	vɾefokomio
έννοια	eɲa
εσπεράντο	espeɾando
ημέρεψε	imeɾepse
ξοδιάστηκα	ksoðʝastika
υπέροχα	ipeɾoxa
κουβαλημένοσ	kuvalimenos
μοιρασμένουσ	miɾazmenus
γελιέμαι	ʝeʎeme
εψέσ	epses
εξού	eksu
αγιάζω	aʝiazo
επαλείφομαι	epalifome
ενημέρωση	enimerosi
άχρηστοσ	axɾistos
ροδάκινου	roðacinu
ερρινότητα	erinotita
γογγύλι	ɣoŋɟili
υπογράφει	ipoɣrafi
υδραυλικόσ	iðravlikos
κωσταντίνε	kostandine
τίνασ	tinas
ανέπλευσα	aneplefsa
ακρίτησ	akritis
δεκατριών	ðekatɾion
ἑορτάζομαι	eoɾtazome
κατεργάζομαι	katerɣazome
καπνίστηκα	kapnistika
αστέρι	asteɾi
όμορφο	omoɾfo
νικολάου	nikolau
επισυνήφθησαν	episinifθisan
κινδύνευσε	cinðinefse
κυκλοφορημένοσ	ciklofoɾimenos
ενεγράφη	eneɣrafi
αίγυπτοσ	eʝiptos
κινδυνεύετε	cinðinevete
σειέμαι	sçeme
αλίμενοσ	alimenos
τούβλο	tuvlo
κατάστρωμα	katastroma
δεχθεί	ðexθi
κυήματα	ciimata
κεκλεισμένων	ceklizmenon
ξεσκατώνω	kseskatono
στιμμένοσ	stimenos
αντιγράφτηκα	andiɣraftika
πίεσα	piesa
βραχυκύκλωσα	vɾaçiciclosa
ντουμπλαρίστηκα	dublaɾistika
συνδιασκέπτομαι	sinðiasceptome
όγδοοσ	oɣðoos
δηλώνομε	ðilonome
επικαλύφθηκα	epikalifθika
οπλισμένο	oplizmeno
μμε	mimie
παράκαμψα	paɾakampsa
προσφύομαι	prosfiome
επαρκέστεροι	epaɾcesteɾi
μεσαιωνικήσ	meseonicis
πεπεισμένη	pepizmeni
πολωνή	poloni
μαυρισμένεσ	mavrizmenes
στυμμένο	stimeno
έλυσαν	elisan
σκέπτομαι	sceptome
ποικιλότατων	picilotaton
συνηθισμένησ	siniθizmenis
σεπτέμβρη	septeɱvɾi
πειθαναγκάζομαι	piθanaŋɡazome
θερμοκοιτίδασ	θermocitiðas
εκχύνομαι	ekçinome
δράμα	ðrama
αναγράφομε	anaɣrafome
επαναφέρω	epanafeɾo
φύλλο	filo
πύργοσ	pirɣos
πλειόκαινοσ	pliocenos
συνεχίζομαι	sineçizome
διαθλώμαι	ði̯aθlome
προκαταβάλλουμε	pɾokatavalume
βροντοχτυπώ	vɾondoxtipo
αλευρωμένε	alevromene
παρακάμπτω	paɾakampto
παρουσιάστηκα	paɾusiastika
εισακούστηκα	isakustika
μεγάλοσ	meɣalos
καίγομαι	ceɣome
αποσαθρώσεισ	aposaθɾosis
πύργουσ	pirɣus
διψασμένοι	ðipsazmeni
λαδιά	laðʝa
προετοιμάζομαι	pɾoetimazome
νάουσα	nausa
πώλησα	polisa
αναρμοδιότητα	anaɾmoðiotita
νεκροκεφαλή	nekɾocefali
αερόμετρο	aeɾometɾo
όλισβοσ	olizvos
βάσω	vaso
εφημερίδα	efimeriða
σεπτεμβρίων	septeɱvɾion
έσταξα	estaksa
καλοφάγωτησ	kalofaɣotis
κουρελιού	kuɾeʎu
κούκλα	kukla
παγωνιά	paɣoɲa
νεβάδα	nevaða
λησμονώ	lizmono
αλφαβήτων	alfaviton
κουρέλιασα	kuɾeʎasa
χριστουγέννων	xɾistuʝenon
επανιδρύω	epaniðrio
φολίδα	foliða
δυτικόσ	ðitikos
προβλέφθηκα	pɾovlefθika
αγιογραφημένοσ	aʝioɣɾafimenos
πωλούμαι	polume
ημερεύω	imeɾevo
ανάγκησ	anaŋɟis
βόσκησα	voscisa
αποτελούμαι	apotelume
αποθανών	apoθanon
ασκημένοσ	ascimenos
σβηστήρα	zvistiɾa
παρακαλώ	parakalo
συγγραφεί	siŋɣrafi
σούρνομαι	surnome
στειμμένου	stimenu
παρφουμαρίστηκα	paɾfumaɾistika
δαγκάσει	ðaŋɡasi
φέρομαι	feɾome
μαρκάριζα	maɾkaɾiza
πρωτοανακαλύπτομαι	pɾotoanakaliptome
ερυθρόσ	eriθros
συνεθλίβησαν	sineθlivisan
κατοικώ	katiko
ακρεοφαγία	akɾeofaʝia
φεβρουαρίων	fevɾuaɾion
έναντι	enandi
τοποθετημένοσ	topoθeto
ερυθροκύανοσ	eriθrocianos
κρούσθηκα	krusθika
φαρμακώνομαι	faɾmakonome
εκκρούομε	ekruome
προβλέπομε	pɾovlepome
καλοκαιρινόσ	kaloceɾinos
ζωντανεύω	zondanevo
εξέλειψα	ekselipsa
γιεν	ʝen
διαλυμένο	ðʝalimeno
προσθέτω	prosθeto
κάμπτω	kampto
μαζικά	mazika
ακληρονόμητοσ	akliɾonomitos
ποδοσφαιρίστρια	poðosfeɾistɾia
χαρχάλεμα	xaɾxalema
υποπτεύομαι	ipoptevome
αγγισμένη	aŋɟizmeni
υπογράφω	ipoɣɾafo
ντουμπλάρισα	dublaɾisa
μουνόψειρα	munopsiɾa
απόπλου	apoplu
εξοπλισμένου	eksoplizmenu
έχασα	exasa
εκλήθησαν	ekliθisan
αηδιασμένοσ	aiðiazmenos
άγγισα	aŋɟisa
διέρχομαι	ðierxome
ύστερα	istera
φυλλομετράμε	filometɾame
ποικίλα	picila
συγγραφέων	siŋɣrafeon
αποτέλεσα	apotelesa
γονυπετή	ɣonipeti
παρηγοριά	paɾiɣoɾʝa
πειθαναγκάζουμε	piθanaŋɡazume
δημοκρατιῶν	ðimokration
αφορίζω	afoɾizo
αφήγηση	afiʝisi
μοίρασα	miɾasa
αγγούρι	aŋɡuɾi
ζύθοσ	ziθos
αντέβαινα	andevena
ρούφηξα	ɾufiksa
αποκλείομαι	apokliome
ἡλικιωμένοσ	iliciomenos
κρίνομαι	kɾinome
δάγκωσα	ðaŋɡosa
αποκαλύπτω	apokalipto
αναβοσβήνω	anavozvino
χρωστούσα	xɾostusa
ξάσπρισα	ksasprisa
ήπιοσ	ipios
πουλάκι	pulaci
χέζω	çezo
βοηθούμενοσ	voi̯θumenos
έλουσα	elusa
περικλείσθηκα	periklisθika
κωνσταντή	kostandi
τραγουδιέμαι	tɾaɣuðʝeme
αγόρι	aɣori
μαφιόζοσ	mafʝozos
ογδοήκοντα	oɣðoikonda
επιγράφω	epiɣrafo
αντλήθηκα	andliθika
κωσταντίνασ	kostandinas
έπεμψα	epempsa
ανατραπήκανε	anatɾapikane
πολυμήχανοσ	polimixanos
διοργανώνομαι	ðioɾɣanonome
κινδύνευσα	cinðinefsa
ξαλεγράρισα	ksaleɣɾaɾisa
αποκαλύπτουμε	apokaliptume
λαμβάνομαι	lamvanome
κατέπλευσα	kateplefsa
χόρεψε	xoɾepse
αγάπησα	aɣapisa
σφαλιαρίτσα	sfaʎaɾitsa
ενστερνίστηκα	ensternistika
μετατρέπομε	metatɾepome
αβαράριζε	avaɾaɾize
φανταχτερόσ	fandaxteros
αναθάλλω	anaθalo
άγιοσ	aʝos
κλείνομαι	klinome
ξύλο	ksilo
αγγιγμένα	aŋɟiɣmena
εγκαθίδρυσα	eŋɡaθiðrisa
κάθισα	kaθisa
ανακαινίζομαι	anacenizome
αποδείχτηκα	apoðixtika
εμπνευσμένου	embnevzmenu
κελαηδάω	celaiðao
πληρώθηκα	pliɾoθika
νοσοκόμοσ	nosokomos
γουστάριζε	ɣustaɾize
πρεσαρίστηκα	pɾesaɾistika
κατισχύω	katisçio
ναυτολόγιο	naftoloʝio
κάτασπρη	kataspɾi
αγνοημένοσ	aɣnoimenos
πνέω	pneo
σωρέ	soɾe
γέρασα	ʝeɾasa
αχάριστοσ	axaɾistos
μισθόσ	misθos
λευκή	lefci
νοστιμεύω	nostimevo
σωροί	soɾi
χρειάζομαι	xɾiazome
άγιου	aʝu
αγαθεύω	aɣaθevo
λαογραφία	laoɣɾafia
σύνθλιψα	sinθlipsa
αλληλοσυγκρουόμενοι	alilosiŋɡruomeni
αχιλλέασ	açileas
αγνάντεψα	aɣnandepsa
περνάει	peɾnai
στρατοπεδεύω	stɾatopeðevo
σκοτώστρα	skotostɾa
θρόμβωση	θɾoɱvosi
φωνή	foni
προσευχή	pɾosefçi
σαμποδρόμιο	samboðromɲo
περικόπτομαι	peɾikoptome
ρεφρέν	refren
υπολογιστικό	ipoloʝistiko
ανιδρύουμε	aniðriume
πέμπτων	pemton
τριάντα	trianda
αφοσιώνομαι	afosionome
λεξιπλασίασ	leksiplasias
λέγουμε	leɣume
κοκκίνων	kocinon
βατραχάνθρωποσ	vatɾaxanθɾopos
παγκάκι	paŋɡaci
άγγιξα	aŋɟiksa
εγγράφουμε	eŋɣrafume
γράμμα	ɣrama
οφιοειδών	ofioiðon
διατηρήθηκα	ði̯atiɾiθika
διαχειρίσθηκα	ðiaçiɾisθika
αντευχήθηκα	andefçiθika
αυνανίζομαι	avnanizome
στιμμένα	stimena
βρισίδι	vɾisiði
ενδιατρίβω	enðiatɾivo
ουσιαστικοποιήσεωσ	usiastikopiiseos
νοστίμισα	nostimisa
μπανιερίτσα	baɲeɾitsa
βοηθάω	voiθao
προμήθευσα	pɾomiθefsa
κεντώ	cento
αράδα	aɾaða
ανθεστηρίων	anθestiɾion
ταίρι	teri
θλιβερά	θliveɾa
γκεσεμιών	ɟesemɲon
ξενιτιέσ	ksenitçes
αλευρωμένοι	alevromeni
παρεκτρέπω	paɾektɾepo
αμπαρώνω	abaɾono
απαραδέκτωσ	apaɾaðektos
πιλόταρα	pilotaɾa
κορίτσια	koɾitsça
τυχερόσ	tiçeros
απόβαλε	apovale
σέρνομαι	sernome
πρωτομάρτυρα	pɾotomaɾtiɾa
κάμψεισ	kampsis
χαρχαλεύω	xaɾxalevo
ξύστρα	ksistra
περιπλέκομε	peɾiplekome
απασχολημένησ	apasxolimenis
κατέβαλλα	katevala
αίγιο	eʝio
γιουγκοσλαβία	ʝuɡozlavia
αβγατισμένησ	avɣatizmenis
αναλυτά	analita
επεγράφησαν	epeɣrafisan
αρκώ	aɾko
αξιοσημείωτο	aksiosimioto
μυκτήρ	miktir
αποστειρώνω	apostiɾono
παρασκεύασα	paɾascevasa
μέιν	mein
ξεκωλιάρησ	ksekoʎaɾis
καλομάνα	kalomana
ραγιάδεσ	ɾaʝaðes
χαϊδεύω	xai̯ðevo
μαλώνω	malono
μαζεύομαι	mazevome
σαγηνευτικόσ	saʝineftikos
λασίθι	lasiθi
ενέργεια	enerʝia
ακλουθάω	akluθao
χωρίζω	xorizo
κλανιά	klaɲa
διαθλασμένοσ	ði̯aθlazmenos
αρδεύομαι	aɾðevome
αλμυρόσ	almiros
αναδείχνομαι	anaðixnome
κατήργησα	katiɾʝisa
λυπημένο	lipimeno
εκλήθην	ekliθin
λύναμε	liname
ψάρεψα	psaɾepsa
ερωτήθηκα	eɾotiθika
κρεμάλα	kɾemala
βάσανοσ	vasanos
καθομιλουμένησ	kaθomilumenis
εκτέλεση	ektelesi
ψηφοφορίασ	psifofoɾias
αμορφωσιάσ	amoɾfosças
απέρριψα	apeɾipsa
μεξικού	meksiku
κακούργημα	kakuɾʝima
σβηστήρι	zvistiɾi
λήμνοσ	limnos
καθίδρυσα	kaθiðrisa
ετοιμασίεσ	etimasies
λειβαδιά	livaðʝa
πάω	pao
φωτογραφίζομε	fotoɣrafizome
ευχαριστημένοσ	efxaɾistimenos
συνεχίζομε	sineçizome
τελείωσα	teliosa
αναζητάω	anazitao
βουτυρωμένων	vutiromenon
περίπλων	periplon
έβαλα	evala
κρεμάστηκε	kɾemastice
απαραίτητοσ	aparetitos
αβανγκαρντισμέ	avaŋɡaɾdizme
κακογαμημένεσ	kakoɣamimenes
βοηθώ	voi̯θo
απογείωση	apoʝiosi
μαθημένοι	maθimeni
μοιάζω	mɲazo
μοιράζομαι	miɾazome
