vocero	vosˈero
September	septembˈer
Horeca	horˈeka
sanitizers	sanitizˈers
Incinerator	insineratˈor
cordialidad	kordjalidˈad
business	businˈess
Village	villˈaxe
beschikking	best͡ʃikkˈinɡ
Famianan	famjˈanan
lokaal	lokˈaːl
Frank	frˈank
afecta	afˈekta
candidato	kandidˈato
paro	pˈaro
horor	horˈor
orguyoso	orɡjˈoso
dental	dentˈal
financiero	finansjˈero
interaccion	interaksjˈoŋ
transmision	transmisjˈoŋ
Quanten	kwantˈeŋ
ONU	ˈonu
QUEDA	kwˈeda
Chavez	t͡ʃavˈez
Fonds	fˈonds
sanitario	sanitˈarjo
Barbados	barbadˈos
censo	sˈenso
Vanessa	vanˈessa
Special	spesjˈal
hancra	hˈankra
BCMS	bˌesˌeˌɛmˈɛs
Arends	arˈends
musica	musˈika
mondkapjes	mondkapjˈes
project	projˈekt
Pos	pˈos
DEZHI	dˈezhi
indicenan	indisˈenan
hotel	hotˈel
Amsterdam	amsterdˈam
bira	bˈira
dramatico	dramatˈiko
confisca	konfˈiska
wela	wˈela
buska	bˈuska
Jessica	jessˈika
cancionnan	kansjˈonnan
autismo	autˈismo
Glenda	ɡlˈenda
waya	wˈaja
en	ˈeŋ
combati	kombˈati
trahado	trahˈado
honesto	honˈesto
to	tˈo
Meijer	me͡ɪjˈer
oficialmente	ofisjalmˈente
sercania	serkˈanja
risico	risˈiko
Januari	janwˈari
envolvimento	envolvimˈento
mishi	mˈiʃi
comosifuera	komosifwˈera
hunta	hˈunta
comercial	komersjˈal
Service	servˈise
deteriora	deterjˈora
simultaneamente	simultaneamˈente
coordinador	koːrdinadˈor
Marketing	marketˈinɡ
unidat	unidˈat
scuridad	skuridˈad
DIMP	dˈimp
Exprodesk	eksprodˈesk
tranche	trˈant͡ʃe
manehador	manehadˈor
a	ˈa
Zoom	zˈoːm
stacion	stasjˈoŋ
Akinan	akˈinan
parse	pˈarse
perdi	pˈerdi
raporta	rapˈorta
averahe	averˈahe
embahador	embahadˈor
Cultura	kultˈura
desigualdad	desiɡwaldˈad
utilidad	utilidˈad
Poder	podˈer
Truck	trˈukk
contestanan	kontestˈanan
propagacion	propaɡasjˈoŋ
esakinan	esakˈinan
Sallestraat	sallestrˈaːt
dicon	dikˈoŋ
complica	komplˈika
cuarentena	kwarentˈena
tira	tˈira
Quandt	kwˈandt
kiko	kˈiko
Hoek	hˈuk
presenta	presˈenta
plat	plˈat
Boneiro	bonˈe͡ɪro
adecuadamente	adekwadamˈente
David	davˈid
Panama	panˈama
edificio	edifˈisjo
deliberando	deliberˈando
inspeccion	inspeksjˈoŋ
responsabilidadnan	responsabilidˈadnan
ecosistema	ekosistˈema
averigua	averˈiɡwa
prioridadnan	prjoridˈadnan
custumbernan	kustumbˈernan
esfuerzo	esfwˈerzo
Fraccion	fraksjˈoŋ
parha	pˈarha
likidez	likidˈez
imposible	imposˈible
lastimamente	lastimamˈente
digitalmente	dixitalmˈente
Regis	rexˈis
deleita	delˈe͡ɪta
peligro	pelˈiɡro
boluntarionan	boluntarjˈonan
solicitante	solisitˈante
concientiza	konsjentˈiza
Master	mastˈer
dirigente	dirixˈente
verifica	verifˈika
precisamente	presisamˈente
tristesa	tristˈesa
tabel	tabˈel
AZV	ˈazv
Fin	fˈiŋ
sacando	sakˈando
BCA	bkˈa
ter	tˈer
cerebro	serˈebro
Choudhry	t͡ʃˈowdhri
chikitonan	t͡ʃikitˈonan
infeccion	infeksjˈoŋ
pension	pensjˈoŋ
muy	mˈuj
oido	ˈojdo
investiga	investˈiɡa
cortamento	kortamˈento
Botica	botˈika
ariba	arˈiba
Stella	stˈella
parcialmente	parsjalmˈente
Posiblemente	posiblemˈente
Tobago	tobˈaɡo
bankinan	bankˈinan
logrando	loɡrˈando
eyden	ejdˈeŋ
in	ˈiŋ
substancianan	substansjˈanan
bordo	bˈordo
Tene	tˈene
Festival	festivˈal
comunidad	komunidˈad
Pasobra	pasˈobra
Kooyman	koːjmˈaŋ
banana	banˈana
No	nˈo
coalicion	koalisjˈoŋ
Carnaval	karnavˈal
alergia	alˈerxja
daña	dˈaɲa
Muher	muhˈer
apto	ˈapto
crucero	krusˈero
Koningin	koninxˈiŋ
economia	ekonˈomja
bestuurskantoor	bestyrskantˈoːr
apunta	apˈunta
insigur	insiɡˈur
sosodiendo	sosodjˈendo
Asistencia	asistˈensja
integra	intˈeɡra
luchador	lut͡ʃadˈor
fomenta	fomˈenta
resistente	resistˈente
William	willjˈam
duracion	durasjˈoŋ
valido	valˈido
frecuente	frekwˈente
transport	transpˈort
confronta	konfrˈonta
coi	kˈoj
an	ˈaŋ
BAZV	bˈazv
flexibel	fleksibˈel
dunabo	dunˈabo
Brown	brˈowŋ
constante	konstˈante
Anti	ˈanti
monumento	monumˈento
amputacion	amputasjˈoŋ
nucleo	nuklˈeo
combersacionnan	kombersasjˈonnan
electronicamente	elektronikamˈente
Jet	jˈet
voto	vˈoto
lease	leˈase
supervision	supervisjˈoŋ
gritonan	ɡritˈonan
colaboradornan	kolaboradˈornan
pisa	pˈisa
plussers	plussˈers
logro	lˈoɡro
College	kollˈexe
drechi	drˈet͡ʃi
forma	fˈorma
Tele	tˈele
uniform	unifˈorm
Kralendijk	kralendˈe͡ɪk
enfrenta	enfrˈenta
Ayo	ˈajo
Pesey	pesˈej
diagnostico	djaɡnostˈiko
malcontento	malkontˈento
Central	sentrˈal
malgasta	malɡˈasta
Anuesca	anwˈeska
CAO	kˈao
campeonato	kampeonˈato
ohala	ohˈala
islanan	islˈanan
controla	kontrˈola
ciclon	siklˈoŋ
pareu	parˈew
Simar	simˈar
cansa	kˈansa
fraccion	fraksjˈoŋ
WiFi	wˈifˈi
proposicionnan	proposisjˈonnan
tembla	tˈembla
testigonan	testiɡˈonan
Andicuri	andikˈuri
Rapportnan	rappˈortnan
parecido	paresˈido
Mirando	mirˈando
oportunidadnan	oportunidˈadnan
berde	bˈerde
ritmo	rˈitmo
tent	tˈent
bay	bˈaj
Colombiano	kolombjˈano
HOH	hˈoh
azota	azˈota
Supervision	supervisjˈoŋ
condicionan	kondisjˈonan
Minimarket	minimarkˈet
descripcion	deskripsjˈoŋ
dos	dˈos
explicitamente	eksplisitamˈente
diputado	diputˈado
protehe	protˈehe
Hernandez	hernandˈez
antes	antˈes
Bolivar	bolivˈar
seco	sˈeko
orario	orˈarjo
final	finˈal
cachonan	kat͡ʃˈonan
delegacion	deleɡasjˈoŋ
habrimento	habrimˈento
destruccion	destruksjˈoŋ
horario	horˈarjo
Biemans	bjemˈans
directivanan	direktivˈanan
abou	abˈow
Page	pˈaxe
glas	ɡlˈas
Subsidio	subsˈidjo
exclusivamente	eksklusivamˈente
rebaho	rebˈaho
webinars	webinˈars
juni	jˈuni
trahando	trahˈando
Oost	ˈoːst
Pandemia	pandˈemja
Rode	rˈode
promesa	promˈesa
fin	fˈiŋ
venezolano	venezolˈano
Algun	alɡˈuŋ
school	st͡ʃˈoːl
cientificonan	sjentifikˈonan
Sahara	sahˈara
responsable	responsˈable
Boluntario	boluntˈarjo
realisacion	realisasjˈoŋ
enfermera	enfermˈera
Testnan	tˈestnan
danki	dˈanki
asalto	asˈalto
dependiendo	dependjˈendo
sintoma	sintˈoma
kaminda	kamˈinda
asilo	asˈilo
kg	kˌaɡˈe
Wak	wˈak
marcanan	markˈanan
participante	partisipˈante
Huez	hwˈez
keho	kˈeho
Haime	hˈa͡ɪme
pandemia	pandˈemja
testimonio	testimˈonjo
huma	hˈuma
regional	rexjonˈal
Lancer	lansˈer
Playa	plˈaja
Junior	junjˈor
fiha	fˈiha
nanishi	nanˈiʃi
AO	ˈao
accident	aksidˈent
principal	prinsipˈal
Reposicionando	reposisjonˈando
Normalmente	normalmˈente
nacional	nasjonˈal
Lopez	lopˈez
fondonan	fondˈonan
reglamenta	reɡlamˈenta
getest	xetˈest
night	nˈiɡht
Lo	lˈo
remarca	remˈarka
pagando	paɡˈando
secuestra	sekwˈestra
bonbini	bonbˈini
structural	strukturˈal
flota	flˈota
estadonan	estadˈonan
barku	bˈarku
yegada	jeɡˈada
perdidanan	perdidˈanan
agradabel	aɡradabˈel
supermarket	supermarkˈet
pic	pˈik
cifranan	sifrˈanan
Beach	beˈat͡ʃ
promocion	promosjˈoŋ
Comerciantenan	komersjantˈenan
inspector	inspektˈor
Compara	kompˈara
internamente	internamˈente
Arubianonan	arubjanˈonan
sabiendo	sabjˈendo
Welcome	welkˈome
Teller	tellˈer
Varios	varjˈos
Stadhuis	stadhˈujs
Martin	martˈiŋ
sostenible	sostenˈible
Global	ɡlobˈal
datos	datˈos
Well	wˈell
hygiene	hixjˈene
frecuencia	frekwˈensja
exclusivo	eksklusˈivo
Nicole	nikˈole
instancia	instˈansja
masculino	maskulˈino
multanan	multˈanan
inversionistanan	inversjonistˈanan
Buena	bwˈena
Elizabeth	elizabˈeth
specifico	spesifˈiko
Port	pˈort
paspoort	paspˈoːrt
contribucion	kontribusjˈoŋ
Miami	mjˈami
Old	ˈold
prestamo	prestˈamo
cortico	kortˈiko
raad	rˈaːd
recuperacion	rekuperasjˈoŋ
restitucion	restitusjˈoŋ
variante	varjˈante
piscina	pissˈina
recreacion	rekreasjˈoŋ
delibera	delibˈera
Avianca	avjˈanka
acercamento	aserkamˈento
Progreso	proɡrˈeso
Ponson	ponsˈoŋ
Aki	ˈaki
ayo	ˈajo
Vivienda	vivjˈenda
SI	sˈi
aplaudi	aplaˈudi
SADA	sˈada
menasanan	menasˈanan
delito	delˈito
existente	eksistˈente
rio	rjˈo
tatanan	tatˈanan
maneha	manˈeha
Patruyanan	patrujˈanan
asunto	asˈunto
popular	populˈar
sucursalnan	sukursˈalnan
Kizas	kizˈas
reconstrui	rekonstrˈuj
trahe	trˈahe
ehecuta	ehekˈuta
Por	pˈor
cea	sˈea
coordinadornan	koːrdinadˈornan
Leynan	lˈejnan
admiracion	admirasjˈoŋ
oferta	ofˈerta
Soca	sˈoka
fam	fˈam
staff	stˈaff
hole	hˈole
alrespecto	alrespˈekto
covid	kovˈid
lesion	lesjˈoŋ
daggeldvergoeding	daɡxeldverɡudˈinɡ
bocht	bˈot͡ʃt
sinceramente	sinseramˈente
Alabes	alabˈes
Dengue	dˈenɡe
IDEA	idˈea
perseverancia	perseverˈansja
gradicimento	ɡradisimˈento
Lion	ljˈoŋ
confrontacion	konfrontasjˈoŋ
Coronavirus	koronavirˈus
menasando	menasˈando
Creando	kreˈando
publicidad	publisidˈad
gym	xˈim
Web	wˈeb
rapido	rapˈido
tene	tˈene
pensamentonan	pensamentˈonan
significativo	siɡnifikatˈivo
coopera	koːpˈera
pio	pjˈo
Branch	brˈant͡ʃ
profesional	profesjonˈal
Edwin	edwˈiŋ
toyota	tojˈota
acudi	akˈudi
refleho	reflˈeho
acusado	akusˈado
militar	militˈar
lanza	lˈanza
indocumenta	indokumˈenta
obligacionnan	obliɡasjˈonnan
tempo	tˈempo
leiding	le͡ɪdˈinɡ
Ponton	pontˈoŋ
Eerste	ˈeːrste
actuacion	aktwasjˈoŋ
Music	musˈik
organizando	orɡanizˈando
re	rˈe
keur	kˈewr
elimina	elimˈina
ecologico	ekoloxˈiko
Turistanan	turistˈanan
Plas	plˈas
incluyendo	inklujˈendo
alavez	alavˈez
bestel	bestˈel
exitosamente	eksitosamˈente
store	stˈore
justicia	justˈisja
lubida	lubˈida
greppel	ɡreppˈel
regularmente	reɡularmˈente
ziek	zjˈek
BZK	bˌezˌɛtkˈa
Eseynan	esˈejnan
Ritz	rˈitz
pick	pˈikk
clase	klˈase
piscadonan	piskadˈonan
Ecuador	ekwadˈor
masterplan	masterplˈaŋ
die	djˈe
free	frˈeː
encarga	enkˈarɡa
Cratz	krˈatz
como	kˈomo
nivelnan	nivˈelnan
coremento	koremˈento
Kennedy	kennˈedi
Aeropuerto	aeropwˈerto
Trigt	trˈiɡt
dal	dˈal
ciencia	sjˈensja
mitad	mitˈad
motorunit	motorunˈit
careteranan	kareterˈanan
sobrebibi	sobrebˈibi
FHMD	ˌɛfhˌaˌɛmdˈe
normalisa	normalˈisa
Chef	t͡ʃˈef
Funeral	funerˈal
preis	prˈe͡ɪs
CableTV	kˈabletˌevˈe
Live	lˈive
lunch	lˈunt͡ʃ
Universidad	universidˈad
damanan	damˈanan
acusacionnan	akusasjˈonnan
minimo	minˈimo
draai	drˈaːj
escenario	essenˈarjo
frontal	frontˈal
projecto	projˈekto
protocolnan	protokˈolnan
ful	fˈul
opinion	opinjˈoŋ
Rina	rˈina
wèpsait	wˈɛpsa͡ɪt
indica	indˈika
circunstancia	sirkunstˈansja
puntonan	puntˈonan
inteligente	intelixˈente
illegal	illeɡˈal
aña	ˈaɲa
escohe	eskˈohe
Angelo	anxˈelo
kas	kˈas
rason	rasˈoŋ
facultad	fakultˈad
edificionan	edifisjˈonan
pista	pˈista
demanda	demˈanda
revista	revˈista
Helder	heldˈer
hunga	hˈunɡa
awor	awˈor
cobransa	kobrˈansa
circumstancia	sirkumstˈansja
critico	kritˈiko
pabao	pabˈao
saliendo	saljˈendo
demasiado	demasjˈado
back	bˈakk
refleha	reflˈeha
specializa	spesjalˈiza
oranan	orˈanan
tubo	tˈubo
gruponan	ɡrupˈonan
satisfactorio	satisfaktˈorjo
ayudo	ajˈudo
ehemplo	ehˈemplo
Astrid	astrˈid
trayecto	trajˈekto
urgencia	urxˈensja
responsabilidad	responsabilidˈad
inn	ˈinŋ
Shelter	ʃeltˈer
bus	bˈus
spula	spˈula
Apenas	apenˈas
Ministro	minˈistro
Latino	latˈino
Sector	sektˈor
establecimento	establesimˈento
leynan	lˈejnan
buffer	buffˈer
UPP	ˈupp
lector	lektˈor
inicial	inisjˈal
resultadonan	resultadˈonan
Salazar	salazˈar
Cubano	kubˈano
adicto	adˈikto
competencianan	kompetensjˈanan
FUTURA	futˈura
alimenta	alimˈenta
opcionnan	opsjˈonnan
recientemente	resjentemˈente
problemanan	problemˈanan
ekipo	ekˈipo
publicacion	publikasjˈoŋ
organiza	orɡanˈiza
hudicial	hudisjˈal
bolbe	bˈolbe
Taskforce	taskfˈorse
documenta	dokumˈenta
artista	artˈista
companianan	kompanjˈanan
tume	tˈume
mandatarionan	mandatarjˈonan
Importacion	importasjˈoŋ
establece	establˈese
Internacional	internasjonˈal
sea	sˈea
Ombudsman	ombudsmˈaŋ
Fontein	fontˈe͡ɪŋ
traspaso	traspˈaso
West	wˈest
tratadonan	tratadˈonan
retraso	retrˈaso
Garden	ɡardˈeŋ
tur	tˈur
moderno	modˈerno
Volksgezondheid	volksxezondhˈe͡ɪd
Kelly	kˈelli
juffrouwnan	juffrˈowwnan
caracterisa	karakterˈisa
nister	nistˈer
adaptando	adaptˈando
Diaranson	djaransˈoŋ
sla	slˈa
restonan	restˈonan
innovativo	innovatˈivo
Nomber	nombˈer
iglesia	iɡlˈesja
suv	sˈuv
Conclusion	konklusjˈoŋ
Leerorkest	leːrorkˈest
movecion	movesjˈoŋ
aerolinea	aerolinˈea
spanta	spˈanta
bendiciona	bendisjˈona
Anto	ˈanto
Venezolano	venezolˈano
Boulevard	bowlevˈard
television	televisjˈoŋ
IOWA	jˈowa
Fatima	fatˈima
flora	flˈora
entradanan	entradˈanan
Pan	pˈaŋ
take	tˈake
Peterson	petersˈoŋ
funda	fˈunda
piesanan	pjesˈanan
categorianan	kateɡorjˈanan
Muchanan	mut͡ʃˈanan
opleiding	ople͡ɪdˈinɡ
Telearuba	telearˈuba
manager	manaxˈer
haya	hˈaja
Dimas	dimˈas
considera	konsidˈera
ehecutivonan	ehekutivˈonan
principalmente	prinsipalmˈente
kaba	kˈaba
Obispo	obˈispo
upload	uploˈad
hubentud	hubentˈud
anula	anˈula
Centronan	sentrˈonan
amor	amˈor
gran	ɡrˈaŋ
chikito	t͡ʃikˈito
chines	t͡ʃinˈes
coro	kˈoro
fase	fˈase
segura	seɡˈura
desinfecta	desinfˈekta
Rijksministerraad	re͡ɪksministerrˈaːd
habitat	habitˈat
actor	aktˈor
eficiencia	efisjˈensja
discrepancia	diskrepˈansja
Chikito	t͡ʃikˈito
bendicion	bendisjˈoŋ
selecta	selˈekta
pelea	pelˈea
complementa	komplemˈenta
entidadnan	entidˈadnan
Taxi	tˈaksi
Trupialen	trupjalˈeŋ
tasnan	tˈasnan
Kavel	kavˈel
art	ˈart
entendi	entˈendi
IVA	ˈiva
Chikungunya	t͡ʃikunɡˈunja
emocional	emosjonˈal
relaciona	relasjˈona
juffrouw	juffrˈoww
Thijsen	the͡ɪsˈeŋ
pena	pˈena
Ya	jˈa
Henk	hˈenk
pilar	pilˈar
best	bˈest
difunto	difˈunto
lock	lˈokk
awacati	awakˈati
fechanan	fet͡ʃˈanan
Miembronan	mjembrˈonan
brake	brˈake
lift	lˈift
peligernan	pelixˈernan
sanea	sanˈea
razzia	rˈazzja
porcierto	porsjˈerto
expectativa	ekspektatˈiva
cifra	sˈifra
motibu	motˈibu
repasa	repˈasa
House	hˈowse
Richard	rit͡ʃˈard
Pago	pˈaɡo
elabora	elabˈora
Gabinete	ɡabinˈete
Joe	jˈu
Abou	abˈow
mashin	maʃˈiŋ
trabounan	trabˈownan
chat	t͡ʃˈat
Ciudadanonan	sjudadanˈonan
Ranger	ranxˈer
atletanan	atletˈanan
carson	karsˈoŋ
contagio	kontˈaxjo
necesario	nesesˈarjo
lagando	laɡˈando
airco	ˈa͡ɪrko
record	rekˈord
seis	sˈe͡ɪs
f	ˈɛf
Washington	waʃinɡtˈoŋ
kita	kˈita
harpun	harpˈuŋ
contacto	kontˈakto
buki	bˈuki
transcuri	transkˈuri
recobra	rekˈobra
constitucion	konstitusjˈoŋ
Albertus	albertˈus
fotografianan	fotoɡrafjˈanan
Cien	sjˈeŋ
ader	adˈer
despedi	despˈedi
iregularidad	ireɡularidˈad
Mastercard	masterkˈard
SEPPA	sˈeppa
paisnan	pˈa͡ɪsnan
Tjin	tjˈiŋ
Tanki	tˈanki
Horcan	horkˈaŋ
empodera	empodˈera
felicita	felisˈita
obviamente	obvjamˈente
experto	ekspˈerto
chens	t͡ʃˈens
limpia	lˈimpja
Taxistanan	taksistˈanan
siguridad	siɡuridˈad
limpiesa	limpjˈesa
manipula	manipˈula
piscanan	piskˈanan
Mil	mˈil
largo	lˈarɡo
abilidad	abilidˈad
viahe	vjˈahe
club	klˈub
refresco	refrˈesko
RWZI	rwzˈi
Status	statˈus
Hoge	hˈoxe
bahada	bahˈada
notario	notˈarjo
sacrificio	sakrifˈisjo
mr	ˌɛmˈɛr
detenidonan	detenidˈonan
Great	ɡreˈat
Villas	villˈas
Alfonso	alfˈonso
inicio	inˈisjo
medicina	medisˈina
piki	pˈiki
inmenso	inmˈenso
lastra	lˈastra
luho	lˈuho
Accent	aksˈent
indole	indˈole
pasenshi	pasˈenʃi
tempran	temprˈaŋ
avancenan	avansˈenan
Visitor	visitˈor
aresta	arˈesta
distribucion	distribusjˈoŋ
Bandera	bandˈera
enfocando	enfokˈando
compara	kompˈara
Titular	titulˈar
situacion	sitwasjˈoŋ
bilingual	bilinɡwˈal
Hooiberg	hoːjbˈerɡ
Hugo	hˈuɡo
transplante	transplˈante
respiracion	respirasjˈoŋ
Bernabela	bernabˈela
matutino	matutˈino
handle	hˈandle
Nivel	nivˈel
Mini	mˈini
acto	ˈakto
fuentenan	fwentˈenan
dokternan	doktˈernan
database	databˈase
operacional	operasjonˈal
Mundialmente	mundjalmˈente
reporta	repˈorta
trailer	tra͡ɪlˈer
vet	vˈet
Laura	laˈura
comienso	komjˈenso
diabierna	djabjˈerna
dividi	divˈidi
apoya	apˈoja
bacteria	baktˈerja
hayabo	hajˈabo
camp	kˈamp
Ni	nˈi
figuranan	fiɡurˈanan
chevrolet	t͡ʃevrolˈet
aniversario	aniversˈarjo
pober	pobˈer
cuponan	kupˈonan
bulto	bˈulto
debil	debˈil
strea	strˈea
insisti	insˈisti
program	proɡrˈam
Google	ɡˈoːɡle
dive	dˈive
dunadornan	dunadˈornan
regula	reɡˈula
RevPAR	rˈevpˈar
conscientisa	konssjentˈisa
het	hˈet
Gouverneur	ɡowvernˈewr
huridico	huridˈiko
propaga	propˈaɡa
sosteni	sostˈeni
custumber	kustumbˈer
enseñanza	enseɲˈanza
surseance	surseˈanse
RADEX	radˈeks
Interes	interˈes
Foundation	fowndatjˈoŋ
scooter	skoːtˈer
Car	kˈar
polisnan	polˈisnan
WGK	wˌeɡˌekˈa
CAft	sˈeˈaft
militarnan	militˈarnan
Clientenan	kljentˈenan
cuchiu	kˈut͡ʃju
carnavalesco	karnavalˈesko
Avestruz	avestrˈuz
cobrando	kobrˈando
stuurgroep	styrɡrˈup
cancelacion	kanselasjˈoŋ
Korps	kˈorps
boto	bˈoto
peticion	petisjˈoŋ
instalacion	instalasjˈoŋ
Moringa	morˈinɡa
secreto	sekrˈeto
kier	kjˈer
añadi	aɲˈadi
sende	sˈende
Webinar	webinˈar
Customer	kustomˈer
innecesario	innesesˈarjo
Party	pˈarti
responde	respˈonde
Basa	bˈasa
stakeholder	stakeholdˈer
Telecomunicacion	telekomunikasjˈoŋ
cadenanan	kadenˈanan
Comercio	komˈersjo
drs	dˌeˌɛrˈɛs
temporada	temporˈada
turbulencia	turbulˈensja
prometedor	prometedˈor
ningun	ninɡˈuŋ
ministerial	ministerjˈal
Boegoeroei	buɡurˈuj
transmiti	transmˈiti
reunionan	rewnjˈonan
Thru	thrˈu
Punta	pˈunta
menaza	menˈaza
unavez	unavˈez
Project	projˈekt
Esaki	esˈaki
cuminsamento	kuminsamˈento
Ta	tˈa
aprobacion	aprobasjˈoŋ
Parlamentonan	parlamentˈonan
es	ˈes
consisti	konsˈisti
Quant	kwˈant
beyeza	bejˈeza
fuertemente	fwertemˈente
serca	sˈerka
biña	bˈiɲa
stabiel	stabjˈel
cuadra	kwˈadra
balans	balˈans
ROP	rˈop
Tambe	tˈambe
monumental	monumentˈal
sacrifica	sakrifˈika
Teishi	tˈe͡ɪʃi
intrankilidad	intrankilidˈad
Europa	ewrˈopa
salida	salˈida
cantante	kantˈante
sondeo	sondˈeo
pidiendo	pidjˈendo
marduga	mardˈuɡa
Fresh	frˈeʃ
beach	beˈat͡ʃ
Tweede	twˈeːde
tosamento	tosamˈento
Bay	bˈaj
insecticida	insektisˈida
tecnologico	teknoloxˈiko
Nightclub	niɡhtklˈub
Lider	lidˈer
cero	sˈero
soborno	sobˈorno
nubia	nˈubja
bancarota	bankarˈota
comprendibel	komprendibˈel
tocando	tokˈando
formalmente	formalmˈente
Weganan	weɡˈanan
Madiki	madˈiki
Landsverordening	landsverordenˈinɡ
Joaquin	joakwˈiŋ
crucial	krusjˈal
sugerencianan	suxerensjˈanan
Tratamento	tratamˈento
penetracion	penetrasjˈoŋ
karentena	karentˈena
Code	kˈode
Toyota	tojˈota
taskforce	taskfˈorse
Cuida	kˈujda
Caminda	kamˈinda
pasivo	pasˈivo
cambionan	kambjˈonan
pase	pˈase
speech	spˈeːt͡ʃ
viahero	vjahˈero
oost	ˈoːst
Dump	dˈump
investigacion	investiɡasjˈoŋ
impulso	impˈulso
Luenne	lwˈenne
diverso	divˈerso
Kruis	krˈujs
oponentenan	oponentˈenan
bancario	bankˈarjo
cera	sˈera
Vis	vˈis
acorda	akˈorda
mescos	meskˈos
epoca	epˈoka
Nicolaas	nikolˈaːs
enfermedadnan	enfermedˈadnan
Ocho	ˈot͡ʃo
retene	retˈene
bezig	bezˈiɡ
Milio	mˈiljo
scohe	skˈohe
bukinan	bukˈinan
kimico	kimˈiko
ijs	ˈe͡ɪs
capitan	kapitˈaŋ
reto	rˈeto
Hunto	hˈunto
York	jˈork
schedule	st͡ʃedˈule
barionan	barjˈonan
borchi	bˈort͡ʃi
demonstra	demˈonstra
Compania	kompˈanja
empleada	empleˈada
Ambulance	ambulˈanse
Hendrikstraat	hendrikstrˈaːt
Sociaal	sosjˈaːl
datonan	datˈonan
inaugural	inauɡurˈal
pianan	pjˈanan
email	emˈa͡ɪl
Avenida	avenˈida
vloer	vlˈur
embahada	embahˈada
elo	ˈelo
pedofil	pedofˈil
maleta	malˈeta
tini	tˈini
Semper	sempˈer
visible	visˈible
Bida	bˈida
optimal	optimˈal
motoriza	motorˈiza
zundra	zˈundra
transmicion	transmisjˈoŋ
pagonan	paɡˈonan
caracteristicanan	karakteristikˈanan
LNG	ˌɛlˌɛnɡˈe
unilateral	unilaterˈal
eleccionnan	eleksjˈonnan
Leo	lˈeo
admision	admisjˈoŋ
Casa	kˈasa
legitimidad	lexitimidˈad
Millennials	millennjˈals
curpa	kˈurpa
Meverly	mevˈerli
viahenan	vjahˈenan
Loke	lˈoke
tata	tˈata
esei	ˈese͡ɪ
Idioma	idjˈoma
stock	stˈokk
Biezen	bjezˈeŋ
Mahuma	mahˈuma
Union	unjˈoŋ
Watty	wˈatti
zomaar	zomˈaːr
frieu	frjˈew
exigente	eksixˈente
Venezuela	venezwˈela
Kerstboomlandia	kerstboːmlˈandja
traha	trˈaha
nomina	nomˈina
diesel	djesˈel
aumenta	aumˈenta
Waf	wˈaf
enberdad	enberdˈad
avion	avjˈoŋ
ImSan	ˈimsˈaŋ
Polisnan	polˈisnan
Nacional	nasjonˈal
manifestante	manifestˈante
manteniendo	mantenjˈendo
destina	destˈina
documento	dokumˈento
atribui	atribˈuj
maestro	maˈestro
Labor	labˈor
o	ˈo
Arubalening	arubalenˈinɡ
Pastoor	pastˈoːr
Seccion	seksjˈoŋ
Doño	dˈoɲo
intimida	intimˈida
plastic	plastˈik
deporta	depˈorta
or	ˈor
rating	ratˈinɡ
respectivamente	respektivamˈente
cargamento	karɡamˈento
maltrata	maltrˈata
conteniendo	kontenjˈendo
teritorial	teritorjˈal
Dianan	djˈanan
accepta	aksˈepta
Bisti	bˈisti
DIMAS	dimˈas
deliberadamente	deliberadamˈente
interpretacion	interpretasjˈoŋ
mucho	mˈut͡ʃo
GKMB	ɡˌekˌaˌɛmbˈe
flexibiliza	fleksibilˈiza
sexo	sˈekso
hereda	herˈeda
storianan	storjˈanan
Hues	hwˈes
Caribe	karˈibe
Empresanan	empresˈanan
jet	jˈet
Biba	bˈiba
Scol	skˈol
toque	tˈokwe
miembrecia	mjembrˈesja
decir	desˈir
sondea	sondˈea
argumento	arɡumˈento
Lejuez	lejwˈez
recept	resˈept
bes	bˈes
totalidad	totalidˈad
RAiZ	ˈɛrˈa͡ɪzˈɛt
indicador	indikadˈor
onderwijs	onderwˈe͡ɪs
Juli	jˈuli
importante	importˈante
seconde	sekˈonde
sicario	sikˈarjo
anos	anˈos
kedando	kedˈando
Directora	direktˈora
specialisa	spesjalˈisa
Wega	wˈeɡa
seno	sˈeno
Het	hˈet
cunukero	kunukˈero
diferencianan	diferensjˈanan
momentonan	momentˈonan
kwartaal	kwartˈaːl
cosnan	kˈosnan
visibel	visibˈel
discriminacion	diskriminasjˈoŋ
ser	sˈer
motibonan	motibˈonan
aceptabel	aseptabˈel
Carnival	karnivˈal
Honda	hˈonda
argumentonan	arɡumentˈonan
Asina	asˈina
estableci	establˈesi
rutina	rutˈina
formal	formˈal
siguramente	siɡuramˈente
carchi	kˈart͡ʃi
eGovernment	eɡovernmˈent
Cantidad	kantidˈad
considerablemente	konsiderablemˈente
Refineria	refinˈerja
interpreta	interprˈeta
asfalt	asfˈalt
clientela	kljentˈela
Rosel	rosˈel
facebook	fasebˈoːk
ladron	ladrˈoŋ
eynan	ˈejnan
contingencia	kontinxˈensja
Radio	rˈadjo
menos	menˈos
referencia	referˈensja
Padu	pˈadu
similar	similˈar
Voogdijraad	voːɡde͡ɪrˈaːd
suspendi	suspˈendi
para	pˈara
John	jˈohŋ
actuando	aktwˈando
drama	drˈama
clubnan	klˈubnan
mandatorio	mandatˈorjo
dengue	dˈenɡe
