porowini	pˌɔrɔwˈini
hōrapa	hɔːrˈapa
wawe	wˈawe
Amorangi	ˌamɔrˈaŋi
ra	rˈa
hainatia	hˌa͡ɪnatˈia
māhorahora	mˌaːhɔrahˈɔra
hikareti	hˌikarˈeti
parera	parˈera
Hanuere	hˌanu"ˈere
turi	tˈu"ri
wharepukapuka	fˌarepˌu"kapˈu"ka
Tutekohi	tˌu"tekˈɔhi
ngata	ŋˈata
rito	rˈitɔ
Whina	fˈina
Whakawhetai	fˌakafˈeta͡ɪ
Mārire	maːrˈire
Rauparaha	rˌau"parˈaha
Hautau	hˌau"tˈau"
pāwera	paːwˈera
temepara	tˌemepˈara
Toro	tˈɔrɔ
hāpara	haːpˈara
kāo	kˈaːɔ
Mātua	maːtˈu"a
māna	mˈaːna
pūoro	pu"ːˈɔrɔ
Whitinga	fitˈiŋa
Haere	hˈa͡ɪre
ipu	ˈipu"
paremata	pˌaremˈata
tuhituhinga	tˌu"hitu"hˈiŋa
karoro	karˈɔrɔ
Puni	pˈu"ni
kānga	kˈaːŋa
ngāi	ŋˈaːi
turuturu	tˌu"ru"tˈu"ru"
Rereroa	rˌererˈɔa
Whatu	fˈatu"
moutere	mˌou"tˈere
pōtiki	pɔːtˈiki
Rōpū	rˈɔːpu"ː
Waiora	wa͡ɪˈɔra
Taiao	tˈa͡ɪa͡ʊ
rehu	rˈehu"
taiaha	ta͡ɪˈaha
taratahi	tˌaratˈahi
Kamupene	kˌamu"pˈene
pohewa	pɔhˈewa
kopu	kˈɔpu"
kītanga	kiːtˈaŋa
matihiko	mˌatihˈikɔ
hea	hˈea
whakaputaina	fˌakapu"tˈa͡ɪna
kōwhiria	kˌɔːfirˈia
korerotia	kˌɔrerɔtˈia
motukā	mɔtˈu"kaː
wahi	wˈahi
kaiwhakangungu	kˌa͡ɪfakaŋˈu"ŋu"
rengarenga	rˌeŋarˈeŋa
paruparu	pˌaru"pˈaru"
tauparapara	tˌau"pˌarapˈara
pātītī	paːtˈiːtiː
karaitiana	kˌara͡ɪtiˈana
Toroa	tɔrˈɔa
MP	mp
umere	u"mˈere
more	mˈɔre
ope	ˈɔpe
Mātaiako	mˌaːta͡ɪˈakɔ
wāpu	wˈaːpu"
ōu	ˈɔːu"
hoea	hwˈea
Waiapu	wa͡ɪˈapu"
rēmana	reːmˈana
waahanga	wˌaahˈaŋa
neke	nˈeke
tōpana	tɔːpˈana
pūrēhua	pˌu"ːreːhˈu"a
nē	nˈeː
Whakaari	fˌakaˈari
toka	tˈɔka
takahia	tˌakahˈia
Hopukina	hˌɔpu"kˈina
whakamāoritanga	fˌakamˌaːɔritˈaŋa
kaumatua	kˌau"matˈu"a
aromatawai	ˌarɔmatˈawa͡ɪ
nōhia	nɔːhˈia
kaore	kˈa͡ʊre
parau	parˈau"
kaihoko	ka͡ɪhˈɔkɔ
tautohu	tˌau"tˈɔhu"
Whaitua	fa͡ɪtˈu"a
hangarite	hˌaŋarˈite
Kāhui	kaːhˈu"i
tohatoha	tˌɔhatˈɔha
tareka	tarˈeka
tāwara	taːwˈara
tuki	tˈu"ki
angitū	aŋˈitu"ː
paepae	pˈa͡ɪpa͡ɪ
koutou	kˌou"tˈou"
tupunga	tu"pˈu"ŋa
whānuitanga	fˌaːnu"itˈaŋa
rima	rˈima
Runga	rˈu"ŋa
taratara	tˌaratˈara
pupuri	pu"pˈu"ri
whitianga	fˌitiˈaŋa
purua	pu"rˈu"a
maharahara	mˌaharahˈara
Whakamoemiti	fˌakamwemˈiti
naianei	nˌa͡ɪanˈei
taupā	taˈu"paː
hara	hˈara
Heikōkō	hˌeikˈɔːkɔː
tūī	tˈu"ːiː
Ūropi	u"ːrˈɔpi
Minita	minˈita
hōtaka	hɔːtˈaka
Whetū	fˈetu"ː
taupua	tˌau"pˈu"a
rāpoi	rˈaːpo͡ɪ
Kumeroa	kˌu"merˈɔa
Makaurau	mˌakau"rˈau"
patua	patˈu"a
we	wˈe
Aronui	ˌarɔnˈu"i
Kaihauturu	kˌa͡ɪhau"tˈu"ru"
Mātenga	maːtˈeŋa
hoiho	hˈo͡ɪhɔ
whakairia	fˌaka͡ɪrˈia
hōhonu	hɔːhˈɔnu"
Rongomātāne	rˌɔŋɔmaːtˈaːne
matewhawhati	mˌatefafˈati
peke	pˈeke
tāngia	taːŋˈia
Hāhi	hˈaːhi
Erueti	ˌeru"ˈeti
pākehā	paːkˈehaː
whakatenetene	fˌakatˌenetˈene
Peehi	peˈehi
aua	aˈu"a
whakamanahia	fˌakamˌanahˈia
hahau	hahˈau"
Nei	nˈei
Kuaha	ku"ˈaha
whakaemi	fakˈa͡ɪmi
Irihāpeti	ˌirihaːpˈeti
poro	pˈɔrɔ
Whā	fˈaː
kokoraho	kˌɔkɔrˈahɔ
ngahuru	ŋahˈu"ru"
heoi	hˈeo͡ɪ
kākā	kˈaːkaː
kaitarai	ka͡ɪtˈara͡ɪ
waa	wˈaa
wetewete	wˌetewˈete
ēra	ˈeːra
puri	pˈu"ri
whakaaetanga	fˌakaa͡ɪtˈaŋa
ihiihi	ˌihiˈihi
tuihono	tˌu"ihˈɔnɔ
ringatoi	riŋˈato͡ɪ
nui	nˈu"i
takatū	takˈatu"ː
whāia	faːˈia
wiri	wˈiri
whakatutukitanga	fˌakatˌu"tu"kitˈaŋa
Whena	fˈena
Pākeha	paːkˈeha
Ao	ˈa͡ʊ
Hoahoatia	hˌɔahˌɔatˈia
whakatikaina	fˌakatikˈa͡ɪna
Kōti	kˈɔːti
whakangaromia	fˌakaŋˌarɔmˈia
Taura	taˈu"ra
maia	mˈa͡ɪa
Tēnei	teːnˈei
Tihei	tihˈei
kāmera	kaːmˈera
Taranga	tarˈaŋa
ngangahau	ŋˌaŋahˈau"
tukituki	tˌu"kitˈu"ki
Kaipara	ka͡ɪpˈara
hupa	hˈu"pa
tepu	tˈepu"
uniana	ˌu"niˈana
rangitaki	rˌaŋitˈaki
pānga	pˈaːŋa
nohoia	nɔhˈo͡ɪa
teetahi	tˌeetˈahi
Takirua	tˌakirˈu"a
Poronīhia	pˌɔrɔniːhˈia
Tūrongo	tu"ːrˈɔŋɔ
tatauranga	tˌatau"rˈaŋa
tutuki	tu"tˈu"ki
whakatūngia	fˌakatu"ːŋˈia
whiri	fˈiri
tāpaetanga	tˌaːpa͡ɪtˈaŋa
whakatakoto	fˌakatakˈɔtɔ
Raukōkore	rˌau"kɔːkˈɔre
ehara	ehˈara
Kaihoko	ka͡ɪhˈɔkɔ
parakatihi	pˌarakatˈihi
Mōhiotanga	mˌɔːhiɔtˈaŋa
Akuanei	ˌaku"anˈei
Ripoata	rˌipɔˈata
kapia	kapˈia
Ahorangi	ˌahɔrˈaŋi
Para	pˈara
noaiho	nɔˈa͡ɪhɔ
maatou	mˌaatˈou"
whakautu	fˌakaˈu"tu"
Paepae	pˈa͡ɪpa͡ɪ
rehe	rˈehe
oriori	ˌɔriˈɔri
tēnei	teːnˈei
Turanga	tu"rˈaŋa
haumaru	hˌau"mˈaru"
ngū	ŋˈu"ː
whakatutuki	fˌakatu"tˈu"ki
whakamau	fˌakamˈau"
tāroa	taːrˈɔa
paea	pˈa͡ɪa
pātata	paːtˈata
Pēhea	peːhˈea
rau	rˈau"
pakihiwi	pˌakihˈiwi
Mangu	mˈaŋu"
murua	mu"rˈu"a
Koiora	ko͡ɪˈɔra
whakataungia	fˌakatˌau"ŋˈia
kohanga	kɔhˈaŋa
where	fˈere
Ngai	ŋˈa͡ɪ
Ingoa	iŋˈɔa
rino	rˈinɔ
whakawhānui	fˌakafaːnˈu"i
kamera	kamˈera
Aperira	ˌaperˈira
mataurangamaori	mˌataˌu"raŋamˈa͡ʊri
nanakia	nˌanakˈia
tikaka	tikˈaka
Hōtaka	hɔːtˈaka
Tona	tˈɔna
inumia	ˌinu"mˈia
ngaua	ŋaˈu"a
whakairihia	fˌaka͡ɪrihˈia
Kaipōti	ka͡ɪpˈɔːti
whakarerenga	fˌakarerˈeŋa
nei	nˈei
Tangi	tˈaŋi
arotakengia	ˌarɔtˌakeŋˈia
toharite	tˌɔharˈite
Kia	kˈia
Whakangahau	fˌakaŋahˈau"
tipuranga	tˌipu"rˈaŋa
Oketopa	ˌɔketˈɔpa
turoro	tu"rˈɔrɔ
puka	pˈu"ka
Rarohenga	rˌarɔhˈeŋa
arahina	ˌarahˈina
Rangatira	rˌaŋatˈira
whakatūria	fˌakatu"ːrˈia
taane	taˈane
Matt	mˈatt
Papakupu	pˌapakˈu"pu"
ngā	ŋˈaː
kaiao	kˈa͡ɪa͡ʊ
whakahouhia	fˌakahˌou"hˈia
ripa	rˈipa
that	thˈat
tēna	tˈeːna
āhuatanga	ˌaːhu"atˈaŋa
whanake	fanˈake
katoatia	kˌatɔatˈia
Tongarewa	tˌɔŋarˈewa
Turei	tu"rˈei
Panuku	panˈu"ku"
Nākahi	naːkˈahi
whakairohia	fˌaka͡ɪrɔhˈia
Taha	tˈaha
ahurea	ˌahu"rˈea
tinana	tinˈana
kareti	karˈeti
mōkito	mɔːkˈitɔ
poto	pˈɔtɔ
Hēnare	heːnˈare
ngāwhā	ŋˈaːfaː
Porirua	pˌɔrirˈu"a
tuawhenua	tˌu"afenˈu"a
rika	rˈika
Ropu	rˈɔpu"
rīpoata	rˌiːpɔˈata
kauri	kaˈu"ri
Whangamata	fˌaŋamˈata
whakamaumahara	fˌakamˌau"mahˈara
āwhinatanga	ˌaːfinatˈaŋa
maheni	mahˈeni
tiaki	tiˈaki
Pourangahua	pˌou"rˌaŋahˈu"a
Pirīmia	pˌiriːmˈia
eenei	ˌeenˈei
mana	mˈana
tākuta	taːkˈu"ta
TKI	tkˈi
haumano	hˌau"mˈanɔ
whakawā	fakˈawaː
reka	rˈeka
ēnā	ˈeːnaː
kiia	kiˈia
Parahaki	pˌarahˈaki
Whakapapa	fˌakapˈapa
Network	nˈetwɔrk
taau	taˈau"
tāhū	tˈaːhu"ː
purutia	pˌu"ru"tˈia
whakatinanatanga	fˌakatˌinanatˈaŋa
kiriuhi	kˌiriˈu"hi
mōhiotia	mˌɔːhiɔtˈia
ngohe	ŋˈɔhe
pea	pˈea
Kino	kˈinɔ
pakaruhia	pˌakaru"hˈia
riihi	riˈihi
whakatau	fˌakatˈau"
Whakahirahira	fˌakahˌirahˈira
hūware	hu"ːwˈare
whēkau	feːkˈau"
Rewa	rˈewa
tāruarua	tˌaːru"arˈu"a
Hoa	hˈɔa
ne	nˈe
tuatangata	tˌu"ataŋˈata
puru	pˈu"ru"
ōkawa	ɔːkˈawa
Tumuaki	tˌu"mu"ˈaki
Maku	mˈaku"
Āpitihanga	ˌaːpitihˈaŋa
Ururoa	ˌu"ru"rˈɔa
Aromatawai	ˌarɔmatˈawa͡ɪ
paru	pˈaru"
whakamohiotia	fˌakamˌɔhiɔtˈia
Paoa	pˈa͡ʊa
rāwhiti	raːfˈiti
Kaiwhakahaere	kˌa͡ɪfakahˈa͡ɪre
whakarerea	fˌakarerˈea
toru	tˈɔru"
Tūhoe	tˈu"ːhwe
Whakamana	fˌakamˈana
Pokapū	pɔkˈapu"ː
Iwi	ˈiwi
koko	kˈɔkɔ
kōpiro	kɔːpˈirɔ
tomokanga	tˌɔmɔkˈaŋa
Takiuru	tˌakiˈu"ru"
konumohe	kˌɔnu"mˈɔhe
mārō	mˈaːrɔː
Hemana	hemˈana
mōrehu	mɔːrˈehu"
pānui	paːnˈu"i
Whakatane	fˌakatˈane
puawai	pu"ˈawa͡ɪ
huihuinga	hˌu"ihu"ˈiŋa
tārai	tˈaːra͡ɪ
matarau	mˌatarˈau"
purākau	pˌu"raːkˈau"
tukutahi	tˌu"ku"tˈahi
Waitara	wa͡ɪtˈara
whakawhirinaki	fˌakafˌirinˈaki
Amerika	ˌamerˈika
Kuhuna	ku"hˈu"na
up	ˈu"p
Maraea	marˈa͡ɪa
ringa	rˈiŋa
Whātaitai	faːtˈa͡ɪta͡ɪ
uka	ˈu"ka
tereina	tˌereˈina
whiunga	fiˈu"ŋa
kaikawe	ka͡ɪkˈawe
āna	ˈaːna
panana	panˈana
mārakerake	mˌaːrakerˈake
porohe	pɔrˈɔhe
Wananga	wanˈaŋa
tuakiri	tˌu"akˈiri
Urewera	ˌu"rewˈera
ahurewa	ˌahu"rˈewa
Rāpata	raːpˈata
Aitanga	a͡ɪtˈaŋa
kirihou	kˌirihˈou"
Moore	mɔˈɔre
whakamaroke	fˌakamarˈɔke
pāpā	pˈaːpaː
mēnā	mˈeːnaː
haha	hˈaha
Waihanga	wa͡ɪhˈaŋa
Mena	mˈena
Ataata	ˌataˈata
tāku	tˈaːku"
Tomokanga	tˌɔmɔkˈaŋa
tuari	tu"ˈari
Pēpuere	pˌeːpu"ˈere
Matenga	matˈeŋa
mokai	mˈɔka͡ɪ
kau	kˈau"
ngaio	ŋˈa͡ɪɔ
Kahukura	kˌahu"kˈu"ra
mokowhiti	mˌɔkɔfˈiti
Āhea	aːhˈea
tātaki	taːtˈaki
Tupu	tˈu"pu"
hopi	hˈɔpi
tē	tˈeː
Ōrākei	ˌɔːraːkˈei
kaupae	kaˈu"pa͡ɪ
Whāingaroa	fˌaːiŋarˈɔa
ākau	aːkˈau"
kauhau	kˌau"hˈau"
Tuhinga	tu"hˈiŋa
whakapāho	fˌakapˈaːhɔ
Kuia	ku"ˈia
mātou	maːtˈou"
paingia	pa͡ɪŋˈia
kōhua	kɔːhˈu"a
tapeke	tapˈeke
matawai	matˈawa͡ɪ
Mātāmua	mˌaːtaːmˈu"a
Maria	marˈia
hukihuki	hˌu"kihˈu"ki
ngoikore	ŋo͡ɪkˈɔre
inu	ˈinu"
Kīngitanga	kˌiːŋitˈaŋa
Kākāriki	kˌaːkaːrˈiki
Whāia	faːˈia
tarau	tarˈau"
haerea	ha͡ɪrˈea
Matū	mˈatu"ː
tauwehe	tˌau"wˈehe
Nga	ŋˈa
puritia	pˌu"ritˈia
Arahura	ˌarahˈu"ra
tawhito	tafˈitɔ
kaupapahere	kˌau"pˌapahˈere
kohikohia	kˌɔhikɔhˈia
matā	mˈataː
Hōhepa	hɔːhˈepa
ate	ˈate
rïroa	rirˈɔa
ē	ˈeː
whakamatea	fˌakamatˈea
pūhui	pu"ːhˈu"i
hāunga	haːˈu"ŋa
Rāapa	raːˈapa
waiu	wˈa͡ɪu"
punga	pˈu"ŋa
pūhihi	pu"ːhˈihi
Hine	hˈine
Paeroa	pa͡ɪrˈɔa
whakatauria	fˌakatˌau"rˈia
hinaki	hinˈaki
Puhi	pˈu"hi
pūtirotiro	pˌu"ːtirɔtˈirɔ
Mr	mr
Heoti	heˈɔti
Hiko	hˈikɔ
takakino	tˌakakˈinɔ
hāpai	hˈaːpa͡ɪ
motopaika	mˌɔtɔpˈa͡ɪka
Hiranga	hirˈaŋa
āhuru	aːhˈu"ru"
kainoho	ka͡ɪnˈɔhɔ
weheruatanga	wˌeherˌu"atˈaŋa
Rite	rˈite
waero	wˈa͡ɪrɔ
pukepuke	pˌu"kepˈu"ke
Ngahere	ŋahˈere
whakairotia	fˌaka͡ɪrɔtˈia
whatumanawa	fˌatu"manˈawa
Moe	mwˈe
whakapainga	fˌakapˈa͡ɪŋa
piki	pˈiki
Whakaraparapatia	fˌakarˌaparˌapatˈia
hīkina	hiːkˈina
kēhi	kˈeːhi
kirikiti	kˌirikˈiti
Ahitereiria	ˌahitˌereirˈia
whakatetonga	fˌakatetˈɔŋa
Mike	mˈike
aranga	arˈaŋa
pakitau	pˌakitˈau"
Hiruharama	hˌiru"harˈama
tāwhai	tˈaːfa͡ɪ
Tera	tˈera
katia	katˈia
whawhaitia	fˌafa͡ɪtˈia
paemahana	pˌa͡ɪmahˈana
kakenga	kakˈeŋa
tupua	tu"pˈu"a
kaiwhakamārama	kˌa͡ɪfakˌamaːrˈama
papā	pˈapaː
Mātakitaki	mˌaːtakitˈaki
mitarau	mˌitarˈau"
Tātou	taːtˈou"
mou	mˈou"
rīki	rˈiːki
tū	tˈu"ː
rererangi	rˌererˈaŋi
paetuku	pa͡ɪtˈu"ku"
piua	piˈu"a
whakarārangitia	fˌakarˌaːraŋitˈia
Kōwhiringa	kˌɔːfirˈiŋa
whakakapi	fˌakakˈapi
Kōmihana	kˌɔːmihˈana
whakahawea	fˌakahawˈea
purapura	pˌu"rapˈu"ra
Kimihia	kˌimihˈia
roa	rˈɔa
Intent	ˈintent
tukupū	tu"kˈu"pu"ː
Mina	mˈina
Raki	rˈaki
whaia	fˈa͡ɪa
whiriwhiria	fˌirifirˈia
pūtakenga	pˌu"ːtakˈeŋa
mehemea	mˌehemˈea
kore	kˈɔre
tungane	tu"ŋˈane
kaiwhakautu	kˌa͡ɪfakaˈu"tu"
Wāhanga	waːhˈaŋa
whakapūmautia	fˌakapˌu"ːmau"tˈia
pouako	pˌou"ˈakɔ
whakawaho	fˌakawˈahɔ
kotahi	kɔtˈahi
ki	kˈi
moko	mˈɔkɔ
Karen	kˈaren
kūaha	ku"ːˈaha
tī	tˈiː
tōrangapū	tˌɔːraŋˈapu"ː
hore	hˈɔre
tere	tˈere
ioio	iˈo͡ɪɔ
ohu	ˈɔhu"
Ra	rˈa
pārekareka	pˌaːrekarˈeka
whakawhiwhia	fˌakafifˈia
poutū	poˈu"tu"ː
tauwhāiti	tˌau"faːˈiti
Hauiti	hˌau"ˈiti
rāwaho	raːwˈahɔ
kaiwhakatere	kˌa͡ɪfakatˈere
mauritau	mˌau"ritˈau"
otiia	ˌɔtiˈia
upoko	u"pˈɔkɔ
Matauranga	mˌatau"rˈaŋa
Pūrongo	pu"ːrˈɔŋɔ
kiritaki	kˌiritˈaki
harakeke	hˌarakˈeke
nekenekehanga	nˌekenˌekehˈaŋa
Whakatau	fˌakatˈau"
hauwhā	haˈu"faː
whakanui	fˌakanˈu"i
Kairangi	ka͡ɪrˈaŋi
waka	wˈaka
ngangare	ŋaŋˈare
whakahoutanga	fˌakahˌou"tˈaŋa
tohutō	tɔhˈu"tɔː
Maungapōhatu	mˌau"ŋˌapɔːhˈatu"
Kaha	kˈaha
Taka	tˈaka
Rukupō	ru"kˈu"pɔː
Kiritaki	kˌiritˈaki
rongonga	rɔŋˈɔŋa
pihi	pˈihi
takitahi	tˌakitˈahi
tūtohutanga	tˌu"ːtɔhu"tˈaŋa
raupatunga	rˌau"patˈu"ŋa
Kaitiaki	kˌa͡ɪtiˈaki
Hēoi	hˈeːo͡ɪ
whakamōhiotia	fˌakamˌɔːhiɔtˈia
rongoā	rɔŋˈɔaː
Pōtae	pˈɔːta͡ɪ
Mihinare	mˌihinˈare
pūkenga	pu"ːkˈeŋa
inā	ˈinaː
whakahauhau	fˌakahˌau"hˈau"
whakamanawa	fˌakamanˈawa
kaiwhakamahi	kˌa͡ɪfakamˈahi
whaikorero	fˌa͡ɪkɔrˈerɔ
Uru	ˈu"ru"
tūmau	tu"ːmˈau"
tauwhāinga	tˌau"faːˈiŋa
mapi	mˈapi
uia	u"ˈia
Kea	kˈea
matewai	matˈewa͡ɪ
Matakite	mˌatakˈite
kaitakawaenga	kˌa͡ɪtakawˈa͡ɪŋa
hokonga	hɔkˈɔŋa
whakatangitangi	fˌakatˌaŋitˈaŋi
tatua	tatˈu"a
hōia	hɔːˈia
hai	hˈa͡ɪ
otirā	ɔtˈiraː
MakaawhioTe	mˌakaafˈiɔtˈe
paparinga	pˌaparˈiŋa
pērātia	pˌeːraːtˈia
matomato	mˌatɔmˈatɔ
Tai	tˈa͡ɪ
Tūrangawaewae	tˌu"ːraŋawˈa͡ɪwa͡ɪ
Pēhi	pˈeːhi
Kirikiriroa	kˌirikˌirirˈɔa
tāpiria	tˌaːpirˈia
pātū	pˈaːtu"ː
whakawai	fakˈawa͡ɪ
mate	mˈate
eetahi	ˌeetˈahi
whakaaro	fˌakaˈarɔ
ti	tˈi
tūruhi	tu"ːrˈu"hi
iroiro	irˈo͡ɪrɔ
mōu	mˈɔːu"
hautekau	hˌau"tekˈau"
whakaotinga	fˌaka͡ʊtˈiŋa
pukai	pˈu"ka͡ɪ
perana	perˈana
whakaatungia	fˌakaˌatu"ŋˈia
Awhina	afˈina
pūmautanga	pˌu"ːmau"tˈaŋa
Hērangi	heːrˈaŋi
whakamāramatia	fˌakamˌaːramatˈia
Maunganui	mˌau"ŋanˈu"i
Pōti	pˈɔːti
arotahi	ˌarɔtˈahi
kunenga	ku"nˈeŋa
hu	hˈu"
whakarērea	fˌakareːrˈea
Rangahautia	rˌaŋahˌau"tˈia
whakatakariri	fˌakatˌakarˈiri
hangaia	haŋˈa͡ɪa
Ruawharo	rˌu"afˈarɔ
taro	tˈarɔ
Awarua	ˌawarˈu"a
Rātapu	raːtˈapu"
Taupiri	tˌau"pˈiri
tonutia	tˌɔnu"tˈia
Kapu	kˈapu"
maurea	mˌau"rˈea
kaipōti	ka͡ɪpˈɔːti
whakamihia	fˌakamihˈia
whakawhanake	fˌakafanˈake
ngaiotanga	ŋˌa͡ɪɔtˈaŋa
Kahurangi	kˌahu"rˈaŋi
whakamātautau	fˌakamˌaːtau"tˈau"
kamo	kˈamɔ
whakaputu	fˌakapˈu"tu"
Rangitihi	rˌaŋitˈihi
kai	kˈa͡ɪ
hōhā	hˈɔːhaː
ruahine	rˌu"ahˈine
tautuhia	tˌau"tu"hˈia
kame	kˈame
inaki	inˈaki
whakaheke	fˌakahˈeke
Konohi	kɔnˈɔhi
aki	ˈaki
paki	pˈaki
waitohu	wa͡ɪtˈɔhu"
whakapaunga	fˌakapaˈu"ŋa
Ngohe	ŋˈɔhe
tokoiti	tɔkˈo͡ɪti
tātou	taːtˈou"
Aua	aˈu"a
whakapuakitanga	fˌakapˌu"akitˈaŋa
Otirā	ɔtˈiraː
maakete	mˌaakˈete
tuatahitanga	tˌu"atˌahitˈaŋa
papānga	papˈaːŋa
mitamano	mˌitamˈanɔ
Apirana	ˌapirˈana
Pono	pˈɔnɔ
imu	ˈimu"
mātua	maːtˈu"a
kit	kˈit
tu	tˈu"
Māia	maːˈia
wairewa	wa͡ɪrˈewa
panui	panˈu"i
whakakite	fˌakakˈite
kīia	kiːˈia
ohooho	ˌɔhɔˈɔhɔ
haora	hˈa͡ʊra
whakakorikori	fˌakakˌɔrikˈɔri
pupuhihia	pˌu"pu"hihˈia
Hīroa	hiːrˈɔa
karaipi	karˈa͡ɪpi
oioi	ˈo͡ɪo͡ɪ
rawakore	rˌawakˈɔre
mātaitai	maːtˈa͡ɪta͡ɪ
Maehe	mˈa͡ɪhe
whakahekenga	fˌakahekˈeŋa
urutā	u"rˈu"taː
Mutu	mˈu"tu"
Moni	mˈɔni
Home	hˈɔme
hauauru	hˌau"aˈu"ru"
Māmā	mˈaːmaː
Horoi	hˈɔro͡ɪ
waaawa	wˌaaˈawa
kaiārahitanga	kˌa͡ɪaːrˌahitˈaŋa
mokemoke	mˌɔkemˈɔke
whakahirahira	fˌakahˌirahˈira
umu	ˈu"mu"
warewaretia	wˌarewˌaretˈia
taiohi	ta͡ɪˈɔhi
whatinga	fatˈiŋa
mango	mˈaŋɔ
Waimarie	wˌa͡ɪmarˈie
taupānga	tˌau"pˈaːŋa
Ihaka	ihˈaka
whutuporo	fˌu"tu"pˈɔrɔ
poriro	pɔrˈirɔ
Whakaminenga	fˌakaminˈeŋa
kuru	kˈu"ru"
tauihu	tˌau"ˈihu"
kauanga	kˌau"ˈaŋa
hā	hˈaː
Tipu	tˈipu"
Ngata	ŋˈata
Peti	pˈeti
ware	wˈare
paina	pˈa͡ɪna
Rēhita	reːhˈita
whakatara	fˌakatˈara
Whakatōhea	fˌakatɔːhˈea
taero	tˈa͡ɪrɔ
otira	ɔtˈira
pāpaka	paːpˈaka
Hoahoa	hˌɔahˈɔa
Tēnā	tˈeːnaː
Whāriki	faːrˈiki
Reipa	reˈipa
tūtohu	tu"ːtˈɔhu"
Pakihi	pakˈihi
Pukemiro	pˌu"kemˈirɔ
Rēkohu	reːkˈɔhu"
āpiti	aːpˈiti
Niwa	nˈiwa
whare	fˈare
tōnga	tˈɔːŋa
waerehe	wa͡ɪrˈehe
Ākina	aːkˈina
era	ˈera
arohaehae	ˌarɔhˈa͡ɪha͡ɪ
whakaahuahanga	fˌakaˌahu"ahˈaŋa
whakanekeneke	fˌakanˌekenˈeke
Waiariki	wˌa͡ɪarˈiki
hoahoa	hˌɔahˈɔa
nuinga	nu"ˈiŋa
Mangōroa	mˌaŋɔːrˈɔa
tenei	tenˈei
kahu	kˈahu"
Kaikōura	kˌa͡ɪkɔːˈu"ra
wewete	wewˈete
taera	tˈa͡ɪra
kororia	kˌɔrɔrˈia
Tapu	tˈapu"
kaihautu	kˌa͡ɪhaˈu"tu"
ōna	ˈɔːna
whakahere	fˌakahˈere
Tikanga	tikˈaŋa
īngoa	iːŋˈɔa
tātaitai	taːtˈa͡ɪta͡ɪ
poupoutanga	pˌou"pˌou"tˈaŋa
Tauranga	tˌau"rˈaŋa
Whakarea	fˌakarˈea
Uia	u"ˈia
hūnga	hˈu"ːŋa
takoha	takˈɔha
manuhiri	mˌanu"hˈiri
whakaruru	fˌakarˈu"ru"
hauropi	hˌau"rˈɔpi
takere	takˈere
whakairinga	fˌaka͡ɪrˈiŋa
whakarāpopoto	fˌakarˌaːpɔpˈɔtɔ
pāpaku	paːpˈaku"
wh	wh
neketai	nekˈeta͡ɪ
rangahautia	rˌaŋahˌau"tˈia
mātanga	maːtˈaŋa
pōhēhē	pɔːhˈeːheː
hamama	hamˈama
pūtaiao	pu"ːtˈa͡ɪa͡ʊ
Rongomai	rɔŋˈɔma͡ɪ
raatau	rˌaatˈau"
rangahau	rˌaŋahˈau"
ngira	ŋˈira
Paraparaumu	pˌarapˌaraˈu"mu"
he	hˈe
tangihanga	tˌaŋihˈaŋa
Tomo	tˈɔmɔ
N	n
kīhai	kˈiːha͡ɪ
nōna	nˈɔːna
Mākino	maːkˈinɔ
Wairau	wa͡ɪrˈau"
ano	ˈanɔ
Wero	wˈerɔ
Tumatauenga	tˌu"matˌau"ˈeŋa
pīataata	pˌiːataˈata
takune	takˈu"ne
hiko	hˈikɔ
Taipa	tˈa͡ɪpa
Kupu	kˈu"pu"
whakatina	fˌakatˈina
tutu	tˈu"tu"
whakaratoa	fˌakaratˈɔa
Kotahi	kɔtˈahi
haukāinga	hˌau"kaːˈiŋa
pouaka	pˌou"ˈaka
Kōhungahunga	kˌɔːhu"ŋahˈu"ŋa
pūngao	pˈu"ːŋa͡ʊ
nona	nˈɔna
punua	pu"nˈu"a
ngaro	ŋˈarɔ
tauiwi	tˌau"ˈiwi
Mātāwai	maːtˈaːwa͡ɪ
Topeora	tˌɔpeˈɔra
pūhuruhurutanga	pˌu"ːhu"rˌu"hu"ru"tˈaŋa
pāhekoheko	pˌaːhekɔhˈekɔ
Whetu	fˈetu"
whakapehapeha	fˌakapˌehapˈeha
mauī	maˈu"iː
ruaki	ru"ˈaki
tākoha	taːkˈɔha
hēhē	hˈeːheː
Wanaka	wanˈaka
tūtohinga	tˌu"ːtɔhˈiŋa
motokā	mɔtˈɔkaː
timatanga	tˌimatˈaŋa
māmā	mˈaːmaː
Ruatara	rˌu"atˈara
whētui	feːtˈu"i
Puia	pu"ˈia
whaanui	fˌaanˈu"i
maminga	mamˈiŋa
arahau	ˌarahˈau"
Tamanuiterā	tˌamanˌu"itˈeraː
ae	ˈa͡ɪ
pūrama	pu"ːrˈama
ona	ˈɔna
Wai	wˈa͡ɪ
whakamanaia	fˌakamanˈa͡ɪa
Āe	ˈaːe
taea	tˈa͡ɪa
Tamatea	tˌamatˈea
toroa	tɔrˈɔa
ou	ˈou"
te	tˈe
miro	mˈirɔ
Āperahama	ˌaːperahˈama
mahunga	mahˈu"ŋa
anana	anˈana
pirinoa	pˌirinˈɔa
Katoa	katˈɔa
