lô cốt	lo˧˧kok͡p˦˥
phòng ngủ	fɔŋ͡m˧˨ŋu˨˩˦
làm tôi	lam˧˨toj˧˧
mở cửa	mɤ˨˩˦kɯə˨˩˦
trại phong	ʈaj˨˩˨fɔŋ͡m˧˧
tuế	twe˦˥
đốn đời	doŋ͡m˦˥dɤj˧˨
hội thí	hoj˨˩˨tʰi˦˥
chịu tội	ciw˨˩˨toj˨˩˨
ngỏm	ŋɔm˨˩˦
hẹp hòi	hɛp˨˩˨hɔj˧˨
ấm cúng	ɤ̆m˦˥kuŋ͡m˦˥
môn phiệt	moŋ͡m˧˧fiək˨˩˨
quế lưu	we˦˥lɯw˧˧
tống	toŋ͡m˦˥
duyên cách	jwiəŋ˧˧kat˦˥
đánh thốc	dan˦˥tʰok͡p˦˥
lúa nương	luə˦˥nɯəŋ˧˧
vơ vất	jɤ˧˧jɤ̆k˦˥
chuẩn cứ	cwɤ̆ŋ˨˩˦kɯ˦˥
cấm duyên	kɤ̆m˦˥jwiəŋ˧˧
ái dà	aj˦˥ja˧˨
bà giằn	ba˧˨jăŋ˧˨
thoang thoảng	tʰwaŋ˧˧tʰwaŋ˨˩˦
ôn tuyền	oŋ͡m˧˧twiəŋ˧˨
xám xanh	sam˦˥san˧˧
lập trường	lɤ̆p˨˩˨ʈɯəŋ˧˨
coi miếng ăn như cái tàn cái tán	kɔj˧˧miəŋ˦˥ăŋ˧˧ɲɯ˧˧kaj˦˥taŋ˧˨kaj˦˥taŋ˦˥
gioi	jɔj˧˧
phụ chính	fu˨˩˨cin˦˥
da trời	ja˧˧ʈɤj˧˨
vo viên	jɔ˧˧jiəŋ˧˧
xoa xuýt	swa˧˧swit˦˥
hạ thiên	ha˨˩˨tʰiəŋ˧˧
nhung nhúc	ɲuŋ͡m˧˧ɲuk͡p˦˥
hoáng	hwaŋ˦˥
hấp háy	hɤ̆p˦˥hăj˦˥
đấng	dɤ̆ŋ˦˥
vơ-đét	jɤ˧˧-dɛt˦˥
nhữ đình toản	ɲɯ˨˩˦din˧˨twaŋ˨˩˦
chủ nghĩa vô chính phủ	cu˨˩˦ŋiə˨˩˦jo˧˧cin˦˥fu˨˩˦
gạch cay	ɣat˨˩˨kăj˧˧
buồng đào	buəŋ˧˨daw˧˨
đánh cuộc	dan˦˥kuək˨˩˨
tầm phơ	tɤ̆m˧˨fɤ˧˧
tự kỷ ám thị	tɯ˨˩˨ki˨˩˦am˦˥tʰi˨˩˨
lóng nhóng	lɔŋ͡m˦˥ɲɔŋ͡m˦˥
học hỏi	hɔk͡p˨˩˨hɔj˨˩˦
mang	maŋ˧˧
bình thường hoá	bin˧˨tʰɯəŋ˧˨hwa˦˥
cáo già	kaw˦˥ja˧˨
phân u-rê	fɤ̆ŋ˧˧u˧˧-ʐe˧˧
ổ	o˨˩˦
xạ hương	sa˨˩˨hɯəŋ˧˧
mán quần cộc	maŋ˦˥wɤ̆ŋ˧˨kok͡p˨˩˨
vân anh	jɤ̆ŋ˧˧an˧˧
cây thẳng không sợ lệch bóng	kɤ̆j˧˧tʰăŋ˨˩˦xoŋ͡m˧˧ʂɤ˨˩˨let˨˩˨bɔŋ͡m˦˥
đê	de˧˧
tô-tem giáo	to˧˧-tɛm˧˧jaw˦˥
chổng vó	coŋ͡m˨˩˦jɔ˦˥
tôn thất	toŋ͡m˧˧tʰɤ̆k˦˥
ưu	ɯw˧˧
đội viên	doj˨˩˨jiəŋ˧˧
quých	wit˦˥
quả bế	wa˨˩˦be˦˥
chỉ xác	ci˨˩˦sak˦˥
phân cắt	fɤ̆ŋ˧˧kăk˦˥
triển hạn	ʈiəŋ˨˩˦haŋ˨˩˨
sè	ʂɛ˧˨
khoèo chân	xwew˧˨cɤ̆ŋ˧˧
thắt nút	tʰăk˦˥nuk͡p˦˥
đồ sứ	do˧˨ʂɯ˦˥
lệ dân	le˨˩˨jɤ̆ŋ˧˧
nhèo nhẹo	ɲeo˧˨ɲeo˨˩˨
vững như đồng	jɯŋ˨˩˦ɲɯ˧˧doŋ͡m˧˨
gần đây	ɣɤ̆ŋ˧˨dɤ̆j˧˧
giậm doạ	jɤ̆m˨˩˨jwa˨˩˨
bụng dưới	buŋ͡m˨˩˨jɯəj˦˥
thuyết duy ý chí	tʰwiək˦˥jwi˧˧i˦˥ci˦˥
mũi nhọn	muj˨˩˦ɲɔŋ͡m˨˩˨
hứ!	hɯ˦˥
lễ nghi	le˨˩˦ŋi˧˧
đường tiệm cận	dɯəŋ˧˨tim˨˩˨kɤ̆ŋ˨˩˨
mấn	mɤ̆ŋ˦˥
vĩnh kiên	jin˨˩˦kiəŋ˧˧
xáo xác	saw˦˥sak˦˥
bánh sừng bò	ban˦˥ʂɯŋ˧˨bɔ˧˨
cửa nát nhà xiêu	kɯə˨˩˦nat˦˥ɲa˧˨siəw˧˧
khấn	xɤ̆ŋ˦˥
gạo ba trăng	ɣaw˨˩˨ba˧˧ʈăŋ˧˧
ô dù	o˧˧ju˧˨
rõi	ʐɔj˨˩˦
bói lửa	bɔj˦˥lɯə˨˩˦
nê-ông	ne˧˧-oŋ͡m˧˧
trở tay	ʈɤ˨˩˦tăj˧˧
mở miệng	mɤ˨˩˦miəŋ˨˩˨
danh cầm	jan˧˧kɤ̆m˧˨
tỷ trọng	ti˨˩˦ʈɔŋ͡m˨˩˨
rị	ʐi˨˩˨
dám	jam˦˥
rưng rức	ʐɯŋ˧˧ʐɯk˦˥
nhơm nhớp	ɲɤm˧˧ɲɤp˦˥
trao đổi	ʈaw˧˧doj˨˩˦
an-te	aŋ˧˧-tɛ˧˧
thị thế	tʰi˨˩˨tʰe˦˥
bằng hữu chi giao	băŋ˧˨hɯw˨˩˦ci˧˧jaw˧˧
chưa tối đã vội đi nằm	cɯə˧˧toj˦˥da˨˩˦joj˨˩˨di˧˧năm˧˨
hồng quế	hoŋ͡m˧˨we˦˥
quà tết	wa˧˨tet˦˥
giả hình	ja˨˩˦hin˧˨
truột	ʈuək˨˩˨
cong cóc	kɔŋ͡m˧˧kɔk͡p˦˥
tum húp	tum˧˧hup˦˥
quỉ thần	wi˨˩˦tʰɤ̆ŋ˧˨
gạo dé	ɣaw˨˩˨jɛ˦˥
xuân tiết	swɤ̆ŋ˧˧tiək˦˥
sò tim	ʂɔ˧˨tim˧˧
lưu thủy	lɯw˧˧tʰuj˨˩˦
cười ruồi	kɯəj˧˨ʐuəj˧˨
châu hoà	cɤ̆w˧˧hwa˧˨
hạ hồi	ha˨˩˨hoj˧˨
đặt	dăk˨˩˨
hồng bạch	hoŋ͡m˧˨bat˨˩˨
chậy	cɤ̆j˨˩˨
sình sịch	ʂin˧˨ʂit˨˩˨
yên ả	iɛŋ˧˧a˨˩˦
đại chủng viện	daj˨˩˨cuŋ͡m˨˩˦jiəŋ˨˩˨
đóng tảng	dɔŋ͡m˦˥taŋ˨˩˦
túng thiếu	tuŋ͡m˦˥tʰiəw˦˥
tạp kĩ	tap˨˩˨ki˨˩˦
tiền cổ điển	tiəŋ˧˨ko˨˩˦diəŋ˨˩˦
cùng nhân	kuŋ͡m˧˨ɲɤ̆ŋ˧˧
nhớ lời	ɲɤ˦˥lɤj˧˨
đãi đằng	daj˨˩˦dăŋ˧˨
sàng lọc	ʂaŋ˧˨lɔk͡p˨˩˨
nhịu mồm	ɲiw˨˩˨mom˧˨
tình địch	tin˧˨dit˨˩˨
lèo nhèo	leo˧˨ɲeo˧˨
trở ngại	ʈɤ˨˩˦ŋaj˨˩˨
phi tư sản hóa	fi˧˧tɯ˧˧ʂaŋ˨˩˦hwa˦˥
lành làm gáo, vỡ làm muôi	lan˧˨lam˧˨ɣaw˦˥jɤ˨˩˦lam˧˨muəj˧˧
thuỵ tân	tʰwi˨˩˨tɤ̆ŋ˧˧
tím ruột	tim˦˥ʐuək˨˩˨
sơ-vơ	ʂɤ˧˧-jɤ˧˧
giữ kẽ	jɯ˨˩˦kɛ˨˩˦
xúc cảnh	suk͡p˦˥kan˨˩˦
trước nhất	ʈɯək˦˥ɲɤ̆k˦˥
oe con	we˧˧kɔŋ͡m˧˧
bước vào	bɯək˦˥jaw˧˨
ngày rằm	ŋăj˧˨ʐăm˧˨
đá gà	da˦˥ɣa˧˨
theo đòi	tʰeo˧˧dɔj˧˨
nột	nok͡p˨˩˨
ngay mặt	ŋăj˧˧măk˨˩˨
chằng chằng	căŋ˧˨căŋ˧˨
rút gọn	ʐuk͡p˦˥ɣɔŋ͡m˨˩˨
máy bay bà già	măj˦˥băj˧˧ba˧˨ja˧˨
ba-ri-e	ba˧˧-ʐi˧˧-ɛ˧˧
kim chỉ nam	kim˧˧ci˨˩˦nam˧˧
hồ bi	ho˧˨bi˧˧
đường đường chính chính	dɯəŋ˧˨dɯəŋ˧˨cin˦˥cin˦˥
thọ diên	tʰɔ˨˩˨jiəŋ˧˧
biểu thức	biəw˨˩˦tʰɯk˦˥
giả trá	ja˨˩˦ʈa˦˥
trại chuối	ʈaj˨˩˨cuəj˦˥
hổ trùng	ho˨˩˦ʈuŋ͡m˧˨
phai	faj˧˧
khua khuắng	xuə˧˧xwăŋ˦˥
khuyết thiếu	xwiək˦˥tʰiəw˦˥
chạy tang	căj˨˩˨taŋ˧˧
thâm sinh	tʰɤ̆m˧˧ʂin˧˧
nghèo rớt	ŋeo˧˨ʐɤk˦˥
hai sương một nắng	haj˧˧ʂɯəŋ˧˧mok͡p˨˩˨năŋ˦˥
xon xón	sɔŋ͡m˧˧sɔŋ͡m˦˥
đàng nào đi đàng ấy	daŋ˧˨naw˧˨di˧˧daŋ˧˨ɤ̆j˦˥
trời thẳm đất dày	ʈɤj˧˨tʰăm˨˩˦dɤ̆k˦˥jăj˧˨
mỏi miệng	mɔj˨˩˦miəŋ˨˩˨
tân an	tɤ̆ŋ˧˧aŋ˧˧
vớt	jɤk˦˥
lễ lạt	le˨˩˦lat˨˩˨
nghẽn	ŋɛŋ˨˩˦
chất keo	cɤ̆k˦˥keo˧˧
nhập vai	ɲɤ̆p˨˩˨jaj˧˧
tay phải	tăj˧˧faj˨˩˦
vẻ mặt	jɛ˨˩˦măk˨˩˨
nục huyết	nuk͡p˨˩˨hwiək˦˥
thừa số	tʰɯə˧˨ʂo˦˥
chợ vàm	cɤ˨˩˨jam˧˨
tháo	tʰaw˦˥
cấm quân	kɤ̆m˦˥wɤ̆ŋ˧˧
âm sắc	ɤ̆m˧˧ʂăk˦˥
phải bả	faj˨˩˦ba˨˩˦
dòng thăm	jɔŋ͡m˧˨tʰăm˧˧
mạt hạng	mat˨˩˨haŋ˨˩˨
chi điếm	ci˧˧dim˦˥
bẻ đũa cả nắm	bɛ˨˩˦duə˨˩˦ka˨˩˦năm˦˥
thông thuơng	tʰoŋ͡m˧˧tʰuəŋ˧˧
cào	kaw˧˨
rít răng	ʐit˦˥ʐăŋ˧˧
chủ nghĩa tập thể	cu˨˩˦ŋiə˨˩˦tɤ̆p˨˩˨tʰe˨˩˦
cung xưng	kuŋ͡m˧˧sɯŋ˧˧
thông linh	tʰoŋ͡m˧˧lin˧˧
chuôm	cum˧˧
con tim	kɔŋ͡m˧˧tim˧˧
cân não	kɤ̆ŋ˧˧naw˨˩˦
độc đinh	dok͡p˨˩˨din˧˧
quyên sinh	wiɛŋ˧˧ʂin˧˧
trăng tròn	ʈăŋ˧˧ʈɔŋ͡m˧˨
già nua	ja˧˨nuə˧˧
lẽ	lɛ˨˩˦
đàn bà dễ có mấy tay	daŋ˧˨ba˧˨je˨˩˦kɔ˦˥mɤ̆j˦˥tăj˧˧
êm thấm	em˧˧tʰɤ̆m˦˥
phò	fɔ˧˨
rươm rướm	ʐɯm˧˧ʐɯm˦˥
hoắt	hwăk˦˥
cầm dù chẳng được mát cán	kɤ̆m˧˨ju˧˨căŋ˨˩˦dɯək˨˩˨mat˦˥kaŋ˦˥
thông hiệu	tʰoŋ͡m˧˧hiəw˨˩˨
chặt tay	căk˨˩˨tăj˧˧
trữ lượng	ʈɯ˨˩˦lɯəŋ˨˩˨
ngựa tía	ŋɯə˨˩˨tiə˦˥
giảm phân	jam˨˩˦fɤ̆ŋ˧˧
chuối xanh	cuəj˦˥san˧˧
tê-tơ-ra-xi-lin	te˧˧-tɤ˧˧-ʐa˧˧-si˧˧-lin˧˧
sản dục	ʂaŋ˨˩˦juk͡p˨˩˨
cửa quang	kɯə˨˩˦waŋ˧˧
phanh	fan˧˧
ngượng ngạo	ŋɯəŋ˨˩˨ŋaw˨˩˨
đĩa bay	diə˨˩˦băj˧˧
trực đạo	ʈɯk˨˩˨daw˨˩˨
ngoặc vuông	ŋwăk˨˩˨juəŋ˧˧
bầu dục	bɤ̆w˧˨juk͡p˨˩˨
thôn ổ	tʰoŋ͡m˧˧o˨˩˦
hạch đồ	hat˨˩˨do˧˨
no nê	nɔ˧˧ne˧˧
e-me-tin	ɛ˧˧-mɛ˧˧-tin˧˧
sầu	ʂɤ̆w˧˨
cò vạc kiếm ăn từng thung	kɔ˧˨jak˨˩˨kim˦˥ăŋ˧˧tɯŋ˧˨tʰuŋ͡m˧˧
mầy	mɤ̆j˧˨
ngày tư ngày tết	ŋăj˧˨tɯ˧˧ŋăj˧˨tet˦˥
miễn phí	miəŋ˨˩˦fi˦˥
thu dung	tʰu˧˧juŋ͡m˧˧
hổ cứ	ho˨˩˦kɯ˦˥
đấu súng	dɤ̆w˦˥ʂuŋ͡m˦˥
đá kì	da˦˥ki˧˨
đồng mẫu	doŋ͡m˧˨mɤ̆w˨˩˦
áo lễ	aw˦˥le˨˩˦
leo lẻo	leo˧˧leo˨˩˦
thủy lạo	tʰuj˨˩˦law˨˩˨
nhà xẹc	ɲa˧˨sɛk˨˩˨
chủ kho	cu˨˩˦xɔ˧˧
hữu danh	hɯw˨˩˦jan˧˧
thạch lâm	tʰat˨˩˨lɤ̆m˧˧
cán tỷ	kaŋ˦˥ti˨˩˦
thờn bơn chịu lép một bề	tʰɤŋ˧˨bɤŋ˧˧ciw˨˩˨lɛp˦˥mok͡p˨˩˨be˧˨
nối khố	noj˦˥xo˦˥
vải bạt	jaj˨˩˦bat˨˩˨
nao núng	naw˧˧nuŋ͡m˦˥
vân nam	jɤ̆ŋ˧˧nam˧˧
cơm nhà việc người	kɤm˧˧ɲa˧˨jiək˨˩˨ŋɯəj˧˨
ba chân	ba˧˧cɤ̆ŋ˧˧
chồn đèn	coŋ͡m˧˨dɛŋ˧˨
hí	hi˦˥
choá	cwa˦˥
phượng loan	fɯəŋ˨˩˨lwaŋ˧˧
chuyên san	cwiəŋ˧˧ʂaŋ˧˧
sát nách	ʂat˦˥nat˦˥
tân tây	tɤ̆ŋ˧˧tɤ̆j˧˧
khăn vấn	xăŋ˧˧jɤ̆ŋ˦˥
nước lã người dưng	nɯək˦˥la˨˩˦ŋɯəj˧˨jɯŋ˧˧
nhí nha nhí nhố	ɲi˦˥ɲa˧˧ɲi˦˥ɲo˦˥
lầu nhầu	lɤ̆w˧˨ɲɤ̆w˧˨
xếp hàng	sep˦˥haŋ˧˨
sáo mượn lông công	ʂaw˦˥mɯəŋ˨˩˨loŋ͡m˧˧koŋ͡m˧˧
viễn sơn	jiəŋ˨˩˦ʂɤŋ˧˧
thắt lưng	tʰăk˦˥lɯŋ˧˧
than khóc	tʰaŋ˧˧xɔk͡p˦˥
gông cụt	ɣoŋ͡m˧˧kuk͡p˨˩˨
tây học	tɤ̆j˧˧hɔk͡p˨˩˨
lỏn lẻn	lɔŋ͡m˨˩˦lɛŋ˨˩˦
bẩm báo	bɤ̆m˨˩˦baw˦˥
văn tố	jăŋ˧˧to˦˥
bằng cớ	băŋ˧˨kɤ˦˥
lếu	lɛu˦˥
chát lè	cat˦˥lɛ˧˨
cuộn phim	kuəŋ˨˩˨fim˧˧
tàu con thoi	tăw˧˨kɔŋ͡m˧˧tʰɔj˧˧
sư thầy	ʂɯ˧˧tʰɤ̆j˧˨
ngang hông	ŋaŋ˧˧hoŋ͡m˧˧
suối kiết	ʂuəj˦˥kiək˦˥
mồm như quạ cái	mom˧˨ɲɯ˧˧wa˨˩˨kaj˦˥
tà củ tỷ	ta˧˨ku˨˩˦ti˨˩˦
giật hậu	jɤ̆k˨˩˨hɤ̆w˨˩˨
phung phúng	fuŋ͡m˧˧fuŋ͡m˦˥
dướn	jɯəŋ˦˥
nhinh nhỉnh	ɲin˧˧ɲin˨˩˦
lập nghiêm	lɤ̆p˨˩˨ŋim˧˧
phũ	fu˨˩˦
rùa voi	ʐuə˧˨jɔj˧˧
buôn làng	buəŋ˧˧laŋ˧˨
cùng đường rứt giậu	kuŋ͡m˧˨dɯəŋ˧˨ʐɯk˦˥jɤ̆w˨˩˨
dâu chìm bể nổi	jɤ̆w˧˧cim˧˨be˨˩˦noj˨˩˦
tồn vong	toŋ͡m˧˨jɔŋ͡m˧˧
giai tầng	jaj˧˧tɤ̆ŋ˧˨
giật xổi	jɤ̆k˨˩˨soj˨˩˦
bộ ngắm	bo˨˩˨ŋăm˦˥
bữa cỗ	bɯə˨˩˦ko˨˩˦
món	mɔŋ͡m˦˥
bịnh	bin˨˩˨
dài dặc	jaj˧˨jăk˨˩˨
quốc phú binh cuờng	wok͡p˦˥fu˦˥bin˧˧kuəŋ˧˨
quàng xiên	waŋ˧˨siəŋ˧˧
ngoại hạn	ŋwaj˨˩˨haŋ˨˩˨
thanh ba	tʰan˧˧ba˧˧
bì bõm	bi˧˨bɔm˨˩˦
đường đột	dɯəŋ˧˨dok͡p˨˩˨
vật lộn	jɤ̆k˨˩˨loŋ͡m˨˩˨
mặt cắt không ra máu	măk˨˩˨kăk˦˥xoŋ͡m˧˧ʐa˧˧măw˦˥
chỉ ngũ sắc	ci˨˩˦ŋu˨˩˦ʂăk˦˥
thời đại	tʰɤj˧˨daj˨˩˨
triều cống	ʈiəw˧˨koŋ͡m˦˥
miễn dịch tự nhiên	miəŋ˨˩˦jit˨˩˨tɯ˨˩˨ɲiəŋ˧˧
đứng phắt dậy	dɯŋ˦˥făk˦˥jɤ̆j˨˩˨
ghểnh	ɣen˨˩˦
chập tối	cɤ̆p˨˩˨toj˦˥
dưỡng mẫu	jɯəŋ˨˩˦mɤ̆w˨˩˦
cúc cung tận tuỵ	kuk͡p˦˥kuŋ͡m˧˧tɤ̆ŋ˨˩˨twi˨˩˨
lớp xớp	lɤp˦˥sɤp˦˥
đáo lí	daw˦˥li˦˥
gia sự	ja˧˧ʂɯ˨˩˨
ban ân	baŋ˧˧ɤ̆ŋ˧˧
tồn trữ	toŋ͡m˧˨ʈɯ˨˩˦
hoa thức	hwa˧˧tʰɯk˦˥
chứa gá	cɯə˦˥ɣa˦˥
cụ tượng	ku˨˩˨tɯəŋ˨˩˨
điếm nguyệt	dim˦˥ŋwiək˨˩˨
rum	ʐum˧˧
chữ viết ghi âm	cɯ˨˩˦jiək˦˥ɣi˧˧ɤ̆m˧˧
khách thập phương	xat˦˥tʰɤ̆p˨˩˨fɯəŋ˧˧
áng chừng	aŋ˦˥cɯŋ˧˨
chết không kịp trối	cet˦˥xoŋ͡m˧˧kip˨˩˨ʈoj˦˥
truỵ	ʈwi˨˩˨
mát lòng mát dạ	mat˦˥lɔŋ͡m˧˨mat˦˥ja˨˩˨
tóp tọp	tɔp˦˥tɔp˨˩˨
tươi đẹp	tɯəj˧˧dɛp˨˩˨
dầu đèn	jɤ̆w˧˨dɛŋ˧˨
thợ rào	tʰɤ˨˩˨ʐaw˧˨
sứt mẻ	ʂɯk˦˥mɛ˨˩˦
thanh tân	tʰan˧˧tɤ̆ŋ˧˧
ngu ngơ	ŋu˧˧ŋɤ˧˧
khai mỏ	xaj˧˧mɔ˨˩˦
có ơn	kɔ˦˥ɤŋ˧˧
sạm mặt	ʂam˨˩˨măk˨˩˨
tiên hải	tiəŋ˧˧haj˨˩˦
trần cầu	ʈɤ̆ŋ˧˨kɤ̆w˧˨
vô bờ	jo˧˧bɤ˧˨
áp	ap˦˥
bần khổ	bɤ̆ŋ˧˨xo˨˩˦
hăng tiết	hăŋ˧˧tiək˦˥
tái xuất	taj˦˥swɤ̆k˦˥
thành vinh	tʰan˧˨jin˧˧
hương thẻ	hɯəŋ˧˧tʰɛ˨˩˦
thu chi	tʰu˧˧ci˧˧
đen như củ tam thất	dɛŋ˧˧ɲɯ˧˧ku˨˩˦tam˧˧tʰɤ̆k˦˥
khí tiết	xi˦˥tiək˦˥
lầu hồng gác tía	lɤ̆w˧˨hoŋ͡m˧˨ɣak˦˥tiə˦˥
suối cao	ʂuəj˦˥kaw˧˧
bàn ren	baŋ˧˨ʐɛŋ˧˧
sắc phục	ʂăk˦˥fuk͡p˨˩˨
còn	kɔŋ͡m˧˨
khỉ mũi	xi˨˩˦muj˨˩˦
chi khu	ci˧˧xu˧˧
khí động	xi˦˥doŋ͡m˨˩˨
cáp tàu	kap˦˥tăw˧˨
xe độc mã	sɛ˧˧dok͡p˨˩˨ma˨˩˦
kính tặng	kin˦˥tăŋ˨˩˨
sáng nhè	ʂaŋ˦˥ɲɛ˧˨
cục thế	kuk͡p˨˩˨tʰe˦˥
bất tuân	bɤ̆k˦˥twɤ̆ŋ˧˧
về chầu âm phủ	je˧˨cɤ̆w˧˨ɤ̆m˧˧fu˨˩˦
ra đi ô	ʐa˧˧di˧˧o˧˧
gò má	ɣɔ˧˨ma˦˥
báo công	baw˦˥koŋ͡m˧˧
hoẹt	hwet˨˩˨
khoai trụng	xwaj˧˧ʈuŋ͡m˨˩˨
kim cải	kim˧˧kaj˨˩˦
hộ vệ	ho˨˩˨je˨˩˨
vỏ lụa	jɔ˨˩˦luə˨˩˨
cho về	cɔ˧˧je˧˨
đầu cánh	dɤ̆w˧˨kan˦˥
ăn gạo luộc	ăŋ˧˧ɣaw˨˩˨luək˨˩˨
cẩm huy	kɤ̆m˨˩˦hwi˧˧
nguyên tố	ŋwiəŋ˧˧to˦˥
đéo mẹ	deo˦˥mɛ˨˩˨
ngọn giáo	ŋɔŋ͡m˨˩˨jaw˦˥
mắng chửi	măŋ˦˥cɯj˨˩˦
tức nước vỡ bờ	tɯk˦˥nɯək˦˥jɤ˨˩˦bɤ˧˨
phèn chua	fɛŋ˧˨cuə˧˧
truyền khẩu	ʈwiəŋ˧˨xɤ̆w˨˩˦
chửi như vặt thịt	cɯj˨˩˦ɲɯ˧˧jăk˨˩˨tʰit˨˩˨
ác-bít hối đoái	ak˦˥-bit˦˥hoj˦˥dwaj˦˥
thái thuần	tʰaj˦˥tʰwɤ̆ŋ˧˨
uống nước không chừa cặn	uəŋ˦˥nɯək˦˥xoŋ͡m˧˧cɯə˧˨kăŋ˨˩˨
quang nhân	waŋ˧˧ɲɤ̆ŋ˧˧
mắng té mắng tát	măŋ˦˥tɛ˦˥măŋ˦˥tat˦˥
văn nhã	jăŋ˧˧ɲa˨˩˦
hoạt thạch	hwat˨˩˨tʰat˨˩˨
chai	caj˧˧
thạch cầu	tʰat˨˩˨kɤ̆w˧˨
cháy cạnh	căj˦˥kan˨˩˨
giải sầu	jaj˨˩˦ʂɤ̆w˧˨
hốt lú	hok͡p˦˥lu˦˥
thanh tĩnh	tʰan˧˧tin˨˩˦
tưa	tɯə˧˧
găm gắm	ɣăm˧˧ɣăm˦˥
đổ đó	do˨˩˦dɔ˦˥
tẩu thoát	tɤ̆w˨˩˦tʰwat˦˥
đỏ mọng	dɔ˨˩˦mɔŋ͡m˨˩˨
rắn lục	ʐăŋ˦˥luk͡p˨˩˨
cát sự	kat˦˥ʂɯ˨˩˨
thao trường	tʰaw˧˧ʈɯəŋ˧˨
di hình	ji˧˧hin˧˨
đồn trưởng	doŋ͡m˧˨ʈɯəŋ˨˩˦
ăn đứt	ăŋ˧˧dɯk˦˥
tháng mười hai	tʰaŋ˦˥mɯəj˧˨haj˧˧
máy nước	măj˦˥nɯək˦˥
con xỏ	kɔŋ͡m˧˧sɔ˨˩˦
quỳnh xá	win˧˨sa˦˥
cắp vặt	kăp˦˥jăk˨˩˨
thiên lương	tʰiəŋ˧˧lɯəŋ˧˧
tài đức	taj˧˨dɯk˦˥
chấp lễ	cɤ̆p˦˥le˨˩˦
thợ vẽ	tʰɤ˨˩˨jɛ˨˩˦
nguyên cư	ŋwiəŋ˧˧kɯ˧˧
đường một chiều	dɯəŋ˧˨mok͡p˨˩˨ciəw˧˨
sống buôn săng chết bó chiếu	ʂoŋ͡m˦˥buəŋ˧˧ʂăŋ˧˧cet˦˥bɔ˦˥ciəw˦˥
thắt gút	tʰăk˦˥ɣuk͡p˦˥
giải quyết	jaj˨˩˦wiɛt˦˥
điếu thuốc	diəw˦˥tʰuək˦˥
đánh diêm	dan˦˥jim˧˧
nhạo đời	ɲaw˨˩˨dɤj˧˨
ông ghê bà cũng gớm	oŋ͡m˧˧ɣe˧˧ba˧˨kuŋ͡m˨˩˦ɣɤm˦˥
bất xâm phạm	bɤ̆k˦˥sɤ̆m˧˧fam˨˩˨
hổ ngươi	ho˨˩˦ŋɯəj˧˧
nữ học	nɯ˨˩˦hɔk͡p˨˩˨
bang	baŋ˧˧
ăn mày đòi xôi gấc	ăŋ˧˧măj˧˨dɔj˧˨soj˧˧ɣɤ̆k˦˥
cần thạnh	kɤ̆ŋ˧˨tʰan˨˩˨
lạch đà lạch đạch	lat˨˩˨da˧˨lat˨˩˨dat˨˩˨
đen sịt	dɛŋ˧˧ʂit˨˩˨
lắp ba lắp bắp	lăp˦˥ba˧˧lăp˦˥băp˦˥
dược lí học	jɯək˨˩˨li˦˥hɔk͡p˨˩˨
điều nhiệt	diəw˧˨ɲiək˨˩˨
cung cúc	kuŋ͡m˧˧kuk͡p˦˥
đệ trình	de˨˩˨ʈin˧˨
đức giám	dɯk˦˥jam˦˥
thuỷ quân lục chiến	tʰwi˨˩˦wɤ̆ŋ˧˧luk͡p˨˩˨ciəŋ˦˥
bãi biển	baj˨˩˦biəŋ˨˩˦
hình hộp chữ nhật	hin˧˨hop˨˩˨cɯ˨˩˦ɲɤ̆k˨˩˨
lão quyền	law˨˩˦wiɛŋ˧˨
cục ngoại	kuk͡p˨˩˨ŋwaj˨˩˨
cu-soong	ku˧˧-ʂɔŋ͡m˧˧
thần thánh	tʰɤ̆ŋ˧˨tʰan˦˥
hầm hơi	hɤ̆m˧˨hɤj˧˧
hội đồng nhà nước	hoj˨˩˨doŋ͡m˧˨ɲa˧˨nɯək˦˥
kêu chẳng thấu trời	kɛu˧˧căŋ˨˩˦tʰɤ̆w˦˥ʈɤj˧˨
vô sinh	jo˧˧ʂin˧˧
kính coong	kin˦˥kɔŋ͡m˧˧
giẻ-triêng	jɛ˨˩˦-ʈiəŋ˧˧
quân tình nguyện	wɤ̆ŋ˧˧tin˧˨ŋwiəŋ˨˩˨
sử dụng	ʂɯ˨˩˦juŋ͡m˨˩˨
cựu thạch khí	kɯw˨˩˨tʰat˨˩˨xi˦˥
tù	tu˧˨
cựu học sinh	kɯw˨˩˨hɔk͡p˨˩˨ʂin˧˧
ngâm ngẩm	ŋɤ̆m˧˧ŋɤ̆m˨˩˦
điện thế sinh vật	diəŋ˨˩˨tʰe˦˥ʂin˧˧jɤ̆k˨˩˨
nhẩm	ɲɤ̆m˨˩˦
đánh đường	dan˦˥dɯəŋ˧˨
hầm trú ẩn	hɤ̆m˧˨ʈu˦˥ɤ̆ŋ˨˩˦
phù kiều	fu˧˨kiəw˧˨
vớ va vớ vẫn	jɤ˦˥ja˧˧jɤ˦˥jɤ̆ŋ˨˩˦
hồ hởi	ho˧˨hɤj˨˩˦
chi phiếu	ci˧˧fiəw˦˥
đứng lớp	dɯŋ˦˥lɤp˦˥
yên thuỷ	iɛŋ˧˧tʰwi˨˩˦
chú chích	cu˦˥cit˦˥
trầy da tróc vẩy	ʈɤ̆j˧˨ja˧˧ʈɔk͡p˦˥jɤ̆j˨˩˦
