sanjuanēnsis	s̠anjʊanẽːs̠ɪs̠
mathēmatica	mat̪ʰeːmat̪ɪka
frondōsus	fɾɔn̪d̪oːs̠ʊs̠
compēnsātīvus	kɔmpẽːs̠aːt̪iːwʊs̠
palūdātus	paɫ̪uːd̪aːt̪ʊs̠
observātīs	ɔps̠ɛrwaːt̪iːs̠
dējuvō	d̪eːjʊwoː
quadrātice	kʷad̪ɾaːt̪ɪkɛ
regȳrātiō	rɛɡyːɾaːt̪ioː
ferōcia	fɛɾoːkia
scaccārium	s̠kakkaːɾiʊ̃ˑ
oscinis	ɔs̠kɪnɪs̠
operō	ɔpɛɾoː
seruit	s̠ɛɾʊɪt̪
modicus	mɔd̪ɪkʊs̠
rira	rɪɾa
ignipēs	ɪŋnɪpeːs̠
moschēnī	mɔs̠kʰeːniː
discimus	d̪ɪs̠kɪmʊs̠
algeō	aɫ̪ɡeoː
roseus	rɔs̠eʊs̠
nāsidiēnus	naːs̠ɪd̪ieːnʊs̠
līmātīs	l̪iːmaːt̪iːs̠
castaldus	kas̠t̪aɫ̪d̪ʊs̠
ōrās	oːɾaːs̠
amāveritis	amaːwɛɾɪt̪ɪs̠
rēticulum	reːt̪ɪkʊɫ̪ʊ̃ˑ
domesticus	d̪ɔmɛs̠t̪ɪkʊs̠
abundantēs	abʊn̪d̪an̪t̪eːs̠
pnix	pnɪks̠
exasperāte	ɛks̠as̠pɛɾaːt̪ɛ
cessātor	kɛs̠s̠aːt̪ɔr
incendiāriō	ɪŋkɛn̪d̪iaːɾioː
molliter	mɔl̠l̠ɪt̪ɛr
ōdinus	oːd̪ɪnʊs̠
safinius	s̠afɪniʊs̠
lynx	l̪ʏŋks̠
āreālis	aːɾeaːl̪ɪs̠
selīnūs	s̠ɛl̪iːnuːs̠
dīvīsibilis	d̪iːwiːs̠ɪbɪl̪ɪs̠
alcēdō	aɫ̪keːd̪oː
vellātēs	wɛl̠l̠aːt̪eːs̠
pōtus	poːt̪ʊs̠
megasthenēs	mɛɡas̠t̪ʰɛneːs̠
paranēnsis	paɾanẽːs̠ɪs̠
iniūdicātus	ɪnjuːd̪ɪkaːt̪ʊs̠
prōvēneris	pɾoːweːnɛɾiːs̠
salūtigerulus	s̠aɫ̪uːt̪ɪɡɛɾʊɫ̪ʊs̠
bellovacī	bɛl̠l̠ɔwakiː
pastās	paːs̠t̪aːs̠
caballīnus	kabal̠l̠iːnʊs̠
phoenīcius	pʰoe̯niːkiʊs̠
opus	ɔpʊs̠
glōttidum	ɡɫ̪oːt̪t̪ɪd̪ʊ̃ˑ
vagārem	waɡaːɾɛ̃ˑ
sagēna	s̠aɡeːna
inmūtō	ɪnmuːt̪oː
rōmānicus	roːmaːnɪkʊs̠
mūnerāverimus	muːnɛɾaːwɛɾiːmʊs̠
āvocāmentum	aːwɔkaːmɛn̪t̪ʊ̃ˑ
salebra	s̠aɫ̪ɛbɾa
hieroglyphicus	hiɛɾɔɡl̪ʏpʰɪkʊs̠
refundō	rɛfʊn̪d̪oː
subterdūcō	s̠ʊpt̪ɛrd̪uːkoː
suspīriōsus	s̠ʊs̠piːɾioːs̠ʊs̠
venetia	wɛnɛt̪ia
bathys	bat̪ʰʏs̠
abnegātor	abnɛɡaːt̪ɔr
chisiotosagī	kʰɪs̠iɔt̪ɔs̠aɡiː
denticollis	d̪ɛn̪t̪ɪkɔl̠l̠ɪs̠
līternum	l̪iːt̪ɛrnʊ̃ˑ
indēbitus	ɪn̪d̪eːbɪt̪ʊs̠
cachinnābilis	kakʰɪnnaːbɪl̪ɪs̠
calēla	kaɫ̪eːɫ̪a
batiola	bat̪iɔɫ̪a
uterque	ʊt̪ɛrkᶣɛ
drabēscus	d̪ɾabeːs̠kʊs̠
scytalosagittipelliger	s̠kʏt̪aɫ̪ɔs̠aɡɪt̪t̪ɪpɛl̠l̠ɪɡɛr
trōglodytēs	t̪ɾoːɡɫ̪ɔd̪ʏt̪eːs̠
silbium	s̠ɪɫ̪biʊ̃ˑ
discupiō	d̪ɪs̠kʊpioː
thronus	t̪ʰɾɔnʊs̠
astronomicus	as̠t̪ɾɔnɔmɪkʊs̠
multiplicāveris	mʊɫ̪t̪ɪpl̪ɪkaːwɛɾiːs̠
corpulentus	kɔrpʊɫ̪ɛn̪t̪ʊs̠
rūta	ruːt̪a
exēcrābilis	ɛks̠eːkɾaːbɪl̪ɪs̠
triplex	t̪ɾɪpɫ̪ɛks̠
capripēs	kapɾɪpeːs̠
maguesa	maɡʊɛs̠a
ēdictālis	eːd̪ɪkt̪aːl̪ɪs̠
indīcar	ɪn̪d̪iːkar
sublīma	s̠ʊbl̪iːma
merīdiō	mɛɾiːd̪ioː
obtruncātus	ɔpt̪ɾʊŋkaːt̪ʊs̠
dēlētrīx	d̪eːɫ̪eːt̪ɾiːks̠
antehāc	an̪t̪ʰaːk
perlavō	pɛrɫ̪awoː
epiglōttidibus	ɛpɪɡɫ̪oːt̪t̪ɪd̪ɪbʊs̠
cōpōnius	koːpoːniʊs̠
cooperātīvō	kɔɔpɛɾaːt̪iːwoː
amytis	amʏt̪ɪs̠
sylvāticus	s̠ʏɫ̪waːt̪ɪkʊs̠
stirpēs	s̠t̪ɪrpeːs̠
calēdonius	kaɫ̪eːd̪ɔniʊs̠
nōminātūra	noːmɪnaːt̪uːɾa
fēteō	feːt̪eoː
nāzīraeus	naːzziːɾae̯ʊs̠
gustāveritis	ɡʊs̠t̪aːwɛɾiːt̪ɪs̠
iūdicem	juːd̪ɪkɛ̃ˑ
errāveris	ɛrraːwɛɾɪs̠
merīdiāna	mɛɾiːd̪iaːnaː
aborīgineus	abɔɾiːɡɪneʊs̠
cantātus	kan̪t̪aːt̪ʊs̠
galapagoēnsis	ɡaɫ̪apaɡɔẽːs̠ɪs̠
numerārius	nʊmɛɾaːɾiʊs̠
fuerāmus	fʊɛɾaːmʊs̠
suppetiātus	s̠ʊppɛt̪iaːt̪ʊs̠
quirītō	kᶣɪɾiːt̪oː
chmericus	kʰmɛɾɪkʊs̠
fugō	fʊɡoː
praetergredior	pɾae̯t̪ɛrɡrɛd̪iɔr
cōnsōlātor	kõːs̠oːɫ̪aːt̪ɔr
polyrhizus	pɔl̪ʏɾɪzzʊs̠
ārefaciō	aːɾɛfakioː
alcyōn	aɫ̪kyoːn
pedō	pɛd̪oː
tractōria	t̪ɾakt̪oːɾiaː
crēmnī	kɾeːmniː
intempestīvō	ɪn̪t̪ɛmpɛs̠t̪iːwoː
flōreō	fɫ̪oːɾeoː
hybridus	hʏbɾɪd̪ʊs̠
nederlandicus	nɛd̪ɛrɫ̪an̪d̪ɪkʊs̠
ērāse	eːɾaːs̠ɛ
virētum	wɪɾeːt̪ʊ̃ˑ
vestītis	wɛs̠t̪iːt̪ɪs̠
obsistō	ɔps̠ɪs̠t̪oː
sīcut	s̠iːkʊt̪
ibēriae	ɪbeːɾiae̯
convīvificō	kɔnwiːwɪfɪkoː
contumēliōsus	kɔn̪t̪ʊmeːl̪ioːs̠ʊs̠
lamberēs	ɫ̪ambɛɾeːs̠
tiberias	t̪ɪbɛɾias̠
indūrātis	ɪn̪d̪uːɾaːt̪ɪs̠
truncāveris	t̪ɾʊŋkaːwɛɾiːs̠
tabernārius	t̪abɛrnaːɾiʊs̠
catascopium	kat̪as̠kɔpiʊ̃ˑ
nivātus	nɪwaːt̪ʊs̠
crepundia	kɾɛpʊn̪d̪ia
impudīcus	ɪmpʊd̪iːkʊs̠
extenuō	ɛks̠t̪ɛnʊoː
subripiō	s̠ʊbrɪpioː
inquiētāns	ɪŋkᶣieːt̪ãːs̠
superindūcō	s̠ʊpɛɾɪn̪d̪uːkoː
antipodiānus	an̪t̪ɪpɔd̪iaːnʊs̠
fuissent	fʊɪs̠s̠ɛn̪t̪
humātīs	hʊmaːt̪iːs̠
chrȳsoprassus	kʰɾyːs̠ɔpɾas̠s̠ʊs̠
bistriātus	bɪs̠t̪ɾiaːt̪ʊs̠
ōsēam	oːs̠eːãˑ
catalinēnsis	kat̪al̪ɪnẽːs̠ɪs̠
scillūs	s̠kɪl̠l̠uːs̠
fīliālis	fiːl̪iaːl̪ɪs̠
sōpīveritis	s̠oːpiːwɛɾɪt̪ɪs̠
vigōrēs	wɪɡoːɾeːs̠
dictābolārium	d̪ɪkt̪aːbɔɫ̪aːɾiʊ̃ˑ
indoctus	ɪn̪d̪ɔkt̪ʊs̠
erysimon	ɛɾʏs̠ɪmɔn
suīnus	s̠ʊiːnʊs̠
fulgidus	fʊɫ̪ɡɪd̪ʊs̠
artacē	art̪akeː
longiflōrus	ɫ̪ɔŋɡɪfɫ̪oːɾʊs̠
oklahomēnsis	ɔkɫ̪ahɔmẽːs̠ɪs̠
errāveris	ɛrraːwɛɾiːs̠
perobtūsus	pɛɾɔpt̪uːs̠ʊs̠
tūtissimō	t̪uːt̪ɪs̠s̠ɪmoː
compāctō	kɔmpaːkt̪oː
quantitātīvus	kʷan̪t̪ɪt̪aːt̪iːwʊs̠
fāmōsa	faːmoːs̠aː
vīsibilitās	wiːs̠ɪbɪl̪ɪt̪aːs̠
āerofaciēns	aːɛɾɔfakiẽːs̠
dahūria	d̪ahuːɾia
tongēre	t̪ɔŋɡeːɾɛ
obiūrgātis	ɔbjuːrɡaːt̪ɪs̠
imitātor	ɪmɪt̪aːt̪ɔr
contestor	kɔn̪t̪ɛs̠t̪ɔr
molūcrum	mɔɫ̪uːkɾʊ̃ˑ
adambulātūrus	ad̪ambʊɫ̪aːt̪uːɾʊs̠
fērior	feːɾiɔr
facinerōsa	fakɪnɛɾoːs̠aː
syrmus	s̠ʏrmʊs̠
exportās	ɛks̠pɔrt̪aːs̠
frātricīda	fɾaːt̪ɾɪkiːd̪a
ōrdītus	oːrd̪iːt̪ʊs̠
prōvocātōrius	pɾoːwɔkaːt̪oːɾiʊs̠
sangala	s̠aŋɡaɫ̪a
mālō	maːɫ̪oː
speculātor	s̠pɛkʊɫ̪aːt̪ɔr
ōmen	oːmɛn
beroea	bɛɾoe̯a
celadussae	kɛɫ̪ad̪ʊs̠s̠ae̯
pedester	pɛd̪ɛs̠t̪ɛr
campicolus	kampɪkɔɫ̪ʊs̠
īnfāmēs	ĩːfaːmeːs̠
dēlīrium	d̪eːl̪iːɾiʊ̃ˑ
pēnsitō	pẽːs̠ɪt̪oː
circiter	kɪrkɪt̪ɛr
aedituēns	ae̯d̪ɪt̪ʊẽːs̠
archīāter	arkʰiːaːt̪ɛr
temptātiō	t̪ɛmpt̪aːt̪ioː
osmida	ɔs̠mɪd̪a
junta	jʊn̪t̪a
imitātīva	ɪmɪt̪aːt̪iːwa
annītor	anniːt̪ɔr
solcinium	s̠ɔɫ̪kɪniʊ̃ˑ
illūminō	ɪl̠l̠uːmɪnoː
secor	s̠ɛkɔr
criticam	kɾɪt̪ɪkãˑ
scylacē	s̠kʏɫ̪akeː
sēriceus	s̠eːɾɪkeʊs̠
ōram	oːɾãˑ
eggius	ɛɡɡiʊs̠
laniāveritis	ɫ̪aniaːwɛɾiːt̪ɪs̠
adsiduus	at̪s̠ɪd̪ʊʊs̠
excēdō	ɛks̠keːd̪oː
didymē	d̪ɪd̪ʏmeː
dīrēcte	d̪iːɾeːkt̪ɛ
christifidelis	kʰɾɪs̠t̪ɪfɪd̪ɛl̪ɪs̠
obductiō	ɔbd̪ʊkt̪ioː
dolōsus	d̪ɔɫ̪oːs̠ʊs̠
compositiō	kɔmpɔs̠ɪt̪ioː
ignātius	ɪŋnaːt̪iʊs̠
simplex	s̠ɪmpɫ̪ɛks̠
exedō	ɛks̠ɛd̪oː
liburnicus	l̪ɪbʊrnɪkʊs̠
fātus	faːt̪ʊs̠
volveram	wɔɫ̪wɛɾãˑ
thesprōtia	t̪ʰɛs̠pɾoːt̪ia
enīpeu	ɛniːpeu̯
teucrus	t̪eu̯kɾʊs̠
praegaudeō	pɾae̯ɡau̯d̪eoː
hexas	hɛks̠as̠
abdicā	abd̪ɪkaː
pāscerēmur	paːs̠kɛɾeːmʊr
saltātrīx	s̠aɫ̪t̪aːt̪ɾiːks̠
immolātīs	ɪmmɔɫ̪aːt̪iːs̠
cōnfestim	kõːfɛs̠t̪ɪ̃ˑ
cherronēsus	kʰɛrrɔneːs̠ʊs̠
aspathinēs	as̠pat̪ʰɪneːs̠
gerūnium	ɡɛɾuːniʊ̃ˑ
parihedrus	paɾɪhɛd̪ɾʊs̠
dēficere	d̪eːfɪkɛɾɛ
sublīmārēs	s̠ʊbl̪iːmaːɾeːs̠
occursātīs	ɔkkʊrs̠aːt̪iːs̠
dēgener	d̪eːɡɛnɛr
trānslātiō	t̪ɾãːs̠ɫ̪aːt̪ioː
peregrīnābundus	pɛɾɛɡriːnaːbʊn̪d̪ʊs̠
nōbilior	noːbɪl̪iɔr
tisidium	t̪ɪs̠ɪd̪iʊ̃ˑ
jūsta	juːs̠t̪a
ecce	ɛkkɛ
portārius	pɔrt̪aːɾiʊs̠
sahāricus	s̠ahaːɾɪkʊs̠
perquīrō	pɛrkᶣiːɾoː
grātor	ɡraːt̪ɔr
prōnūntiō	pɾoːnuːn̪t̪ioː
complicā	kɔmpl̪ɪkaː
viscōnsinia	wɪs̠kõːs̠ɪnia
ablātīve	abɫ̪aːt̪iːwɛ
rufipēs	rʊfɪpeːs̠
desticius	d̪ɛs̠t̪ɪkiʊs̠
forāminōsus	fɔɾaːmɪnoːs̠ʊs̠
perpendiculum	pɛrpɛn̪d̪ɪkʊɫ̪ʊ̃ˑ
efficiō	ɛffɪkioː
immerēns	ɪmmeːɾẽːs̠
aurūgineus	au̯ruːɡɪneʊs̠
dulcis	d̪ʊɫ̪kɪs̠
empēricus	ɛmpeːɾɪkʊs̠
iōlcus	joːɫ̪kʊs̠
valefaciō	waɫ̪ɛfakioː
ūsūrārius	uːs̠uːɾaːɾiʊs̠
velim	wɛl̪ɪ̃ˑ
ragōnius	raɡoːniʊs̠
vocāverimus	wɔkaːwɛɾɪmʊs̠
cadmī̆ās	kad̪miːaːs̠
gelāveritis	ɡɛɫ̪aːwɛɾɪt̪ɪs̠
mōsī	moːs̠iː
illātīvus	ɪl̠l̠aːt̪iːwʊs̠
suāviter	s̠waːwɪt̪ɛr
bomītae	bɔmiːt̪ae̯
tribrevis	t̪ɾɪbɾɛwɪs̠
rosātus	rɔs̠aːt̪ʊs̠
doctōrandae	d̪ɔkt̪oːɾan̪d̪ae̯
dēspiciō	d̪eːs̠pɪkioː
dēvirginātiō	d̪eːwɪrɡɪnaːt̪ioː
salignus	s̠al̪ɪŋnʊs̠
excīsum	ɛks̠kiːs̠ʊ̃ˑ
exportō	ɛks̠pɔrt̪oː
coptos	kɔpt̪ɔs̠
adōrdinō	ad̪oːrd̪ɪnoː
italicus	ɪt̪al̪ɪkʊs̠
vicissitās	wɪkɪs̠s̠ɪt̪aːs̠
explicārās	ɛks̠pl̪ɪkaɾaːs̠
quaestuōsus	kʷae̯s̠t̪ʊoːs̠ʊs̠
īnflāveris	ĩːfɫ̪aːwɛɾɪs̠
reductiō	rɛd̪ʊkt̪ioː
lībertus	l̪iːbɛrt̪ʊs̠
esquimēnsis	ɛs̠kᶣɪmẽːs̠ɪs̠
monoīdēs	mɔnɔiːd̪eːs̠
terebrō	t̪ɛɾɛbɾoː
obsignātus	ɔps̠ɪŋnaːt̪ʊs̠
palūdīcolus	paɫ̪uːd̪iːkɔɫ̪ʊs̠
pugilus	pʊɡɪɫ̪ʊs̠
trānsversālis	t̪ɾãːs̠wɛrs̠aːl̪ɪs̠
blennorrhāgicus	bɫ̪ɛnnɔrraːɡɪkʊs̠
dūriusculus	d̪uːɾiʊs̠kʊɫ̪ʊs̠
convalēscente	kɔnwaɫ̪eːs̠kɛn̪t̪ɛ
taprobanēnsis	t̪apɾɔbanẽːs̠ɪs̠
etsī	ɛt̪s̠iː
nortia	nɔrt̪ia
anaphoricus	anapʰɔɾɪkʊs̠
mexicāna	mɛks̠ɪkaːna
quadrātē	kʷad̪ɾaːt̪eː
adlātus	ad̪ɫ̪aːt̪ʊs̠
nōngenta	noːŋɡɛn̪t̪a
coniūnctiō	kɔnjuːŋkt̪ioː
iūsum	juːs̠ʊ̃ˑ
mastrūca	mas̠t̪ɾuːka
precātōrius	pɾɛkaːt̪oːɾiʊs̠
cōnspicuus	kõːs̠pɪkʊʊs̠
casina	kas̠ɪnaː
oxīa	ɔks̠iːa
lībrāverimus	l̪iːbɾaːwɛɾɪmʊs̠
ducātus	d̪ʊkaːt̪ʊs̠
vascintōnia	was̠kɪn̪t̪oːnia
laudātis	ɫ̪au̯d̪aːt̪ɪs̠
locuplētāverimus	ɫ̪ɔkʊpɫ̪eːt̪aːwɛɾɪmʊs̠
nōtionālis	noːt̪iɔnaːl̪ɪs̠
unquam	ʊŋkʷãˑ
basilīum	bas̠ɪl̪iːʊ̃ˑ
aviam	awiãˑ
mēta	meːt̪aː
tāctilis	t̪aːkt̪ɪl̪ɪs̠
buxī	bʊks̠iː
anabasis	anabas̠ɪs̠
fornācula	fɔrnaːkʊɫ̪a
obstupefactūrus	ɔps̠t̪ʊpɛfakt̪uːɾʊs̠
dīra	d̪iːɾaː
superērogātiō	s̠ʊpɛɾeːɾɔɡaːt̪ioː
biceps	bɪkɛps̠
dexter	d̪ɛks̠t̪ɛr
alectoria	aɫ̪ɛkt̪ɔɾia
implōrō	ɪmpɫ̪oːɾoː
genūflexus	ɡɛnuːfɫ̪ɛks̠ʊs̠
venereālis	wɛnɛɾeaːl̪ɪs̠
fulgurātor	fʊɫ̪ɡʊɾaːt̪ɔr
xystus	ks̠ʏs̠t̪ʊs̠
fūnestus	fuːnɛs̠t̪ʊs̠
oportūnus	ɔpɔrt̪uːnʊs̠
strēnuitās	s̠t̪ɾeːnʊɪt̪aːs̠
geneālogia	ɡɛneaːɫ̪ɔɡia
īsāiā	iːs̠aːjaː
babylōnia	babʏɫ̪oːnia
perturbāte	pɛrt̪ʊrbaːt̪ɛ
distortiō	d̪ɪs̠t̪ɔrt̪ioː
fabaris	fabaɾɪs̠
cōnsepeliō	kõːs̠ɛpɛl̪ioː
pompēiānus	pɔmpeːjaːnʊs̠
genaunī	ɡɛnau̯niː
absolvēns	aps̠ɔɫ̪wẽːs̠
meātis	meaːt̪ɪs̠
roncō	rɔŋkoː
carpinus	karpɪnʊs̠
daps	d̪aps̠
nullātenus	nʊl̠l̠aːt̪ɛnʊs̠
dēiciō	d̪eːjɪkioː
augustā	au̯ɡʊs̠t̪aː
vigil	wɪɡɪɫ̪
secūtulēius	s̠ɛkuːt̪ʊɫ̪eːjʊs̠
citandō	kɪt̪an̪d̪oː
concinnitās	kɔŋkɪnnɪt̪aːs̠
raetia	rae̯t̪ia
antōniopolis	an̪t̪oːniɔpɔl̪ɪs̠
eldamarī	ɛɫ̪d̪amaɾiː
intellegō	ɪn̪t̪ɛl̠l̠ɛɡoː
abdicandō	abd̪ɪkan̪d̪oː
sarsūrius	s̠ars̠uːɾiʊs̠
magicus	maɡɪkʊs̠
patrimōnium	pat̪ɾɪmoːniʊ̃ˑ
flammiger	fɫ̪ammɪɡɛr
aequitās	ae̯kᶣɪt̪aːs̠
gravēdinōsus	ɡraweːd̪ɪnoːs̠ʊs̠
scīveris	s̠kiːwɛɾɪs̠
inexhaustus	ɪnɛks̠au̯s̠t̪ʊs̠
passitō	pas̠s̠ɪt̪oː
offirmāveritis	ɔffɪrmaːwɛɾiːt̪ɪs̠
trebōnius	t̪ɾɛboːniʊs̠
immeritōrius	ɪmmɛɾɪt̪oːɾiʊs̠
gallicia	ɡal̠l̠ɪkia
bordellum	bɔrd̪ɛl̠l̠ʊ̃ˑ
indigitāmenta	ɪn̪d̪ɪɡɪt̪aːmɛn̪t̪a
orīginārius	ɔɾiːɡɪnaːɾiʊs̠
istīus	ɪs̠t̪iːʊs̠
locūtiōnibus	ɫ̪ɔkuːt̪ioːnɪbʊs̠
singultus	s̠ɪŋɡʊɫ̪t̪ʊs̠
hygrostathmicus	hʏɡrɔs̠t̪at̪ʰmɪkʊs̠
viscō	wɪs̠koː
hibēricus	hɪbeːɾɪkʊs̠
septū̆nx	s̠ɛpt̪ʊŋks̠
intercidō	ɪn̪t̪ɛrkɪd̪oː
īnsertō	ĩːs̠ɛrt̪oː
māsēs	maːs̠eːs̠
spontānea	s̠pɔn̪t̪aːnea
sinōniam	s̠ɪnoːniãˑ
ecuātōriānās	ɛkʊaːt̪oːɾiaːnaːs̠
stater	s̠t̪at̪ɛr
rōscidus	roːs̠kɪd̪ʊs̠
commulceō	kɔmmʊɫ̪keoː
pūtidē	puːt̪ɪd̪eː
apogaēus	apɔɡaeːʊs̠
gener	ɡɛnɛr
abnūtīva	abnuːt̪iːwaː
fābricius	faːbɾɪkiʊs̠
nōdulōsus	noːd̪ʊɫ̪oːs̠ʊs̠
rōs	roːs̠
laudāvērunt	ɫ̪au̯d̪aːweːɾʊn̪t̪
tractātiō	t̪ɾakt̪aːt̪ioː
singulāris	s̠ɪŋɡʊɫ̪aːɾɪs̠
eudōn	eu̯d̪oːn
tamaris	t̪amaɾɪs̠
levācī	ɫ̪ɛwaːkiː
murrānus	mʊrraːnʊs̠
elatē	ɛɫ̪at̪eː
obdō	ɔbd̪oː
brixia	bɾɪks̠ia
circumspectō	kɪrkũːs̠pɛkt̪oː
stāgnum	s̠t̪aːŋnʊ̃ˑ
trānslūceō	t̪ɾãːs̠ɫ̪uːkeoː
octōgēsimus	ɔkt̪oːɡeːs̠ɪmʊs̠
scyllae	s̠kʏl̠l̠ae̯
laena	ɫ̪ae̯na
lugdūnum	ɫ̪ʊɡd̪uːnʊ̃ˑ
annihilō	annɪhɪɫ̪oː
tinnīveris	t̪ɪnniːwɛɾɪs̠
phascōla	pʰas̠koːɫ̪a
corporō	kɔrpɔɾoː
bartholomaeus	bart̪ʰɔɫ̪ɔmae̯ʊs̠
ēlātē	eːɫ̪aːt̪eː
intermittō	ɪn̪t̪ɛrmɪt̪t̪oː
prophēticus	pɾɔpʰeːt̪ɪkʊs̠
sarinum	s̠aɾɪnʊ̃ˑ
anticipor	an̪t̪ɪkɪpɔr
orumcolae	ɔɾʊŋkɔɫ̪ae̯
sarcasmus	s̠arkas̠mʊs̠
mētam	meːt̪ãˑ
cliēns	kl̪iẽːs̠
pittacium	pɪt̪t̪akiʊ̃ˑ
gerente	ɡɛɾɛn̪t̪ɛ
signō	s̠ɪŋnoː
sexennis	s̠ɛks̠ɛnnɪs̠
commonitum	kɔmmɔnɪt̪ʊ̃ˑ
cyclus	kʏkɫ̪ʊs̠
cōnspergō	kõːs̠pɛrɡoː
ictus	ɪkt̪ʊs̠
amāveris	amaːwɛɾiːs̠
condūcibilis	kɔn̪d̪uːkɪbɪl̪ɪs̠
injiciō	ɪnjɪkioː
āmentō	aːmɛn̪t̪oː
sexmaculātus	s̠ɛks̠makʊɫ̪aːt̪ʊs̠
castō	kas̠t̪oː
longicaudus	ɫ̪ɔŋɡɪkau̯d̪ʊs̠
deiferus	d̪eɪfɛɾʊs̠
cissōnius	kɪs̠s̠oːniʊs̠
fundāmentum	fʊn̪d̪aːmɛn̪t̪ʊ̃ˑ
lassā	ɫ̪as̠s̠aː
bibōsus	bɪboːs̠ʊs̠
salūtāris	s̠aɫ̪uːt̪aːɾɪs̠
spongiōsus	s̠pɔŋɡioːs̠ʊs̠
fugācitās	fʊɡaːkɪt̪aːs̠
tardī	t̪ard̪iː
undātus	ʊn̪d̪aːt̪ʊs̠
nemorivagus	nɛmɔɾɪwaɡʊs̠
asaccharolyticus	as̠akkʰaɾɔl̪ʏt̪ɪkʊs̠
bārō	baːɾoː
pandarae	pan̪d̪aɾae̯
zarax	zaɾaks̠
ad	ad̪
tecum	t̪ɛkʊ̃ˑ
nāsīraeus	naːs̠iːɾae̯ʊs̠
gabonicus	ɡabɔnɪkʊs̠
chrȳsorrhoās	kʰɾʏs̠ɔrrɔaːs̠
sepullius	s̠ɛpʊl̠l̠iʊs̠
praeiciō	pɾae̯jɪkioː
lār	ɫ̪aːr
saevitia	s̠ae̯wɪt̪ia
bustuārius	bʊs̠t̪ʊaːɾiʊs̠
obiectiō	ɔbjɛkt̪ioː
carthāgō	kart̪ʰaːɡoː
pars	pars̠
exprōbrō	ɛks̠pɾoːbɾoː
vīgintisēvirātus	wiːɡɪn̪t̪ɪs̠eːwɪɾaːt̪ʊs̠
adtonō	at̪t̪ɔnoː
anastasim	anas̠t̪as̠ɪ̃ˑ
marītātis	maɾiːt̪aːt̪ɪs̠
aequāveritis	ae̯kʷaːwɛɾɪt̪ɪs̠
dīrēxerimus	d̪iːɾɛks̠ɛɾɪmʊs̠
carmināveris	karmɪnaːwɛɾiːs̠
chamaecerasus	kʰamae̯kɛɾas̠ʊs̠
īnfōrmātīvō	ĩːfoːrmaːt̪iːwoː
sardiātēs	s̠ard̪iaːt̪eːs̠
scaptia	s̠kapt̪ia
prōmulgandō	pɾoːmʊɫ̪ɡan̪d̪oː
fīdus	fiːd̪ʊs̠
tīnctiō	t̪iːŋkt̪ioː
pastās	pas̠t̪aːs̠
āfrica	aːfɾɪka
dēterminō	d̪eːt̪ɛrmɪnoː
praetervehor	pɾae̯t̪ɛrwɛhɔr
cōnscēnsiō	kõːs̠kẽːs̠ioː
pervagus	pɛrwaɡʊs̠
prōsecō	pɾoːs̠ɛkoː
ballōtē	bal̠l̠oːt̪eː
inieritis	ɪniɛɾɪt̪ɪs̠
saevē	s̠ae̯weː
compungō	kɔmpʊŋɡoː
coadūnō	kɔad̪uːnoː
pēniculāmenta	peːnɪkʊɫ̪aːmɛn̪t̪a
recreātor	rɛkɾeaːt̪ɔr
reveniō	rɛwɛnioː
effice	ɛffɪkɛ
praedoceō	pɾae̯d̪ɔkeoː
calceus	kaɫ̪keʊs̠
voluptās	wɔɫ̪ʊpt̪aːs̠
germināveris	ɡɛrmɪnaːwɛɾiːs̠
utervīs	ʊt̪ɛrwiːs̠
septingentī	s̠ɛpt̪ɪŋɡɛn̪t̪iː
ingeminō	ɪŋɡɛmɪnoː
paraphrasis	paɾapʰɾas̠ɪs̠
scaturrīgō	s̠kat̪ʊrriːɡoː
crēdidērunt	kɾeːd̪ɪd̪eːɾʊn̪t̪
prōvēnerimus	pɾoːweːnɛɾiːmʊs̠
sāmoānō	s̠amɔanɔ
femina	fɛmɪna
manicae	manɪkae̯
sociō	s̠ɔkioː
fēlis	feːl̪ɪs̠
versificātor	wɛrs̠ɪfɪkaːt̪ɔr
tinurtium	t̪ɪnʊrt̪iʊ̃ˑ
inlecebrōsus	ɪnɫ̪ɛkɛbɾoːs̠ʊs̠
īrem	iːɾɛ̃ˑ
longanimitās	ɫ̪ɔŋɡanɪmɪt̪aːs̠
incohāveris	ɪŋkɔhaːwɛɾiːs̠
quadricornis	kʷad̪ɾɪkɔrnɪs̠
dominicī	d̪ɔmɪnɪkiː
lapidāriās	ɫ̪apɪd̪aːɾiaːs̠
īslandus	iːs̠ɫ̪an̪d̪ʊs̠
aviāriō	awiaːɾioː
aegātēs	ae̯ɡaːt̪eːs̠
flūctiger	fɫ̪uːkt̪ɪɡɛr
dominica	d̪ɔmɪnɪkaː
mel	mɛɫ̪
aesculus	ae̯s̠kʊɫ̪ʊs̠
nanneius	nannɛjjʊs̠
foedifragārum	foe̯d̪ɪfɾaɡaːɾʊ̃ˑ
prōvidenter	pɾoːwɪd̪ɛn̪t̪ɛr
vāgīnālis	waːɡiːnaːl̪ɪs̠
bicolor	bɪkɔɫ̪ɔr
rubī	rʊbiː
cosmographus	kɔs̠mɔɡrapʰʊs̠
meditātiō	mɛd̪ɪt̪aːt̪ioː
exhaurit	ɛks̠au̯rɪt̪
īnstrūmentālis	ĩːs̠t̪ɾuːmɛn̪t̪aːl̪ɪs̠
