nbt	niːbat
zẖꜣw	zaçʀaːwaw
ḫꜥj	χaʕja
hꜣ	hɑ
nhp	noːhəp
tkꜣ	taːkəʔ
mꜣꜥt	muʀʕat
zfṯyw	zɛft͡ʃiːuː
sḏfꜣ	setʼfəʔ
kꜣry	kɑriː
rmyt	ramiːjVʔ
znf	zɛnɛf
šmt	ʃɛmɛt
nnšm	najʃ
rm	rɛm
ḥḥ	ħɛħ
qꜣs	kɑs
nznzn	nɛzɛnzɛn
ꜥwꜣj	ɑːuːɑi
ꜥ	diːj
zjnw	sejn
ḫꜥj	χeʕjə
rmṯt	ɾamtə
qdtt	kɛdtɛt
mḥn	mɛħɛn
ḫnsw	χansVw
qrrt	kɛrɛrɛt
ḥzy	ħɛziː
sbꜣyt	səbaːʔəʔ
ꜣz	ɑz
nḥd	nɛħɛd
jꜣqt	ʔeːqʼə
nḫn	nɛxɛn
ꜥfḏt	ɑːfd͡ʒɛt
tꜣš	taʀaʃ
bꜣkw	βoːk
z	zɑ
r	ɾoːw
ḏrt	tʼaːɾaʔ
ptpt	pɛtpɛt
qbḥ	kɛbɛħ
prj	piːɾaʔ
sqbb	sɛkɛbɛb
jꜥb	iɑːb
sḏd	tʼ
sḫmt	siχmit
zꜣwtj	zɑuːti
ḥw	ħuː
ḥqꜣ	ħɛkɑ
nfrt	nafɾat
wnwn	wɛnuːn
qdš	kɛdɛʃ
ꜥnn	ʕanan
bꜣkt	baʀkaʔ
wꜣḥ	woːʔəħ
zšn	soːʃən
kns	kɛnɛs
ḏmꜥ	cʼaːmiʕ
tꜣw	tɑuː
ꜥꜣt	ɑːʔɑt
jmnt	jamnaʔ
nḫwt	nɛxuːt
mꜣt	maːʀiʔ
ršw	rɛʃuː
nswt	nɛsuːt
ẖt	çuːwaʔ
bjnt	bajnVt
sḥḏw	sɛħd͡ʒuː
ktt	katat
kbn	kaban
ꜥḫḫw	ɑːxɛxuː
wḏꜥ	woːt͡ʃʼəʕ
jwꜥt	iuːɑːt
sꜣbt	sɑbɛt
zmꜣyt	zɛmɑiːt
snšmšm	sɛnɛʃɛmʃɛm
jꜥn	ʔaʕen
nht	nɛhɛt
z	søʔ
zḫn	zɛxɛn
ꜣḥ	ɑħ
ḏnḥ	d͡ʒɛnɛħ
dwꜣw	duːɑuː
ꜣḫw	ʔoːχ
drp	dɛrɛp
zꜣt	siːʔə
rhn	ɾoːhən
ꜥꜣdt	ɑːʔɑdɛt
ṯnj	t͡ʃɛni
ḥtt	ħɛtɛt
mtt	muːtat
wḥꜣt	waħʔə
ḥzꜣt	ħɛzɑt
ḥḏ	ħicʼ
sḏfꜣ	sicʼfiʀ
ꜣpḥ	ɑpɛħ
rḫyt	ɾaχʔə
ẖnn	çɛnɛn
ḥnꜥw	ħɛnɑːuː
snwtt	sɛnuːtɛt
mwt	miʔwaʔ
msktt	mɛsɛktɛt
ḥꜣ	ħɑ
ssn	sɛsɛn
ꜣbj	ɑbi
tfn	tɛfɛn
kꜣ	kuʀ
pnw	piːnəʔ
swn	suːn
ꜣmmw	ɑmɛmuː
snḏ	sənetʼ
sjdj	sɛidi
qysrs	kiːsrɛs
spdt	sopdɛt
jmwr	imuːr
ḥḏ	ħaːcʼ
mjw	miuː
ṯzj	t͡ʃɛzi
nḥrw	nɛħɛruː
ꜥꜣꜥ	ɑːʔɑʔɑː
ꜥm	ɑːm
ṯnḥr	t͡ʃɛnħɛr
hrm	hɛrɛm
qsnt	kɛsɛnɛt
mꜣqt	məʔaːqʼaʔ
tw.n	tuːʔɛn
ꜣḫfḫf	ɑxɛfxɛf
sbꜣ	siːbaʀ
ꜥqw	ʕaqʼw
ḫšꜣyꜣrwšꜣ	xɛʃɑiːɑruːʃɑ
ḥpy	ħɛpiː
gḥs	kʼaħas
bdš	bɛdɛʃ
ṯz	t͡ʃɛz
kfꜣ	kɛfɑ
nwtkꜣrṯ	nuːtkɑrɛt͡ʃ
ꜣṯp	ʀaːcap
ḏrt	cʼaːɾat
zšy	zɛʃiː
bšṯ	bɛʃɛt͡ʃ
mḥyt	maħiːjVʔ
sꜣḫ	sɛɑx
qjs	kis
ẖpꜣ	çaplaw
stwt	sɛtuːt
ḏbꜥw	d͡ʒɛbɑːuː
pwy	puːiː
ꜣdt	ɑdɛt
sf	sɛf
ꜣfꜣf	ɑfɑf
hbj	hibjaw
qbb	qʼabab
hp	ħip
zšꜣ	zɛʃɑ
wsḫt	wesχə
rwḏt	ɾawtʼə
bntj	bɛnti
ḥtyt	ħɛtiːt
ḫꜣḫ	xɑx
ꜥb	ɑːb
wḥꜣt	waħʀaʔ
fdq	fɛdɛk
pzḥ	pɛzɛħ
sꜣj	siːʀit
jd	id
mꜣꜥ	maːʀaʕ
ntw	ɛntuː
štyw	ʃɛtiːuː
.ṯ	t
ḥnmmt	ħɛnmɛmɛt
ṯꜣw	tuʀwuw
mwt	miʔwat
ꜣṯwt	ɑt͡ʃuːt
nmj	nɛmi
mdt	maːtʼat
prj	piːɾə
tpr	tɛpɛr
sḫmt	sɛxmɛt
ḫmtw	χamtaw
ꜣr	ɑr
ꜣꜥꜥnj	ɑʔɑːɑːni
ntk	nətak
sšpt	sɛʃpɛt
bnbnt	bɛnbɛnɛt
tjꜥꜣ	tiɑːʔɑ
swḥt	suːħɛt
ḥꜣbj	ħɑbi
pds	pɛdɛs
qꜣbt	qʼiːbaʔ
jnj	ʔiːnə
ḏḥwtj	d͡ʒɛħuːti
ꜥpšꜣy	ɑːpʃɑiː
nwt	nuːʔat
psḏt	pɛsɛd͡ʒɛt
ḏꜣḏꜣ	t͡ʃʼoːt͡ʃʼ
jꜣrrt	ʔalalʔə
mtw	mɛtuː
jmn	ʔamoːn
ḫdj	χiːtʼiʔ
ꜥbnḫ	ɑːbnɛx
ṯz	ciːzuw
dnjt	dɛnit
mꜣtt	mɑtɛt
ḫftt	xɛfɛtɛt
mꜣj	mɑi
ḏrtj	d͡ʒɛrti
nrt	nɛrɛt
mjwj	miuːi
kꜣmw	kəmeʔw
jgrt	iɡrɛt
psḏw	pəsiːtʼ
nmḥ	nɛmɛħ
jsṯ	isɛt͡ʃ
pt	peːwə
ẖrdw	çɛrɛduː
wšb	wɛʃɛb
kkw	kɛkuː
nw	nuwwuw
sm	sɛm
ḏmꜥ	d͡ʒɛmɑː
stẖ	sɛtɛç
jjwj	iʔiuːi
šmmt	ʃɛmɛmɛt
ḏmꜥ	t͡ʃʼoːməʕ
wsṯn	wɛst͡ʃɛn
ḥꜣb	ħap
ḫnp	xɛnɛp
rnpt	rɛnpɛt
ꜣby	ɑbiː
ḫntš	xɛntɛʃ
nḏr	nɛd͡ʒɛr
nts	nVtas
wprt	wɛprɛt
zẖꜣ	zɛçɑ
sḫꜣj	seχʔə
kꜣm	kaʀm
ḫꜥj	χiʕjit
pḥrr	pɛħrɛr
mẖ	mɛç
nkt	nəkøʔ
sjsjw	sisiuː
gꜣbt	kʼaʀbaʔ
pnꜥ	pɛnɑː
ṯꜣw	t͡ʃɑuː
sꜥr	sɛɑːr
gwš	ɡuːʃ
msdw	mastʼiw
wḥmyt	wɛħmiːt
ṯmt	t͡ʃɛmɛt
zft	zɛfɛt
nj	nij
ḥjpt	ħipɛt
gꜣš	ɡɑʃ
.twn	ʔtuːn
mꜣṯ	mɑt͡ʃ
ḫnt	xɛnɛt
ḥfꜣw	ħəfʔaːjəʔ
sḏb	sɛd͡ʒɛb
msḏj	mestʼə
zẖꜣw	səçʔaːjəʔ
ḫmꜥt	xɛmɑːt
mrrt	mɛrɛrɛt
ꜣẖꜥ	ɑçɑː
ršwt	ɾaʃʔə
bꜣkt	baːkaʔ
snwj	sɛnuːi
pꜣqj	piʀqʼit
msqt	məsqʼaːɾaʔ
tšꜣ	taːšaʀ
gm	ɡɛm
mdwj	mitʼwit
bꜥḥj	biʕħit
ṯmḥ	t͡ʃɛmɛħ
gstj	kʼastVj
nšnj	nɛʃni
rd	ɾaːtʼuw
.tnj	ʔtɛni
nsrt	nasɾaʔ
sꜥnḫ	sɛɑːnx
sjsw	ʔəssaw
sḏfꜣ	sitʼfiʀ
šw	ʃuː
sjꜥr	siɑːr
msḏj	mistʼiʔ
wdj	wɛdi
jqr	jaːqʼaɾ
jdr	idɛr
mjtj	miti
swꜣḏ	sɛwɑd͡ʒ
zft	siːfaʔ
tpj	tapij
ḏd	t͡ʃʼaːʔ
wḫt	wɛxɛt
spdw	sɛpduː
msdmt	mistʼuːmit
jꜣbtj	ʔəjeβt
ẖrt	çəɾeʔ
šmj	ʃimjVt
qrs	qʼaːɾas
tkn	tɛkɛn
mẖꜥqt	məçʕoːqʼə
spt	saːpaʔ
ktt	kataʔ
ꜥmꜥꜣt	ɑːmɑːʔɑɛt
nwt	neːʔə
ḥꜣtt	ħɑtɛt
ṯrt	taːɾaʔ
qrr	kɛrɛr
sẖkr	sɛçkɛr
rkḥ	rɛkɛħ
nhzj	nihsiʔ
ḫmnjw	χamnijjaw
ꜣzb	ɑzɛb
sḏd	sit͡ʃʼʔiʔ
ḏꜣjs	d͡ʒɑis
ꜣbꜣb	ɑbɑb
jpḥ	ipɛħ
ꜣfꜥ	ɑfɑː
sf	sif
nṯr	noːtə
tjkrṯ	tikrɛt͡ʃ
jḥ	jaħiww
ṯn	t͡ʃɛn
.ty	ʔtiː
ṯms	t͡ʃɛmɛs
kmm	kɛmɛm
swsḫ	sɛwɛsɛx
rd	ɾatʼʔ
nṯryt	nɛt͡ʃriːt
qꜣbt	kɑbɛt
jwtt	iuːtɛt
sbꜣyt	səβoːʔ
mswt	məsoːwə
ḏd	ʔ
wsjr	wɛsir
dšr	tʼaːʃiɾ
sjzj	sɛizi
ntb	nɛtɛb
ḫpš	χaːpVʃ
mṯwn	macwan
dꜣb	dɑb
qdj	qʼitʼjit
znj	ziːnit
sḏd	set͡ʃʼʔə
šꜣq	ʃɑk
ḫfꜣꜣt	xɛfɑʔɑt
rmṯt	ɾamcat
ḥꜥꜥwt	ħɑːʔɑːuːt
zꜣy	zɑiː
ẖꜣt	çɑt
skt	sɛkɛt
psḏw	pisiːtʼaw
jnk	inɛk
ḥbs	ħəβas
sḫtj	sɛxti
mrḥt	mɛrħɛt
tḫj	tɛxi
bꜣgj	biːkʼaʔ
snbb	sɛnbɛb
zꜣ	ziːʀ
kmt	keːmə
ḏnjt	d͡ʒɛnit
qs	qʼes
nwtj	nuːti
mzḥ	mVsaħ
sgr	sɛɡɛr
z	zuʀwaw
mrḥt	mVɾiħjaʔ
mnhz	manhəs
hn	hɛn
nswt	nijsiːwat
mtrt	miʔɾaʔ
ḫwj	xuːi
mjnj	meʔnə
ḏd	t
ḏs	d͡ʒɛs
ḥwt	ħəwə
bjtj	biti
ḫnrtt	xɛnrɛtɛt
ṯwt	t͡ʃuːt
psḏntjw	pɛsd͡ʒɛntiuː
sjm	sim
rmj	ɾiːma
spdḏ	saptʼatʼ
dpy	dɛpiː
smn	səmiːnə
ḏd	tʼ
jmstj	imsɛti
ḫsfj	xɛsfi
ẖdb	çoːtʼəβ
nḥtj	nɛħɛti
ꜣyt	ɑiːt
bꜥḥj	βeʕħə
sꜣj	siːʀiʔ
jspt	ispɛt
tꜣwj	tɑuːi
ḏḥwtt	d͡ʒɛħuːtɛt
tfnwt	tɛfnuːt
jḫ	ix
rwḏt	ɾawtʼiʔ
nbtj	nɛbti
wšd	woːʃətʼ
wḏb	woːtʼəb
sjsw	sisuː
rkḥ	ɾoːkəħ
tꜣš	təʔaʃ
jꜣbtj	jaʀibtij
šꜣs	ʃɑs
grg	kʼalkʼ
ḥbꜣbꜣ	ħɛbɑbɑ
.s	ʔɛs
ḥmwt	ħɛmuːt
ḥnw	ħənew
jꜣtjw	iɑtiuː
ḫrpw	xɛrpuː
wꜣ	wɑ
sd	sɛd
ꜥgt	ɑːɡɛt
mnjw	mɛniuː
qrsw	kɛrɛsuː
jnpw	inɛpuː
rn	rɛn
njtjt	nitit
zjnw	zinuː
ꜥrq	ʕoːləqʼ
wbnw	wɛbɛnuː
šmw	ʃoːm
msqt	masqʼaːɾit
št	ʃeʔ
mšꜥ	maʕʃə
zẖꜣw	saç
pꜥt	pɑːt
dwꜣt	tʼuwʀaʔ
nst	nɛsɛt
skj	sɛki
jꜣq	iɑk
bkꜣ	bɛkɑ
ḏw	d͡ʒuː
.y	ʔiː
ḏbꜥ	tʼeːβəʕ
ꜣdw	ʔoːtʼ
bjtj	bijatVj
ṯrt	toːɾə
ḫtj	χiːtiʔ
ddw	dɛduː
sꜣj	siːʔa
nḏꜣ	nɛd͡ʒɑ
ꜣbḏw	ʔəβoːtʼ
j	i
nhzj	nɛhzi
bjt	βəjaʔ
ꜣbyt	ɑbiːt
nttn	ɛntɛtɛn
zmꜣ	samaʀ
rhn	ɾihnit
.kw	ʔkuː
ḏbꜥ	cʼabaʕ
ḫꜣ	χaʔ
msjꜣt	məsʔaːʔəʔ
mrwt	mɛruːt
jzr	izɛr
nhw	nɛhuː
ḏdw	d͡ʒɛduː
jtn	jaːtəj
bḥs	bɛħɛs
dꜣr	dɑr
gbb	kʼuːbab
jdwmꜥ	iduːmɑː
ẖnj	çɛni
ẖr	çuʔ
znḥm	zɛnħɛm
ḏwjw	d͡ʒuːiuː
rnpt	ɾənpawwə
sbḫt	sɛbxɛt
wꜥr	wɑːr
skꜣ	sɛkɑ
ḥp	ħujpVw
ḥtpw	ħatpaw
mꜣwt	maʀwat
ꜣḫf	ɑxɛf
ḫt	χeʔ
sḫꜥj	sɛxɑːi
sjsw	sajsaw
mjḫꜣt	maχʀaːjiʔ
ẖr	çuɾ
ḫꜥw	xɑːuː
km	keːm
zt	zɛt
sꜣsꜣ	sɑsɑ
jtn	jaːtin
mꜥnḏt	məʕnetʼwə
ꜣqw	ɑkuː
šfj	ʃɛfi
wzf	waːsaf
sdwḫ	sɛduːx
ꜥḥꜣwtj	ʕəħawt
ḥfꜣt	ħafaːʀat
ntf	nətaf
rmṯ	rɛmɛt͡ʃ
ḫprw	χupɾaw
ḥwꜥ	ħuːɑː
ḏwt	d͡ʒuːt
jmn	ʔamaːnəʔ
sḥtm	sɛħɛtɛm
swḥt	soːħə
pꜣq	pɑk
sbtj	sɛbti
grw	ɡɛruː
ꜣꜥꜥt	ɑʔɑːɑːt
jꜣrrt	iɑrɛrɛt
ḥfꜣw	ħafʀaːwaw
ꜣbnn	ɑbnɛn
mnty	mVnaːtij
sfḫḫ	sɛfɛxɛx
swnw	suːnuː
wmt	wɛmɛt
zkr	soːkə
nrj	nɛri
jqr	jaːqʼiɾ
kꜣp	kɑp
ḏdb	d͡ʒɛdɛb
pḥ	pɛħ
wsjr	wəsiːɾə
mḏrj	micʼɾit
sgnn	sɛɡɛnɛn
.wn	ʔuːn
zwr	zaːwaɾ
š	ʃɛ
jwsw	iuːsuː
mḥt	mɛħɛt
mꜥḥꜥt	maʕħiʕwat
bꜣḥ	bɑħ
jsr	isɛr
ẖrj	çəɾej
tḫj	tiːχiʔ
mjzt	mizɛt
šrr	ʃaɾaɾ
ṯrm	t͡ʃɛrɛm
ꜣbt	ɑbɛt
šꜣwꜣbtj	ʃɑuːɑbti
tw.tn	tuːʔtɛn
ḥmy	ħɛmiː
šꜣ	ʃɑ
yrdwnꜣ	iːrduːnɑ
ꜥbḫn	ɑːbxɛn
sḏmw	sɛd͡ʒɛmuː
ḥꜣbj	ħiʀbiʔ
ḥꜥt	ħɑːt
ḥꜣp	ħɑp
špꜣ	ʃɛpɑ
nnšm	nɛnʃɛm
šmm	ʃɛmɛm
wnn	wanan
wꜥb	waʕab
ḫrs	xɛrɛs
ꜣšr	ɑʃɛr
jꜥḥ	iɑːħ
kꜣnꜥnꜥ	kɑnɑːnɑː
ꜣbd	ɑbɛd
ḥtpwt	ħɛtɛpuːt
šnw	ʃɛnuː
qdd	kɛdɛd
sšpt	saʃaːpat
šwꜣw	ʃuːɑuː
qrft	kɛrfɛt
ḥkn	ħɛkɛn
ṯzm	t͡ʃɛzɛm
šns	ʃɛnɛs
ꜥt	ɑːt
rnn	rɛnɛn
nšm	nɛʃɛm
mnḥ	mɛnɛħ
ꜣṯp	ʔoːtəp
wrḥ	wɛrɛħ
ḏd	cʼaːtʼ
npꜣw	nɛpɑuː
ꜥš	ʕaːʃ
wbꜣ	wɛbɑ
jdj	idi
mrwryt	mɛruːriːt
sꜥq	sɛɑːk
stꜣ	sɛtɑ
sšmj	sɛʃɛmi
mꜣ	mɑ
zꜣb	siːʀib
sḏm	saːcʼim
nmw	nɛmuː
zꜣwtj	zVʀjawtVj
wḫt	waχiːʀat
ḥꜣb	ħəʔab
ꜥꜥw	ɑːʔɑːuː
mkj	mɛki
mjnj	mini
hndwꜣy	hɛnduːɑiː
tꜣ	tɑ
nḏm	nɛd͡ʒɛm
ḏbꜥ	d͡ʒɛbɑː
šmw	ʃaːmaw
mwt	moːw
ꜥntjw	ɑːntiuː
ꜣṯp	ʀaːtap
msdmt	mistʼuːmiʔ
jḥw	iħuː
wpw	wɛpuː
mnw	mɛnuː
šꜣqb	ʃɑkɛb
sꜥḥ	sɑːħ
nḥm	noːħəm
qrf	qʼaɾaf
msdw	mɛsɛduː
jzr	jazɾVw
ꜥꜣm	ɑːʔɑm
ḏfd	d͡ʒɛfɛd
jzwt	izuːt
sšm	sɛʃɛm
ẖrw	çɛruː
ꜣꜥz	ɑʔɑːz
mꜣj	maːʀij
.wy	ʔuːiː
ꜥsṯjrṯt	ɑːst͡ʃirt͡ʃɛt
ḥqr	ħaqʼaɾ
nw	nuː
ḫꜣbꜣbꜣšꜣ	xɑbɑbɑʃɑ
znj	siːnə
zꜣt	siːʀuʔ
mjḫꜣt	məχʔaːʔəʔ
jꜣwt	iɑuːt
bꜣjr	bɑir
nts	nɛtɛs
jmn	jamaːnuw
qdnw	kɛdnuː
jṯj	it͡ʃi
gmḥ	ɡɛmɛħ
jsw	ʔiːs
psḏw	pɛsɛd͡ʒuː
ḫḫ	xɛx
jrt	jiːɾat
ḥḏt	ħucʼjat
wšš	wɛʃɛʃ
ḥqt	ħɛkɛt
ṯꜣw	t͡ʃiʀwiʔ
qd	qʼaːtʼ
šr	ʃuːɾij
ḥr	ħɛr
mḥyt	maħuːjVʔ
ꜣmm	ʀamam
ẖnw	çaːnəʔ
sfḫw	saχf
wḏꜥ	waːt͡ʃʼaʕ
jwnj	iuːni
gꜣš	kʼeʃ
ꜥꜣg	ɑːʔɑɡ
bḥdt	bɛħdɛt
sṯnj	sɛt͡ʃɛni
ptḥ	pətaħ
ꜣwtqrtr	ɑuːtɛkrɛtɛr
jnn	inɛn
mꜥq	mɑːk
sj	si
ḥꜣq	ħɑk
ꜥšꜣ	ɑːʃɑ
nbt	niːβə
ḫnsw	χans
wfꜣ	waːfVʀ
nj	nəʔ
mw	maw
tnm	tɛnɛm
mn	mɛn
ḥḏ	ħoːtʼ
ꜣf	ɑf
ḫrw	xɛruː
gꜣbt	ɡɑbɛt
jnn	janan
zr	zɛr
nhzj	nihzit
nꜣ	niʀ
zwn	zuːn
ḥqr	ħɛkɛr
bjnt	binɛt
ḫꜣb	xɑb
nḥm	nɛħɛm
rnpt	ɾanpawwat
ḫnrt	xɛnrɛt
qbb	kɛbɛb
spdḏ	sɛpdɛd͡ʒ
jꜣbt	jaʀbaʔ
mꜣꜥt	muːʕaʔ
jtn	joːtəj
ꜥꜥb	ɑːʔɑːb
ẖrt	çɛrɛt
kmt	kuːmat
tn	tɛn
zp	sap
nḥ	nɛħ
mḏrj	metʼɾaʔ
jrwrꜣ	iruːrɑ
mḏrj	mɛd͡ʒɛri
hb	hɛb
mrj	mejʔə
jwj	iuːi
mnt	maːnaʔ
swꜣj	seʔjaʔ
pḥtj	piħtaj
rḫyt	rɛxiːt
ꜥwꜣ	ɑːuːɑ
mẖꜥqt	mɛçɑːkɛt
sḥꜣj	sɛħɑi
ym	iːm
swḏ	sɛwɛd͡ʒ
ḫmnw	χəmoːn
wꜣjwrjy	wɑiuːriʔiː
pzḫ	poːsəχ
ꜥnqt	ɑːnkɛt
sdꜣ	sɛdɑ
mḏḥ	mɛd͡ʒɛħ
ꜥꜣ	ʕaʀ
bꜣkt	βoːkə
mꜥbꜣ	maʕbaʀ
jdt	ʔoːtʼə
ꜣbw	jeːβ
sbꜣ	səβaʔ
ḏryt	d͡ʒɛriːt
jrp	juːɾap
fnṯ	fintaʔ
bꜣst	bɑsɛt
sbꜣ	sɛbɑ
mḏw	mɛd͡ʒuː
dnjt	tʼanjuʔ
pḏt	piːtʼaʔ
ẖrd	çəɾatʼ
ntṯ	nVtaʔ
pt	puːwaʔ
mtwt	mɛtuːt
swt	suːt
mḥw	mɛħuː
mḏw	muːtʼaw
mskꜣ	mɛskɑ
grgt	kʼaɾuːkʼVʔ
qꜣj	kɑi
špss	ʃɛpsɛs
nwyt	nuːiːt
ssꜣj	sɛsɑi
šntt	ʃɛntɛt
ḥꜣm	ħɑm
sḏm	sacʼimna
msḫn	mesχən
sṯ	sɛt͡ʃ
hy	hiː
sjꜣ	soːʔ
ḥwnt	ħuːnɛt
gmḥt	ɡɛmħɛt
jtn	itɛn
kꜣs	kɑs
tkꜣw	tɛkɑuː
sḥḏw	siħtʼVw
nṯr	naːtaʔ
qbb	qʼəβap
jrt	jiːɾaʔ
nš	nɛʃ
ḫrp	xɛrɛp
swrd	sɛwɛrɛd
ḫpš	xopɛʃ
jꜣkb	iɑkɛb
ḫꜣwt	xɑuːt
jrj	jiːɾit
ꜣṯj	ɑt͡ʃi
bjrwnygꜣt	biruːniːɡɑt
jwn	jawin
nhzj	nehsə
gsꜣ	ɡɛsɑ
snsn	sansən
swdfj	sɛwɛdɛfi
jꜣqt	ʔuːqʼaʔ
sbꜣ	sabaʀ
njw	niuː
ṯꜣj	t͡ʃiːʔaʔ
tm	ʔataːməʔ
ḫꜣwj	xɑuːi
nḏs	nɛd͡ʒɛs
bꜣẖ	bɑç
bꜣt	βoːʔə
ssḫ	sɛsɛx
sšpt	ʃoːpə
tnmw	tɛnɛmuː
ꜣḫw	ʀaːχaw
nbnb	nɛbnɛb
jbt	jiːbaʔ
šꜥy	ʃɑːiː
ršrš	rɛʃrɛʃ
wḏ	wɛd͡ʒ
mꜥnḏt	mɑːnd͡ʒɛt
jmnt	imɛnɛt
smsm	sɛmsɛm
ḥrj	ħɛri
wꜥf	wɑːf
šdw	ʃɛduː
kꜣm	kɑm
wrt	wɛrɛt
mꜥkꜣ	mɑːkɑ
nhp	naːhap
qdj	qʼitʼʔaʔ
jdt	idɛt
ẖꜥm	çɑːm
mꜣẖ	mɑç
kꜣj	kɑi
ḏꜣyt	d͡ʒɑiːt
ḥꜣw	ħɑuː
sf	sef
nrt	naːɾat
pgꜣ	pɛɡɑ
kꜣhs	kɑhɛs
bjꜣyt	biɑiːt
ꜥn	ɑːn
wdn	wɛdɛn
sḫtj	seχt
znf	sənaf
grḥ	kʼaːɾaħ
sꜣq	saːʀaqʼ
šnꜥtj	ʃɛnɑːti
ḥrt	ħɛrɛt
znḥm	sunħuːmVw
qnb	kɛnɛb
wbd	wɛbɛd
zkr	saːkaʔ
wnmw	wɛnɛmuː
hnw	hiːnəʔ
stp	satpaw
mḏwtj	mət͡ʃʼəwoːt
jj	iʔi
mṯwn	maʔwən
ḥḥ	ħaħ
ḫmt	xɛmɛt
ẖnnw	çɛnɛnuː
qꜣbt	qʼiʀbVʔ
jwꜥw	jawʕəʔ
gstj	ɡɛsti
bꜣkt	bɑkɛt
mnḏr	mɛnd͡ʒɛr
štꜣw	ʃɛtɑuː
ẖntj	çɛnti
msḫn	misχin
r	ɾaːʀaw
jsw	ʔiːsəʔ
jsqꜣrnj	iskɑrɛni
šnft	ʃinfVt
ṯꜣtj	t͡ʃɑti
jḫt	ixɛt
ḏbꜣw	d͡ʒɛbɑuː
znj	siːniʔ
ḫwzj	xuːzi
ꜥnḫwj	ɑːnxuːi
bꜣkw	bɑkuː
fnṯ	fintuw
btꜣ	bɛtɑ
bgs	bɛɡɛs
jnbt	inbɛt
stpt	sɛtɛpɛt
ms	mɛs
hꜣj	heʔjaʔ
jpn	ipɛn
jꜥn	iɑːn
mꜣy	mɑiː
sꜣj	siːʔə
ꜥnb	ʕVnaːbVw
z	suʀwaw
msdw	mascʼiw
ꜣhw	ɑhuː
qnjt	kɛnit
mꜣt	mɑt
rn	ɾen
mꜣꜣ	mɑʔɑ
kmyt	kɛmiːt
ḫnsw	xɛnsuː
m	ɛm
dbn	dɛbɛn
nḏꜣḏꜣ	nɛd͡ʒɑd͡ʒɑ
bjn	baːʔən
zn	zɛn
jwnw	ʔoːnə
ḏdj	d͡ʒɛdi
jb	jib
ntṯ	ɛntɛt͡ʃ
spdt	saptʼaʔ
wpwt	wapwə
jqr	jaːqʼaʔ
sqꜣj	sɛkɑi
smḫ	sɛmɛx
kꜣm	koːm
.sn	ʔsɛn
jḥ	ʔəħeʔ
ḥn	ħɛn
ntf	nɛtɛf
wpwtj	wapwutjVw
ḥbw	ħɛbuː
mzwr	mɛzuːr
šnw	ʃənøʔ
ꜥftj	ɑːfti
ḥmt	ħɛmɛt
kꜣštꜣ	kɑʃtɑ
ẖnw	çaːnaw
rwd	ruːd
ḥfn	ħɛfɛn
ḏwj	d͡ʒuːi
krtj	kɛrti
tꜣwj	toːw
ḥwt	ħoːwə
mꜣꜥt	mɑʔɑːt
mꜣꜥ	moːʔəʕ
wḫt	wəχiːʔa
nb	niːbuw
bntwt	bɛntuːt
ḥmsj	ħemsaʔ
mḥyt	məħuːʔəʔ
ꜥš	ʕoːʃ
nbt	niːbaʔ
qrs	kɛrɛs
mswt	mɛsuːt
nḏs	naːcʼas
mfkꜣt	mɛfkɑt
zkr	zɛkɛr
ꜣtyt	ɑtiːt
mzḥ	mVzaħ
jꜥḥ	jaʕħuw
ꜣwšꜣ	ɑuːʃɑ
psj	piːsit
ḥwt	ħaːwit
mḥtjw	mɛħtiuː
mryt	maɾaːjaʔ
ꜣbḏw	ʀabaːtʼaw
rhn	ɾehnə
jꜣw	ʔəʔaw
mjḫꜣt	mixɑt
pwrꜣsꜣtj	puːrɑsɑti
swnt	suːnɛt
dpt	tʼVːpə
ꜣmꜥ	ɑmɑː
nꜥr	nɑːr
ꜣd	ʀaːtʼ
prt	pəɾoːʔ
mḏwtj	mɛd͡ʒuːti
tkk	tɛkɛk
ḥnn	ħɛnɛn
j.	i
qbw	kɛbuː
rḏj	ɾVcʼiːjit
ẖnyt	çɛniːt
šnḏwt	ʃɛnd͡ʒuːt
mꜥnḏt	mVʕnitʼwVʔ
sḫmt	seχmə
ḥr	ħaʔ
nwtwt	nuːtuːt
jwrꜣḥy	iuːrɑħiː
ḫbzwt	xɛbzuːt
nšt	nɛʃɛt
ḫprš	xɛprɛʃ
kꜣp	koːʔəp
bꜣt	baːʀat
ḥrj	ħaɾij
tj	ti
ns	lis
hp	ħep
šps	ʃɛpɛs
nḫt	nɛxɛt
bꜣstt	ʔuβestə
m	m̩
jnk	ʔanak
zšn	saːʃan
mḥsḥs	maħasħas
kmt	kuːmaʔ
jptf	iptɛf
wꜥj	wiʕjit
fgn	fɛɡɛn
jt	it
wnjs	wanjas
ꜥq	ɑːk
jnswj	insuːi
.j	ʔ
jwf	ʔaʔfaːjəʔ
ꜥrqy	ɑːrkiː
mnmnt	mɛnmɛnɛt
hꜣj	hɑi
zšn	zaʃaːʃan
ꜣst	ʀuːsaʔ
ḏbt	tʼaːbVʔ
nḫnt	nɛxnɛt
jfdw	ifɛduː
wꜣḥ	waːʀaħ
ꜣḫyt	ɑxiːt
jnj	jiːniʔ
psšt	pɛsʃɛt
.t	ʔɛt
smn	sɛmɛn
ywnj	iːuːni
sbj	sɛbi
ḫr	xɛr
ꜣpdwt	ɑpduːt
t	tɛ
