vitamiene	vitɐminə
krapmerke	krɐpmærkə
Avatar	ɑːfɑːtɐr
gebalsem	xəbɐlsəm
aanleg	ɑːnlæx
denkers	dɛŋkərs
kortste	kɔrtstə
bevoorreg	bəfʊəræx
gronderosie	xrɔnərʊəsi
passasier	pɐsɐsiːr
geweervuur	xəviərfyr
skrikwekkende	skrəkvɛkəndə
denkprosesse	dɛŋkprusɛssə
Derick	dɛrik
drastiese	drɐstisə
skoondogters	skʊəndɔxtərs
opvoer	ɔpfuːr
GRA	xrɑː
blankes	blɐŋkəs
Pietman	pitmɐn
binneruimte	bənərøymtə
koelkop	kulkɔp
Manu	mɑːny
magsbasis	mɐxsbɑːsəs
Veeplaas	fiəplɑːs
Wysbegeerte	vɛɪsbəxiərtə
verslegtende	fərslæxtəndə
Kliënte	kliɛntə
ASK	ɐsk
inhegtenisname	ənhæxtənəsnɑːmə
Kei	kɛɪ
Dewald	diəvɐlt
sonder	sɔnər
winterkoue	vəntərkəʊə
Kannemeyer	kɐnəmɛɪər
vurig	fyrəx
afvalligheid	ɐfɐləxhɛɪt
heiliger	hɛɪləxər
gisting	xəstəŋ
CR	siəær
dier	diːr
opruk	ɔprœk
riem	rim
siektetoestand	siktətustɐnt
Bain	baɪn
dissiplinêr	dəsəplinæːr
Legend	liəxənt
specs	spɛks
Schalkwyk	skɐlkvɛɪk
Joernaliste	jurnɐləstə
bergfietsry	bærxfitsrɛɪ
Theunis	tøənəs
Kain	kaɪn
tipering	tipiərəŋ
hoge	hʊəxə
siene	sinə
Superliga	sypərlixɐ
Onderwys	ɔnərvɛɪs
nimfe	nəmfə
ekstroverte	ɛkstruværtə
verhemelte	fərhiəməltə
gesuis	xəsøys
nag	nɐx
skoolboeke	skʊəlbukə
Mosambiekse	mʊəsɐmbiksə
studievelde	stydifældə
ruimhartige	røymhɐrtəxə
Marzanne	mɐrzɐnə
wegneemetes	væxniəmiətəs
problematiseer	prɔbləmɐtisiər
praktiserende	prɐktisiərəndə
moeilikheidsgraad	muɪləkhɛɪtsxrɑːt
het	hɛt
eenmanvertoning	iənmɐnfərtʊənəŋ
datum	dɑːtœm
inbegrip	ənbəxrəp
Aardklop	ɑːrtklɔp
naïef	nɐʔif
leerlingtal	liərləŋtɐl
kiste	kəstə
ºC	ʊəsiə
taalgebruik	tɑːlxəbrøyk
SASSA	sɐsɐ
opgestuur	ɔpxəstyːr
vaslê	fɐsleː
Donderdagaande	dɔnərdɐxɑːndə
Mercia	mærsiɐ
knip	knəp
Friedman	fritmɐn
sonnetjie	sɔnici
stempunte	stɛmpœntə
ongekend	ɔnxəkɛnt
lyfwag	lɛɪfvɐx
trap	trɐp
verhoogstuk	fərhʊəxstœk
slaag	slɑːx
Spasie	spɑːsi
grondteks	xrɔːntɛks
voorseisoen	fʊərsɛɪsun
heilsaam	hɛɪlsɑːm
Texas	tɛksəs
filosowe	filusʊəvə
verjaardae	fərjɑːrdɑː
Spark	spɐrk
Esra	ɛsrɐ
kollageen	kɔlɐxiən
groene	xrunə
Sorina	sʊərinɐ
aartappelskyfies	ɑːrtɐpəlskɛɪfis
objektiewe	ɔbjɛktivə
Boeke	bukə
onopgeleide	ɔnɔpxəlɛɪdə
feestelik	fiəstələk
moue	məʊə
sklerose	sklərʊəsə
koudste	kəʊtstə
onderbreek	ɔnərbriək
toneelspel	tuniəlspæl
films	fələms
moeisame	muɪsɑːmə
minderbevoorregte	məndərbəfʊəræxtə
donga	dɔŋɡɐ
Juliana	jyliɑːnɐ
Transformasie	trɐnsfɔrmɑːsi
Leser	liəsər
let	lɛt
álmal	ɐlmɐl
Scania	skɑːniɐ
Baccalaureus	bɐkɐləʊrøəs
bul	bœl
manjifiek	mɐnjəfik
windverwaaide	vəntfərvɑɪdə
skelette	skəlɛtə
boemerang	bumərɐŋ
Teken	tiəkən
vermaaklike	fərmɑːkləkə
wildboere	vəltbuːrə
ambisie	ɐmbisi
Biel	bil
gekapitaliseer	xəkɐpitɐlisiər
slapies	slɑːpis
vergeesteliking	fərxiəstələkəŋ
Simpson	səmpsɔn
gewelddadigheid	xəvældɑːdəxhɛɪt
cart	kɐrt
IOC	iɔk
Spanje	spɐnjə
Dumas	dymɐs
kinderopvoeding	kəndərɔpfudəŋ
dan	dɐn
Brussel	brœsəl
skoue	skəʊə
Environmental	ɛnfirɔnmɛntɐl
bierbrouery	biːrbrəʊərɛɪ
Harte	hɐrtə
meetinstrumente	miətənstrymɛntə
Dixie	diksi
uitmekaar	øytməkɑːr
opgewondenheid	ɔpxəvɔndənhɛɪt
getye	xətɛɪə
Hurter	hœrtər
relativering	rəlɑːtifiərəŋ
LA	lɑː
verspreide	fərsprɛɪdə
rampgebied	rɐmpxəbit
Arries	ɐris
tussenbeide	tœsənbɛɪdə
Oeps	ups
phone	phʊənə
etiket	ɛtikɛt
fiskale	fəskɑːlə
Walker	vɐlkər
toegangsfooi	tuxɐŋsfʊɪ
versleg	fərslæx
direksie	dirɛksi
testikels	tɛstikəls
loodse	lʊətsə
hoedanigheid	hudɑːnəxɛɪt
uitheemse	øythiəmsə
miskolle	məskɔlə
stileer	stiliər
neefs	niəfs
Bryan	brɛɪɐn
Brusselse	brœsəlsə
Bog	bɔx
oper	ʊəpər
Dorper	dɔrpər
stoof	stʊəf
Academia	ɑːkɑːdiəmiɐ
lock	lɔk
getuies	xətøyəs
wolskape	vɔlskɑːpə
waarskuwingstekens	vɑːrskyvəŋstiəkəns
kolfwerk	kɔlfværk
weerligstraal	viərləxstrɑːl
remme	rɛmə
diensstaat	dinstɑːt
Metallica	mɛtɐlikɐ
bak	bɐk
drievoudige	drifəʊdəxə
boomveld	bʊəmfælt
Blonde	blɔndə
leefbare	liəfbɑːrə
Blakemore	blɑːkiəmʊərə
wilskrag	vəlskrɐx
Craig	kraɪx
heruitgegee	hærøytxəxiə
Apartheid	ɐpɐrthɛɪt
inkort	əŋkɔrt
tipografie	tipuxrɐfi
eerstehands	iərstəhɐnts
Republikeinse	rəpœblikɛɪnsə
konklusie	kɔnklysi
Cole	kʊələ
Berger	bærɡər
tuiskom	tøyskɔm
Schabir	ʃɑːbər
jammerlik	jɐmərlək
plaaswerkers	plɑːsværkərs
Natal	nɐtɐl
koördinering	kuɔrdiniərəŋ
roofvisse	rʊəffəsə
wildsvleis	vəltsflɛɪs
cliché	kliʃɛɪɛɪ
teenslae	tiənslɑː
deinings	dɛɪnəŋs
ewigheid	iəvəxɛɪt
veilig	fɛɪləx
Las	lɐs
wingerdstok	vəŋərtstɔk
geskikte	xəskəktə
teëgestaan	tiəxəstɑːn
weersin	viərsən
opgelig	ɔpxələx
patetiese	pɐtiətisə
Meurant	møərɐnt
Ryno	rɛɪnu
minimalistiese	minimɑːləstisə
doelbewuste	dulbəvœstə
Hannibal	hɐnibɐl
opsigtelik	ɔpsəxtələk
honneursgraad	hɔnøərsxrɑːt
gebraai	xəbrɑɪ
bereikbare	bərɛɪkbɑːrə
ooievaarstee	ʊɪəfɑːrstiə
stowe	stʊəvə
bespiegelings	bəspixələŋs
leiklip	lɛɪkləp
tip	təp
kragtens	krɐxtəns
Platteland	plɐtəlɐnt
Gemeenskappe	xəmiənskɐpə
cd	siədiə
larwe	lɐrvə
trein	trɛɪn
Olivier	ʊəlifiːr
rou	rəʊ
pakslae	pɐkslɑː
bedenklik	bədɛŋklək
Sanna	sɐnɐ
Grond	xrɔːnt
operasie	ʊəpərɑːsi
eerstejaarstudent	iərstəjɑːrstydɛnt
pasfunksie	pɐsfœŋksi
selfsorgwoonstelle	sælfsɔrxvʊənstælə
bies	bis
inleidings	ənlɛɪdəŋs
Jonge	jɔŋə
gang	xɐŋ
binnegegaan	bənəxəxɑːn
Peres	pərɛs
stilletjies	stəlicis
roei	ruɪ
jet	jɛt
afgejaag	ɐfxəjɑːx
sypel	sɛɪpəl
Beach	bəɐx
gorillas	ɡurəlɐs
Zwingli	zvəŋli
vure	fyrə
herhaler	hærhɑːlər
Tiger	təxər
tromme	trɔmə
MG	ɛmxiə
taalstryd	tɑːlstrɛɪt
doelgemaakte	dulxəmɑːktə
rypwording	rɛɪpvɔrdəŋ
stoepe	stupə
gebaseer	xəbɐsiər
herverkoop	hærfərkʊəp
Diamantveld	diɐmɐntfælt
Cassini	kɐsini
betaalmiddel	bətɑːlmədəl
Corlea	kɔrliəɑː
vissies	fəsis
lood	lʊət
strenger	strɛŋər
Soul	səʊl
sentimenteel	sɛntimɛntiəl
woordeloos	vʊərdəlʊəs
beesstert	biəstært
plaveisel	plɐfɛɪsəl
Transvalia	trɐnsfɑːliɐ
begaafd	bəxɑːft
feesgety	fiəsxətɛɪ
Sappi	sɐpi
ondervindings	ɔnərfəndəŋs
Riebeeckrand	ribiəkrɐnt
mynbedryf	mɛɪnbədrɛɪf
etter	ɛtər
bulder	bœldər
waardering	vɐrdiərəŋ
trok	trɔk
Olof	ʊəlɔf
versadig	fərsɑːdəx
vervoermiddels	fərfuːrmədəls
verrot	fərrɔt
Voertuie	fuːrtøyə
minderjariges	mənərjɑːrəxəs
skoongemaak	skʊənxəmɑːk
Benoni	bənʊəni
katastrofiese	kɐtɐstrʊəfisə
raam	rɑːm
daarenteen	dɑːrəntiən
konvensioneel	kɔnfɛnʃiuniəl
wings	vəŋs
Pontifikaat	pɔntifikɑːt
opgelewer	ɔpxəliəvər
Nasionalisme	nɐʃiunɐləsmə
gespreek	xəspriək
epos	iəpɔs
vêrder	fæːrdər
Dries	dris
versoendeksel	fərsundɛksəl
reply	rɛplɛɪ
Dominees	dʊəmənis
taai	tɑɪ
Rietspruit	ritsprøyt
bedelings	bədiələŋs
prysgeld	prɛɪsxælt
uitgerek	øytxəræk
weermag	viərmɐx
verkragters	fərkrɐxtərs
skooltyd	skʊəltɛɪt
troef	truf
foltering	fɔltərəŋ
vlinderslag	fləndərslɐx
strepies	striəpis
spookstorie	spʊəkstʊəri
sekuriteitshek	səkyritɛɪtshæk
Bedryf	bədrɛɪf
jinne	jənə
sterftesyfer	stærftəsɛɪfər
loopafstand	lʊəpɐfstɐnt
TWR	tiəviəær
samaritaan	sɐmɐritɑːn
faksnommer	fɐksnɔmər
goedhartige	xuthɐrtəxə
melkweg	mælkvæx
Tagged	tɐxət
krapperig	krɐpərəx
ouditeur	əʊditøər
selfoonontvangs	sælfʊənɔntfɐŋs
Galaxy	xɐlɐksɛɪ
amper	ɐmpər
opsigself	ɔpsəxsælf
gesonde	xəsɔndə
kyke	kɛɪkə
foefie	fufi
saamval	sɑːmfɐl
Tarzan	tɐrzɐn
uitgerig	øytxərəx
bestuurder	bəstyːrdər
makker	mɐkər
dmv	diəɛmfiə
babadogtertjie	bɑːbɐdɔxtərki
vlamme	flɐmə
onwankelbaar	ɔnvɐŋkəlbɑːr
kundige	kœndəxə
metodologiese	mətʊədulʊəxisə
Verbi	fərbi
SASOL	sɑːsɔl
inloer	ənluːr
toebedeel	tubədiəl
LL	ælæl
riller	rələr
benard	bənɐrt
woorde	vʊərdə
Leadership	liəɑːdərshəp
Yskas	ɛɪskɐs
regtervoet	ræxtərfut
ruimtevaarder	røymtəfɑːrdər
Arnie	ɐrni
polse	pɔlsə
kompleksiteit	kɔmplæksitɛɪt
stingel	stəŋəl
Argus	ɐrxœs
rip	rəp
Calvinis	kɐlfinəs
verfyn	fərfɛɪn
rooikat	rʊɪkɐt
sedig	siədəx
moerig	muːrəx
Sanzar	sɐnzɐr
kanovaart	kɐnʊəfɑːrt
bedoelde	bəduldə
talent	tɐlɛnt
Tukkies	tœkis
aflegging	ɐflæxəŋ
afsprake	ɐfsprɑːkə
Maastricht	mɑːstrəxt
Pret	prɛt
Green	xriən
speur	spøər
gevallestudie	xəfɐləstydi
songs	sɔŋs
buiteband	bøytəbɐnt
kortsigtige	kɔrtsəxtəxə
werks	værks
afgronde	ɐfxrɔːndə
diepgang	dipxɐŋ
plastiekbottels	plɐstikbɔtəls
Verbasend	fərbɑːsənt
Nederig	niədərəx
belang	bəlɐŋ
brue	bryə
Keina	kɛɪnɐ
SP	ɛspiə
Mandaryns	mɐndɐrɛɪns
taktiek	tɐktik
ikone	ikʊənə
voltrekking	fɔltrækəŋ
ingetree	ənxətriə
teelepels	tiəliəpəls
Hoogtepunte	hʊəxtəpœntə
linkerskouer	ləŋkərskəʊər
loopbane	lʊəpbɑːnə
oorgespoel	ʊərxəspul
Hartland	hɐrtlɐnt
ingeasem	ənxəɑːsəm
borskanker	bɔrskɐŋkər
Karavaanpark	kɐrəfɑːnpɐrk
García	xɐrsiɐ
Waterkant	vɑːtərkɐnt
maneuvers	mɐnøəfærs
sondebok	sɔndəbɔk
oë	uːə
brein	brɛɪn
aanhoudende	ɑːnhəʊdəndə
Elnatan	ælnɑːtɐn
Moderator	mɔdərɑːtɔr
selde	sældə
Motoriste	mʊətərəstə
poskaarte	pɔskɑːrtə
stikstof	stəkstɔf
bankbalans	bɐŋkbɐlɑ̃ns
Napier	nɑːpiːr
geveg	xəfæx
Allen	ɐlən
begryp	bəxrɛɪp
Trichardt	trixɑːrt
fuck	fœk
geheimsinnig	xəhɛɪmsənəx
smile	smilə
Stam	stɐm
onderskeidinge	ɔnərskɛɪdəŋə
Riëtte	riəiəətə
gekwalifiseerd	xəkwɐlifisiərt
toetree	tutriə
MENS	mẽns
hoorspel	hʊərspæl
hoofdorp	hʊəfdɔrp
Klim	kləm
USSR	œsr
trailer	traɪlər
magistraat	mɐxistrɑːt
KennisgewingBelangrike	kɛnəsxiəvəŋbəlɐŋrəkə
Burgerlike	bœrɡərləkə
Naboom	nɑːbʊəm
komponis	kɔmpʊənəs
ingereken	ənxəriəkən
ET	ɛt
gedroogte	xədrʊəxtə
cops	kɔps
ingange	ənxɐŋə
katte	kɐtə
antichristelike	ɐntixrəstələkə
Boerekos	buːrəkɔs
dateer	dɐtiər
Hof	hɔf
NYDA	nɛɪdɐ
stadsraad	stɐtsrɑːt
Kankervereniging	kɐŋkərfəriənəxəŋ
stereo	stæriəʊə
teregstelling	təræxstæləŋ
selfvernietiging	sælffərnitəxəŋ
ekstreem	ɛkstriəm
regsgeding	ræxsxədəŋ
take	tɑːkə
uitnodigingspan	øytnʊədəxəŋspɐn
riviertjie	rəfiːrci
randfigure	rɐntfəxyrə
beeldhouwerk	biəlthəʊværk
herbou	hærbəʊ
Klaus	kləʊs
teikens	tɛɪkəns
geskiedenisboek	xəskidənəsbuk
Koës	kuːəs
bevordering	bəfɔrdərəŋ
Ghana	ɡɑːnɐ
Daaglikse	dɑːxləksə
kosprys	kɔsprɛɪs
intreepreek	əntriəpriək
temperament	tɛmprɐmɛnt
weggebêre	væxəbæːrə
vuurwerke	fyrværkə
trekkrag	trækrɐx
Sondagnag	sɔndɐxnɐx
ewenaar	iəvənɑːr
registrasieproses	rəxəstrɑːsiprusɛs
uitgeloop	øytxəlʊəp
Lente	lɛntə
verby	fərbɛɪ
meningsverskil	miənəŋsfərskəl
kitsbank	kətsbɐŋk
Bekommernis	bəkɔmərnəs
wollerige	vɔlərəxə
hierop	hiːrɔp
gasstoof	xɐstʊəf
Brother	brɔthər
lektor	lɛktɔr
Box	bɔks
omkom	ɔmkɔm
oseaan	ʊəʃiɑːn
vaskyk	fɐskɛɪk
eksponensieel	ɛkspʊənɛnʃiiəl
Onafhanklikheidstadion	ɔnɐfhɐŋkləkhɛɪtstɑːdiɔn
inbrake	ənbrɑːkə
verhuis	fərhøys
dreigement	drɛɪxəmɛnt
repetisies	rɛpətisis
Keer	kiər
skoor	skʊər
Assisi	ɐsisi
flikkerlig	fləkərləx
bonusse	bʊənœsə
herstrukturering	hærstrœktyriərəŋ
geskenkpakkies	xəskɛŋkpɐkis
beryming	bərɛɪməŋ
Deelnemers	diəlniəmərs
Marineer	mɐriniər
Bybelskool	bɛɪbəlskʊəl
pa	pɑː
Spaans	spɑ̃ns
plank	plɐŋk
telkaart	tælkɑːrt
Joernalistiek	jurnɐləstik
kragprop	krɐxprɔp
blootgelê	blʊətxəleː
sneltrajek	snæltrɐjɛk
ideë	idiiə
ommeswaai	ɔməswɑɪ
geskors	xəskɔrs
gatvol	xɐtfɔl
FAK	ɛfɑːkɑː
Dames	dɑːməs
Draak	drɑːk
avokado	ɐfukɑːdu
Sowel	sʊəvæl
apart	ɐpɐrt
ontploffing	ɔntplɔfəŋ
uitgereik	øytxərɛɪk
rympie	rɛɪmpi
Kuun	kyn
bygewerk	bɛɪxəværk
Nog	nɔx
Letoit	liətɔɪt
oortuigend	ʊərtøyxənt
tydsaam	tɛɪtsɑːm
gebreek	xəbriək
Grain	xraɪn
Maande	mɑːndə
zombies	zɔmbis
unie	yni
maande	mɑːndə
buitewêreld	bøytəvæːrəlt
malles	mɐləs
onrealisties	ɔnriɐləstis
Windhoekers	vənthukərs
toemaaktyd	tumɑːktɛɪt
grusaam	xrysɑːm
Easton	iəɐstɔn
burgemeesterskomitee	bœrxəmiəstərskɔmətiə
ontklee	ɔntkliə
Altus	ɐltœs
ongereeld	ɔnxəriəlt
Ettienne	ɛtinə
Anje	ɐnjə
geboer	xəbuːr
briljante	brəljɐntə
geysers	xəɛɪsərs
Sinterklaas	səntərklɑːs
aangesit	ɑːnxəsət
plain	plaɪn
Plain	plaɪn
reservate	rəsərfɑːtə
spesifiseer	spɛsəfisiər
ronddra	rɔndrɑː
amptenary	ɐmptənɐrɛɪ
proppe	prɔpə
geloofsonderskeiding	xəlʊəfsɔnərskɛɪdəŋ
doodsnikke	dʊətsnəkə
sagkens	sɐxkəns
platskerm	plɐtskærəm
voetjies	fuɪcis
LMB	ælɛmbiə
HouseHet	həʊsəhɛt
vraestelle	frɑːstælə
seerowery	siərʊəvərɛɪ
Man	mɐn
Negatiewe	niəxɐtivə
osoon	ɔsʊən
ongesond	ɔnxəsɔnt
fladder	flɐdər
huispryse	høysprɛɪsə
ren	rɛn
voorarms	fʊərɐrəms
wagtend	vɐxtənt
dubbelverdiepinghuis	dœbəlfərdipəŋhøys
uitbasuin	øytbɐsøyn
gekodeer	xəkudiər
geplunder	xəplœndər
PRAAG	prɑːx
bediendes	bədindəs
gekorrigeer	xəkɔrəxiər
demokrasie	dɛmukrɐsi
bý	bɛɪ
pond	põnt
swaard	swɑːrt
Marjorie	mɐrjʊəri
kousale	kəʊsɑːlə
Verbruikersbeskerming	fərbrøykərsbəskærməŋ
poema	pumɐ
walvisse	vɐlfəsə
Mensdom	mẽnsdɔm
roem	rum
geurmiddel	xøərmədəl
spesie	spiəsi
vuilis	føyləs
telefoongids	tæləfʊənxəts
wêreldkampioenskappe	væːrəltkɐmpiunskɐpə
Block	blɔk
Padkos	pɐtkɔs
Gesprekke	xəsprækə
uitspansel	øytspɐnsəl
psalm	pəsɐləm
berokken	bərɔkən
skryfvaardighede	skrɛɪffɑːrdəxhiədə
gedroogde	xədrʊəxdə
Beaufort	bəʊfɔrt
wildboer	vəltbuːr
groepleier	xruplɛɪər
teleskoop	tæləskʊəp
denkpatroon	dɛŋkpɐtrʊən
skutblare	skœtblɑːrə
geloofsoortuiging	xəlʊəfsʊərtøyxəŋ
Santos	sɐntɔs
hysbak	hɛɪsbɐk
jeens	jiəns
WEET	viət
vierwielaandrywing	fiːrvilɑːndrɛɪvəŋ
Santi	sɐnti
innerlike	ənərləkə
boedelbelasting	budəlbəlɐstəŋ
verbeterings	fərbiətərəŋs
simptome	səmtʊəmə
Curriebekerreeks	kœribiəkərriəks
uitvoering	øytfuːrəŋ
Inwoners	ənvʊənərs
Gedagtig	xədɐxtəx
chassis	xɐsəs
BV	bɛɪfʊərbiəlt
gek	xæk
Judaïsme	jydɑːəsmə
welwillende	vælvələndə
saailing	sɑɪləŋ
Sweed	swiət
beslote	bəslʊətə
Waarde	vɑːrdə
Filistyne	fələstɛɪnə
onderdak	ɔnərdɐk
periodes	piəriʊədəs
Chrysostomus	xrɛɪsɔstʊəmœs
voorregte	fʊəræxtə
chloor	klʊər
voorspelbare	fʊərspælbɑːrə
afwisselend	ɐfvəsələnt
angswekkende	ɐŋsvɛkəndə
session	sɛʃiɔn
vibrasies	vibrɑːsis
bogemiddeld	bʊəxəmədəlt
promenade	prɔmənɑːdə
Verdrukkingstydperk	fərdrœkəŋstɛɪtpærk
Streek	striək
skokgolf	skɔkxɔlf
heerlik	hiərlək
Koeberg	kubærx
Wilder	vəldər
moenies	munis
woef	vuf
helle	hællə
aanbeveling	ɑːnbəfiələŋ
onbewoon	ɔnbəvʊən
musiek	mœsik
buitensporig	bøytənspʊərəx
Behandeling	bəhɐndələŋ
drywer	drɛɪvər
Ignatius	əxnɐtiœs
Dubai	dubaɪ
Kalium	kɐliœm
mg	ɛmxiə
huisvroue	høysfrəʊə
Fanon	fɑːnɔn
huiswerk	høysværk
spanner	spɐnər
Kanada	kɐnɐdɐ
individueel	əndəvədyiəl
AAR	ɑːr
ontsenu	ɔntsiəny
bokse	bɔksə
Burgeroorlog	bœrɡərʊərlɔx
memo	miəmu
Maselspoort	mɑːsəlspʊərt
hekel	hiəkəl
beknopte	bəknɔptə
spioene	spiunə
visbedryf	fəsbədrɛɪf
uithaak	øythɑːk
disabled	disɐblɛt
karige	kɑːrəxə
dagblad	dɐxblɐt
Agab	ɑːxɐp
bykom	bɛɪkɔm
gunstig	xœnstəx
sý	sɛɪ
doeke	dukə
vrugbaar	frœxbɑːr
psigopaat	sixupɑːt
kampvure	kɐmpfyrə
DAAR	dɑːr
Sowaar	suvɑːr
afskryf	ɐfskrɛɪf
brandewyne	brɐndəvɛɪnə
Gesiene	xəsinə
arbeidsterapeut	ɐrbɛɪtstɛrɐpøət
Broers	bruːrs
genera	xənərɐ
Insgelyks	ənsxəlɛɪks
suidwes	søytvɛs
Sampson	sɐmpsɔn
goudstormloop	xəʊtstɔrəmlʊəp
korrel	kɔrəl
Volmoed	fɔlmut
plaaskombuis	plɑːskɔmbøys
Darling	dɐrləŋ
voorsmakie	fʊərsmɑːki
versigtigheid	fərsəxtəxɛɪt
transport	trɐnspɔrt
assistente	ɐsəstɛntə
Graad	xrɑːt
sent	sɛnt
gevat	xəfɐt
verstewiging	fərstiəvəxəŋ
hotelle	hutælə
kwaal	kwɑːl
uitgetrap	øytxətrɐp
grondwethof	xrɔntvɛthɔf
Spoedig	spudəx
Ltd	æltiədiə
sokkie	sɔki
Ondersteuners	ɔnərstøənərs
onoorwonne	ɔnʊərvɔnə
Lee	liə
afpersing	ɐfpærsəŋ
Houellebecq	həʊələbəkkw
gemartel	xəmɐrtəl
tesis	tiəsəs
Handel	hɐndəl
kruppel	krœpəl
terugvoer	trœxfuːr
verduideliking	fərdøydələkəŋ
Kabinet	kɐbinɛt
Hanna	hɐnɐ
comment	kɔmənt
musiekproduksie	mœsikprudœksi
dissiplinêre	dəsəplinæːrə
verskriklikste	fərskrəkləkstə
diefwering	difviərəŋ
kursusmateriaal	kœrsœsmɐtiəriɑːl
gereguleerde	xərɛxyliərdə
kids	kəts
Westminster	vɛstmənstər
Namakwa	nɐmɐkwɐ
struikelblok	strøykəlblɔk
baanbreker	bɑːnbriəkər
Resort	riəsɔrt
afgeruk	ɐfxərœk
Carlos	kɐrlɔs
blatjang	blɐtjɐŋ
lintwurm	ləntvœrəm
oorstap	ʊərstɐp
vindingryk	fəndəŋrɛɪk
afgespreek	ɐfxəspriək
Erens	iərəns
Coert	kuːrt
fonteine	fɔntɛɪnə
feesvier	fiəsfiːr
netso	nɛtsʊə
Curriebeker	kœribiəkər
Hendrikus	hɛndrikœs
slavinne	slɐfənə
salig	sɑːləx
gewigte	xəvəxtə
Dipuo	dipyʊə
bladmusiek	blɐtmœsik
register	rəxəstər
weerwraak	viərvrɑːk
selfsugtige	sælfsœxtəxə
elementêre	ɛləmɛntæːrə
uitgestaan	øytxəstɑːn
pal	pɐl
spankeuse	spɐŋkøəsə
Guillaume	xøyləʊmə
Nollis	nɔləs
Erwin	ærvən
allerheiligste	ɐlərhɛɪləxstə
Bietjie	bici
betaaldag	bətɑːldɐx
Che	xiə
Zoutpansberg	zəʊtpɐnsbærx
wenslysie	vẽnslɛɪsi
georkestreer	xəɔrkɛstriər
LED	lɛt
Geliefde	xəlifdə
middedorp	mədədɔrp
kabeldiefstal	kɑːbəldifstɐl
Mooimaak	mʊɪmɑːk
boerderystelsel	buːrdərɛɪstælsəl
ambassades	ɐmbɐsɑːdəs
laf	lɐf
leukemie	løəkiəmi
Koester	kustər
Music	mysik
Ferdinand	færdinɐnt
skuld	skœlt
kilogramme	kiluxrɐmə
skimmel	skəməl
Getsemane	xətsəmɑːnə
Verwoerdburg	fərvurtbœrx
suksesverhale	sœksɛsfərhɑːlə
enkelsnitte	ɛŋkəlsnətə
openbaar	ʊəpənbɑːr
ignoreer	ixnʊəriər
saai	sɑɪ
Scrooge	skrʊəxə
aanhoor	ɑːnhʊər
Toeriste	turəstə
konstant	kɔnstɐnt
reformatoriese	rəfɔrmɐtʊərisə
Díe	di
onreëlmatig	ɔnriəlmɑːtəx
vertroeteling	fərtrutələŋ
inspanning	ənspɐnəŋ
toegangskaartjie	tuxɐŋskɑːrci
Calstar	kɐlstɐr
rondgaan	rɔntxɑːn
afgebrand	ɐfxəbrɐnt
Marian	mɐriɐn
eenmalige	iənmɑːləxə
bemiddel	bəmədəl
Welwitschia	vælvətʃiɐ
handskoen	hɐntskun
LekkeSlaap	lækəslɑːp
Tiro	tiru
grom	xrɔm
vermaaklik	fərmɑːklək
Wian	viɐn
afspraak	ɐfsprɑːk
Klippies	kləpis
GEE	xiə
Zeitung	zɛɪtœŋ
afgeskrik	ɐfxəskrək
vennote	fənʊətə
Pedi	pɛdi
THABAZIMBI	tɑːbɑːzəmbi
Sonnet	sunɛt
Reitz	rɛɪts
aangerig	ɑːnxərəx
Willemien	vələmin
Foto	fʊətu
wrak	vrɐk
kwalifikasies	kwɐlifikɑːsis
alternator	ɐltərnɑːtɔr
gekommunikeer	xəkɔmynikiər
Christen	xrəstən
kerkfamilie	kærkfɐmili
Paulo	pəʊlu
bylaes	bɛɪlɑːs
gesagsposisies	xəsɐxspuzisis
tydgenoot	tɛɪtxənʊət
Stern	stærn
argument	ɐrxymɛnt
Sven	sfɛn
ingestuur	ənxəstyːr
Reformed	rəfɔrmɛt
Miranda	mirɐndɐ
Trou	trəʊ
Seal	siəɐl
derduisende	dærdøysəndə
erkennings	ærkɛnəŋs
proloog	prulʊəx
doem	dum
ouditverslag	əʊdətfərslɐx
bloedsirkulasie	blutsərkylɑːsi
kaartjies	kɑːrcis
moedige	mudəxə
geënt	xəɛnt
Sunrise	sœnrisə
gebeur	xəbøər
Niekerk	nikærk
DA	dɑː
Route	rəʊtə
Tulbagh	tœlbɐx
geestelikes	xiəstələkəs
sales	sɑːləs
Skeppende	skɛpəndə
kenners	kɛnərs
Northampton	nɔrthɐmptɔn
indirekte	əndirɛktə
laasweek	lɑːsviək
Serena	səriənɐ
onbestendigheid	ɔnbəstɛndəxɛɪt
voginhoud	fʊəxənhəʊt
rekonstruksie	riəkɔnstrœksi
Legendary	ləxəndɐrɛɪ
avo	ɑːfu
getemper	xətɛmpər
belastingbetalers	bəlɐstəŋbətɑːlərs
vantevore	fɐntəfʊərə
sesjarige	sɛsjɑːrəxə
gloede	xludə
walaer	vɐlɑːr
uitswaai	øytswɑɪ
Dankbaarheid	dɐŋkbɑːrhɛɪt
tops	tɔps
Items	itɛms
handratkas	hɐntrɐtkɐs
oorloop	ʊərlʊəp
Heuwels	høəvəls
Spaar	spɑːr
gedagvaar	xədɐxfɑːr
BoishaaiPa	bɔɪshɑɪpɑː
bekwaam	bəkwɑːm
End	ɛnt
beursie	bøərsi
ECN	ɛkn
skrifgeleerdes	skrəfxəliərdəs
Doebai	dubaɪ
koffers	kɔfərs
voorgestel	fʊərxəstæl
Bulletjies	bœlicis
Martjie	mɐrci
