Зенги	zˈɛŋɡɪ
револуционара	rˈɛvolˌʊt͡sɪˌonɑrɐ
глукозних	ɡlˈukoznɪh
изумирања	ˈizʊmˌɪrɐɲɐ
оптике	ˈoptɪkɛ
завршетак	zˈavrʃɛtɐk
непроцењиве	nˈɛprot͡sˌɛɲɪvɛ
непрестано	nˈɛprɛstˌɐno
Бранковића	brˈaŋkovˌɪt͡ɕɐ
трака	trˈakɐ
ангажману	ˈaŋɡɐʒmˌɐnʊ
Византинци	vˈizɐntˌɪnt͡sɪ
покушаји	pˈokʊʃˌɑjɪ
Мелек	mˈɛlɛk
Брестске	brˈɛstskɛ
глобалне	ɡlˈobɐlnɛ
класификоване	klˈasɪfˌɪkovˌɐnɛ
кнедле	knˈɛdlɛ
Дуле	dˈulɛ
ставила	stˈavɪlɐ
уследила	ˈuslɛdˌɪlɐ
порнографске	pˈornoɡrˌɐfskɛ
Несторовића	nˈɛstorˌovɪt͡ɕɐ
Коча	kˈot͡ʃɐ
повлачећи	pˈovlɐt͡ʃˌɛt͡ɕɪ
уређаја	ˈurɛd͡ʑˌɑjɐ
Привредника	prˈivrɛdnˌɪkɐ
потока	pˈotokɐ
једноставан	jˈednostˌɐvɐn
таква	tˈakvɐ
Марет	mˈɑrɛt
Нејасно	nˈejɐsno
четника	t͡ʃˈɛtnɪkɐ
Стјепан	stjˈepɐn
симболика	sˈimbolˌɪkɐ
провере	prˈovɛrɛ
посетила	pˈosɛtˌɪlɐ
конфигурацијом	kˈonfɪɡˌʊrɐt͡sˌɪjom
регуларном	rˈɛɡʊlˌɑrnom
двеју	dvˈejʊ
пропагирао	prˈopɐɡˌɪrɐo
кокаином	kˈokɐˌɪnom
јелом	jˈelom
Читање	t͡ʃˈitɐɲe
порција	pˈort͡sɪjɐ
најтежим	nˈɑjtɛʒɪm
евакуисано	ˈɛvɐkˌʊɪsˌɐno
апликација	ˈaplɪkˌɐt͡sɪjɐ
многа	mnˈoɡɐ
V	vˈə
НОП	nˈop
Искра	ˈiskrɐ
карактеризација	kˈɑrɐktˌɛrɪzˌɐt͡sɪjɐ
рукописна	rˈukopˌɪsnɐ
Hey	xˈɛj
ватромета	vˈatromˌɛtɐ
скакаонице	skˈakɐˌonɪt͡sɛ
mg	mˈəɡˌə
Заробили	zˈɑrobˌɪlɪ
премали	prˈɛmɐlɪ
настанком	nˈastɐŋkom
могућ	mˈoɡʊt͡ɕ
Федералног	fˈɛdɛrˌɐlnoɡ
гласало	ɡlˈasɐlo
Рохана	rˈohɐnɐ
Ное	nˈoɛ
Мит	mˈit
одобравањем	ˈodobrˌɐvɐɲem
обезбедио	ˈobɛzbˌɛdɪo
тиранин	tˈirɐnɪn
танка	tˈaŋkɐ
сликарска	slˈikɑrskɐ
обални	ˈobɐlnɪ
теологијом	tˈɛolˌoɡɪjom
прецизно	prˈɛt͡sɪzno
Јоакима	jˈoɐkˌɪmɐ
Блај	blˈɑj
модификоване	mˈodɪfˌɪkovˌɐnɛ
мачу	mˈat͡ʃʊ
Веде	vˈɛdɛ
сувенире	sˈuvɛnˌɪrɛ
Шефилду	ʃˈɛfɪldʊ
храмови	xrˈamovɪ
кључевима	kʎˈut͡ʃɛvˌɪmɐ
даљој	dˈaʎoj
Лужички	lˈuʒɪt͡ʃkɪ
Рентон	rˈɛnton
прослави	prˈoslɐvɪ
Ловачко	lˈovɐt͡ʃko
Ван	vˈan
До	dˈo
одбрамбеној	ˈodbrɐmbˌɛnoj
Белешка	bˈɛlɛʃkɐ
Петковић	pˈɛtkovɪt͡ɕ
Јерме	jˈermɛ
Слога	slˈoɡɐ
просвећивање	prˈosvɛt͡ɕˌɪvɐɲe
анархистима	ˈanɑrhˌɪstɪmɐ
Нињо	nˈiɲo
вентилацију	vˈɛntɪlˌɐt͡sɪjʊ
генетском	ɡˈɛnɛtskom
Навахо	nˈavɐho
стрелама	strˈɛlɐmɐ
теоријским	tˈɛorˌɪjskɪm
компартмент	kˈompɑrtmɛnt
располагале	rˈaspolˌɐɡɐlɛ
најсложенији	nˈɑjsloʒˌɛnɪjɪ
учених	ˈut͡ʃɛnɪh
смјене	smjˈenɛ
Балдуина	bˈaldʊˌɪnɐ
Ступови	stˈupovɪ
катетера	kˈatɛtˌɛrɐ
афинитет	ˈafɪnˌɪtɛt
периферији	pˈɛrɪfˌɛrɪjɪ
Ствара	stvˈɑrɐ
подесити	pˈodɛsˌɪtɪ
Ајдахо	ˈɑjdɐho
мантије	mˈantɪje
тропско	trˈopsko
дејствовати	dˈejstvovˌɐtɪ
Суботић	sˈubotɪt͡ɕ
Мач	mˈat͡ʃ
практичним	prˈaktɪt͡ʃnɪm
Халеу	xˈalɛʊ
здравству	zdrˈafstvʊ
Муавије	mˈuɐvˌɪje
Падина	pˈadɪnɐ
Његовим	ɲˈeɡovɪm
типичног	tˈipɪt͡ʃnoɡ
онесвести	ˈonɛsvˌɛstɪ
налажу	nˈalɐʒʊ
дина	dˈinɐ
потоње	pˈotoɲe
Василијем	vˈasɪlˌɪjem
капителима	kˈapɪtˌɛlɪmɐ
напале	nˈapɐlɛ
куповином	kˈupovˌɪnom
враћајући	vrˈat͡ɕɑjˌʊt͡ɕɪ
пропусти	prˈopʊstɪ
клубовима	klˈubovˌɪmɐ
деси	dˈɛsɪ
транспортовано	trˈansportˌovɐno
Ариобарзан	ˈɑrɪˌobɑrzɐn
приањање	prˈiɐɲˌɐɲe
штапом	ʃtˈapom
Гробље	ɡrˈobʎe
старој	stˈɑroj
грла	ɡrlˈa
затворске	zˈatvorskɛ
кукурузног	kˈukʊrˌʊznoɡ
имплементирати	ˈimplɛmˌɛntɪrˌɐtɪ
потпетице	pˈotpɛtˌɪt͡sɛ
сеоску	sˈɛoskʊ
константну	kˈonstɐntnʊ
колегијуму	kˈolɛɡˌɪjʊmʊ
Драшковић	drˈaʃkovɪt͡ɕ
шампиона	ʃˈampɪˌonɐ
Мауританије	mˈaʊrˌɪtɐnˌɪje
образована	ˈobrɐzˌovɐnɐ
гласати	ɡlˈasɐtɪ
избацивање	ˈizbɐt͡sˌɪvɐɲe
удубљен	ˈudʊbʎen
Пожаревцу	pˈoʒɑrˌɛft͡sʊ
амнестије	ˈamnɛstˌɪje
радиности	rˈadɪnˌostɪ
Затвореници	zˈatvorˌɛnɪt͡sɪ
прозне	prˈoznɛ
екстремиста	ˈɛkstrɛmˌɪstɐ
слободним	slˈobodnɪm
Дечије	dˈɛt͡ʃɪje
директоријума	dˈirɛktˌorɪjˌʊmɐ
листопадне	lˈistopˌɐdnɛ
Корејског	kˈorejskoɡ
силуета	sˈilʊˌɛtɐ
Лангобарди	lˈaŋɡobˌɑrdɪ
уздигнут	ˈuzdɪɡnʊt
позвано	pˈozvɐno
испаравање	ˈispɑrˌɐvɐɲe
Похађала	pˈohɐd͡ʑˌɐlɐ
кит	kˈit
апотекара	ˈapotˌɛkɑrɐ
сфере	sfˈɛrɛ
кћи	kt͡ɕˈi
рову	rˈovʊ
крстарица	krstˈɑrɪt͡sɐ
Сене	sˈɛnɛ
одмазда	ˈodmɐzdɐ
бледо	blˈɛdo
стилску	stˈilskʊ
капетаном	kˈapɛtˌɐnom
редни	rˈɛdnɪ
европске	ˈɛvropskɛ
најслабије	nˈɑjslɐbˌɪje
стаса	stˈasɐ
описаних	ˈopɪsˌɐnɪh
јужнословенске	jˈuʒnoslˌovɛnskɛ
савршеног	sˈavrʃɛnoɡ
родној	rˈodnoj
заснивају	zˈasnɪvˌɑjʊ
измјене	ˈizmjenɛ
кажемо	kˈaʒɛmo
Мачву	mˈat͡ʃvʊ
длета	dlˈɛtɐ
назвали	nˈazvɐlɪ
служи	slˈuʒɪ
погоде	pˈoɡodɛ
испуштања	ˈispʊʃtˌɐɲɐ
диносауруса	dˈinosˌɐʊrˌʊsɐ
смртоносни	smrtˈonosnɪ
Видици	vˈidɪt͡sɪ
великодушно	vˈɛlɪkˌodʊʃno
Бачки	bˈat͡ʃkɪ
илирских	ˈilɪrskɪh
ближа	blˈiʒɐ
елиминисање	ˈɛlɪmˌɪnɪsˌɐɲe
омиљен	ˈomɪʎen
директивама	dˈirɛktˌɪvɐmɐ
фотографску	fˈotoɡrˌɐfskʊ
гласовни	ɡlˈasovnɪ
дисторзије	dˈistorzˌɪje
амбалаже	ˈambɐlˌɐʒɛ
Садржај	sˈadrʒɑj
одабраним	ˈodɐbrˌɐnɪm
комитетом	kˈomɪtˌɛtom
мутацијом	mˈutɐt͡sˌɪjom
Џенерал	d͡ʒˈɛnɛrɐl
окупљале	ˈokʊpʎˌɐlɛ
српску	srpskˈu
Ендруа	ˈɛndrʊɐ
Дизајниран	dˈizɑjnˌɪrɐn
предсједавајући	prˈɛtsjedˌɐvɑjˌʊt͡ɕɪ
наком	nˈakom
најближем	nˈɑjblɪʒɛm
клупа	klˈupɐ
Ганимеда	ɡˈanɪmˌɛdɐ
dux	dˈuks
подјеле	pˈodjelɛ
увела	ˈuvɛlɐ
прављење	prˈavljeɲe
Калифорнијском	kˈalɪfˌornɪjskom
идентификовани	ˈidɛntˌɪfɪkˌovɐnɪ
Ватерлоа	vˈatɛrlˌoɐ
Отворен	ˈotvorɛn
Најбројнији	nˈɑjbrojnˌɪjɪ
преузети	prˈɛʊzˌɛtɪ
венчати	vˈɛnt͡ʃɐtɪ
UCI	ˈut͡sɪ
Божијег	bˈoʒɪjeɡ
дијапазон	dˈijɐpˌɐzon
ОКК	ˈokk
мобилизације	mˈobɪlˌɪzɐt͡sˌɪje
бетонских	bˈɛtonskɪh
ХВ	xˈəvˌə
меморији	mˈɛmorˌɪjɪ
зарезом	zˈɑrɛzom
необични	nˈɛobˌɪt͡ʃnɪ
Хела	xˈɛlɐ
недалеко	nˈɛdɐlˌɛko
задовољством	zˈadovˌoʎstvom
реорганизован	rˈɛorɡˌɐnɪzˌovɐn
дијети	dˈijetɪ
Лакан	lˈakɐn
дигиталну	dˈiɡɪtˌɐlnʊ
Зоја	zˈojɐ
трансформацији	trˈansformˌɐt͡sɪjɪ
свиђало	svˈid͡ʑɐlo
Књизи	kɲˈizɪ
жичаре	ʒˈit͡ʃɑrɛ
падове	pˈadovɛ
минира	mˈinɪrɐ
Слободна	slˈobodnɐ
сладак	slˈadɐk
смештеним	smˈɛʃtɛnɪm
колега	kˈolɛɡɐ
дуплим	dˈuplɪm
забава	zˈabɐvɐ
Јосифа	jˈosɪfɐ
пољопривреда	pˈoʎoprˌɪvrɛdɐ
посланику	pˈoslɐnˌɪkʊ
картом	kˈɑrtom
Сликао	slˈikɐo
започели	zˈapot͡ʃˌɛlɪ
рођацима	rˈod͡ʑɐt͡sˌɪmɐ
Војводина	vˈojvodˌɪnɐ
стаде	stˈadɛ
Кошута	kˈoʃʊtɐ
Авали	ˈavɐlɪ
дипломске	dˈiplomskɛ
Ајаксу	ˈɑjɐksʊ
комедијама	kˈomɛdˌɪjɐmɐ
незнање	nˈɛznɐɲe
осетила	ˈosɛtˌɪlɐ
Јадра	jˈadrɐ
презентацију	prˈɛzɛntˌɐt͡sɪjʊ
провинције	prˈovɪnt͡sˌɪje
Мојсеј	mˈojsej
сложене	slˈoʒɛnɛ
јунион	jˈunɪon
Наполи	nˈapolɪ
допрла	dˈoprlɐ
љубичасту	ʎˈubɪt͡ʃˌɐstʊ
Роману	rˈomɐnʊ
путних	pˈutnɪh
синкопа	sˈiŋkopɐ
заштитило	zˈaʃtɪtˌɪlo
атомска	ˈatomskɐ
Едена	ˈɛdɛnɐ
представник	prˈɛtstɐvnɪk
остварену	ˈostvɑrˌɛnʊ
Византијском	vˈizɐntˌɪjskom
Башта	bˈaʃtɐ
Украјине	ˈukrɑjˌɪnɛ
једни	jˈednɪ
дно	dnˈo
уживао	ˈuʒɪvˌɐo
Мајерс	mˈɑjers
узоре	ˈuzorɛ
Пиперима	pˈipɛrˌɪmɐ
европској	ˈɛvropskoj
модернизује	mˈodɛrnˌɪzʊje
Маркиз	mˈɑrkɪz
разрешен	rˈazrɛʃɛn
обучавали	ˈobʊt͡ʃˌɐvɐlɪ
друже	drˈuʒɛ
конобара	kˈonobˌɑrɐ
уцене	ˈut͡sɛnɛ
крену	krˈɛnʊ
Аргумент	ˈɑrɡʊmɛnt
креирање	krˈɛɪrˌɐɲe
присан	prˈisɐn
светогорски	svˈɛtoɡˌorskɪ
корпу	kˈorpʊ
сестринска	sˈɛstrɪnskɐ
ступи	stˈupɪ
међуградских	mˈɛd͡ʑʊɡrˌɐtskɪh
кортикалне	kˈortɪkˌɐlnɛ
садашњости	sˈadɐʃɲˌostɪ
усташко	ˈustɐʃko
клупску	klˈupskʊ
скитске	skˈitskɛ
претеривања	prˈɛtɛrˌɪvɐɲɐ
лајв	lˈɑjv
Соколски	sˈokolskɪ
Антарктик	ˈantɑrktɪk
динамичку	dˈinɐmˌɪt͡ʃkʊ
Рибе	rˈibɛ
Стаклене	stˈaklɛnɛ
гази	ɡˈazɪ
предуслова	prˈɛdʊslˌovɐ
седмице	sˈɛdmɪt͡sɛ
примарну	prˈimɑrnʊ
прекинуте	prˈɛkɪnˌʊtɛ
макадамски	mˈakɐdˌɐmskɪ
доставити	dˈostɐvˌɪtɪ
способношћу	spˈosobnˌoʃt͡ɕʊ
раскош	rˈaskoʃ
плаштом	plˈaʃtom
граничних	ɡrˈanɪt͡ʃnɪh
мрежне	mrˈɛʒnɛ
Престон	prˈɛston
ограничавало	ˈoɡrɐnˌɪt͡ʃɐvˌɐlo
Зора	zˈorɐ
акне	ˈaknɛ
одлучујућем	ˈodlʊt͡ʃˌʊjʊt͡ɕɛm
Бирмингему	bˈirmɪŋɡˌɛmʊ
арматуре	ˈɑrmɐtˌʊrɛ
захватити	zˈahvɐtˌɪtɪ
хипотези	xˈipotˌɛzɪ
романском	rˈomɐnskom
Канчеларе	kˈant͡ʃɛlˌɑrɛ
Фиренцу	fˈirɛnt͡sʊ
теоријски	tˈɛorˌɪjskɪ
заробивши	zˈɑrobˌɪfʃɪ
сфинктера	sfˈiŋktɛrɐ
Тање	tˈaɲe
епископија	ˈɛpɪskˌopɪjɐ
Ескобара	ˈɛskobˌɑrɐ
торњу	tˈorɲʊ
арапско	ˈɑrɐpsko
понудио	pˈonʊdˌɪo
ћи	t͡ɕˈi
уједине	ˈujedˌɪnɛ
допринео	dˈoprɪnˌɛo
уговорног	ˈuɡovˌornoɡ
Клеопатре	klˈɛopˌɐtrɛ
Бретањи	brˈɛtɐɲɪ
коњичком	kˈoɲɪt͡ʃkom
спријатељи	sprˈijɐtˌɛʎɪ
програмирању	prˈoɡrɐmˌɪrɐɲʊ
Еленор	ˈɛlɛnor
Черкеза	t͡ʃˈɛrkɛzɐ
зарубљене	zˈɑrʊbʎˌenɛ
падали	pˈadɐlɪ
социологија	sˈot͡sɪˌoloɡˌɪjɐ
логистичких	lˈoɡɪstˌɪt͡ʃkɪh
свиња	svˈiɲɐ
кумовао	kˈumovˌɐo
изврсног	ˈizvrsnoɡ
тенковским	tˈɛŋkofskɪm
сасанидског	sˈasɐnˌɪtskoɡ
направити	nˈaprɐvˌɪtɪ
покренутим	pˈokrɛnˌʊtɪm
метропола	mˈɛtropˌolɐ
старце	stˈɑrt͡sɛ
следио	slˈɛdɪo
фазно	fˈazno
Аруба	ˈɑrʊbɐ
топлотом	tˈoplotom
Арапски	ˈɑrɐpskɪ
Винер	vˈinɛr
донета	dˈonɛtɐ
свештенству	svˈɛʃtɛnstvʊ
бомбардерских	bˈombɑrdˌɛrskɪh
ПГП	pˈəɡˌəpˌə
Зворника	zvˈornɪkɐ
Мерења	mˈɛrɛɲɐ
Карно	kˈɑrno
идентификацији	ˈidɛntˌɪfɪkˌɐt͡sɪjɪ
Сплит	splˈit
летњим	lˈɛtɲɪm
претовар	prˈɛtovɑr
универзитетске	ˈunɪvˌɛrzɪtˌɛtskɛ
мађарског	mˈad͡ʑɑrskoɡ
званичници	zvˈanɪt͡ʃnˌɪt͡sɪ
одвојености	ˈodvojˌenostɪ
брдовитом	brdˈovɪtom
Рад	rˈad
Ердељановић	ˈɛrdɛʎˌɐnovɪt͡ɕ
слеће	slˈɛt͡ɕɛ
Висина	vˈisɪnɐ
опуномоћени	ˈopʊnˌomot͡ɕˌɛnɪ
спонтани	spˈontɐnɪ
моћнијим	mˈot͡ɕnɪjɪm
биографија	bˈioɡrˌɐfɪjɐ
испаљивање	ˈispɐʎˌɪvɐɲe
Дати	dˈatɪ
делегати	dˈɛlɛɡˌɐtɪ
Гласа	ɡlˈasɐ
Сеулу	sˈɛʊlʊ
патријархалне	pˈatrɪjˌɑrhɐlnɛ
популација	pˈopʊlˌɐt͡sɪjɐ
дохотком	dˈohotkom
сисаре	sˈisɑrɛ
Стано	stˈano
проверавање	prˈovɛrˌɐvɐɲe
шерифа	ʃˈɛrɪfɐ
тематску	tˈɛmɐtskʊ
Бројно	brˈojno
неуспеси	nˈɛʊspˌɛsɪ
хаотичним	xˈaotˌɪt͡ʃnɪm
Проналазе	prˈonɐlˌɐzɛ
енглеских	ˈɛŋɡlɛskɪh
сетова	sˈɛtovɐ
предлозима	prˈɛdlozˌɪmɐ
откупила	ˈotkʊpˌɪlɐ
врпце	vrpt͡sˈɛ
писар	pˈisɑr
спратна	sprˈatnɐ
изјашњава	ˈizjɐʃɲˌɐvɐ
блокада	blˈokɐdɐ
проповедајући	prˈopovˌɛdɑjˌʊt͡ɕɪ
Тачни	tˈat͡ʃnɪ
дисперзије	dˈispɛrzˌɪje
удаљена	ˈudɐʎˌenɐ
изговору	ˈizɡovˌorʊ
мараму	mˈɑrɐmʊ
Пољском	pˈoʎskom
специјалистичким	spˈɛt͡sɪjˌɐlɪstˌɪt͡ʃkɪm
спали	spˈalɪ
бележење	bˈɛlɛʒˌɛɲe
префектуре	prˈɛfɛktˌʊrɛ
линеарни	lˈinɛˌɑrnɪ
сједињења	sjˈedɪɲˌeɲɐ
ћелијском	t͡ɕˈɛlɪjskom
достојна	dˈostojnɐ
Држава	drʒˈavɐ
League	lˈɛɐɡˌʊɛ
кровове	krˈovovɛ
Индекса	ˈindɛksɐ
вјере	vjˈerɛ
афричким	ˈafrɪt͡ʃkɪm
властити	vlˈastɪtɪ
позног	pˈoznoɡ
Киликије	kˈilɪkˌɪje
шкотским	ʃkˈotskɪm
немилосрдну	nˈɛmɪlˌosrdnʊ
пешачког	pˈɛʃɐt͡ʃkoɡ
умећем	ˈumɛt͡ɕɛm
гледамо	ɡlˈɛdɐmo
Колонисти	kˈolonˌɪstɪ
формулацији	fˈormʊlˌɐt͡sɪjɪ
спотова	spˈotovɐ
освештао	ˈosvɛʃtˌɐo
Јеронима	jˈeronˌɪmɐ
његова	ɲˈeɡovɐ
групног	ɡrˈupnoɡ
раскршће	rˈaskrʃt͡ɕɛ
персијску	pˈɛrsɪjskʊ
храст	xrˈast
Значај	znˈat͡ʃɑj
најважније	nˈɑjvɐʒnˌɪje
геолошкој	ɡˈɛolˌoʃkoj
хранитеља	xrˈanɪtˌɛʎɐ
кварт	kvˈɑrt
савезе	sˈavɛzɛ
земљак	zˈɛmʎɐk
Пријатељи	prˈijɐtˌɛʎɪ
прелити	prˈɛlɪtɪ
ситнице	sˈitnɪt͡sɛ
спомен	spˈomɛn
узајамном	ˈuzɑjˌɐmnom
артикала	ˈɑrtɪkˌɐlɐ
налазили	nˈalɐzˌɪlɪ
сматрају	smˈatrɑjʊ
обрнуте	ˈobrnʊtɛ
научним	nˈaʊt͡ʃnɪm
Требиње	trˈɛbɪɲe
држављанину	drʒˈavljɐnˌɪnʊ
обећала	ˈobɛt͡ɕˌɐlɐ
Дабија	dˈabɪjɐ
изгласа	ˈizɡlɐsɐ
постаће	pˈostɐt͡ɕɛ
Приморски	prˈimorskɪ
признале	prˈiznɐlɛ
детета	dˈɛtɛtɐ
Незапосленост	nˈɛzɐpˌoslɛnost
наговештавају	nˈaɡovˌɛʃtɐvˌɑjʊ
умешан	ˈumɛʃɐn
Станислав	stˈanɪslɐv
клијенти	klˈijentɪ
Хардин	xˈɑrdɪn
иступила	ˈistʊpˌɪlɐ
здања	zdˈaɲɐ
тестостерона	tˈɛstostˌɛronɐ
Недића	nˈɛdɪt͡ɕɐ
постављена	pˈostɐvljˌenɐ
покаже	pˈokɐʒɛ
повраћања	pˈovrɐt͡ɕˌɐɲɐ
истинито	ˈistɪnˌɪto
Влашке	vlˈaʃkɛ
Јасеновац	jˈasɛnˌovɐt͡s
Снимљен	snˈimʎen
Билећа	bˈilɛt͡ɕɐ
присилну	prˈisɪlnʊ
надоградњи	nˈadoɡrˌɐdɲɪ
спева	spˈɛvɐ
енг	ˈɛŋɡ
непосредне	nˈɛposrˌɛdnɛ
незванично	nˈɛzvɐnˌɪt͡ʃno
Балон	bˈalon
услиједио	ˈuslɪjˌedɪo
ломи	lˈomɪ
силазне	sˈilɐznɛ
стало	stˈalo
Бел	bˈɛl
ревносно	rˈɛvnosno
прости	prˈostɪ
Толкин	tˈolkɪn
својствима	svˈojstvɪmɐ
пуком	pˈukom
Шор	ʃˈor
Крикет	krˈikɛt
Мечеви	mˈɛt͡ʃɛvɪ
дипол	dˈipol
дистрибуцији	dˈistrɪbˌʊt͡sɪjɪ
псовке	psˈofkɛ
Музеј	mˈuzej
шкољкама	ʃkˈoʎkɐmɐ
Мозамбика	mˈozɐmbˌɪkɐ
називале	nˈazɪvˌɐlɛ
Персијска	pˈɛrsɪjskɐ
алкохоли	ˈalkohˌolɪ
Енциклопедије	ˈɛnt͡sɪklˌopɛdˌɪje
Стилиновић	stˈilɪnˌovɪt͡ɕ
опстало	ˈopstɐlo
удаљила	ˈudɐʎˌɪlɐ
бејзбола	bˈejzbolɐ
противничке	prˈotɪvnˌɪt͡ʃkɛ
Comuni	t͡sˈomʊnɪ
мрачан	mrˈat͡ʃɐn
ударио	ˈudɑrˌɪo
проширеним	prˈoʃɪrˌɛnɪm
Апатину	ˈapɐtˌɪnʊ
Phone	phˈonɛ
Мехмеда	mˈɛhmɛdɐ
режњу	rˈɛʒɲʊ
савршен	sˈavrʃɛn
Савезом	sˈavɛzom
Снимљено	snˈimʎeno
циљају	t͡sˈiʎɑjʊ
доминантну	dˈomɪnˌɐntnʊ
селеукидску	sˈɛlɛˌʊkɪtskʊ
јестивих	jˈestɪvɪh
бављења	bˈavljeɲɐ
кориштена	kˈorɪʃtˌɛnɐ
јајолики	jˈɑjolˌɪkɪ
гоњење	ɡˈoɲeɲe
коштац	kˈoʃtɐt͡s
хале	xˈalɛ
поменутих	pˈomɛnˌʊtɪh
Идемо	ˈidɛmo
веран	vˈɛrɐn
чврсти	t͡ʃvrstˈi
ликвидирају	lˈikvɪdˌɪrɑjʊ
Шилер	ʃˈilɛr
Приказ	prˈikɐz
дипломирао	dˈiplomˌɪrɐo
падину	pˈadɪnʊ
оскудно	ˈoskʊdno
стручну	strˈut͡ʃnʊ
активне	ˈaktɪvnɛ
Јустинијанов	jˈustɪnˌɪjɐnov
магијском	mˈaɡɪjskom
налогу	nˈaloɡʊ
вибрира	vˈibrɪrɐ
поље	pˈoʎe
заслузи	zˈaslʊzɪ
однела	ˈodnɛlɐ
зачарани	zˈat͡ʃɑrˌɐnɪ
und	ˈund
неупоредиво	nˈɛʊpˌorɛdˌɪvo
вулкански	vˈulkɐnskɪ
оптужујући	ˈoptʊʒˌʊjʊt͡ɕɪ
кориснику	kˈorɪsnˌɪkʊ
поћи	pˈot͡ɕɪ
прибави	prˈibɐvɪ
удруживања	ˈudrʊʒˌɪvɐɲɐ
Карапанџић	kˈɑrɐpˌɐnd͡ʒɪt͡ɕ
Појасеви	pˈojɐsˌɛvɪ
популаран	pˈopʊlˌɑrɐn
продужетке	prˈodʊʒˌɛtkɛ
град	ɡrˈad
показивања	pˈokɐzˌɪvɐɲɐ
ванземаљске	vˈanzɛmˌɐʎskɛ
одрадио	ˈodrɐdˌɪo
изгубе	ˈizɡʊbɛ
означио	ˈoznɐt͡ʃˌɪo
Терзића	tˈɛrzɪt͡ɕɐ
Настањује	nˈastɐɲˌʊje
породицама	pˈorodˌɪt͡sɐmɐ
аугуста	ˈaʊɡˌʊstɐ
позориштима	pˈozorˌɪʃtɪmɐ
пливачки	plˈivɐt͡ʃkɪ
посадама	pˈosɐdˌɐmɐ
Скулптуре	skˈulptʊrɛ
женског	ʒˈɛnskoɡ
плуте	plˈutɛ
цариградски	t͡sˈɑrɪɡrˌɐtskɪ
Самјуел	sˈamjʊɛl
Best	bˈɛst
Линц	lˈint͡s
Гренланд	ɡrˈɛnlɐnd
јула	jˈulɐ
пријатељи	prˈijɐtˌɛʎɪ
НЗ	nˈəzˌə
анегдоте	ˈanɛɡdˌotɛ
Клару	klˈɑrʊ
Усљед	ˈusʎed
естрадне	ˈɛstrɐdnɛ
Наредних	nˈɑrɛdnɪh
преваленције	prˈɛvɐlˌɛnt͡sɪje
одбијањем	ˈodbɪjˌɐɲem
правди	prˈavdɪ
допринио	dˈoprɪnˌɪo
написаној	nˈapɪsˌɐnoj
скептичан	skˈɛptɪt͡ʃɐn
сексуалности	sˈɛksʊˌɐlnostɪ
Поклон	pˈoklon
панди	pˈandɪ
Почео	pˈot͡ʃɛo
акционог	ˈakt͡sɪˌonoɡ
рефрен	rˈɛfrɛn
мужа	mˈuʒɐ
Карађорђеву	kˈɑrɐd͡ʑˌord͡ʑɛvʊ
спорим	spˈorɪm
мислим	mˈislɪm
интересовањем	ˈintɛrˌɛsovˌɐɲem
очувани	ˈot͡ʃʊvˌɐnɪ
Шта	ʃtˈa
омиљену	ˈomɪʎˌenʊ
Бране	brˈanɛ
модификовани	mˈodɪfˌɪkovˌɐnɪ
изабраним	ˈizɐbrˌɐnɪm
упаривање	ˈupɑrˌɪvɐɲe
постигла	pˈostɪɡlɐ
Харис	xˈɑrɪs
докторски	dˈoktorskɪ
администратора	ˈadmɪnˌɪstrɐtˌorɐ
десетогодишњи	dˈɛsɛtˌoɡodˌɪʃɲɪ
тумори	tˈumorɪ
Срби	srbˈi
Герасим	ɡˈɛrɐsɪm
егзистенцијални	ˈɛɡzɪstˌɛnt͡sɪjˌɐlnɪ
врти	vrtˈi
послуша	pˈoslʊʃɐ
нападача	nˈapɐdˌɐt͡ʃɐ
војвођанског	vˈojvod͡ʑˌɐnskoɡ
реформом	rˈɛformom
дјецом	djˈet͡som
Велика	vˈɛlɪkɐ
Лајт	lˈɑjt
аката	ˈakɐtɐ
одређена	ˈodrɛd͡ʑˌɛnɐ
крваву	krvˈavʊ
истурених	ˈistʊrˌɛnɪh
Управног	ˈuprɐvnoɡ
врху	vrhˈu
Бивша	bˈifʃɐ
елиминациону	ˈɛlɪmˌɪnɐt͡sˌɪonʊ
Републикански	rˈɛpʊblˌɪkɐnskɪ
чистки	t͡ʃˈistkɪ
терминологији	tˈɛrmɪnˌoloɡˌɪjɪ
водиче	vˈodɪt͡ʃɛ
медитацију	mˈɛdɪtˌɐt͡sɪjʊ
Византијским	vˈizɐntˌɪjskɪm
репрезентацију	rˈɛprɛzˌɛntɐt͡sˌɪjʊ
педагози	pˈɛdɐɡˌozɪ
Стандардно	stˈandɑrdno
Средње	srˈɛdɲe
пресеци	prˈɛsɛt͡sɪ
јединственог	jˈedɪnstvˌɛnoɡ
настајању	nˈastɑjˌɐɲʊ
e	ˈɛ
строј	strˈoj
енергију	ˈɛnɛrɡˌɪjʊ
скелета	skˈɛlɛtɐ
развоју	rˈazvojʊ
елипсе	ˈɛlɪpsɛ
дигао	dˈiɡɐo
Марсела	mˈɑrsɛlɐ
порушени	pˈorʊʃˌɛnɪ
Верује	vˈɛrʊje
старословенском	stˈɑroslˌovɛnskom
изгласала	ˈizɡlɐsˌɐlɐ
Севиљу	sˈɛvɪʎʊ
ципелу	t͡sˈipɛlʊ
стакластог	stˈaklɐstoɡ
