گاڏڙ	ɡaːɖˈʌr.
نکاد	nəkʰˈaːd
درزي	dərˈʌzi
پايو	pˈaːjoː
ڊبل	ɖəbˈʌl
تازا	t̪ˈaːzaː
چونڊي	cˈoːnɖi
همت	həmˈʌt̪
جهم	ɟəhˈʌm
وٺو	ʋˈʌʈʰoː
ھن	hˈɪna
ويجھ	ʋeːɟˈʌh
روسي	rˈoːsi
اڪ	ˈak
معاهدو	maːhˈʌdoː
سگھيا	sˈʌɡʰjaː
ڊائجسٽ	ɖˌaːɪɟəsˈʌʈ
رھڻ	rəhˈʌɳ
چاهيندا	caːhˈiːndaː
هونئن	hoːnˈʌn
عبدالحسين	ˌabdˌaːləhsˈiːn
يقيني	jəqˈiːni
پاڻيء	pˈaːɳi
هڪڙا	həkˈʌr.aː
ڪرائيندا	kˌəraːˈiːndaː
ٿڃ	ʈˈʌɲ
کانئس	kʰaːnˈʌs
ٽڪرن	ʈˌəkərˈʌn
انتشار	ˌɪntɪʃˈaːr
ڌاتو	dʰˈaːt̪oː
نسبتي	nˌəsəbˈʌt̪i
ڳائو	ɡˈaːoː
ڏاڍ	ɖˈaːɖʰ
هيڏانهن	hˌeːɖaːnəhˈʌn
گڏجاڻين	ɡˌəɖɟaːɳˈiːn
اطلاع	atˈʌlaː
اڀو	ˈabʰoː
اوهان	uːhˈaːn
گرو	ɡˈʌroː
رپين	rəpˈiːn
شعبن	ʃˈɔbn
نقشي	nəqˈʌʃi
مرثيو	mərˈʌsjoː
ڪلفٽن	kˌələfəʈˈʌn
خارجي	xaːrˈʌɟi
محفل	mˈɛhfˌɪl
ڪارنامو	kˌaːrnˈaːmoː
ڪمپيوٽر	kˌəmpjoːʈˈʌr
پيار	pjˈaːr
وادي	ʋˈaːdi
پيالو	pjˈaːloː
جيڏي	ɟˈeːɖi
ڪيان	kjˈaːn
قرآن	qərˈaːn
چنيسر	cˌənisˈʌr
فرزند	fˌərəzˈʌnd
نئيگ	nəˈiːɡ
نشيني	nəʃˈiːni
ڪئمبرج	kˌəmbərˈʌɟ
گال	ɡˈaːl
هدايت	hˌədaːˈiːt̪
محرم	mˌəhərˈʌm
فضول	fəzˈoːl
روشن	roːʃˈʌn
ڊانس	ɖˈaːns
ڇڏيون	cʰəɖjˈoːn
هيل	hˈeːl
گذار	ɡəzˈaːr
هلڪا	həlˈʌkaː
دستخط	dˌəst̪əxˈʌt
وسي	ʋˈʌsi
روبرو	roːbˈʌroː
ناناڻن	nˌaːnaːɳˈʌn
مٿانهون	mˌətʰaːnhˈoːn
کڏي	kʰˈʌɖi
گانڌي	ɡˈaːndʰi
نہ	nˈʌh
رمضان	rˌəmzˈaːn
مڃڻ	məɲˈʌɳ
ارشد	ˌarəʃˈʌd
رٿيل	rˈʌtʰjal
ريتي	rˈeːt̪i
رات	rˈaːt̪
وڙھي	ʋˈʌr.hi
پيشاب	peːʃˈaːb
ٽاپ	ʈˈaːp
فرق	fərˈʌq
مظاهرا	mˌəʐaːhˈʌraː
ويندا	ʋˈeːndaː
سموريون	sˌəmoːrjˈoːn
ڊاهي	ɖˈaːhi
ڪانگريس	kˌaːnɡərˈiːs
ڌاڙيلن	dʰˌaːr.ilˈʌn
کارو	kʰˈaːroː
لاڳاپن	lˌaːɡaːpˈʌn
گھڻيون	ɡʰəɳjˈoːn
دهلوي	dəhˈʌlʋi
ڳايل	ɡˈaːjal
پولو	pˈoːloː
جهلڻ	ɟˌəhəlˈʌɳ
ڀل	bʰˈʌl
راڻا	rˈaːɳaː
تبديل	t̪əbˈʌdjal
حقيقي	həqˈiːqi
نج	nˈʌɟ
واٽون	ʋaːʈˈoːn
روايتون	rʋˌaːit̪ˈoːn
هڻندا	həɳˈʌndaː
يارهن	jˌaːrəhˈʌn
فلپ	fəlˈʌp
رزميه	rˌəzmˈiːh
سيد	saˈiːad
اڻويھين	ˌaɳʋihˈiːn
سندن	səndˈʌn
چنبي	cənbˈiː
ٿاڻو	tʰˈaːɳoː
اڄ	ˈaɟ
برهمڻي	bˌərəhəmˈʌɳi
ناھن	naːhˈʌn
حساب	həsˈaːb
پاٺ	pˈaːʈʰ
واهه	ʋaːhˈʌh
بيت	bˈeːt̪
يارھن	jˌaːrəhˈʌn
وفادار	ʋˌəfaːdˈaːr
صوبو	ʂuːbˈoː
علائقي	ˌalaːˈɪqi
مذڪوره	mˌəzkuːrˈʌh
زوردار	zoːrdˈaːr
حمل	həmˈʌl
وفات	ʋˌəfˈaːt
راجائون	rˌaːɟaːˈoːn
مغلن	mˌəɣəlˈʌn
اوندهه	ˌuːndəhˈʌh
نومبر	noːmbˈʌr
ولي	ʋˈʌli
ويهن	ʋeːhˈʌn
فلم	fˈɪlm
ڳالهايون	ɡˌaːlhaːjˈoːn
ڳاله	ɡaːlˈʌh
گهران	ɡˌəhərˈaːn
منظم	mˌənəʐˈʌm
جوزف	ɟoːzˈʌf
ڪڍيائين	kˌəɖʰjaːˈiːn
گا	ɡˈaː
ويجهي	ʋeːɟˈʌhi
پائونڊ	paːˈoːnɖ
ايوارڊ	ˌeːʋaːrˈʌɖ
کل	kʰˈʌl
ھئڻ	hˈʌɳ
مشترڪ	mˌəʃt̪ərˈʌk
ڪنوينشن	kˌənʋinəʃˈʌn
نامزد	nˌaːməzˈʌd
مدفن	mˌədəfˈʌn
طبعزاد	təbˈaːzaːd
خرابين	xˌəraːbˈiːn
قبرن	qˌəbərˈʌn
جذب	ɟəzˈʌb
مجازي	məɟˈaːzi
انور	anˈoːr
فرهنگ	fˌərəhˈʌnɡ
سرن	sərˈʌn
سرشتن	sˌərəʃt̪ˈʌn
نگاهه	nˌəɡaːhˈʌh
کٻڙ	kʰəbˈʌr.
راس	rˈaːs
بالٽڪ	bˈaːləʈˌək
جسامت	ɟˌəsaːmˈʌt̪
اسپيشل	ˌaspiʃˈʌl
آڪٽوبر	ˌaːkʈoːbˈʌr
شاهدي	ʃaːhˈʌdi
مند	mˈʌnd
ڦرلٽ	pʰˌərəlˈʌʈ
راقم	raːqˈʌm
ڀي	bʰˈeː
خوبي	xoːbˈiː
ٽم	ʈˈʌm
انڊيز	ɪnɖˈiːz
ڪاٺ	kˈaːʈʰ
سسئي	səsˈʌi
برف	bərˈʌf
ڪپڙي	kəpˈʌr.i
سرمائيدار	sˌərmˌaːidˈaːr
ڌار	dʰˈaːr
هوس	hˈoːs
وڊيوز	ʋəɖjˈoːz
دانهون	dˌaːnhˈoːn
سرڪار	sˌərkˈaːr
خيالات	xjˌaːlˈaːt
ڪلي	kˈʌli
پاڳارو	paːɡˈaːroː
حد	hˈʌd
تخيل	t̪ˈʌxjal
لڙائين	lˌər.aːˈiːn
گيتن	ɡeːt̪ˈʌn
بااختيار	bˈaːaːxt̪jˌaːr
عهدا	ahˈʌdaː
دنگ	dˈʌnɡ
ورهائي	ʋˌərhˈaːi
صاحبي	ʂˌaːhbˈiː
ٿرين	ʈərˈiːn
ڦاٽ	pʰˈaːʈ
شهنشاهه	ʃˌəhənʃaːhˈʌh
پھريان	pˌəhrjˈaːn
ون	ʋˈʌn
فيصلا	feːʂˈʌlaː
خاطري	xaːtˈʌri
سميجن	sˌəmiɟˈʌn
استعمال	ɪstˈeːmaːl
ہے	hˈʌeː
نانگ	nˈaːnɡ
ڪوڊ	kˈoːɖ
تاڪن	t̪aːkˈʌn
ضابطن	zˌaːbətˈʌn
طهر	təhˈʌr
بندش	bəndˈʌʃ
شاهپور	ʃˌaːhəpˈoːr
وديا	ʋˈʌdjaː
ملھائيندا	mˌəlhaːˈiːndaː
هونديون	hũːdjˈoːn
ڪمپيوٽرن	kˌəmpjoːʈərˈʌn
اسراڻ	ˌasrˈaːɳ
اوائلي	ˌuːaːˈɪli
وٿي	ʋˈʌtʰi
ڀيلن	bʰeːlˈʌn
ڇپي	cʰˈʌpi
ڊگهن	ɖˌəɡəhˈʌn
ثقل	səqˈʌl
ٺهيو	ʈʰˈʌhjoː
نڪتل	nˌəkət̪ˈʌl
پڇ	pˈʌcʰ
چوهاڻ	coːhˈaːɳ
گئسي	ɡˈʌsi
پوکجي	poːkʰˈʌɟi
پوٽو	pˈoːʈoː
بچائي	bəcˈaːi
يونيورسٽي	jˌoːnjoːrəsˈʌʈi
ھجرت	hˌəɟərˈʌt̪
ھيو	hjˈoː
ممبئي	məmbˈʌi
سفارتي	sˌəfaːrˈʌt̪i
گهڻين	ɡˌəhəɳˈiːn
بابا	bˈaːbˈaː
مدرسا	mˌədərˈʌsaː
جانچ	ɟˈaːnc
بکر	bəkʰˈʌr
ڪنوار	kənʋˈaːr
چارلس	cˌaːrəlˈʌs
ــ	lˈetəcʰˈahacˈaːrbˈʊr.ilˈetəcʰˈahacˈaːrbˈʊr.i
ڏيندا	ɖˈeːndaː
سماچار	sˌəmaːcˈaːr
ڪيمپس	keːmpˈʌs
معائنو	maːˈɪnoː
ڪمايو	kəmˈaːjoː
آخرڪار	ˌaːxərkˈaːr
ھندو	hˈʌndoː
اوھان	uːhˈaːn
آڱر	ˌaːŋ̩ˈʌr
رھنمائي	rˌəhənmˈaːi
شئي	ʃˈʌi
اڪليز	ˌaklˈiːz
الائنس	ˌalaːˈɪns
ايئر	eːˈɪr
بيزار	bˈeːzaːr
وهڪري	ʋˌəhəkˈʌri
انداز	andˈaːz
گھوڙو	ɡʰˈoːr.oː
هدايتڪار	hˌədaːˌiːt̪kˈaːr
اوسط	uːsˈʌt
ڏوهن	ɖoːhˈʌn
پسارڪي	pˌəsaːrˈʌki
اسٿان	ˌastʰˈaːn
هيٺان	heːʈʰˈaːn
ڪلا	kˈʌlaː
مڪتبه	mˌəkət̪əbˈʌh
داستانن	dˌaːst̪aːnˈʌn
ڊگھيون	ɖəɡʰjˈoːn
جوڙڻ	ɟoːr.ˈʌɳ
گوگل	ɡoːɡˈʌl
جر	ɟˈʌr
استاد	ast̪ˈaːd
ذريعو	zərˈiːoː
هليو	hˈʌljoː
يوسي	jˈoːsi
هڪجهڙائي	hˌəkəɟˌəhər.ˈaːi
موڙي	mˈoːr.i
ڪندس	kəndˈʌs
جهمر	ɟˌəhəmˈʌr
روايت	rʋaːˈiːt̪
چيل	cˈeːl
مطلق	mˌətəlˈʌq
ڌيء	dʰˈeː
شهري	ʃəhˈʌri
درهم	dˌərəhˈʌm
سرواڻي	sərʋˈaːɳi
گئس	ɡˈʌs
لاڳاتار	lˌaːɡaːt̪ˈaːr
ڀاڳ	bʰˈaːɡ
زوري	zˈoːri
ٽوڙڻ	ʈoːr.ˈʌɳ
پهچايو	pˌəhəcˈaːjoː
ساز	sˈaːz
کوڙي	kʰˈoːr.i
پرست	pərˈʌst̪
گھرڙيائي	ɡʰˌərr.jˈaːi
سانوڻ	saːnˈoːɳ
اويس	uːˈiːs
رت	rˈʌt̪
پاپولر	pˌaːpoːlˈʌr
آف	ˈaːf
تخت	t̪ˈʌxt̪
کارائجي	kʰˌaːraːˈɪɟi
خانم	xaːnˈʌm
امتياز	ˌamt̪jˈaːz
ورتي	ʋərˈʌt̪i
ايڊيشنل	ˌeːɖiʃənˈʌl
سوٽ	sˈoːʈ
فدا	fˈʌdaː
گولڊ	ɡoːlˈʌɖ
نمڪين	nˌəmkˈiːn
ادارن	ˌadaːrˈʌn
ھمايون	hˌəmaːjˈoːn
جملن	ɟˈʊmln
سينٽرل	sˌeːnəʈərˈʌl
ڌريون	dʰərjˈoːn
ٻھ	bˈʌh
سلهاڙيل	sˌəlhˈaːr.jal
اصحابي	ˌaʂhaːbˈiː
سڏي	sˈʌɖi
عطا	ˈataː
لاء	lˈaː
عربستان	ˌarəbˈɪstaːn
حوالي	haʋˈaːli
مرڪزن	mˌərəkəzˈʌn
ويڪرا	ʋeːkˈʌraː
حلقي	həlˈʌqi
ٻيجل	beːɟˈʌl
مارڪس	mˌaːrəkˈʌs
سوڙهو	soːr.ˈʌhoː
ٻچن	bəcˈʌn
قبيلي	qəbˈiːli
ڪردار	kərdˈaːr
برهم	bˌərəhˈʌm
چيف	cˈeːf
دست	dˈʌst̪
سرگرمين	sˌarɡˈarmin
کارائڻ	kʰˌaːraːˈɪɳ
سين	sˈeːn
گھرجي	ɡʰərˈʌɟi
تفصيلي	t̪ˌəfʂˈiːli
اتحادين	ˌat̪haːdˈiːn
آڳاٽو	aːɡˈaːʈoː
موسي	mˈoːsi
اسپيڪر	ˌaspikˈʌr
رسمون	rˌəsmˈuːn
ھوائن	hʋaːˈɪn
استادن	ˌast̪aːdˈʌn
معاهدي	maːhˈʌdi
رکي	rˈʌkʰi
ساڃاهه	sˌaːɲaːhˈʌh
موڪل	moːkˈʌl
ايٽ	ˈeːʈ
بهتر	bˌəhət̪ˈʌr
نياز	njˈaːz
آنرري	ˌaːnərˈʌri
معمولي	maːmˈoːli
اچارن	ˌacaːrˈʌn
ڪرڻي	kərˈʌɳi
ضبط	zəbˈʌt
سڌارڻ	sˌədʰaːrˈʌɳ
ضرورت	zˌaruːrˈʌt̪
حقيقت	hˌəqiqˈʌt̪
پڄاڻي	pəɟˈaːɳi
ٻڌائن	bˌədʰaːˈɪn
پويون	pʋjˈoːn
رڪارڊ	rˌəkaːrˈʌɖ
کوٽيل	kʰˈoːʈjal
بونا	bˈoːnaː
سنٿالن	sˌəntʰaːlˈʌn
اهيو	ˈahjoː
کيڏي	kʰˈeːɖi
گھڻو	ɡʰˈʌɳoː
ساڪن	saːkˈʌn
منجھ	mˌənəɟˈʌh
لاکاٽ	laːkʰˈaːʈ
معلوماتي	mˌaːloːmˈaːt̪i
چناب	cənˈaːb
ڏسجي	ɖɪsˈʌɟi
سنڍ	sənˈʌɖʰ
مصلحت	mˌəʂələhˈʌt̪
ضعيف	zaːˈiːf
ميٿيو	mˈeːtʰjoː
روح	rˈoːh
منظور	mˌanʐˈuːr
مهرباني	mˌəhərbˈaːni
ڏھون	ɖəhˈoːn
منعقد	mˌənaːqˈʌd
قد	qˈʌd
سومر	soːmˈʌr
فرمائش	fˌərmaːˈɪʃ
رهايو	rəhˈaːjoː
اڇي	ˈacʰi
ٽٽي	ʈˈʌʈi
فائدا	faːˈɪdaː
صوبيدار	ʂuːbˈiːdaːr
ماکي	mˈaːkʰi
فاطمي	faːtˈʌmi
صديون	ʂədjˈoːn
يورپ	joːrˈʌp
گڏو	ɡˈʌɖoː
ساڻس	saːɳˈʌs
وينجهري	ʋˌeːnəɟəhˈʌri
جئين	ɟəˈiːn
ٻارن	baːrˈʌn
هيرا	hˈeːraː
عوامي	aʋˈaːmi
ماريو	mˈaːrjoː
ايڏي	ˈeːɖi
ڦاٽي	pʰˈaːʈi
ترديد	t̪ərdˈiːd
روم	rˈoːm
خانا	xˈaːnaː
رابطن	rˌaːbətˈʌn
چادرون	cˌaːdrˈoːn
رهجي	rəhˈʌɟi
آچر	aːcˈʌr
لڪيل	lˈʌkjal
ڇتي	cʰˈʌt̪i
اشتهار	ˌɪʃtɪhˈaːr
تقريرن	t̪ˌəqrirˈʌn
ڪرنل	kˌərənˈʌl
چاڙھيو	cˈaːr.hjoː
گلاس	ɡəlˈaːs
ٿوري	tʰˈoːri
مقدس	mˌəqədˈʌs
ڪلاڪ	kəlˈaːk
سڪون	səkˈoːn
ڀائيچاري	bʰˌaːicˈaːri
پرديسي	pərdˈiːsi
جگر	ɟəɡˈʌr
ڍڳي	ɖʰˈʌɡi
خالي	xˈaːli
نڪرڻ	nˈɪkrɳ
علحدگي	ˌaləhədˈʌɡi
گپتا	ɡəpˈʌt̪aː
راء	rˈaː
ڄاول	ɟaːˈoːl
ڊرامو	ɖərˈaːmoː
ٻوڙا	bˈoːr.aː
سؤٽ	səˈa͡ʊʈ
خضدار	xˌəzdˈaːr
سام	sˈaːm
روحانيت	rˌoːhaːnˈiːt̪
ننڍپڻ	nˌənəɖʰəpˈʌɳ
ذميدار	zˌəmidˈaːr
ملازمت	mˌəlaːzəmˈʌt̪
نياڻين	njaːɳˈiːn
هائوس	haːˈoːs
سيٺ	sˈeːʈʰ
ميڊل	meːɖˈʌl
فال	fˈaːl
درگاهه	dˌərɡaːhˈʌh
آڻبو	ˌaːɳbˈoː
قابليت	qˌaːblˈiːt̪
پنهنجون	pʌ̃hnɟˈoːn
پبلشر	pˌəbələʃˈʌr
وڍي	ʋˈʌɖʰi
آئلينڊز	ˌaːɪlinɖˈʌz
نمونن	nˌəmoːnˈʌn
ڪمپنين	kˌəmpənˈiːn
خسرو	xəsˈʌroː
ٽائيلن	ʈˌaːilˈʌn
ھلايو	həlˈaːjoː
واسديو	ʋaːsˈʌdjoː
پنج	pənˈʌɟ
پيدا	pˈeːdaː
بادي	bˈaːdi
تراب	t̪ərˈaːb
جميعت	ɟəmˈiːt̪
هال	hˈaːl
بيلي	bˈeːli
ڇاڇري	cʰaːcʰˈʌri
سٽ	sˈʌʈ
بارود	bˈaːroːd
سورج	soːrˈʌɟ
ڀڳو	bʰˈʌɡoː
ملت	məlˈʌt̪
وارياسي	ʋaːrjˈaːsi
ڀلي	bʰˈʌli
طريقا	tərˈiːqaː
مفت	məfˈʌt̪
خاصخيلي	xˌaːʂxˈiːli
سڪن	səkˈʌn
محاصرو	mˌəhaːʂˈʌroː
سوم	sˈoːm
هجرت	hˌəɟərˈʌt̪
ڪڍڻ	kəɖʰˈʌɳ
وڪڙن	ʋˌəkər.ˈʌn
ورھين	ʋˌərhˈiːn
ڪاٺين	kaːʈʰˈiːn
ڏھن	ɖəhˈʌn
ابوالبقا	abʋˈaːləbqaː
قيمتون	qˌeːmt̪ˈoːn
فيچر	feːcˈʌr
ساگر	saːɡˈʌr
اطمينان	ˌatminˈaːn
علاوہ	ˌalaːˈoːh
تڪن	t̪əkˈʌn
ايسٽ	eːsˈʌʈ
حوض	hˈoːz
سيني	sˈeːni
وصفون	ʋˌəʂfˈoːn
ٽڪرائجي	ʈˌəkraːˈɪɟi
مشاعرن	mˌəʃaːˈaːɪrn
بادشاھ	bˈaːdʃˌaːh
عهدو	ahˈʌdoː
زندهه	zˈɪndhəh
ارتقا	ˌɪrtˈɪqaː
ابوالحسن	abʋˈaːləhˌəsən
وڌندا	ʋədʰˈʌndaː
هزارين	hˌəzaːrˈiːn
سمجهن	sˌəməɟəhˈʌn
طرح	tˌərˈah
مليو	mˈʌljoː
پئي	pˈʌi
ابدي	abˈʌdi
جلندر	ɟˌələndˈʌr
عجائب	ˌaɟaːˈɪb
قطعي	qətˈaːi
ملائي	məlˈaːi
ڏاڪڻ	ɖaːkˈʌɳ
راحت	raːhˈʌt̪
سوئي	sˈoːi
اسڪين	ˌaskˈiːn
پوليٽيڪل	pˌoːliʈikˈʌl
ويڙھاڪ	ʋeːr.hˈaːk
ميلو	mˈeːloː
ورڇ	ʋərˈʌcʰ
نادر	naːdˈʌr
ذاتين	zaːt̪ˈiːn
گدلاڻ	ɡˌədlˈaːɳ
غير	ɣˈeːr
ٻچي	bˈʌci
سچي	sˈʌci
مورتي	moːrˈʌt̪i
سيارچن	sjaːrcˈʌn
سگهجي	sˌəɡəhˈʌɟi
عضوي	ˈazʋi
دسترس	dˌəst̪ərˈʌs
ڪين	kˈeːn
وسندي	ʋəsˈʌndi
شر	ʃˈʌr
لڳولڳ	lˌəɡoːlˈʌɡ
ڦڙا	pʰˈʌr.aː
شوري	ʃˈoːri
رقص	rəqˈʌʂ
خانه	xaːnˈʌh
اسٽوڊيو	ˌasʈˈoːɖjoː
گز	ɡˈʌz
هيٺاهين	hˌeːʈʰaːhˈiːn
اسٽيٽس	ˌasʈiʈˈʌs
خانپور	xaːnpˈoːr
ڪوٽڙي	koːʈˈʌr.i
معافي	mˈaːfi
دوا	dʋˈaː
مقدار	mˌəqdˈaːr
مذهبن	mˌəzəhəbˈʌn
وڙهڻ	ʋˌər.əhˈʌɳ
ڏنل	ɖˈɪnal
هارمون	hˌaːrmˈoːn
عددن	ˌadədˈʌn
داٻ	dˈaːb
فردن	fərdˈʌn
سوا	sʋˈaː
متن	mət̪ˈʌn
ثابت	saːbˈɪt̪
ٿورڙو	tʰoːrˈʌr.oː
پاليسي	paːlˈiːsi
مقصدن	mˌəqəʂədˈʌn
روپيه	roːpˈiːh
تجرباتي	t̪ˌəɟərbˈaːt̪i
سرو	sˈʌroː
پوکڻ	poːkʰˈʌɳ
ويٺل	ʋeːʈʰˈʌl
مرحلي	mˌərəhˈʌli
دير	dˈeːr
پرواهه	pˌərʋaːhˈʌh
تيليگو	t̪eːlˈiːɡoː
فطرت	fˌətərˈʌt̪
عرساڻي	ˌarsˈaːɳi
هوڏي	hˈoːɖi
پراڻيون	pˌəraːɳjˈoːn
تجربن	t̪ˌəɟərəbˈʌn
شڪايت	ʃˌəkaːˈiːt̪
بگھڙ	bəɡʰˈʌr.
الثاني	ˌalsˈaːni
اوسي	ˈuːsi
تازي	t̪ˈaːzi
عيسوي	aˈiːsʋi
پروڊيوسر	pˌəroːɖjoːsˈʌr
ڇاڻي	cʰˈaːɳi
دستور	dəst̪ˈuːr
ڇاپاڪو	cʰaːpˈaːkoː
گاه	ɡˈaːh
مشاهدو	mˌəʃaːhˈʌdoː
عبدالڪريم	ˌabdˌaːləkrˈiːm
تجربيڪار	t̪ˌəɟərbˈiːkaːr
اڏيرولال	ˌaɖiroːlˈaːl
شين	ʃˈeːn
برعڪس	bˌəraːkˈʌs
لوڪلبورڊ	lˌoːkəlbˈoːrəɖ
ريت	rˈeːt̪
شاھپور	ʃˌaːhpˈoːr
ياسين	jaːsˈiːn
انبن	anbˈʌn
گرامر	ɡˌəraːmˈʌr
لڏپلاڻ	lˌəɖəplˈaːɳ
سهولتون	sˌəhoːlt̪ˈoːn
ڦٽل	pʰəʈˈʌl
وان	ʋˈaːn
ڳنڍين	ɡˌənɖʰˈiːn
سيکاٽ	seːkʰˈaːʈ
ويلي	ʋˈeːli
ڌوئي	dʰˈoːi
اعتراض	ˌeːtɪrˈaːz
نياڻي	njˈaːɳi
ڌوڙ	dʰˈoːr.
آنرس	ˌaːnərˈʌs
يوروپا	joːrˈoːpaː
معاشرتي	mˌaːʃərˈʌt̪i
سڳورن	sˌəɡoːrˈʌn
موريا	mˈoːrjaː
پوشاڪ	poːʃˈaːk
پاڻهي	paːɳˈʌhi
ٿيڻو	tʰˈeːɳoː
ڳولڻ	ɡoːlˈʌɳ
بل	bˈʌl
رنگريز	rˌənɡərˈiːz
احد	ˈɛhd
چنبا	cənbˈaː
حالتن	hˌaːlət̪ˈʌn
برجن	bˌərəɟˈʌn
ريڻ	rˈeːɳ
پئجي	pˈʌɟi
صاحبن	ʂˌaːhəbˈʌn
پنجاهه	pˌənɟaːhˈʌh
نتيجي	nət̪ˈiːɟi
ورسي	ʋərˈʌsi
ٺوڙهي	ʈʰoːr.ˈʌhi
ڳالهائيندو	ɡˌaːlhaːˈiːndoː
بيضوي	bˈeːzʋi
گروهه	ɡˌəroːhˈʌh
آهيان	aːhjˈaːn
عرصو	arˈʌʂoː
ڦهلجي	pʰˌəhəlˈʌɟi
گهير	ɡəhˈiːr
فهميده	fˌəhəmidˈʌh
الحسين	ˌaləhsˈiːn
وڪالت	ʋˌəkaːlˈʌt̪
علامتن	ˌalaːmət̪ˈʌn
مرتبو	mˌərət̪bˈoː
چوپايو	coːpˈaːjoː
ويڙهي	ʋeːr.ˈʌhi
سرجن	sˌərəɟˈʌn
چنگيز	cənɡˈiːz
چيائين	cjaːˈiːn
پڪو	pˈʌkoː
مهلب	mˌəhəlˈʌb
سهڻي	səhˈʌɳi
لوهه	loːhˈʌh
شڪاري	ʃəkˈaːri
نظريا	naʐˈarjaː
اوني	ˈuːni
ڪجھہ	kˌəɟəhˈʌh
محبت	mˌəhəbˈʌt̪
نبي	nəbˈiː
اڻلڀ	ˌaɳəlˈʌbʰ
گرلس	ɡˌərəlˈʌs
سٺن	səʈʰˈʌn
سونو	sˈoːnoː
گهوڙن	ɡˌəhoːr.ˈʌn
صورت	ʂoːrˈʌt̪
تقويت	t̪əqʋˈiːt̪
ويهاري	ʋeːhˈaːri
دوست	dˈoːst̪
شارٽ	ʃaːrˈʌʈ
قابض	qaːbˈɪz
درويشن	dˌərʋiʃˈʌn
بابن	bˈaːbɪn
مگسي	məɡˈʌsi
نظارو	nəʐˈaːroː
شمل	ʃəmˈʌl
منتقل	mˌənət̪əqˈʌl
ٽئي	ʈˈʌi
سرگس	sˌərəɡˈʌs
سربراهي	sˌərəbrˈaːhi
رستم	rəst̪ˈʌm
بھاول	bˌəhaːˈoːl
منظرن	mˌanʐˈarn
مبني	məbˈʌni
ٽيليفون	ʈˌeːlifˈoːn
خلجي	xəlˈʌɟi
ذرو	zˈʌroː
آڪاش	aːkˈaːʃ
شهزادو	ʃˌəhəzˈaːdoː
صلح	ʂˌəlˈah
چئجي	cˈʌɟi
مجرب	mˌəɟərˈʌb
ماڻيندڙ	mˌaːɳindˈʌr.
ڦرڙين	pʰˌərr.ˈiːn
اڳوڻي	aɡˈoːɳi
دوائن	dʋaːˈɪn
ساڙيو	sˈaːr.joː
چڙهيو	cər.ˈʌhjoː
مشين	məʃˈiːn
تيرهن	t̪ˌeːrəhˈʌn
ويل	ʋˈajal
نظرئي	naʐˈari
لانگ	lˈaːnɡ
ديوارون	djʋaːrˈoːn
وارهه	ʋˌaːrəhˈʌh
سلطان	sˌəltˈaːn
مکڻ	məkʰˈʌɳ
مزاجن	mˌəzaːɟˈʌn
فلمساز	fˈɪlmsaːz
پاڳاري	paːɡˈaːri
چندي	cˈʌndi
ٻاراڻو	baːrˈaːɳoː
ڪاراباخ	kˌaːraːbˈaːx
ڪاما	kˈaːmaː
ٿيا	tʰjˈaː
منوره	mˌənoːrˈʌh
چوٿين	coːtʰˈiːn
ڪوٺجي	koːʈʰˈʌɟi
ڪرن	kərˈʌn
ڄامشوري	ɟˌaːmʃˈoːri
ڊارون	ɖaːrˈoːn
ال	ˈal
ناهن	naːhˈʌn
نظرداري	naʐˈardaːrˌiː
نورجهان	nˌoːrəɟhˈaːn
رياض	rjˈaːz
ٽيڪ	ʈˈeːk
رفيق	rəfˈiːq
ھجن	həɟˈʌn
گروه	ɡərˈoːh
واضح	ʋˌaːzˈah
شام	ʃˈaːm
واڳون	ʋaːɡˈoːn
هير	hˈeːr
جھڙو	ɟəhˈʌr.oː
ضلعو	zəlˈaːoː
خزانو	xəzˈaːnoː
عربي	ˌarbˈiː
حساس	həsˈaːs
ورھائي	ʋˌərhˈaːi
دانشورن	dˌaːnʃoːrˈʌn
سندري	səndˈʌri
لنگر	lənɡˈʌr
گيلاني	ɡeːlˈaːni
والدين	ʋˌaːldˈiːn
آمريڪا	ˌaːmrˈiːkaː
گوڪل	ɡoːkˈʌl
گهمي	ɡəhˈʌmi
جيترا	ɟeːt̪ˈʌraː
بيتن	bˈeːt̪ən
قاعدن	qˈaːjdn
پيتي	pˈeːt̪i
ڀتين	bʰət̪ˈiːn
لڪائي	ləkˈaːi
لڳندي	ləɡˈʌndi
وٽامن	ʋˌəʈaːmˈʌn
سلطانن	sˌəltaːnˈʌn
صفحن	ʂˌəfəhˈʌn
انفرا	ˌanəfˈʌraː
فوجون	foːɟˈoːn
ذڪر	zəkˈʌr
پکيڙڻ	pˌəkʰir.ˈʌɳ
پهچندو	pˌəhəcˈʌndoː
افساني	ˌafsˈaːni
پڻي	pˈʌɳi
ڪھاڻين	kˌəhaːɳˈiːn
ٻڌبو	bˌədʰbˈoː
زباني	zəbˈaːni
عهدن	ˌahədˈʌn
غلبو	ɣˌəlbˈoː
لئنگئيج	lˌənɡəˈiːɟ
مهدي	məhˈʌdi
پراڻ	pərˈaːɳ
اوڏانهن	ˌuːɖaːnəhˈʌn
کتري	kʰət̪ˈʌri
انٽرنيشنل	ˌanəʈˌərnˌiːʃənˈʌl
رٻڙ	rəbˈʌr.
جلي	ɟˈʌli
ميڙ	mˈeːr.
