呼呼	xu˥˥xu˥˥
害群之馬	xaɪ˥˩tɕʰyn˧˥ʈʂɚ˥˥ma˨˩˦
茅屋	mɑʊ˧˥u˥˥
鬰	y˥˩
倒閣	tɑʊ˨˩˦kɤ˧˥
相鄰	ɕjɑŋ˥˥lɪn˧˥
裝瘋賣傻	ʈʂwɑŋ˥˥fɤŋ˥˥maɪ˥˩ʂa˨˩˦
誠	ʈʂʰɤŋ˧˥
䄎	tɕʰi˨˩˦
擔架牀	tan˥˥tɕja˥˩ʈʂʰwɑŋ˧˥
熏熏	ɕyn˥˥ɕyn˥˥
緣分	ɥœn˧˥fən˥˩
㺱	ʐɤŋ˧˥
靖	tɕɪŋ˥˩
㧰	li˥˩
疼愛	tʰɤŋ˧˥aɪ˥˩
湊數	tsʰoʊ˥˩ʂu˥˩
箷	ʂɚ˥˥
㣏	tɕɪŋ˥˩
滹	xu˨˩˦,xu˥˥
讒言	ʈʂʰan˧˥jɛn˧˥
㸋	fan˧˥
鵊	tɕja˧˥
歌頌	kɤ˥˥sʊŋ˥˩
從母兄弟	tsʊŋ˥˩mu˨˩˦ɕjʊŋ˥˥ti˥˩,tsʰʊŋ˧˥mu˨˩˦ɕjʊŋ˥˥ti˥˩
䄙	mɪŋ˧˥
瓦斯	wa˨˩˦sɯ˥˥
兇殘	ɕjʊŋ˥˥tsʰan˧˥
假借	tɕja˨˩˦tɕjɛ˥˩
㤴	ɕi˧˥
湛	tan˥˥,tʰan˧˥,tɕɪn˥˩,tɕjɛn˥˥,ʈʂan˥˩,ʈʂʰən˧˥
中傷	ʈʂʊŋ˥˩ʂɑŋ˥˥
欲蓋彌彰	y˥˩kaɪ˥˩mi˧˥ʈʂɑŋ˥˥
儔類	ʈʂʰoʊ˧˥leɪ˥˩
唇點	ʈʂʰuən˧˥tjɛn˨˩˦
剮	kwa˨˩˦
癌	aɪ˧˥,jɛn˧˥
有一說一，有二說二	joʊ˨˩˦i˥˥ʂuɔ˥˥i˥˥joʊ˨˩˦aɻ˥˩ʂuɔ˥˥aɻ˥˩
一場夢	i˥˩ʈʂʰɑŋ˧˥mɤŋ˥˩
丶	ʈʂu˨˩˦
和藹	xɤ˧˥aɪ˨˩˦
善	ʂan˥˩
梵文	fan˥˩uən˧˥
冷血動物	lɤŋ˨˩˦ɕɥœ˥˩tʊŋ˥˩u˥˩
㙈	xan˧˥,ɕja˥˩
資訊	tsɯ˥˥ɕyn˥˩
帯	taɪ˥˩
橡皮擦	ɕjɑŋ˥˩pʰi˧˥tsʰa˥˥
圫	ɑʊ˥˩,y˥˩
䚳	ɕjɛ˥˩,ʈʂɚ˥˩
撼動人心	xan˥˩tʊŋ˥˩ʐən˧˥ɕɪn˥˥
研讀	jɛn˧˥tu˧˥
䱟	tɕy˥˩
口香糖	kʰoʊ˨˩˦ɕjɑŋ˥˥tʰɑŋ˧˥
挫敗	tsʰuɔ˥˩paɪ˥˩
儔伴	ʈʂʰoʊ˧˥pan˥˩
渾蟲	xuən˧˥ʈʂʰʊŋ˧˥
遲	ʈʂʰɚ˧˥,ɕi˥˥,ʈʂɚ˧˥,ʈʂɚ˥˩
稶	y˥˩
山窮水盡	ʂan˥˥tɕʰjʊŋ˧˥ʂweɪ˨˩˦tɕɪn˥˩
趕進去	kan˨˩˦tɕɪn˥˩tɕʰy˥˩
模特	mɔ˧˥tʰɤ˥˩
庸俗	jʊŋ˥˥su˧˥
䯀	njɛ˥˩
步調	pu˥˩tjɑʊ˥˩
幽於縲紲	joʊ˥˥y˧˥leɪ˧˥ɕjɛ˥˩
女廁所	ny˨˩˦tsʰɤ˥˩suɔ˨˩˦
銅	tʰʊŋ˧˥
收起來	ʂoʊ˥˥tɕʰi˧laɪ˧˥
若時	ʐuɔ˥˩ʂɚ˧˥
餵哺	weɪ˥˩pu˨˩˦
鄟	ʈʂwan˥˥
茂盛	mɑʊ˥˩ʂɤŋ˥˩
嫀	tɕʰɪn˧˥
沍	xu˥˩
槍殺案	tɕʰjɑŋ˥˥ʂa˥˥an˥˩
開源	kʰaɪ˥˥ɥœn˧˥
陽痿	jɑŋ˧˥weɪ˨˩˦
左支右吾	tsuɔ˨˩˦ʈʂɚ˥˥joʊ˥˩u˧˥
庚戌年	kɤŋ˥˥ɕy˥˥njɛn˧˥
麬	fu˥˥
蹓	ljoʊ˥˩,ljoʊ˥˥
䄩	nɑʊ˧˥,i˥˩
縒	tsʰuɔ˨˩˦
疨	ɕja˥˥
徐緩	ɕy˧˥xwan˨˩˦
䂯	kuaɪ˥˩,kwan˥˩
亟	tɕʰi˥˩,tɕi˧˥
鸑	ɥœ˥˩
銀	ɪn˧˥
訸	xɤ˧˥
動漫	tʊŋ˥˩man˥˩
虎將	xu˨˩˦tɕjɑŋ˥˩
豢養	xwan˥˩jɑŋ˨˩˦
舌苔	ʂɤ˧˥tʰaɪ˥˥
搗衣	tɑʊ˨˩˦i˥˥
血流如注	ɕɥœ˥˩ljoʊ˧˥ʐu˧˥ʈʂu˥˩
飌	fɤŋ˥˥
䖆	njɑŋ˥˩
䃇	mjɛn˧˥
㝍	ɕjɛ˨˩˦
優裕	joʊ˥˥y˥˩
阿兵哥	a˥˥pɪŋ˥˥kɤ˥˥
懛	taɪ˥˥
羊桃	jɑŋ˧˥tʰɑʊ˧˥
歡迎光臨	xwan˥˥ɪŋ˧˥kwɑŋ˥˥lɪn˧˥
墿	i˥˩
粝	li˥˩
橫斷面	xɤŋ˧˥twan˥˩mjɛn˥˩
歌唱	kɤ˥˥ʈʂʰɑŋ˥˩
扅	i˧˥
昨晚	tsuɔ˧˥wan˨˩˦
㣛	tʰa˥˩
堢	pɑʊ˨˩˦
商酌	ʂɑŋ˥˥ʈʂuɔ˧˥
㠱	tɕʰi˨˩˦,tɕi˥˩
衉	kʰɤ˥˩
大小姐	ta˥˩ɕjɑʊ˨˩˦tɕjɛ˨˩˦
擯除	pɪn˥˩ʈʂʰu˧˥
闑	njɛ˥˩
䝥	xɑʊ˧˥
冶色	jɛ˨˩˦sɤ˥˩
㑄	u˨˩˦
吐字清楚	tʰu˨˩˦tsɯ˥˩tɕʰɪŋ˥˥ʈʂʰu˨˩˦,tʰu˨˩˦tsɯ˥˩tɕʰɪŋ˥˥ʈʂʰu˧
䣮	pʰɔ˥˩
柬	tɕjɛn˨˩˦
先驅	ɕjɛn˥˥tɕʰy˥˥
腤	an˥˥
蒚	xɤ˧˥
圤	pʰu˧˥,pʰu˨˩˦
虛心接受	ɕy˥˥ɕɪn˥˥tɕjɛ˥˥ʂoʊ˥˩
通宵	tʰʊŋ˥˥ɕjɑʊ˥˥
翅	ʈʂʰɚ˥˩
眾口鑠金	ʈʂʊŋ˥˩kʰoʊ˨˩˦ʂuɔ˥˩tɕɪn˥˥
嗔著	ʈʂʰən˥˥ʈʂɤ˧
鳥類	njɑʊ˨˩˦leɪ˥˩
憥	lɑʊ˧˥
溥	fu˥˥,pɔ˧˥,pʰu˨˩˦,pu˥˩,pʰɔ˥˩
梩	li˧˥,sɯ˥˩
領先	lɪŋ˨˩˦ɕjɛn˥˥
璘	lɪn˧˥
妓女	tɕi˥˩ny˨˩˦
構造	koʊ˥˩tsɑʊ˥˩
営	ɪŋ˧˥
戒指	tɕjɛ˥˩ʈʂɚ˨˩˦,tɕjɛ˥˩ʈʂɚ˧
量杯	ljɑŋ˧˥peɪ˥˥
鏡	tɕɪŋ˥˩
上節目	ʂɑŋ˥˩tɕjɛ˧˥mu˥˩
祕魯	pi˥˩lu˨˩˦,mi˥˩lu˨˩˦
馗	kʰweɪ˧˥,tɕʰjoʊ˧˥
當會計	tɑŋ˥˥kʰuaɪ˥˩tɕi˥˩
恱	ɥœ˥˩
鞋子	ɕjɛ˧˥tsɯ˧
泗	sɯ˥˩
整容	ʈʂɤŋ˨˩˦ʐʊŋ˧˥
名人軼事	mɪŋ˧˥ʐən˧˥i˥˩ʂɚ˥˩
眩	ɕɥœn˥˩,tɕɥœn˥˩,xwan˥˩
褯	tɕjɛ˥˩
栘	i˧˥,i˨˩˦
慈悲	tsʰɯ˧˥peɪ˥˥
朚	xwɑŋ˥˥
錦	tɕɪn˨˩˦
挑起大旗	tʰjɑʊ˨˩˦tɕʰi˨˩˦ta˥˩tɕʰi˧˥
䬊	tɕʰjɛ˥˩,ʂa˥˩
鉂	ʂɚ˨˩˦
䔰	fu˥˩,fu˧˥
懌	i˥˩
螑	tɕʰjoʊ˥˩
小鬼	ɕjɑʊ˨˩˦kweɪ˨˩˦
悖言	peɪ˥˩jɛn˧˥
身在福中不知福	ʂən˥˥tsaɪ˥˩fu˧˥ʈʂʊŋ˥˥pu˥˩ʈʂɚ˥˥fu˧˥
惇篤	tuən˥˥tu˧˥
收取	ʂoʊ˥˥tɕʰy˨˩˦
下舖	ɕja˥˩pʰu˥˩
查點人數	tjɛn˨˩˦ʈʂʰa˧˥ʐən˧˥ʂu˥˩
別無選擇	pjɛ˧˥u˧˥ɕɥœn˨˩˦tsɤ˧˥
罔	wɑŋ˨˩˦,wɑŋ˧˥
庚寅年	kɤŋ˥˥ɪn˧˥njɛn˧˥
掖給	jɛ˥˥keɪ˨˩˦
獰笑	nɪŋ˧˥ɕjɑʊ˥˩
立正站好	li˥˩ʈʂɤŋ˥˩ʈʂan˥˩xɑʊ˨˩˦
榘	tɕy˨˩˦
檜	kweɪ˥˩,xweɪ˥˩,kʰuaɪ˥˩
歆	ɕɪn˥˥
昏頭轉向	xuən˥˥tʰoʊ˧˥ʈʂwan˨˩˦ɕjɑŋ˥˩
球鞋	tɕʰjoʊ˧˥ɕjɛ˧˥
璐	lu˥˩
䬦	toʊ˥˩
監護	tɕjɛn˥˥xu˥˩
猩猩	ɕɪŋ˥˥ɕɪŋ˥˥
恜	ʈʂʰɚ˥˩
䅯	tʰɑŋ˧˥
廣泛	kwɑŋ˨˩˦fan˥˩
湯糰	tʰɑŋ˥˥tʰwan˧˥
䉷	jɛn˧˥,tɕɪn˥˩,tan˥˩
搬舖	pan˥˥pʰu˥˩
面對現實	mjɛn˥˩tweɪ˥˩ɕjɛn˥˩ʂɚ˧˥
掅	tɕʰɪŋ˥˩
畢業典禮	pi˥˩jɛ˥˩tjɛn˨˩˦li˨˩˦
一氣之下	i˧˥tɕʰi˥˩ʈʂɚ˥˥ɕja˥˩
促使	tsʰu˥˩ʂɚ˨˩˦
筫	ʈʂɚ˥˩
償	ʈʂʰɑŋ˧˥
姽	kweɪ˨˩˦
䝁	lɑʊ˧˥
音響	ɪn˥˥ɕjɑŋ˨˩˦
鞜	tʰa˥˩
遁跡	tuən˥˩tɕi˥˥,tuən˥˩tɕi˥˩
拉攏	la˥˥lʊŋ˨˩˦
威逼	weɪ˥˥pi˥˥
無尾熊	u˧˥weɪ˨˩˦ɕjʊŋ˧˥
塃	xwɑŋ˥˥
敖	ɑʊ˧˥,ɑʊ˥˩
均	tɕyn˥˥,yn˥˩
昏昧	xuən˥˥meɪ˥˩
稊	tʰi˧˥
靚妝	tɕɪŋ˥˩ʈʂwɑŋ˥˥
禷	leɪ˥˩
鰜	tɕjɛn˥˥
楏	kʰweɪ˧˥
便宜	pʰjɛn˧˥i˧
塑膠	su˥˩tɕjɑʊ˥˥
出身	ʈʂʰu˥˥ʂən˥˥
寔	ʂɚ˧˥
姐姐	tɕjɛ˨˩˦tɕjɛ˧
鼻衄	pi˧˥ny˥˩
蝻	nan˨˩˦,an˧˥
䀻	pʰɪn˥˩
秈	ɕjɛn˥˥
䥢	lʊŋ˧˥
僥幸	tɕjɑʊ˨˩˦ɕɪŋ˥˩
祭祖	tɕi˥˩tsu˨˩˦
豺	ʈʂʰaɪ˧˥
䓑	pɪŋ˨˩˦,pʰɪŋ˧˥
郵輪	joʊ˧˥luən˧˥
紮染	tsa˥˥ʐan˨˩˦
短裙	twan˨˩˦tɕʰyn˧˥
闖將	ʈʂʰwɑŋ˨˩˦tɕjɑŋ˥˩
吾倫	u˧˥luən˧˥
螻蛄	loʊ˧˥ku˥˥
荷塘	xɤ˧˥tʰɑŋ˧˥
賽跑	saɪ˥˩pʰɑʊ˨˩˦
滶	ɑʊ˧˥
鑑別	tɕjɛn˥˩pjɛ˧˥
熶	tsʰwan˥˩
篝火	koʊ˥˥xuɔ˨˩˦
鄛	ʈʂʰɑʊ˧˥
洗手不幹	ɕi˨˩˦ʂoʊ˨˩˦pu˧˥kan˥˩
情況不明	tɕʰɪŋ˧˥kʰwɑŋ˥˩pu˥˩mɪŋ˧˥
梃	tʰɪŋ˥˩,tʰɪŋ˨˩˦
甩脫	ʂuaɪ˨˩˦tʰuɔ˥˥
就像	tɕjoʊ˥˩ɕjɑŋ˥˩
裙	tɕʰyn˧˥
䅾	tɕʰɪn˧˥,tsʰən˧˥,tɕʰjɛn˧˥
麳	laɪ˧˥
庶民	ʂu˥˩mɪn˧˥
現金	ɕjɛn˥˩tɕɪn˥˥
祕	mi˥˩
晢	ʈʂɤ˧˥,ɕi˥˥,ʈʂɤ˥˥,ʈʂɚ˥˩
混凝土	xuən˥˩nɪŋ˧˥tʰu˨˩˦
奉為圭臬	fɤŋ˥˩weɪ˧˥kweɪ˥˥njɛ˥˩
偰	ɕjɛ˥˩
大失所望	ta˥˩ʂɚ˥˥suɔ˨˩˦wɑŋ˥˩
㸸	xoʊ˨˩˦,oʊ˨˩˦
輁	tɕʰjʊŋ˧˥,kʊŋ˨˩˦
窄小	ʈʂaɪ˨˩˦ɕjɑʊ˨˩˦
窷	ljɑʊ˧˥
壣	lɪn˧˥
受到	ʂoʊ˥˩tɑʊ˥˩
謙	ʈʂan˥˩,tɕʰjɛn˥˩,tɕʰjɛn˥˥
可塑性	kʰɤ˨˩˦su˥˩ɕɪŋ˥˩
崛	tɕɥœ˧˥
欠打	tɕʰjɛn˥˩ta˨˩˦
鴓	mjɛ˥˩
燒傷	ʂɑʊ˥˥ʂɑŋ˥˥
衣袋	i˥˥taɪ˥˩
飛來橫禍	feɪ˥˥laɪ˧˥xɤŋ˥˩xuɔ˥˩
與人方便	y˨˩˦ʐən˧˥fɑŋ˥˥pjɛn˥˩
靐	pɪŋ˥˩
惪	tɤ˧˥
胳膊腕	kɤ˥˥pɔ˧wan˥˩
甲午年	tɕja˨˩˦u˨˩˦njɛn˧˥
琶	pʰa˧˥
鬳	tɕɥœn˥˩
千鳥	tɕʰjɛn˥˥njɑʊ˨˩˦
昡	ɕɥœn˥˩
吊鐘	tjɑʊ˥˩ʈʂʊŋ˥˥
溡	ʂɚ˧˥
繼	tɕi˥˩
炫弄	ɕɥœn˥˩nʊŋ˥˩
贔屭	pi˥˩ɕi˥˩
𪨗	tɕɥœ˥˥
淘	tʰɑʊ˧˥
蜨	tjɛ˧˥
聾子	lʊŋ˧˥tsɯ˧
䍚	lɑŋ˥˩
肥效	feɪ˧˥ɕjɑʊ˥˩
殺人滅口	ʂa˥˥ʐən˧˥mjɛ˥˩kʰoʊ˨˩˦
捍	xan˥˩
訛人	ɤ˧˥ʐən˧˥
綬	ʂoʊ˥˩
取長補短	tɕʰy˨˩˦ʈʂʰɑŋ˧˥pu˨˩˦twan˨˩˦
投籃	tʰoʊ˧˥lan˧˥
筬	ʈʂʰɤŋ˧˥
㭿	ɑŋ˧˥
戮	lu˥˩
䲢	tʰɤŋ˧˥
流竄	ljoʊ˧˥tsʰwan˥˩
停泊	tʰɪŋ˧˥pɔ˧˥
不堪入目	pu˥˩kʰan˥˥ʐu˥˩mu˥˩
鄦	ɕy˨˩˦
焊接	xan˥˩tɕjɛ˥˥
覎	jɛn˥˩
切線	tɕʰjɛ˥˥ɕjɛn˥˩
砉	xuɔ˥˩,xwa˥˥,ɕy˥˥
䚕	li˥˩,lwan˧˥
傾訴	tɕʰɪŋ˥˥su˥˩
蘢蔥	lʊŋ˧˥tsʰʊŋ˥˥
涜	tu˧˥
打起來	ta˨˩˦tɕʰi˨˩˦laɪ˧˥
遡	su˥˩
新年	ɕɪn˥˥njɛn˧˥
侎	mi˨˩˦,meɪ˨˩˦
援引賢能	ɥœn˧˥ɪn˨˩˦ɕjɛn˧˥nɤŋ˧˥
盜竊慣犯	tɑʊ˥˩tɕʰjɛ˥˩kwan˥˩fan˥˩
偽證	weɪ˥˩ʈʂɤŋ˥˩,weɪ˨˩˦ʈʂɤŋ˥˩
左	tsuɔ˨˩˦
惡性循環	ɤ˥˩ɕɪŋ˥˩ɕyn˧˥xwan˧˥
不識檯舉	pu˥˩ʂɚ˧˥tʰaɪ˧˥tɕy˨˩˦,pu˧˥ʂɚ˥˩tʰaɪ˧˥tɕy˨˩˦
靾	ɕjɛ˥˩,i˥˩
麵包車	mjɛn˥˩pɑʊ˥˥ʈʂʰɤ˥˥
暛	suɔ˨˩˦
凝固	nɪŋ˧˥ku˥˩
承包商	ʈʂʰɤŋ˧˥pɑʊ˥˥ʂɑŋ˥˥
何處	xɤ˧˥ʈʂʰu˥˩
切除手術	tɕʰjɛ˥˥ʈʂʰu˧˥ʂoʊ˨˩˦ʂu˥˩
噼	pʰi˥˥
歸類	kweɪ˥˥leɪ˥˩
㩄	ʂaɪ˥˥
土匪頭領	tʰu˨˩˦feɪ˨˩˦tʰoʊ˧˥lɪŋ˨˩˦
豄	tu˧˥
龍眼	lʊŋ˧˥jɛn˨˩˦
峪	y˥˩
爵士	tɕɥœ˧˥ʂɚ˥˩
蝦兵蟹將	ɕja˥˥pɪŋ˥˥ɕjɛ˥˩tɕjɑŋ˥˩
傁	soʊ˨˩˦
䜺	tsʰɤ˥˩
㴦	kwan˥˩
名人墨跡	mɪŋ˧˥ʐən˧˥mɔ˥˩tɕi˥˩,mɪŋ˧˥ʐən˧˥mɔ˥˩tɕi˥˥
虐待狂	nɥœ˥˩taɪ˥˩kʰwɑŋ˧˥
叔姪	ʂu˧˥ʈʂɚ˧˥,ʂu˥˥ʈʂɚ˧˥
通知	tʰʊŋ˥˥ʈʂɚ˥˥
大概	ta˥˩kaɪ˥˩
舝	ɕja˧˥
艱澀	tɕjɛn˥˥sɤ˥˩
捆兒	kʰuən˨˩˦aɻ˧
涂	tʰu˧˥
飧	suən˥˥
風調雨順	fɤŋ˥˥tʰjɑʊ˧˥y˨˩˦ʂuən˥˩
有限公司	joʊ˨˩˦ɕjɛn˥˩kʊŋ˥˥sɯ˥˥
䰝	tsɤŋ˥˩
一面	i˧˥mjɛn˥˩
辣	la˥˩
䬮	i˧˥
迅雷不及掩耳	ɕyn˥˩leɪ˧˥pu˥˩tɕi˧˥jɛn˨˩˦aɻ˨˩˦
叫哥哥	tɕjɑʊ˥˩kɤ˥˥kɤ˧
語言渾朴	y˨˩˦jɛn˧˥xuən˧˥pʰu˨˩˦,y˨˩˦jɛn˧˥xuən˧˥pʰu˧˥
靌	pɑʊ˨˩˦
搒	pɤŋ˥˩,pʰɤŋ˧˥,pɑŋ˥˩
撍	tsan˨˩˦
呂	ly˨˩˦
桤	tɕʰi˥˥
大智若愚	ta˥˩ʈʂɚ˥˩ʐuɔ˥˩y˧˥
自從	tsɯ˥˩tsʰʊŋ˧˥
辦事不力	pan˥˩ʂɚ˥˩pu˧˥li˥˩
優等獎	joʊ˥˥tɤŋ˨˩˦tɕjɑŋ˨˩˦
壞事	xuaɪ˥˩ʂɚ˥˩
說差了	ʂuɔ˥˥ʈʂʰa˥˩lɤ˧
絲毫無誤	sɯ˥˥xɑʊ˧˥u˧˥u˥˩
㭚	ly˨˩˦
菰屬	ku˥˥ʂu˨˩˦
彸	ʈʂʊŋ˥˥
梯	tʰi˧˥,tʰi˥˥
麽	mɔ˨˩˦,ma˧,mɔ˧,mɤ˧
想當然	ɕjɑŋ˨˩˦tɑŋ˥˥ʐan˧˥
㯇	pi˥˩
安樂死	an˥˥lɤ˥˩sɯ˨˩˦
跑鞋	pʰɑʊ˨˩˦ɕjɛ˧˥
預防注射	y˥˩fɑŋ˧˥ʈʂu˥˩ʂɤ˥˩
櫕	tsʰwan˧˥
鋼鏰兒	kɑŋ˥˥pɤŋ˥˩aɻ˧
有緣份	joʊ˨˩˦ɥœn˧˥fən˥˩
五音令人耳聾	u˨˩˦ɪn˥˥lɪŋ˥˩ʐən˧˥aɻ˨˩˦lʊŋ˧˥
竣工	tɕyn˥˩kʊŋ˥˥
陳	ʈʂən˥˩,ʈʂʰən˧˥
損耗率	suən˨˩˦xɑʊ˥˩ly˥˩
懃	tɕʰɪn˧˥
請帖	tɕʰɪŋ˨˩˦tʰjɛ˨˩˦
付之一炬	fu˥˩ʈʂɚ˥˥i˧˥tɕy˥˩
水利資源	ʂweɪ˨˩˦li˥˩tsɯ˥˥ɥœn˧˥
忠孝	ʈʂʊŋ˥˥ɕjɑʊ˥˩
棇	tsʰʊŋ˥˥
島嶼	tɑʊ˨˩˦y˨˩˦
羈押庭	tɕi˥˥ja˥˥tʰɪŋ˧˥
懶骨頭	lan˨˩˦ku˨˩˦tʰoʊ˧
蓕	kweɪ˥˩
某日	moʊ˨˩˦ʐɚ˥˩
賫	tɕi˥˥,tɕʰi˧˥
蛛絲	ʈʂu˥˥sɯ˥˥
㶣	ʈʂʰan˧˥
指指點點	ʈʂɚ˨˩˦ʈʂɚ˨˩˦tjɛn˨˩˦tjɛn˨˩˦
支取	ʈʂɚ˥˥tɕʰy˨˩˦
其他	tɕʰi˧˥tʰa˥˥
䁅	mɤŋ˨˩˦,pi˥˩,peɪ˥˩,mɤŋ˥˩
㡉	ɕjɛn˧˥,jɛn˧˥
劐	xuɔ˥˥
咊	xuɔ˥˩,xɤ˧˥,xuɔ˧˥,xɤ˥˩
鍘	ʈʂa˧˥
鷿	pʰi˥˩
詖	pi˥˩
相比	ɕjɑŋ˥˥pi˨˩˦
夙願	su˥˩ɥœn˥˩
悲	peɪ˥˥
㹵	tɕɪŋ˥˩
薜	pi˥˩,pɔ˧˥,paɪ˥˩,pɔ˥˩,pʰi˥˩
操持	tsʰɑʊ˥˥ʈʂʰɚ˧˥
大嘴鳥	ta˥˩tsweɪ˨˩˦njɑʊ˨˩˦
鏟除	ʈʂʰan˨˩˦ʈʂʰu˧˥
恚	xweɪ˥˩
㵯	fɤŋ˧˥
蜉	fu˧˥
逼供	pi˥˥kʊŋ˥˩
擼	lu˨˩˦
柳橙	ljoʊ˨˩˦ʈʂʰɤŋ˧˥
脜	ʐoʊ˧˥
魔	mɔ˧˥
麐	lɪn˧˥
漻	ljɑʊ˧˥,ljoʊ˧˥
偃旗息鼓	jɛn˨˩˦tɕʰi˧˥ɕi˧˥ku˨˩˦,jɛn˨˩˦tɕʰi˧˥ɕi˥˥ku˨˩˦
大洲	ta˥˩ʈʂoʊ˥˥
肧	pʰeɪ˥˥
鞡	la˧
㯋	ɪŋ˨˩˦
美妙	meɪ˨˩˦mjɑʊ˥˩
手頭	ʂoʊ˨˩˦tʰoʊ˧˥
㯐	tʰuɔ˨˩˦,fɑŋ˨˩˦
各方面	kɤ˥˩fɑŋ˥˥mjɛn˥˩
活血	xuɔ˧˥ɕɥœ˥˩
碻	tɕʰjɑʊ˥˥,tɕʰɥœ˥˩
退離	tʰweɪ˥˩li˧˥
朒	ny˥˩
䳈	pɑʊ˨˩˦
濩	xuɔ˥˩,xu˥˩
䝤	lɑʊ˨˩˦
㷐	xweɪ˨˩˦
般若	pɔ˥˥ʐɤ˨˩˦
得用	tɤ˧˥jʊŋ˥˩
仗義	ʈʂɑŋ˥˩i˥˩
巍巍	weɪ˥˥weɪ˥˥,weɪ˧˥weɪ˧˥
正要	ʈʂɤŋ˥˩jɑʊ˥˩
三頭肌	san˥˥tʰoʊ˧˥tɕi˥˥
潐	tɕjɑʊ˥˩
歸於	kweɪ˥˥y˧˥
鐻	tɕy˥˩,tɕʰy˧˥
糵	njɛ˥˩
像	ɕjɑŋ˥˩
扥	tʰuɔ˥˥
樹杈	ʂu˥˩ʈʂʰa˥˩
䢕	ɕy˥˩
恩公	ən˥˥kʊŋ˥˥
良禽擇木	ljɑŋ˧˥tɕʰɪn˧˥tsɤ˧˥mu˥˩
烆	ɕɪŋ˧˥
䂔	ɕɪŋ˥˩
暑氣燻蒸	ʂu˨˩˦tɕʰi˥˩ɕyn˥˥ʈʂɤŋ˥˥
改作文	kaɪ˨˩˦tsuɔ˥˩uən˧˥
丵	ʈʂuɔ˨˩˦
范	fan˥˩
眼前	jɛn˨˩˦tɕʰjɛn˧˥
家僕	tɕja˥˥nu˧˥
鬧飢荒	nɑʊ˥˩tɕi˥˥xwɑŋ˥˥
太空人	tʰaɪ˥˩kʰʊŋ˥˥ʐən˧˥
夸克	kʰwa˥˥kʰɤ˥˩
鷉	tʰi˥˥
㛿	ʈʂɚ˥˩
㤈	tɕʰɪn˥˩
僊	ɕjɛn˥˥
雞毛毽	tɕi˥˥mɑʊ˧˥tɕjɛn˥˩
䵻	ku˨˩˦,xweɪ˥˩,xu˧˥
六穀子	ljoʊ˥˩ku˨˩˦tsɯ˧
玷污	tjɛn˥˩u˥˥
顰	pʰɪn˧˥
無隙可乘	u˧˥ɕi˥˩kʰɤ˨˩˦ʈʂʰɤŋ˧˥
喜劇片	ɕi˨˩˦tɕy˥˩pʰjɛn˥˩
齛	ʂɚ˥˩
攘袖	ʐɑŋ˨˩˦ɕjoʊ˥˩
埒才角妙	ljɛ˥˩tsʰaɪ˧˥tɕɥœ˧˥mjɑʊ˥˩,lɤ˥˩tsʰaɪ˧˥tɕɥœ˧˥mjɑʊ˥˩
曾幾何時	tsʰɤŋ˧˥tɕi˨˩˦xɤ˧˥ʂɚ˧˥
田埂兒	tʰjɛn˧˥kɤŋ˨˩˦aɻ˧
融洽	ʐʊŋ˧˥tɕʰja˥˩
旎	ni˨˩˦
走讀	tsoʊ˨˩˦tu˧˥
更鼓	kɤŋ˥˥ku˨˩˦
墨翟	mɔ˥˩ti˧˥
堸	fɤŋ˧˥
牲	ʂɤŋ˥˥
短罩衫	twan˨˩˦ʈʂɑʊ˥˩ʂan˥˥
鞣質	ʐoʊ˧˥ʈʂɚ˥˩,ʐoʊ˧˥ʈʂɚ˧˥
瞋	ʈʂʰən˥˥
父	fu˨˩˦,fu˥˩
瓇	ʐoʊ˧˥
椿象	ʈʂʰuən˥˥ɕjɑŋ˥˩
太尉	tʰaɪ˥˩weɪ˥˩
焦	tɕʰjɑʊ˧˥,tɕjɑʊ˥˥
鉸鏈	tɕjɑʊ˨˩˦ljɛn˥˩
擊沉	tɕi˥˥ʈʂʰən˧˥,tɕi˧˥ʈʂʰən˧˥
執行	ʈʂɚ˧˥ɕɪŋ˧˥
甲寅年	tɕja˨˩˦ɪn˧˥njɛn˧˥
㟂	mu˨˩˦,ʈʂʰɚ˨˩˦
閜	kʰɤ˨˩˦,ɕja˥˩,ɕja˨˩˦
枚	meɪ˧˥
倢	tɕjɛ˧˥
倒騰	tɑʊ˨˩˦tʰɤŋ˧
書鋪	ʂu˥˥pʰu˥˩
網銀	wɑŋ˨˩˦ɪn˧˥
軀體	tɕʰy˥˥tʰi˨˩˦
擴音器	kʰuɔ˥˩ɪn˥˥tɕʰi˥˩
緘口不言	tɕjɛn˥˥kʰoʊ˨˩˦pu˥˩jɛn˧˥
吧	pa˥˥,pa˧
調查表	tjɑʊ˥˩ʈʂʰa˧˥pjɑʊ˨˩˦
博鰲論壇	pɔ˧˥ɑʊ˧˥luən˥˩tʰan˧˥
䎡	ʐwan˨˩˦,nwan˨˩˦
轢	li˥˩
安全	an˥˥tɕʰɥœn˧˥
上架	ʂɑŋ˥˩tɕja˥˩
大聲喝彩	ta˥˩ʂɤŋ˥˥xɤ˥˩tsʰaɪ˨˩˦
燎原	ljɑʊ˧˥ɥœn˧˥
衣櫥	i˥˥ʈʂʰu˧˥
文明	uən˧˥mɪŋ˧˥
灼	ʈʂuɔ˧˥
指控	ʈʂɚ˨˩˦kʰʊŋ˥˩
