ܚܠܘܠܐ	ħəlulɑʔ
ܩܦܣܐ	qufse
ܗܢܘܢ	hɑnon
ܦܢܐ	pannɑʔ
ܓܡܘܫܐ	ɡammoʃɑ
ܬܘܬܪܐ	tawtɑreʔ
ܙܠܓܐ	zɛlɡɑ
ܡܢܢܐ	mannnɑʔ
ܡܐܪܝܬܐ	meʔriθɑʔ
ܦܬܓܡܐ	pɛθəɣɑmeʔ
ܨܦܪܐ	sˤafreʔ
ܡܓܢ	maɡɡɑn
ܥܘܠܐ	ʕullɑʔ
ܢܫܡܐ	nɛʃmɑʔ
ܫܠܝܬܐ	ʃəliθɑʔ
ܕܘܢܒܐ	dunbəjɑθɑʔ
ܩܘܫܬܐ	qoʃtɑʔ
ܙܪܕܐ	zarədɑ
ܡܘܩܕܐ	mawqəðeʔ
ܬܠܡܝܕܘܬܐ	talmiðuθɑʔ
ܢܦܠܐ	nɛflɑʔ
ܦܘܢܝܐ	punnɑjɑʔ
ܬܟܣܝܬܐ	taxsəjɑθɑ
ܛܠܝܬܐ	tˤaljɑθɑ
ܙܪܩܐ	zɑrqɑ
ܩܛܪܩܐ	qɑtˤɛrqeʔ
ܫܒܝܠܐ	ʃəvileʔ
ܡܟܘܬܐ	makkuθɑʔ
ܢܘܛܘ	nawtˤo
ܐܣܛܪܛ	ʔɛstˤərɑtˤ
ܪܬܡܐ	raθmeʔ
ܢܚܡܬܐ	nɛħməθɑ
ܒܒܓܐ	babbaɡɡeʔ
ܩܠܝܬܐ	qəlɑjtɑʔ
ܟܘܬܡܬܐ	kuθməθɑʔ
ܡܨܥܬܐ	mɛsˤʕəθɑʔ
ܚܘܒܝܐ	ħuvjɑʔ
ܝܒܠܐ	javlɑʔ
ܐܕܡܬܐ	ʔɑðaməθɑʔ
ܫܪܟܐ	ʃərɑxɑʔ
ܥܠܘܐ	ʕalwɑʔ
ܟܕܒܐ	kaddɑvɑʔ
ܡܠܚܐ	mɛlħɑ
ܨܘܪܐ	sˤawre
ܡܐܢܐ	mɑne
ܟܘܪܣܘܬܐ	kursawwɑθɑʔ
ܪܘܡܐ	rɛwmɑʔ
ܡܣܟܝܢܐ	məsakkəjɑnɑ
ܓܘܪܒܐ	ɡurbɑ
ܓܘܦܐ	ɡɑwpɑ
ܩܘܪܒܢܐ	qurbɑnɑʔ
ܥܡܘܕܐ	ʕammuðeʔ
ܐܡܒܪܐ	ʔambɑreʔ
ܣܠܩܐ	səlɑqeʔ
ܨܦܬܐ	sˤɛppəθɑʔ
ܫܘܩܠܐ	ʃuqqɑlɑʔ
ܝܪܠܝܟ	jarlix
ܡܕܥܐ	maddəʕɑʔ
ܬܠܓܐ	talɡɑʔ
ܩܫܒܐ	qaʃbe
ܓܘܠܦܢܐ	ɡulpɑnɑʔ
ܥܪܒܐ	ʕɑrowo
ܩܣܛܘܢܪܐ	qastˤonɑreʔ
ܝܩܕܐ	jaqdeʔ
ܟܘܕܪܐ	kuðrɑʔ
ܡܗܪܐ	mahreʔ
ܛܒܝܐ	tˤavjɑʔ
ܣܥܪܬܐ	səʕɑrəθɑ
ܥܡܩܐ	ʕəmɑqɑʔ
ܒܥܠܐ	baʕlɑʔ
ܨܘܪܐ	sˤəwɑrɑ
ܐܘܡܢܘܬܐ	ʔummɑnwɑθɑʔ
ܬܘܪܨܐ	turrɑsˤɑʔ
ܡܟܘܬܬܐ	makkuθɑθɑʔ
ܝܠܕܐ	jɑldo
ܚܢܐ	ħənɑʔ
ܥܒܘܪܐ	ʕəvureʔ
ܓܢܣܐ	ɡɛnsɑʔ
ܕܠܩܐ	dalqeʔ
ܪܘܫܡܐ	ruʃʃɑmɑʔ
ܩܣܛܘܪ	qastˤor
ܨܘܡܐ	sˤawmɑʔ
ܕܩܠܐ	dəqɑlɑʔ
ܚܠܡܐ	ħɛlmɑʔ
ܣܟܠܘܬܐ	saxləwɑθɑʔ
ܫܘܫܡܢܐ	ʃuʃʃəmɑneʔ
ܒܚܫܐ	bɛħʃɑʔ
ܓܙܒܪܐ	ɡezavrɑʔ
ܝܡܡܬܐ	jamməmɑθɑʔ
ܒܘܓܚܐ	buɡoħo
ܝܘܪܬܢܐ	jurtɑnɑ
ܐܪܢܐ	ʔarneʔ
ܡܕܪܐ	mɛðreʔ
ܣܝܢܐ	sinɑʔ
ܐܪܢܓܐ	ʔarnɑɣɑʔ
ܨܡܨܡܐ	sˤamsˤɑmɑʔ
ܒܪܩܐ	brɑqɑ
ܦܬܩܐ	pɛθqɑʔ
ܪܓܫܐ	rɛɣʃeʔ
ܪܣܘܠܐ	rassulɑʔ
ܫܥܘܬܐ	ʃəʕoθɑʔ
ܒܘܕܩܐ	buddɑqɑʔ
ܦܣܘܩܐ	pɑsoqeʔ
ܓܠܝܢܐ	ɡɛljɑnɑʔ
ܡܓܠܬܐ	məɣallɑθɑ
ܡܬܐ	mɑθeʔ
ܢܪܓܐ	narɡɑ
ܓܕܡܐ	ɡɛðmɑ
ܡܫܟܢܐ	mɛʃkɑne
ܣܘܡܩܐ	summɑqɑ
ܪܨܦܐ	rɛsˤpeʔ
ܐܡܝܪܐ	ʔămireʔ
ܢܟܣܬܐ	nɛxsəθɑʔ
ܣܬܘܐ	saθweʔ
ܘ	waw
ܣܒܠܬܐ	sɛbbɛləθɑ
ܣܝܢܐ	səjɑneʔ
ܗܒܒܐ	habbɑvɑʔ
ܫܟܪܐ	ʃakkərɑʔ
ܙܩܦܐ	zəqɑfɑʔ
ܝܪܩܐ	jarqɑʔ
ܐܘܪܥܐ	ʔurʕɑʔ
ܐܒܐ	ʔɛbbɑ
ܪܬܡܐ	raθmɑʔ
ܢܩܝܐ	nɛqjɑʔ
ܙܪܢܦܐ	zarnɑpɑ
ܒܪܙܐ	barzeʔ
ܦܬܢܐ	paθne
ܟܘܝܠܐ	kɛwwejlɑʔ
ܩܣܛܘܢܪܐ	qɛstˤonɑreʔ
ܫܘܪܐ	ʃurɑʔ
ܘܪܢܐ	warnɑʔ
ܟܘܬܝܢܐ	kuttinjɑθɑ
ܢܫܡܐ	nɛʃmeʔ
ܠܦܛܐ	lɛftˤeʔ
ܩܝܕܐ	qajdeʔ
ܣܦܠܘܛܐ	saflutˤɑʔ
ܐܣܩܦܬܐ	ʔɛsqafjɑθɑʔ
ܡܚܘܬܐ	maħħoθɑʔ
ܣܡܠܐ	sɛmmɑleʔ
ܪܬܡܐ	rɑθmeʔ
ܪܝܩܐ	rejqɑʔ
ܡܠܘܐܐ	məloʔeʔ
ܒܝܬ	beθ
ܒܘܕܚܐ	buddɑħe
ܕܘܪܐ	doreʔ
ܢܚܝܪܐ	nəħire
ܒܙܚܐ	bɛzħɑ
ܟܗܢܘܬܐ	kɑhɛnnuθɑʔ
ܓܘܝܐ	ɡəwɑjeʔ
ܩܘܪܡܐ	qormɑʔ
ܓܘܓܝ	ɡəwɑɣaj
ܦܢܕܩܐ	pɑndəqeʔ
ܩܪܘܛܐ	qarotˤɑ
ܢܪܓܐ	narəɣɑ
ܐܣܪܐ	ʔɛ̆sɑrɑ
ܩܘܪܨܠܐ	qursˤəlɑʔ
ܩܙܙܐ	qazzɑzɑʔ
ܫܡܫܐ	ʃammɑʃɑ
ܟܪܒܐ	karrɑvɑʔ
ܕܒܘܪܐ	dɛbboreʔ
ܣܠܘܪܐ	slorɑ
ܐܒܢܐ	ʔɛbone
ܐܘܙܢܐ	ʔɑwzɑneʔ
ܣܪܒܐ	sarbɑʔ
ܕܩܩܐ	dəqɑqɑʔ
ܣܒܪܐ	savrɑʔ
ܪܩܕܐ	rɛqdeʔ
ܚܢܢ	ħənɑn
ܡܠܟܬܐ	malkɑθɑ
ܟܝܪܐ	kire
ܟܝܪܐ	xəjɑrɑ
ܕܘܥܬܐ	duʕteʔ
ܚܒܨܐ	ħavsˤeʔ
ܣܢܝܘܬܐ	sanjuθɑʔ
ܐܘܪܥܐ	ʔurʕeʔ
ܟܬܦܬܐ	kaθpɑθɑʔ
ܙܕܩܐ	zɛðqɑʔ
ܩܠܝܬܐ	qɛljɑθɑʔ
ܠܣܛܐ	lɛstˤɑ
ܬܟܣܝܬܐ	tɑxsɑjtɑ
ܪܓܫܬܐ	rəɣɛʃtɑʔ
ܡܚܘܬܐ	mɑħwɑθɑʔ
ܥܬܝܪܘܬܐ	ʕattiruθɑʔ
ܫܩܐ	ʃaqqe
ܟܘܬܪܐ	kuttɑrɑʔ
ܩܘܡܐ	qawme
ܨܝܪܐ	sˤirɑʔ
ܚܪܫܘܬܐ	ħarʃuθɑʔ
ܐܘܦܢܐ	ʔofnɑʔ
ܓܡܠܐ	ɡammɑlɑ
ܟܕܘ	kaddu
ܪܕܘܦܝܐ	rəðufjɑʔ
ܪܕܝܐ	rɛðjeʔ
ܓܝܣܐ	ɡajsɑ
ܫܝܫܐ	ʃeːʃeʔ
ܟܣܣܬܐ	kəsɑsɑθɑʔ
ܠܒܘܢܬܐ	ləvuttɑʔ
ܡܠܚܐ	mɛlħe
ܐܣܛܪܘܢܘܡܝܐ	ʔastˤəronomijɑʔ
ܡܪܪܬܐ	mərɑrtɑ
ܒܐܪܐ	beʔreʔ
ܓܚܟ	ɡəħɛx
ܪܘܚܐ	rɑwxɑ
ܛܦܪܐ	tˤɛfrɑʔ
ܢܘܩܙܐ	nuqqɑzɑʔ
ܩܛܪܩܐ	qɑtˤerqeʔ
ܙܢܩܐ	zanqeʔ
ܥܠܡܐ	ʕɑlmɑʔ
ܕܦܢܐ	dufneʔ
ܩܛܡܐ	qətˤɑmeʔ
ܦܬܘܪܐ	pɑθure
ܡܪܥܐ	marʕeʔ
ܚܠܣܐ	ħəlɑseʔ
ܡܚܫܒܬܐ	maħʃəvɑθɑʔ
ܪܫܡܐ	raʃmeʔ
ܫܓܕܬܐ	ʃɛɣdəθɑʔ
ܡܓܠܐ	məɣalle
ܚܠܩܐ	ħɛlqɑ
ܬܓܐ	tɑɣɑʔ
ܦܛܘܪܝܬܐ	pɛtˤtˤorjɑθɑʔ
ܥܙܪܘܪܐ	ʕazrurjɑθɑʔ
ܫܪܛܐ	ʃɛrtˤeʔ
ܟܘܪܬܐ	kawwɑrɑθɑ
ܕܝܘܐ	dajwɑ
ܠܓܬܐ	lɛɡɡəθɑ
ܝܚܛܐ	jaħtˤeʔ
ܣܢܝܐ	sənajːɑ
ܓܕܝܐ	ɡəðɑjɑ
ܒܬܐ	bɑtteʔ
ܟܢܘܫܝܐ	kənuʃjɑʔ
ܬܓܪܘܡܬܐ	taɣrumɑθɑʔ
ܐܕܢܗܬܐ	ʔɛðnɑhɑθɑʔ
ܟܪܘܒܐ	kəroveʔ
ܐܪܢܒܐ	ʔarnəve
ܠܫܢܐ	lɪʃʃɑnɑ
ܫܠܡܐ	ʃolme
ܚܨܝܢܐ	ħasˤsˤinɑ
ܒܗܬܬܐ	bɛhtɑθɑ
ܙܒܢܐ	zəvɑneʔ
ܐܣܘܦܐ	ʔassofɑʔ
ܥܛܪܐ	ʕatˤtˤɑrɑʔ
ܡܕܒܪܢܐ	məðabbərɑnɑʔ
ܫܠܓܡܐ	ʃalɡəmɑʔ
ܛܒܠܝܬܐ	tˤavliθɑ
ܙܡܪܐ	zammɑreʔ
ܠܒܬܐ	ləvɛttɑ
ܛܒܥܐ	tˤavʕeʔ
ܟܣܐ	kɛsse
ܪܝܫܢܘܬܐ	rejʃɑnwɑθɑʔ
ܦܪܕܝܣܐ	pardajsɑʔ
ܪܐܬܐ	rɑʔθɑʔ
ܚܘܪܪܐ	xurrɑrɑ
ܣܓܘܠܐ	səɣoleʔ
ܕܝܢܐ	dajjɑneʔ
ܨ	sˤ
ܟܝܪܐ	kirɑ
ܡܕܡܟܐ	maðməxeʔ
ܩܨܪܐ	qasˤrɑʔ
ܝܪܠܐ	jarleʔ
ܐܣܟܝܡܐ	ʔɛskejmɑʔ
ܫܘܫܐ	ʃawʃɑʔ
ܫܘܢܝܐ	ʃuːnɑje
ܩܪܕܚܐ	qardɑħɑʔ
ܥܡܒܪ	ʕambar
ܥܘܩܒܪܐ	ʕuqavreʔ
ܦܠܥܐ	pəlɑʕɑʔ
ܩܘܡ	qom
ܐܓܘܪܣܐ	ʔaɡɡursjɑneʔ
ܬܘܢܐ	tunɑʔ
ܕܝܠܝܘܬܐ	dilɑjuθɑ
ܫܠܡܐ	ʃɑlme
ܬܘܫܐ	tawʃeʔ
ܒܘܙܚܐ	buzzɑħɑ
ܡܫܥܐ	maʃʕeʔ
ܩܘܛܠܐ	qutˤtˤɑlɑʔ
ܡܣܟܝܢܐ	msɑkjono
ܬܘܕܝܬܐ	tawdəjɑθɑʔ
ܣܦܝܢܝܬܐ	səfinɑjtɑ
ܫܘܒܗܪܐ	ʃuvhɑreʔ
ܙܘܝܚܐ	zujjɑħɑʔ
ܬܢܘܪܐ	tanwɑre
ܣܝܡܬܐ	simɑθɑʔ
ܠܘܡܐ	lumeʔ
ܘܪܕܐ	warde
ܬܘܠܬܐ	tullɑθɑʔ
ܠܩܚܐ	laqxɑ
ܐܘܪܩܥܬܐ	ʔurqəʕəθɑ
ܥܟܘܒܐ	ʕakkuveʔ
ܫܒܠܬܐ	ʃɛbbɛltɑ
ܦܘܪܫܐ	purrɑʃɑʔ
ܝܕܝܕܐ	jaddiðɑ
ܝܒܝܫܬܐ	jabbiʃɑθɑʔ
ܥܟܪܐ	ʕaxreʔ
ܟܢܪܐ	kɛnnɑre
ܡܛܠܠܐ	matˤəleʔ
ܡܥܝܢܐ	məʕineʔ
ܝܘܡܐ	jawmɑθɑʔ
ܦܣܬܐ	passəθɑʔ
ܐܚܫܡܝܬܐ	ʔaħʃɑmjɑθɑʔ
ܡܣܟܝܢܐ	mɪskenɑ
ܬܘܗܝܐ	tuhhɑjɑʔ
ܙܕܩܬܐ	zɛðqɑθɑ
ܝܠܘܕܐ	jɑloðɑʔ
ܡܠܘܫܐ	malluʃeʔ
ܢܡܣܐ	nɛmseʔ
ܐܦܪܝܡ	ʔafrejm
ܐܘܡܢܘܬܐ	ʔummɑnuθɑʔ
ܫܪܘܪܐ	ʃɛrroreʔ
ܢܣܪܬܐ	nəsɑrtɑ
ܥܪܒܬܐ	ʕarbθɑ
ܐܓܪܐ	ʔɛɡɡɑrɑ
ܬܦܘܬܐ	təfawwɑθɑʔ
ܣܦܣܠܐ	safsəlɑʔ
ܢܚܠܐ	nɑħleʔ
ܡܨܥܝܬܐ	mɛsˤʕɑjtɑʔ
ܠܝܫܐ	ləjɑʃeʔ
ܩܪܘܛܐ	qarotˤe
ܥܡܠܐ	ʕɑmlɑʔ
ܨܒܥܬܐ	sˤɛvʕɑθɑʔ
ܕܘܪܫܐ	durrɑʃeʔ
ܦܪܐ	pɑreʔ
ܛܘܦܣܐ	tˤupsɑʔ
ܐܪܘܢܐ	ʔăroneʔ
ܐܘܠܝܬܐ	ʔoliθɑʔ
ܥܪܙܠܐ	ʕarzɑlɑ
ܟܫܟܝܬܐ	kaʃkiθɑʔ
ܦܩܚܐ	paqħɑʔ
ܙܡܝܪܬܐ	zəmirɑθɑʔ
ܨܘܬܐ	sˤawəθɑʔ
ܫܠܚܐ	ʃɛlħeʔ
ܡܟܪܐ	məxɑrɑ
ܟܘܣܟܣܐ	kuskɑse
ܚܘܓܒܐ	ħuɣbe
ܥܪܘܒܬܐ	ʕəruvtɑθɑʔ
ܚܠܡܐ	ħɑlmeʔ
ܐܪܢܥܐ	ʔarnɑʕeʔ
ܣܕܝܢܐ	sɛðjɑne
ܝܚܒܘܪܐ	jaħbureʔ
ܚܛܗܐ	ħatˤtˤɑheʔ
ܚܪܓܠܐ	ħarɡɑlɑʔ
ܟܬܒܘܢܐ	kəθɑvonɑʔ
ܣܕܘܢܐ	sɛddonɑʔ
ܒܙܝܩܐ	bɑziqeʔ
ܙܓܐ	zɑɡɡe
ܟܠܒܬܐ	kallɑvtɑʔ
ܥܙܩܬܐ	ʕɛzqəθɑʔ
ܡܥܝܪܢܘܬܐ	məʕirɑnuθɑʔ
ܓܪܝܨܬܐ	ɡərisˤɑθɑʔ
ܥܪܒܬܐ	ʕarrɑvtɑ
ܒܙܪܐ	bəzɑreʔ
ܐܝܬܘܬܐ	ʔiθwɑθɑʔ
ܙܘܡܐ	zɑwme
ܚܡܣܐ	ħamseʔ
ܕܓܠ	daɡɡɛl
ܒܥܘܛܬܐ	bɑʕotˤɑθɑʔ
ܡܝܣܘܟܐ	majsuxeʔ
ܨܝܪܐ	sˤajreʔ
ܡܣܪܩܐ	məsarqɑʔ
ܡܘܕܟܐ	muddɑxeʔ
ܠܓܡܪ	lɑɣmɑr
ܝܫܦܐ	jaʃpɑʔ
ܓܘܠܬܐ	ɡulləθɑʔ
ܫܐܕܢܐ	ʃeðɑnɑ
ܐܘܙܢܐ	ʔɑwzɑnɑʔ
ܪܡܬܐ	rɛmməθɑ
ܚܠܡܬܐ	ħallɑmtɑ
ܩܬܘܠܝܩܐ	qattoliqeʔ
ܐܒܟܐ	ʔɑvakkɑ
ܪܢܝܐ	rɛnjeʔ
ܩܡܪܐ	qəmɑrɑʔ
ܒܓܕܟܦܬ	bəɣaðkəfɑθ
ܪܩܕܐ	raqdeʔ
ܣܠܘܐ	salweʔ
ܩܪܬܐ	qarrəθɑʔ
ܡܐܣܪܬܐ	mɑʔsɑrtɑʔ
ܢܚܫܐ	naħħɑʃeʔ
ܦܢܐ	pənɑʔ
ܟܪܟܕܢܐ	karkəðɑneʔ
ܚܠܠܐ	ħəlɑlɑ
ܛܝܙܬܐ	tˤizeʔ
ܚܙܝܐ	ħazzɑjeʔ
ܓܕܢܦܐ	ɡəðɑnpe
ܐܚܐ	ʔăħe
ܥܝܕܐ	ʕəjɑðɑ
ܓܢܘܡܐ	ɡənomɑʔ
ܓܕܡܐ	ɡəðɑme
ܦܥܪܐ	paʕreʔ
ܙܗܪܐ	zahrɑʔ
ܣܒܐ	sɛbbɑʔ
ܫܡܫܐ	ʃɛmʃo
ܐܩܘܢܐ	ʔaqqunɑʔ
ܫܘܐܠܐ	ʃuʔʔɑleʔ
ܥܘܩܒܪܬܐ	ʕuqbartɑʔ
ܡܓܐܠܐ	məɣalleʔ
ܛܠܠܐ	tˤɛllɑleʔ
ܥܢܐ	ʕɑnɑʔ
ܒܩܪܬܐ	baqrɑθɑʔ
ܪܩܕܐ	rəqɑðɑʔ
ܢܪܓܐ	narəɣe
ܓܝܪܐ	ɡire
ܕܕܐ	dɑðɑ
ܝܗܒܐ	ʔihɑveʔ
ܦܪܘܫܐ	pɑroʃeʔ
ܒܢܕܐ	bande
ܐܩܘܢܐ	ʔaqquneʔ
ܬܟܣܝܬܐ	tɑxsɑjɑθɑ
ܢܦܛܐ	nappɑtˤɑ
ܙܩܪܝܬܐ	zaqqɑrjɑθɑʔ
ܣܠܡܢܕܪܐ	sallammandərɑʔ
ܪܥܝܐ	rəʕajjɑʔ
ܩܢܘܢܐ	qɑnonɑʔ
ܢܒܪܫܬܐ	navrɛʃjɑθɑ
ܣܝܦܐ	sajpe
ܐܪܣܢܝܩܘܢ	ʔarsɛnniqon
ܒܘܪܟܐ	burkɑθɑʔ
ܣܘܠܩܐ	sullɑqɑʔ
ܦܪܟܐ	pɛrke
ܕܪܒܐ	darbɑ
ܫܒܪܘܬܐ	ʃavrəwɑθɑʔ
ܣܢܕܠܐ	sandəleʔ
ܡܫܟܢܐ	maʃkɑnɑ
ܩܕܣܐ	qadse
ܓܓܪܬܐ	ɡaɡɡərɑθɑ
ܨܘܪܬܐ	sˤurtɑʔ
ܬܐܪܬܐ	teʔrtɑʔ
ܦܝܘܣܝܓ	pəjosiɣ
ܩܫܝܫܬܐ	qaʃʃiʃtɑ
ܩܘܪܩܒܢܐ	qurqəvɑnɑʔ
ܚܪܫܘܬܐ	ħarrɑʃuθɑʔ
ܣܘܣܝܐ	sussɑjɑʔ
ܒܝܥܬܐ	be̝ʕe
ܚ	ħejθ
ܥܪܘܒܬܐ	ʕəruvɑθɑʔ
ܒܘܪܟܐ	burkɑʔ
ܛܚܠܐ	tˤəħɑlɑ
ܩܪܘܝܐ	qɑrojeʔ
ܟܘܪܦܐ	korpɑ
ܩܦܘܦܐ	qappufɑʔ
ܚܠܡܬܐ	ħɑlɛməθɑ
ܚܓܠܬܐ	ħəɣalləθɑ
ܕܡܟܐ	dəmɑxɑʔ
ܫܪܒܬܐ	ʃarəvɑθɑʔ
ܐܢܘܢ	ʔɛnnon
ܡܛܪܬܐ	mətˤɑrtɑ
ܩܕܡܝܘܬܐ	qaðmɑjuθɑʔ
ܚܢܦܐ	ħanpɑʔ
ܡܕܟܐ	maðəxɑʔ
ܟܥܟܐ	kaʕkɑʔ
ܡܫܠܡܢܝܬܐ	maʃləmɑniθɑʔ
ܡܟܢܫܬܐ	maxnɑʃtɑ
ܓܪܒܐ	ɡrowo
ܡܟܬܒܐ	maxtəveʔ
ܬܪܝܨܘܬܐ	tərisˤuθɑʔ
ܐܦܩܪܣܐ	ʔafqərɑse
ܢܚܫܐ	nɑħʃɑʔ
ܪܨܝܦܬܐ	rɑsˤiftɑ
ܩܝܛܐ	qajtˤɑʔ
ܦܠܐܬܐ	pəleʔθɑʔ
ܗ	h
ܓܡܝܫܐ	ɡammiʃɑʔ
ܕܪܒܐ	darbe
ܛܝܪܐ	tˤəjɑrɑʔ
ܦܩܚܐ	paqqɑħeʔ
ܪܒܐ	rawrəvɑneʔ
ܟܠܟܐ	kalkeʔ
ܫܘܓܠܐ	ʃuɣlɑʔ
ܥܡܛܢܐ	ʕamtˤɑnɑʔ
ܒܘܙܚܐ	buzzɑħe
ܡܕܥܐ	maddəʕeʔ
ܪܓܠܐ	rəɣɑlɑ
ܓܡܘܪܬܐ	ɡəmurjɑθɑ
ܐܘܓܐ	ʔoɣe
ܩܒܘܪܬܐ	qəvurtɑʔ
ܩܕܣܐ	qadsɑ
ܪܝܫܐ	rejʃɑneʔ
ܬܡܗܐ	tɛmheʔ
ܬܪܘܕܐ	tarwɑðeʔ
ܥܒܘܢܐ	ʕɑvone
ܪܒܘܬܐ	rɛbbuθɑ
ܬܢܘܪܐ	tannure
ܓܕܫܐ	ɡɛðʃɑʔ
ܩܘܦܕܐ	qufdeʔ
ܫܘܦܪܐ	ʃufrɑʔ
ܢܩܥܐ	nɛqʕeʔ
ܦܣܬܐ	passeʔ
ܣܢܚܪܝܒ	sanħeriv
ܣ	s
ܒܛܐ	bɛtˤtˤɑʔ
ܝܡܐ	jammɑʔ
ܘܠܝܬܐ	wɑljɑθɑ
ܐܡܗܬܐ	ʔamhɑθɑʔ
ܫܩܡܐ	ʃaqmɑ
ܟܪܒܐ	kərɑveʔ
ܚܝܠܐ	ħɑjɑleʔ
ܡܚܢܘܩܝܬܐ	maħnoqiθɑʔ
ܚܕܝܐ	ħəðɑjeʔ
ܠܓܝܢܐ	ləɣinɑʔ
ܡܥܠܬܐ	maʕlɑθɑ
ܪܚܝܐ	raħħɑjeʔ
ܐܡܒܪܐ	ʔambɑrɑʔ
ܩܘܫܬܐ	quʃtɑʔ
ܣܛܢܐ	sɑtˤɑnɑ
ܐܟܕܝܐ	ʔakkəðɑjɑʔ
ܐܫܝܬܐ	ʔɑʃjɑθɑ
ܪܣܘܓ	rəsuɣ
ܢܡܪܐ	nɛmreʔ
ܒܪܘܢܐ	bɛrronɑʔ
ܠܓܡܪ	laɣəmar
ܦܓܐܢܐ	paɡɡɑʔnɑʔ
ܐܓܘܓܐ	ʔaɡɡoɣe
ܥܟܘܒܐ	ʕakkuvɑʔ
ܢܣܝܘܢܐ	nɛsjoneʔ
ܡܪܕܐ	mərɑðɑʔ
ܠܘܙܐ	luzɑ
ܒܥܘܛܬܐ	bɑʕotˤtɑʔ
ܟܠܙܘܙܐ	kəlɑzuzɑʔ
ܣܢܕܠܐ	sandɑlɑʔ
ܓܝܕܐ	ɡəjɑðɑ
ܒܛܠܬܐ	batˤtˤɑlɑθɑʔ
ܚܓܐ	ħɑɡɡe
ܨܒܥܐ	sˤəvɑʕɑʔ
ܟܘܠܝܬܐ	koliθɑ
ܥܒܪܐ	ʕəvɑreʔ
ܬܐܓܪܘܡܬܐ	teʔɣrumɑθɑʔ
ܩܡܨܐ	qamsˤeʔ
ܬܘܢܐ	tawwɑnɑʔ
ܚܓܠܐ	ħaɣle
ܟܪܟܕܢܐ	karkəðɑnɑʔ
ܐܬܪܐ	ʔaθrawwɑθɑ
ܩ	q
ܟܦܘܪܬܐ	kɑfortɑʔ
ܪܓܠܐ	rɛɣlɑθɑ
ܥܘܪܒܐ	ʕurrɑve
ܓܘܢܝܐ	ɡunnɑjeʔ
ܟܪܘܙܐ	karrozeʔ
ܐܠܝܬܐ	ʔɛlliθɑ
ܛܝܒܘܬܐ	tˤajbəwɑθɑ
ܢܚܬܐ	naħtɑʔ
ܒܝܣܬܐ	bistɑʔ
ܦܪܣܐ	pɛrseʔ
ܡܕܩܬܐ	məðaqqəθɑ
ܢܡܠܐ	nəmɑle
ܕܘܪܩܝܢܐ	durqinɑ
ܟܠܟܐ	kalkɑʔ
ܫܘܘܚܪܐ	ʃuwħɑrɑʔ
ܩܠܦܬܐ	qəlɑfe
ܙܩܝܦܐ	zəqifeʔ
ܥܝܡܐ	ʕajme
ܚܡܬܐ	ħəmɑθɑ
ܥܘܡܪܐ	ʕumreʔ
ܣܝܒܪܬܐ	sajbɑrɑθɑʔ
ܡܕܪܫܬܐ	maðrəʃɑθɑʔ
ܦܠܓܐ	pəlɑɣeʔ
ܕܝܪܐ	dajrɑʔ
ܦܪܫܐ	parrɑʃɑʔ
ܢܡܪܬܐ	nɑmarəθɑ
ܓܢܒܘܬܐ	ɡannɑvwɑθɑ
ܣܪܛܢܐ	sartˤɑnɑʔ
ܒܘܓܢܐ	buɡɡɑneʔ
ܡܓܠܐ	maɡɡəlɑ
ܕܫܬܐ	daʃtɑʔ
ܛܠܦܚܐ	tˤəlɑfħɑʔ
ܥܓܠ	ʕəɣal
ܛܪܢܐ	tˤarrɑneʔ
ܟܘܡܕܘܪ	kumaddur
ܛܝܪܐ	tˤəjɑreʔ
ܐܟܠܐ	ʔɑxleʔ
ܬܪܥܐ	tɑrʕɑʔ
ܓܢܒܪܐ	ɡabbɑre
ܒܕܘܠ	bðol
ܫܛܚܐ	ʃətˤɑħeʔ
ܬܘܗܝܐ	tuhhɑjeʔ
ܪܫܡܐ	rəʃɑmeʔ
ܡܠܘܫܐ	malluʃɑʔ
ܚܩܠܐ	ħaqlɑθɑʔ
ܬܚܘܡܐ	təħumeʔ
ܩܘܦܕܐ	qoppəðɑʔ
ܓܒܬܐ	ɡəvɛttɑ
ܦܣܡܐ	fɑsmɑ
ܡܫܠܡܢܝܬܐ	maʃləmɑnjɑθɑʔ
ܦܪܚܕܘܕܐ	pəraħduðeʔ
ܩܦܠܐ	qəfɑlɑʔ
ܗܡܢ	hɑmɑn
ܐܫܦܐ	ʔaʃʃɑfeʔ
ܣܦܢܐ	sappɑne
ܐܡܪܐ	ʔɛmreʔ
ܕܩܩܐ	dəqɑqeʔ
ܐܬܘܢܐ	ʔattunɑʔ
ܚܒܠܐ	ħavle
ܐܒܐ	ʔɛbbɑne
ܟܘܫܪܐ	kuʃʃɑreʔ
ܓܨܐ	ɡasˤsˤɑʔ
ܥܘܪܦܐ	ʕurpeʔ
ܣܒܪܐ	sɛvrɑʔ
ܡܪܩܩܐ	marqəqeʔ
ܪܒܝܬܐ	rabbɑjtɑʔ
ܪܛܢܐ	rɛtˤnɑ
ܥܘܪܦܐ	ʕurpɑʔ
ܢܥܘܪܐ	nɑʕorɑʔ
ܒܪܟܐ	bərɑxɑ
ܕܦܪܢܐ	dafrɑneʔ
ܐܣܛܠܐ	ʔɛstˤəlɑʔ
ܡܘܠܕܐ	mawlɑðɑʔ
