የሌሎች	jˈəlelot͡ʃ
አንስተኛ	ʔˈanɨsɨtəɲa
መንደሮች	mˈənɨdərot͡ʃ
ተመራማሪወች	tˈəməramariwət͡ʃ
ሆና	hˈona
ከጣልያን	kˈət`alɨjan
ቋንቋው	k`wˈanɨk`waw
ካሉት	kˈalut
በቋንቋ	bˈək`wanɨk`wa
ሁለተኛ	hˈulətəɲa
በከነዓን	bˈəkənəʔan
ሁኖ	hˈuno
የአገር	jˈəʔaɡər
መልዕክት	mˈəlɨʔɨkɨt
የሚሠራ	jˈəmisəra
ሥርዓተ	sˈɨrɨʔatə
ሐይቅ	hˈajɨk`
የብሔረሰቡ	jˈəβɨherəsəβu
አፈር	ʔˈafər
ምክንያቶች	mˈɨkɨnɨjatot͡ʃ
እስልምና	ʔˈɨsɨlɨmɨna
አብዛኛዎቹ	ʔˈaβɨzaɲawot͡ʃu
ቱቦ	tˈuβo
ወልደ	wˈəlɨdə
ለረዥም	lˈərəʒɨm
የከፍተኛ	jˈəkəfɨtəɲa
አዳም	ʔˈadam
ጽሕፈት	tsˈɨhɨfət
ነገሥቱን	nˈəɡəsɨtun
በሌላው	bˈəlelaw
መፅሐፍ	mˈətsɨhaf
አርዕስት	ʔˈarɨʔɨsɨt
አስረካቢ	ʔˈasɨrəkaβi
ከመሆኑም	kˈəməhonum
በግድ	bˈəɡɨd
የሚሰጠው	jˈəmisət`əw
ቁመት	k`ˈumət
የላቀ	jˈəlak`ə
ማዕከሉ	mˈaʔɨkəlu
ኤም	ʔˈem
መ	mˈə
ተወካዮች	tˈəwəkajot͡ʃ
ማታ	mˈata
የአርጀንቲና	jˈəʔarɨd͡ʒənɨtina
አስተኔ	ʔˈasɨtəne
ክሬዲት	kˈɨredit
ሲገቡ	sˈiɡəβu
ዘመቻ	zˈəmət͡ʃa
ነዳጅ	nˈədad͡ʒ
ከንቲባ	kˈənɨtiβa
ነፋስ	nˈəfas
ተቋማት	tˈək`wamat
ምስጢር	mˈɨsɨt`ir
ብዛቱ	bˈɨzatu
ምነው	mˈɨnəw
በየጊዜው	bˈəjəɡizew
ገለልተኛ	ɡˈələlɨtəɲa
ዘይት	zˈəjɨt
የክብር	jˈəkɨβɨr
ቅጠሉ	k`ˈɨt`əlu
የመሳሰሉትን	jˈəməsasəlutɨn
በማየት	bˈəmajət
አተር	ʔˈatər
ሲገኝ	sˈiɡəɲ
በማሰብ	bˈəmasəb
ስላሴ	sˈɨlase
ስድስት	sˈɨdɨsɨt
በዝርዝሩ	bˈəzɨrɨzɨru
የብር	jˈəβɨr
ቮልቴጅ	vˈolɨted͡ʒ
ዕድሜያቸው	ʔˈɨdɨmejat͡ʃəw
አመራር	ʔˈamərar
መላእክት	mˈəlaʔɨkɨt
ከሞላ	kˈəmola
ግዛት	ɡˈɨzat
እድሜው	ʔˈɨdɨmew
በውነት	bˈəwɨnət
የመካከለኛው	jˈəməkakələɲaw
ተናጋሪ	tˈənaɡari
ለመርዳት	lˈəmərɨdat
ለፍርድ	lˈəfɨrɨd
ፅንስ	tsˈɨnɨs
የሚለውን	jˈəmiləwɨn
የሌላውን	jˈəlelawɨn
በሮማይስጥ	bˈəromajɨsɨt`
ሳለ	sˈalə
ሕይወታቸው	hˈɨjɨwətat͡ʃəw
አለኝ	ʔˈaləɲ
ፈርዖኖች	fˈərɨʔonot͡ʃ
ኤፍ	ʔˈef
ጀግና	d͡ʒˈəɡɨna
የፈረስ	jˈəfərəs
ለማየት	lˈəmajət
ኅዋ	hˈɨwa
ዛሬ	zˈare
የተባለውን	jˈətəβaləwɨn
ሁላቸው	hˈulat͡ʃəw
ሀሣብ	hˈasab
በግብፅ	bˈəɡɨβɨts
በዛሬው	bˈəzarew
ሲባል	sˈiβal
ደግሞም	dˈəɡɨmom
ሊታወቅ	lˈitawək`
ኮሚቴ	kˈomite
መጻሕፍት	mˈətsahɨfɨt
የአራት	jˈəʔarat
ነዋሪ	nˈəwari
የቤተሰብ	jˈəβetəsəb
ሰኔ	sˈəne
የተሳሳተ	jˈətəsasatə
ነበርና	nˈəβərɨna
በሥነ	bˈəsɨnə
ድሃ	dˈɨha
ስነ	sˈɨnə
ብቻ	bˈɨt͡ʃa
ምግባር	mˈɨɡɨβar
ውስጣዊ	wˈɨsɨt`awi
ዋና	wˈana
ሊቃውንት	lˈik`awɨnɨt
የተባለው	jˈətəβaləw
እንዲሄድ	ʔˈɨnɨdihed
መጻፍ	mˈətsaf
ይልቁኑ	jˈɨlɨk`unu
ኃያል	hˈajal
የሰውን	jˈəsəwɨn
የሙያ	jˈəmuja
ግኝት	ɡˈɨɲɨt
ጨረራ	t͡ʃ`ˈərəra
መልስ	mˈəlɨs
ወስዶ	wˈəsɨdo
ለማመልከት	lˈəmaməlɨkət
መርከቦች	mˈərɨkəβot͡ʃ
ኣራት	ʔˈarat
በራሂ	bˈərahi
የሴት	jˈəset
ተመሳሳይ	tˈəməsasaj
ከእንጨት	kˈəʔɨnɨt͡ʃ`ət
ወታደር	wˈətadər
የግስበት	jˈəɡɨsɨβət
አልፋ	ʔˈalɨfa
ከሁለቱ	kˈəhulətu
ስላለ	sˈɨlalə
ቅኔ	k`ˈɨne
እስቴትስ	ʔˈɨsɨtetɨs
ተደርገው	tˈədərɨɡəw
ከግዕዙ	kˈəɡɨʔɨzu
ባለስልጣን	bˈaləsɨlɨt`an
ይሁዳ	jˈɨhuda
የለውጥ	jˈələwɨt`
የበሽታ	jˈəβəʃɨta
ዘርፍ	zˈərɨf
ዕድገት	ʔˈɨdɨɡət
ሲጽፍ	sˈitsɨf
ከነገሠ	kˈənəɡəsə
በመልካም	bˈəməlɨkam
እንዳለበት	ʔˈɨnɨdaləβət
ትምህርቱን	tˈɨmɨhɨrɨtun
በማመን	bˈəmamən
ኣሥር	ʔˈasɨr
ጽላት	tsˈɨlat
ቢላል	bˈilal
የግእዝ	jˈəɡɨʔɨz
ቀጥታ	k`ˈət`ɨta
ከዚሁ	kˈəzihu
የዓመት	jˈəʔamət
ተሳታፊዎች	tˈəsatafiwot͡ʃ
እንደዚያ	ʔˈɨnɨdəzija
እንቁላል	ʔˈɨnɨk`ulal
ሽማግሌ	ʃˈɨmaɡɨle
ተቀባይነት	tˈək`əβajɨnət
ጋብቻ	ɡˈaβɨt͡ʃa
መዓዛ	mˈəʔaza
ጉዳዩ	ɡˈudaju
አትክልት	ʔˈatɨkɨlɨt
ጥበብ	t`ˈɨβəb
መንግሥታቸው	mˈənɨɡɨsɨtat͡ʃəw
ለመግለጽ	lˈəməɡɨləts
መንገድ	mˈənɨɡəd
ከተማን	kˈətəman
አጥንት	ʔˈat`ɨnɨt
ጡት	t`ˈut
የሆኑትን	jˈəhonutɨn
በመጀመርያው	bˈəməd͡ʒəmərɨjaw
አይነት	ʔˈajɨnət
አባትና	ʔˈaβatɨna
እንደሚሆን	ʔˈɨnɨdəmihon
አውራጃ	ʔˈawɨrad͡ʒa
ምልክት	mˈɨlɨkɨt
ዘገባ	zˈəɡəβa
በትንሽ	bˈətɨnɨʃ
በሱመር	bˈəsumər
ለመጻፍ	lˈəmətsaf
አድርጎ	ʔˈadɨrɨɡo
ተጋድሎ	tˈəɡadɨlo
በመነሳት	bˈəmənəsat
ዶክተሩ	dˈokɨtəru
አንድላይ	ʔˈanɨdɨlaj
ሰፍነጎች	sˈəfɨnəɡot͡ʃ
በኣንድና	bˈəʔanɨdɨna
የማሪ	jˈəmari
ገብርኤል	ɡˈəβɨrɨʔel
ዮሴፉስ	jˈosefus
ተነስቶ	tˈənəsɨto
የተነሳ	jˈətənəsa
ጥቂት	t`ˈɨk`it
ቁም	k`ˈum
ሪቻርድ	rˈit͡ʃarɨd
ምንጭ	mˈɨnɨt͡ʃ`
ሰዉ	sˈəwu
ሃይማኖቱን	hˈajɨmanotun
ነዋሪዎች	nˈəwariwot͡ʃ
በጦር	bˈət`or
በዓላት	bˈəʔalat
ማተሚያ	mˈatəmija
ሲደርሱ	sˈidərɨsu
ፖርቱጋል	pˈorɨtuɡal
ክፍላገር	kˈɨfɨlaɡər
የመንገድ	jˈəmənɨɡəd
ማንኛውም	mˈanɨɲawɨm
ህንጻ	hˈɨnɨtsa
የሚጠጉ	jˈəmit`əɡu
በአላህ	bˈəʔalax
ሕጻን	hˈɨtsan
ቀንድ	k`ˈənɨd
በሶርያ	bˈəsorɨja
ማስታወቂያ	mˈasɨtawək`ija
ዘውዴ	zˈəwɨde
ሥላሴን	sˈɨlasen
ገጸ	ɡˈətsə
አስቀድሞ	ʔˈasɨk`ədɨmo
ጠጅ	t`ˈəd͡ʒ
የብሪታንያ	jˈəβɨritanɨja
በግል	bˈəɡɨl
ማየት	mˈajət
ባለሙያ	bˈaləmuja
እንግዲህ	ʔˈɨnɨɡɨdiç
አካላት	ʔˈakalat
ባለፉት	bˈaləfut
ተቀብሎ	tˈək`əβɨlo
መርዛም	mˈərɨzam
ቦታውን	bˈotawɨn
በጀርመን	bˈəd͡ʒərɨmən
እውነተኛ	ʔˈɨwɨnətəɲa
ረሃብ	rˈəhab
የህዝብ	jˈəhɨzɨb
አልፈው	ʔˈalɨfəw
ስም	sˈɨm
አረመኔ	ʔˈarəməne
አማራ	ʔˈamara
ክብር	kˈɨβɨr
ግልጽ	ɡˈɨlɨts
የሴቶች	jˈəsetot͡ʃ
ተያይዞ	tˈəjajɨzo
ሲተረጎም	sˈitərəɡom
ቀላል	k`ˈəlal
ዓይነት	ʔˈajɨnət
መከራ	mˈəkəra
ከዚህ	kˈəziç
አራት	ʔˈarat
ሠላሳ	sˈəlasa
ወደታች	wˈədətat͡ʃ
አግብቶ	ʔˈaɡɨβɨto
ያሳያል	jˈasajal
መድፍ	mˈədɨf
ኤንድ	ʔˈenɨd
አገራት	ʔˈaɡərat
ጽሁፍ	tsˈɨhuf
እጃቸውን	ʔˈɨd͡ʒat͡ʃəwɨn
በተለይ	bˈətələj
መዝገበ	mˈəzɨɡəβə
በንጉሥ	bˈənɨɡus
የአየርላንድ	jˈəʔajərɨlanɨd
እራሳቸውን	ʔˈɨrasat͡ʃəwɨn
ከነዓን	kˈənəʔan
ሀብታም	hˈaβɨtam
መረጃ	mˈərəd͡ʒa
መንግስት	mˈənɨɡɨsɨt
በጎ	bˈəɡo
ፕሮግራም	pˈɨroɡɨram
ሰራተኞች	sˈəratəɲot͡ʃ
ስለሚችል	sˈɨləmit͡ʃɨl
በመርከብ	bˈəmərɨkəb
የገጠር	jˈəɡət`ər
በዓመት	bˈəʔamət
ወግ	wˈəɡ
የኣሉት	jˈəʔalut
በአማራ	bˈəʔamara
ጣይቱ	t`ˈajɨtu
ጥናት	t`ˈɨnat
ትርዒት	tˈɨrɨʔit
ጠብቆ	t`ˈəβɨk`o
ደርሰው	dˈərɨsəw
አደን	ʔˈadən
ፈርዖን	fˈərɨʔon
ቤቱን	bˈetun
ዝንባሌ	zˈɨnɨβale
ጃንሆይ	d͡ʒˈanɨhoj
አንስታይን	ʔˈanɨsɨtajɨn
የሚኖርበት	jˈəminorɨβət
ሩቅ	rˈuk`
ሰገድ	sˈəɡəd
የእሳት	jˈəʔɨsat
ሮማ	rˈoma
እነዚህ	ʔˈɨnəziç
ጊዜያዊ	ɡˈizejawi
ሴት	sˈet
ጎደል	ɡˈodəl
ጆሮ	d͡ʒˈoro
ልጁን	lˈɨd͡ʒun
ማንነት	mˈanɨnət
ተቋሙ	tˈək`wamu
ኢንዱስትሪ	ʔˈinɨdusɨtɨri
ቃለ	k`ˈalə
ኦርቶዶክስ	ʔˈorɨtodokɨs
በማተሚያ	bˈəmatəmija
ነገሮች	nˈəɡərot͡ʃ
ተመሳሳይነት	tˈəməsasajɨnət
ሳይንስ	sˈajɨnɨs
ጸሐፊ	tsˈəhafi
በተደጋጋሚ	bˈətədəɡaɡami
እድሜ	ʔˈɨdɨme
ዓረፍተ	ʔˈarəfɨtə
የጋራ	jˈəɡara
ጎሣዎች	ɡˈosawot͡ʃ
ከጥንታዊ	kˈət`ɨnɨtawi
ባለሙያዎች	bˈaləmujawot͡ʃ
መጠን	mˈət`ən
ኤምኔም	ʔˈemɨnem
እንደሚከተለው	ʔˈɨnɨdəmikətələw
አቀፍ	ʔˈak`əf
የሚመራው	jˈəmiməraw
ያንን	jˈanɨn
የተሰጠው	jˈətəsət`əw
ግመት	ɡˈɨmət
ነጻ	nˈətsa
በራሷ	bˈəraswa
ያስተምር	jˈasɨtəmɨr
እረኛ	ʔˈɨrəɲa
ይበልጥ	jˈɨβəlɨt`
ከወይዘሮ	kˈəwəjɨzəro
ቴሌቪዥን	tˈeleviʒɨn
አፈወርቅ	ʔˈafəwərɨk`
ፍጡር	fˈɨt`ur
ፎቶ	fˈoto
ይሁንና	jˈɨhunɨna
ጤና	t`ˈena
በአይርላንድ	bˈəʔajɨrɨlanɨd
ሥፍራው	sˈɨfɨraw
መርገጫዎች	mˈərɨɡət͡ʃ`awot͡ʃ
አዋቂ	ʔˈawak`i
አንድ	ʔˈanɨd
መንፈስ	mˈənɨfəs
ገደብ	ɡˈədəb
ይኼ	jˈɨhe
ባስሊዮስ	bˈasɨlijos
ሐረር	hˈarər
ዝናብ	zˈɨnab
አሉ	ʔˈalu
ጥቁር	t`ˈɨk`ur
የኢኮኖሚ	jˈəʔikonomi
ዓለም	ʔˈaləm
ምቹ	mˈɨt͡ʃu
ይሄም	jˈɨhem
በተነሳ	bˈətənəsa
ከሕንዳዊ	kˈəhɨnɨdawi
የቀረበው	jˈək`ərəβəw
ቃሉ	k`ˈalu
ሠራተኞች	sˈəratəɲot͡ʃ
ንጉሠ	nˈɨɡusə
የዘመናዊ	jˈəzəmənawi
ድልድይ	dˈɨlɨdɨj
ከከነዓን	kˈəkənəʔan
እማሆይ	ʔˈɨmahoj
በምድር	bˈəmɨdɨr
ባለቤት	bˈaləβet
ጆን	d͡ʒˈon
መቀመጥ	mˈək`əmət`
የኖረው	jˈənorəw
በተረፈ	bˈətərəfə
እኑስ	ʔˈɨnus
የምህንድስና	jˈəmɨhɨnɨdɨsɨna
ልዑካን	lˈɨʔukan
የተለዩ	jˈətələju
የታሪክ	jˈətarik
እኮ	ʔˈɨko
እንደሚቻል	ʔˈɨnɨdəmit͡ʃal
እንግሊዞች	ʔˈɨnɨɡɨlizot͡ʃ
ፕሬስ	pˈɨres
ልጇን	lˈɨd͡ʒwan
በቀላል	bˈək`əlal
ዘሮች	zˈərot͡ʃ
ቦምብ	bˈomɨb
ግፊት	ɡˈɨfit
እንደሚችሉ	ʔˈɨnɨdəmit͡ʃɨlu
ይፋ	jˈɨfa
ሠራሽ	sˈəraʃ
ቴአትር	tˈeʔatɨr
የጦር	jˈət`or
ግብ	ɡˈɨb
ወይዘሮ	wˈəjɨzəro
አቀራረብ	ʔˈak`ərarəb
ተፈጥሮ	tˈəfət`ɨro
አሜሪካዊ	ʔˈamerikawi
ከሰማይ	kˈəsəmaj
ሰሎሞን	sˈəlomon
ኮሌጅ	kˈoled͡ʒ
የቆየ	jˈək`ojə
ባንድ	bˈanɨd
ዶ	dˈo
ዙር	zˈur
በሚገባ	bˈəmiɡəβa
ኖሮ	nˈoro
ሲደርስ	sˈidərɨs
ስጦታ	sˈɨt`ota
ሲኖሩት	sˈinorut
የበሬ	jˈəβəre
ከንጉሥ	kˈənɨɡus
ዜጎች	zˈeɡot͡ʃ
ሳርጎን	sˈarɨɡon
በመስጠት	bˈəməsɨt`ət
ሆነ	hˈonə
እስክንድር	ʔˈɨsɨkɨnɨdɨr
ናት	nˈat
መብላት	mˈəβɨlat
መሠረታዊ	mˈəsərətawi
ተዋናይ	tˈəwanaj
ዜና	zˈena
ስለነበር	sˈɨlənəβər
ዝግጅት	zˈɨɡɨd͡ʒɨt
አስር	ʔˈasɨr
እስራኤል	ʔˈɨsɨraʔel
ለህዝብ	lˈəhɨzɨb
ተማሪዎች	tˈəmariwot͡ʃ
ተስማሚ	tˈəsɨmami
ሊባኖስ	lˈiβanos
ዘመድ	zˈəməd
ሳሙኤል	sˈamuʔel
ሬዲዮ	rˈedijo
ክልል	kˈɨlɨl
በረካ	bˈərəka
ከተማና	kˈətəmana
የአዲስ	jˈəʔadis
ኢስላም	ʔˈisɨlam
በእንግሊዝ	bˈəʔɨnɨɡɨliz
ተብለው	tˈəβɨləw
የጠበቀ	jˈət`əβək`ə
አምክንዮ	ʔˈamɨkɨnɨjo
ደቀ	dˈək`ə
ክርስቲያኖች	kˈɨrɨsɨtijanot͡ʃ
የአማርኛ	jˈəʔamarɨɲa
ለጥቂት	lˈət`ɨk`it
ነብይ	nˈəβɨj
ወንዶቹ	wˈənɨdot͡ʃu
አራተኛ	ʔˈaratəɲa
በማህበራዊ	bˈəmahɨβərawi
ቅጠል	k`ˈɨt`əl
ሠፈሮች	sˈəfərot͡ʃ
በዋና	bˈəwana
ማርያም	mˈarɨjam
ጋዜጠኛ	ɡˈazet`əɲa
ሰባት	sˈəβat
ጫና	t͡ʃ`ˈana
የዛኔ	jˈəzane
አንቀጽ	ʔˈanɨk`əts
አሜሪካ	ʔˈamerika
ጥሩ	t`ˈɨru
የሚቆጠር	jˈəmik`ot`ər
ዕውቀት	ʔˈɨwɨk`ət
የኑሮ	jˈənuro
ውጭ	wˈɨt͡ʃ`
ዉ	wˈu
ያህል	jˈahɨl
በሌላ	bˈəlela
የእርሱ	jˈəʔɨrɨsu
በስፋት	bˈəsɨfat
እስፔሊንግ	ʔˈɨsɨpelinɨɡ
ኦሮሞ	ʔˈoromo
ከአላህ	kˈəʔalax
ህዝብ	hˈɨzɨb
የወርቅ	jˈəwərɨk`
አቋም	ʔˈak`wam
እርሱን	ʔˈɨrɨsun
አዝማች	ʔˈazɨmat͡ʃ
የሚቀርብ	jˈəmik`ərɨb
ግጥም	ɡˈɨt`ɨm
አይጥ	ʔˈajɨt`
ያተኮረ	jˈatəkorə
ኬሚካዊ	kˈemikawi
ኢያሱ	ʔˈijasu
ሦስት	sˈosɨt
ንጉሥና	nˈɨɡusɨna
ይታወቅ	jˈɨtawək`
አውሬ	ʔˈawɨre
የነበረ	jˈənəβərə
በእስራኤል	bˈəʔɨsɨraʔel
ጠቅላላ	t`ˈək`ɨlala
ተለይተው	tˈələjɨtəw
ምክኒያት	mˈɨkɨnijat
መልአክ	mˈəlɨʔak
ብር	bˈɨr
ተሳታፊ	tˈəsatafi
ቅርጾች	k`ˈɨrɨtsot͡ʃ
ለጎን	lˈəɡon
ተኩል	tˈəkul
ሃያላት	hˈajalat
በተገኙበት	bˈətəɡəɲuβət
ተናጋሪዎች	tˈənaɡariwot͡ʃ
ቢትወደድ	bˈitɨwədəd
አቅጣጫ	ʔˈak`ɨt`at͡ʃ`a
የነበሩ	jˈənəβəru
የአይሁድ	jˈəʔajɨhud
ኣዳዲስ	ʔˈadadis
ሕዝባዊ	hˈɨzɨβawi
ማርች	mˈarɨt͡ʃ
ስኳር	sˈɨkwar
ተጽፎ	tˈətsɨfo
ለተለያዩ	lˈətələjaju
ስፍራዎች	sˈɨfɨrawot͡ʃ
የኬጥያውያን	jˈəket`ɨjawɨjan
ሥራውን	sˈɨrawɨn
እናት	ʔˈɨnat
ኪሎሜትር	kˈilometɨr
ጉልበት	ɡˈulɨβət
በውጭ	bˈəwɨt͡ʃ`
ሹም	ʃˈum
መሆኑ	mˈəhonu
ኬክሮስ	kˈekɨros
እንደ	ʔˈɨnɨdə
እምነቶች	ʔˈɨmɨnətot͡ʃ
በወቅቱ	bˈəwək`ɨtu
ለማስቀመጥ	lˈəmasɨk`əmət`
ቁጭ	k`ˈut͡ʃ`
ወደዚህ	wˈədəziç
የሚጫወቱት	jˈəmit͡ʃ`awətut
የሕዝቡ	jˈəhɨzɨβu
የቀድሞው	jˈək`ədɨmow
እምቅ	ʔˈɨmɨk`
ሲኖረው	sˈinorəw
ምስጋና	mˈɨsɨɡana
ፈርዖኑ	fˈərɨʔonu
ምሽግ	mˈɨʃɨɡ
ከነዚህም	kˈənəzihɨm
ይመስላል	jˈɨməsɨlal
ወሬ	wˈəre
ማን	mˈan
ስርወ	sˈɨrɨwə
ም	mˈɨ
ለማረጋገጥ	lˈəmarəɡaɡət`
ከደቡብ	kˈədəβub
ቺ	t͡ʃˈi
መስከረም	mˈəsɨkərəm
መግባት	mˈəɡɨβat
የሚጠቀሙ	jˈəmit`ək`əmu
አዳዲስ	ʔˈadadis
ጊዮርጊስ	ɡˈijorɨɡis
ተወለዱ	tˈəwələdu
ያዘ	jˈazə
በከንቱ	bˈəkənɨtu
የነበር	jˈənəβər
ፈረስ	fˈərəs
ከእነዚህ	kˈəʔɨnəziç
ምስራቅ	mˈɨsɨrak`
ችላ	t͡ʃˈɨla
በኤሌክትሪክ	bˈəʔelekɨtɨrik
ርዕዮተ	rˈɨʔɨjotə
የመጀመሪያዋ	jˈəməd͡ʒəmərijawa
ሌላም	lˈelam
ሲሉ	sˈilu
ከፍታ	kˈəfɨta
ብሎ	bˈɨlo
አርአያ	ʔˈarɨʔaja
በሚገኙ	bˈəmiɡəɲu
ባሻ	bˈaʃa
በመግባት	bˈəməɡɨβat
ኃይለኛ	hˈajɨləɲa
ርስት	rˈɨsɨt
ደስ	dˈəs
ልማድ	lˈɨmad
ለ፫	lˈə
ኦሪት	ʔˈorit
መጽሐፍ	mˈətsɨhaf
ሀ	hˈa
ሲጀመር	sˈid͡ʒəmər
ጽሑፍ	tsˈɨhuf
ምዕራብ	mˈɨʔɨrab
ለማድረግ	lˈəmadɨrəɡ
ትይዩ	tˈɨjɨju
ሥራዎች	sˈɨrawot͡ʃ
ማመን	mˈamən
አጫጭር	ʔˈat͡ʃ`at͡ʃ`ɨr
እንዲሠራ	ʔˈɨnɨdisəra
ሁኔታዎች	hˈunetawot͡ʃ
ሀረም	hˈarəm
ተቃራኒ	tˈək`arani
ሕይወት	hˈɨjɨwət
ክልሎች	kˈɨlɨlot͡ʃ
ጾታ	tsˈota
ኢየሱስ	ʔˈijəsus
የአገሩ	jˈəʔaɡəru
መርገጫ	mˈərɨɡət͡ʃ`a
የፍርድ	jˈəfɨrɨd
መጡ	mˈət`u
አመታት	ʔˈamətat
እሳቸውም	ʔˈɨsat͡ʃəwɨm
ለማቅረብ	lˈəmak`ɨrəb
ሰዓት	sˈəʔat
ዘይቤ	zˈəjɨβe
መውሰድ	mˈəwɨsəd
ታዲያ	tˈadija
ብለው	bˈɨləw
ግድግዳ	ɡˈɨdɨɡɨda
ሙሐመድ	mˈuhaməd
ቅደም	k`ˈɨdəm
ሰንበት	sˈənɨβət
የደረሱ	jˈədərəsu
በፍጹም	bˈəfɨtsum
ሂክሶስ	hˈikɨsos
ድንጋይ	dˈɨnɨɡaj
ገዙ	ɡˈəzu
ሠራዊት	sˈərawit
ከሞተ	kˈəmotə
የሮማውያን	jˈəromawɨjan
ተዋሕዶ	tˈəwahɨdo
ድርሰት	dˈɨrɨsət
በሕዝቡ	bˈəhɨzɨβu
ቅዱስ	k`ˈɨdus
የሚታየው	jˈəmitajəw
ዩ	jˈu
ይቅርታ	jˈɨk`ɨrɨta
የባቢሎን	jˈəβaβilon
የአፍሪቃ	jˈəʔafɨrik`a
ስሟ	sˈɨmwa
ተከራካሪ	tˈəkərakari
ቅድስት	k`ˈɨdɨsɨt
አውሮፕላን	ʔˈawɨropɨlan
ከሚል	kˈəmil
ጉዳይ	ɡˈudaj
በተደረገው	bˈətədərəɡəw
ያላቸውን	jˈalat͡ʃəwɨn
ንፋስ	nˈɨfas
አባቱን	ʔˈaβatun
ሚስቱ	mˈisɨtu
የተባሉትን	jˈətəβalutɨn
ፀሐፊ	tsˈəhafi
የጽሑፍ	jˈətsɨhuf
ግዕዝ	ɡˈɨʔɨz
ለማስላት	lˈəmasɨlat
ስንኳ	sˈɨnɨkwa
ደሴት	dˈəset
የተወሰነ	jˈətəwəsənə
ዶላር	dˈolar
ከጥቅም	kˈət`ɨk`ɨm
መኪና	mˈəkina
ይፋዊ	jˈɨfawi
የአንድን	jˈəʔanɨdɨn
በግሪክ	bˈəɡɨrik
ትውፊት	tˈɨwɨfit
በሚገኝ	bˈəmiɡəɲ
ሠራዊቱ	sˈərawitu
ስሌት	sˈɨlet
መንታ	mˈənɨta
ብዙውን	bˈɨzuwɨn
ሥራዎችን	sˈɨrawot͡ʃɨn
ከዛ	kˈəza
ዝቅተኛ	zˈɨk`ɨtəɲa
ፊደሉን	fˈidəlun
ይገኛል	jˈɨɡəɲal
መጠነ	mˈət`ənə
የሁለቱ	jˈəhulətu
በተለያዩ	bˈətələjaju
መጽሓፍ	mˈətsɨhaf
ሐዋርያት	hˈawarɨjat
በኣሁኑ	bˈəʔahunu
በብዛት	bˈəβɨzat
ይኖር	jˈɨnor
ትተው	tˈɨtəw
የተያያዘ	jˈətəjajazə
ግዕዝን	ɡˈɨʔɨzɨn
እነዚህም	ʔˈɨnəzihɨm
ወልድ	wˈəlɨd
ቢሊዮን	bˈilijon
ደረቅ	dˈərək`
ይጠቀሙበት	jˈɨt`ək`əmuβət
ዘርፎች	zˈərɨfot͡ʃ
የቱርክ	jˈəturɨk
በህዝብ	bˈəhɨzɨb
ዝሆን	zˈɨhon
ውስጥ	wˈɨsɨt`
ነሽ	nˈəʃ
የመጨረሻ	jˈəmət͡ʃ`ərəʃa
የሚያገለግሉ	jˈəmijaɡələɡɨlu
በዘመናቸው	bˈəzəmənat͡ʃəw
በሁለተኛ	bˈəhulətəɲa
አማልክት	ʔˈamalɨkɨt
ደራሲ	dˈərasi
ጥሩነሽ	t`ˈɨrunəʃ
እርስ	ʔˈɨrɨs
ነገር	nˈəɡər
ትግራይ	tˈɨɡɨraj
ልዕልት	lˈɨʔɨlɨt
ታላቁ	tˈalak`u
ግርጌ	ɡˈɨrɨɡe
በዳግማዊ	bˈədaɡɨmawi
ጉልህ	ɡˈulɨx
መንገደኞች	mˈənɨɡədəɲot͡ʃ
መገንዘብ	mˈəɡənɨzəb
ዙፋኑ	zˈufanu
ለንጉሠ	lˈənɨɡusə
ህይወቱ	hˈɨjɨwətu
ግማሽ	ɡˈɨmaʃ
የህትመት	jˈəhɨtɨmət
እንጂ	ʔˈɨnɨd͡ʒi
ጀመረ	d͡ʒˈəmərə
ኮምፕዩተራይዝ	kˈomɨpɨjutərajɨz
ሔሩ	hˈeru
መስኮች	mˈəsɨkot͡ʃ
የሚደረግ	jˈəmidərəɡ
የመጀመሪያውን	jˈəməd͡ʒəmərijawɨn
ህጻን	hˈɨtsan
ትዝታ	tˈɨzɨta
ዋስትና	wˈasɨtɨna
ለቀው	lˈək`əw
ሆቴል	hˈotel
ፍፁም	fˈɨtsum
ተግባር	tˈəɡɨβar
ሥርዓቱ	sˈɨrɨʔatu
ግንብ	ɡˈɨnɨb
ወይን	wˈəjɨn
ወርሮ	wˈərɨro
የግጥም	jˈəɡɨt`ɨm
መጀመርያው	mˈəd͡ʒəmərɨjaw
በአማርኛ	bˈəʔamarɨɲa
በኒህ	bˈəniç
የታወቁት	jˈətawək`ut
የተፈጥሮ	jˈətəfət`ɨro
ሴራ	sˈera
መለኪያ	mˈələkija
የሞት	jˈəmot
ባሪያ	bˈarija
መላምት	mˈəlamɨt
ሁሉም	hˈulum
ትውልድ	tˈɨwɨlɨd
በአዲስ	bˈəʔadis
መዝገብ	mˈəzɨɡəb
ንብረት	nˈɨβɨrət
በብዙዎች	bˈəβɨzuwot͡ʃ
ከሚገኘው	kˈəmiɡəɲəw
ሳንቲ	sˈanɨti
ንጉሱ	nˈɨɡusu
ሰቀል	sˈək`əl
ካሉ	kˈalu
ከኛ	kˈəɲa
ሂሳብ	hˈisab
የተሠራው	jˈətəsəraw
የነበሩት	jˈənəβərut
ለመቀበል	lˈəmək`əβəl
ቢል	bˈil
ከስልጣን	kˈəsɨlɨt`an
