portbagaj	portbaɡaʒ
anticentru	antitʃentru
teocrație	teokratsije
încrestat	ɨnkrestat
rația	ratsija
postsincronizat	postsinkronizat
mizilic	mizilik
măselariță	məselaritsə
tinde	tinde
încârdoșare	ɨnkɨrdoʃare
apostat	apostat
admitem	admitem
circumpolar	tʃirkumpolar
leșina	leʃina
eram	eram
muriș	muriʃ
optime	optime
sporogen	sporodʒen
borna	borna
măluț	məluts
importunitate	importunitate
levură	levurə
chemare	kʲ̩emare
catihetic	katihetik
antropologism	antropolodʒism
asfințește	asfintseʃte
gupă	ɡupə
chipiu	kʲ̩ipiw
aseptic	aseptik
condamnabil	kondamnabil
cadra	kadra
nehotărâre	nehotərɨre
populația	populatsija
hitlerist	hitlerist
voicu	vojku
infamat	infamat
aconta	akonta
pisălog	pisəloɡ
binevoit	binevoit
arierbec	arijerbek
prescria	preskrija
romanțat	romantsat
deconcerta	dekontʃerta
paracăzător	parakəzətor
cumpănit	kumpənit
stranii	stranij
sanviș	sanviʃ
citatomanie	tʃitatomanije
rongalit	ronɡalit
lapovițare	lapovitsare
consider	konsider
acruț	akruts
decantat	dekantat
descolăcire	deskolətʃire
leguan	leɡuwan
plantațiune	plantatsiune
etiologie	etiolodʒije
tabletare	tabletare
căpetenie	kəpetenije
neveninos	neveninos
călire	kəlire
rarifica	rarifika
sinteză	sintezə
obsesiune	obsesiune
cerc	tʃerk
mielinic	mijelinik
fonetist	fonetist
combinat	kombinat
fugacitate	fuɡatʃitate
zoonomie	zoonomije
mestecăniș	mestekəniʃ
spasmolitic	spasmolitik
claudiescu	klaudijesku
suprasaturație	suprasaturatsije
scrotali	skrotalʲ
linacee	linatʃee
carburație	karburatsije
budăi	budəi
dorsal	dorsal
freatice	freatitʃe
alvvimar	alvvimar
utilaj	utilaʒ
văzut	vəzut
voință	vointsə
formării	formərij
supraalimenta	supraalimenta
recapitulare	rekapitulare
derula	derula
fi	fi
mumifica	mumifika
bălărie	bələrije
congestiv	kondʒestiv
geodă	dʒeodə
brâncușian	brɨnkuʃijan
nefirești	nefireʃtʲ
epiteliom	epiteliom
iernare	jernare
butona	butona
posomorit	posomorit
signatură	siɡnaturə
dușmănos	duʃmənos
opțiune	optsiune
premodern	premodern
protoistorie	protoistorije
decorat	dekorat
land	land
catadicsire	katadiksire
iperige	iperidʒe
douăzecilea	dowəzetʃilĕa
cereale	tʃereale
îmbălsămire	ɨmbəlsəmire
vraniță	vranitsə
marxism	marksism
gheare	gʲ̩̩are
protector	protektor
epidermic	epidermik
anghel	angʲ̩el
accidenta	aktʃidenta
hidratabil	hidratabil
netratabil	netratabil
acupunctor	akupunktor
găvozdire	ɡəvozdire
prosop	prosop
bibică	bibikə
bondar	bondar
dracină	dratʃinə
talim	talim
atriu	atrju
blidar	blidar
adral	adral
încolătăcire	ɨnkolətətʃire
fructoză	fruktozə
frichinit	frikʲ̩init
simbolizează	simbolizĕazə
perforaj	perforaʒ
arșic	arʃik
încrucit	ɨnkrutʃit
surmena	surmena
meșteșugareț	meʃteʃuɡarets
baricada	barikada
ebonită	ebonitə
legitimat	ledʒitimat
caldeiră	kaldeirə
deblocheze	deblokʲ̩eze
ger	dʒer
stigmatizant	stiɡmatizant
monetă	monetə
geambașie	dʒ̩ambaʃije
segregațiune	seɡreɡatsiune
dezbârnat	dezbɨrnat
strapontin	strapontin
sibarit	sibarit
conjuncție	konʒunktsije
hâțânare	hɨtsɨnare
trainice	trajnitʃe
antimilitarism	antimilitarism
înfăptuitor	ɨnfəptuitor
rutinare	rutinare
heterotrof	heterotrof
baricentru	baritʃentru
scobitoare	skobitŏare
neloială	nelojalə
fonderie	fonderije
plebeu	plebew
privit	privit
cafeniu	kafeniw
miotomie	miotomije
angrena	anɡrena
bucșit	bukʃit
gipsotecă	dʒipsotekə
near	nĕar
învelit	ɨnvelit
încăpea	ɨnkəpĕa
glicogenetic	ɡlikodʒenetik
favoritism	favoritism
reverberare	reverberare
infatua	infatuwa
folosului	folosuluj
latinitate	latinitate
xenie	ksenije
aramaic	aramaik
degajare	deɡaʒare
tinu	tinu
logică	lodʒikə
înzorzonat	ɨnzorzonat
crăpare	krəpare
depistat	depistat
ducă	dukə
ba	ba
tasta	tasta
federvais	federvajs
cardioplegie	kardiopledʒije
hemimelie	hemimelije
tildă	tildə
exasperant	egzasperant
harghiteancă	hargʲ̩itĕankə
cultiva	kultiva
fosforescent	fosforestʃent
federalism	federalism
loba	loba
glicoliză	ɡlikolizə
mărăcine	mərətʃine
esențiale	esentsijale
pârpălire	pɨrpəlire
secriaș	sekrijaʃ
improvizatoric	improvizatorik
îmbrâncitură	ɨmbrɨntʃiturə
defetist	defetist
profundare	profundare
grohot	ɡrohot
zefliu	zefliw
haideți	hajdetsʲ
aud	aud
levit	levit
internetul	internetul
cultura	kultura
miocrom	miokrom
șușanea	ʃuʃanĕa
ostiolă	ostiolə
burhai	burhaj
lege	ledʒe
fular	fular
prenumăra	prenuməra
investigație	investiɡatsije
îndrăzneț	ɨndrəznets
treime	treime
căpităneasă	kəpitənĕasə
dăscălaș	dəskəlaʃ
străzile	strəzile
bunăvoință	bunəvointsə
encea	entʃ̩a
broșat	broʃat
electronic	elektronik
stânjenit	stɨnʒenit
enigmistic	eniɡmistik
morgana	morɡana
înspumat	ɨnspumat
aținere	atsinere
pârș	pɨrʃ
mareșalat	mareʃalat
troncănit	tronkənit
lamaist	lamaist
țesut	tsesut
broderie	broderije
am	am
puia	puja
podgoreancă	podɡorĕankə
primenit	primenit
bombat	bombat
geotectonic	dʒeotektonik
arhiduce	arhidutʃe
obiectivele	objektivele
faurmaur	faurmaur
gard	ɡard
leghe	legʲ̩e
nesolidificat	nesolidifikat
melană	melanə
superfinisa	superfinisa
paznic	paznik
teleoperator	teleoperator
locuire	lokuire
dehidrogena	dehidrodʒena
roșiatic	roʃijatik
papism	papism
iodat	jodat
amhar	amhar
sur	sur
amino	amino
planifica	planifika
reverificare	reverifikare
trăistuță	trəjstutsə
humă	humə
toxină	toksinə
încuviința	ɨnkuvijintsa
amarat	amarat
rotație	rotatsije
vâslaș	vɨslaʃ
deplin	deplin
fredonare	fredonare
galițian	ɡalitsijan
taxifurgonetă	taksifurɡonetə
hiperonic	hiperonik
primbla	primbla
condens	kondens
specificație	spetʃifikatsije
încrede	ɨnkrede
lucrurilor	lukrurilor
tocire	totʃire
generalizat	dʒeneralizat
ajunși	aʒunʃʲ
gas	ɡas
umbriță	umbritsə
arcuitură	arkuiturə
antivitamină	antivitaminə
fazanerie	fazanerije
ecart	ekart
virusuri	virusurʲ
popescu	popesku
monopol	monopol
gogoșea	ɡoɡoʃĕa
depeizat	depeizat
clipotire	klipotire
subsioară	supsiŏarə
înmatriculare	ɨnmatrikulare
paralogic	paralodʒik
ospecior	ospetʃ̩or
strânsoare	strɨnsŏare
următor	urmətor
pleaftură	plĕafturə
grabă	ɡrabə
dumesnic	dumesnik
meserii	meserij
radieră	radijerə
armoniza	armoniza
slugărime	sluɡərime
prometeism	prometeism
conformeze	konformeze
păruire	pəruire
măsuri	məsurʲ
soarbă	sŏarbə
mugurare	muɡurare
stereodinamic	stereodinamik
spumegare	spumeɡare
lard	lard
chix	kʲ̩iks
amplificare	amplifikare
jupuială	ʒupujalə
pașcani	paʃkanʲ
leoveancă	leovĕankə
ferfenița	ferfenitsa
gonflant	ɡonflant
rechizitor	rekʲ̩izitor
eterodox	eterodoks
întemnița	ɨntemnitsa
volens	volens
pescărime	peskərime
harpe	harpe
canciog	kantʃ̩oɡ
acvadag	akvadaɡ
insultat	insultat
năstăvire	nəstəvire
picura	pikura
baretă	baretə
drahmă	drahmə
împăcăciune	ɨmpəkətʃ̩une
flecărit	flekərit
maiestate	majestate
petrini	petrini
izbânditor	izbɨnditor
sprinteior	sprintejor
decret	dekret
causticizat	kaustitʃizat
matricol	matrikol
ihtiozaur	ihtiozaur
electrografie	elektroɡrafije
graniță	ɡranitsə
spirochet	spirokʲ̩et
corupția	koruptsija
stațiograf	statsioɡraf
vocațiune	vokatsiune
leucocit	leukotʃit
spetează	spetĕazə
carpicultură	karpikulturə
poliptic	poliptik
îngloda	ɨnɡloda
sinecură	sinekurə
bulgară	bulɡarə
endocard	endokard
ciot	tʃ̩ot
anauxit	anauksit
scorțos	skortsos
atare	atare
matematice	matematitʃe
ciob	tʃ̩ob
termopan	termopan
omenit	omenit
țapinar	tsapinar
deliberare	deliberare
difosgen	difosdʒen
îmbufnat	ɨmbufnat
urlet	urlet
războaie	rəzbŏaje
infuzor	infuzor
nedivizibil	nedivizibil
ferocitate	ferotʃitate
sentimentalizare	sentimentalizare
plecase	plekase
împărtășea	ɨmpərtəʃĕa
răspăr	rəspər
răsturnare	rəsturnare
ținea	tsinĕa
columbofilie	kolumbofilije
picătură	pikəturə
jigăreală	ʒiɡərĕalə
arborizație	arborizatsije
discernere	distʃernere
paramedic	paramedik
datele	datele
menșevism	menʃevism
herul	herul
iubi	jubi
fierul	fjerul
olăroiu	oləroju
povățuire	povətsuire
scaunele	skaunele
prunet	prunet
maleină	maleinə
întralta	ɨntralta
horpăire	horpəire
cromism	kromism
termoceas	termotʃ̩as
rocărie	rokərije
fotoliului	fotoljuluj
videocasetă	videokasetə
personajul	personaʒul
ordinariat	ordinarijat
șpring	ʃprinɡ
înțărcat	ɨntsərkat
linotipist	linotipist
motonautică	motonautikə
radio	radio
caimac	kajmak
huțuțat	hutsutsat
odinire	odinire
lați	latsi
băieș	bəjeʃ
rotocolit	rotokolit
pocaianie	pokajanije
comisură	komisurə
pretenția	pretentsija
profil	profil
impertinent	impertinent
libere	libere
tintometru	tintometru
infraviral	infraviral
dozabil	dozabil
leucobază	leukobazə
caliornă	kaliornə
chifan	kʲ̩ifan
mustuitură	mustuiturə
canaf	kanaf
vițos	vitsos
spiccato	spik̩ato
colagenoză	koladʒenozə
presădit	presədit
buchisat	bukʲ̩isat
suspenda	suspenda
harchină	harkʲ̩inə
antipapism	antipapism
rumbatron	rumbatron
derogare	deroɡare
frontieră	frontijerə
zefir	zefir
lactoduc	laktoduk
eficient	efitʃijent
rondelă	rondelə
morb	morb
prezentul	prezentul
negreală	neɡrĕalə
picare	pikare
almăgean	almədʒ̩an
porfirie	porfirije
industriei	industrijej
subliniem	sublinijem
tovarășa	tovarəʃa
zmeu	zmew
năstrușnicie	nəstruʃnitʃije
pneumonie	pneumonije
chehaia	kʲ̩ehaja
învățare	ɨnvətsare
victimizare	viktimizare
volum	volum
gumaj	ɡumaʒ
reproducător	reprodukətor
bârlădeancă	bɨrlədĕankə
provitamină	provitaminə
doagă	dŏaɡə
ieșitoare	jeʃitŏare
grep	ɡrep
brumare	brumare
debitmetru	debitmetru
microinterval	mikrointerval
arare	arare
huidu	hujdu
kilowatt	kʲilovat̩
șiadbei	ʃjadbej
arămit	arəmit
prolanurie	prolanurije
pantalonar	pantalonar
măcelărit	mətʃelərit
sefterea	sefterĕa
coloană	kolŏanə
putină	putinə
canon	kanon
precaria	prekarija
occidentalizare	oktʃidentalizare
interpolat	interpolat
hepaticee	hepatitʃee
popesc	popesk
vorbită	vorbitə
tenotomie	tenotomije
ratare	ratare
înlănțuit	ɨnləntsuit
garf	ɡarf
pimniță	pimnitsə
ironizator	ironizator
vitcu	vitku
frâncu	frɨnku
înălticel	ɨnəltitʃel
stelaru	stelaru
apărea	apərĕa
agrotehnic	aɡrotehnik
neadmis	neadmis
proclamator	proklamator
antice	antitʃe
ambiție	ambitsije
elixir	eliksir
descopciere	deskoptʃijere
negustoreasă	neɡustorĕasə
polisinteză	polisintezə
confunda	konfunda
mocănește	mokəneʃte
emanare	emanare
dehidrogenază	dehidrodʒenazə
pergamoid	perɡamoid
dezmetecire	dezmetetʃire
iranic	iranik
fantasmagorie	fantasmaɡorije
scurs	skurs
izoamplitudine	izoamplitudine
zghihuire	zgʲ̩ihuire
xantofilă	ksantofilə
secfestrare	sekfestrare
sclavagism	sklavadʒism
trecură	trekurə
alveolare	alveolare
tărca	tərka
eluvial	eluvijal
despreuna	despreuna
cimentare	tʃimentare
smucit	smutʃit
ajunul	aʒunul
ciuroi	tʃ̩uroj
foiletat	foiletat
mihoc	mihok
florărie	florərije
conștienți	konʃtijentsʲ
subfilială	subfilijalə
tahifemie	tahifemije
filtra	filtra
adora	adora
vogă	voɡə
hurui	hurui
mondoeconomie	mondoekonomije
cloncănit	klonkənit
perfuzor	perfuzor
sângele	sɨndʒele
călărime	kələrime
tomnare	tomnare
amânar	amɨnar
convergență	konverdʒentsə
aed	aed
namesnic	namesnik
deșarte	deʃarte
întoarceți	ɨntŏartʃetsʲ
epicotil	epikotil
trifoiaș	trifojaʃ
străbunic	strəbunik
dăruire	dəruire
subțiare	suptsijare
rasism	rasism
velniță	velnitsə
descălțare	deskəltsare
membranos	membranos
ecrana	ekrana
brobonare	brobonare
arma	arma
alimentele	alimentele
coxită	koksitə
derapa	derapa
mârșav	mɨrʃav
proba	proba
debitor	debitor
pistonare	pistonare
oareșcine	ŏareʃtʃine
asurzitor	asurzitor
lichenic	likʲ̩enik
desemn	desemn
zăluzeală	zəluzĕalə
ordalie	ordalije
vinghercă	vingʲ̩erkə
kit	kʲit
ușurel	uʃurel
amplitudine	amplitudine
standardiza	standardiza
troleu	trolew
clica	klika
hepatologie	hepatolodʒije
scriitorul	skrijitorul
fotohartă	fotohartə
contrarecepție	kontraretʃeptsije
aluniș	aluniʃ
șoptește	ʃopteʃte
înaurat	ɨnaurat
velnicer	velnitʃer
telegram	teleɡram
ecarlat	ekarlat
întredeschis	ɨntredeskʲ̩is
pestrița	pestritsa
viclenire	viklenire
voinea	vojnĕa
pirotehnician	pirotehnitʃijan
blagoslovire	blaɡoslovire
elocință	elotʃintsə
metalogenie	metalodʒenije
mastisol	mastisol
abnegat	abneɡat
închinător	ɨnkʲ̩inətor
naturalețe	naturaletse
segmentație	seɡmentatsije
inițiatic	initsiatik
franțuzit	frantsuzit
van	van
sopran	sopran
habitus	habitus
afurcare	afurkare
magmatism	maɡmatism
parentalii	parentalij
decalvant	dekalvant
lăptar	ləptar
sexologie	seksolodʒije
edulcorant	edulkorant
fuituială	fuitujalə
franciscan	frantʃiskan
tautocronă	tautokronə
irizație	irizatsije
porfiră	porfirə
sarcasm	sarkasm
tăgăduință	təɡəduintsə
bavețică	bavetsikə
acumulativ	akumulativ
fototermometru	fototermometru
proțăpel	protsəpel
scrobire	skrobire
proteism	proteism
reflexogen	refleksodʒen
sincipital	sintʃipital
gamaglobulină	ɡamaɡlobulinə
biocibernetic	biotʃibernetik
ancola	ankola
postpoziție	postpozitsije
aspirat	aspirat
despărțământ	despərtsəmɨnt
zgomotos	zɡomotos
tunare	tunare
barchet	barkʲ̩et
patriarcal	patriarkal
amanetare	amanetare
fuduli	fudulʲ
lecții	lektsij
exporta	eksporta
presșpan	presʃpan
urzitoare	urzitŏare
invocație	invokatsije
valvulotomie	valvulotomije
distonie	distonije
detartra	detartra
invențiune	inventsiune
ghileală	gʲ̩ilĕalə
scriso	skriso
sălășluit	sələʃluit
durăit	durəit
scorombar	skorombar
pieriră	pjerirə
carmangerie	karmandʒerije
siderit	siderit
pristanda	pristanda
sodomic	sodomik
rașchetat	raʃkʲ̩etat
biodetector	biodetektor
defraudator	defraudator
lungime	lundʒime
ascultămă	askultəmə
zdravăn	zdravən
nărăvit	nərəvit
dezincriminare	dezinkriminare
zăuitat	zəwitat
becațină	bekatsinə
studențime	studentsime
hasidism	hasidism
pivotație	pivotatsije
decilitru	detʃilitru
inimă	inimə
calamitat	kalamitat
hazarda	hazarda
dentară	dentarə
recidivist	retʃidivist
cromatină	kromatinə
forte	forte
făuritor	fəuritor
capuchehaie	kapukʲ̩ehaje
desfrânare	desfrɨnare
dezeșuat	dezeʃuwat
farfuria	farfurija
urdoi	urdoj
zadarnice	zadarnitʃe
ciclopentadienă	tʃiklopentadijenə
gelatinizat	dʒelatinizat
moale	mŏale
excipient	ekstʃipijent
coreferat	koreferat
demofobie	demofobije
sulfiza	sulfiza
constipant	konstipant
salutar	salutar
gravelă	ɡravelə
domni	domni
actinometrie	aktinometrije
implora	implora
păcuriu	pəkuriu
zidărie	zidərije
chifteluță	kʲ̩iftelutsə
micelian	mitʃelian
poligonacee	poliɡonatʃee
agitare	adʒitare
huzdupat	huzdupat
sălăjeancă	sələʒ̩ankə
dojană	doʒanə
goicea	ɡojtʃ̩a
șansonetă	ʃansonetə
orândă	orɨndə
minijupă	miniʒupə
numărătoare	numərətŏare
razie	razije
exclamativ	eksklamativ
cucerzan	kutʃerzan
estiv	estiv
goliardic	ɡolijardik
obstrucție	obstruktsije
safran	safran
pompieristic	pompijeristik
organosol	orɡanosol
pereți	peretsʲ
sanguinolent	sanɡuinolent
combinator	kombinator
colectivist	kolektivist
gargarism	ɡarɡarism
ghionaru	gʲ̩̩onaru
loturile	loturile
termosifon	termosifon
duioșie	dujoʃije
filit	filit
misoginism	misodʒinism
neoanacreontic	neoanakreontik
higienic	hidʒijenik
bărbiță	bərbitsə
ocnițean	oknitsĕan
înzăpezire	ɨnzəpezire
imperiul	imperjul
versificat	versifikat
avizier	avizijer
bravare	bravare
cruțare	krutsare
nicăierea	nikəjerĕa
trifoliat	trifolijat
fatalist	fatalist
mântuleasa	mɨntulĕasa
secretizare	sekretizare
ușori	uʃorʲ
nerăsucit	nerəsutʃit
udilă	udilə
convenabil	konvenabil
celălalt	tʃeləlalt
hialin	hialin
introduse	introduse
decapsulator	dekapsulator
jerbă	ʒerbə
fată	fatə
milisecundă	milisekundə
adversitate	adversitate
sănii	sənij
oseină	oseinə
poliarticular	polijartikular
reparații	reparatsij
mixat	miksat
anomal	anomal
donquiotesc	donkʲ̩ihotesk
remontoar	remontŏar
sarcină	sartʃinə
însumat	ɨnsumat
motorului	motoruluj
odgonului	odɡonuluj
halieutică	halijeutikə
bulzan	bulzan
ceruse	tʃeruse,t͡ʃeruse
dubă	dubə
personificat	personifikat
gromovnic	ɡromovnik
ametropie	ametropije
garnizoană	ɡarnizŏanə
putregăire	putreɡəire
balneologic	balneolodʒik
noutățile	noutətsile
bănuiai	bənujaj
destructurare	destrukturare
modelator	modelator
sama	sama
bordee	bordee
primministru	primministru
liliput	liliput
gâzuliță	ɡɨzulitsə
biciclic	bitʃiklik
sugerare	sudʒerare
recognițiune	rekoɡnitsiune
translațiune	translatsiune
frunze	frunze
clorurie	klorurije
iridiu	iridju
fermecat	fermekat
castrare	kastrare
bruiat	brujat
manglier	manɡlijer
testosteron	testosteron
construibil	konstruibil
ortopter	ortopter
amilază	amilazə
splint	splint
nicolcioiu	nikoltʃ̩oju
izoterm	izoterm
exclus	eksklus
goană	ɡŏanə
ovăscior	ovəstʃ̩or
ciocălău	tʃ̩okələw
drămuit	drəmuit
pipit	pipit
maștehă	maʃtehə
bolțar	boltsar
împoporat	ɨmpoporat
muncească	muntʃ̩askə
plana	plana
notătiță	notətitsə
bucar	bukar
vestic	vestik
aluminiza	aluminiza
anxiolitic	anksiolitik
arbuzărie	arbuzərije
basarabeancă	basarabĕankə
bocănitură	bokəniturə
stogoș	stoɡoʃ
rotunzire	rotunzire
fotografiat	fotoɡrafijat
megaloblast	meɡaloblast
buh	buh
nedescoperit	nedeskoperit
onănăi	onənəi
bigotism	biɡotism
păpușărie	pəpuʃərije
epitermal	epitermal
semiotic	semiotik
răpăitură	rəpəiturə
voalare	vŏalare
plușat	pluʃat
coxopatie	koksopatije
ecvisetacee	ekvisetatʃee
spânzura	spɨnzura
erotomanie	erotomanije
epizootic	epizootik
marochină	marokʲ̩inə
iuonaș	juonaʃ
arat	arat
mușinat	muʃinat
zăngănit	zənɡənit
sturzișor	sturziʃor
atingă	atinɡə
mustru	mustru
maior	major
hidartroză	hidartrozə
vorbuță	vorbutsə
afumați	afumatsʲ
pericolul	perikolul
albumeală	albumĕalə
belcanto	belkanto
epitelial	epitelijal
neinflamabil	neinflamabil
contaminant	kontaminant
radiotehnic	radiotehnik
locator	lokator
biogen	biodʒen
tritura	tritura
ingenios	indʒenios
păulică	pəulikə
electrovalență	elektrovalentsə
aducere	adutʃere
varia	varija
alături	aləturʲ
manevrabilitate	manevrabilitate
palingenezie	palindʒenezije
extensiv	ekstensiv
premia	premija
tropa	tropa
hâțâna	hɨtsɨna
dâmaș	diʒmaʃ
rostuitor	rostuitor
ardometru	ardometru
recâștiga	rekɨʃtiɡa
jo	ʒo
rândunică	rɨndunikə
precurmare	prekurmare
hipnoză	hipnozə
prăjitură	prəʒiturə
ripa	ripa
oșean	oʃĕan
dentițiune	dentitsiune
italy	itali
vidmă	vidmə
călătorii	kələtorij
posesiv	posesiv
fulgerător	fuldʒerətor
fagocitoză	faɡotʃitozə
vârtejire	vɨrteʒire
revelație	revelatsije
cârnire	kɨrnire
gama	ɡama
aritmograf	aritmoɡraf
vasectomie	vasektomije
partiție	partitsije
defensivă	defensivə
legendă	ledʒendə
îngrozite	ɨnɡrozite
anaerob	anaerob
albuț	albuts
stirpe	stirpe
paranoia	paranoja
bronza	bronza
admiteți	admitetsʲ
marșrutizat	marʃrutizat
paos	paos
motoplug	motopluɡ
călătoria	kələtorija
dec	dek
traversare	traversare
vilaiet	vilajet
vâzdoagă	vɨzdŏaɡə
vârlan	vɨrlan
draghină	dragʲ̩inə
uric	urik
deflora	deflora
oportun	oportun
înaintaș	ɨnaintaʃ
declarativ	deklarativ
incurie	inkurije
împopoțonat	ɨmpopotsonat
spuma	spuma
degivrat	dedʒivrat
scanda	skanda
buluc	buluk
pepenărie	pepenərije
visceral	vistʃeral
gravimetru	ɡravimetru
preleva	preleva
spătăreasă	spətərĕasə
specialist	spetʃijalist
stipendist	stipendist
sensuri	sensurʲ
reintrodus	reintrodus
hipoglicemiant	hipoɡlitʃemijant
lacera	latʃera
factorial	faktorijal
lame	lame
șomer	ʃomer
înmulțire	ɨnmultsire
cilindroid	tʃilindroid
raicu	rajku
modoran	modoran
izbi	izbi
expună	ekspunə
bujoreni	buʒorenʲ
tratamentist	tratamentist
dovadă	dovadə
arcaci	arkatʃʲ
albumiță	albumitsə
dejalen	deʒalen
mandolină	mandolinə
părul	pərul
totalizator	totalizator
ciorchine	tʃ̩orkʲ̩ine
toroid	toroid
decortica	dekortika
dezvoltare	dezvoltare
dingo	dinɡo
părăgineală	pərədʒinĕalə
ingerare	indʒerare
combinor	kombinor
syscom	siskom
muzicastru	muzikastru
insurgență	insurdʒentsə
die	dije
filantropic	filantropik
neatrăgător	neatrəɡətor
gazbeton	ɡazbeton
aldan	aldan
exultație	eksultatsije
bituminos	bituminos
radiografiat	radioɡrafijat
hidrobiologic	hidrobiolodʒik
căldurică	kəldurikə
bonjur	bonʒur
examinare	egzaminare
ultracondensor	ultrakondensor
delegatar	deleɡatar
mele	mele
găurice	ɡəuritʃe
moșmondire	moʃmondire
tremurătură	tremurəturə
repasat	repasat
pâncota	pɨnkota
anastomotic	anastomotik
canoe	kanoe
peplum	peplum
întâlnitură	ɨntɨlniturə
animale	animale
restaurante	restaurante
modem	modem
hreniță	hrenitsə
calambur	kalambur
craniotomie	kraniotomije
conțină	kontsinə
năsipos	nəsipos
otova	otova
vie	vije
vâslișoară	vɨsliʃŏarə
ustensilă	ustensilə
neologism	neolodʒism
excoriere	ekskorijere
incomutabil	inkomutabil
croază	krŏazə
afebril	afebril
mașină	maʃinə
oblăduire	obləduire
enoriaș	enorijaʃ
pilota	pilota
reține	retsine
veacul	vĕakul
reimportat	reimportat
țicuire	tsikuire
anecdotă	anekdotə
senzor	senzor
imensitate	imensitate
strident	strident
calomniere	kalomnijere
gongorism	ɡonɡorism
dormire	dormire
sper	sper
necromanie	nekromanije
încorsetat	ɨnkorsetat
prezinți	prezintsʲ
compars	kompars
impact	impakt
spumogen	spumodʒen
hemimel	hemimel
întorlocare	ɨntorlokare
simfizare	simfizare
malaiez	malajez
supraalimentat	supraalimentat
împușcătură	ɨmpuʃkəturə
bon	bon
periflebită	periflebitə
răpus	rəpus
mărdărescu	mərdəresku
glonț	ɡlonts
dezonora	dezonora
epitrop	epitrop
premoniție	premonitsije
dispersie	dispersije
dragotă	draɡotə
cibernetizat	tʃibernetizat
extravaza	ekstravaza
vindecat	vindekat
tânărul	tɨnərul
întărise	ɨntərise
parâmă	parɨmə
văscior	vəstʃ̩or
degerare	dedʒerare
fărdelege	fərdeledʒe
orașului	oraʃuluj
fileta	fileta
realități	realitətsʲ
pisicuț	pisikuts
vâslit	vɨslit
mula	mula
sorbit	sorbit
ogorât	oɡorɨt
rămân	rəmɨn
ușilor	uʃilor
liniștitor	liniʃtitor
tiocol	tiokol
suprataxa	suprataksa
megahertz	meɡaherts̩
îmbumba	ɨmbumba
înghesuit	ɨngʲ̩esuit
băire	bəire
cultism	kultism
cămătărie	kəmətərije
scrobit	skrobit
depuse	depuse
staminifer	staminifer
apretat	apretat
permanență	permanentsə
reeducat	reedukat
decontractare	dekontraktare
cvadripol	kvadripol
flăcău	fləkəw
întorsese	ɨntorsese
bimetalist	bimetalist
bodogănind	bodoɡənind
târzii	tɨrzij
dublor	dublor
gafare	ɡafare
întreit	ɨntreit
definim	definim
xenoman	ksenoman
tematic	tematik
spasmofilic	spasmofilik
urăsc	urəsk
reșarja	reʃarʒa
nodoros	nodoros
sloboziancă	slobozjankə
dovedea	dovedĕa
guardaman	ɡuwardaman
vlădan	vlədan
cordiform	kordiform
constricție	konstriktsije
eminențele	eminentsele
cuvântăreț	kuvɨntərets
abstragere	apstradʒere
ascunsă	askunsə
seleniului	selenjuluj
neâncercat	neɨntʃerkat
burduf	burduf
sperare	sperare
cernușcă	tʃernuʃkə
trisecțiune	trisektsiune
heteroterm	heteroterm
mototolit	mototolit
devalizat	devalizat
drăngălău	drənɡələw
sătul	sətul
aborigen	aboridʒen
șulerie	ʃulerije
fumați	fumat͡sʲ
demantelare	demantelare
demixtare	demikstare
pâslos	pɨslos
oligotrofie	oliɡotrofije
refutat	refutat
neotomist	neotomist
înfulecați	ɨnfulekatsʲ
străluceau	strəlutʃ̩aw
piramidă	piramidə
vrânceanu	vrɨntʃ̩anu
admitere	admitere
stenotipist	stenotipist
copcie	koptʃije
mancurtizare	mankurtizare
bacteriologic	bakteriolodʒik
pesref	pesref
olicică	olitʃikə
faringe	farindʒe
nemțoaică	nemtsŏajkə
precurma	prekurma
vanitate	vanitate
coresponda	koresponda
infatuat	infatuwat
troglobie	troɡlobije
sighișoreancă	sigʲ̩iʃorĕankə
șireag	ʃirĕaɡ
hipermetrop	hipermetrop
trening	treninɡ
comparat	komparat
stanțat	stantsat
avionului	avionuluj
colonial	kolonijal
argumentație	arɡumentatsije
boteanu	botĕanu
trestioară	trestiŏarə
soporifer	soporifer
convulsa	konvulsa
măsăriță	məsəritsə
tătișor	tətiʃor
paliu	paliu
țărcălan	tsərkəlan
grenadian	ɡrenadijan
magnetizator	maɡnetizator
talie	talije
ghimpos	gʲ̩impos
hârcâială	hɨrkɨjalə
fotocelulă	fototʃelulə
falenă	falenə
coxartroză	koksartrozə
seringă	serinɡə
parlamentare	parlamentare
federal	federal
comină	kominə
grund	ɡrund
malul	malul
postfațat	postfatsat
cataplexie	katapleksije
revindere	revindere
înfrățitor	ɨnfrətsitor
melodie	melodije
acromatopsie	akromatopsije
vâlcelușă	vɨltʃeluʃə
dens	dens
zemărie	zemərije
legumit	leɡumit
reversiune	reversiune
adaptaseră	adaptaserə
operativ	operativ
reimprimat	reimprimat
biograf	bioɡraf
discordanță	diskordantsə
rumt	rumt
proorocie	proorotʃije
vitalitate	vitalitate
cheltuiam	kʲ̩eltujam
fitilire	fitilire
prosopopee	prosopopee
înstrăinăm	ɨnstrəinəm
reprima	reprima
primăvărat	priməvərat
colț	kolts
aporta	aporta
actinometru	aktinometru
corespunde	korespunde
