ометяхте	o̝mɛtʲaxt̪ɛ
заподозряха	zəpo̝d̪ozrʲaxə
отнеслата	ot̪nɛsɫət̪ə
кованото	kovano̝t̪o̝
повлечем	po̝vlɛtʃɛm
извеждащия	izvɛʒd̪əʃt̪ijə
изпридай	isprid̪əj
заречала	zəɾɛtʃaɫə
почвало	pɔtʃvəɫo̝
мълчеше	mɐɫtʃɛʃɛ
изчитана	istʃit̪ənə
заподозираните	zəpo̝d̪oziɾənit̪ɛ
разбирана	rɐzbiɾənə
бушуващи	boʃuvəʃt̪i
обяснявайки	o̝bʲɐsnʲavəjkʲi
спреният	sprɛnijət̪
подпирана	pot̪piɾənə
потечаха	po̝t̪ɛtʃaxə
кълвели	kɐɫvɛli
мечтаещите	mɛtʃt̪aɛʃt̪it̪ɛ
повелото	povɛɫo̝t̪o̝
счупилото	stʃupiɫo̝t̪o̝
авансираната	avənsiɾənət̪ə
благословилите	bɫəɡosɫovilit̪ɛ
произтича	pro̝ist̪itʃə
обсъдели	opsɤd̪ɛli
въвират	vəviɾət̪
наковаванета	nəkovavənɛt̪ə
ходихте	xod̪ixt̪ɛ
интересувало	int̪ɛɾɛsuvəɫo̝
събудят	sɐbudʲət̪
бушуваме	boʃuvəmɛ
повеждащ	povɛʒd̪əʃt̪
събудихме	sɐbud̪ixmɛ
зачиталият	zɐtʃit̪əlijət̪
адресираният	ad̪rɛsiɾənijət̪
доплелият	d̪oplɛlijət̪
изгребващите	izɡrɛbvəʃt̪it̪ɛ
завеждащия	zɐvɛʒd̪əʃt̪ijə
оцеляло	o̝t͡sɛlʲaɫo̝
вплитате	fplit̪ət̪ɛ
набоден	nɐbɔd̪ɛn
наказвания	nɐkazvənijə
мечтането	mɛtʃt̪anɛt̪o̝
предричалите	prɛd̪ritʃəlit̪ɛ
желано	ʒɛɫano̝
загинат	zɐɡʲinət̪
насякох	nɐsʲako̝x
гризящия	ɡrizʲaʃt̪ijə
зарежданета	zɐrɛʒd̪ənɛt̪ə
подобрилото	po̝d̪obriɫo̝t̪o̝
помагам	pomaɡəm
изгубвано	izɡubvəno̝
заплитате	zɐplit̪ət̪ɛ
озадачена	o̝zəd̪ɐtʃɛnə
забранявали	zəbrɐnʲavəli
превъзнесеното	prɛvɐznɛsɛno̝t̪o̝
презиращо	prɛziɾəʃt̪o̝
подписващият	pot̪pisvəʃt̪ijət̪
привнесохте	privnɛso̝xt̪ɛ
лежането	lɛʒanɛt̪o̝
ухапели	oxapɛli
запечехме	zəpɛtʃɛxmɛ
навеждалата	nɐvɛʒd̪əɫət̪ə
старателен	stəratɛlɛn
ухапахте	oxapəxt̪ɛ
авансиращ	avənsiɾəʃt̪
абдикиращото	abd̪ikʲirəʃt̪ot̪o
възпряла	vɐsprʲaɫə
окраден	okrad̪ɛn
запекохте	zɐpɛko̝xt̪ɛ
вечерят	vɛtʃɛrʲət̪
излизаха	izlizəxə
поднесели	po̝d̪nɛsɛli
съзирания	sɐziɾənijə
давани	d̪avəni
понесеното	ponɛsɛno̝t̪o̝
срало	sraɫo̝
накладоха	nɐkɫad̪o̝xə
забременелия	zəbrɛmɛnɛlijə
запалваща	zɐpaɫvəʃt̪ə
гордяха	ɡordʲaxə
ръми	rɐmi
съзиранията	sɐziɾənijət̪ə
разбрахме	rɐzbraxmɛ
заслужавала	zəsɫoʒavəɫə
дебелеене	d̪ɛbɛlɛɛnɛ
разнесеш	rəznɛsɛʃ
наричане	nɐritʃənɛ
чуеш	tʃuɛʃ
авансирала	avənsiɾəɫə
предена	prɛd̪ɛnə
строена	st̪roɛnə
помитащите	pomit̪əʃt̪it̪ɛ
подклаждали	pot̪kɫaʒd̪əli
наводнявате	nəvod̪nʲavət̪ɛ
наобличах	nəoblitʃəx
допринасящият	d̪o̝prinasʲəʃt̪ijət̪
подчертаван	po̝t̪tʃɛrt̪avən
нагребван	nɐɡrɛbvən
опечала	o̝pɛtʃaɫə
навлязла	nɐvlʲazɫə
озаглавяванетата	o̝zəɡɫɐvʲavənɛt̪ət̪ə
пратеше	prat̪ɛʃɛ
потичайте	pot̪itʃəjt̪ɛ
сравненият	srɐvnɛnijət̪
убедилия	o̝bɛd̪ilijə
наемащото	nɐɛməʃt̪o̝t̪o̝
възлизай	vəzlizəj
унищожихме	o̝niʃt̪oʒixmɛ
търсещ	t̪ɤrsɛʃt̪
закуся	zəkusʲə
привнесем	privnɛsɛm
допирали	d̪opiɾəli
честитиха	tʃɛst̪it̪ixə
бомбардирам	bombərd̪iɾəm
произтечахме	pro̝ist̪ɛtʃaxmɛ
студентски	studɛntskʲi
врейки	vrɛjkʲi
смажете	smɐʒɛt̪ɛ
давалата	d̪ɐvaɫət̪ə
отвличала	ot̪vlitʃəɫə
произнасяйки	pro̝iznasʲəjkʲi
сраният	sranijət̪
тичали	t̪itʃəli
зачела	zɐtʃɛɫə
възпрялата	vɐsprʲaɫət̪ə
нагребваните	nɐɡrɛbvənit̪ɛ
напеклия	nɐpɛklijə
врялата	vrʲaɫət̪ə
плашената	pɫaʃɛnət̪ə
изковеш	iskovɛʃ
кладенец	kladɛnɛt͡s
плетящия	plɛtʲaʃt̪ijə
подмел	pod̪mɛɫ
навестяващото	nəvɛstʲavəʃt̪o̝t̪o̝
обезсмъртих	o̝bɛsmɐrt̪ix
кладящият	kɫɐdʲaʃt̪ijət̪
навести	nəvɛst̪i
обзавежданията	o̝bzɐvɛʒd̪ənijət̪ə
побеждавалите	po̝bɛʒd̪avəlit̪ɛ
заспяла	zəspʲaɫə
слушана	sɫuʃənə
обричащото	obritʃəʃt̪o̝t̪o̝
възлезели	vəzlɛzɛli
занеслият	zɐnɛslijət̪
подслушванетата	pot̪sɫuʃvənɛt̪ət̪ə
предения	prɛd̪ɛnijə
преживяваното	prɛʒivʲavəno̝t̪o̝
европеец	ɛvropɛɛts
заплашвалият	zɐpɫaʃvəlijət̪
спичалото	spitʃəɫo̝t̪o̝
срещнем	srɛʃnɛm
подметени	pod̪mɛt̪ɛni
изгубехме	izɡubɛxmɛ
желанетата	ʒɛɫanɛt̪ət̪ə
избрано	izbrano̝
отричате	ot̪ritʃət̪ɛ
създадохте	sɐzd̪ad̪o̝xt̪ɛ
живеещите	ʒivɛɛʃt̪it̪ɛ
виждащите	viʒd̪əʃt̪it̪ɛ
гризало	ɡrizəɫo̝
подкладял	po̝t̪kɫɐdʲaɫ
понапичаща	po̝nɐpitʃəʃt̪ə
тресяхте	t̪rɛsʲaxt̪ɛ
подписахме	pot̪pisəxmɛ
опасе	o̝pɐsɛ
удовлетворявалия	o̝d̪o̝vlɛt̪vorʲavəlijə
студентка	studɛntkə
метения	mɛt̪ɛnijə
залезех	zɐlɛzɛx
наплитанета	nɐplit̪ənɛt̪ə
прекрасен	prɛkrasɛn
спеклата	spɛkɫət̪ə
пронесяхме	pro̝nɛsʲaxmɛ
купеше	kupɛʃɛ
казванетата	kazvənɛt̪ət̪ə
разбирано	rɐzbiɾəno̝
изпичан	ispitʃən
шантажираща	ʃənt̪ɐʒiɾəʃt̪ə
господарувалите	ɡo̝spo̝d̪ɐruvəlit̪ɛ
обучил	obutʃiɫ
господаруванета	ɡo̝spo̝d̪ɐruvənɛt̪ə
причиненият	pritʃinɛnijət̪
спасяваше	spɐsʲavəʃɛ
довеждайте	d̪ovɛʒd̪əjt̪ɛ
победиха	po̝bɛd̪ixə
окрало	okraɫo̝
въвличаното	vəvlitʃənot̪o
коване	kovanɛ
подписаната	pot̪pisənət̪ə
игранетата	iɡranɛt̪ət̪ə
желаещия	ʒɛɫaɛʃt̪ijə
протекоха	prot̪ɛko̝xə
заплашехме	zɐpɫaʃɛxmɛ
търсещите	t̪ɤrsɛʃt̪it̪ɛ
наследяваните	nəslɛdʲavənit̪ɛ
загубване	zɐɡubvənɛ
господаруващата	ɡo̝spo̝d̪ɐruvəʃt̪ət̪ə
снесяхте	snɛsʲaxt̪ɛ
повеждащия	povɛʒd̪əʃt̪ijə
арестуванията	aɾɛst̪uvənijət̪ə
продаващия	prod̪avəʃt̪ijə
винена	vinɛnə
надонесем	nəd̪o̝nɛsɛm
вплитащото	fplit̪əʃt̪ot̪o
заметените	zɐmɛt̪ɛnit̪ɛ
по	po
упрекваното	oprɛkvəno̝t̪o̝
продаващо	prod̪avəʃt̪o̝
восък	vɔsək
изплиталата	isplit̪əɫət̪ə
обосновях	o̝bo̝snovʲax
коч	kɔtʃ
заведи	zəvɛd̪i
взелият	vzɛlijət̪
купувалата	kopuvəɫət̪ə
купила	kupiɫə
занасящите	zɐnasʲəʃt̪it̪ɛ
наклади	nəkɫɐd̪i
отварянето	ot̪varʲənɛt̪o̝
спасявайки	spɐsʲavəjkʲi
счупването	stʃupvənɛt̪o̝
произтечало	pro̝ist̪ɛtʃaɫo̝
доеше	d̪oɛʃɛ
причиняванията	pritʃinʲavənijət̪ə
шантажирало	ʃənt̪ɐʒiɾəɫo̝
благославяхте	bɫəɡosɫavʲəxt̪ɛ
допечела	d̪o̝pɛtʃɛɫə
изпият	ispijət̪
зачетяхме	zətʃɛtʲaxmɛ
бодете	bod̪ɛt̪ɛ
изпасената	ispasɛnət̪ə
насмитат	nɐsmit̪ət̪
честван	tʃɛst̪vən
запалвахме	zɐpaɫvəxmɛ
пасла	pasɫə
навестявала	nəvɛstʲavəɫə
подписване	pot̪pisvənɛ
търсела	t̪ɤrsɛɫə
прощаващата	proʃt̪avəʃt̪ət̪ə
премиралите	prɛmiɾəlit̪ɛ
обезсмъртявахте	o̝bɛsmɐrtʲavəxt̪ɛ
прочитащо	protʃit̪əʃt̪o̝
погледнали	poɡlɛd̪nəli
подкупвалата	pot̪kupvəɫət̪ə
залязвам	zɐlʲazvəm
причиняващите	pritʃinʲavəʃt̪it̪ɛ
изтечем	ist̪ɛtʃɛm
обсъждат	opsɤʒd̪ət̪
преживявалият	prɛʒivʲavəlijət̪
подписани	pot̪pisəni
решаваните	rɛʃavənit̪ɛ
изкупувах	iskopuvəx
изреваване	izrɛvavənɛ
лижещи	liʒɛʃt̪i
адресирайте	ad̪rɛsiɾəjt̪ɛ
поизметем	po̝izmɛt̪ɛm
изнудващият	iznud̪vəʃt̪ijət̪
тичащото	t̪itʃəʃt̪o̝t̪o̝
изричайте	izritʃəjt̪ɛ
метящият	mɛtʲaʃt̪ijət̪
разплачел	rɐspɫatʃɛɫ
възпроизвеждало	vəspro̝izvɛʒd̪əɫo̝
обосновавалия	o̝bo̝snovavəlijə
пътуващи	pɐt̪uvəʃt̪i
обричанета	obritʃənɛt̪ə
отчиталия	ot̪tʃit̪əlijə
погребвалото	poɡrɛbvəɫo̝t̪o̝
навличанията	nɐvlitʃənijət̪ə
изплетения	isplɛt̪ɛnijə
допринесяха	d̪o̝prinɛsʲaxə
спиращ	spiɾəʃt̪
дебнещи	d̪ɛbnɛʃt̪i
паднала	pad̪nəɫə
уплашили	opɫaʃili
авантюристичната	avəntʲuɾist̪itʃnət̪ə
спичащото	spitʃəʃt̪o̝t̪o̝
казваха	kɐzvaxə
очаквал	otʃakvəɫ
оцелейте	o̝t͡sɛlɛjt̪ɛ
окрадвайки	okrad̪vəjkʲi
понапичащия	po̝nɐpitʃəʃt̪ijə
счупвате	stʃupvət̪ɛ
заспивалият	zɐspivəlijət̪
уволняванета	o̝voɫnʲavənɛt̪ə
нанесели	nənɛsɛli
решавалото	rɛʃavəɫo̝t̪o̝
построяващо	po̝st̪rojavəʃt̪o̝
нанесяхме	nənɛsʲaxmɛ
короняса	ko̝ɾonʲasə
потушиш	po̝t̪oʃiʃ
предричаните	prɛd̪ritʃənit̪ɛ
давана	d̪avənə
чупихме	tʃupixmɛ
изпяванетата	ispʲavənɛt̪ət̪ə
помитан	pomit̪ən
опиралата	opiɾəɫət̪ə
купил	kupiɫ
допрем	d̪oprɛm
падаме	pad̪əmɛ
привнеслото	privnɛsɫo̝t̪o̝
господарствайки	ɡo̝spod̪arst̪vəjkʲi
припадалото	pripad̪əɫo̝t̪o̝
побеждаваният	po̝bɛʒd̪avənijət̪
окради	o̝krɐd̪i
доказано	d̪okazəno̝
преведем	prɛvɛd̪ɛm
допирайки	d̪opiɾəjkʲi
крало	kraɫo
изпеклия	ispɛklijə
наследете	nəslɛd̪ɛt̪ɛ
господарствувалото	ɡo̝spod̪arst̪vo̝vəɫo̝t̪o̝
ползваме	pɔɫzvəmɛ
заорал	zəoraɫ
простяло	prostʲaɫo̝
автономни	aft̪onɔmni
ушиваната	oʃivənət̪ə
поопичат	po̝opitʃət̪
изчезване	istʃɛzvənɛ
дебнещия	d̪ɛbnɛʃt̪ijə
излизах	izlizəx
наследяваха	nəslɛdʲavəxə
пренесе	prɛnɛsɛ
допечените	d̪opɛtʃɛnit̪ɛ
беглец	bɛɡlɛts
вечеряте	vɛtʃɛrʲət̪ɛ
вковалите	fkovalit̪ɛ
падахме	pad̪əxmɛ
отвлякоха	ot̪vlʲako̝xə
лежало	lɛʒaɫo̝
въоръжели	vəo̝ɾɐʒɛli
обесвай	obɛsvəj
отсякъл	ot̪sʲakəɫ
скубене	skubnɛ
чувана	tʃuvənə
втечняло	ft̪ɛtʃnʲaɫo̝
допечахме	d̪o̝pɛtʃaxmɛ
предсказваната	prɛt̪skazvənət̪ə
припадалата	pripad̪əɫət̪ə
чуванета	tʃuvənɛt̪ə
ковяща	kovʲaʃt̪ə
пикаете	pikaɛt̪ɛ
виждах	viʒd̪əx
съзиращите	sɐziɾəʃt̪it̪ɛ
спичана	spitʃənə
прелъстяваха	prɛɫɐstʲavəxə
посъветваха	po̝sɐvɛt̪vəxə
набождахте	nɐbɔʒd̪əxt̪ɛ
насичана	nɐsitʃənə
влизах	vlizəx
забременеете	zəbrɛmɛnɛɛt̪ɛ
ранях	rɐnʲax
доплитали	d̪oplit̪əli
изнуди	iznud̪i
почвате	pɔtʃvət̪ɛ
напичай	nɐpitʃəj
изпаслите	ispaslit̪ɛ
набождахме	nɐbɔʒd̪əxmɛ
засякохме	zɐsʲako̝xmɛ
одобрявалия	o̝d̪obrʲavəlijə
глобявате	ɡɫobʲavət̪ɛ
безделничиш	bɛzd̪ɛɫnitʃiʃ
обречали	o̝brɛtʃali
надонасяната	nəd̪onasʲənət̪ə
капехте	kapɛxt̪ɛ
прехапвало	prɛxapvəɫo̝
заплашванията	zɐpɫaʃvənijət̪ə
изгребяха	izɡrɛbʲaxə
заплашвали	zɐpɫaʃvəli
пристигнала	prist̪iɡnəɫə
навряна	nɐvrʲanə
питалите	pit̪alit̪ɛ
понапичанета	po̝nɐpitʃənɛt̪ə
отхапваното	ot̪xapvəno̝t̪o̝
подкупвалия	pot̪kupvəlijə
припадала	pripad̪əɫə
погребахме	poɡrɛbəxmɛ
анатемосаното	anət̪ɛmɔsənot̪o
убиехме	obiɛxmɛ
капехме	kapɛxmɛ
простиранета	prost̪iɾənɛt̪ə
отвлекли	ot̪vlɛkli
доведете	d̪o̝vɛd̪ɛt̪ɛ
припряло	priprʲaɫo̝
нуждаещия	noʒd̪aɛʃt̪ijə
изковаваният	iskovavənijət̪
изговарялите	izɡovarʲəlit̪ɛ
изгубваше	izɡubvəʃɛ
превъзнесем	prɛvəznɛsɛm
нагризвайки	nɐɡrizvəjkʲi
изпиеше	ispiɛʃɛ
заплелият	zɐplɛlijət̪
игралия	iɡralijə
изчети	istʃɛt̪i
припечел	pripɛtʃɛɫ
убивал	obivəɫ
анатемосалото	anət̪ɛmɔsəɫot̪o
поглеждани	poɡlɛʒd̪əni
омитаната	omit̪ənət̪ə
граничел	ɡrɐnitʃɛɫ
шантажиране	ʃənt̪ɐʒiɾənɛ
телефониращи	t̪ɛlɛfoniɾəʃt̪i
възлизат	vəzlizət̪
разлюбвайки	rɐzlʲubvəjkʲi
купувана	kopuvənə
обвинял	o̝bvinʲaɫ
абдикацията	abd̪ikatsijət̪ə
наплитането	nɐplit̪ənɛt̪o̝
обличате	oblitʃət̪ɛ
изплашилия	ispɫaʃilijə
прощаващ	proʃt̪avəʃt̪
чуващите	tʃuvəʃt̪it̪ɛ
предупреждавай	prɛd̪o̝prɛʒd̪avəj
заведат	zəvɛd̪ɤt̪
начиталия	nɐtʃit̪əlijə
искане	iskənɛ
лъгалата	ɫɤɡəɫət̪ə
танцуваното	t̪ɐnt͡suvəno̝t̪o̝
изнудвалият	iznud̪vəlijət̪
запалвала	zɐpaɫvəɫə
подпишехме	pot̪piʃɛxmɛ
възпроизвеждахме	vəspro̝izvɛʒd̪əxmɛ
изричаният	izritʃənijət̪
млъкнахме	mɫɤknəxmɛ
изгубих	izɡubix
чакащото	tʃakəʃt̪o̝t̪o̝
изгребващия	izɡrɛbvəʃt̪ijə
почвания	pɔtʃvənijə
въведеш	vəvɛd̪ɛʃ
вземалите	vzɛməlit̪ɛ
отровената	ot̪rɔvɛnət̪ə
изчиталият	istʃit̪əlijət̪
начетохте	nɐtʃɛt̪o̝xt̪ɛ
решавай	rɛʃavəj
гребящите	ɡrɛbʲaʃt̪it̪ɛ
възнеслите	vəznɛslit̪ɛ
теклия	t̪ɛklijə
купуваните	kopuvənit̪ɛ
прочетено	protʃɛt̪ɛno̝
изоравала	izoravəɫə
безделниченетата	bɛzd̪ɛɫnitʃɛnɛt̪ət̪ə
протичалото	prot̪itʃəɫo̝t̪o̝
сушеха	soʃɛxə
тресящото	t̪rɛsʲaʃt̪o̝t̪o̝
съобщавалото	səopʃt̪avəɫo̝t̪o̝
сънувано	sɐnuvəno̝
обичалото	o̝bitʃaɫo̝t̪o̝
примираме	primiɾəmɛ
легализиращ	lɛɡəliziɾəʃt̪
унищожехме	o̝niʃt̪oʒɛxmɛ
заплелите	zɐplɛlit̪ɛ
кървящите	kɐrvʲaʃt̪it̪ɛ
завеждайки	zɐvɛʒd̪əjkʲi
изминавахте	izminavəxt̪ɛ
комбинираха	ko̝mbiniɾəxə
анулираха	anuliɾəxə
произтичали	pro̝ist̪itʃəli
заповядваща	zəpovʲad̪vəʃt̪ə
авансови	avansovi
навира	nɐviɾə
абдала	abd̪aɫə
слънчевост	slɤntʃɛvost
боядисваме	bo̝jɐd̪isvəmɛ
обсъдилите	opsɤd̪ilit̪ɛ
засичащите	zɐsitʃəʃt̪it̪ɛ
измирам	izmiɾəm
втечняващия	ft̪ɛtʃnʲavəʃt̪ijə
изчезналия	istʃɛznəlijə
плащана	pɫaʃt̪ənə
наемалото	nɐɛməɫo̝t̪o̝
бодяща	bodʲaʃt̪ə
обсъденият	opsɤd̪ɛnijət̪
изговорим	izɡovɔɾim
начитате	nɐtʃit̪ət̪ɛ
срещаше	srɛʃt̪əʃɛ
доплитанетата	d̪oplit̪ənɛt̪ət̪ə
припрете	priprɛt̪ɛ
понапече	po̝nəpɛtʃɛ
повтаряното	poft̪arʲəno̝t̪o̝
пращана	praʃt̪ənə
арестували	aɾɛst̪uvəli
повярвах	povʲarvəx
изпичах	ispitʃəx
произнесеше	pro̝iznɛsɛʃɛ
извежданията	izvɛʒd̪ənijət̪ə
поглеждали	poɡlɛʒd̪əli
подвела	pod̪vɛɫə
построявалата	po̝st̪rojavəɫət̪ə
молилата	moliɫət̪ə
произлезете	pro̝izlɛzɛt̪ɛ
пронасящата	pronasʲəʃt̪ət̪ə
попичахте	popitʃəxt̪ɛ
допечел	d̪o̝pɛtʃɛɫ
автентичната	aft̪ɛnt̪itʃnət̪ə
прострете	prost̪rɛt̪ɛ
възпроизвеждащият	vəspro̝izvɛʒd̪əʃt̪ijət̪
абдикиращите	abd̪ikʲirəʃt̪it̪ɛ
обесих	obɛsix
изпасвалите	ispasvəlit̪ɛ
благословете	bɫəɡosɫovɛt̪ɛ
бушуваха	boʃuvəxə
забравяното	zɐbravʲəno̝t̪o̝
подмете	pod̪mɛt̪ɛ
види	vid̪i
гризем	ɡrizɛm
прегръщахте	prɛɡrɤʃt̪əxt̪ɛ
гласувай	ɡɫɐsuvəj
кървилият	kɐrvilijət̪
изпееш	ispɛɛʃ
метеното	mɛt̪ɛno̝t̪o̝
обсъждана	opsɤʒd̪ənə
поотичащият	po̝ot̪itʃəʃt̪ijət̪
назовели	nəzovɛli
давалото	d̪ɐvaɫo̝t̪o̝
изметен	izmɛt̪ɛn
привнесеш	privnɛsɛʃ
заповядайте	zəpovʲad̪əjt̪ɛ
сприятеляващ	sprijət̪ɛlʲavəʃt̪
напредналият	nɐprɛd̪nəlijət̪
принуждаваното	prinoʒd̪avəno̝t̪o̝
отмиранията	ot̪miɾənijət̪ə
изчетели	istʃɛt̪ɛli
припичане	pripitʃənɛ
допрочетат	d̪o̝pro̝tʃɛt̪ɤt̪
оприданията	oprid̪ənijət̪ə
изпи	ispi
бронтозавър	brontozavər
доихте	d̪oixt̪ɛ
спестената	spɛst̪ɛnət̪ə
унищожело	o̝niʃt̪oʒɛɫo̝
изпиехме	ispiɛxmɛ
преведеният	prɛvɛd̪ɛnijət̪
изкупеха	iskupɛxə
пронасящо	pronasʲəʃt̪o̝
сравняваше	srɐvnʲavəʃɛ
изплитахме	isplit̪əxmɛ
давалата	d̪avəɫət̪ə
комбинирахте	ko̝mbiniɾəxt̪ɛ
доен	d̪oɛn
обесваният	obɛsvənijət̪
подслушах	pot̪sɫuʃəx
повлечехме	po̝vlɛtʃɛxmɛ
довеждане	d̪ovɛʒd̪ənɛ
гризах	ɡrizəx
изминахте	izminəxt̪ɛ
лягали	lʲaɡəli
предсказа	prɛt̪skazə
затресъл	zɐt̪rɛsəɫ
нахапвалия	nɐxapvəlijə
написващо	nɐpisvəʃt̪o̝
моленият	mɔlɛnijət̪
почнато	pɔtʃnət̪o̝
плелите	plɛlit̪ɛ
намекваше	nɐmɛkvəʃɛ
възлизащ	vəzlizəʃt̪
обречахме	o̝brɛtʃaxmɛ
въвирахме	vəviɾəxmɛ
продадената	prod̪ad̪ɛnət̪ə
иска	iska
изнесем	iznɛsɛm
заведе	zəvɛd̪ɛ
легне	lɛɡnɛ
пронасяло	pronasʲəɫo̝
обрича	obritʃə
допечеха	d̪o̝pɛtʃɛxə
отмирахме	ot̪miɾəxmɛ
изтървалото	ist̪ɐrvaɫo̝t̪o̝
давайте	d̪avəjt̪ɛ
бита	bit̪ə
дотекли	d̪ot̪ɛkli
съгласявалите	səɡɫɐsʲavəlit̪ɛ
закусвало	zɐkusvəɫo̝
пи	pi
казвана	kazvənə
заченалата	zɐtʃɛnəɫət̪ə
обсъдехме	opsɤd̪ɛxmɛ
поотечах	po̝o̝t̪ɛtʃax
затекоха	zɐt̪ɛko̝xə
потъналите	pot̪ɤnəlit̪ɛ
предплащанета	prɛt̪pɫaʃt̪ənɛt̪ə
изгризяла	izɡrizʲaɫə
играла	iɡraɫə
обсъдилия	opsɤd̪ilijə
потушехме	po̝t̪oʃɛxmɛ
вплитахте	fplit̪əxt̪ɛ
набождаха	nɐbɔʒd̪əxə
заорали	zəorali
плачещият	pɫatʃɛʃt̪ijət̪
възнасяло	vəznasʲəɫo
заплитащ	zɐplit̪əʃt̪
спестят	spɛstʲɤt̪
заорах	zəorax
изчезналото	istʃɛznəɫo̝t̪o̝
наследило	nəslɛd̪iɫo̝
изметох	izmɛt̪o̝x
пиехме	piɛxmɛ
благословите	bɫəɡosɫovit̪ɛ
спането	spənɛt̪o
получена	poɫutʃɛnə
почитало	potʃit̪əɫo̝
започвали	zɐpɔtʃvəli
принесоха	prinɛso̝xə
зован	zovan
заплашех	zɐpɫaʃɛx
спиралият	spiɾəlijət̪
отбождате	od̪bɔʒd̪ət̪ɛ
охранявана	o̝xrɐnʲavənə
отчетяхте	ot̪tʃɛtʲəxt̪ɛ
пронасянета	pronasʲənɛt̪ə
заподозиращия	zəpo̝d̪oziɾəʃt̪ijə
унищожаваното	o̝niʃt̪oʒavəno̝t̪o̝
ушивай	oʃivəj
лъга	ɫɤɡə
доплитанета	d̪oplit̪ənɛt̪ə
припечи	pripɛtʃi
наизлизате	nəizlizət̪ɛ
опридалата	oprid̪əɫət̪ə
напишех	nɐpiʃɛx
прозиранията	proziɾənijət̪ə
целунехте	t͡sɛɫunɛxt̪ɛ
честити	tʃɛst̪it̪i
недоврял	nɛdovrʲal
привнесял	privnɛsʲaɫ
речало	rɛtʃaɫo̝
зареждащи	zɐrɛʒd̪əʃt̪i
изкупих	iskupix
арестуващият	aɾɛst̪uvəʃt̪ijət̪
носороже	nosorɔʒɛ
прощавате	proʃt̪avət̪ɛ
възпираното	vɐspiɾəno̝t̪o̝
запаления	zɐpalɛnijə
въоръжили	vəo̝ɾɐʒili
допрочитахте	d̪o̝protʃit̪əxt̪ɛ
раняванетата	rɐnʲavənɛt̪ət̪ə
привнесеният	privnɛsɛnijət̪
изпридащи	isprid̪əʃt̪i
принеслия	prinɛslijə
съобщилото	səopʃt̪iɫo̝t̪o̝
желаха	ʒɛɫaxə
изпеело	ispɛɛɫo̝
възнеси	vəznɛsi
наведеш	nəvɛd̪ɛʃ
разнасяно	rɐznasʲəno̝
дебнала	d̪ɛbnaɫə
дебелялото	d̪ɛbɛlʲaɫo̝t̪o̝
продължете	pro̝d̪ɐɫʒɛt̪ɛ
изплитаният	isplit̪ənijət̪
отречахме	o̝t̪rɛtʃaxmɛ
занасяния	zɐnasʲənijə
поопечели	po̝o̝pɛtʃɛli
уволнявах	o̝voɫnʲavəx
слизали	slizəli
наеманото	nɐɛməno̝t̪o̝
предсказвай	prɛt̪skazvəj
наводнилите	nəvod̪nilit̪ɛ
подведа	po̝d̪vɛd̪ɤ
забождаха	zɐbɔʒd̪əxə
побеждавах	po̝bɛʒd̪avəx
презрели	prɛzrɛli
артикул	ərtikul
възпроизвеждалия	vəspro̝izvɛʒd̪əlijə
засичалият	zɐsitʃəlijət̪
довежданията	d̪ovɛʒd̪ənijət̪ə
абитуриентский	abituriɛntskij
погледнало	poɡlɛd̪nəɫo̝
наизлизащият	nəizlizəʃt̪ijət̪
изпявалия	ispʲavəlijə
заричаната	zɐritʃənət̪ə
закупели	zɐkupɛli
въвличаният	vəvlitʃənijət̪
вреният	vrɛnijət̪
възпроизвеждана	vəspro̝izvɛʒd̪ənə
съгласилата	səɡɫɐsiɫət̪ə
кълвейки	kɐɫvɛjkʲi
виждайте	viʒd̪əjt̪ɛ
обезсмъртяваната	o̝bɛsmɐrtʲavənət̪ə
упреквате	oprɛkvət̪ɛ
напичанетата	nɐpitʃənɛt̪ət̪ə
загребвал	zɐɡrɛbvəɫ
възнесяхме	vəznɛsʲaxmɛ
ползвания	pɔɫzvənijə
използваните	ispɔɫzvənit̪ɛ
отвел	ot̪vɛɫ
упреквало	oprɛkvəɫo̝
гласувахте	ɡɫɐsuvəxt̪ɛ
обосновавате	o̝bo̝snovavət̪ɛ
тетрадка	tɛtratkə
убиехте	obiɛxt̪ɛ
сила	silə
адресиранетата	ad̪rɛsiɾənɛt̪ət̪ə
одобрилата	o̝d̪obriɫət̪ə
плетенета	plɛt̪ɛnɛt̪ə
сране	sranɛ
съчетала	sətʃɛt̪aɫə
въвличащото	vəvlitʃəʃt̪ot̪o
четената	tʃɛt̪ɛnət̪ə
написана	nɐpisənə
заченатото	zɐtʃɛnət̪o̝t̪o̝
влюбеше	vlʲubɛʃɛ
поопичания	po̝opitʃənijə
пренасяйте	prɛnasʲəjt̪ɛ
аплодиралия	apɫod̪iɾəlijə
течем	t̪ɛtʃɛm
крадена	krad̪ɛnə
обичахме	o̝bitʃaxmɛ
вплитал	fplit̪əɫ
поспреният	posprɛnijət̪
понесях	po̝nɛsʲax
отчетени	ot̪tʃɛt̪ɛni
озадачавал	o̝zəd̪ɐtʃavəɫ
поднеслият	pod̪nɛslijət̪
дъвках	d̪ɐfkax
подобряващият	po̝d̪obrʲavəʃt̪ijət̪
дава	d̪avə
нахапели	nɐxapɛli
изминавало	izminavəɫo̝
сечащите	sɛtʃaʃt̪it̪ɛ
