берлегендәге	bˌerleɣendˈæɣe
кертүне	kertˈyne
Аныңча	ɒnˈɯŋɕɑ
Бөтен	bˈœten
унитар	unˈitɑr
Көнчыгышны	kˌœnɕɯʁˈɯʃnɯ
сынашты	sɯnˈɑʃtɯ
Осман	ˈosmɑn
продукцияне	prˌoduqtsijˈæne
ераклыкта	jˌɯrɑqɫˈɯqtɑ
җылы	ʑˈɯɫɯ
йөртелә	ˌɪœrtˈelæ
гыйнварда	ʁɯjnwˈɑrdɑ
аягүрә	ˌɒjæɣˈyræ
рейтинг	reˈɪtiŋɣ
омтылыш	omtˈɯɫɯʃ
кына	qˈɯnɑ
концерттан	qontsˈerttɑn
эзләүдә	ˌezlæˈydæ
мөрәҗәгате	mˌœræʑæʁˈɑte
театрларының	tˌeɑtrɫɑrˈɯnɯŋ
кара	qˈɒrɒ
килешкән	kilˈeʃkæn
язмышы	jɑzmˈɯʃɯ
Безнекеләр	bˌeznekˈelær
юклыгын	juqɫˈɯʁɯn
Каддафи	qɒddˈɒfi
сәясәтчесе	sˌæjæsætɕˈese
Җиһаншин	ʑihˈɑnʃin
зарланып	zɒrɫˈɒnɯp
камилләшә	qˌɒmillˈæʃæ
укытучым	ˌuqɯtˈuɕɯm
Женева	ʒenˈewɑ
үзебезчә	ˌyzebˈezɕæ
гаделлек	ʁɒdˈellek
орлык	ˈorɫɯq
Сарытауда	sˌɒrɯtɑˈudɑ
Русиянеке	rˌusijænˈeke
юлының	juɫˈɯnɯŋ
йөртәбез	ˌɪœrtˈæbez
сәнгатен	sæŋʁˈɑten
кырымтатарлар	qˌɯrɯmtɑtˈɑrɫɑr
Зәбиров	zæbˈirow
көнбатышында	kˌœnbɑtɯʃˈɯndɑ
Бар	bˈɒr
Спутник	spˈutnik
сокланып	soqɫˈɑnɯp
вакытым	wɒqˈɯtɯm
шаккатам	ʃɒqqˈɒtɑm
җыелгач	ʑɯˈeɫʁɑɕ
атала	ɒtˈɒɫɑ
Хөкүмәтне	xˌœkymˈætne
конфликт	qˈonfɫikt
мөлаем	mœɫˈɑem
казада	qɒzˈɒdɑ
сөйләшүләргә	sˌœɪlˌæʃylˈærɣæ
алдык	ˈɒɫdɯq
Фог	fˈoʁ
училищесына	ˌuɕilˌiʃɕesˈɯnɑ
кызыксындыра	qˌɯzɯqsɯndˈɯrɑ
Кулга	qˈuɫʁɑ
даирәләрендә	dˌɒirˌælærˈendæ
матурлыгы	mˌɒturɫˈɯʁɯ
укыйбыз	uqˈɯjbɯz
абхаз	ˈɒbxɒz
Гаязетдин	ʁˌɒjæzˈetdin
Татарстаннар	tˌɒtɒrstˈɑnnɑr
хиҗап	xˈiʑɑp
реакциясен	rˌeɑqtsijˈæsen
аксакал	ɒqsˈɒqɑɫ
җитди	ʑˈitdi
утравындагы	ˌutrɑwɯndˈɑʁɯ
атказанган	ˌɒtqɒzˈɑŋʁɑn
типтәр	tˈiptær
яшәүләре	jˌæʃæylˈære
Кәримне	kærˈimne
булгалый	buɫʁˈɑɫɯj
Без	bˈez
әңгәмәне	ˌæŋɣæmˈæne
даирәләре	dˌɒirælˈære
көзгесе	kœzɣˈese
сословие	sˌosɫowˈie
чыгучыларга	ɕˌɯʁuɕɯɫˈɑrʁɑ
Нуриевның	nˌuriˈewnɯŋ
Уларҙың	uɫˈɑrðɯŋ
тикшерүчеләргә	tˌikʃerˌyɕelˈærɣæ
фаҗигагә	fˌɒʑiʁˈɑʁæ
түрәләргә	tˌyrælˈærɣæ
Нәгыймә	næʁˈɯjmæ
Вконтакте	wqontˈɑqte
тарафдарларына	tˌɒrɒfdˌɑrɫɑrˈɯnɑ
кайтуын	qˌɒɪtˈuɯn
театрлар	teˈɑtrɫɑr
әйтүенчә	ˌæɪtyˈenɕæ
күзәтелгән	kˌyzætˈelɣæn
рәссамның	ræssˈɑmnɯŋ
салачак	sɒɫˈɒɕɑq
Телевизор	tˌelewˈizor
тукталмый	tuqtˈɑɫmɯj
митингын	mitˈiŋʁɯn
унысы	unˈɯsɯ
бистәсендә	bˌistæsˈendæ
Антон	ˈɒnton
Мөнир	mˈœnir
кыйбла	qˈɯjbɫɑ
туташ	tˈutɑʃ
җирлектә	ʑirlˈektæ
киносы	kinˈosɯ
Сәхнә	sˈæxnæ
идеологиясе	ˌideˌoɫoʁijˈæse
граната	ʁrɒnˈɒtɑ
калучылар	qˌɒɫuɕˈɯɫɑr
маяк	mˈɒjɑq
Прохоров	proxˈorow
Хәкимов	xækˈimow
Саха	sˈɒxɒ
өметләнә	ˌœmetlˈænæ
үзбилгеләнгән	ˌyzbilɣelˈæŋɣæn
агачтан	ɒʁˈɒɕtɑn
Сугышка	suʁˈɯʃqɑ
март	mˈɒrt
сайтлар	sɒˈɪtɫɑr
Чаралар	ɕɒrˈɒɫɑr
Тарихи	tɒrˈixi
креатив	kreˈɑtiw
йөрдем	ɪˈœrdem
проектта	proˈeqttɑ
мәгълүматлы	mˌæɣʔlymˈɑtɫɯ
саммитында	sˌɒmmitˈɯndɑ
намазлары	nˌɒmɒzɫˈɑrɯ
чәй	ɕˈæɪ
Икътисади	ˌikʔtisˈɑdi
канатлы	qɒnˈɒtɫɯ
алышынды	ˌɒɫɯʃˈɯndɯ
таралуын	tˌɒrɒɫˈuɯn
хайван	xɒˈɪwɑn
кыяфәте	qˌɯjæfˈæte
Карабах	qɒrˈɒbɑx
Адмирал	ɒdmˈirɑɫ
Беларуста	bˌeɫɑrˈustɑ
Кунак	qˈunɑq
җаваплады	ʑˌɑwɑpɫˈɑdɯ
юҡ	jˈuq
Аббясов	ɒbbjˈɑsow
җырлап	ʑˈɯrɫɑp
күп	kˈyp
традицияләрен	trˌɒditsˌijælˈæren
атама	ɒtˈɒmɑ
иреклеге	ˌireklˈeɣe
булучыларның	bˌuɫuɕɯɫˈɑrnɯŋ
китапханәләр	kˌitɑpxɑnˈælær
шәһәр	ʃˈæhær
тармакта	tɒrmˈɒqtɑ
структурасын	strˌuqturˈɑsɯn
яралана	jˌɑrɑɫˈɑnɑ
хәбәрчеләре	xˌæbærɕelˈære
тәэсирләрен	tˌæesirlˈæren
Ельцинга	jelʔtsˈiŋʁɑ
Казанавыл	qˌɒzɒnˈɑwɯɫ
өйләр	œˈɪlær
чүпләп	ɕˈyplæp
намзәтләргә	nˌɒmzætlˈærɣæ
югалтырга	jˌuʁɑɫtˈɯrʁɑ
телдә	tˈeldæ
Берочтан	berˈoɕtɑn
Хәкимова	xˌækimˈowɑ
җәмигъ	ʑˈæmiɣʔ
уйлаганнар	ˌuɪɫɑʁˈɑnnɑr
зинһар	zˈinhɑr
яздылар	jɑzdˈɯɫɑr
Тәлгат	tˈæɫʁɑt
нигә	nˈiɣæ
җитмәү	ʑitmˈæy
документны	dˌoqumˈentnɯ
сугышчыларга	sˌuʁɯʃɕɯɫˈɑrʁɑ
Думасының	dˌumɑsˈɯnɯŋ
башкасын	bɒʃqˈɒsɯn
дөньяда	dœnʔjˈædɑ
президентыбыз	prˌezidentˈɯbɯz
айырым	ˌɒɪˈɯrɯm
җигәргә	ʑiɣˈærɣæ
сагынам	sɒʁˈɯnɑm
зарур	zˈɒrur
отель	ˈotelʔ
мөддәтле	mœddˈætle
Эльдар	ˈeɫʔdɑr
тырышачаклар	tˌɯrɯʃɑɕˈɑqɫɑr
Русиягә	rˌusijˈæɣæ
күренешләре	kˌyreneʃlˈære
якларның	jɑqɫˈɑrnɯŋ
киртәләр	kirtˈælær
чакырам	ɕɒqˈɯrɑm
радиода	rˌɒdiˈodɑ
бикле	bˈikle
арына	ɒrˈɯnɑ
морзалар	morzˈɑɫɑr
туташы	tutˈɑʃɯ
тынычлыкка	tˌɯnɯɕɫˈɯqqɑ
Гали	ʁˈɒɫi
карачай	qˌɒrɒɕˈɑɪ
Ярый	jˈɑrɯj
тәртип	tˈærtip
Дин	dˈin
мөнәсәбәтләренә	mˌœnæsˌæbætlærˈenæ
килештек	kilˈeʃtek
статусын	stɒtˈusɯn
Балалар	bɒɫˈɒɫɑr
нигезендә	nˌiɣezˈendæ
күтәрүе	kˌytærˈye
баралар	bɒrˈɒɫɑr
кыш	qˈɯʃ
кабатлыйм	qɒbˈɒtɫɯjm
теркәгән	terkˈæɣæn
эзләүгә	ˌezlæˈyɣæ
бәйрәмнең	bˌæɪrˈæmneŋ
муллалары	mˌuɫɫɑɫˈɑrɯ
Ихтимал	ixtˈimɑɫ
чорларны	ɕorɫˈɑrnɯ
биеклектәге	bˌieklektˈæɣe
остазы	ostˈɑzɯ
Хәбәр	xˈæbær
закон	zˈɒqon
кунакка	qunˈɑqqɑ
гәзит	ɣˈæzit
бүленеш	bylˈeneʃ
тыңлады	tɯŋɫˈɑdɯ
Тоткыннар	totqˈɯnnɑr
марҗа	mˈɒrʑɒ
Җәлилне	ʑælˈilne
фатирлар	fɒtˈirɫɑr
Низамова	nˌizɑmˈowɑ
Саакашвилиның	sˌɒɒqˌɑʃwilˈinɯŋ
йортларның	ˌɪortɫˈɑrnɯŋ
ташларга	tɒʃɫˈɒrʁɑ
үзгәрергә	ˌyzɣærˈerɣæ
Казань	qˈɒzɒnʔ
өстәү	œstˈæy
буена	buˈenɑ
Ярдәм	jˈærdæm
хокукларыннан	xˌoquqɫɑrˈɯnnɑn
сәхнәләштергән	sˌæxnælæʃtˈerɣæn
тартканнар	tɒrtqˈɒnnɑr
кулланмау	qˌuɫɫɑnmˈɑu
әсирләре	ˌæsirlˈære
күрсәтми	kyrsˈætmi
Илдәге	ildˈæɣe
каны	qˈɒnɯ
Киевтан	kiˈewtɑn
белсеннәр	belsˈennær
кимсетеп	kimsˈetep
журналистларының	ʒˌurnɑɫˌistɫɑrˈɯnɯŋ
ватандашы	wˌɒtɒndˈɑʃɯ
арабызда	ˌɒrɒbˈɯzdɑ
хаҗга	xˈɒʑʁɒ
төшергәннән	tˌœʃerɣˈænnæn
Виза	wˈizɑ
салымнар	sɒɫˈɯmnɑr
этләр	ˈetlær
Урман	ˈurmɑn
машинаны	mˌɒʃinˈɑnɯ
ашату	ɒʃˈɒtu
җирдән	ʑˈirdæn
мәйданын	mˌæɪdˈɑnɯn
алыштыра	ˌɒɫɯʃtˈɯrɑ
алмаганнар	ˌɒɫmɒʁˈɑnnɑr
авыллары	ˌɑwɯɫɫˈɑrɯ
Азан	ˈɒzɒn
милек	mˈilek
аларның	ɒɫˈɒrnɯŋ
кыяфәттә	qˌɯjæfˈættæ
Розалинда	rˌozɑɫˈindɑ
очрашулар	ˌoɕrɑʃˈuɫɑr
Республикада	rˌespubɫiqˈɑdɑ
практик	prˈɒqtik
әйтем	æˈɪtem
хисабына	xˌisɑbˈɯnɑ
гомерле	ʁomˈerle
Беренчесендә	bˌerenɕesˈendæ
вәзгыятьтә	wˌæzʁɯjˈætʔtæ
Рамазанова	rˌɒmɒzɑnˈowɑ
якларына	jˌɑqɫɑrˈɯnɑ
ничек	nˈiɕek
үткәрүнең	ˌytkærˈyneŋ
дәресләрне	dˌæreslˈærne
мәгънәсез	mæɣʔnˈæsez
эләккәч	elˈækkæɕ
белеме	belˈeme
Эстониядән	ˌestonijˈædæn
Тулай	tuɫˈɑɪ
шатландыра	ʃˌɒtɫɒndˈɯrɑ
Орһан	ˈorhɑn
тудырачак	tˌudɯrˈɑɕɑq
Данис	dˈɒnis
ширкәтләрендә	ʃˌirkætlærˈendæ
җыенына	ʑˌɯenˈɯnɑ
үсеше	ysˈeʃe
Таҗикстаннан	tˌɒʑiqstˈɑnnɑn
Себернең	sebˈerneŋ
икътисады	ˌikʔtisˈɑdɯ
ясарга	jɑsˈɑrʁɑ
ышанычны	ˌɯʃɑnˈɯɕnɯ
вәгазе	wæʁˈɑze
Коръәнгә	qorʔˈæŋɣæ
иншалла	inʃˈɑɫɫɑ
Исламов	isɫˈɑmow
Канунсыз	qɒnˈunsɯz
Фаик	fˈɒik
Чабаксарда	ɕˌɒbɒqsˈɑrdɑ
ташый	tˈɒʃɯj
сәясәтчеләр	sˌæjæsætɕˈelær
килмәү	kilmˈæy
осталыгына	ˌostɑɫɯʁˈɯnɑ
гимназияләре	ɣˌimnɑzˌijælˈære
Радий	rɒdˈiɪ
җырчыларының	ʑˌɯrɕɯɫɑrˈɯnɯŋ
казанлыларны	qˌɒzɒnɫɯɫˈɑrnɯ
Иванга	iwˈɑŋʁɑ
пешергән	peʃˈerɣæn
русларга	rusɫˈɑrʁɑ
Җомга	ʑˈomʁɑ
нарат	nˈɒrɒt
җәелдерергә	ʑˌæelderˈerɣæ
үткәрмәскә	ˌytkærmˈæskæ
гамәлләргә	ʁˌɒmællˈærɣæ
җәмәгать	ʑæmˈæʁɑtʔ
Кашапов	qɒʃˈɒpow
Колесников	qˌoɫesnˈiqow
ява	jˈɑwɑ
эз	ˈez
французлар	frɒntsˈuzɫɑr
буламы	buɫˈɑmɯ
агу	ˈɒʁu
китабы	kitˈɑbɯ
урыннарына	ˌurɯnnɑrˈɯnɑ
кертмәү	kertmˈæy
тәгалә	tæʁˈɑɫæ
темаларына	tˌemɑɫɑrˈɯnɑ
психик	psˈixik
Әминов	æmˈinow
менән	mˈenæn
җиңү	ʑˈiŋy
сынау	sɯnˈɑu
Бистәсе	bistˈæse
мәсьәләсенә	mˌæsʔælæsˈenæ
каршылау	qˌɒrʃɯɫˈɑu
видеосын	wˌideˈosɯn
биш	bˈiʃ
Һөҗүмдә	hœʑˈymdæ
Тәбрис	tˈæbris
тәмамлаучылар	tˌæmɑmɫˌɑuɕˈɯɫɑr
субъекты	subʔˈeqtɯ
Самара	sɒmˈɒrɑ
кесәсенә	kˌesæsˈenæ
Ян	jˈɑn
бирдем	bˈirdem
Пәйгамбәребез	pˌæɪʁˌɑmbærˈebez
Ихлас	ˈixɫɑs
астрономик	ˌɒstronˈomik
Уның	ˈunɯŋ
Мәйдан	mæˈɪdɑn
күке	kˈyke
фальсификация	fˌɒɫʔsifˌiqɑtsˈijæ
бәйгегә	bˌæɪɣˈeɣæ
битараф	bitˈɑrɑf
Сәфәр	sˈæfær
бирсеннәр	birsˈennær
ниятем	nijˈætem
кычкырды	qɯɕqˈɯrdɯ
Самардагы	sˌɒmɒrdˈɑʁɯ
башлавына	bˌɒʃɫɑwˈɯnɑ
ите	ˈite
урыннарын	ˌurɯnnˈɑrɯn
мөкәммәл	mœkˈæmmæl
очрашуларда	ˌoɕrɑʃuɫˈɑrdɑ
зиратка	zirˈɑtqɑ
башкортларны	bˌɒʃqortɫˈɑrnɯ
рәнҗеп	rˈænʑep
Баксаң	bˈɒqsɒŋ
Сибгатуллин	sˌibʁɑtˈuɫɫin
хәбәрсез	xæbˈærsez
депутатлыкка	dˌeputɑtɫˈɯqqɑ
дидек	dˈidek
күзәткән	kyzˈætkæn
видеокамера	wˌideˌoqɑmˈerɑ
торганда	torʁˈɑndɑ
тарафдарлары	tˌɒrɒfdɑrɫˈɑrɯ
алмай	ɒɫmˈɒɪ
ким	kˈim
таләпләргә	tˌɒɫæplˈærɣæ
ялган	jˈɑɫʁɑn
акцент	ˈɒqtsent
таба	tˈɒbɒ
аккан	ˈɒqqɒn
чукындырып	ɕˌuqɯndˈɯrɯp
тегә	tˈeɣæ
Әсәрне	æsˈærne
контроленә	qˌontroɫˈenæ
сүндерүчеләр	sˌynderyɕˈelær
районнарында	rˌɒɪˌonnɑrˈɯndɑ
китабыннан	kˌitɑbˈɯnnɑn
Обаманы	ˌobɑmˈɑnɯ
үзгә	ˈyzɣæ
буйларын	bˌuɪɫˈɑrɯn
районда	rˌɒɪˈondɑ
Шәрык	ʃˈærɯq
хәрәкәте	xˌærækˈæte
урынбасар	ˌurɯnbˈɑsɑr
хафизлары	xˌɒfizɫˈɑrɯ
узса	ˈuzsɑ
әйтмичә	ˌæɪtmˈiɕæ
җире	ʑˈire
әләм	ˈælæm
оештырылмаган	ˌoeʃtˌɯrɯɫmˈɑʁɑn
эшчәнлегенә	ˌeʃɕænleɣˈenæ
үзгәрмәгән	ˌyzɣærmˈæɣæn
мөнәсәбәтне	mˌœnæsæbˈætne
эзләнә	ezlˈænæ
чыганакларын	ɕˌɯʁɑnɑqɫˈɑrɯn
абыйлар	ɒbˈɯjɫɑr
Кремльгә	krˈemlʔɣæ
Әлегә	ælˈeɣæ
хурлыклы	xurɫˈɯqɫɯ
Сайлауга	sˌɒɪɫɑˈuʁɑ
Буран	bˈurɑn
мәйдан	mæˈɪdɑn
Азалия	ˌɒzɒɫˈijæ
эшсезлек	eʃsˈezlek
түрәләрнең	tˌyrælˈærneŋ
торгызылды	tˌorʁɯzˈɯɫdɯ
җырлавы	ʑɯrɫˈɑwɯ
форматта	formˈɑttɑ
Экспертиза	ˌekspertˈizɑ
чыгарырлык	ɕˌɯʁɑrˈɯrɫɯq
ясаганнар	jˌɑsɑʁˈɑnnɑr
сайтыбыз	sˌɒɪtˈɯbɯz
гади	ʁˈɒdi
дуслыкта	dusɫˈɯqtɑ
бертуган	bertˈuʁɑn
репортаж	repˈortɑʒ
тикшеренүләр	tˌikʃerenˈylær
яңалык	jɑŋˈɑɫɯq
тормыш	tˈormɯʃ
калдырырга	qˌɒɫdɯrˈɯrʁɑ
төштек	tˈœʃtek
итүдән	itˈydæn
күмәкләп	kymˈæklæp
сәнгатьле	sæŋʁˈɑtʔɫe
гамәлдән	ʁɒmˈældæn
теләгеннән	tˌelæɣˈennæn
парламентка	pˌɒrɫɒmˈentqɑ
чибәре	ɕibˈære
кабат	qˈɒbɒt
берләшмәләр	bˌerlæʃmˈælær
контакт	qˈontɑqt
караңгыда	qˌɒrɒŋʁˈɯdɑ
мәгълүматларына	mˌæɣʔlymˌɑtɫɑrˈɯnɑ
сугышчыларны	sˌuʁɯʃɕɯɫˈɑrnɯ
барысыннан	bˌɒrɯsˈɯnnɑn
җирләрендәге	ʑˌirlærendˈæɣe
кызыллык	qɯzˈɯɫɫɯq
йоланы	ˌɪoɫˈɑnɯ
Рязань	rjˈɑzɑnʔ
майда	mɒˈɪdɑ
югалачак	jˌuʁɑɫˈɑɕɑq
берләшмә	berlˈæʃmæ
төзелешне	tˌœzelˈeʃne
телевидениесендә	tˌelewˌidenˌiesˈendæ
гаранты	ʁɒrˈɒntɯ
Тыю	tˈɯju
сүздән	sˈyzdæn
аталучы	ˌɒtɒɫˈuɕɯ
тәреләр	tærˈelær
гамәле	ʁɒmˈæle
абхазлар	ɒbxˈɒzɫɑr
кушканнар	quʃqˈɑnnɑr
үкенеч	ykˈeneɕ
Уен	ˈuen
Куба	qˈubɑ
күрсәтәбез	kˌyrsætˈæbez
Мөселманнарны	mˌœseɫmɑnnˈɑrnɯ
ярымутраудагы	jˌɑrɯmˌutrɑudˈɑʁɯ
каналына	qˌɒnɒɫˈɯnɑ
Белогорски	bˌeɫoʁˈorsqi
Шуның	ʃˈunɯŋ
йөрүчеләрне	ˌɪœrˌyɕelˈærne
яшиләр	jæʃˈilær
тавышка	tɑwˈɯʃqɑ
итмәсен	itmˈæsen
язы	jˈɑzɯ
иганәче	ˌiʁɑnˈæɕe
секундта	seqˈundtɑ
чикләнергә	ɕˌiklænˈerɣæ
саллы	sˈɒɫɫɯ
экстремист	ekstrˈemist
Италия	ˌitɑɫˈijæ
Хәлбуки	xæɫbˈuqi
шалтыраткач	ʃˌɒɫtɯrˈɑtqɑɕ
атауга	ˌɒtɒˈuʁɑ
тикшергәндә	tˌikʃerɣˈændæ
каралса	qɒrˈɒɫsɑ
укудан	uqˈudɑn
күрмим	kˈyrmim
Tөркия	œrkˈijæ
Үземнең	yzˈemneŋ
шатланырга	ʃˌɒtɫɒnˈɯrʁɑ
сайланырга	sˌɒɪɫɑnˈɯrʁɑ
әдәби	ædˈæbi
сөйләшүе	sˌœɪlæʃˈye
академиянең	ˌɒqɒdˌemijˈæneŋ
утырабыз	ˌutɯrˈɑbɯz
ярап	jˈɑrɑp
төзергә	tœzˈerɣæ
азәри	ɒzˈæri
вакыйгалардан	wˌɒqɯjʁɑɫˈɑrdɑn
җырлаган	ʑɯrɫˈɑʁɑn
Нурихан	nurˈixɑn
Күрәсез	kyrˈæsez
кардәш	qˈɒrdæʃ
барышын	bɒrˈɯʃɯn
факультет	fɒqˈuɫʔtet
ителә	itˈelæ
районнары	rˌɒɪonnˈɑrɯ
милке	mˈilke
полициядән	pˌoɫitsijˈædæn
юнәлтү	jynˈælty
исем	ˈisem
Очрашуга	ˌoɕrɑʃˈuʁɑ
көрәшне	kœrˈæʃne
аласызмы	ˌɒɫɒsˈɯzmɯ
паспортын	pɒspˈortɯn
алмаштыра	ˌɒɫmɒʃtˈɯrɑ
комментарий	qˌommentɑrˈiɪ
бирүнең	birˈyneŋ
кануни	qɒnˈuni
әйтсәк	æˈɪtsæk
кертмиләр	kertmˈilær
менеп	mˈenep
белдердем	beldˈerdem
җомгада	ʑomʁˈɑdɑ
субъектив	subʔˈektiw
сораштырган	sˌorɑʃtˈɯrʁɑn
июльгә	ijˈylʔɣæ
белдерүе	bˌelderˈye
сыйныфларда	sˌɯjnɯfɫˈɑrdɑ
Исхакыйны	ˌisxɑqˈɯjnɯ
сүземне	syzˈemne
Людмила	ljydmˈiɫɑ
йортыбыз	ˌɪortˈɯbɯz
Аларны	ɒɫˈɒrnɯ
манарасына	mˌɒnɒrɑsˈɯnɑ
куян	qˈujɑn
чыксак	ɕˈɯqsɑq
бюрократия	bjˌuroqrɑtˈijæ
кертелүе	kˌertelˈye
әфәнденең	ˌæfændˈeneŋ
ташлап	tˈɒʃɫɒp
һөнәр	hˈœnær
кылдым	qˈɯɫdɯm
модель	mˈodelʔ
төшерсәк	tœʃˈersæk
Телебез	telˈebez
чагыштыра	ɕˌɒʁɯʃtˈɯrɑ
ТИҮнең	tˈiˈyneŋ
язылырга	jˌɑzɯɫˈɯrʁɑ
калышмый	qɒɫˈɯʃmɯj
проблемнардан	prˌobɫemnˈɑrdɑn
бинасына	bˌinɑsˈɯnɑ
сурәтләнгән	sˌurætlˈæŋɣæn
хезмәтенә	xˌezmætˈenæ
Очкыч	ˈoɕqɯɕ
шәҗәрә	ʃæʑˈæræ
уртасына	ˌurtɑsˈɯnɑ
гасырлык	ʁɒsˈɯrɫɯq
Ибраһим	ibrˈɑhim
дәлилләр	dælˈillær
балалар	bɒɫˈɒɫɑr
чиркәүдә	ɕˌirkæˈydæ
дуслыкны	dusɫˈɯqnɯ
програмнарын	prˌoʁrɑmnˈɑrɯn
Нугай	nuʁˈɑɪ
иптәшләр	iptˈæʃlær
заманнардан	zˌɒmɒnnˈɑrdɑn
сибелеп	sibˈelep
ахырына	ˌɒxɯrˈɯnɑ
түләүләрне	tˌylæylˈærne
саклауга	sˌɒqɫɒˈuʁɑ
Пакстанга	pɒqstˈɒŋʁɑ
канәгатьме	qˌɒnæʁˈɑtʔme
коллективы	qˌoɫɫektˈiwɯ
базарларына	bˌɒzɒrɫɑrˈɯnɑ
мисаллары	mˌisɑɫɫˈɑrɯ
Дәүләтов	dˌæylˈætow
Әлмира	ælmˈirɑ
тәртибе	tærtˈibe
үзгәртер	yzɣˈærter
сакланачак	sˌɒqɫɒnˈɑɕɑq
Миңназыйм	miŋnˈɑzɯjm
башкаргач	bɒʃqˈɒrʁɑɕ
бәйләде	bˌæɪlˈæde
авыллардан	ˌɑwɯɫɫˈɑrdɑn
мөһимлеген	mˌœhimlˈeɣen
бистә	bˈistæ
Фазылҗанов	fˌɒzɯɫʑˈɑnow
күчерелде	kˌyɕerˈelde
язуынча	jˌɑzuˈɯnɕɑ
басылмаган	bˌɒsɯɫmˈɑʁɑn
үзгәртте	yzɣˈærtte
йөрткәндә	ˌɪœrtkˈændæ
сыймаслык	sɯjmˈɑsɫɯq
Төньяк	tˈœnʔjæk
тавыш	tˈɑwɯʃ
Кремле	krˈemle
акчама	ɒqɕˈɒmɑ
тынычланырга	tˌɯnɯɕɫɑnˈɯrʁɑ
аралашалар	ˌɒrɒɫɑʃˈɑɫɑr
үзебезне	ˌyzebˈezne
пешерергә	pˌeʃerˈerɣæ
уңайлырак	ˌuŋɑɪɫˈɯrɑq
ватандашлыгын	wˌɒtɒndɑʃɫˈɯʁɯn
кәефе	kæˈefe
хәленнән	xælˈennæn
инструменталь	ˌinstrumˈentɑɫʔ
Вена	wˈenɑ
Галимә	ʁɒɫˈimæ
башканы	bɒʃqˈɒnɯ
сентябреннән	sˌentjæbrˈennæn
байлыгын	bˌɒɪɫˈɯʁɯn
тартмый	tˈɒrtmɯj
Чуашстаннан	ɕˌuɑʃstˈɑnnɑn
булдыруга	bˌuɫdɯrˈuʁɑ
сәхифәгә	sˌæxifˈæɣæ
туя	tˈujɑ
әмер	ˈæmer
чәршәмбе	ɕærʃˈæmbe
Коръәндә	qorʔˈændæ
тукталган	tuqtˈɑɫʁɑn
көрәшкән	kœrˈæʃkæn
Баулы	bɒˈuɫɯ
мәдәниятебез	mˌædænˌijætˈebez
сөйлибез	sˌœɪlˈibez
табарга	tɒbˈɒrʁɑ
күзен	kˈyzen
Роза	rˈozɑ
Шунлыктан	ʃunɫˈɯqtɑn
мәчетендәге	mˌæɕetendˈæɣe
Радон	rˈɒdon
белүчеләр	bˌelyɕˈelær
игътибарыннан	ˌiɣʔtibɑrˈɯnnɑn
кулланабыз	qˌuɫɫɑnˈɑbɯz
әдәпсезлек	ˌædæpsˈezlek
карашны	qɒrˈɒʃnɯ
системада	sˌistemˈɑdɑ
Намдаков	nɒmdˈɒqow
яшемә	jæʃˈemæ
сүздә	sˈyzdæ
җыештыручы	ʑˌɯeʃtɯrˈuɕɯ
Мөбәрәкнең	mˌœbærˈækneŋ
көтелмәгән	kˌœtelmˈæɣæn
афәт	ˈɒfæt
барабан	bɒrˈɒbɑn
артыр	ˈɒrtɯr
Фәрхәт	fˈærxæt
башларына	bˌɒʃɫɒrˈɯnɑ
төбәп	tˈœbæp
Рәсмиләр	ræsmˈilær
Фатыйхова	fˌɒtɯjxˈowɑ
менталитеты	mˌentɑɫitˈetɯ
Хәйруллин	xˌæɪrˈuɫɫin
көрәшәбез	kˌœræʃˈæbez
туганнарының	tˌuʁɑnnɑrˈɯnɯŋ
интернеты	ˌinternˈetɯ
жюрида	ʒjyrˈidɑ
шампан	ʃˈɒmpɒn
мәхәллә	mæxˈællæ
сөреп	sˈœrep
урнашты	urnˈɑʃtɯ
хайваннарны	xˌɒɪwɑnnˈɑrnɯ
исәпләнгән	ˌisæplˈæŋɣæn
порталында	pˌortɑɫˈɯndɑ
җирен	ʑˈiren
диалект	diˈɑɫekt
депутатларны	dˌeputɑtɫˈɑrnɯ
сокланырлык	sˌoqɫɑnˈɯrɫɯq
күрсәтү	kyrsˈæty
колониаль	qˌoɫonˈiɑɫʔ
мәрхәмәтле	mˌærxæmˈætle
югалуына	jˌuʁɑɫuˈɯnɑ
елына	jɯɫˈɯnɑ
берләшмәсенә	bˌerlæʃmæsˈenæ
чыгучылар	ɕˌɯʁuɕˈɯɫɑr
хосусый	xosˈusɯj
Пенза	pˈenzɑ
эшчеләрне	ˌeʃɕelˈærne
тоткарлап	totqˈɑrɫɑp
йомшарту	ˌɪomʃˈɑrtu
станциясенә	stˌɒntsijæsˈenæ
теләмәвен	tˌelæmˈæwen
күрелде	kyrˈelde
өлештә	œlˈeʃtæ
хәрбинең	xærbˈineŋ
сүзләрнең	syzlˈærneŋ
Шиһапов	ʃihˈɑpow
паспортка	pɒspˈortqɑ
Халыкны	xɒɫˈɯqnɯ
декабрьгә	deqˈɑbrʔʁæ
министрлык	minˈistrɫɯq
түләүсез	tˌylæˈysez
үзгәрү	yzɣˈæry
кавказлар	qɑwqˈɑzɫɑr
Мәҫәлән	mæθˈælæn
Кайвакытта	qˌɒɪwɑqˈɯttɑ
Парк	pˈɒrq
соравы	sorˈɑwɯ
тордык	tˈordɯq
