bestridan	bestriːdɑn
wiþinnan	wiθinnɑn
tun	tuːn
cenep	kenep
gecynde	jekynde
beweardian	bewæ͜ɑrdiɑn
wuduræden	wuduræːden
duce	duke
stoc	stok
ofþefian	ofθefiɑn
sinewealtnes	sinewæ͜ɑltnes
tyht	tyxt
efes	efes
tosyndrian	toːsyndriɑn
unefen	unefen
toweorpendlic	toːwe͜orpendliːt͡ʃ
beon	be͜oːn
not	not
galfull	ɡɑːlfull
nied	ni͜yːd
geligere	jelijere
bædeþ	bæːdeθ
scadan	ʃɑːdɑn
sniwde	sniːwde
goldwine	ɡoldwine
spitu	spitu
bæcere	bækere
sencgan	senjɑn
ispanisc	ispɑːniʃ
leode	le͜oːde
oferswyþan	oferswyːθɑn
firentacnian	firentɑːkniɑn
gewitt	jewitt
ælagol	æːlɑɡol
heortleas	xe͜ortlæ͜ɑːs
neahstow	næ͜ɑːxstoːw
sceaþian	ʃɑθiɑn
gislian	jiːsliɑn
yfelsung	yfelsunɡ
sæpig	sæpij
mundbyrd	mundbyrd
forgifnes	forjifnes
neotan	ne͜oːtɑn
bana	bɑnɑ
gold	ɡold
horig	xorij
ealdorman	æ͜ɑldormɑn
heafod	xæ͜ɑːfod
grimhelm	ɡriːmxelm
streng	strenɡ
þanc	θɑnk
treowwyrhta	tre͜oːwwyrxtɑ
salu	sɑlu
behropan	bexroːpɑn
ea	æ͜ɑː
heow	xe͜oːw
ciricþingere	t͡ʃirit͡ʃθinɡere
cyng	kynɡ
cyningrice	kyninɡriːt͡ʃe
gewinn	jewinn
goldsmiþ	ɡoldsmiθ
bledan	bleːdɑn
cleofan	kle͜oːfɑn
hol	xoːl
fiersn	fi͜yrsn
webb	webb
untrumian	untrumiɑn
ingeld	inɡeld
edlæcan	edlæːt͡ʃɑn
hærn	xærn
strengþu	strenɡθu
ripþ	riːpθ
fremeþe	fremeθe
nigonteoþa	niɡonte͜oːθɑ
ægenwulf	æːjenwulf
eþeldream	eːθeldræ͜ɑːm
gelotendæg	jelotendæj
ciricnytt	t͡ʃirit͡ʃnytt
gelecgan	jelejjɑn
gif	jif
hropan	xroːpɑn
liegegesa	li͜yːjejesɑ
feax	fæ͜ɑks
feowerteoþa	fe͜oːwerte͜oːθɑ
bealocwealm	bæ͜ɑlokwæ͜ɑlm
winestra	winestrɑ
wolbærnes	woːlbæːrnes
scrince	ʃrinke
andettan	ɑndettɑn
frymþ	frymθ
heremann	xeremɑnn
swiþra	swiːθrɑ
þæsma	θæːsmɑ
belimpan	belimpɑn
cærsiht	kærsixt
andgiete	ɑndji͜yte
onirnan	onirnɑn
hwara	xwɑːrɑ
heo	xe͜oː
sodomisc	sodomiʃ
heterof	xeteroːf
teran	terɑn
staþolung	stɑθolunɡ
fyrenþearf	fyrenθæ͜ɑrf
crycc	krytt͡ʃ
weorþscipe	we͜orθʃipe
ængle	ænɡle
bepæcan	bepæːt͡ʃɑn
neoðan	ne͜oθɑn
atorlic	ɑːtorliːt͡ʃ
ceald	t͡ʃæ͜ɑld
fenester	fenester
gesceap	jeʃæ͜ɑp
ripaþ	riːpɑθ
wealdend	wæ͜ɑldend
sel	seːl
awiht	ɑːwixt
genesan	jenesɑn
hwamm	xwɑmm
beofor	be͜ofor
geardagas	jæ͜ɑːrdɑɡɑs
fæla	fæːlɑ
mundgripe	mundɡripe
arfæst	ɑːrfæst
haldan	xɑldɑn
wulfheort	wulfxe͜ort
gyman	jyːmɑn
sperehealf	sperexæ͜ɑlf
gymeleasian	jyːmelæ͜ɑːsiɑn
wræcca	wrætt͡ʃɑ
hræfnsweart	xræfnswæ͜ɑrt
bocere	boːkere
son	soːn
cennan	kennɑn
friesa	fri͜ysɑ
þusend	θuːsend
helruna	xelruːnɑ
sting	stinɡ
siþ	siːθ
byrla	byrlɑ
gecorenscipe	jekorenʃipe
gehiegan	jexi͜yːjɑn
gesceon	jeʃe͜oːn
leoþ	le͜oːθ
eaþbede	æ͜ɑːθbeːde
ator	ɑːtor
sliefescoh	sli͜yːfeʃoːx
dæl	dæːl
edniewian	edni͜yːwiɑn
godleas	ɡoːdlæ͜ɑːs
friþowebba	friθowebbɑ
leng	lenj
wenian	weniɑn
sidu	sidu
þ	θ
deaþbed	dæ͜ɑːθbed
geþyldig	jeθyldij
clæþ	klæːθ
smitan	smiːtɑn
clus	kluːs
cynebot	kyneboːt
cribb	kribb
wyrmread	wyrmræ͜ɑːd
gehwylc	jexwylt͡ʃ
healfcwic	xæ͜ɑlfkwik
mot	moːt
gorian	ɡoriɑn
fiþere	fiθere
da	dɑː
hleoþrian	xle͜oːθriɑn
or	oːr
cy	kyː
friþsum	friθsum
hersum	xeːrsum
gerefa	jereːfɑ
mæcefisc	mæːt͡ʃefiʃ
rocc	rokk
bræð	bræθ
staþolnes	stɑθolnes
menniscnes	menniʃnes
tægl	tæjl
wærloga	wæːrloɡɑ
helpan	xelpɑn
muð	muːθ
þisses	θises
eaþe	æ͜ɑːθe
hæmed	xæːmed
tacen	tɑːken
oþ	oθ
nytwierþe	nytwi͜yrθe
bewacian	bewɑkiɑn
hæfde	hæfde
woruld	woruld
beatan	bæ͜ɑːtɑn
mamor	mɑmor
þrea	θræ͜ɑː
nawiht	nɑːwixt
hentan	xentɑn
eaþmodlice	æ͜ɑːθmoːdliːt͡ʃe
mennisc	menniʃ
œþel	øːθel
storc	stork
þwære	θwæːre
herian	xerjɑn
efenlic	efenliːt͡ʃ
gedal	jedɑːl
culfre	kulfre
wican	wiːkɑn
yfelum	yfelum
gelica	jeliːkɑ
nowend	noːwend
æppelwin	æppelwiːn
edgild	edjild
lamb	lɑmb
rind	rind
sele	sele
pehtas	pextɑs
cywþ	t͡ʃyːwθ
cwidræden	kwidræːden
dun	duːn
giestern	ji͜ystern
gastleas	ɡɑːstlæ͜ɑːs
þridda	θriddɑ
leof	le͜oːf
gæst	ɡæːst
gangan	ɡɑnɡɑn
gewealc	jewæ͜ɑlk
weodian	we͜oːdiɑn
gamen	ɡɑmen
wrixlan	wrikslɑn
untweolice	untwe͜oːliːt͡ʃe
breawern	bræ͜ɑːwern
oferwreon	oferwre͜oːn
handworht	xɑndworxt
uprodor	uprodor
niedwracu	ni͜yːdwrɑku
tohreran	toːxreːrɑn
wrid	wriːd
beslean	beslæ͜ɑːn
hreþmonaþ	xreːθmoːnɑθ
wusc	wuːsk
modorleas	moːdorlæ͜ɑːs
sægde	sæjde
giefu	ji͜yfu
sliepan	sli͜yːpɑn
brengan	brenjɑn
ge	je
ælædend	æːlæːdend
engle	enɡle
sawelcund	sɑːwelkund
geþogen	jeθoɡen
wylf	wylf
þwean	θwæ͜ɑːn
fiþre	fiθre
nyttung	nyttunɡ
rap	rɑːp
bæþhus	bæθxuːs
sweotol	swe͜otol
offrian	offriɑn
totwæmednes	toːtwæːmednes
hwæm	xwæːm
onwegacyrrednes	onwejɑːt͡ʃyrrednes
wagian	wɑɡiɑn
ceorle	t͡ʃe͜orle
leohtfæt	le͜oːxtfæt
earfeþe	æ͜ɑrfeθe
cyþlæcan	kyːθlæːt͡ʃɑn
wol	woːl
earfoþdæde	æ͜ɑrfoθdæːde
þegn	θejn
tomearcian	toːmæ͜ɑrkiɑn
run	ruːn
oferdrincere	oferdrinkere
rimcræft	riːmkræft
heorþgeneat	xe͜orθjenæ͜ɑːt
sunne	sunne
ricedom	riːt͡ʃedoːm
breahtm	bræ͜ɑxtm
æg	æːj
worold	worold
fordragan	fordrɑɡɑn
arabisc	ɑrɑbiʃ
geofonyþ	je͜ofonyːθ
tien	ti͜yːn
awuldrian	ɑːwuldriɑn
ielfen	i͜ylfen
sinniht	sinnixt
lufiend	lufiend
menniscu	mennisku
aldorleas	ɑldorlæ͜ɑːs
þeon	θe͜oːn
dran	drɑːn
sumur	sumur
oht	oːxt
fyrhtu	fyrxtu
onteon	onte͜oːn
copor	kopor
sigetacen	sijetɑːken
begong	beɡonɡ
wordpredicung	wordpredikunɡ
ceapstow	t͡ʃæ͜ɑːpstoːw
abroþen	ɑːbroθen
hyht	xyxt
cnyssung	knyssunɡ
wuldorheap	wuldorxæ͜ɑːp
deon	de͜oːn
leorningcild	le͜orninɡt͡ʃild
geol	joːl
cnyll	knyll
sceoh	ʃe͜oːx
eacan	æ͜ɑːkɑn
smales	smɑles
sid	siːd
eam	æ͜ɑm
simle	simle
clipola	klipolɑ
brant	brɑnt
gastgifu	ɡɑːstjifu
ieþe	i͜yːθe
ademan	ɑːdeːmɑn
hamm	xɑmm
wiergnes	wi͜yrjnes
ahyrdan	ɑːxyrdɑn
swæþer	swæθer
alh	ɑlx
genift	jenift
lam	lɑːm
openlic	openliːt͡ʃ
wiþblawan	wiθblɑːwɑn
ealdor	æ͜ɑldor
dægred	dæjreːd
þurhwunian	θurxwuniɑn
weorþmynd	we͜orθmynd
nemnan	nemnɑn
cyrictun	t͡ʃirit͡ʃtuːn
rand	rɑnd
forwenan	forweːnɑn
nihstig	nixstij
mæþel	mæθel
wyrcung	wyrt͡ʃunɡ
modgehygd	moːdjexyjd
hærnflota	xærnflotɑ
pinne	pinne
aræran	ɑːræːrɑn
læsest	læːsest
læwan	læːwɑn
costnian	kostniɑn
crincgan	krinjɑn
læce	læːt͡ʃe
landscipe	lɑndʃipe
rihtan	rixtɑn
scieldburg	ʃi͜yldburɡ
wudulic	wuduliːt͡ʃ
hnutum	xnutum
healf	xæ͜ɑlf
dilgian	dilɡiɑn
deoren	de͜oːren
aheardian	ɑːxæ͜ɑrdiɑn
hlið	xliθ
gedrefend	jedreːfend
weatacen	wæ͜ɑːtɑːken
wyrms	wyrms
forstes	forstes
snotingahamscir	snotinɡɑxɑːmʃiːr
fodor	foːdor
yþbord	yːθbord
glowan	ɡloːwɑn
þri	θriː
lof	lof
eorþnafola	e͜orθnɑfolɑ
wiþweorpan	wiθwe͜orpɑn
onsundrian	onsundriɑn
forhelan	forxelɑn
biscopwyrt	biʃʃopwyrt
gimmwyrhta	jimmwyrxtɑ
oneardiend	onæ͜ɑrdiend
hrof	xroːf
aþiedan	ɑːθi͜yːdɑn
nealæcan	næ͜ɑːlæːt͡ʃɑn
cos	kos
wiðersaca	wiθersɑkɑ
beleogan	bele͜oːɡɑn
bisæc	biːsæːt͡ʃ
beforan	beforɑn
tux	tuːks
sellicre	sellikre
sumor	sumor
cwedol	kwedol
yrfe	yrfe
rune	ruːne
nearunes	næ͜ɑrunes
mesan	meːsɑn
ætren	æːtren
screon	ʃre͜oːn
calu	kɑlu
myrgþ	myrjθ
wearh	wæ͜ɑrx
haleg	xɑːlej
dudda	duddɑ
geswerian	jeswerjɑn
unfealdan	unfæ͜ɑldɑn
geseþung	jeseːθunɡ
frumcynn	frumkynn
beclyppan	beklyppɑn
blanc	blɑnk
bæchus	bækxuːs
forcippian	fort͡ʃippiɑn
sunwlitig	sunwlitij
sceaduwe	ʃæ͜ɑduwe
steoran	ste͜oːrɑn
oretmæcg	oːretmæjj
catt	kɑtt
eorðe	e͜orθe
fengel	fenɡel
uþwitian	uːθwitiɑn
wrigian	wriːjiɑn
ingeþanc	injeθɑnk
sawlung	sɑːwlunɡ
ælfen	ælfen
weddung	weddunɡ
ceaw	t͡ʃæ͜ɑːw
staþolfæstlice	stɑθolfæstliːt͡ʃe
tunge	tunɡe
mægdenhad	mæjdenxɑːd
tweowa	twe͜owɑ
landhlaford	lɑndxlɑːford
stæfgefeg	stæfjefeːj
þridde	θridde
geofon	je͜ofon
drugon	druɡon
flocmælum	flokmæːlum
fregen	frejen
earfoþþrag	æ͜ɑrfoθθrɑːɡ
segen	sejen
beah	bæ͜ɑːx
syferæte	syːferæːte
modrige	moːdrije
naca	nɑkɑ
hronfisc	xronfiʃ
nerian	nerjɑn
becnyttan	beknyttɑn
ætstandan	ætstɑndɑn
bæcbord	bækbord
leohtbære	le͜oːxtbæːre
modsefa	moːdsefɑ
gebeotian	jebe͜oːtiɑn
flitcræft	fliːtkræft
anlicnes	ɑnliːknes
gicce	jitt͡ʃe
pleoh	ple͜ox
wuldorsang	wuldorsɑnɡ
gemanigfieldan	jemɑnijfi͜yldɑn
beforancweþan	beforɑnkweθɑn
syferlice	syːferliːt͡ʃe
wæter	wæter
fromhweorfan	fromxwe͜orfɑn
swete	sweːte
scield	ʃi͜yld
hlyst	xlyst
notian	notiɑn
hæferblæte	xæferblæːte
teman	teːmɑn
behæs	bexæːs
ciricmangung	t͡ʃirit͡ʃmɑnɡunɡ
asellan	ɑːsellɑn
fæsl	fæsl
feldbeo	feldbe͜oː
ceap	t͡ʃæ͜ɑːp
sæcst	sækst
þicce	θikke
cealdnys	t͡ʃæ͜ɑldnys
aulixes	ɑulikses
gedruncnian	jedrunkniɑn
heorra	xe͜orrɑ
beþiedan	beθi͜yːdɑn
gorettan	ɡorettɑn
smeþe	smeːθe
wæterig	wæterij
ærgod	æːrɡoːd
beheafdung	bexæ͜ɑːfdunɡ
molde	molde
ceosel	t͡ʃe͜osel
hnecca	xnekkɑ
spillan	spillɑn
hengon	xeːnɡon
recede	ret͡ʃede
moþþe	moθθe
wod	woːd
gebetan	jebeːtɑn
seonu	se͜onu
brægn	bræjn
sibbegedriht	sibbejedrixt
scear	ʃæ͜ɑːr
þeodenstol	θe͜oːdenstoːl
spane	spɑne
basu	bɑsu
gemangian	jemɑnɡiɑn
hreodan	xre͜oːdɑn
orc	ork
deah	dæ͜ɑːx
liþan	liːθɑn
þeod	θe͜oːd
bestreawian	bestræ͜ɑːwiɑn
geefenlæcan	jeefenlæːt͡ʃɑn
mene	mene
geligre	jelijre
gewitnes	jewitnes
recan	reːt͡ʃɑn
æcer	æker
edwist	edwist
teah	tæːɑx
neoþan	ne͜oθɑn
læwed	læːwed
fas	fɑs
fiellan	fi͜yllɑn
gemacian	jemɑkiɑn
gedefe	jedeːfe
toscriþan	toːʃriːθɑn
wordmittung	wordmittunɡ
freo	fre͜oː
griþian	ɡriθiɑn
eaþmodheort	æ͜ɑːθmoːdxe͜ort
geardum	jæɑrdum
bærlic	bærliːt͡ʃ
stearcmod	stæ͜ɑrkmoːd
profian	proːfiɑn
gefindan	jefindɑn
eln	eln
tir	tiːr
brad	brɑːd
amirran	ɑːmirrɑn
ahte	ɑːhte
beot	be͜oːt
ieþan	i͜yːθɑn
penning	penninɡ
wliteleas	wlitelæ͜ɑːs
forhycgan	forxyjjɑn
hwæt	xwæt
stan	stɑːn
foreþingian	foreθinɡiɑn
fyrd	fyrd
spyrigung	spyrijunɡ
þeodcyninga	θeːodkyniŋɡɑ
gehierendlic	jexi͜yːrendliːt͡ʃ
onhyrenes	onxyrenes
norþmann	norθmɑnn
openlice	openliːt͡ʃe
tigan	tiːjɑn
windbære	windbæːre
deop	de͜oːp
eadbald	æ͜ɑːdbɑld
dwelan	dwelɑn
sceat	ʃæ͜ɑːt
sæþeof	sæːθe͜oːf
drinc	drink
þol	θol
miht	mixt
scamleas	ʃɑmlæ͜ɑːs
framacyrran	frɑmɑːt͡ʃyrrɑn
æswician	æːswikiɑn
brycgbot	bryjjboːt
campstede	kɑmpstede
colian	koːliɑn
meos	me͜oːs
handscyldig	xɑndʃyldij
pinere	piːnere
ræswan	ræːswɑn
leoþwise	le͜oːθwiːse
acyrrednes	ɑːt͡ʃyrrednes
sniþan	sniːθɑn
seofonfeald	se͜ofonfæ͜ɑld
besittan	besittɑn
wrot	wroːt
hring	xrinɡ
bescieran	beʃi͜yrɑn
lof	loːf
gamenian	ɡɑmeniɑn
getwæfan	jetwæːfɑn
giemeleas	ji͜yːmelæ͜ɑːs
finn	finn
hlafordleas	xlɑːfordlæ͜ɑːs
mearþ	mæ͜ɑrθ
hunig	xunij
andefn	ɑndefn
hwelian	xweliɑn
sciene	ʃi͜yːne
innan	innɑn
oferbrecan	oferbrekɑn
þære	θæːre
wæterseoc	wæterse͜oːk
fregn	frejn
mecefisc	meːt͡ʃefiʃ
belecgan	belejjɑn
oxan	oksɑn
læste	læste
geerian	jeerjɑn
gesundfull	jesundfull
ceorlian	t͡ʃe͜orliɑn
ielfete	i͜ylfete
ielf	i͜ylf
solsece	solseke
licettere	liːt͡ʃettere
hronrad	xronrɑːd
sæ	sæː
ciricþegnung	t͡ʃirikθejnunɡ
preost	pre͜oːst
utlædan	uːtlæːdɑn
þignen	θijnen
oferweorpan	oferwe͜orpɑn
sicorlice	sikorliːt͡ʃe
þruh	θruːx
deadlic	dæ͜ɑːdliːt͡ʃ
agen	ɑːɡen
ranc	rɑnk
eorþbifung	e͜orθbifunɡ
spowan	spoːwɑn
edniwian	edniːwiɑn
grambære	ɡrɑmbæːre
hleapestre	xlæ͜ɑːpestre
gemæte	jemæːte
færinga	fæːrinɡɑ
andsware	ɑndswɑre
wordlaþu	wordlɑθu
steppan	steppɑn
bearneacnung	bæ͜ɑrnæ͜ɑːknunɡ
wyrdan	wyrdɑn
bewalwian	bewɑlwiɑn
wuldorfull	wuldorfull
efest	efest
unstæfwis	unstæfwiːs
gastlic	ɡɑːstliːt͡ʃ
dreogan	dre͜oːɡɑn
æfæst	æːfæst
sprædan	spræːdɑn
ærn	ærn
ampella	ɑmpellɑ
hriþer	xriːθer
gemetfæt	jemetvæt
geador	ɡæ͜ɑdor
oferstigendlic	oferstiːɡendliːt͡ʃ
bænen	bæːnen
bælfyr	bæːlfyːr
sicol	sikol
ƿ	w
forscrihan	forʃriːxɑn
wambadl	wɑmbɑːdl
þeos	θeːos
crafian	krɑfiɑn
mearh	mæ͜ɑrx
inbringan	inbrinɡɑn
eþelriht	eːθelrixt
gærstapa	ɡærstɑpɑ
regnwyrm	rejnwyrm
onginnan	onjinnɑn
sæyþ	sæːyːθ
hweol	xwe͜oːl
huntian	xuntiɑn
ebreisc	ebreːiʃ
dædhata	dæːdxɑtɑ
crypel	krypel
gedriht	jedrixt
ylpend	ylpend
hof	xoːf
sacan	sɑkɑn
gesceadan	jeʃɑːdɑn
scir	ʃiːr
ancor	ɑnkor
laf	lɑːf
sucan	suːkɑn
læceboc	læːt͡ʃeboːk
tolicgan	toːlijjɑn
wuldorgeflogena	wuldorjefloɡenɑ
mioluc	mi͜uluk
blat	blɑːt
clænlice	klæːnliːt͡ʃe
herung	xerunɡ
tonama	toːnɑmɑ
foremearcod	foremæ͜ɑrkod
miscyrran	mist͡ʃyrrɑn
tid	tiːd
wuldorhelm	wuldorxelm
edwenden	edwenden
meregrot	mereɡrot
bewæpnian	bewæːpniɑn
gegn	jejn
læs	læːs
feondræden	fe͜oːndræːden
metetid	metetiːd
hindrian	xindriɑn
ceasnes	t͡ʃæ͜ɑːsnes
stæfrof	stæfroːf
lyge	lyje
deorcynn	de͜oːrkynn
geondhierdan	je͜ondxi͜yrdɑn
telga	telɡɑ
rice	riːt͡ʃe
biscophad	biʃʃopxɑːd
gleobeam	ɡle͜oːbæ͜ɑːm
sceabb	ʃæ͜ɑbb
ielfcynn	i͜ylfkynn
stracian	strɑːkiɑn
wrætt	wræːtt
mindom	mindoːm
gripennis	ɡripennis
hellewite	xellewiːte
nytwyrþnes	nytwyrθnes
wil	wil
mealt	mæ͜ɑlt
hreowlice	xre͜oːwliːt͡ʃe
beþeccan	beθett͡ʃɑn
hleoþorcyme	xle͜oːθorkyme
cwalu	kwɑlu
næglian	næjliɑn
þus	θus
non	non
stede	stede
ferhþ	ferxθ
wita	witɑ
oferwinnan	oferwinnɑn
ber	beːr
besma	besmɑ
æðele	æθele
cildlic	t͡ʃildliːt͡ʃ
non	noːn
hæst	xæːst
wilcuma	wilkumɑ
gift	jift
gelæstan	jelæːstɑn
orsorglice	orsorɡliːt͡ʃe
apostata	ɑpostɑtɑ
dœg	døɡ
cnif	kniːf
ræscettan	ræʃettɑn
god	ɡod
fanu	fɑnu
hnægung	xnæːjunɡ
earn	æ͜ɑrn
hælu	xæːlu
igoþ	ijoθ
gewyrdelice	jewyrdeliːt͡ʃe
trega	treɡɑ
þyrstan	θyrstɑn
misdon	misdoːn
forgiemeleasian	forji͜yːmelæ͜ɑːsiɑn
ciricbelle	t͡ʃirit͡ʃbelle
hefignes	xefijnes
hwelp	xwelp
husul	xuːsul
þrymm	θrymm
tosamnian	toːsɑmniɑn
hlenca	xlent͡ʃɑ
sloh	sloːx
mannbære	mɑnnbæːre
sceatt	ʃæ͜ɑtt
torfian	torfiɑn
gebad	jebɑːd
cost	kost
wacnes	wɑːknes
gie	ji͜y
beweorpan	bewe͜orpɑn
ricu	riːku
hornbære	xornbæːre
wyrttruma	wyrttrumɑ
los	los
mearcian	mæ͜ɑrkiɑn
byrnan	byrnɑn
ger	jeːr
rinnan	rinnɑn
hiewian	xi͜yːwiɑn
spannan	spɑnnɑn
hrim	xriːm
heafodstol	xæ͜ɑːfodstoːl
fealh	fæ͜ɑlx
daroþ	dɑroθ
stænen	stæːnen
geogolere	je͜oːɡolere
yþhengest	yːθxenjest
scamfæst	ʃɑmfæst
geondrecan	je͜ondreːt͡ʃɑn
heawan	xæ͜ɑːwɑn
sagu	sɑɡu
deorfan	de͜orfɑn
þis	θis
manigfealdnes	mɑnijfæ͜ɑldnes
dædbana	dæːdbɑnɑ
fielleseoc	fi͜yllese͜oːk
hlaford	xlɑːford
fuldon	fuldoːn
neolnes	ne͜oːlnes
cipe	t͡ʃipe
wawa	wɑːwɑ
bere	bere
þeote	θe͜oːte
bigenga	biːjenɡɑ
sangboc	sɑnɡboːk
gefolgian	jefolɡiɑn
ferdwite	ferdwiːte
croppa	kroppɑ
babilonige	bɑbiloːnije
sahtlian	sɑxtliɑn
glæsen	ɡlæsen
betweonum	betwe͜oːnum
stearc	stæ͜ɑrk
soþlice	soːθliːt͡ʃe
panne	pɑnne
orþanc	orθɑnk
wand	wɑnd
monaþlic	moːnɑθliːt͡ʃ
staþolfæstnes	stɑθolfæstnes
dunn	dunn
bledsian	bleːdsiɑn
cancettan	kɑnkettɑn
larsmiþ	lɑːrsmiθ
cynn	kynn
weornan	we͜ornɑn
geliman	jeliːmɑn
gegang	jeɡɑnɡ
flewsa	fleːwsɑ
manigfealdan	mɑnijfæ͜ɑldɑn
ac	ɑk
fif	fiːf
firenlust	firenlust
edcyrr	edt͡ʃyrr
græf	ɡræf
penwihtsteort	penwixtste͜ort
wunian	wuniɑn
stol	stoːl
cwen	kweːn
readnys	ræ͜ɑːdnys
swincan	swinkɑn
efthweorfan	eftxwe͜orfɑn
ricen	riːt͡ʃen
wintersufel	wintersufel
fæcne	fæːkne
awacan	ɑːwɑkɑn
clipol	klipol
clæne	klæːne
hwosan	xwoːsɑn
arcebiscop	ɑrt͡ʃebiʃʃop
medemian	medemiɑn
infiht	infixt
agiefan	ɑːji͜yfɑn
nytt	nytt
sæternesdæg	sæternesdæj
befylan	befyːlɑn
domboc	doːmboːk
ætbregdendlic	ætbrejdendliːt͡ʃ
pinung	piːnunɡ
teors	te͜ors
stieran	sti͜yːrɑn
wiþteon	wiθte͜oːn
canne	kɑnne
godlic	ɡoːdliːt͡ʃ
guþbeorn	ɡuːθbe͜orn
elebeam	elebæ͜ɑːm
candel	kɑndel
geþweran	jeθwerɑn
anfealdlice	ɑːnfæ͜ɑldliːt͡ʃe
aseon	ɑːse͜oːn
afaran	ɑːfɑrɑn
gerimboc	jeriːmboːk
gærsstapa	ɡærsstɑpɑ
landfolc	lɑndfolk
frasung	frɑːsunɡ
befindan	befindɑn
adeliht	ɑdelixt
eaden	æ͜ɑːden
lucan	luːkɑn
ierfe	i͜yrfe
blostmbære	bloːstmbæːre
wordig	wordij
sundor	sundor
noma	nomɑ
ongefeoht	onjefe͜oxt
dreor	dre͜oːr
æmyrgan	æːmyrjɑn
leodmægen	le͜oːdmæjen
sæp	sæp
beacenstan	bæ͜ɑːkenstɑːn
gemagian	jemɑɡiɑn
aheardung	ɑːxæ͜ɑrdunɡ
castenere	kɑstenere
niwnes	niːwnes
samnung	sɑmnunɡ
onweorpan	onwe͜orpɑn
ædreseax	æːdresæ͜ɑks
lesan	lesɑn
mylen	mylen
eardiend	æ͜ɑrdiend
sendan	sendɑn
cnihtlic	knixtliːt͡ʃ
morþorscyldig	morθorʃyldij
horena	xoːrenɑ
celde	t͡ʃelde
dyhtig	dyxtij
blœdsian	bløːdsiɑn
getacnigendlic	jetɑːknijendliːt͡ʃ
þreatian	θræ͜ɑːtiɑn
wedd	wedd
iecan	i͜yːt͡ʃɑn
syfling	syflinɡ
langoþ	lɑnɡoθ
þonne	θonne
eorþæppel	e͜orθæppel
licgan	lijjɑn
eþelwynn	eːθelwynn
ferian	ferjɑn
þeahtian	θæ͜ɑxtiɑn
gierwan	ji͜yrwɑn
cranicwritere	krɑnikwriːtere
wohdom	woːxdoːm
twiccian	twikkiɑn
are	ɑːre
wuldorword	wuldorword
wedlac	wedlɑːk
flugol	fluɡol
gesund	jesund
getacnigendlice	jetɑːknijendliːt͡ʃe
maþum	mɑːθum
gecyþan	jekyːθɑn
egesian	ejesiɑn
misrædan	misræːdɑn
migoþa	miɡoθɑ
wexan	weksɑn
oþsceotan	oθʃe͜oːtɑn
feohbot	fe͜oxboːt
æfwyrdla	æfwyrdlɑ
hecg	xejj
onliesan	onli͜yːsɑn
oncweþan	onkweθɑn
gecidan	jet͡ʃiːdɑn
forliþan	forliːθɑn
biword	biːword
fyrtorr	fyːrtorr
cwictreow	kwiktre͜oːw
wihtsæta	wixtsæːtɑ
edcierr	edt͡ʃi͜yrr
caf	kɑːf
leodwynn	le͜oːdwynn
bestrican	bestriːkɑn
gredig	ɡreːdij
besengan	besenjɑn
meteþegn	meteθejn
wennan	wennɑn
seaxisc	sæ͜ɑksiʃ
rignan	rijnɑn
ciricsteall	t͡ʃirit͡ʃstæ͜ɑll
niþgeteon	niːθjete͜oːn
hyreborg	xyːreborɡ
swiera	swi͜yːrɑ
sweora	swe͜oːrɑ
hunigcamb	xunijkɑmb
gestaþolian	jestɑθoliɑn
spell	spell
erce	erke
gefea	jefæ͜ɑː
onsendon	onsendon
unwæterig	unwæterij
liþa	liːθɑ
cwide	kwide
ciricstig	t͡ʃirit͡ʃstiːj
sceapieg	ʃæ͜ɑːpi͜yːj
þurhseon	θurxse͜oːn
botian	boːtiɑn
leon	le͜oːn
forspendan	forspendɑn
cneorim	kne͜oːriːm
wiergen	wi͜yrjen
eþeleard	eːθelæ͜ɑrd
wæge	wæːje
mundian	mundiɑn
swimman	swimmɑn
seolc	se͜olk
forlætan	forlæːtɑn
ofgangende	ofɡɑnɡende
spicing	spiːkinɡ
sprengan	sprenjɑn
meting	meːtinɡ
stryndan	stryːndɑn
þurhbrucan	θurxbruːkɑn
nihtes	nixtes
discipul	diskipul
unwitod	unwitod
þegen	θejen
utgan	uːtɡɑːn
wundor	wundor
stræt	stræːt
malscrung	mɑlʃrunɡ
swogen	swoːɡen
wohnes	woːxnes
gifre	jiːfre
gefegnes	jefeːjnes
sword	sword
wacian	wɑkiɑn
unnytt	unnytt
gosheafoc	ɡoːsxæ͜ɑfok
hiwfæst	xiːwfæst
asyndrung	ɑːsyndrunɡ
healfdead	xæ͜ɑlfdæ͜ɑːd
gespræc	jespræːt͡ʃ
webba	webbɑ
blac	blɑːk
tawian	tɑwiɑn
deopnes	de͜oːpnes
dreorig	dre͜oːrij
gerisene	jerisene
þe	θe
forseon	forse͜oːn
cyrtenlæcan	kyrtenlæːt͡ʃɑn
wagþyrel	wɑːɡθyːrel
etan	etɑn
bedd	bedd
ielfadl	i͜ylfɑːdl
mærstan	mæːrstɑːn
gæstan	ɡæːstɑn
fearn	fæ͜ɑrn
hiwcuþnes	xiːwkuːθnes
weofod	we͜oːfod
ceosol	t͡ʃe͜osol
æmette	æːmette
wregendlic	wreːjendliːt͡ʃ
mægencræft	mæjenkræft
ylp	ylp
haswig	xɑswij
unwemme	unwemme
handboc	xɑndboːk
