Певень	pʲˈɛvʲɛn
пчальнік	pʈ͡͡ʂˈɑɭnik
змясцілі	zmʲɪst̻͡͡sˈiɭi
пілоты	piɭˈotɨ
сімпатый	simpˈɑtɨj
завозяцца	zˌavʌzʲˈj͡at̻͡͡st̻͡͡sa
кантралююцца	kˌantraɭʲuʲˈut̻͡͡st̻͡͡sa
свата	svˈɑta
гнала	ɣnˈɑɭa
змяшчаюцца	zmʲˌɪʂʈ͡͡ʂaʲˈut̻͡͡st̻͡͡sa
спрэчак	sprˈɛʈ͡͡ʂak
дзівоснага	dzˌivʌsnˈɑɣa
цудадзейнай	t̻͡͡sˌudadzʲˈɛjnaj
Альшэўскага	ˌaɭʂɛwskˈɑɣa
тралейбусе	trˌaɭʲɛjbˈusʲɛ
нядбайнасць	nʲɪdbˈɑjnast̻͡͡s
рэферата	rˌɛfʲɛrˈɑta
удалося	ˌudaɭˈosʲa
ўладальніцы	wɭˌadaɭnˈit̻͡͡sɨ
вагаліся	vˌaɣaɭˈisʲa
адведаць	advʲˈɛdat̻͡͡s
Айчынная	ˌajʈ͡͡ʂɨnnˈɑʲa
Славянскі	sɭavʲˈj͡anski
мэханізмы	mˌɛxanˈizmɨ
чароўны	ʈ͡͡ʂarˈownɨ
Клічаў	kɭˈiʈ͡͡ʂaw
частковую	ʈ͡͡ʂˌastkʌvˈuʲu
чуласць	ʈ͡͡ʂˈuɭast̻͡͡s
прававымі	prˌavavˈɨmi
замужжа	zamˈuʐʐa
Селішча	sʲɛɭˈiʂʈ͡͡ʂa
Падобныя	pˌadʌbnˈɨa
нафтавай	naftˈɑvaj
Шах	ʂˈɑx
Дзель	dzʲˈɛɭ
кругласутачнай	krˌuɣɭasutˈɑʈ͡͡ʂnaj
Рэпарцёры	rˌɛpart̻͡͡sʲˈɔrɨ
назвай	nˈɑzvaj
зачапіцца	zˌaʈ͡͡ʂapˈit̻͡͡st̻͡͡sa
найлепшай	najɭʲˈɛpʂaj
мітусня	mitˈusnʲa
Мітрапаліт	mˌitrapˈɑɭit
сімвалічнае	sˌimvaɭiʈ͡͡ʂnˈɑʲɛ
Фелікса	fʲɛɭˈiksa
ўсведамленне	wsvʲˌɛdamɭʲˈɛnnʲɛ
жорсткасці	ʐʌrstkˈɑst̻͡͡si
крывацёк	krɨvˈɑt̻͡͡sʲɔk
вырабленую	vˌɨrabɭʲɛnˈuʲu
выступаючы	vˌɨstupaʲˈuʈ͡͡ʂɨ
крыўдзіцца	krɨwdzˈit̻͡͡st̻͡͡sa
колам	kˈoɭam
Германовіча	ɣʲˌɛrmanʌvˈiʈ͡͡ʂa
павышаць	pavˈɨʂat̻͡͡s
Гаўрош	ɣˈɑwrʌʂ
гульцамі	ɣuɭt̻͡͡sˈɑmi
крадзяжоў	kradzʲˈj͡aʐʌw
нізкая	nizkˈɑʲa
святынях	svʲɪtˈɨnʲɪx
Двойчы	dvˈojʈ͡͡ʂɨ
грамадзянскім	ɣrˌamadzʲˈj͡anskim
росту	rˈostu
асуджаць	asˈudʐat̻͡͡s
бачацца	baʈ͡͡ʂˈɑt̻͡͡st̻͡͡sa
агародах	ˌaɣarˈodax
жвір	ʐvˈir
настаўнічала	nˌastawniʈ͡͡ʂˈɑɭa
зімовага	zˌimʌvˈɑɣa
Віленскія	vˌiɭʲɛnskˈia
ажылі	aʐˈɨɭi
купляючы	kˌupɭʲɪˈuʈ͡͡ʂɨ
спачываюць	spˌaʈ͡͡ʂɨvˈɑʲut̻͡͡s
скрыняў	skrˈɨnʲɪw
параўнаць	parˈɑwnat̻͡͡s
супольнымі	sˌupʌɭnˈɨmi
нявіннага	nʲˌɪvinnˈɑɣa
фарміраванняў	fˌarmiravˈɑnnʲɪw
Ключавыя	kɭʲˌuʈ͡͡ʂavˈɨa
таксічных	taksˈiʈ͡͡ʂnɨx
грузіць	ɣrˈuzit̻͡͡s
Корсакам	kʌrsˈɑkam
пастаўчане	pˌastawʈ͡͡ʂˈɑnʲɛ
губернях	ɣubʲˈɛrnʲɪx
беручы	bʲɛrˈuʈ͡͡ʂɨ
канстытуцыйнасці	kˌanstɨtˌut̻͡͡sɨjnˈɑst̻͡͡si
аўтаматычная	ˌawtamˌatɨʈ͡͡ʂnˈɑʲa
пачатыя	pˌaʈ͡͡ʂatˈɨa
цудатворнага	t̻͡͡sˌudatvʌrnˈɑɣa
мачы	mˈɑʈ͡͡ʂɨ
Ідзём	ˈidzʲɔm
Рахунак	raxˈunak
музеем	muzʲˈɛʲɛm
розьніцы	rʌznˈit̻͡͡sɨ
ЦДК	t̻͡͡sdk
побыце	pʌbˈɨt̻͡͡sʲɛ
заменіць	zamʲˈɛnit̻͡͡s
Таранціна	tˌarant̻͡͡sˈina
Карытас	karˈɨtas
спэцслужбаў	spɛt̻͡͡ssɭˈuʐbaw
грамадзянін	ɣrˌamadzʲˈj͡anin
рэгламентам	rˌɛɣɭamʲˈɛntam
Спынена	spɨnʲˈɛna
папярэднікаў	pˌapʲɪrɛdnˈikaw
агнём	ˈɑɣnʲɔm
вынікаюць	vˌɨnikˈɑʲut̻͡͡s
гармонія	ɣˌarmʌnˈia
асветніка	ˌasvʲɛtnˈika
Клімент	kɭˈimʲɛnt
містыка	mistˈɨka
Загад	zˈɑɣad
папяровым	pˌapʲɪrˈovɨm
ахоўнікаў	ˌaxʌwnˈikaw
Круглага	kruɣɭˈɑɣa
Траццякоўскай	trˌat̻͡͡st̻͡͡sʲɪkˈowskaj
ўводзяць	wvˈodzʲɪt̻͡͡s
рэкамендацыйны	rˌɛkamʲˌɛndat̻͡͡sˈɨjnɨ
ледавіка	ɭʲˌɛdavˈika
вершаваны	vʲˌɛrʂavˈɑnɨ
Дарослых	darˈosɭɨx
напояў	napˈoʲɪw
Цікавае	t̻͡͡sˌikavˈɑʲɛ
ўгору	wɣˈoru
здымка	zdˈɨmka
сакратара	sˌakratˈɑra
драпежных	drapʲˈɛʐnɨx
паслухаў	pasɭˈuxaw
кнігалюбаў	knˌiɣaɭʲˈubaw
чыніце	ʈ͡͡ʂɨnˈit̻͡͡sʲɛ
варушыць	varˈuʂɨt̻͡͡s
выдаткаваныя	vˌɨdatkˌavanˈɨa
былому	bɨɭˈomu
лабараторыя	ɭˌabarˌatʌrˈɨa
энтузіястаў	ˌɛntuziˈj͡astaw
Быкоўскага	bˌɨkʌwskˈɑɣa
жадалі	ʐadˈɑɭi
тэлекамунікацыйных	tˌɛɭʲɛkˌamunˌikat̻͡͡sˈɨjnɨx
здаўшы	zdˈɑwʂɨ
пахаваньне	pˌaxavˈɑnnʲɛ
паглынання	pˌaɣɭɨnˈɑnnʲa
фундаментальны	fˌundamʲɛntˈɑɭnɨ
разбіралі	rˌazbirˈɑɭi
танцавальнага	tˌant̻͡͡savaɭnˈɑɣa
Таварышы	tˌavarˈɨʂɨ
Ратуючыся	rˌatuʲuʈ͡͡ʂˈɨsʲa
Румынію	rˌumɨnˈiu
іерархію	ˌiɛrarxˈiu
пазначце	paznˈɑʈ͡͡ʂt̻͡͡sʲɛ
накінула	nˌakinˈuɭa
праглядзелі	prˌaɣɭʲɪdzʲˈɛɭi
Саня	sˈɑnʲa
смешна	smʲˈɛʂna
маскаля	maskˈɑɭʲa
заплацілі	zˌapɭat̻͡͡sˈiɭi
варотамі	vˌarʌtˈɑmi
Карнея	karnʲˈɛʲa
частая	ʈ͡͡ʂastˈɑʲa
адасобленых	ˌadasʌbɭʲˈɛnɨx
віншаваннямі	vˌinʂavannʲˈj͡ami
кулер	kˈuɭʲɛr
вяртанню	vʲɪrtˈɑnnʲu
ганаровы	ɣˌanarˈovɨ
ідэалагічнай	ˌidɛˌaɭaɣˈiʈ͡͡ʂnaj
пераўзбраенне	pʲˌɛrawzbraʲˈɛnnʲɛ
прыгарадныя	prˌɨɣaradnˈɨa
капітальных	kˌapitˈɑɭnɨx
форткі	fˈortki
Высокіх	vɨsˈokix
Асобе	asˈobʲɛ
чарзе	ʈ͡͡ʂˈɑrzʲɛ
засвоіць	zasvˈoit̻͡͡s
Міжнародную	mˌiʐnarʌdnˈuʲu
ВА	vˈɑ
Даўгаўпілса	dˌawɣawpˈiɭsa
лекавыя	ɭʲˌɛkavˈɨa
Чарнавуса	ʈ͡͡ʂˌarnavˈusa
псіхатэрапія	psˌixatˌɛrapˈia
някепска	nʲɪkʲˈɛpska
зацвярджэнне	zˌat̻͡͡svʲɪrdʐˈɛnnʲɛ
Здруй	zdrˈuj
ўражвалі	wraʐvˈɑɭi
задумваўся	zˌadumvˈɑwsʲa
здавацца	zdavˈɑt̻͡͡st̻͡͡sa
Трава	trˈɑva
Набажэнствы	nˌabaʐˈɛnstvɨ
дванаццаціперснай	dvˌanat̻͡͡st̻͡͡sˌat̻͡͡sipʲˈɛrsnaj
універсітэцкага	ˌunivʲˌɛrsitɛt̻͡͡skˈɑɣa
уздзейнічаць	ˌuzdzʲɛjnˈiʈ͡͡ʂat̻͡͡s
Застаюцца	zˌastaʲˈut̻͡͡st̻͡͡sa
асобы	asˈobɨ
Ракавец	rakˈɑvʲɛt̻͡͡s
танцу	tˈɑnt̻͡͡su
безліч	bʲˈɛzɭiʈ͡͡ʂ
Заклікаем	zˌakɭikˈɑʲɛm
паўсядзённым	pˌawsʲɪdzʲˈɔnnɨm
стагодзя	staɣˈodzʲa
Пералічаныя	pʲˌɛraɭˌiʈ͡͡ʂanˈɨa
яскравага	ʲˌɪskravˈɑɣa
абочыне	ˌabʌʈ͡͡ʂˈɨnʲɛ
Жылка	ʐˈɨɭka
чале	ʈ͡͡ʂˈɑɭʲɛ
арыенціраў	ˌarɨɛnt̻͡͡sˈiraw
заснавана	zˌasnavˈɑna
плакала	pɭakˈɑɭa
легендарнай	ɭʲˌɛɣʲɛndˈɑrnaj
дэмаграфічным	dˌɛmaɣrafˈiʈ͡͡ʂnɨm
гвалтам	ɣvˈɑɭtam
паўнацэнная	pˌawnat̻͡͡sɛnnˈɑʲa
пазнаёміцеся	pˌaznaʲˌɔmit̻͡͡sʲˈɛsʲa
далягляды	dˌaɭʲɪɣɭʲˈj͡adɨ
просьбаў	prˈosbaw
інтарэсах	ˌintarˈɛsax
Літургія	ɭˌiturɣˈia
заклала	zakɭˈɑɭa
вышкі	vˈɨʂki
Фаланстэр	faɭˈɑnstɛr
апошнюю	ˌapʌʂnʲˈuʲu
кафедра	kafʲˈɛdra
Інтэграцыя	ˌintɛɣrat̻͡͡sˈɨa
адмаўляючы	ˌadmawɭʲɪˈuʈ͡͡ʂɨ
кубак	kˈubak
хваробамі	xvˌarʌbˈɑmi
абвешчанай	ˌabvʲɛʂʈ͡͡ʂˈɑnaj
далікатнай	dˌaɭikˈɑtnaj
Пастанову	pˌastanˈovu
пагранічнага	pˌaɣraniʈ͡͡ʂnˈɑɣa
тысячнага	tˌɨsʲɪʈ͡͡ʂnˈɑɣa
цэркваў	t̻͡͡sˈɛrkvaw
Слуцкам	sɭˈut̻͡͡skam
старэйшага	stˌarɛjʂˈɑɣa
няшчасцем	nʲɪʂʈ͡͡ʂˈɑst̻͡͡sʲɛm
Цудоўнай	t̻͡͡sudˈownaj
хворага	xvʌrˈɑɣa
электраэнергію	ˌɛɭʲɛktrˌaɛnʲɛrɣˈiu
прадуктовага	prˌaduktʌvˈɑɣa
справаздачай	sprˌavazdˈɑʈ͡͡ʂaj
Імперыя	ˌimpʲɛrˈɨa
Каляровыя	kˌaɭʲɪrʌvˈɨa
Пастанове	pˌastanˈovʲɛ
фірменны	firmʲˈɛnnɨ
смелых	smʲˈɛɭɨx
памятае	pˌamʲɪtˈɑʲɛ
пякло	pʲˈj͡akɭʌ
прымаюць	prɨmˈɑʲut̻͡͡s
льнозавода	ɭnˌʌzavˈoda
адлюстроўвала	ˌadɭʲustrʌwvˈɑɭa
Коласам	kʌɭˈɑsam
графічным	ɣrafˈiʈ͡͡ʂnɨm
профільных	prʌfˈiɭnɨx
ўдзяляюць	wdzʲɪɭʲˈj͡aʲut̻͡͡s
падазраваў	pˌadazrˈɑvaw
Сідарэнка	sˌidarˈɛnka
нотамі	nʌtˈɑmi
ідэальнае	ˌidɛaɭnˈɑʲɛ
прыгожай	prɨɣˈoʐaj
каштоўней	kaʂtˈownʲɛj
размеркавання	rˌazmʲɛrkavˈɑnnʲa
Януковічам	ʲˌɪnukʌvˈiʈ͡͡ʂam
Бібліятэкі	bˌibɭiɪtˈɛki
зіхаціць	zixˈɑt̻͡͡sit̻͡͡s
экспанавалася	ˌɛkspanˌavaɭˈɑsʲa
ўглядаецца	wɣɭʲˌɪdaʲˈɛt̻͡͡st̻͡͡sa
павялі	pavʲˈj͡aɭi
ЦВК	t̻͡͡svk
катэхізацыі	kˌatɛxˌizat̻͡͡sˈɨi
Пабачылі	pˌabaʈ͡͡ʂˈɨɭi
Гусакоў	ɣusˈɑkʌw
смачнага	smaʈ͡͡ʂnˈɑɣa
гербы	ɣʲˈɛrbɨ
цэглы	t̻͡͡sˈɛɣɭɨ
напісаны	nˌapisˈɑnɨ
прытулак	prɨtˈuɭak
напрамкаў	naprˈɑmkaw
жыхар	ʐˈɨxar
паддаваўся	pˌaddavˈɑwsʲa
звязанай	zvʲɪzˈɑnaj
Збавіцелем	zbˌavit̻͡͡sʲˈɛɭʲɛm
Районная	rˌajʌnnˈɑʲa
Камэнтаваць	kˌamɛntˈɑvat̻͡͡s
райбыткамбіната	rˌajbɨtkˌambinˈɑta
славяць	sɭˈɑvʲɪt̻͡͡s
мяккімі	mʲɪkkˈimi
пісар	pˈisar
рускімі	ruskˈimi
непрыкметная	nʲˌɛprɨkmʲɛtnˈɑʲa
пляцоўцы	pɭʲɪt̻͡͡sˈowt̻͡͡sɨ
індыкоў	indˈɨkʌw
маладажоны	mˌaɭadaʐˈonɨ
Невялікі	nʲˌɛvʲɪɭˈiki
судзімасць	sudzˈimast̻͡͡s
ручаёк	ruʈ͡͡ʂˈɑʲɔk
апісаны	ˌapisˈɑnɨ
штрыхаванай	ʂtrˌɨxavˈɑnaj
Гурыновіч	ɣˌurɨnˈoviʈ͡͡ʂ
ФСПТ	fspt
своеасаблівая	svˌʌʲɛˌasabɭivˈɑʲa
вадзіў	vˈɑdziw
вёскай	vʲˈɔskaj
тэндэнцыяў	tˌɛndɛnt̻͡͡sˈɨɪw
падатковую	pˌadatkʌvˈuʲu
геаграфічнае	ɣʲˌɛaɣrˌafiʈ͡͡ʂnˈɑʲɛ
кампанентамі	kˌampanʲɛntˈɑmi
адхіленне	ˌadxiɭʲˈɛnnʲɛ
экспертыза	ˌɛkspʲɛrtˈɨza
канцэпт	kˈɑnt̻͡͡sɛpt
сусьвет	sˈusvʲɛt
статуэтак	stˌatuˈɛtak
падслухаў	padsɭˈuxaw
Хрыста	xrˈɨsta
кандыцыянераў	kˌandɨt̻͡͡sˌɨɪnʲˈɛraw
радыёстанцый	rˌadɨɔstˈɑnt̻͡͡sɨj
спрадвечную	sprˌadvʲɛʈ͡͡ʂnˈuʲu
зніклай	znˈikɭaj
вучыцца	vuʈ͡͡ʂˈɨt̻͡͡st̻͡͡sa
луска	ɭˈuska
Назарэту	nˌazarˈɛtu
саступак	sastˈupak
расстройстваў	rasstrˈojstvaw
трасца	trˈɑst̻͡͡sa
сьвяткаваць	svʲɪtkˈɑvat̻͡͡s
стралковая	strˌaɭkʌvˈɑʲa
рамонтны	ramˈontnɨ
візуалізацыі	vˌizuˌaɭizat̻͡͡sˈɨi
працаўніку	prˌat̻͡͡sawnˈiku
Пазбягайце	pˌazbʲɪɣˈɑjt̻͡͡sʲɛ
рыўка	rˈɨwka
інстытуту	ˌinstɨtˈutu
Люцыя	ɭʲut̻͡͡sˈɨa
Вішнеўскі	viʂnʲˈɛwski
прапаршчыкам	prˌaparʂʈ͡͡ʂˈɨkam
найноўшай	najnˈowʂaj
раманах	ramˈɑnax
прымусам	prɨmˈusam
пераўзышлі	pʲˌɛrawzˈɨʂɭi
першакласнікам	pʲˌɛrʂakɭasnˈikam
пераразлік	pʲˌɛrarˈɑzɭik
квітнела	kvitnʲˈɛɭa
умела	umʲˈɛɭa
скарачаюцца	skˌaraʈ͡͡ʂaʲˈut̻͡͡st̻͡͡sa
гралі	ɣrˈɑɭi
Адамам	adˈɑmam
кілаграмы	kˌiɭaɣrˈɑmɨ
стварылася	stvˌarɨɭˈɑsʲa
аўдыт	ˈɑwdɨt
малочнатаварным	mˌaɭʌʈ͡͡ʂnˌatavˈɑrnɨm
дапамагаеш	dˌapamaɣˈɑʲɛʂ
Свіцязь	svˈit̻͡͡sʲɪz
разважання	rˌazvaʐˈɑnnʲa
Алёна	aɭʲˈɔna
выключэньнем	vˌɨkɭʲuʈ͡͡ʂˈɛnnʲɛm
сумаваць	sumˈɑvat̻͡͡s
цывілізаваныя	t̻͡͡sˌɨviɭˌizavanˈɨa
Ананіч	anˈɑniʈ͡͡ʂ
заўзятарамі	zˌawzʲɪtarˈɑmi
тайком	tˈɑjkʌm
бясконцых	bʲɪskˈont̻͡͡sɨx
мінімальную	mˌinimaɭnˈuʲu
Харошкі	xarˈoʂki
Паліну	paɭˈinu
Харык	xˈɑrɨk
вогненны	vʌɣnʲˈɛnnɨ
Вучылася	vˌuʈ͡͡ʂɨɭˈɑsʲa
Добрушы	dʌbrˈuʂɨ
шанцу	ʂˈɑnt̻͡͡su
Але	ˈɑɭʲɛ
паддавацца	pˌaddavˈɑt̻͡͡st̻͡͡sa
выканаюць	vˌɨkanˈɑʲut̻͡͡s
Гаворка	ɣavˈorka
цынічна	t̻͡͡sɨnˈiʈ͡͡ʂna
азадак	azˈɑdak
заказваюць	zˌakazvˈɑʲut̻͡͡s
збіраліся	zbˌiraɭˈisʲa
ўзятая	wzʲɪtˈɑʲa
мастацтвазнаўства	mˌastat̻͡͡stvaznˈɑwstva
міфалагічныя	mˌifaɭˌaɣiʈ͡͡ʂnˈɨa
Вашы	vˈɑʂɨ
нацыстамі	nˌat̻͡͡sɨstˈɑmi
дзе	dzʲˈɛ
прадукты	pradˈuktɨ
асабістай	ˌasabˈistaj
Вывучаем	vˌɨvuʈ͡͡ʂˈɑʲɛm
важнымі	vaʐnˈɨmi
згоды	zɣˈodɨ
пяхота	pʲɪxˈota
равеснікі	rˌavʲɛsnˈiki
торфапрадпрыемства	tˌʌrfaprˌadprɨˈɛmstva
сметніцу	smʲɛtnˈit̻͡͡su
колькасцях	kʌɭkˈɑst̻͡͡sʲɪx
садзіць	sˈɑdzit̻͡͡s
абедзенны	ˌabʲɛdzʲˈɛnnɨ
зелянела	zʲˌɛɭʲɪnʲˈɛɭa
тэлевізіі	tˌɛɭʲɛvizˈii
згаджаюцца	zɣˌadʐaʲˈut̻͡͡st̻͡͡sa
пазіраў	pazˈiraw
патрабаванням	pˌatrabavˈɑnnʲɪm
весцы	vʲˈɛst̻͡͡sɨ
Ельскага	ʲɛɭskˈɑɣa
плаціла	pɭat̻͡͡sˈiɭa
узгадваць	uzɣˈɑdvat̻͡͡s
збіраючыся	zbˌiraʲuʈ͡͡ʂˈɨsʲa
сьвядомы	svʲɪdˈomɨ
выяўляецца	vˌɨɪwɭʲɪˈɛt̻͡͡st̻͡͡sa
адкрыцце	adkrˈɨt̻͡͡st̻͡͡sʲɛ
паступаў	pastˈupaw
адвярнулася	ˌadvʲɪrnuɭˈɑsʲa
паясок	paʲˈj͡asʌk
радая	radˈɑʲa
сардэчных	sardˈɛʈ͡͡ʂnɨx
Кёльне	kʲˈɔɭnʲɛ
наспела	naspʲˈɛɭa
моманту	mʌmˈɑntu
Столінскім	stʌɭˈinskim
бенефіс	bʲɛnʲˈɛfis
каналаў	kanˈɑɭaw
спаму	spˈɑmu
прывабную	prˌɨvabnˈuʲu
рэгламентуецца	rˌɛɣɭamʲˌɛntuʲˈɛt̻͡͡st̻͡͡sa
захваральнасці	zˌaxvaraɭnˈɑst̻͡͡si
наведвальнік	nˌavʲɛdvˈɑɭnik
каханую	kˌaxanˈuʲu
брытанская	brˌɨtanskˈɑʲa
манаграфіі	mˌanaɣrafˈii
шырэйшая	ʂˌɨrɛjʂˈɑʲa
этапамі	ˌɛtapˈɑmi
зладзеі	zɭadzʲˈɛi
згуртаваліся	zɣˌurtavaɭˈisʲa
краін	krˈɑin
кантрабас	kantrˈɑbas
змоўшчыкаў	zmʌwʂʈ͡͡ʂˈɨkaw
ліцэнзійных	ɭˌit̻͡͡sɛnzˈijnɨx
Глеб	ɣɭʲˈɛb
цела	t̻͡͡sʲˈɛɭa
паглядалі	pˌaɣɭʲɪdˈɑɭi
экспартных	ɛkspˈɑrtnɨx
прапагандаваў	prˌapaɣandˈɑvaw
НАТА	nˈɑta
запасе	zapˈɑsʲɛ
Іваноўскі	ˌivanˈowski
Летнім	ɭʲˈɛtnim
праглядае	prˌaɣɭʲɪdˈɑʲɛ
філасофскай	fˌiɭasˈofskaj
роўна	rˈowna
Прадавец	pradˈɑvʲɛt̻͡͡s
Валавая	vˌaɭavˈɑʲa
варыяцыі	vˌarɨɪt̻͡͡sˈɨi
партыйную	pˌartɨjnˈuʲu
языкі	ʲɪzˈɨki
пустальгі	pustˈɑɭɣi
напамяць	napˈɑmʲɪt̻͡͡s
місіяй	misˈiɪj
крытэр	krˈɨtɛr
стрэльбаў	strˈɛɭbaw
адчуваем	ˌadʈ͡͡ʂuvˈɑʲɛm
перагляд	pʲɛrˈɑɣɭʲɪd
саюзам	saʲˈuzam
спалучыць	spaɭˈuʈ͡͡ʂɨt̻͡͡s
Пісьмянкова	pˌismʲɪnkˈova
прадказвае	prˌadkazvˈɑʲɛ
механізаваныя	mʲˌɛxanˌizavanˈɨa
Злучаныя	zɭˌuʈ͡͡ʂanˈɨa
апранутая	ˌapranutˈɑʲa
тэнге	tˈɛnɣʲɛ
вянком	vʲˈj͡ankʌm
ёмістасці	ʲˌɔmistˈɑst̻͡͡si
адзінства	adzˈinstva
журналісцкім	ʐˌurnaɭˈist̻͡͡skim
панэлі	panˈɛɭi
часовага	ʈ͡͡ʂˌasʌvˈɑɣa
атрадах	atrˈɑdax
спевам	spʲˈɛvam
стратэгічныя	strˌatɛɣiʈ͡͡ʂnˈɨa
побыт	pˈobɨt
Працэсія	prˌat̻͡͡sɛsˈia
праведзеныя	prˌavʲɛdzʲɛnˈɨa
лічба	ɭˈiʈ͡͡ʂba
абмяркоўваецца	ˌabmʲɪrkˌʌwvaʲˈɛt̻͡͡st̻͡͡sa
Дзвіны	dzvˈinɨ
непасрэдная	nʲˌɛpasrɛdnˈɑʲa
пададзена	pˌadadzʲˈɛna
санаторнай	sˌanatˈornaj
гіперспасылка	ɣˌipʲɛrspasˈɨɭka
ганцаўчан	ɣant̻͡͡sˈɑwʈ͡͡ʂan
старога	starˈoɣa
згубленыя	zɣˌubɭʲɛnˈɨa
Пакупнік	pakˈupnik
макеты	makʲˈɛtɨ
анкеце	ankʲˈɛt̻͡͡sʲɛ
еўрапейскімі	ʲˌɛwrapʲɛjskˈimi
Харкаў	xˈɑrkaw
фальклорнага	fˌaɭkɭʌrnˈɑɣa
спэцслужбы	spɛt̻͡͡ssɭˈuʐbɨ
сігналізацыя	sˌiɣnaɭˌizat̻͡͡sˈɨa
нармальную	nˌarmaɭnˈuʲu
Тураўскага	tˌurawskˈɑɣa
карпаратыўнага	kˌarparˌatɨwnˈɑɣa
гродзенскую	ɣrˌʌdzʲɛnskˈuʲu
Ткачова	tkaʈ͡͡ʂˈova
унікальнасць	ˌunikˈɑɭnast̻͡͡s
прыватную	prˌɨvatnˈuʲu
рэстаўратар	rˌɛstawrˈɑtar
электрычную	ˌɛɭʲɛktrɨʈ͡͡ʂnˈuʲu
цудоўна	t̻͡͡sudˈowna
збіваў	zbˈivaw
адкрываць	adkrˈɨvat̻͡͡s
Памочнік	pamˈoʈ͡͡ʂnik
Рэспубліканскага	rˌɛspubɭˌikanskˈɑɣa
бабульку	babˈuɭku
рэгіянальнымі	rˌɛɣiˌɪnaɭnˈɨmi
Свідрыгайла	svˌidrɨɣˈɑjɭa
навучэнцамі	nˌavuʈ͡͡ʂɛnt̻͡͡sˈɑmi
меншымі	mʲɛnʂˈɨmi
прывычнага	prˌɨvɨʈ͡͡ʂnˈɑɣa
узнікнення	ˌuzniknʲˈɛnnʲa
Сынам	sˈɨnam
прысланыя	prˌɨsɭanˈɨa
Гумінскі	ɣumˈinski
паходзе	paxˈodzʲɛ
ўрач	wrˈɑʈ͡͡ʂ
вагай	vˈɑɣaj
Гандлёвыя	ɣˌandɭʲɔvˈɨa
перамагала	pʲˌɛramaɣˈɑɭa
Несумненна	nʲˌɛsumnʲˈɛnna
апеляцыі	ˌapʲɛɭʲɪt̻͡͡sˈɨi
Шостая	ʂʌstˈɑʲa
катэхетычных	kˌatɛxʲɛtˈɨʈ͡͡ʂnɨx
доўгачаканым	dˌʌwɣaʈ͡͡ʂakˈɑnɨm
Старэйшая	stˌarɛjʂˈɑʲa
пабудове	pˌabudˈovʲɛ
Гасцінец	ɣast̻͡͡sˈinʲɛt̻͡͡s
эквіваленты	ˌɛkvivaɭʲˈɛntɨ
высялення	vˌɨsʲɪɭʲˈɛnnʲa
палітвязьнямі	pˌaɭitvʲɪznʲˈj͡ami
залазілі	zˌaɭazˈiɭi
абвалу	abvˈɑɭu
цэнтралізаванага	t̻͡͡sˌɛntraɭˌizavanˈɑɣa
малюнкамі	mˌaɭʲunkˈɑmi
размешчаная	rˌazmʲɛʂʈ͡͡ʂanˈɑʲa
Рыгоравічам	rˌɨɣʌravˈiʈ͡͡ʂam
дакументальнай	dˌakumʲɛntˈɑɭnaj
шоўк	ʂˈowk
разабраны	rˌazabrˈɑnɨ
дрэваў	drˈɛvaw
завіхацца	zˌavixˈɑt̻͡͡st̻͡͡sa
шматгадовай	ʂmˌatɣadˈovaj
Жодзіна	ʐʌdzˈina
аўтазак	awtˈɑzak
Падняпроўя	pˌadnʲɪprˈowʲa
прэзідэнты	prˌɛzidˈɛntɨ
Ўсходняй	wsxˈodnʲɪj
далёкую	dˌaɭʲɔkˈuʲu
працадзень	prat̻͡͡sˈɑdzʲɛn
пазногцяў	paznˈoɣt̻͡͡sʲɪw
руплівага	rˌupɭivˈɑɣa
пасіўнага	pˌasiwnˈɑɣa
парэзаць	parˈɛzat̻͡͡s
няпоўныя	nʲˌɪpʌwnˈɨa
студэнтаў	studˈɛntaw
фінішную	fˌiniʂnˈuʲu
крадзяжамі	krˌadzʲɪʐˈɑmi
керамікі	kʲˌɛramˈiki
механізмаў	mʲˌɛxanˈizmaw
жывот	ʐˈɨvʌt
указ	ˈukaz
трацілі	trat̻͡͡sˈiɭi
падзеяў	padzʲˈɛʲɪw
падборкі	padbˈorki
Праезд	prˈɑʲɛzd
непасрэднае	nʲˌɛpasrɛdnˈɑʲɛ
цяжкае	t̻͡͡sʲɪʐkˈɑʲɛ
звадкаваным	zvˌadkavˈɑnɨm
прымаеце	prˌɨmaʲˈɛt̻͡͡sʲɛ
захапляльнай	zˌaxapɭʲˈj͡aɭnaj
ўпэўнілася	wpˌɛwniɭˈɑsʲa
шостай	ʂˈostaj
выйсцем	vˈɨjst̻͡͡sʲɛm
збіла	zbˈiɭa
аэрадроме	ˌaɛradrˈomʲɛ
згаджаўся	zɣadʐˈɑwsʲa
сфатаграфавалі	sfˌataɣrˌafavˈɑɭi
Галіну	ɣaɭˈinu
вучнем	vˈuʈ͡͡ʂnʲɛm
свяшчэнную	svʲˌɪʂʈ͡͡ʂɛnnˈuʲu
РТБД	rtbd
шэнгенскай	ʂɛnɣʲˈɛnskaj
самотнай	samˈotnaj
Седзюкевіч	sʲˌɛdzʲukʲˈɛviʈ͡͡ʂ
Уборку	ubˈorku
прытокі	prɨtˈoki
Дзмітрыевіча	dzmˌitrɨɛvˈiʈ͡͡ʂa
факультатыў	fˌakuɭtˈɑtɨw
