pozitif	pozitˈɪf
renkteki	rænktekˈɪ
Timuçin	timut͡ʃˈɪn
branşları	branʃɫaɾˈɯ
sıralanan	sɯɾaɫanˈan
hızlıca	hɯzɫɯd͡ʒˈa
Amanda	amandˈa
değişimidir	dejiʃimˈidɪr
evlerindeki	ɛvleɾɪndekˈɪ
Chokeslam	d͡ʒhokɛsɫˈam
pansiyonun	pansijonˈʊn
oluşmuşlardır	oɫʊʃmʊʃɫˈardɯr
beladan	bˈeɫadan
görüşmelere	ɟœɾøʃmeleɾˈɛ
derinlemesine	deɾɪnlemesinˈɛ
Audio	audiˈɔ
takımdan	tˈakɯmdan
Mir	mˈɪr
sunuculara	sunud͡ʒuɫaɾˈa
Conrad	d͡ʒɔnrˈad
Sinemaya	sinˈemaja
bankada	bˈankada
şikayette	ʃikajetːˈɛ
a	ˈa
acilen	ad͡ʒilˈæn
vadilerinde	vadileɾɪndˈɛ
beğendikleri	bejændɪkleɾˈɪ
Akdeniz	akdˈenɪz
Dişi	diʃˈɪ
kalındı	kaɫɯndˈɯ
ilahiler	iɫahilˈɛr
Kudaibergen	kudaibɛrɟˈæn
Başkomiser	baʃkomisˈɛr
Society	sod͡ʒiˈɛtj
dikmiştir	dɪkmˈɪʃtɪr
Kim	kˈɪm
kıyısını	kɯjɯsɯnˈɯ
kollarında	kɔɫɫaɾɯndˈa
yüzüğü	jyzˈøː
Kendinden	kændɪndˈæn
kollarda	kɔɫɫardˈa
liginin	liɟinˈɪn
suçlanır	sʊt͡ʃɫanˈɯr
söylediğini	sœjledijinˈɪ
fili	filˈɪ
Cumhuriyetler	d͡ʒʊmhuɾijɛtlˈɛr
hayaletleri	hajalɛtleɾˈɪ
edilmiş	edɪlmˈɪʃ
kurtaracağına	kʊrtaɾad͡ʒaːɯnˈa
kamuoyunun	kamuojunˈʊn
sağlayıcıları	saːɫajɯd͡ʒɯɫaɾˈɯ
beslenerek	bɛsleneɾˈɛk
orijini	oɾiʒinˈɪ
üniteden	ynitedˈæn
Germiyanoğulları	ɟɛrmijanoːʊɫɫaɾˈɯ
Buzulun	buzuɫˈʊn
çizeri	t͡ʃizeɾˈɪ
Fast	fˈast
varlıktır	varɫˈɯktɯr
umutlarını	umʊtɫaɾɯnˈɯ
Terimin	tˈeɾimɪn
operatörler	opeɾatœrlˈɛr
Tekrarlama	tɛkrˈarɫama
izlenim	ɪzlˈenɪm
çıkarımsal	t͡ʃɯkaɾɯmsˈaɫ
suyolu	sujoɫˈʊ
Ostrogot	ɔstroɡˈɔt
emekliliğinden	emɛklilijɪndˈæn
oluşturulur	oɫʊʃtuɾuɫˈʊr
tahribat	tahribˈat
emniyetini	æmnijetinˈɪ
yeğeni	jejenˈɪ
Festivali	fɛstivalˈɪ
Seyhan	sɛjhˈan
insani	ˈɪnsanɪ
havalimanı	havalimanˈɯ
girişimi	ɟiɾˈiʃimɪ
Silistre	silɪstrˈɛ
valisi	valisˈɪ
kırarak	kɯɾaɾˈak
boğulmuştur	boːʊɫmˈʊʃtʊr
Yedinci	jedɪnd͡ʒˈɪ
Trujillo	truʒɪlɫˈɔ
gelebileceği	ɟelebiled͡ʒejˈɪ
neolitik	neolitˈɪk
Cihazın	d͡ʒihazˈɯn
sanatlarının	sanatɫaɾɯnˈɯn
Tail	taˈɪl
yayınlamadı	jajɯnɫˈamadɯ
yılki	jɯɫkˈɪ
alamamış	aɫamamˈɯʃ
Memlûkler	mæmlʊklˈɛr
eleştirisini	elɛʃtiɾisinˈɪ
Kardeşliği	kardɛʃlijˈɪ
süreksiz	syɾˈɛksɪz
yörünge	jœɾønɡˈɛ
Türkçesini	tørkt͡ʃesinˈɪ
kanallarından	kanaɫɫaɾɯndˈan
adaydı	adajdˈɯ
Clegane	d͡ʒleɡanˈɛ
çizimler	t͡ʃˈizɪmlɛr
Özdek	œzdˈɛk
mini	minˈɪ
desteksiz	dɛstˈɛksɪz
gözle	ɟˈœzlɛ
Komünü	komynˈø
hikâyesidir	hikajesˈidɪr
detaylı	detajɫˈɯ
yörelerine	jœɾeleɾinˈɛ
camların	d͡ʒamɫaɾˈɯn
maalesef	maalesˈɛf
Ermenistan	ɛrmenɪstˈan
ispatlanmıştır	ɪspatɫanmˈɯʃtɯr
beklentilerini	bɛklæntileɾinˈɪ
kilden	kɪldˈæn
uygulamayı	ʊjɡuɫˈamajɯ
kontun	kɔntˈʊn
âlem	alˈæm
Olağanüstü	oɫaːnøstˈø
Gallen	ɡaɫlˈæn
ayarlamıştır	ajarɫamˈɯʃtɯr
sürekliliğini	syɾɛklilijinˈɪ
açıklanması	at͡ʃɯkɫanmasˈɯ
odur	ˈodʊr
kanıtıdır	kanɯtˈɯdɯr
kendisine	kændisinˈɛ
Rezonans	rezonˈans
eczacılık	ɛd͡ʒzad͡ʒɯɫˈɯk
Johnson	ʒɔhnsˈɔn
vermediği	vɛrmedijˈɪ
Geleneklere	ɟelenɛkleɾˈɛ
kaptanı	kaptanˈɯ
ilanları	iɫanɫaɾˈɯ
Negri	nɛɟrˈɪ
reklamın	rɛkɫamˈɯn
geçirdikleri	ɟet͡ʃɪrdɪkleɾˈɪ
giymesine	ɟɪjmesinˈɛ
demiştir	demˈɪʃtɪr
Komisyon	komɪsjˈɔn
uyarıları	ujaɾɯɫaɾˈɯ
çeşmeye	t͡ʃˈɛʃmejɛ
Vakfıkebir	vakfɯkebˈɪr
Çekirdek	t͡ʃekɪrdˈɛk
country	d͡ʒoˈʊntrj
dörtlü	dœrtlˈø
günlerinden	ɟønleɾɪndˈæn
masrafı	masrafˈɯ
yatağını	jataːɯnˈɯ
öğrenmeleri	œːɾænmeleɾˈɪ
DSSC	dˌɛsˌɛsˌɛd͡ʒˈɛ
Dev	dˈɛv
Maddenin	madːenˈɪn
elimden	ˈelɪmdæn
Juliette	ʒulietːˈɛ
davranır	davranˈɯr
arazisidir	aɾazisˈidɪr
davrandığını	davrandɯɯɯnˈɯ
aklî	aklˈɯ
ögelerinden	œɟeleɾɪndˈæn
sahayı	sahajˈɯ
rakiplerinden	rakɪpleɾɪndˈæn
adalarını	adaɫaɾɯnˈɯ
makalelerinden	makaleleɾɪndˈæn
telesiyej	telesijˈɛʒ
gösterilerek	ɟœsteɾileɾˈɛk
Hapishanesi	hapɪshanesˈɪ
Zübeyr	zybˈɛjr
sütunlar	sytʊnɫˈar
savaşını	savaʃɯnˈɯ
geliştiren	ɟelɪʃtiɾˈæn
Gelişmeler	ɟelˈɪʃmelɛr
yargılama	jarɡˈɯɫama
ECW	ˈɛd͡ʒw
İşlerinden	ɪʃleɾɪndˈæn
Aile	aˈilɛ
Area	ˈaɾea
uzunluğunun	uzʊnɫuːnˈʊn
hamileydi	hamilɛjdˈɪ
emirin	emiɾˈɪn
belirlerler	belɪrlɛrlˈɛr
Minarenin	minˈaɾenɪn
enfeksiyonuna	ænfɛksijonunˈa
tüplü	tøplˈø
halindeki	halɪndekˈɪ
incelenebilir	ɪnd͡ʒelenebilˈɪr
kondu	kɔndˈʊ
ot	ˈɔt
PET	pˈɛt
Beylikleri	bɛjlɪkleɾˈɪ
raflardaki	rafɫardakˈɪ
Galiçya	ɡalɪt͡ʃjˈa
ulaştırır	uɫaʃtɯɾˈɯr
Aygıt	ajɡˈɯt
orkestranın	ɔrkˈɛstranɯn
hayranıydı	hajranɯjdˈɯ
tırnaklar	tɯrnakɫˈar
oynamadan	ɔjnˈamadan
materyallerini	matɛrjaɫleɾinˈɪ
Serge	sɛrɡˈɛ
getirmesine	ɟetɪrmesinˈɛ
Padişahın	padiʃahˈɯn
yararlanır	jaɾarɫanˈɯr
resmedilmiştir	rɛsmedɪlmˈɪʃtɪr
Dinin	dinˈɪn
Sürü	syɾˈø
Lütfü	løtfˈø
güçlenmesine	ɟøt͡ʃlænmesinˈɛ
parçalarında	part͡ʃaɫaɾɯndˈa
LDS	lˌɛdˌɛsˈɛ
düşürülmüş	dyʃyɾølmˈøʃ
vizyon	vɪzjˈɔn
görüşleriyle	ɟœɾøʃleɾˈɪjlɛ
kovulan	kovuɫˈan
dağda	daːdˈa
boksa	bˈɔksa
gıdalar	ɡɯdaɫˈar
çömleği	t͡ʃœmlejˈɪ
ermesiyle	ɛrmesˈɪjlɛ
bulmaktadırlar	bʊɫmaktˈadɯrɫar
stat	stˈat
öldürmüşlerdir	œldørmøʃlˈɛrdɪr
Paktı	paktˈɯ
alkışları	aɫkɯʃɫaɾˈɯ
versiyona	vɛrsijonˈa
Voyage	vojaɡˈɛ
zoolog	zooɫˈɔɡ
diyalogları	dijaɫɔɡɫaɾˈɯ
edilmelerini	edɪlmeleɾinˈɪ
bakım	bˈakɯm
Ateş	atˈɛʃ
temsilciliğini	tæmsɪld͡ʒilijinˈɪ
karım	kˈaɾɯm
dükkânların	dykːanɫaɾˈɯn
üretilmişti	yɾetɪlmɪʃtˈɪ
Honeymoon	honɛjmoˈɔn
leopar	leopˈar
reformlarla	refɔrmɫˈarɫa
kadeh	kadˈɛh
dövmeler	dˈœvmelɛr
Lake	ɫakˈɛ
ünlüdür	ønlˈydør
seslendiren	sɛslændiɾˈæn
Mihai	mihaˈɪ
görünüş	ɟœɾynˈøʃ
Rosina	rosinˈa
eden	ɛdˈen
şehrinden	ʃɛhrɪndˈæn
Rovers	rovˈɛrs
fiiller	fiɪllˈɛr
ziyan	zijˈan
duyusal	dujusˈaɫ
Downtown	dɔwntˈɔwn
izleyiciler	ɪzlejid͡ʒilˈɛr
yayınlarından	jajɯnɫaɾɯndˈan
metodunun	metodunˈʊn
karışıma	kaɾɯʃˈɯma
ölüyor	œlˈyjɔr
kazanılabilir	kazanɯɫabilˈɪr
oluşun	oɫuʃˈʊn
servis	sɛrvˈɪs
refleksi	rɛflɛksˈɪ
atfedilir	atfedilˈɪr
küçükbaş	kyt͡ʃøkbˈaʃ
mühendislerine	myhændɪsleɾinˈɛ
kurtarıcı	kʊrtaɾɯd͡ʒˈɯ
İvaz	ivˈaz
rahiplik	rahɪplˈɪk
turunun	tuɾunˈʊn
tekkesi	tekːesˈɪ
HTC	hˌɛtˌɛd͡ʒˈɛ
süresidir	syɾesˈidɪr
maksat	maksˈat
beklemede	bɛklˈemedɛ
Diyarbekir	dijarbekˈɪr
tüfeklerin	tyfɛkleɾˈɪn
mirastır	miɾˈastɯr
yayınlamaktadır	jajɯnɫamaktˈadɯr
sitelerden	sitelɛrdˈæn
ovasında	ovasɯndˈa
getirdiler	ɟetɪrdilˈɛr
sayımına	sajɯmɯnˈa
İlçeyi	ˈɪlt͡ʃɛjɪ
gecikmeler	ɟed͡ʒˈɪkmelɛr
sürülmesiyle	syɾølmesˈɪjlɛ
yakıtla	jakˈɯtɫa
Reagan	reaɡˈan
konuşmalarla	konʊʃmaɫˈarɫa
bakılmaktadır	bakɯɫmaktˈadɯr
amiloid	amiɫoˈɪd
kazanınca	kazanɯnd͡ʒˈa
üretmesiyle	yɾɛtmesˈɪjlɛ
düşmanlarla	døʃmanɫˈarɫa
kanuni	kanunˈɪ
malzemenin	maɫzˈemenɪn
sarıldı	saɾɯɫdˈɯ
tankına	tankɯnˈa
Macedonski	mad͡ʒedɔnskˈɪ
edersek	edˈɛrsɛk
Bodrum	bˈɔdrʊm
olmamak	ɔɫmamˈak
toplandılar	tɔpɫandɯɫˈar
kocasıyla	kod͡ʒasˈɯjɫa
Mata	matˈa
p	pˈɛ
sınıflara	sɯnɯfɫaɾˈa
baltalar	baɫtaɫˈar
Malkoçoğlu	maɫkot͡ʃoːɫˈʊ
üstündeki	østøndekˈɪ
ormanlıktır	ɔrmanɫˈɯktɯr
Cinema	d͡ʒinˈema
büyümesini	byjymesinˈɪ
edilmiştir	edɪlmˈɪʃtɪr
Listedeki	lɪstedekˈɪ
baskıda	baskɯdˈa
koşucu	koʃud͡ʒˈʊ
Evler	ɛvlˈɛr
kafiye	kafijˈɛ
diziyi	dizijˈɪ
yiyeceğini	jijed͡ʒejinˈɪ
Dmanisi	dmanisˈɪ
tutması	tʊtmasˈɯ
Gölhisar	ɟœlhisˈar
sürdükten	sørdøktˈæn
yatmak	jatmˈak
yarışan	jaɾɯʃˈan
doğumgünü	doːʊmɟynˈø
Honey	honˈɛj
sevmekte	sɛvmɛktˈɛ
bacakları	bad͡ʒakɫaɾˈɯ
molekülde	molekøldˈɛ
Tracks	trˈad͡ʒks
Berk	bˈɛrk
davranışının	davranɯʃɯnˈɯn
Gayet	ɡajˈɛt
Feyzullah	fɛjzʊɫɫˈah
tesislerinden	tesɪsleɾɪndˈæn
dokunulmazlık	dokunʊɫmazɫˈɯk
rüzgarla	røzɡˈarɫa
tutuklandı	tutʊkɫandˈɯ
Resimleri	resɪmleɾˈɪ
barıştan	baɾɯʃtˈan
tuzaklama	tuzˈakɫama
Metabolik	metabolˈɪk
olunca	oɫʊnd͡ʒˈa
kısaltılmıştır	kɯsaɫtɯɫmˈɯʃtɯr
tuzaklar	tuzakɫˈar
ambargo	ambarɡˈɔ
bölümünden	bœlymøndˈæn
üretebilen	yɾetebilˈæn
Tablodaki	tabɫodakˈɪ
Dük	dˈøk
alnından	aɫnɯndˈan
ruhla	rˈʊhɫa
cılız	d͡ʒˈɯɫɯz
yapmıştır	japmˈɯʃtɯr
obaya	obajˈa
şiddetlendi	ʃidːɛtlændˈɪ
Mimarisi	mimaɾisˈɪ
infazlar	ɪnfazɫˈar
ikincisini	ikɪnd͡ʒisinˈɪ
hatırlatmaktadır	hatɯrɫatmaktˈadɯr
albümlerin	aɫbømleɾˈɪn
Posa	pˈosa
parkurları	parkʊrɫaɾˈɯ
valilikten	valilɪktˈæn
tuval	tuvˈaɫ
Sadri	sadrˈɪ
yayımlar	jˈajɯmɫar
kazazede	kazazedˈɛ
itirazını	itiɾazɯnˈɯ
evlendiği	ɛvlændijˈɪ
yaşayanlardan	jaʃajanɫardˈan
korunmasız	koɾʊnmˈasɯz
biftek	bɪftˈɛk
kışkırtmak	kɯʃkɯrtmˈak
Tasarımcı	tasaɾɯmd͡ʒˈɯ
Kuvvetli	kʊvvɛtlˈɪ
çıkartılır	t͡ʃɯkartɯɫˈɯr
savcı	savd͡ʒˈɯ
düşünüp	dyʃynˈøp
eklemeyi	ɛklˈemejɪ
Siemens	siemˈæns
ITV	ˈɯtv
Gözlemci	ɟœzlæmd͡ʒˈɪ
grafikleri	ɡrafɪkleɾˈɪ
otomasyon	otomasjˈɔn
Drama	drˈama
hümik	hymˈɪk
Taraklı	taɾakɫˈɯ
çalışmaktı	t͡ʃaɫɯʃmaktˈɯ
düşünebiliriz	dyʃynebilˈiɾɪz
avların	avɫaɾˈɯn
çevresine	t͡ʃɛvresinˈɛ
Colossus	d͡ʒoɫɔssˈʊs
başlamak	baʃɫamˈak
yeniden	jenidˈæn
Madımak	madɯmˈak
Soto	sotˈɔ
Arkansas	arkansˈas
ihlalleri	ɪhɫaɫleɾˈɪ
ücretlerinin	ød͡ʒrɛtleɾinˈɪn
dokuyu	dokujˈʊ
yürümektedir	jyɾymɛktˈedɪr
Kuyunun	kujunˈʊn
denklemine	dænkleminˈɛ
Dogg	dˈɔɡː
Ateşin	ateʃˈɪn
kiraya	kˈiɾaja
ürünlerle	yɾønlˈɛrlɛ
yanılsamaları	janɯɫsamaɫaɾˈɯ
kısacası	kɯsad͡ʒasˈɯ
sırt	sˈɯrt
yönetmesi	jœnɛtmesˈɪ
tavanına	tavanɯnˈa
Akıl	akˈɯɫ
fıçı	fɯt͡ʃˈɯ
başvurarak	baʃvuɾaɾˈak
bahşiş	bahʃˈɪʃ
Ring	rˈɪnɡ
savan	savˈan
maddedir	madːˈedɪr
Arkadan	arkadˈan
direnen	diɾenˈæn
Sabir	sabˈɪr
tüf	tˈøf
eczanelerde	ɛd͡ʒzanelɛrdˈɛ
kutsanmış	kʊtsanmˈɯʃ
ışığının	ɯʃɯɯɯnˈɯn
Tarzan	tarzˈan
vitro	vɪtrˈɔ
mermisi	mɛrmisˈɪ
ahtapot	ahtapˈɔt
sağlanamamıştır	saːɫanamamˈɯʃtɯr
çocuğudur	t͡ʃod͡ʒˈuːdʊr
Takuto	takutˈɔ
adedi	adedˈɪ
Uygurları	ʊjɡʊrɫaɾˈɯ
kullanmıştır	kʊɫɫanmˈɯʃtɯr
görmektedirler	ɟœrmɛktˈedɪrlɛr
beklenmektedir	bɛklænmɛktˈedɪr
birleşmesi	bɪrlɛʃmesˈɪ
sırtların	sɯrtɫaɾˈɯn
duyma	dˈʊjma
Para	paɾˈa
seans	seˈans
doğasından	doːasɯndˈan
TNA	tnˈa
piyasasına	pijasasɯnˈa
maskesi	maskesˈɪ
ertelendi	ɛrtelændˈɪ
koymak	kɔjmˈak
yüzyılın	jøzjɯɫˈɯn
kütüphanelerin	kytøphaneleɾˈɪn
yarışıdır	jaɾɯʃˈɯdɯr
sayfalarını	sajfaɫaɾɯnˈɯ
rakiplerinin	rakɪpleɾinˈɪn
Prensliği	prænslijˈɪ
Tuğamiral	tuːamiɾˈaɫ
Camus	d͡ʒamˈʊs
Yom	jˈɔm
cümleleri	d͡ʒømleleɾˈɪ
lokantalar	ɫokantaɫˈar
onarıma	onaɾˈɯma
katıldığını	katɯɫdɯɯɯnˈɯ
Başbakanın	baʃbakanˈɯn
matematik	matematˈɪk
cesetler	d͡ʒesɛtlˈɛr
ayakkabılar	ajakːabɯɫˈar
Yerleşkesi	jɛrlɛʃkesˈɪ
sarayını	saɾajɯnˈɯ
manşet	manʃˈɛt
atalarına	ataɫaɾɯnˈa
tutturulmuş	tutːuɾʊɫmˈʊʃ
hızlarda	hɯzɫardˈa
Stad	stˈad
istasyonun	ɪstasjonˈʊn
yükleyerek	jøklejeɾˈɛk
ortaokula	ɔrtaokˈuɫa
beraberlikle	beɾabɛrlˈɪklɛ
edilememesi	edilememesˈɪ
Kültürüne	køltyɾynˈɛ
benzerler	bænzɛrlˈɛr
Dara	daɾˈa
amaçladığını	amat͡ʃɫadɯɯɯnˈɯ
yatmasına	jatmasɯnˈa
ağırlığından	aːɯrɫɯɯɯndˈan
Mesheti	mɛshetˈɪ
sıklık	sɯkɫˈɯk
karşıya	karʃɯjˈa
götürülür	ɟœtyɾylˈør
kuşatılmıştı	kuʃatɯɫmɯʃtˈɯ
görüşüdür	ɟœɾyʃˈydør
uçurumu	ut͡ʃˈuɾumʊ
Güneyinde	ɟynejɪndˈɛ
paylaşmaktadır	pajɫaʃmaktˈadɯr
dosyalarını	dɔsjaɫaɾɯnˈɯ
Başkonsolosluğu	baʃkɔnsoɫɔsɫˈʊː
menfaat	mænfaˈat
Mekansal	mekansˈaɫ
beldedir	bældˈedɪr
katkısıyla	katkɯsˈɯjɫa
Anıtsal	anɯtsˈaɫ
Ayrık	ajrˈɯk
sahibinden	sahibɪndˈæn
Ferdi	fɛrdˈɪ
mesafeli	mesafelˈɪ
hibrit	hɪbrˈɪt
deyimle	dˈejɪmlɛ
Ahrar	ahrˈar
İsaakios	isaakiˈɔs
hakimiyetinden	hakimijetɪndˈæn
senesinden	senesɪndˈæn
yarışlarında	jaɾɯʃɫaɾɯndˈa
seviyenin	sevijenˈɪn
sürüldüğü	syɾøldˈøː
suçlarını	sʊt͡ʃɫaɾɯnˈɯ
doğrudan	doːɾudˈan
verince	veɾˈɪnd͡ʒɛ
reisleri	reɪsleɾˈɪ
tutumu	tˈutumʊ
sıkışması	sɯkɯʃmasˈɯ
bağlantının	baːɫantɯnˈɯn
zamanlaması	zamanɫamasˈɯ
Dergisi	dɛrɟisˈɪ
kalacaktır	kaɫad͡ʒˈaktɯr
antibiyotik	antibijotˈɪk
Mikoto	mikotˈɔ
tenis	tenˈɪs
Cancer	d͡ʒand͡ʒˈɛr
köşe	kœʃˈɛ
anlaşılabilir	anɫaʃɯɫabilˈɪr
siperleri	sipɛrleɾˈɪ
aşamadı	aʃˈamadɯ
protokoldür	protokˈɔɫdør
iddiasının	idːiasɯnˈɯn
kullanıcılarını	kʊɫɫanɯd͡ʒɯɫaɾɯnˈɯ
ilhakını	ɪlhakɯnˈɯ
arayış	aɾajˈɯʃ
marşını	marʃɯnˈɯ
Isı	ɯsˈɯ
değerlendirme	dejɛrlˈændɪrmɛ
Ivanov	ɯvanˈɔv
sağlardı	saːɫardˈɯ
Önceden	ˈœnd͡ʒɛdæn
Poirot	poiɾˈɔt
sizden	sɪzdˈæn
uzaklara	uzakɫaɾˈa
rakamsal	rakamsˈaɫ
bilincini	bilɪnd͡ʒinˈɪ
Biçim	bˈit͡ʃɪm
mutasavvıf	mutasavvˈɯf
edilirler	edilɪrlˈɛr
sınavlarda	sɯnavɫardˈa
anlayışından	anɫajɯʃɯndˈan
şaraba	ʃaɾabˈa
yetimhaneye	jetɪmhanejˈɛ
Yeter	jetˈɛr
araçları	aɾat͡ʃɫaɾˈɯ
kullanılmadığında	kʊɫɫanɯɫmadɯɯɯndˈa
yazılmamış	jazɯɫmamˈɯʃ
Şehrinin	ʃɛhrinˈɪn
teolog	teoɫˈɔɡ
uydu	ʊjdˈʊ
temsilleri	tæmsɪlleɾˈɪ
aydınları	ajdɯnɫaɾˈɯ
çocuğu	t͡ʃod͡ʒˈʊː
Savaşçısı	savaʃt͡ʃɯsˈɯ
Gürcü	ɟørd͡ʒˈø
varoş	vaɾˈɔʃ
düşünmesini	dyʃønmesinˈɪ
resital	resitˈaɫ
Necmi	nɛd͡ʒmˈɪ
filmindeki	fɪlmɪndekˈɪ
tutmuşlardır	tʊtmʊʃɫˈardɯr
sahibiydi	sahibɪjdˈɪ
Inch	ˈɯnd͡ʒh
anası	anasˈɯ
primi	primˈɪ
icracı	ɪd͡ʒrad͡ʒˈɯ
kavmi	kavmˈɪ
yazıda	jazɯdˈa
örtü	œrtˈø
nitelendirilmektedir	nitelændiɾɪlmɛktˈedɪr
süspansiyon	søspansijˈɔn
serumu	sˈeɾumʊ
sosyolojinin	sɔsjoɫoʒinˈɪn
yetersiz	jetˈɛrsɪz
örgütlerle	œrɟøtlˈɛrlɛ
Sanata	sanatˈa
ayağındaki	ajaːɯndakˈɪ
duvarındaki	duvaɾɯndakˈɪ
Punch	pˈʊnd͡ʒh
İyileştikten	ijilɛʃtɪktˈæn
Dharma	dhˈarma
yargıları	jarɡɯɫaɾˈɯ
Kabataş	kabatˈaʃ
küf	kˈøf
Basketball	baskɛtbˈaɫl
kamptan	kamptˈan
Twin	twˈɪn
yaratacaktır	jaɾatad͡ʒˈaktɯr
Oliver	olivˈɛr
başlangıcının	baʃɫanɡɯd͡ʒɯnˈɯn
Evet	evˈɛt
şeritin	ʃeɾitˈɪn
Modülü	modylˈø
astroloji	astroɫoʒˈɪ
üretebilir	yɾetebilˈɪr
katilinin	katilinˈɪn
jeti	ʒetˈɪ
ovasının	ovasɯnˈɯn
Strasbourg	strasboˈʊrɡ
almaktır	aɫmˈaktɯr
edilgen	edɪlɟˈæn
makinelerdir	makinelˈɛrdɪr
Yaşar	jaʃˈar
ahlâk	ahlˈak
girişmiş	ɟiɾɪʃmˈɪʃ
AGİT	aɟˈɪt
korunduğunu	koɾʊnduːnˈʊ
fırının	fɯɾɯnˈɯn
İşsiz	ˈɪʃsɪz
başlamışlardır	baʃɫamɯʃɫˈardɯr
içlerinden	ɪt͡ʃleɾɪndˈæn
zincirlerle	zɪnd͡ʒɪrlˈɛrlɛ
Medrese	mˈɛdresɛ
Açlık	at͡ʃɫˈɯk
küçüktürler	kyt͡ʃˈøktørlɛr
varmaya	vˈarmaja
savaşarak	savaʃaɾˈak
vekâlet	vekalˈɛt
dışındaydı	dɯʃɯndajdˈɯ
Destruction	dɛstrʊd͡ʒtiˈɔn
emici	emid͡ʒˈɪ
aramaktadırlar	aɾamaktˈadɯrɫar
yetersizlikleri	jetɛrsɪzlɪkleɾˈɪ
İstinaf	ɪstinˈaf
şarkılar	ʃarkɯɫˈar
geçtiğine	ɟɛt͡ʃtijinˈɛ
ihtilaf	ɪhtiɫˈaf
varoluşçu	vaɾoɫʊʃt͡ʃˈʊ
belirtirler	belɪrtɪrlˈɛr
Chet	d͡ʒhˈɛt
korumaları	koɾumaɫaɾˈɯ
tarımının	taɾɯmɯnˈɯn
çarmıha	t͡ʃarmɯhˈa
varlıklara	varɫɯkɫaɾˈa
papazlık	papazɫˈɯk
fonksiyondur	fɔnksijˈɔndʊr
anlaşmaların	anɫaʃmaɫaɾˈɯn
dişe	diʃˈɛ
Tabanca	taband͡ʒˈa
aralıkları	aɾaɫɯkɫaɾˈɯ
indirilmesi	ɪndiɾɪlmesˈɪ
Kulübünde	kulybøndˈɛ
Winston	wɪnstˈɔn
tahkimatları	tahkimatɫaɾˈɯ
makinelerine	makineleɾinˈɛ
kontrastı	kɔntrastˈɯ
kilisesinden	kilisesɪndˈæn
pişmiş	pɪʃmˈɪʃ
gebelikte	ɟebelɪktˈɛ
Necati	ned͡ʒatˈɪ
lekelerinin	lekeleɾinˈɪn
kanalından	kanaɫɯndˈan
çiçeklenme	t͡ʃit͡ʃɛklˈænmɛ
Makinesi	makinesˈɪ
kavramlarıyla	kavramɫaɾˈɯjɫa
Hollandaca	hɔɫɫandad͡ʒˈa
keşfedildiğinde	kɛʃfedɪldijɪndˈɛ
Günümüzden	ɟynˈymøzdæn
renktedir	rænktˈedɪr
salkımı	sˈaɫkɯmɯ
şaheser	ʃahesˈɛr
mahallî	mahaɫlˈɯ
hâliyle	halˈɪjlɛ
teorisine	teoɾisinˈɛ
kayıplarına	kajɯpɫaɾɯnˈa
Yapısı	japɯsˈɯ
evliliğe	ɛvlilijˈɛ
bereketli	beɾekɛtlˈɪ
yerleştirilmişlerdir	jɛrlɛʃtiɾɪlmɪʃlˈɛrdɪr
hediyelerle	hedijelˈɛrlɛ
halkına	haɫkɯnˈa
karşıdaki	karʃɯdakˈɪ
konular	konuɫˈar
Müzikoloji	myzikoɫoʒˈɪ
Miken	mˈicæn
Swagger	swaɡːˈɛr
Modüler	modylˈær
sessizliğe	sɛssɪzlijˈɛ
kuşlarla	kʊʃɫˈarɫa
stratejisinin	strateʒisinˈɪn
tekrarı	tɛkraɾˈɯ
caddenin	d͡ʒadːenˈɪn
göreli	ɟˈœɾelɪ
Connection	d͡ʒɔnnɛd͡ʒtiˈɔn
İnkılâp	ɪnkɯlˈap
generalin	ɟeneɾaɫˈɪn
bedenlerin	bedænleɾˈɪn
Kabri	kabrˈɪ
Psychology	psjd͡ʒhoɫˈɔɡj
sayıdan	sajɯdˈan
ekmekleri	ɛkmɛkleɾˈɪ
Vietnamlı	viɛtnamɫˈɯ
tezi	tezˈɪ
modellerde	modællɛrdˈɛ
anıtın	anɯtˈɯn
memurların	memʊrɫaɾˈɯn
değişik	dejiʃˈɪk
açıklamış	at͡ʃɯkɫamˈɯʃ
adaylıktan	adajɫɯktˈan
stoper	stopˈɛr
fırınlar	fɯɾɯnɫˈar
Prensipler	prænsɪplˈɛr
yamaçtan	jamat͡ʃtˈan
yakınsar	jakɯnsˈar
geliştiricinin	ɟelɪʃtiɾid͡ʒinˈɪn
atlarını	atɫaɾɯnˈɯ
överek	œveɾˈɛk
Düzce	dˈøzd͡ʒɛ
boylar	bɔjɫˈar
yandı	jandˈɯ
kentlerdeki	kæntlɛrdekˈɪ
bildirilmektedir	bɪldiɾɪlmɛktˈedɪr
enziminin	ænziminˈɪn
başladıysa	baʃɫadˈɯjsa
sayımda	sˈajɯmda
silahlarını	siɫahɫaɾɯnˈɯ
kuşatmak	kuʃatmˈak
Animals	animˈaɫs
gelmektedirler	ɟælmɛktˈedɪrlɛr
alıcıları	aɫɯd͡ʒɯɫaɾˈɯ
bırakıldıktan	bɯɾakɯɫdɯktˈan
şişeler	ʃiʃelˈɛr
Sosyolojik	sɔsjoɫoʒˈɪk
yürütülmüştür	jyɾytølmˈøʃtør
aslan	asɫˈan
