flodau	vloːdai̯
recriwtiaid	rɛkrɪu̯tjɛd
nghapel	ŋ̊apɛl
thi	θiː
llonydd	ɬoːnɪð
dyblu	dəbli
plygio	pləɡjɔ
rhys	r̥iːs
teisen	tei̯sɛn
iâr	jaːr
gog	ɡɔɡ
daflu	davli
gwenu	ɡwɛni
adferent	adveːrɛnt
teigrod	tei̯ɡrɔd
gorfod	ɡɔrvɔd
gwyliedydd	ɡʊi̯ljɛdɪð
moch coed	moːχkoːd
sidan	sɪdan
canent	kanɛnt
da	daː
gweinidog	ɡwei̯nɪdɔɡ
garejys	ɡarɛd͡ʒɪz
at	at
pethau	pɛθai̯
chanes	χanɛs
naid	nai̯d
ceirios	kei̯rjɔs
credaf	krɛda
condemnio	kɔndɛmnjɔ
hedfan	hɛdvan
gymaint	ɡəmɛnt
esgidiau	sɡɪtʃɛ
llusen	ɬɪsɛn
geiriadurwr	ɡei̯rjadɪrʊr
alarch	aːlarχ
moliannau	mɔljanai̯
achubwr	aχiːbʊr
rhuthraf	r̥ɪθra
dosbarthiadau	dɔsbarθjadai̯
wyth ar hugain	ʊi̯θarhiːɡɛn
buddsoddi	bɪðsɔði
grilio	ɡrɪlɔ
blin	bliːn
basen	basɛn
cynnau	kɪnɛ
llungopïwyr	ɬiːŋɡɔpiːwɪr
birmingham	bərmɪŋham
cydweithredwyr	kiːdwei̯θrɛdwɪr
allan	aɬan
ddôn	ðoːn
pysgodyn	pəsɡɔdɪn
rhywsut	r̥ɪu̯sɪt
pechod	peːχɔd
ffili	fiːli
agor	aːɡɔr
adwaenent	adwei̯nɛnt
afonfeirch	avɔnvei̯rχ
mamau	mamai̯
elsech	ɛlsɛχ
esgidiau	sɡɪdjɛ
pumdegau	pɪmdeːɡɛ
dosbarthiadau	dɔsbarθjadɛ
mhengwin	m̥ɛŋɡwɪn
camu	kami
gorchaw	ɡɔrχau̯
thyn	θɪn
goddef	ɡɔðɛ
cymal	kəmal
gachen	ɡaχɛn
tegan anwes	teːɡananwɛs
tiroedd	tiːrɔi̯ð
cymhlethdodau	kəmhlɛθdoːdai̯
argrafiadau	arɡrafjadai̯
allai	aɬɛ
dyrysni	dərəsni
anafais	anavai̯s
chwedl	χwɛdl
cyllell	kɪɬɛθ
llysiau	ɬɪʃɛ
delit	deːlɪt
treiddio	treiðjɔ
prys	priːs
huno	hɪnɔ
conwydden	kɔnwəðɛn
nghadair	ŋ̊adai̯r
achwyniadau	aχʊi̯njadɛ
chacha	χaːχa
cyfaredd	kəvarɛð
daearfoch	dei̯arvɔχ
contractau	kɔntraktɛ
llusgo	ɬɪsɡɔ
gwasanaethau	ɡwasanei̯θɛ
gwaedu	ɡwei̯di
chwyddo	χwɪðɔ
pigau	piːɡɛ
dail	dai̯l
lleol	ɬeːɔl
fas	vaːs
corfflunio	kɔrflɪnjɔ
poeni	pɔi̯ni
stori	sdɔri
nghloch	ŋ̊loːχ
gweinyddwr	ɡwei̯nəðʊr
peiriant	pei̯rjant
angyles	aŋəlɛs
helbulon	hɛlbɪlɔn
fwyaf	vʊi̯a
achyddol	aχəðɔl
chyfiawnder	χəvjau̯ndɛr
neiliad	nei̯ljad
dyfarniad	dəvarnjad
cacwn meirch	kakʊmmei̯rχ
ngyrru	ŋəri
swyddogaeth	sʊi̯ðoːɡɛθ
treigladau	treiɡladai̯
economegydd	ɛkɔnɔmeːɡɪð
arholiadau	arhɔljaːdɛ
elfen	ɛlvɛn
stopio	sdɔpjɔ
chynnwrf	χənʊrv
nwy	nʊi̯
habadau	habaːdai̯
caru	kari
rheoli	r̥ɛɔli
gellir	ɡɛɬir
iwrch	jʊrχ
hynt san ialm	hɪntsanjalm
ar agor	araɡɔr
chwisgi	wɪsɡi
ffrygydau	frəɡədɛ
cyfrifoldebau	kəvrɪvɔldɛbai̯
peiriannau arian parod	pei̯rjanɛarjanparɔd
arch	arχ
daliadaethau	daljadei̯θɛ
talwn	taːlʊn
gwahanu	ɡwahaːni
oedd	oːð
acer	akɛr
diwrnod	dʊrnɔd
peiriant arian parod	pei̯rjantarjampaːrɔd
habwyd	haːbʊi̯d
nharianau	n̥arjaːnai̯
credu	kreːdi
ngweddi	ŋweːði
nghegin	ŋ̊eːɡɪn
band llydan	bandɬədan
diffodd	dɪfɔð
dydd sadwrn	diːðsaːdʊrn
merlod	mɛrlɔd
llygota	ɬəɡɔta
pasiaf	pasja
armenia	armɛnja
i'r dim	iːrdɪm
bethau	beːθɛ
cenhinen sifi	kɛnhɪnɛnsɪvi
un ar hugain	iːnarhiːɡai̯n
talai	talɛ
ngolau	ŋoːlai̯
sef	seːv
unset	ɪnsɛt
asgwrn	asɡʊrn
gwawn	ɡwau̯n
caer gwydion	kai̯rɡwədjɔn
band eang	bandeːaŋ
ymgecru	əmɡɛkri
taw	ta
cain	kai̯n
dathlu	daθli
eleni	lɛni
brawychiadau	brau̯əχjadai̯
wyth ar hugain	ʊi̯θarhɪɡɛn
mwyar	mʊi̯ar
nhew	n̥ɛu̯
heddwch	hɛðʊχ
pan	pan
ymddwyn	əmðʊi̯n
porfa	pɔrva
cristnogion	krɪsdnɔɡjɔn
ryseitiau	rəsei̯tjai̯
dyfnion	dəvnjɔn
tonau	tɔnai̯
cam	kam
ladin	ladɪn
melon	mɛlɔn
bwydydd	bʊi̯dɪð
rhanbarthau	r̥anbarθai̯
peiriant arian parod	pei̯rjantarjamparɔd
dyn	diːn
chusanau	χɪsanɛ
anghydradd	aŋhədrað
croesgad	krɔi̯sɡad
oer	ɔi̯r
blynyddoedd	blənəðɔi̯ð
caerffili	kai̯rfɪli
wy	ʊi̯
daliadau	daljadai̯
trueni	trɛni
blynyddoedd golau	blənəðɔi̯ðɡoːlai̯
cyrsiau	kərsjai̯
gwddf	ɡuːðʊv
talais	talai̯s
gwladgarwr	ɡwladɡaːrʊr
ysgrifen	əsɡrɪvɛn
berfenw	bɛrvɛnu
ngwys	ŋwiːs
anoddach	anɔðaχ
ffordd wen	əfɔrðwɛn
edau	eːdai̯
wddf	ʊðuv
lysenw	liːsɛnu
eraill	ɛrɪɬ
afonfarch	avɔnvarχ
chwerwddwr	χwɛrwðʊr
nos	noːs
nyddu	nəði
hannwyd	hanʊi̯d
fyfyriwr	vəvərjʊr
mochyn	mɔχɪn
fwlgaria	vʊlɡarja
llyfrau	ɬəvrɛ
talais	taːlai̯s
caron	kaːrɔn
sawsiau	sau̯ʃai̯
lygaid	ləɡai̯d
chyrraedd	χərai̯ð
dylu	dəli
angharad	aŋhaːrad
oed	ɔi̯d
llungopïau	ɬiːŋɡɔpiːai̯
agorai	aɡoːrai̯
cyfryngau	kəvrəŋai̯
genedigaeth	ɡɛnɛdiːɡai̯θ
rhestrau	r̥ɛsdrɛ
nghanlyniad	ŋ̊anlənjad
mwyara	mʊi̯ara
caeaf	kei̯a
iorwg	joːrʊɡ
nghadair	ŋ̊aːdai̯r
dau ar hugain	dai̯arhiːɡai̯n
creisionllyd	krei̯ʃɔnɬɪd
hoyw	hɔi̯u
nos sadwrn	noːssaːdʊrn
athrawesau	aθrau̯ɛsai̯
canant	kaːnant
helaeth	hɛlɛθ
magnel	maɡnɛl
sosys	soːsɪz
dest	dɛsd
tyle	təlɛ
dechrau	dɛχrai̯
cani	kani
caron	karɔn
dylai	dəlai̯
tenantiaethau	tɛnantjei̯θɛ
chwiorydd	χwioːrɪð
neidio	nei̯dɔ
llochesau	ɬɔχɛsai̯
doem	dɔi̯m
her	hɛr
alli	aɬi
neuaddau	nei̯aːðai̯
blog	blɔɡ
stŵr	sduːr
torrent	tɔrɛnt
cnawdol	knau̯dɔl
leihau	lei̯hai̯
gwenithfaen	ɡwɛnɪθvai̯n
aradr	aradr
santesau	santɛsai̯
clodydd	kloːdɪð
rhodia	r̥ɔdja
gefnfor	ɡeːvɛnvɔr
brawychwyr	brau̯əχwɪr
gana	ɡana
gweryd	ɡweːrɪd
gwyrdd	ɡwɪrð
cenhinen sifi	kɛnhɪnɛnsiːvi
telyn	tɛlɪn
dynes	dənɛs
ffrwchnedden	frʊχnɛðɛn
blinedig	blɪnɛdɪɡ
agoret	aɡoːrɛt
planhigyn	planhɪɡɪn
canon	kaːnɔn
deledu	dɛlɛdi
hystafell	həsdaːvɛɬ
nghusanau	ŋ̊ɪsaːnɛ
elw	ɛlu
heini	hei̯ni
arholiadau	arɔljadɛ
llyfrgellydd	ɬəvrɡɛɬɪð
ysgrifen	sɡrɪvɛn
eogiaid	ɛɔɡjɛd
cynhesu	kənhɛsi
siafio	ʃavɔ
cacen fach	kakɛmbaːχ
prifddinas	prɪvðiːnas
calon	kaːlɔn
adeiladol	adei̯ladɔl
edau	ɛdai̯
sgrechian	sɡrɛχan
abadaeth	abaːdai̯θ
amwythig	amʊi̯θɪɡ
technoleg gwybodaeth	tɛχnɔlɛɡɡwəbɔdai̯θ
parth rhynglanw	parθr̥əŋlaːnu
cymer	kəmɛr
delet	deːlɛt
gwrthwynebiad	ɡʊrθwɪnɛbjad
ffenestr	feːnɛsdr
gwêl	ɡweːl
gwlychu	ɡləχi
deli	dɛli
awchus	au̯χɪs
darlithydd	darliːθɪð
naw	nau̯
flog	vlɔɡ
chae	χai̯
parod	parɔd
mygydau	məɡədai̯
nghant	ŋ̊ant
pentyrru	pɛntəri
cilddant	kɪlðant
bancio	baŋkjɔ
iti	ɪti
ehangach	ɛhaŋaχ
unet	ɪnɛt
dyrysfa	dərəsva
senedd	sɛnɛð
cadwch	kadʊχ
gweinyddiaeth	ɡwei̯nəðjɛθ
na	naː
trengholiadau	trɛŋhɔljaːdai̯
awd	au̯d
ngwddwg	ŋʊðʊɡ
clefyd	klɛvɪd
fore	voːrɛ
cyfansymiau	kəvansəmjɛ
rydych	rədɪχ
adref	adrɛ
ioan	jɔan
gweinyddiaethau	ɡwei̯nəðjei̯θai̯
hachos	haːχɔs
rysáit	rəsai̯t
athrefi	aθrɛvi
unan	iːnan
ngwybodaeth	ŋwəbɔdai̯θ
wyau	ʊi̯ɛ
mesa	meːsa
cwyr	kʊi̯r
cachen	kaːχɛn
atsain	atsai̯n
cynnau	kənɛ
gwybodaeth	ɡwəboːdai̯θ
yn barod	əmbaːrɔd
adardai	adardai̯
aberhonddu	abɛrhɔnði
phabell	fabɛɬ
cyfrifoldeb	kəvrɪvɔldɛb
nadolig	dɔlɪɡ
eirinen	ei̯riːnɛn
thewed	θɛu̯ɛd
deuparth	dei̯parθ
gyll	ɡɪɬ
mlynyddoedd	mlənəðɔi̯ð
ysglodyn	əsɡloːdɪn
cyrsiau	kərʃai̯
mafon	mavɔn
clywedog	kləu̯ɛdɔɡ
catholigiaeth	kaθɔlɪɡjɛθ
cafiâr	kavjaːr
calan	kaːlan
torret	tɔrɛt
ffon gof	fɔŋɡoːv
eto	ɛtɔ
chly	χliː
cyfamser	kəvamsɛr
eisiau	ei̯ʃai̯
gwrthryfela	ɡʊrθrəvɛla
methan	mɛθan
unen	iːnɛn
cydweithrediadau	kiːdwei̯θrɛdjaːdai̯
morwyn	moːrʊi̯n
ferfenw	vɛrveːnu
cwstard	kʊsdard
ffigys	fiːɡɪs
chara	χara
erw	eːru
bwced	bʊkɛd
ganit	ɡaːnɪt
chaffer	χafɛr
gachai	ɡaχai̯
braich	brai̯χ
ffrwgwd	frʊɡʊd
iddewesau	ɪðɛu̯ɛsai̯
prif	priːv
nheirw	n̥ei̯ru
epidemigau	ɛpɪdɛmiːɡai̯
closet	klɔsɛt
gell	ɡɛɬ
golygfa	ɡɔləɡva
adael	aːdai̯l
nage	naɡɛ
neiliaid	nei̯ljɛd
yn sgil	ənsɡiːl
ngadael	ŋadai̯l
caer arianrhod	kai̯rarjanr̥ɔd
nos lun	nɔsliːn
gwaelod	ɡwei̯lɔd
ffurfio	fɪrvjɔ
u	iːbɛdɔl
tato	tatɔ
cynnwys	kənʊi̯s
hwngari	hʊŋɡari
breifat	brei̯vat
ioan	joːan
adegau	adeːɡɛ
dywedodd	dəu̯ɛdɔð
tôn	toːn
cofiais	kɔvjai̯s
pei	pei̯
degau	deːɡai̯
rhywbeth	r̥ɪu̯bɛθ
gadael	ɡaːdai̯l
achwyniadau	aχʊi̯njaːdɛ
gwyn	ɡwɪn
rhwystro	r̥ʊi̯sdrɔ
pìn	pɪn
gwledig	ɡwlɛdɪɡ
gwâr	ɡwaːr
elciaid	ɛlkjɛd
mynediad	mənɛdjad
dagrau	daɡrɛ
rhif	r̥iːv
pwll	puːɬ
wystl	ʊi̯sdl
chwythaf	hʊθa
gweinyddwyr	ɡwei̯nəðwɪr
trigain	triːɡɛn
adenedigaethau	adɛnɛdɪɡei̯θai̯
ehangder	ɛhaŋdɛr
dewis	dɛu̯is
elet	eːlɛt
pres	prɛs
lin	liːn
wahanol	wahanɔl
olddodiad	oːlðɔdjad
brechdan	brɛχdan
plethwaith	plɛθwai̯θ
ganen	ɡanɛn
dynfeirch	dənvei̯rχ
nos wener	noːswɛnɛr
tad	taːd
fair	vai̯r
ddwylo	ðiːlɔ
pryf cop	priːvkɔp
phethau	fɛθɛ
dial	diːal
dalet	daːlɛt
symbol	sɪmbɔl
gacen	ɡakɛn
lun	liːn
gwylog	ɡʊi̯lɔɡ
cythreuliaid	kəθrei̯ljɛd
siaced	ʃakɛd
oleuadau	ɔliaːdɛ
sesh	sɛʃ
gefell	ɡɛvɛɬ
habatiroedd	habatiːrɔi̯ð
habad	habad
y gofid mawr	əɡɔvɪdmau̯r
posteri	pɔsdeːri
ceredigion	kɛrɛdɪɡjɔn
gweithwyr	ɡwei̯θwɪr
geifr	ɡei̯vɪr
dalom	daːlɔm
gwâl	ɡwaːl
pres	preːs
sianis	ʃaniz
llysiau	ɬəsjai̯
erbyn hyn	ɛrbɪnhɪn
regi	reːɡi
brydain	brədai̯n
dywedodd	dəu̯eːdɔð
adfydau	advədai̯
hwyad	hʊi̯ad
anghyflogaeth	aŋhəvloːɡai̯θ
daled	daːlɛd
lysenw	liːseːnu
nhroed	n̥roːd
datws	datʊs
petryalau	pɛtrialai̯
hyrwyddo	hərʊi̯ðɔ
masgau	masɡɛ
sychnant	səχnant
erbyn hyn	ɛrbɪnɪn
ebrill	ɛbrɪɬ
canais	kaːnai̯s
teipiadur	tei̯pjaːdɪr
oedi	ɔi̯di
ddigwydd	ðɪɡwɪð
rhiniart	r̥ɪnjart
beis	beiz
stafell	sdavɛɬ
aderyn y bwn	adɛrɪnəbʊn
geiriadurwyr	ɡei̯rjadɪrwɪr
esgidiau	ɛsɡɪdjai̯
tales	talɛs
gwrthwynebwyr	ɡʊrθwɪnɛbwɪr
brawychiad	brau̯əχjad
castanwydden	kasdanwiːðɛn
deildai	dei̯ldai̯
gwarchod	ɡwarχɔd
cneuen	knei̯ɛn
ffrwchnedd	frʊχnɛð
ddiod	ðiːɔd
thorrid	θɔrɪd
llaered	ɬei̯rɛd
cefnfor	keːvɛnvɔr
nghaws	ŋ̊au̯s
adeiladu	adei̯ladi
tharian	θarjan
olygu	ɔləɡi
carw	kaːru
bûm	biːm
lys	liːs
habadau	habadai̯
thala	θaːla
arwydd	arʊi̯ð
gini	ɡɪni
ysgol	əsɡɔl
plethedig	plɛθeːdɪɡ
fil	viːl
bongorff	bɔŋɡɔrf
gymru	ɡəmri
wddf	uːðuv
wele	wɛlɛ
gwregys llaethol	əɡwreːɡɪsɬei̯θɔl
nolis	nɔliz
cachu	kaːχi
rhedeg	r̥ɛdɛɡ
eisoes	ei̯sɔi̯s
chantor	χantɔr
babi	babi
dafad	davad
peiriannau arian parod	pei̯rjanai̯arjanparɔd
adferiadydd	advɛrjaːdɪð
deulo	diːlɔ
dros	drɔs
gweddïwr	ɡwɛðiʊr
strach	sdraːχ
dolen	dɔlɛn
arolwg	arɔlʊɡ
cylchgrawn	kɪlχɡrau̯n
crychau	krəχai̯
llysieuyn	ɬəʃei̯ɪn
anadlu	anadli
acen	akɛn
euog	ei̯ɔɡ
gaffer	ɡafɛr
'ma	mə
thaler	θaːlɛr
mws	muːs
mynachod	mənaχɔd
lleiandai	ɬei̯andai̯
iäaidd	jaːai̯ð
bore	boːrɛ
claddu	klaːði
gorau	ɡoːrai̯
afon	avɔn
allwedd	aɬwɛθ
un ar hugain	iːnarhɪɡai̯n
seddi	sɛði
egyr	ɛɡɪr
söolegydd	sɔɔlɛɡɪð
fel	vɛl
ymwneud	əmwnei̯d
w	w
twitter	twɪtər
godi	ɡɔdi
carwr	karʊr
gafrewig	ɡavrɛwɪɡ
seshys	sɛʃɪz
nos iau	nɔsjɔi̯
eisiau	ei̯sjai̯
arolygiaeth	arɔləɡjai̯θ
haberdâr	habɛrdaːr
ngolau	ŋɔlai̯
canmoladwy	kanmɔlaːdʊi̯
dyfeiswragedd	dəvei̯swraːɡɛð
credi	kreːdi
achlesu	aχlɛsi
pont	pɔnt
penelin	pɛnɛlɪn
adfywiad	advɪu̯jad
prydael	prədai̯l
gwalch y penwaig	ɡwalχəpɛnwai̯ɡ
gnau ffrengig	ɡnai̯frɛŋɪɡ
rhewi'n gorn	r̥ɛu̯iŋɡɔrn
acti	akti
teyrnaddoliant	tei̯rnaðɔljant
elwyf	eːlʊi̯v
gredo	ɡrɛdɔ
llygaid	ɬəɡai̯d
cyflogwr	kəvloːɡʊr
cymysglyd	kəməsɡlɪd
cymedroli	kəmɛdrɔli
mynychu	mənəχi
ngwario	ŋwarjɔ
thrennydd	θrɛnɪð
lleianaeth	ɬei̯aːnɛθ
cloriau	klɔrjɛ
piws	pɪu̯s
torres	tɔrɛs
hoffen	hɔfɛn
neb	neːb
pafin	paːvɪn
adferaf	adveːra
gwenynen	ɡwenənɛn
tŷ bach	tiːbaːχ
asesiadau	asɛʃadɛ
telid	tɛlɪd
dosbarthiadau	dɔsbarθjaːdai̯
ardderchog	arðɛrχɔɡ
gwaeth	ɡwai̯θ
nerthoedd	nɛrθɔi̯ð
mwyeilch	mui̯ei̯lχ
cytrefi	kətreːvi
chwefror	ʍɛvrɔr
thaliadau	θaljaːdai̯
corfflu	kɔrfli
cwrw	kuːru
bwgan	bʊɡan
canmolwyr	kanmɔlwɪr
nghawl	ŋ̊au̯l
gylfinau	ɡəlviːnai̯
elem	eːlɛm
treigladau	treiɡladaɛ
pedwar ar hugain	pɛdwararhiːɡɛn
deler	deːlɛr
brech	breːχ
help	hɛlp
aberdaugleddau	abɛrdai̯ɡlɛðɛ
teisen gri	tei̯sɛŋɡriː
geisio	ɡei̯sjɔ
archeb	arχɛb
sesiwn	sɛʃʊn
synnu	səni
cromfach	krɔmvaχ
adferiadyddion	advɛrjadəðjɔn
gobeithio	ɡɔbei̯θjɔ
ngwystl	ŋwɪsdɪl
elem	ɛlɛm
masgiau	masɡjɛ
adennill	adɛnɪɬ
bedr	bɛdr
adenydd	adeːnɪð
nghefn	ŋ̊ɛvn
tery	tɛri
erchyll	ɛrχɪɬ
iro	ɪrɔ
cywir	kəu̯ɪr
afon	aːvɔn
iechyd da	jeːχɪddaː
dawnsio	dau̯nsjɔ
cerdd dant	kɛrðdant
men siarlys	mɛnʃarlɪs
eraill	eːrai̯ɬ
biau	biːai̯
nyth	niːθ
pery	pɛri
urddau	ɪrðai̯
enw	ɛnu
hatyr	hatɪr
jaciau	dʒakjɛ
ciciau adlam	kikjai̯adlam
cudyn	kɪdɪn
albaneg	albanɛɡ
frith	vriːθ
ymennydd	əmɛnɪð
ceri	keːri
gwe	ɡweː
gweler	ɡweːlɛr
darparu	darpaːri
weled	wɛlɛd
peint	pei̯nt
ngwrando	ŋrɪndɔ
rhydau	r̥ədɛ
grwth	ɡruːθ
gaffai	ɡafai̯
cŵn	kuːn
pheidio	feidjɔ
phobl	fɔbɔl
canolaf	kanoːlav
llinell	ɬɪnɛɬ
sosys	sɔsɪz
canol	keːnɔl
agoraf	aɡɔrav
melys	meːlɪs
glaned	ɡlanɛd
iddi	ɪði
adfyw	advɪu̯
gwneud	ɡwnei̯d
ymlaen	mlaːn
alltud	aɬdɪd
carbon	karbɔn
amaethyddiaeth	amei̯θəðjai̯θ
mae	mai̯
jam	d͡ʒam
ffenestr	fɛnɛsdr
mabwysiadu	mabʊi̯sjadi
nodwydd	nɔdwɪð
phigwrn	fiːɡʊrn
derwydd	dɛrwɪð
dalet	dalɛt
puteindy	pɪtei̯ndi
cysylltair	kəsəɬdai̯r
cydweithredwr	kiːdwei̯θrɛdʊr
gefnau	ɡɛvnai̯
canoli	kanɔli
meddyg	meːðɪɡ
merch	mɛrχ
hunan	hɪnan
terfysgoedd	tɛrvəsɡɔi̯ð
peiriannau arian parod	pei̯rjanɛarjanpaːrɔd
pengwiniaid	pɛŋɡwɪnjɛd
blogiwr	blɔɡjʊr
gusanau	ɡɪsaːnɛ
malwod	malwɔd
gweinyddesau	ɡwei̯nəðɛsai̯
i lawr	ɪlau̯r
casáu	kasai̯
neiliaid	nei̯ljai̯d
llythrennog	ɬəθrɛnɔɡ
codau	kɔdai̯
cyn‌gyd	kəŋɡɪd
cynhennu	kənhɛni
hynt	hɪnt
elsid	ɛlsɪd
caerdydd	kai̯rdiːð
lliwydd	ɬɪu̯ɪð
cachais	kaχɛs
thîm	θiːm
wybodaeth	ʊi̯bɔdɛθ
geiriadur	ɡei̯rjadɪr
poptai	pɔptai̯
ar hyn o bryd	arhɪnɔbriːd
flynyddoedd	vlənəðɔð
phengwiniaid	fɛŋɡwɪnjai̯d
deri	dɛri
gwrthryfela	ɡʊrθrəveːla
rhydd	r̥iːð
porffor	pɔrfɔr
peintwyr	pei̯ntwɪr
gwau	ɡwai̯
drysleoedd	drəsleːɔi̯ð
hanner	hanɛr
aberystwyth	abɛrəstʊi̯θ
chwaer	wai̯r
wenoliaid	wɛnɔljai̯d
tun te	tɪnteː
putain	pɪtɛn
syniad	sənjad
dest	deːsd
cyfrin	kəvrɪn
adre	adrɛ
arholiad	arhɔljad
blynyddoedd golau	blənəðɔi̯ðɡoːlɛ
gweddïwr	ɡwɛðiːʊr
llawen	ɬau̯ɛn
traeth	traːθ
cecrus	kɛkrɪs
chloan	χlɔan
lestr	lɛstɛr
âi	aːi̯
olwg	oːlʊɡ
gwenyn gwyllt	ɡwɛnɪŋɡwɪɬd
rhynion	r̥ənjɔn
angladd	aŋlað
chwerw	χwɛru
rhyngrwyd pethau	r̥əŋrʊi̯dpɛθɛ
adenedigaeth	adɛnɛdiːɡɛθ
gwrthwynebiadau	ɡʊrθwɪnɛbjadɛ
cnewyllyn	knɛu̯əɬɪn
achwynwyr	aχʊi̯nwɪr
hwyaid	hʊi̯ai̯d
ger	ɡɛr
pabyddion	pabəðjɔn
cyfweliad	kəvwɛljad
oes	oːs
cwar	kwar
adawed	adau̯ɛd
ymddangos	əmðaŋɡɔs
seithongl	sei̯θɔŋl
cyfareddol	kəvareːðɔl
aceniad	akɛnjad
ngheffyl	ŋ̊ɛfɪl
eni	ɛni
chnwd	χnuːd
rhyw	r̥ɪu̯
chares	χarɛs
lygaid	ləɡɛd
cyfrifydd	kəvriːvɪð
doli	dɔli
sgandinafia	sɡandɪnavja
dy	də
credet	krɛdɛt
cyfamodi	kəvamoːdi
adara	adaːra
llefarydd	ɬɛvarɪð
gweithgaredd	ɡwei̯θɡaːrɛð
creisionen	krei̯ʃɔnɛn
angylion	aŋəljɔn
dawns	dau̯ns
swshi	sʊʃi
adar y bwn	aːdarəbʊn
cyflafaredd	kəvlavarɛð
ymlaen llaw	əmlai̯nɬau̯
cystal	kəsdal
tu ôl i	tjoːli
gweinyddiadau	ɡwei̯nəðjadai̯
protestannaidd	prɔtɛsdanai̯ð
cwyn	kʊi̯n
hwngari	hʊŋɡri
traethodau	trei̯θoːdɛ
phont	fɔnt
aelwyd	ei̯lʊi̯d
adar y bwn	adarəbʊn
prydain	prədɛn
cachais	kaχai̯s
siomedig	ʃɔmɛdɪɡ
gwybod	ɡuːbɔ
mwyaren	mʊi̯aːrɛn
ystad	əsdad
system	sɪsdɛm
benthyg	bɛnθɪɡ
abadesau	abadɛsai̯
thywyll	θəu̯ɪɬ
beirniadol	bei̯rnjadɔl
ngwanwyn	ŋwanwɪn
hardal	hardal
pabell	pabɛɬ
iwd	ɪu̯d
clou	klɔi̯
crynwyr	krənwɪr
telynorion	tɛlənɔrjɔn
byddarol	bəðaːrɔl
thewi	θɛu̯i
pobol	pɔbɔl
heno	heːnɔ
toddyf	tɔðɪv
les	leːs
talen	talɛn
nghael	ŋ̊aːl
dali	daːli
siani	ʃani
cydweithwyr	kiːdwei̯θwɪr
gorasgellu	ɡɔrasɡɛɬi
caf	kaːv
cyfenw	kəvɛnu
gorfod	ɡɔfɔd
doedd	doːð
technoleg gwybodaeth	tɛχnoːlɛɡɡwɪboːdɛθ
èth	ɛθ
rhaff	r̥aːf
bwrdd	bʊrð
llysiau	ɬəʃai̯
rheiddiau	r̥ei̯ðjai̯
pell	peːɬ
munudau	mɪnɪdɛ
mewn	mɪu̯n
dydd sul	dɪðsiːl
phedwar	fɛdwar
ystlum	əsdlɪm
afanen	avaːnɛn
gorllewin	ɡɔrɬɛu̯ɪn
drefydd	drɛvɪð
nghyngor	ŋ̊əŋɔr
canhwyllbren	kanhʊi̯ɬbrɛn
leidr	lei̯dr
eirin	ei̯rɪn
ynysoedd dedwydd	ənəsɔi̯ðdɛdwɪð
tudalen	tɪdalɛn
caren	karɛn
gach	ɡaːχ
picen fach	pɪkɛnvaːχ
aden	adɛn
crech	kreːχ
ymuno	əmɪnɔ
physgod	fəsɡɔd
faint	vai̯nt
utganaf	ɪtɡanav
deugain	dei̯ɡai̯n
dyrrau	dərai̯
cyfrol	kəvrɔl
creisionen	krei̯ʃoːnɛn
sero	zeːrɔ
trueni	treːni
swydd	sʊi̯ð
anogaf	anoːɡav
trist	trɪst
darianau	darjanai̯
hiliaeth	hɪljɛθ
anableddau	anablɛðai̯
ugain	iːɡɛn
chystadlu	χəsdadli
eisoes	ei̯ʃɔs
buddug	bɪðɪɡ
papaia	papai̯a
canmol	kanmɔl
meddiannau	mɛðjanai̯
nglanaf	ŋlaːnav
anifail	anɪvɛl
nghlustdlws	ŋ̊lɪsdlʊs
hunanladdwr	hɪnanɬaðʊr
priod	priɔd
gyda hyn	ɡɪdahɪn
thegan	θeːɡan
cyfryngwr	kəvrəŋʊr
nhywyll	n̥əu̯ɪɬ
afreolaidd	avrɛɔlai̯ð
saith ar hugain	sai̯θarhɪɡai̯n
unfed ar ddeg	ɪnvɛdarðeːɡ
nghais	ŋ̊ai̯s
galan	ɡaːlan
gweinyddesau	ɡwei̯nəðɛsɛ
cyfartalog	kəvartaːlɔɡ
muwch	mɪu̯χ
pedwaredd	pɛdwaːrɛð
telid	teːlɪd
chwarae	waːrɛ
dynion	dənjɔn
adfail	advai̯l
cheisio	χei̯sjɔ
pured	pɪrɛd
ieithyddiaeth	jei̯θəðjɛθ
nadolig	nadoːlɪɡ
delir	dɛlɪt
grwpiau	ɡrʊpjɛ
chweched	χweːχɛd
tua thref	tiːaθreːv
ogwr	ɔɡʊr
briallen	briaɬɛn
cactws	kaktʊs
hedd	heːð
drych	driːχ
selerau	sɛleːrai̯
bara	baːra
gwestai	ɡwɛsdai̯
galanas	ɡalaːnas
rhyfedd	r̥əvɛð
prifion	prɪvjɔn
chnau ffrengig	χnai̯frɛŋɪɡ
bastai	basdai̯
gachai	ɡaχɛ
llywio	ɬɪu̯jɔ
thalo	θalɔ
heisteddfod	hei̯sdɛðvɔd
gwybod	ɡwɪbɔd
cynhaeaf	kənhei̯av
ffoniwch	fɔnjʊχ
rhywun	r̥ɪu̯ɪn
thaliadau	θaljadai̯
sylwebu	səlwɛbi
telynores	tɛlənɔrɛs
darw	daːru
adenedigaeth	adɛnɛdiːɡai̯θ
cewri	kɛu̯ri
wlad belg	wlaːdbɛlɡ
deiliaid	dei̯ljɛd
