aktsom	ˈɑktsɔm
tyv	tyːʋ
blemme	blɛmə
søndag	ˈsœndɑːg
øremerke	ˈøːɾəmæɾkə
makeløs	ˈmɑːkəløːs
dryppe	ˈdɾʏpə
tannhjul	ˈtɑnjʉːl
ferie	ˈfeːɾɪjə
se på	ˈseːpɔ
skravle	ˈskɾɑʋlə
usakligst	ʉˈsɑːklɪkst
hjemland	ˈjɛmlɑn
fettere	ˈfɛtəɾə
ljome	ˈjuːmə
eu-borger	ɛʉbɔɾgəɾ
uavlateligste	ʉːɑːʋˈlɑːtəlɪkstə
utydelige	ʉˈtyːdəlɪə
midlertidige	ˈmɪdləʈiːdɪə
sile	ˈsiːlə
vansmekte	ˈʋɑːnsmɛktə
uforklarligste	ʉːfɔɾˈklɑːɭɪkstə
vaskemiddel	ʋɑskəmɪdəl
driftigste	ˈdɾɪftɪkstə
arkeologi	ɑɾkɛʊlʊˈgiː
skjelmsk	ʂɛlmskt
smatte	ˈsmɑtə
vanvittigste	ʋɑnˈʋɪtɪkstə
utløpe	ˈʉːtløːpə
plakat	plɑˈkɑːt
porsjon	pʊˈʂuːn
geistligste	ˈgæɪstlɪkstə
krage	ˈkɾɑːgə
ti	tiː
godlynt	ˈguːlʏnt
arveligste	ˈɑɾʋəlɪkstə
tykne	ˈtʏknə
proff	pɾʊf
banke	ˈbɑŋkə
rulle	ˈɾʉlə
umedgjørligere	ʉːmeːdˈjøːɭɪɾə
nærhet	ˈnæːɾheːt
avgrense	ˈɑːʋgɾɛnsə
troverdigst	tɾʊˈʋæɖɪkst
sær	sæːɾ
krystall	kɾʏsˈtɑl
rage	ˈɾɑːgə
drønne	ˈdɾœnə
uhyggelig	ʉˈhʏgəlɪ
håndhilse	ˈhɔnhɪlsə
makeligst	ˈmɑːkəlɪkst
kvitt	kʋɪt
sprøyte	ˈspɾœjtə
mandigste	ˈmɑnɪkstə
fornærme	fɔˈɳæɾmə
uregelmessigere	ˈʉːɾeːgəlmɛsɪɾə
modell	mʊˈdɛl
triviell	tɾɪʋɪˈjɛl
love	ˈloːʋə
ufravikelige	ʉːfɾɑˈʋiːkəlɪə
støvel	ˈstæʋl̩,ˈstœʋəl
vikariere	ʋɪkɑɾɪˈeːɾə
teatralsk	tɛɑˈtɾɑːlsk
strekker	ˈstɾɛkəɾ
nydeligste	ˈnyːdəlɪkstə
empirisk	ɛmˈpiːɾɪsk
fredsommeligere	fɾeːdˈsɔməlɪɾə
hogge	ˈhɔgə
variere	ʋɑɾɪˈeːɾə
skiløper	ˈʂiːløːpəɾ
uboteligst	ʉˈbuːtəlɪkst
attestere	ɑtəˈsteːɾə
nøyaktige	nœjˈɑktɪə
arkeolog	ɑɾkəʊˈloːg
rusk	ɾʉsk
signere	sɪŋˈneːɾə
femten	fɛmtən
portal	pʊˈʈɑːl
skjene	ˈʂeːnə
strak	stɾɑːk
ulasteligst	ʉˈlɑstəlɪkst
eldre	ˈɛldɾə
leie	ˈlæɪə
fremskritt	ˈfɾɛmskɾɪt
oss	ɔs
vise	ˈʋiːsə
direkte fly	dɪˈɾɛktəflyː
hjemløs	ˈjɛmløːs
respektabel	ɾɛspɛkˈtɑːbəl
nervepirrende	ˈnæɾʋəpɪɾənə
borgerligst	ˈbɔɾgəlɪkst
indirekte	ˈɪnɪɾɛktə
søvnigste	ˈsœʋnɪkstə
fabelaktig	ˈfɑːbəlɑktɪ
virvle	ˈʋɪɾʋlə
sytten	sœtənsʏtən
alarmerende	ɑlɑɾˈmeːɾənə
påpasseligere	pɔˈpɑsəlɪɾə
langtekkelige	ˈlɑŋtɛkəlɪə
valgfri	ˈʋɑlgfɾiː
kameratslig	kɑməˈɾɑːtʂɭɪ
ulastelige	ʉˈlɑstəlɪə
markert	mɑɾˈkeːʈ
egenrådig	ˈeːgənɾoːdɪ
ungmøy	ˈʊŋmœj
være mot	ɔʋæːɾəmuːt
psykisk	ˈpsʏkɪsk,ˈsʏkɪsk
trekanta	ˈtɾeːkɑntət
inngang	ˈɪngɑŋ
artige	ˈɑʈɪə
intim	ɪnˈtiːm
ideell	ɪdəˈɛl
kvalifisere	kʋɑlɪfɪˈseːɾə
modig	ˈmuːdɪ
uleilige	ʉˈlæɪlɪə
fordrive	fɔˈɖɾiːʋə
yr	yːɾ
marked	mɑɾkɛd
bedrøveligst	bəˈdɾøːʋəlɪkst
organisk	ɔɾˈgɑːnɪsk
terpe	ˈtæɾpə
brenne	ˈbɾɛnə
avsi	ˈɑːʋsiː
formel	ˈfɔɾməl
fasade	fɑsɑːdə
stifte	ˈstɪftə
pulver	ˈpʉlʋəɾ
jevngod	ˈjɛʋnguː
fornøyelsespark	fɔˈɳœjɛlsəspɑɾk
formidle	fɔɾˈmɪdlə
skammeligere	ˈskɑməlɪɾə
befinne seg	bɛˈfɪnəsæi
øvrigere	ˈøːʋɾɪɾə
feilaktige	fæɪlˈɑktɪə
tyskland	ˈtʏsklɑn
godtroende	ˈguːtɾuːənə
gjennomtrengende	ˈjɛnɔmtɾɛŋənə
forløpe	fɔˈɭøːpə
fase	ˈfɑːsə
drøm	dɾœm
fransk	fɾɑnsk
klapper	ˈklɑpəɾ
innflytelse	ɪnˈflyːtəlsə
kamfer	ˈkɑɱfəɾ
slurve	ˈʂɭʉɾʋə
domkirke	ˈdʊmçɪɾkə
kalk	kɑɽk,kɑlk
edrueligere	ɛˈdɾʉːəlɪɾə
atskilligste	ɑtˈʂɪlɪkstə
ledsager	leːdsɑːgəɾ
julestjerne	ˈjʉːləstjæːɳə
besørge	bəˈsœɾgə
gir	giːɾ
prostituere	pɾʊstɪtʉˈeːɾə
subsidiere	sʉbsɪdɪˈeːɾə
bekjenne	bəˈçɛnə
prege	ˈpɾeːgə
delta	ˈdɛltɑ
straks	stɾɑks
himmelfallen	ˈhɪməlfɑlən
brems	bɾɛms
selvstendigst	səlˈstɛnɪkst
kjøkken	ˈçœkn̩,ˈçœkən
umiskjenneligst	ʉmɪsˈçɛnəlɪkst
søppel	ˈsœpəl
miljø	mɪlˈjøː
sammenfatte	ˈsɑmənfɑtə
sindige	ˈsɪnɪə
tillegg	tɪlɛg
beregning	bəˈɾæɪnɪŋ
kremfløte	ˈkɾæmfløːtə
mas	mɑːs
skinke	ʂɪŋkə
broer	ˈbɾuːwəɾ,ˈbɾuːʊɾ
konto	ˈkɔntu
motvilligst	ˈmuːtʋɪlɪkst
iherdigere	ɪˈhæɖɪɾə
kurs	kʉːʂ
andektig	ɑnˈdɛktɪ
flytende	flyːtənə
trampe	ˈtɾɑmpə
faktisk	ˈfɑktɪsk
speilvende	ˈspæɪlʋɛnə
utvikling	ˈʉːtʋɪklɪŋ
tenke	ˈtɛŋkə
mannlige	ˈmɑnlɪə
rang	ɾɑŋ
redigere	ɾədɪˈgeːɾə
jorte	ˈjɔʈə
akkumulere	ɑkʉmʉˈleːɾə
vidunderligere	ʋɪdˈʉnəɭɪɾə
rødme	ˈɾœdmə
vrimle	ˈʋɾɪmlə
høveligst	ˈhøːʋəlɪkst
selg	sɛl
vittige	ˈʋɪtɪə
keitet	ˈçæɪtət
snakkesaligere	ˈsnɑkəsɑːlɪɾə
hjulbent	ˈjuːlbeːnt
ekstensiv	ˈɛkstənsiːʋ
sykeligst	ˈsyːkəlɪkst
slaganfall	ˈʂɭɑːgɑnfɑl
tore	ˈtuːɾə
klappe	ˈklɑpə
fotball	fuːtbɑl
mannen	mɑn
yndigste	ˈʏnɪkstə
stønne	ˈstœnə
uforglemmeligste	ʉfɔɾˈglɛməlɪkstə
bortføre	ˈbʊʈføːɾə
undervurdere	ˈʉnəɾʋʉɖeːɾə
spadd	spɑd
fortau	ˈfɔʈæʉ
påståeligste	pɔˈstoːəlɪkstə
irrelevant	ˈɪɾələʋɑnt
svime	ˈsʋiːmə
grimme	ˈgɾɪmə
kokett	kʊˈkɛt
hermetikk	həɾmɛˈtɪk
smekke	ˈsmɛkə
løk	løːk
tiltru	tɪltɾʉː
pliktige	ˈplɪktɪə
minneverdigst	ˈmɪnəʋæɖɪkst
udannet	ˈʉːdɑnət
sesjon	sɛˈʂuːn
eskadre	ɛˈskɑːdɾə
kapsel	ˈkɑpsəl
eventyrligste	ɛʋənˈtyːɭɪkstə
duk	dʉːk
storarta	ˈstuːɾɑːʈɑ
fordele	fɔˈɖeːlə
sutt	sʉt
frimodige	fɾiːˈmuːdɪə
synge	ˈsʏŋə
lee	ˈleːə
intens	ɪnˈtɛns
resonnere	ɾɛsʊˈneːɾə
frimerke	ˈfɾiːmæɾkə
begripe	bəˈgɾiːpə
tilfeldigst	tɪlˈfɛldɪkst
tidligst	ˈtiːlɪkst
bokstaveligst	bʊkˈstɑːʋəlɪkst
ustyrligere	ʉˈstyːɭɪɾə
brannmann	ˈbɾɑnmɑn
skitten	ˈʂɪtən
giro	ˈʂiːɾu
tilbørligst	tɪlˈbøːɭɪkst
nødvendigst	nœdˈʋɛnɪkst
appetittlig	ɑpəˈtɪtlɪ
skade	ˈskɑːdə
ingen steder	ɪŋənsteːdəɾ
bøtelegge	ˈbøːtəlæɪə
ramponere	ɾɑmpʊˈneːɾə
innynde	ˈɪnʏnə
smi	smiː
upraktisk	ˈʉːpɾɑktɪsk
beklager	bəˈklɑːgəɾ
innvende	ˈɪnʋɛnə
undervise	ˈʉnəɾʋiːsə
såpeopera	ˈsoːpəuːpəɾɑ
undertegne	ˈʉnəʈæɪnə
omstendighet	ɔmˈstɛnɪheːt
prate	ˈpɾɑːtə
tjuetre	çʉːəˈtɾeː
sidegate	siːdəgɑːtə
vekk	ʋɛk
samtidige	ˈsɑmtiːdɪə
måne	ˈmoːnə
grei	gɾæɪ
kunde	ˈkʉndə
romslige	ˈɾʊmʂɭɪə
dirigere	dɪɾɪˈgeːɾə
personligste	pæˈʂuːnlɪkstə
førti	ˈfœʈi
svangerskap	ˈsʋɑŋəʂkɑːp
ett	ɛt
sikori	ˈsiːkʊɾi
kristeligere	ˈkɾɪstəlɪɾə
gjerrige	ˈjæɾɪə
svulme	ˈsʋʉlmə
merkelig	ˈmæɾkəlɪ
rappe	ˈɾɑpə
benytte	bəˈnʏtə
saftig	ˈsɑftɪ
foto	ˈfuːtu
livserfaring	ˈlɪfsæfɑːɾɪŋ
slu	ʂɭʉː
sporte	ˈspɔʈə
fullbyrde	ˈfʉlbʏɖə
gi tilbake	jiːtɪlbɑːkə
nærliggende	ˈnæːɭɪgənə
ulydig	ʉˈlyːdɪ
fastland	ˈfɑstlɑn
kunsthåndverk	ˈkʉnsthɔnʋæɾk
krympe	ˈkɾʏmpə
urter	ʉʈəɾ
enda	ɛnɑ
leseligst	ˈleːsəlɪkst
vika	ˈʋiːkɑ
kor	kuːɾ
yndig	ˈʏnɪ
våkne	ˈʋoːknə
permanent	pæɾmɑˈnɛnt
upåvirkelig	ʉpɔˈʋɪɾkəlɪ
egoistisk	æɪʊˈɪstɪsk
debutere	dəbʉˈteːɾə
komme til krefter	kɔmətɪlkɾɛftəɾ
aker	ˈɑːkəɾ
utenriks	ˈʉːtənɾɪks
forurense	ˈfɔɾʉɾɛnsə
billedhogger	bɪlɛdhɔgəɾ
djerv	djæɾʋ
spisse	ˈspɪsə
uleiligst	ʉˈlæɪlɪkst
involvere	ɪnʋɔlˈʋeːɾə
flakse	ˈflɑksə
belønning	bɛˈlœnɪŋ
bu	bʉː
tidlig	ˈtiːlɪ
skue	ˈskʉːə
spist	spɪst
om	ɔm
uskyldigste	ʉˈʂʏldɪkstə
forestå	ˈfoːɾəstoː
utenlandsk	ˈʉːtənlɑnsk
pile	ˈpiːlə
syde	ˈsyːdə
våt	ʋoːt
identifisere	ɪdəntɪfɪˈseːɾə
kritikkverdig	kɾɪˈtɪkʋæɖɪ
telegrafisk overføring	tɛlɛˈgɾɑːfɪskˈoːʋəɾføːɾɪŋ
forbigå	fɔɾˈbiːgoː
drøfte	ˈdɾœftə
upåklageligst	ʉpoːˈklɑːgəlɪkst
forsvarligste	fɔˈʂʋɑːɭɪkstə
budsjett	bʉdˈʂɛt
evig	ˈeːʋɪ
dedisere	dədɪˈseːɾə
slå på	ʂɭoːˈpoː
personligst	pæˈʂuːnlɪkst
hovedsakeligst	hʊʋədˈsɑːklɪkst
sneversynt	ˈsneːʋəʂyːnt
reisehåndbok	ˈɾæɪsəhɔnbuːk
vilkårligste	ʋɪlˈkoːɭɪkstə
solbrent	ˈsuːlbɾɛnt
kål	koːl
forhenværende	ˈfɔɾhənʋæːɾənə
tallrik	ˈtɑlɾiːk
uskadeligst	ʉˈskɑːdəlɪkst
lav	lɑːʋ
moden	ˈmuːdən
kle	kleː
krølle	ˈkɾœlə
poliomyelitt	pʊlɪʊmʏəˈlɪt
gylden	jʏln
ulidelige	ʉˈliːdəlɪə
inhabil	ˈɪnhɑbiːl
bolte	ˈbɔltə
terskel	ˈtɛʂkəl
fløyel	ˈflœjəl
persille	pɛʂɪlə
ferdige	ˈfæːɖɪə
gradere	gɾɑˈdeːɾə
uroligere	ʉˈɾuːlɪɾə
bål	boːl
lidenskapelige	lɪdənˈskɑːpəlɪə
duplisere	dʉplɪˈseːɾə
appelsin	ɑpəlˈsiːn
koreansk	kʊɾəˈɑːnsk
kuppel	ˈkʉpəl
iberegne	ˈiːbəɾæɪnə
nærtagende	ˈnæːʈɑːgənə
poengtere	pɔəŋˈteːɾə
uvedkommende	ˈʉːʋeːdkɔmənə
allmenn	ˈɑlmən
naturligere	nɑˈtʉːɭɪɾə
hive	ˈhiːʋə
sportslige	ˈspɔʈʂɭɪə
sjelden	ˈʂɛldən
frelse	ˈfɾɛlsə
timian	ˈtɪmɪɑn
firkanta	ˈfɪɾkɑntɑ
bitrere	ˈbɪtɾəɾə
emosjonell	ɛmʊʂʊˈnɛl
omkomme	ˈɔmkɔmə
treffende	ˈtɾɛfənə
designe	dɪˈsæɪnə
tennisracket	ˈtɛnɪsɾækət
lettfatteligst	lətˈfɑtəlɪkst
alternativ	ɑlˈtæɳɑtiːʋ
blusse	ˈblʉsə
forsvare	fɔˈʂʋɑːɾə
umoden	ˈʉːmuːdən
ånd	ɔn
kjøpe	ˈçøːpə
vårlig	ʋoːɾ
israelsk	ɪsɾɑˈeːlsk
imperativ	ɪmpæɾɑˈtiːʋ
barnebarn	bɑːɳəbɑːɳ
konsultere	kʊnsʉlˈteːɾə
nøkkel	ˈnœkəl
bru	bɾʉː
snar	snɑːɾ
besværlige	bəˈsʋæːɭɪə
ande	ˈɔnə
bebreide	bɛˈbɾæɪdə
tone	ˈtuːnə
bestandigst	bəˈstɑnɪkst
kvitte	ˈkʋɪtə
spiker	ˈspiːkəɾ
etnologisk museum	ɛtnʊˈluːgɪskmʉsˈɛʉm
staseligste	ˈstɑːsəlɪkstə
dansk	dɑnsk
mislike	ˈmɪsliːkə
kjake	ˈçɑːkə
transplantere	tɾɑnsplɑnˈteːɾə
aftens	ˈɑftəns
ufyseligere	ʉˈfyːsəlɪɾə
ved siden av	ʋɛsiːdənɑːʋ
norsk	nɔʂk
ledsage	ˈleːdsɑːgə
kontroversiell	kʊntɾʊʋæʂɪˈjɛl
storm	stɔɾm
leker	ˈleːkəɾ
uforsvarlig	ˈʉːfɔʂʋɑːɭɪ
koala	kʊˈwɑːlɑ
utstå	ˈʉːtstoː
utrolige	ʉˈtɾuːlɪə
bekkenet	ˈbɛknə
seksuell	səksʉˈɛl
tilregneligste	tɪlˈɾæɪnəlɪkstə
uregelmessige	ˈʉːɾeːgəlmɛsɪə
runde	ˈɾʉnə
debattere	dəbɑˈteːɾə
filme	ˈfɪlmə
hånligste	ˈhoːnlɪkstə
oppvaskkum	ɔpʋɑskʊm
fødselsdag	ˈfœtsəlsdɑːg
kurere	kʉˈɾeːɾə
togtjeneste	tuːgçeːnɛstə
skjenke	ˈʂɛnkə
tømme	ˈtœmə
hun	hʉn
britisk	ˈbɾiːtɪsk
uttømmende	ˈʉːtœmənə
beinhard	ˈbæɪnhɑːɾ
lønn	lœn
troskyldig	tɾʊˈʂʏldɪ
bestige	bəˈstiːgə
garantere	gɑɾɑnˈteːɾə
ørering	øːɾəɾɪŋ
uomtvisteligst	ʉɔmˈtʋɪstəlɪkst
blank	blɑŋk
omstendelig	ɔmˈstɛnəlɪ
real	ˈɾeːɑl
banner	ˈbɑnəɾ
tvetydige	ˈtʋeːtyːdɪə
vilkårlige	ʋɪlˈkoːɭɪə
gild	jɪl
tussete	ˈtʉsətə
fem	fɛm
september	səpˈtɛmbəɾ
bedervet	bəˈdæɾʋət
opplyst	ˈɔplyːst
kolonisere	kʊlʊnɪˈseːɾə
spleis	splæɪs
freidige	ˈfɾæɪdɪə
sysselsette	ˈsʏsəlsɛtə
snø	snøː
mangfoldigere	mɑŋˈfɔldɪɾə
søker	søːkəɾ
materie	mɑˈteːɾɪə
flintskallet	ˈflɪntskɑlət
karrig	ˈkɑɾɪ
østerriksk	ˈœstəɾɪksk
vidstrakt	ˈʋiːdstɾɑːkt
entusiastisk	ɛntʉsɪˈɑstɪsk
forferdeligste	fɔɾˈfæɖəlɪkstə
bort	bʊʈ
promille	pɾʊmɪlə
vinne	ˈʋɪnə
strabasiøs	stɾɑbɑːsɪˈøːs
sleivete	ˈʂɭæɪʋətə
forespeile	ˈfoːɾəspæɪlə
deg	dæi
bearbeide	ˈbeːɑɾbæɪdə
krafse	ˈkɾɑfsə
bandasjere	bɑnɑˈʂeːɾə
overnattingssted	oːʋəɳɑtɪŋstɛd,oːʋəɳɑtɪŋste
lystige	ˈlʏstɪə
klebrig	ˈkleːbɾɪ
føyeligste	ˈfœjəlɪkstə
autoritær	æʉtʊɾɪˈtæːɾ
snakke	ˈsnɑkə
brysk	bɾʏsk
parfyme	pɑɾfyːmə
refse	ˈɾɛfsə
lovligst	ˈloːʋlɪkst
vest	ʋɛst
egentlig	ˈeːgəntlɪ
ull	ʉl
merkeligste	ˈmæɾkəlɪkstə
bakken	ˈbɑkn̩
velvilligste	ʋəlˈʋɪlɪkstə
innbydende	ˈɪnbyːdənə
afghansk	ɑfˈgɑːnsk
straffe	ˈstɾɑfə
kassett	ˈkɑsət
ubetydeligere	ʉːbeːˈtyːdəlɪɾə
billigere	ˈbɪlɪɾə
knaske	ˈknɑskə
kortvarig	ˈkɔʈʋɑːɾɪ
brød	bɾøː
fravær	ˈfɾɑːʋæːɾ
unødvendigst	ˈʉːnœdʋɛnɪkst
overføre	ˈoːʋəɾføːɾə
hissigere	ˈhɪsɪɾə
nødvendigste	nœdˈʋɛnɪkstə
dirre	ˈdɪɾə
helvete	ˈhɛlʋətə
uregelmessig	ˈʉːɾeːgəlmɛsɪ
skrubbsulten	ˈskɾʉbsʉltən
installere	ɪnstɑˈleːɾə
hei	hæi
ba	bɑː
baker	ˈbɑːkəɾ
koseligste	ˈkuːʂɭɪkstə
uhøfligste	ʉˈhœflɪkstə
geistlig	ˈgæɪstlɪ
stativ	stɑˈtiːʋ
vaskeri	ʋɑskəˈɾiː
forgreine	fɔɾˈgɾeːnə
målene	ˈmoːlənə
tropisk	ˈtɾuːpɪsk
glass	glɑs
beleilige	bəˈlæɪlɪə
trylle	ˈtɾʏlə
sannsynlig	sɑnˈsyːnlɪ
fruktesløs	ˈfɾʉktəsløːs
lapp	lɑp
pussige	ˈpʉsɪə
regnfrakk	ɾæɪnfɾɑk
sverd	sʋæɖ
demontere	ˈdeːmʊnteːɾə
ditt	dɪt
urolige	ʉˈɾuːlɪə
uskyldig	ʉˈʂʏldɪ
toro	ˈtuːɾu
ufarligere	ʉˈfɑːɭɪɾə
kontinuerligst	kʊntɪnʉˈeːɭɪkst
foreta	ˈfoːɾətɑː
minibar	ˈmɪnɪbɑːɾ
vassen	ˈʋɑsən
kvadratisk	kʋɑˈdɾɑːtɪsk
forherlige	fɔɾˈhæːɭɪgə
lirke	ˈlɪɾkə
revolusjonere	ɾəʋʊlʉʂʊˈneːɾə
badering	bɑːdəɾɪŋ
min	mɪn
juveler	jʉʋəˈleːɾ
heve	ˈheːʋə
mime	ˈmiːmə
foregripe	ˈfoːɾəgɾiːpə
vemmeligste	ˈʋɛməlɪkstə
trener	ˈtɾeːnəɾ
gran	gɾɑːn
viste	ˈʋiːstə
sløyfe	ˈʂɭœjfə
standhaftigere	stɑnˈhɑftɪɾə
legge til	lɛgəˈtɪl
arbeidsledig	ˈɑɾbæɪdsleːdɪ
betraktelige	bəˈtɾɑktəlɪə
ledigere	ˈleːdɪɾə
punktere	pʊŋˈteːɾə,pʊŋkˈteːɾə
sakkyndig	ˈsɑːkçʏnɪ
solarium	sʊˈlɑːɾɪʉm
kvalme	ˈkʋɑlmə
mening	meːnɪŋ
røsligst	ˈɾœʂɭɪkst
bestikk	beːstɪk
gjennomsiktig	ˈjɛnɔmsɪktɪ
bud	bʉːd
forkasteligst	fɔɾˈkɑstəlɪkst
stilig	ˈstiːlɪ
kolera	ˈkuːləɾɑ
pervers	pæɾˈʋæʂ
besynderligste	bəˈsʏnəɭɪkstə
uhyre	ˈʉːhyːɾə
bortskjemt	ˈbʊʈʂəmt
musiker	ˈmʉːsɪkəɾ
der	dæːɾ
tomhendt	ˈtʊmhɛnt
dikterisk	ˈdɪktəɾɪsk
postnummer	ˈpɔstnʊməɾ
hode	ˈhuːdə
und	ɔnt
atle	ˈɑtlə
usjenert	ˈʉːʂəneːʈ
urokkelige	ʉˈɾɔkəlɪə
herlig	ˈhæːɭɪ
statligst	ˈstɑːtlɪkst
blande	ˈblɑnə
tilnærmet	ˈtɪlnæɾmət
urørlige	ʉˈɾøːɭɪə
dusin	dʉˈsiːn
til	tɪl
ordenen	ˈɔɖn̩
medgjørlig	mədˈjøːɭɪ
anstrengende	ˈɑnstɾɛŋənə
ses	ˈseːəs
komme	ˈkɔmə
kjæreste	ˈçæːɾəstə
la	lɑː
lenke	ˈlɛŋkə
fortreffeligere	fɔˈʈɾɛfəlɪɾə
ry	ɾyː
feste	ˈfɛstə
kappe	ˈkɑpə
krykke	ˈkɾʏkə
livligste	ˈlɪʋlɪkstə
tolerant	tɔləˈɾɑŋ
pukkel	ˈpʊkəl
unyttig	ʉˈnʏtɪ
godt	gɔt
verd	ʋæɖ
ny	nyː
fjernlys	fjæːɳlyːs
gymnastikk	gʏmnɑˈstɪk
skatt	skɑt
rasjonell	ɾɑʂʊˈnɛl
resolutt	ɾɛsʊˈlʉt
sykelig	ˈsyːkəlɪ
konkurransedyktigere	kʊnkʉˈɾɑŋsədʏktɪɾə
lat	lɑːt
svigerinne	sʋiːgəɾˈɪnə
purke	ˈpʉɾkə
filmteknikker	ˈfɪlmtɛknɪkəɾ
uunnværligere	ʉːʉnˈʋæːɭɪɾə
kyndigste	ˈçʏnɪkstə
salg	sɑlg
kritikkverdige	kɾɪˈtɪkʋæɖɪə
uforbederligst	ʉːfɔɾˈbeːdəɭɪkst
umerkelig	ʉˈmæɾkəlɪ
bydel	ˈbyːdeːl
spane	ˈspɑːnə
analog	ɑnɑˈloːg
flyge	flyːgə
dårlige	ˈdoːɭɪə
ærlig	ˈæɭɪ
utrivelig	ʉˈtɾiːʋəlɪ
upåklagelig	ʉpoːˈklɑːgəlɪ
kilen	ˈçiːlən
krabbe	ˈkɾɑbə
innesluttet	ˈɪnəʂɭʉtət
elendig	ɛˈlɛnɪ
merkantil	mæɾkɑnˈtiːl
skadeligst	ˈskɑːdəlɪkst
atletisk	ɑtˈleːtɪsk
fornøyeligst	fɔˈɳœjəlɪkst
tvungen	ˈtʋʊŋən
skjell	ʂɛl
komme til skade	kɔmətɪlskɑːdə
mektige	ˈmɛktɪə
realisere	ɾəɑlɪˈseːɾə
reise bort	ˈɾæɪsəbʊʈ
trolige	ˈtɾuːlɪə
et par	ɛtpɑːɾ
uforbederlige	ʉːfɔɾˈbeːdəɭɪə
vindrue	ʋiːndɾʉːə
uanstendige	ˈʉːɑnstɛnɪə
folk	fɔlk
singel	ˈsɪŋəl
gni	gniː
selvfølgeligst	səlˈfœlgəlɪkst
spire	ˈspiːɾə
omhyggeligste	ɔmˈhʏgəlɪkstə
tilhøre	ˈtɪlhøːɾə
hjelp	jɛlp
tette	ˈtɛtə
pensle	ˈpɛnslə
halv	hɑl
impregnere	ɪmpɾəgˈneːɾə
første etasje	fœʂtəɛˈtɑːʂə
kvadratmeter	kʋɑˈdɾɑːtmeːtəɾ
hemmelig	ˈhɛməlɪ
park	pɑɾk
bite	ˈbiːtə
avgifter	ɑːʋjɪftəɾ
sykle	ˈsʏklə
snodig	ˈsnuːdɪ
uutgrunneligst	ʉːʉtˈgɾʉnəlɪkst
ordbok	ˈuːɾbuːk
bedrøvelig	bəˈdɾøːʋəlɪ
engste	ˈɛŋstə
kjeft	çɛft
forfjamset	fɔɾˈfjɑmsət
yre	ˈyːɾə
palass	pɑˈlɑs
kabaret	kɑbɑˈɾeː
egosentrisk	eːgʊˈsɛntɾɪsk
bis	bɪs
spenningsfilm	spænɪŋsfɪlm
kunngjøre	ˈkʉnjøːɾə
restaurant	ɾɛstʉˈɾɑŋ
jord	juːɾ
sørpe	ˈsœɾpə
skumpe	ˈskʊmpə
rundstykker med pålegg	ˈɾʉnstʏkəɾmɛpoːlɛg
forskjellige	fɔˈʂɛlɪə
gledeligere	ˈgleːdəlɪɾə
elektrisk forretning	ɛˈlɛktɾɪskfɔˈɾɛtnɪŋ
blodåre	ˈbluːoːɾə
ufattelige	ʉˈfɑtəlɪə
ugjenkalleligere	ʉːjənˈkɑləlɪɾə
observant	ɔpsæɾˈʋɑŋ
ettroms leilighet	ˈɛtɾʊmslæɪlɪheːt
lageligst	ˈlɑːgəlɪkst
inntil	ˈɪntɪl
hørte	ˈhœʈə
hypotetisk	hʏpʊˈteːtɪsk
oppbyggeligere	ɔpˈbʏgəlɪɾə
velvalgt	ˈʋɛlʋɑlkt
troskyldigste	tɾʊˈʂʏldɪkstə
dress	dɾɛs
vanskapt	ˈʋɑːnskɑpt
meteorolog	mətəʊɾʊˈloːg
kave	ˈkɑːʋə
markedsføring	ˈmɑɾkədsføːɾɪŋ
slovensk	ʂɭʊˈʋeːnsk
betale kontant	bɛˈtɑːləkʊnˈtɑnt
andektige	ɑnˈdɛktɪə
uavhengige	ˈʉːɑːʋhɛŋɪə
konditori	kʊnɪtʊˈɾiː
beundre	bəˈʉndɾə
bedugga	bəˈdʉgət
sogne	ˈsɔŋnə
guddommeligere	gʉˈdɔməlɪɾə
slibrigere	ˈʂɭiːbɾɪɾə
reservere	ɾɛsæɾˈʋeːɾə
ei	æi
sydligere	ˈsyːdlɪɾə
forbrenning	fɔɾˈbɾɛnɪŋ
frifinne	ˈfɾiːfɪnə
strender	ˈstɾɛnəɾ
begjærligste	bəˈjæːɭɪkstə
motbydeligst	mʊtˈbyːdəlɪkst
uansvarlige	ˈʉːɑnsʋɑːɭɪə
kommersiell	kʊmæʂɪˈɛl
slakte	ˈʂɭɑktə
ansvarligere	ɑnˈsʋɑːɭɪɾə
fylle	ˈfʏlə
sammenligne	ˈsɑmənlɪŋnə
potensiell	pʊtənsɪˈɛl
uendeligste	ʉˈɛnəlɪkstə
utløser	ʉːtløːsəɾ
grate	ˈgɾoːtə
våge	ˈʋoːgə
gjær	jæːɾ
deiligst	ˈdæɪlɪkst
feile	ˈfæɪlə
fengsel	ˈfɛŋʂəl
ulovligere	ʉˈloːʋlɪɾə
lærerik	ˈlæːɾəɾiːk
hvete	ˈʋeːtə
ikke	ɪkə
dement	dəˈmɛnt
gjennomsiktige	ˈjɛnɔmsɪktɪə
sosial	sʊsɪˈɑːl
båtene	ˈboːtnə
modigere	ˈmuːdɪɾə
bakk	bɑk
skrøpeligste	ˈskɾøːpəlɪkstə
vrikke	ˈʋɾɪkə
landligere	ˈlɑnlɪɾə
uforbeholden	ˈʉːfɔɾbəhɔlən
søt	søːt
åpne	ˈoːpnə
