bắt ấn	băk˦˥ɤ̆ŋ˩˧
biên giới	biəŋ˧˥jɤj˩˧
bể lọc	be˧˩˨lɔk͡p˨ˀ˩ʔ
tôn chủ	toŋ͡m˧˥cu˧˩˨
quan niệm	waŋ˧˥niəm˨ˀ˩ʔ
khăn vành dây	xăŋ˧˥jan˦˨jɤ̆j˧˥
nòm	nɔm˦˨
quả bất địch chúng	wa˧˩˨bɤ̆k˦˥dit˨ˀ˩ʔcuŋ͡m˩˧
cao sĩ	kaw˧˥ʂi˧˩˨
buôn quan tám, bán quan tư	buəŋ˧˥waŋ˧˥tam˩˧baŋ˩˧waŋ˧˥tɯ˧˥
bừa đĩa	bɯə˦˨diə˧˩˨
ông già	oŋ͡m˧˥ja˦˨
trái chủ	ʈaj˩˧cu˧˩˨
thái thuỷ	tʰaj˩˧tʰwi˧˩˨
nguy nan	ŋwi˧˥naŋ˧˥
lò vi sóng	lɔ˦˨ji˧˥ʂɔŋ͡m˩˧
cấm chỉ	kɤ̆m˩˧ci˧˩˨
địa vị	diə˨ˀ˩ʔji˨ˀ˩ʔ
nhe	ɲɛ˧˥
bụng nhụng	buŋ͡m˨ˀ˩ʔɲuŋ͡m˨ˀ˩ʔ
trói	ʈɔj˩˧
ngẫm ngợi	ŋɤ̆m˧˩˨ŋɤj˨ˀ˩ʔ
như nuôi con mọn	ɲɯ˧˥nuəj˧˥kɔŋ͡m˧˥mɔŋ͡m˨ˀ˩ʔ
ở lì	ɤ˧˩˨li˦˨
bất lợi	bɤ̆k˦˥lɤj˨ˀ˩ʔ
trần hưng đạo	ʈɤ̆ŋ˦˨hɯŋ˧˥daw˨ˀ˩ʔ
giáp trạng	jap˦˥ʈaŋ˨ˀ˩ʔ
đẳng địa nhiệt	dăŋ˧˩˨diə˨ˀ˩ʔɲiək˨ˀ˩ʔ
dị ứng nguyên	ji˨ˀ˩ʔɯŋ˩˧ŋwiəŋ˧˥
xì xục	si˦˨suk͡p˨ˀ˩ʔ
mua chao	muə˧˥caw˧˥
ái nương	aj˩˧nɯəŋ˧˥
sần sùi	ʂɤ̆ŋ˦˨ʂuj˦˨
hỏi gạn	hɔj˧˩˨ɣaŋ˨ˀ˩ʔ
me xừ	mɛ˧˥sɯ˦˨
phệ	fe˨ˀ˩ʔ
không khốc	xoŋ͡m˧˥xok͡p˦˥
chuyển nhà	cwiəŋ˧˩˨ɲa˦˨
đơn giao	dɤŋ˧˥jaw˧˥
giũ bụi trần	ju˧˩˨buj˨ˀ˩ʔʈɤ̆ŋ˦˨
bảo toàn	baw˧˩˨twaŋ˦˨
an hội	aŋ˧˥hoj˨ˀ˩ʔ
bi kí học	bi˧˥ki˩˧hɔk͡p˨ˀ˩ʔ
làm công	lam˦˨koŋ͡m˧˥
hiệu năng	hiəw˨ˀ˩ʔnăŋ˧˥
đẹn sữa	dɛŋ˨ˀ˩ʔʂɯə˧˩˨
chẩn	cɤ̆ŋ˧˩˨
chỉ số	ci˧˩˨ʂo˩˧
bánh ỷ	ban˩˧i˧˩˨
chán chưa	caŋ˩˧cɯə˧˥
dầm dề	jɤ̆m˦˨je˦˨
ngộ sát	ŋo˨ˀ˩ʔʂak˦˥
đàn anh kẻ cả	daŋ˦˨an˧˥kɛ˧˩˨ka˧˩˨
hồ móng ngựa	ho˦˨mɔŋ͡m˩˧ŋɯə˨ˀ˩ʔ
đá liếc	da˩˧liək˦˥
cấp độ	kɤ̆p˦˥do˨ˀ˩ʔ
than đỏ	tʰaŋ˧˥dɔ˧˩˨
thanh mỹ	tʰan˧˥mi˧˩˨
dốt đặc	jok͡p˦˥dăk˨ˀ˩ʔ
ròng	ʐɔŋ͡m˦˨
không có mây sao có mưa	xoŋ͡m˧˥kɔ˩˧mɤ̆j˧˥ʂaw˧˥kɔ˩˧mɯə˧˥
ba bó một giạ	ba˧˥bɔ˩˧mok͡p˨ˀ˩ʔja˨ˀ˩ʔ
mét hệ	mɛk˦˥he˨ˀ˩ʔ
niên canh	niəŋ˧˥kan˧˥
sách lược vắn tắt	ʂak˦˥lɯək˨ˀ˩ʔjăŋ˩˧tăk˦˥
nâng giá	nɤ̆ŋ˧˥ja˩˧
vô hướng	jo˧˥hɯəŋ˩˧
đi đôi	di˧˥doj˧˥
dã chiến	ja˧˩˨ciəŋ˩˧
thành quốc	tʰan˦˨wok͡p˦˥
siêu nhiên	ʂiəw˧˥ɲiəŋ˧˥
bán ngôi bán thứ	baŋ˩˧ŋoj˧˥baŋ˩˧tʰɯ˩˧
đông nghịt	doŋ͡m˧˥ŋit˨ˀ˩ʔ
rừng nguyên sinh	ʐɯŋ˦˨ŋwiəŋ˧˥ʂin˧˥
điều tốc	diəw˦˨tok͡p˦˥
vật lí hiện đại	jɤ̆k˨ˀ˩ʔli˩˧hiəŋ˨ˀ˩ʔdaj˨ˀ˩ʔ
chăn chắn	căŋ˧˥căŋ˩˧
ẩm chồi	ɤ̆m˧˩˨coj˦˨
lạo thảo	law˨ˀ˩ʔtʰaw˧˩˨
phú túc	fu˩˧tuk͡p˦˥
chỉnh quân	cin˧˩˨wɤ̆ŋ˧˥
ngủn ngoẳn	ŋuŋ͡m˧˩˨ŋwăŋ˧˩˨
nam	nam˧˥
hoả thuyền	hwa˧˩˨tʰwiəŋ˦˨
ăn hoang mặc hại	ăŋ˧˥hwaŋ˧˥măk˨ˀ˩ʔhaj˨ˀ˩ʔ
mộng học	moŋ͡m˨ˀ˩ʔhɔk͡p˨ˀ˩ʔ
báo hỉ	baw˩˧hi˧˩˨
trung kiên	ʈuŋ͡m˧˥kiəŋ˧˥
chở đò	cɤ˧˩˨dɔ˦˨
giả tuần hoàn	ja˧˩˨twɤ̆ŋ˦˨hwaŋ˦˨
hậu cổ điển	hɤ̆w˨ˀ˩ʔko˧˩˨diəŋ˧˩˨
du khách	ju˧˥xak˦˥
vừa khéo	jɯə˦˨xeo˩˧
từ hàn	tɯ˦˨haŋ˦˨
hờ hững	hɤ˦˨hɯŋ˧˩˨
hả lòng hả dạ	ha˧˩˨lɔŋ͡m˦˨ha˧˩˨ja˨ˀ˩ʔ
cổn bào	koŋ͡m˧˩˨baw˦˨
tiêu sầu	tiəw˧˥ʂɤ̆w˦˨
rách	ʐak˦˥
è	ɛ˦˨
chủ nghĩa hành vi	cu˧˩˨ŋiə˧˩˨han˦˨ji˧˥
giao tình	jaw˧˥tin˦˨
bầu đất	bɤ̆w˦˨dɤ̆k˦˥
kim đồng	kim˧˥doŋ͡m˦˨
hàng ngày	haŋ˦˨ŋăj˦˨
quẹo cọ	weo˨ˀ˩ʔkɔ˨ˀ˩ʔ
ý thức	i˩˧tʰɯk˦˥
thuỵ	tʰwi˨ˀ˩ʔ
hoa mộc	hwa˧˥mok͡p˨ˀ˩ʔ
đẹp nết	dɛp˨ˀ˩ʔnet˦˥
tam trường	tam˧˥ʈɯəŋ˦˨
quất lưu	wɤ̆k˦˥lɯw˧˥
sủng soảng	ʂuŋ͡m˧˩˨ʂwaŋ˧˩˨
lưu danh	lɯw˧˥jan˧˥
đi tới	di˧˥tɤj˩˧
giá trị sử dụng	ja˩˧ʈi˨ˀ˩ʔʂɯ˧˩˨juŋ͡m˨ˀ˩ʔ
huyết thanh	hwiək˦˥tʰan˧˥
yết thị	iɛk˦˥tʰi˨ˀ˩ʔ
luỹ	lwi˧˩˨
đấu chọi	dɤ̆w˩˧cɔj˨ˀ˩ʔ
địa lí kinh tế	diə˨ˀ˩ʔli˩˧kin˧˥te˩˧
bích đào	bit˦˥daw˦˨
hoàng đằng	hwaŋ˦˨dăŋ˦˨
vui dạ	juj˧˥ja˨ˀ˩ʔ
cầu chì	kɤ̆w˦˨ci˦˨
may sẵn	măj˧˥ʂăŋ˧˩˨
danh xưng học	jan˧˥sɯŋ˧˥hɔk͡p˨ˀ˩ʔ
chiến đấu	ciəŋ˩˧dɤ̆w˩˧
phụ lực	fu˨ˀ˩ʔlɯk˨ˀ˩ʔ
trùng môi	ʈuŋ͡m˦˨moj˧˥
tư lợi	tɯ˧˥lɤj˨ˀ˩ʔ
lài	laj˦˨
xăn	săŋ˧˥
ăn ốc nói mò	ăŋ˧˥ok͡p˦˥nɔj˩˧mɔ˦˨
buôn trấp	buəŋ˧˥ʈɤ̆p˦˥
trụ trì	ʈu˨ˀ˩ʔʈi˦˨
dầu thăng long	jɤ̆w˦˨tʰăŋ˧˥lɔŋ͡m˧˥
dè bỉu	jɛ˦˨biw˧˩˨
mát-tít	mak˦˥-tit˦˥
xa mặt xa lòng	sa˧˥măk˨ˀ˩ʔsa˧˥lɔŋ͡m˦˨
lưỡng chiết	lɯəŋ˧˩˨ciək˦˥
hàng ước	haŋ˦˨ɯək˦˥
co co cỏm cỏm	kɔ˧˥kɔ˧˥kɔm˧˩˨kɔm˧˩˨
bánh ca-vát	ban˩˧ka˧˥-jak˦˥
muối	muəj˩˧
đẻ	dɛ˧˩˨
tới cùng	tɤj˩˧kuŋ͡m˦˨
ví von	ji˩˧jɔŋ͡m˧˥
buồng lái	buəŋ˦˨laj˩˧
nhanh chóng	ɲan˧˥cɔŋ͡m˩˧
khỉ ho cò gáy	xi˧˩˨hɔ˧˥kɔ˦˨ɣăj˩˧
nhuế nhóa	ɲwe˩˧ɲwa˩˧
cá kiếm	ka˩˧kiəm˩˧
điểm sôi	diəm˧˩˨ʂoj˧˥
hộp quẹt	hop˨ˀ˩ʔwɛk˨ˀ˩ʔ
tráng	ʈaŋ˩˧
ưỡn à ưỡn ẹo	ɯəŋ˧˩˨a˦˨ɯəŋ˧˩˨eo˨ˀ˩ʔ
đường rầy	dɯəŋ˦˨ʐɤ̆j˦˨
hôi	hoj˧˥
gá nghĩa châu trần	ɣa˩˧ŋiə˧˩˨cɤ̆w˧˥ʈɤ̆ŋ˦˨
con gái	kɔŋ͡m˧˥ɣaj˩˧
khai thủy	xaj˧˥tʰuj˧˩˨
hàng hoa	haŋ˦˨hwa˧˥
hố chậu	ho˩˧cɤ̆w˨ˀ˩ʔ
xong chay quẳng thầy xuống ao	sɔŋ͡m˧˥căj˧˥wăŋ˧˩˨tʰɤ̆j˦˨suəŋ˩˧aw˧˥
dở cười dở khóc	jɤ˧˩˨kɯəj˦˨jɤ˧˩˨xɔk͡p˦˥
vàng quỳ	jaŋ˦˨wi˦˨
ma ăn cỗ	ma˧˥ăŋ˧˥ko˧˩˨
nói hớt	nɔj˩˧hɤk˦˥
sau sau	ʂăw˧˥ʂăw˧˥
chúc mừng	cuk͡p˦˥mɯŋ˦˨
quảng phúc	waŋ˧˩˨fuk͡p˦˥
săng-ta	ʂăŋ˧˥-ta˧˥
đa đảng	da˧˥daŋ˧˩˨
kịch	kit˨ˀ˩ʔ
nhỡ nhời	ɲɤ˧˩˨ɲɤj˦˨
quỳnh khê	win˦˨xe˧˥
mỉa mai	miə˧˩˨maj˧˥
hò voi bắn súng sậy	hɔ˦˨jɔj˧˥băŋ˩˧ʂuŋ͡m˩˧ʂɤ̆j˨ˀ˩ʔ
ta-lư	ta˧˥-lɯ˧˥
khất khưởng	xɤ̆k˦˥xɯəŋ˧˩˨
thòm thòm	tʰɔm˦˨tʰɔm˦˨
cố hữu	ko˩˧hɯw˧˩˨
yếu lược	iəw˩˧lɯək˨ˀ˩ʔ
chúng cháu	cuŋ͡m˩˧căw˩˧
mọc sừng	mɔk͡p˨ˀ˩ʔʂɯŋ˦˨
mỹ đức	mi˧˩˨dɯk˦˥
đồng kềnh	doŋ͡m˦˨ken˦˨
được cả cái lẫn nước	dɯək˨ˀ˩ʔka˧˩˨kaj˩˧lɤ̆ŋ˧˩˨nɯək˦˥
tiên định	tiəŋ˧˥din˨ˀ˩ʔ
tre trẻ	ʈɛ˧˥ʈɛ˧˩˨
bóng tròn	bɔŋ͡m˩˧ʈɔŋ͡m˦˨
chó nhảy bàn độc	cɔ˩˧ɲăj˧˩˨baŋ˦˨dok͡p˨ˀ˩ʔ
chuốc vạ vào mình	cuək˦˥ja˨ˀ˩ʔjaw˦˨min˦˨
viện quý tộc	jiəŋ˨ˀ˩ʔwi˩˧tok͡p˨ˀ˩ʔ
lợi lộc	lɤj˨ˀ˩ʔlok͡p˨ˀ˩ʔ
đại cà xa	daj˨ˀ˩ʔka˦˨sa˧˥
kiến hiệu	kiəŋ˩˧hiəw˨ˀ˩ʔ
chim trời cá nước	cim˧˥ʈɤj˦˨ka˩˧nɯək˦˥
lão thân	law˧˩˨tʰɤ̆ŋ˧˥
thối nát	tʰoj˩˧nak˦˥
thánh chỉ	tʰan˩˧ci˧˩˨
láu xáu	lăw˩˧săw˩˧
hiệp vần	hiəp˨ˀ˩ʔjɤ̆ŋ˦˨
la ó	la˧˥ɔ˩˧
y-lơng	i˧˥-lɤŋ˧˥
thực chi	tʰɯk˨ˀ˩ʔci˧˥
mệnh bạc	men˨ˀ˩ʔbak˨ˀ˩ʔ
như rết lắm chân	ɲɯ˧˥ʐet˦˥lăm˩˧cɤ̆ŋ˧˥
liên a-rập	liəŋ˧˥a˧˥-ʐɤ̆p˨ˀ˩ʔ
chẵn mưa thừa nắng	căŋ˧˩˨mɯə˧˥tʰɯə˦˨năŋ˩˧
giở về	jɤ˧˩˨je˦˨
đạo chích	daw˨ˀ˩ʔcit˦˥
văn đức giai	jăŋ˧˥dɯk˦˥jaj˧˥
tẩy rửa	tɤ̆j˧˩˨ʐɯə˧˩˨
lục soạn	luk͡p˨ˀ˩ʔʂwaŋ˨ˀ˩ʔ
nam huân	nam˧˥hwɤ̆ŋ˧˥
đẩy tạ	dɤ̆j˧˩˨ta˨ˀ˩ʔ
hạ công	ha˨ˀ˩ʔkoŋ͡m˧˥
cẩn thận	kɤ̆ŋ˧˩˨tʰɤ̆ŋ˨ˀ˩ʔ
phế đế	fe˩˧de˩˧
quốc gia đại sự	wok͡p˦˥ja˧˥daj˨ˀ˩ʔʂɯ˨ˀ˩ʔ
quan ngại	waŋ˧˥ŋaj˨ˀ˩ʔ
lục lạo	luk͡p˨ˀ˩ʔlaw˨ˀ˩ʔ
sắc thái	ʂăk˦˥tʰaj˩˧
ái ưu	aj˩˧ɯw˧˥
phế liệu	fe˩˧liəw˨ˀ˩ʔ
vệ tinh nhân tạo	je˨ˀ˩ʔtin˧˥ɲɤ̆ŋ˧˥taw˨ˀ˩ʔ
già nhân ngãi, non vợ chồng	ja˦˨ɲɤ̆ŋ˧˥ŋaj˧˩˨nɔŋ͡m˧˥jɤ˨ˀ˩ʔcoŋ͡m˦˨
bèo dạt mây trôi	beo˦˨jak˨ˀ˩ʔmɤ̆j˧˥ʈoj˧˥
thạnh phong	tʰan˨ˀ˩ʔfɔŋ͡m˧˥
pi	pi˧˥
đời đời kiếp kiếp	dɤj˦˨dɤj˦˨kiəp˦˥kiəp˦˥
nén	nɛŋ˩˧
đau khổ	dăw˧˥xo˧˩˨
phân thuỷ	fɤ̆ŋ˧˥tʰwi˧˩˨
siêu tuyệt	ʂiəw˧˥twiək˨ˀ˩ʔ
duy vật biện chứng	jwi˧˥jɤ̆k˨ˀ˩ʔbiəŋ˨ˀ˩ʔcɯŋ˩˧
cuồn cuộn	kuəŋ˦˨kuəŋ˨ˀ˩ʔ
sản	ʂaŋ˧˩˨
nhấm nháy	ɲɤ̆m˩˧ɲăj˩˧
sa khương	ʂa˧˥xɯəŋ˧˥
dân thầy	jɤ̆ŋ˧˥tʰɤ̆j˦˨
kêu gọi	kɛu˧˥ɣɔj˨ˀ˩ʔ
đại lí kinh tiêu	daj˨ˀ˩ʔli˩˧kin˧˥tiəw˧˥
gỡ tội	ɣɤ˧˩˨toj˨ˀ˩ʔ
tà	ta˦˨
đổng nhung	doŋ͡m˧˩˨ɲuŋ͡m˧˥
đất hứa	dɤ̆k˦˥hɯə˩˧
sào	ʂaw˦˨
từ đầu dần đến cuối dậu	tɯ˦˨dɤ̆w˦˨jɤ̆ŋ˦˨den˩˧kuəj˩˧jɤ̆w˨ˀ˩ʔ
câu hỏi	kɤ̆w˧˥hɔj˧˩˨
dìu	jiw˦˨
uỷ lạo	wi˧˩˨law˨ˀ˩ʔ
sông lở sóng cồn	ʂoŋ͡m˧˥lɤ˧˩˨ʂɔŋ͡m˩˧koŋ͡m˦˨
ngành ngọn	ŋan˦˨ŋɔŋ͡m˨ˀ˩ʔ
nư	nɯ˧˥
láng giềng	laŋ˩˧jen˦˨
bình minh	bin˦˨min˧˥
trang sức	ʈaŋ˧˥ʂɯk˦˥
thánh hiền	tʰan˩˧hiəŋ˦˨
chiều rộng	ciəw˦˨ʐoŋ͡m˨ˀ˩ʔ
nghi lễ	ŋi˧˥le˧˩˨
tầm mắt	tɤ̆m˦˨măk˦˥
mối thợ	moj˩˧tʰɤ˨ˀ˩ʔ
dễ chừng	je˧˩˨cɯŋ˦˨
tuẫn táng	twɤ̆ŋ˧˩˨taŋ˩˧
nùng dýn	nuŋ͡m˦˨jin˩˧
đại hồng thuỷ	daj˨ˀ˩ʔhoŋ͡m˦˨tʰwi˧˩˨
nóng như lửa cháy	nɔŋ͡m˩˧ɲɯ˧˥lɯə˧˩˨căj˩˧
kèn xuôi dăm ngược	kɛŋ˦˨suəj˧˥jăm˧˥ŋɯək˨ˀ˩ʔ
trường sinh	ʈɯəŋ˦˨ʂin˧˥
khuya khoắt	xwiə˧˥xwăk˦˥
não cân	naw˧˩˨kɤ̆ŋ˧˥
bén rễ xanh cây	bɛŋ˩˧ʐe˧˩˨san˧˥kɤ̆j˧˥
số chia	ʂo˩˧ciə˧˥
phễu	fɛu˧˩˨
chổng lái	coŋ͡m˧˩˨laj˩˧
kỵ binh	ki˨ˀ˩ʔbin˧˥
giới	jɤj˩˧
quốc công	wok͡p˦˥koŋ͡m˧˥
chuyển hướng	cwiəŋ˧˩˨hɯəŋ˩˧
cua nhà nọ rọ nhà kia	kuə˧˥ɲa˦˨nɔ˨ˀ˩ʔʐɔ˨ˀ˩ʔɲa˦˨kiə˧˥
dễ thường	je˧˩˨tʰɯəŋ˦˨
vú vê	ju˩˧je˧˥
hiền hoà	hiəŋ˦˨hwa˦˨
tuyên phạt	twiəŋ˧˥fak˨ˀ˩ʔ
quân thanh	wɤ̆ŋ˧˥tʰan˧˥
đặc trách	dăk˨ˀ˩ʔʈak˦˥
cuộc thi	kuək˨ˀ˩ʔtʰi˧˥
xo	sɔ˧˥
cuốc chim	kuək˦˥cim˧˥
bắc hà	băk˦˥ha˦˨
xung trận	suŋ͡m˧˥ʈɤ̆ŋ˨ˀ˩ʔ
cháy túi	căj˩˧tuj˩˧
ăn đường ngủ chợ	ăŋ˧˥dɯəŋ˦˨ŋu˧˩˨cɤ˨ˀ˩ʔ
xa lộ	sa˧˥lo˨ˀ˩ʔ
mông-ta	moŋ͡m˧˥-ta˧˥
tra tấn	ʈa˧˥tɤ̆ŋ˩˧
cát bà	kak˦˥ba˦˨
đỏ kệch	dɔ˧˩˨ket˨ˀ˩ʔ
tự trang tự chế	tɯ˨ˀ˩ʔʈaŋ˧˥tɯ˨ˀ˩ʔce˩˧
lảu bảu	lăw˧˩˨băw˧˩˨
còm lưng	kɔm˦˨lɯŋ˧˥
ninh hưng	nin˧˥hɯŋ˧˥
mổng	moŋ͡m˧˩˨
sơn sốc	ʂɤŋ˧˥ʂok͡p˦˥
đau lòng	dăw˧˥lɔŋ͡m˦˨
chịu đựng	ciw˨ˀ˩ʔdɯŋ˨ˀ˩ʔ
bàu hàm	băw˦˨ham˦˨
cơm cá chả chim	kɤm˧˥ka˩˧ca˧˩˨cim˧˥
đỗ đạt	do˧˩˨dak˨ˀ˩ʔ
xuân hiệp	swɤ̆ŋ˧˥hiəp˨ˀ˩ʔ
bình hưng hoà	bin˦˨hɯŋ˧˥hwa˦˨
ăn thừa tự	ăŋ˧˥tʰɯə˦˨tɯ˨ˀ˩ʔ
than thở	tʰaŋ˧˥tʰɤ˧˩˨
cờ bạc khát nước	kɤ˦˨bak˨ˀ˩ʔxak˦˥nɯək˦˥
trùng mắt	ʈuŋ͡m˦˨măk˦˥
tinh dầu	tin˧˥jɤ̆w˦˨
thượng cường	tʰɯəŋ˨ˀ˩ʔkɯəŋ˦˨
trường hà	ʈɯəŋ˦˨ha˦˨
mòng mọng	mɔŋ͡m˦˨mɔŋ͡m˨ˀ˩ʔ
bổ sịa	bo˧˩˨ʂiə˨ˀ˩ʔ
cá đao	ka˩˧daw˧˥
bảy mươi	băj˧˩˨mɯəj˧˥
đảo ngói	daw˧˩˨ŋɔj˩˧
thịnh danh	tʰin˨ˀ˩ʔjan˧˥
rạp hát	ʐap˨ˀ˩ʔhak˦˥
tích luỹ	tit˦˥lwi˧˩˨
cá lóc	ka˩˧lɔk͡p˦˥
thoải	tʰwaj˧˩˨
ầy	ɤ̆j˦˨
cầu dao	kɤ̆w˦˨jaw˧˥
mãn đại	maŋ˧˩˨daj˨ˀ˩ʔ
lờn	lɤŋ˦˨
phau	făw˧˥
hạch lạc	hak˨ˀ˩ʔlak˨ˀ˩ʔ
xé toạc	sɛ˩˧twak˨ˀ˩ʔ
thế như chẻ tre	tʰe˩˧ɲɯ˧˥cɛ˧˩˨ʈɛ˧˥
chồng ngồng	coŋ͡m˦˨ŋoŋ͡m˦˨
ù ờ	u˦˨ɤ˦˨
cụ	ku˨ˀ˩ʔ
chữ in	cɯ˧˩˨in˧˥
chiếc bóng năm canh	ciək˦˥bɔŋ͡m˩˧năm˧˥kan˧˥
tỷ đối	ti˧˩˨doj˩˧
chù	cu˦˨
thóc cao gạo kém	tʰɔk͡p˦˥kaw˧˥ɣaw˨ˀ˩ʔkɛm˩˧
sõi đời	ʂɔj˧˩˨dɤj˦˨
ngoạn mục	ŋwaŋ˨ˀ˩ʔmuk͡p˨ˀ˩ʔ
lãnh ngoại quyền	lan˧˩˨ŋwaj˨ˀ˩ʔwiɛŋ˦˨
rẻo	ʐeo˧˩˨
cứu xét	kɯw˩˧sɛk˦˥
đổi trắng thay đen	doj˧˩˨ʈăŋ˩˧tʰăj˧˥dɛŋ˧˥
sài mòn	ʂaj˦˨mɔŋ͡m˦˨
lọm cọm	lɔm˨ˀ˩ʔkɔm˨ˀ˩ʔ
trợ cấp	ʈɤ˨ˀ˩ʔkɤ̆p˦˥
ngã bổ ngửa	ŋa˧˩˨bo˧˩˨ŋɯə˧˩˨
ngọc lan	ŋɔk͡p˨ˀ˩ʔlaŋ˧˥
lợn biển	lɤŋ˨ˀ˩ʔbiəŋ˧˩˨
láy âm	lăj˩˧ɤ̆m˧˥
búng ra nước	buŋ͡m˩˧ʐa˧˥nɯək˦˥
đồ xào	do˦˨saw˦˨
lấy làm	lɤ̆j˩˧lam˦˨
dẫm đạp	jɤ̆m˧˩˨dap˨ˀ˩ʔ
han gỉ	haŋ˧˥ɣi˧˩˨
đa tạp	da˧˥tap˨ˀ˩ʔ
a	a˧˥
thổn thện	tʰoŋ͡m˧˩˨tʰen˨ˀ˩ʔ
bầu giác	bɤ̆w˦˨jak˦˥
thoà	tʰwa˦˨
chết chùm	cet˦˥cum˦˨
dầu cửu long	jɤ̆w˦˨kɯw˧˩˨lɔŋ͡m˧˥
đào tơ sen ngó	daw˦˨tɤ˧˥ʂɛŋ˧˥ŋɔ˩˧
còm kỉnh	kɔm˦˨kin˧˩˨
kẽo kẹt	keo˧˩˨kɛk˨ˀ˩ʔ
đổi công	doj˧˩˨koŋ͡m˧˥
ăn càn ở rỡ	ăŋ˧˥kaŋ˦˨ɤ˧˩˨ʐɤ˧˩˨
đường đi nước bước	dɯəŋ˦˨di˧˥nɯək˦˥bɯək˦˥
thông hơi	tʰoŋ͡m˧˥hɤj˧˥
giao loan	jaw˧˥lwaŋ˧˥
huỳnh thạch	hwin˦˨tʰak˨ˀ˩ʔ
đánh môn bài	dan˩˧moŋ͡m˧˥baj˦˨
khay	xăj˧˥
bụng to vượt mặt	buŋ͡m˨ˀ˩ʔtɔ˧˥jɯək˨ˀ˩ʔmăk˨ˀ˩ʔ
cảnh ngộ	kan˧˩˨ŋo˨ˀ˩ʔ
gối phụng	ɣoj˩˧fuŋ͡m˨ˀ˩ʔ
la-dơn	la˧˥-jɤŋ˧˥
quai cồng	waj˧˥koŋ͡m˦˨
bợp tai	bɤp˨ˀ˩ʔtaj˧˥
tập thể dục	tɤ̆p˨ˀ˩ʔtʰe˧˩˨juk͡p˨ˀ˩ʔ
nho lại	ɲɔ˧˥laj˨ˀ˩ʔ
chân không	cɤ̆ŋ˧˥xoŋ͡m˧˥
miễn phí	miəŋ˧˩˨fi˩˧
bướu khí	bɯəw˩˧xi˩˧
tinh tuý	tin˧˥twi˩˧
ớn mình	ɤŋ˩˧min˦˨
ếch nhái	et˦˥ɲaj˩˧
cựu phái	kɯw˨ˀ˩ʔfaj˩˧
lõng thõng	lɔŋ͡m˧˩˨tʰɔŋ͡m˧˩˨
lúa xuân	luə˩˧swɤ̆ŋ˧˥
cành cơi	kan˦˨kɤj˧˥
rải thảm	ʐaj˧˩˨tʰam˧˩˨
chạm chìm	cam˨ˀ˩ʔcim˦˨
lành chanh	lan˦˨can˧˥
vân từ	jɤ̆ŋ˧˥tɯ˦˨
đường ngắm	dɯəŋ˦˨ŋăm˩˧
đói ngấu	dɔj˩˧ŋɤ̆w˩˧
bần tăng	bɤ̆ŋ˦˨tăŋ˧˥
cao độ	kaw˧˥do˨ˀ˩ʔ
biến thể từ	biəŋ˩˧tʰe˧˩˨tɯ˦˨
ruột tằm bối rối vò tơ	ʐuək˨ˀ˩ʔtăm˦˨boj˩˧ʐoj˩˧jɔ˦˨tɤ˧˥
sao hoả	ʂaw˧˥hwa˧˩˨
hết mực	het˦˥mɯk˨ˀ˩ʔ
hắng giọng	hăŋ˩˧jɔŋ͡m˨ˀ˩ʔ
tráng lệ	ʈaŋ˩˧le˨ˀ˩ʔ
que diêm	wɛ˧˥jiəm˧˥
gian bào	jaŋ˧˥baw˦˨
đuôi nheo	duəj˧˥ɲeo˧˥
dao mổ	jaw˧˥mo˧˩˨
khí cụ	xi˩˧ku˨ˀ˩ʔ
ngựa mạnh chẳng quản đường dài	ŋɯə˨ˀ˩ʔman˨ˀ˩ʔcăŋ˧˩˨waŋ˧˩˨dɯəŋ˦˨jaj˦˨
lững lờ	lɯŋ˧˩˨lɤ˦˨
tốc chiến tốc thắng	tok͡p˦˥ciəŋ˩˧tok͡p˦˥tʰăŋ˩˧
triêu	ʈiəw˧˥
bọ phấn	bɔ˨ˀ˩ʔfɤ̆ŋ˩˧
xanh xám	san˧˥sam˩˧
hiểm hóc	hiəm˧˩˨hɔk͡p˦˥
khác nào	xak˦˥naw˦˨
ấm oé	ɤ̆m˩˧we˩˧
tựu chức	tɯw˨ˀ˩ʔcɯk˦˥
lát hoa	lak˦˥hwa˧˥
nhức óc	ɲɯk˦˥ɔk͡p˦˥
véc ni	jɛk˦˥ni˧˥
đoán định	dwaŋ˩˧din˨ˀ˩ʔ
giũ bụi	ju˧˩˨buj˨ˀ˩ʔ
nặc nô	năk˨ˀ˩ʔno˧˥
ngồi chệt	ŋoj˦˨cet˨ˀ˩ʔ
cù nhây	ku˦˨ɲɤ̆j˧˥
ống hút	oŋ͡m˩˧huk͡p˦˥
say rượu	ʂăj˧˥ʐɯəw˨ˀ˩ʔ
diễn hành	jiəŋ˧˩˨han˦˨
trời trồng	ʈɤj˦˨ʈoŋ͡m˦˨
ghế xoay	ɣe˩˧swăj˧˥
bạch đầu quân	bak˨ˀ˩ʔdɤ̆w˦˨wɤ̆ŋ˧˥
quế biên	we˩˧biəŋ˧˥
đối diện	doj˩˧jiəŋ˨ˀ˩ʔ
bẩn mình	bɤ̆ŋ˧˩˨min˦˨
thế tình	tʰe˩˧tin˦˨
thỏ rừng	tʰɔ˧˩˨ʐɯŋ˦˨
