麶	tʰi⁴⁴
無聊	bu²⁴⁻²²liaʊ²⁴
遺記	ui²⁴⁻²²ki²¹
沫	pʰeʔ⁴
熱鬧	liɛt̚⁴⁻³²nãʊ²²
後面	aʊ²²⁻²¹bin²²
冒名	mɔ̃²²⁻²¹miã²⁴
顯靈	hiɛn⁵³⁻⁴⁴liɪŋ²⁴
諂媚	tʰiam⁵³⁻⁴⁴bi²²
鯧魚	t͡ɕʰiũ⁴⁴⁻²²hi²⁴
甲通	kaʔ³²⁻⁵³tʰaŋ⁴⁴
授命	ɕiu²²⁻²¹biɪŋ²²
造就	t͡so²²⁻²¹t͡ɕiu²²
獃錢	ɡaɪ²⁴⁻²²t͡ɕĩ²⁴
何在	ho²⁴⁻²²t͡saɪ²²
分配	hun⁴⁴⁻²²pʰue²¹
獨斷獨行	tɔk̚⁴⁻³²tuan²¹⁻⁵³tɔk̚⁴⁻³²hiɪŋ²⁴
滿州	buan⁵³⁻⁴⁴t͡ɕiu⁴⁴
語文	ɡu⁵³⁻⁴⁴bun²⁴
光景	kɔŋ⁴⁴⁻²²kiɪŋ⁵³
華府	hua²⁴⁻²²hu⁵³
跤禁	kʰa⁴⁴⁻²²kim²¹
福建話	hɔk̚³²⁻⁴kiɛn²¹⁻⁵³ue²²
封口	hɔŋ⁴⁴⁻²²kʰaʊ⁵³
操辦	t͡sʰo⁴⁴⁻²²pan²²
終端	t͡ɕiɔŋ⁴⁴⁻²²tuan⁴⁴
後人	hɔ²²⁻²¹lin²⁴
海底	haɪ⁵³⁻⁴⁴tue⁵³
鬧房	nãʊ²²⁻²¹paŋ²⁴
佳哉	ka⁴⁴⁻²²t͡saɪ²¹
筆尾	pit̚³²⁻⁴be⁵³
展銷	tiɛn⁵³⁻⁴⁴ɕiaʊ⁴⁴
署理	su⁵³⁻⁴⁴li⁵³
留尼汪	liu²⁴⁻²²nĩ²⁴⁻²²ɔŋ⁴⁴
漫步	ban²²⁻²¹pɔ²²
巡查	sun²⁴⁻²²t͡sa⁴⁴
紅塵	hɔŋ²⁴⁻²²tin²⁴
公帑	kɔŋ⁴⁴⁻²²tʰɔŋ⁵³
跡	liaʔ³²
媒	muĩ²⁴
公花	kaŋ⁴⁴⁻²²hue⁴⁴
科目	kʰo⁴⁴⁻²²bɔk̚⁴
斟茶	tʰin²⁴⁻²²te²⁴
敬老	kiɪŋ²¹⁻⁵³lo⁵³
問案	bun²²⁻²¹an²¹
暴虐	po²²⁻²¹liɔk̚⁴
俗語話	ɕiɔk̚⁴⁻³²ɡu⁵³⁻⁴⁴ue²²
箬仔	hioʔ⁴⁻²¹a⁵³
敆萬	kap̚³²⁻⁴ban²²
關	kuan⁴⁴
幻燈	huan²²⁻²¹tiɪŋ⁴⁴
較像	kʰaʔ³²⁻⁵³t͡ɕʰiũ²²
莖	kiɪŋ²¹
滿滿	muã⁵³⁻⁴⁴muã⁵³
伊斯蘭教	i⁴⁴⁻²²su⁴⁴⁻²²lan²⁴⁻²²kaʊ²¹
屎	saɪ⁵³
頗	pʰo⁴⁴
講理	kaŋ⁵³⁻⁴⁴li⁵³
無神論	bu²⁴⁻²²ɕin²⁴⁻²²lun²²
金玉	kim⁴⁴⁻²²ɡiɪk̚⁴
翹喙	kʰiaʊ²¹⁻⁵³t͡sʰui²¹
恭敬	kiɔŋ⁴⁴⁻²²kiɪŋ²¹
九天	kiu⁵³⁻⁴⁴tʰiɛn⁴⁴
過失	ko²¹⁻⁵³ɕit̚³²
美稱	bi⁵³⁻⁴⁴t͡ɕʰiɪŋ⁴⁴
泡	pʰaʊ²²
襪統	beʔ⁴⁻²¹tʰaŋ⁵³
家內	ke⁴⁴⁻²²laɪ²²
臺南	taɪ²⁴⁻²²lam²⁴
虎威	hɔ⁵³⁻⁴⁴ui⁴⁴
來源	laɪ²⁴⁻²²ɡuan²⁴
胡蠅	hɔ²⁴⁻²²ɕin²⁴
過月	ke²¹⁻⁵³ɡeʔ⁴
集錦	t͡ɕip̚⁴⁻³²kim⁵³
說白	suat̚³²⁻⁴piɪk̚⁴
凸透鏡	tʰut̚⁴⁻³²tʰaʊ²¹⁻⁵³kiã²¹
淮山	huai²⁴⁻²²san⁴⁴
總理	t͡sɔŋ⁵³⁻⁴⁴li⁵³
同窗	tɔŋ²⁴⁻²²t͡sʰɔŋ⁴⁴
科摩羅	kʰo⁴⁴⁻²²mɔ̃²⁴⁻²²lo²⁴
膠	ka⁴⁴
跳塌	tʰiaʊ²¹⁻⁵³tʰat̚³²
拆毀	tʰiaʔ³²⁻⁵³hui⁵³
牛舌	ɡu²⁴⁻²²t͡ɕiʔ⁴
惻	t͡ɕʰiɪk̚³²
搖㩝	io²⁴⁻²²ko²⁴
貶斥	piɛn⁵³⁻⁴⁴tʰiɪk̚³²
歌詞	kua⁴⁴⁻²²su²⁴
簡練	kan⁵³⁻⁴⁴liɛn²²
簾檐	nĩ²⁴⁻²²t͡ɕĩ²⁴
膘	pio⁴⁴
糾察	kiu²¹⁻⁵³t͡sʰat̚³²
供銷	kiɔŋ⁴⁴⁻²²ɕiaʊ⁴⁴
金三角	kim⁴⁴⁻²²sã⁴⁴⁻²²kak̚³²
霜櫃	sŋ̍⁴⁴⁻²²kui²²
煞尾	suaʔ³²⁻⁵³be⁵³
瑞穗	sui²²⁻²¹hui²²
膝下	ɕit̚³²⁻⁴ha²²
平安夜	piɪŋ²⁴⁻²²an⁴⁴⁻²²ia²²
齷齪	ɔk̚³²⁻⁴t͡sʰɔk̚³²
倘若	tʰɔŋ⁵³⁻⁴⁴liɔk̚⁴
癩蛤蟆	laɪ²²⁻²¹haʔ⁴⁻²¹mã²⁴
頌	ɕiɔŋ²²
採行	t͡sʰaɪ⁵³⁻⁴⁴hiɪŋ²⁴
公定	kɔŋ⁴⁴⁻²²tiɪŋ²²
居家	ku⁴⁴⁻²²ka⁴⁴
當做	tɔŋ²¹⁻⁵³t͡sue²¹
豐裕	hɔŋ⁴⁴⁻²²d͡zu²²
滿	muã⁵³
痰盂	tʰam²⁴⁻²²ɔ²⁴
登天	tiɪŋ⁴⁴⁻²²tʰiɛn⁴⁴
潰瘍	kʰui²¹⁻⁵³iɔŋ²⁴
獵狗	laʔ⁴⁻²¹kaʊ⁵³
濟貧	t͡se²¹⁻⁵³pin²⁴
變體	piɛn²¹⁻⁵³tʰe⁵³
迎神	ŋiã²⁴⁻²²ɕin²⁴
盒	aʔ⁴
玻利維亞	po⁴⁴⁻²²li²²⁻²¹ui²⁴⁻²²a⁴⁴
醫術	i⁴⁴⁻²²sut̚⁴
合時	kaʔ³²⁻⁵³ɕi²⁴
寬綽	kʰuan⁴⁴⁻²²t͡ɕʰiɔk̚³²
高足	ko⁴⁴⁻²²t͡ɕiɔk̚³²
雲雨	hun²⁴⁻²²hɔ²²
窺探	kʰui⁴⁴⁻²²tʰam²¹
嘍	lɔ⁴⁴
惱火	nãʊ⁵³⁻⁴⁴hɔ̃⁵³
藝品	ɡe²²⁻²¹pʰin⁵³
風癱	hɔŋ⁴⁴⁻²²tʰan⁴⁴
牽頭	kʰan⁴⁴⁻²²tʰaʊ²⁴
旅行車	li⁵³⁻⁴⁴hiɪŋ²⁴⁻²²t͡ɕʰia⁴⁴
白賊七	peʔ⁴⁻²¹t͡sʰat̚⁴⁻³²t͡ɕʰit̚³²
影印	iã⁵³⁻⁴⁴in²¹
毒	tak̚⁴
解放	kaɪ⁵³⁻⁴⁴hɔŋ²¹
義烏	ɡi²²⁻²¹ɔ⁴⁴
下水	ha²²⁻²¹sui⁵³
戰國	t͡ɕiɛn²¹⁻⁵³kɔk̚³²
幔	muã⁴⁴
敲門	kʰa²¹⁻⁵³mŋ̍²⁴
入耳	lip̚⁴⁻³²hi²²
臨到	lim²⁴⁻²²kaʊ²¹
珠淚	t͡su⁴⁴⁻²²lui²²
一齊	t͡ɕit̚⁴⁻³²t͡sue²⁴
孟州	biɪŋ²²⁻²¹t͡ɕiu⁴⁴
烏龍茶	ɔ⁴⁴⁻²²liɔŋ²⁴⁻²²te²⁴
紅心	aŋ²⁴⁻²²ɕim⁴⁴
施工	ɕi⁴⁴⁻²²kaŋ⁴⁴
求告	kiu²⁴⁻²²ko²¹
上學	t͡ɕiũ²²⁻²¹oʔ⁴
書本	su⁴⁴⁻²²pun⁵³
石英	t͡ɕioʔ⁴⁻²¹iɪŋ⁴⁴
屈駕	kʰut̚³²⁻⁴ka²¹
內幕	laɪ²²⁻²¹bɔ²²
聲望	ɕiã⁴⁴⁻²²bɔŋ²²
壓霸	aʔ³²⁻⁵³pa²¹
後臺	aʊ²²⁻²¹taɪ²⁴
下	ke²²
通關	tʰɔŋ⁴⁴⁻²²kuan⁴⁴
粒	lip̚⁴
糾結	kiu²¹⁻⁵³kat̚³²
休止符	hiu⁴⁴⁻²²t͡ɕi⁵³⁻⁴⁴hu²⁴
工藝	kaŋ⁴⁴⁻²²ɡe²²
彈力	tan²⁴⁻²²liɪk̚⁴
廿三	liap̚⁴⁻³²sã⁴⁴
音韻	im⁴⁴⁻²²un²²
幣值	pe²²⁻²¹tat̚⁴
難過	lan²⁴⁻²²ko²¹
鞋楦	ue²⁴⁻²²hun²¹
萬事	ban²²⁻²¹su²²
西南	saɪ⁴⁴⁻²²lam²⁴
浴	iɔk̚⁴
妒忌	tɔ²¹⁻⁵³ki²²
雛	t͡sɔ²⁴
威逼	ui⁴⁴⁻²²piɪk̚³²
通航	tʰɔŋ⁴⁴⁻²²haŋ²⁴
下面	e²²⁻²¹bin²²
猴蚓	kaʊ²⁴⁻²²un⁵³
發福	huat̚³²⁻⁴hɔk̚³²
中游	tiɔŋ⁴⁴⁻²²iu²⁴
他鄉	tʰa⁴⁴⁻²²hiɔŋ⁴⁴
胡椒	hɔ²⁴⁻²²t͡ɕio⁴⁴
烏暗	ɔ⁴⁴⁻²²am²¹
頓跋坐	tŋ̍²¹⁻⁵³puaʔ⁴⁻²¹t͡se²²
汗	han²²
害怕	haɪ²²⁻²¹pʰã²¹
苦境	kʰɔ⁵³⁻⁴⁴kiɪŋ⁵³
戌	sut̚³²
刪改	san⁴⁴⁻²²kaɪ⁵³
市仔	t͡ɕʰi²²⁻²¹a⁵³
清𤆤	t͡ɕʰiɪŋ⁴⁴⁻²²tim²²
遲	ti²⁴
剝	pɔk̚³²
睡眠	sui²²⁻²¹bin²⁴
蓄	tʰiɔk̚³²
馬德拉	mã⁵³⁻⁴⁴tiɪk̚³²⁻⁴la⁴⁴
失調	ɕit̚³²⁻⁴tiaʊ²²
液態	iɪk̚⁴⁻³²tʰaɪ²¹
災民	t͡saɪ⁴⁴⁻²²bin²⁴
星	ɕiɪŋ⁴⁴
礵	sɔŋ⁴⁴
信	ɕin²¹
污	ɔ⁴⁴
把戲	pa⁵³⁻⁴⁴hi²¹
金華	kim⁴⁴⁻²²hua²⁴
鼻膏	pʰĩ²²⁻²¹ko⁴⁴
焦	nã⁴⁴
死窟	ɕi⁵³⁻⁴⁴kʰut̚³²
殘留	t͡san²⁴⁻²²liu²⁴
邊防	piɛn⁴⁴⁻²²hɔŋ²⁴
薰頭	hun⁴⁴⁻²²tʰaʊ²⁴
幽雅	iu⁴⁴⁻²²ŋã⁵³
天主	tʰiɛn⁴⁴⁻²²t͡su⁵³
瑚	ɔ²⁴
數房	ɕiaʊ²¹⁻⁵³paŋ²⁴
患	huan²²
豐碑	hɔŋ⁴⁴⁻²²pi⁴⁴
砧	tiam⁴⁴
接載	t͡ɕiʔ³²⁻⁵³t͡saɪ²¹
擔領	tã⁴⁴⁻²²niã⁵³
準確度	t͡sun⁵³⁻⁴⁴kʰak̚³²⁻⁴tɔ²²
懸低	kuãi²⁴⁻²²ke²²
溫差	un⁴⁴⁻²²t͡sʰa⁴⁴
梭	so⁴⁴
顯要	hiɛn⁵³⁻⁴⁴iaʊ²¹
金色	kim⁴⁴⁻²²ɕiɪk̚³²
放映	hɔŋ²¹⁻⁵³iɪŋ²¹
菱形	liɪŋ²⁴⁻²²hiɪŋ²⁴
一千	t͡ɕit̚⁴⁻³²t͡ɕʰiɪŋ⁴⁴
汲水	kip̚³²⁻⁴t͡sui⁵³
𣍐得了	bue²²⁻²¹tit̚³²⁻⁴liaʊ⁵³
離棄	li²²⁻²¹kʰi²¹
探頭	tʰam²¹⁻⁵³tʰaʊ²⁴
激冰	kiɪk̚³²⁻⁴piɪŋ⁴⁴
當時	tŋ̍⁴⁴⁻²²ɕi²⁴
斯	su⁴⁴
經辦	kiɪŋ⁴⁴⁻²²pan²²
危	hui²⁴
賣藝	bue²²⁻²¹ɡe²²
耄	mɔ̃²²
豬料	ti⁴⁴⁻²²liaʊ²¹
拋拋走	pʰa⁴⁴⁻²²pʰa⁴⁴⁻²²t͡saʊ⁵³
高漲	ko⁴⁴⁻²²tiɔŋ²¹
主人	t͡su⁵³⁻⁴⁴laŋ²⁴
裂口	liɛt̚⁴⁻³²kʰaʊ⁵³
要	iaʊ⁴⁴
桑拿	sɔŋ⁴⁴⁻²²nã⁵³
掛燈	kua²¹⁻⁵³tiɪŋ⁴⁴
獎牌	t͡ɕiɔŋ⁵³⁻⁴⁴paɪ²⁴
予	u⁵³
貓公刺	niãʊ⁴⁴⁻²²kaŋ⁴⁴⁻²²t͡ɕʰi²¹
血塊	hueʔ³²⁻⁵³te²¹
毛重	mɔ̃²⁴⁻²²taŋ²²
肆	ɕi²¹
急待	kip̚³²⁻⁴tʰaɪ²²
奠儀	tiɛn²²⁻²¹ɡi²⁴
鑽	t͡sŋ̍²¹
卡式	kʰa⁵³⁻⁴⁴ɕiɪk̚³²
柴刀	t͡sʰa²⁴⁻²²to⁴⁴
社跤	ɕia²²⁻²¹kʰa⁴⁴
蓄養	hiɔk̚³²⁻⁴iaŋ⁵³
合情合理	hap̚⁴⁻³²t͡ɕiɪŋ²⁴⁻²²hap̚⁴⁻³²li⁵³
俄羅斯	ɡo²⁴⁻²²lo²⁴⁻²²su⁴⁴
暗暢	am²¹⁻⁵³tʰiɔŋ²¹
種豬	t͡ɕiɪŋ⁵³⁻⁴⁴ti⁴⁴
白墨	peʔ⁴⁻²¹bak̚⁴
珠海	t͡su⁴⁴⁻²²haɪ⁵³
和協	ho²⁴⁻²²hiap̚⁴
腳氣	kʰa⁴⁴⁻²²kʰi²¹
如虎添翼	lu²⁴⁻²²hɔ⁵³⁻⁴⁴tʰiam⁴⁴⁻²²iɪk̚⁴
饒	liaʊ²⁴
六龜	lak̚⁴⁻³²ku⁴⁴
藝名	ɡe²²⁻²¹miã²⁴
手紙	t͡ɕʰiu⁵³⁻⁴⁴t͡sua⁵³
穀	kak̚³²
一下	t͡ɕit̚⁴⁻³²e²²
擴建	kʰɔk̚³²⁻⁴kiɛn²¹
速戰速決	sɔk̚³²⁻⁴t͡ɕiɛn²¹⁻⁵³sɔk̚³²⁻⁴kuat̚³²
管理人	kuan⁵³⁻⁴⁴li⁵³⁻⁴⁴d͡ʑin²⁴
敢著	kã⁴⁴⁻²²tioʔ⁴
洗	se⁵³
銀角仔	ɡun²⁴⁻²²kak̚³²⁻⁴a⁵³
複述	hɔk̚³²⁻⁴sut̚⁴
下世	e²²⁻²¹ɕi²¹
縱身	t͡ɕʰiɔŋ²¹⁻⁵³ɕin⁴⁴
砦	t͡se²²
風采	hɔŋ⁴⁴⁻²²t͡sʰaɪ⁵³
錘煉	tui²⁴⁻²²liɛn²²
商法	ɕiɔŋ⁴⁴⁻²²huat̚³²
教程	kaʊ²¹⁻⁵³tʰiɪŋ²⁴
南北朝	lam²⁴⁻²²pak̚³²⁻⁴tiaʊ²⁴
無精打采	bu²⁴⁻²²t͡ɕiɪŋ⁴⁴⁻²²tã⁵³⁻⁴⁴t͡sʰaɪ⁵³
重要	tiɔŋ²²⁻²¹iaʊ²¹
通病	tʰɔŋ⁴⁴⁻²²pĩ²²
支配	t͡ɕi⁴⁴⁻²²pʰue²¹
愛丁堡	aɪ²¹⁻⁵³tiɪŋ⁴⁴⁻²²po⁵³
惹禍	lia⁵³⁻⁴⁴ho²²
彌漫	bi²⁴⁻²²ban²²
山龍	suã⁴⁴⁻²²liɪŋ²⁴
長頷鹿	tŋ̍²⁴⁻²²am²²⁻²¹lɔk̚⁴
守舊	ɕiu⁵³⁻⁴⁴ku²²
尿鱉	lio²²⁻²¹piʔ³²
外海	ɡua²²⁻²¹haɪ⁵³
人民	lin²⁴⁻²²bin²⁴
釁	hin²¹
再次	t͡saɪ²¹⁻⁵³t͡sʰu²¹
福地	hɔk̚³²⁻⁴tue²²
計時	ke²¹⁻⁵³ɕi²⁴
馬德里	mã⁵³⁻⁴⁴tiɪk̚³²⁻⁴li⁵³
歡笑	huan⁴⁴⁻²²t͡ɕʰio²¹
卡車	kʰa⁵³⁻⁴⁴t͡ɕʰia⁴⁴
倉莽	t͡sʰɔŋ⁴⁴⁻²²bɔŋ²²
麥克風	biɪk̚⁴⁻³²kʰiɪk̚³²⁻⁴hɔŋ⁴⁴
電源	tiɛn²²⁻²¹ɡuan²⁴
斷種	tŋ̍²²⁻²¹t͡ɕiɪŋ⁵³
酷	kʰɔk̚³²
肄	i²²
漏網	laʊ²²⁻²¹baŋ²²
輕忽	kʰin⁴⁴⁻²²hut̚³²
當夜	tɔŋ⁴⁴⁻²²ia²²
腿	tʰui⁵³
引述	in⁵³⁻⁴⁴sut̚⁴
貓	ba²⁴
鮀	to²⁴
年底	nĩ²⁴⁻²²tue⁵³
賣雜貨仔	bue²²⁻²¹t͡sap̚⁴⁻³²he²¹⁻⁵³a⁵³
牽引	kʰan⁴⁴⁻²²in⁵³
島	to⁵³
破布	pʰua²¹⁻⁵³pɔ²¹
劇場	kiɔk̚⁴⁻³²tiũ²⁴
烋	haʊ⁴⁴
跺	to²²
廓	kʰɔk̚³²
斫	t͡ɕiɔk̚³²
騂	ɕin⁴⁴
盛世	ɕiɪŋ²²⁻²¹se²¹
居	ku⁴⁴
世家	se²¹⁻⁵³ka⁴⁴
失禮	ɕit̚³²⁻⁴le⁵³
薪資	ɕin⁴⁴⁻²²t͡su⁴⁴
鱠	kue²¹
行駛	hiɪŋ²⁴⁻²²su⁵³
胥	su⁴⁴
婊仔間	piaʊ⁵³⁻⁴⁴a⁵³⁻⁴⁴kiɪŋ⁴⁴
變	piɛn²¹
豆腐皮	taʊ²²⁻²¹hu²²⁻²¹pʰe²⁴
飯桶	pŋ̍²²⁻²¹tʰaŋ⁵³
收束	ɕiu⁴⁴⁻²²sɔk̚³²
伽藍鳥	ka⁴⁴⁻²²lam²⁴⁻²²t͡ɕiaʊ⁵³
石碇	t͡ɕioʔ⁴⁻²¹tiã²¹
錢	t͡ɕiɛn²⁴
貶值	piɛn⁵³⁻⁴⁴tat̚⁴
腥	t͡ɕʰĩ⁴⁴
渾厚	hun²⁴⁻²²hɔ²²
官司	kuã⁴⁴⁻²²ɕi⁴⁴
解凍	kaɪ⁵³⁻⁴⁴tɔŋ²¹
穩重	un⁵³⁻⁴⁴tiɔŋ²²
過	kua²¹
屬於	ɕiɔk̚⁴⁻³²u⁴⁴
顧厝	kɔ²¹⁻⁵³t͡sʰu²¹
銀杏	ɡun²⁴⁻²²hiɪŋ²²
癉	tan⁴⁴
好色	hɔ̃²¹⁻⁵³ɕiɪk̚³²
受訓	ɕiu²²⁻²¹hun²¹
蹤影	t͡sɔŋ⁴⁴⁻²²iɪŋ⁵³
鐵蹄	tʰiɛt̚³²⁻⁴te²⁴
稠密	tiu²⁴⁻²²bit̚⁴
既是	kaʔ³²⁻⁵³ɕi²²
嬋	ɕiɛn²⁴
平潭	piɪŋ²⁴⁻²²tʰam²⁴
路得記	lɔ²²⁻²¹tiɪk̚³²⁻⁴ki²¹
支脈	ki⁴⁴⁻²²mẽʔ⁴
鹹酸甜草	kiam²⁴⁻²²sŋ̍⁴⁴⁻²²tĩ⁴⁴⁻²²t͡sʰaʊ⁵³
細叔	sue²¹⁻⁵³t͡ɕiɪk̚³²
國界	kɔk̚³²⁻⁴kaɪ²¹
城池	ɕiã²⁴⁻²²ti²⁴
腦出血	nãʊ⁵³⁻⁴⁴t͡sʰut̚³²⁻⁴huiʔ³²
燔	huan²⁴
取出	t͡sʰu⁵³⁻⁴⁴t͡sʰut̚³²
目睫毛	bak̚⁴⁻³²t͡ɕiaʔ³²⁻⁵³mŋ̍²⁴
古都	kɔ⁵³⁻⁴⁴tɔ⁴⁴
使	saɪ²¹
唱衰	t͡ɕʰiaŋ²¹⁻⁵³sue⁴⁴
死力	ɕi⁵³⁻⁴⁴lat̚⁴
樂譜	ɡak̚⁴⁻³²pʰɔ⁵³
歡樂	huan⁴⁴⁻²²lɔk̚⁴
臭氧	t͡sʰaʊ²¹⁻⁵³iaŋ²⁴
辭章	su²⁴⁻²²t͡ɕiɔŋ⁴⁴
吭	hɔŋ²⁴
小工	ɕio⁵³⁻⁴⁴kaŋ⁴⁴
配電	pʰue²¹⁻⁵³tiɛn²²
風韻	hɔŋ⁴⁴⁻²²un²²
忌諱	ki²²⁻²¹hui²¹
彼得後書	pi⁵³⁻⁴⁴tiɪk̚³²⁻⁴hɔ²²⁻²¹su⁴⁴
脬	pʰa⁴⁴
穩婆	un⁵³⁻⁴⁴po²⁴
必縫	pit̚³²⁻⁴pʰaŋ²²
留名	laʊ²⁴⁻²²miã²⁴
繳械	kiaʊ⁵³⁻⁴⁴haɪ²²
廳頭	tʰiã⁴⁴⁻²²tʰaʊ²⁴
交互	kaʊ⁴⁴⁻²²hɔ²²
粵語	uat̚⁴⁻³²ɡu⁵³
阿附	o⁴⁴⁻²²hu²¹
抵	ti⁵³
作難	t͡sɔk̚³²⁻⁴lan²²
含笑	ham²⁴⁻²²ɕiaʊ²¹
疾病	t͡ɕit̚⁴⁻³²pĩ²²
首善之區	ɕiu⁵³⁻⁴⁴ɕiɛn²²⁻²¹t͡ɕi⁴⁴⁻²²kʰu⁴⁴
虞	ɡu²⁴
店主	tiam²¹⁻⁵³t͡su⁵³
螞蟻	be⁵³⁻⁴⁴hia²²
走離	t͡saʊ⁵³⁻⁴⁴li²²
啥人	ɕiaŋ²⁴
事蹟	su²²⁻²¹t͡ɕiɪk̚³²
一邊	it̚³²⁻⁴piɛn⁴⁴
紹興	ɕiaʊ²²⁻²¹hiɪŋ⁴⁴
陣容	tin²²⁻²¹iɔŋ²⁴
絕代	t͡suat̚⁴⁻³²taɪ²²
浮世	hu²⁴⁻²²se²¹
興平	hiɪŋ⁴⁴⁻²²piɪŋ²⁴
一廂情願	it̚³²⁻⁴ɕiɔŋ⁴⁴⁻²²t͡ɕiɪŋ²⁴⁻²²ɡuan²²
卡門	kʰaʔ³²⁻⁵³mŋ̍²⁴
琅	lɔŋ²⁴
民治	bin²⁴⁻²²ti²²
進出口	t͡ɕin²¹⁻⁵³t͡sʰut̚³²⁻⁴kʰaʊ⁵³
大尿尿	tua²²⁻²¹lio²²⁻²¹sui²²
抽象	tʰiu⁴⁴⁻²²ɕiɔŋ²²
垵	uã⁴⁴
報幕	po²¹⁻⁵³bɔ²²
支撐	t͡ɕi⁴⁴⁻²²tʰiɪŋ⁴⁴
定期	tiɪŋ²²⁻²¹ki²⁴
生化	ɕiɪŋ⁴⁴⁻²²hua²¹
單詞	tan⁴⁴⁻²²su²⁴
火藥銃	he⁵³⁻⁴⁴ioʔ⁴⁻²¹t͡ɕʰiɪŋ²¹
起勁	kʰi⁵³⁻⁴⁴kiɪŋ²¹
猷	iu²⁴
著急	tioʔ⁴⁻²¹kip̚⁴
反證	huan⁵³⁻⁴⁴t͡ɕiɪŋ²¹
班級	pan⁴⁴⁻²²kip̚³²
驚慌	kiɪŋ⁴⁴⁻²²hɔŋ⁴⁴
協議	hiap̚⁴⁻³²ɡi²²
常人	ɕiɔŋ²⁴⁻²²lin²⁴
廷	tiɪŋ²⁴
福音書	hɔk̚³²⁻⁴im⁴⁴⁻²²t͡su⁴⁴
實實	ɕit̚⁴⁻³²ɕit̚⁴
貨運	he²¹⁻⁵³un²²
支應	t͡ɕi⁴⁴⁻²²iɪŋ²¹
雞跤爪	kue⁴⁴⁻²²kʰa⁴⁴⁻²²liaʊ⁵³
侍	su²²
教育家	kaʊ²¹⁻⁵³iɔk̚⁴⁻³²ka⁴⁴
伐	huaʔ⁴
扣門	kʰa²¹⁻⁵³mŋ̍²⁴
拋車	pʰa⁴⁴⁻²²t͡ɕʰia⁴⁴
拜正	paɪ²¹⁻⁵³t͡ɕiã⁴⁴
碥	piɛn⁵³
機場	ki⁴⁴⁻²²tiũ²⁴
壅	iɔŋ⁴⁴
沉船	tiam²⁴⁻²²t͡sun²⁴
男丁	lam²⁴⁻²²tiɪŋ⁴⁴
研缽	ɡiɪŋ⁵³⁻⁴⁴puaʔ³²
寮	liaʊ²⁴
礬石	huan²⁴⁻²²t͡ɕioʔ⁴
不雅	put̚³²⁻⁴ŋã⁵³
搬海反	puã⁴⁴⁻²²haɪ⁵³⁻⁴⁴huan⁵³
寶貴	po⁵³⁻⁴⁴kui²¹
三角戀	sã⁴⁴⁻²²kak̚³²⁻⁴luan²⁴
鮮卑	ɕiɛn⁴⁴⁻²²pi⁴⁴
猶	aʊ⁵³
運費	un²²⁻²¹hui²¹
椰子樹	ia²⁴⁻²²t͡ɕi⁵³⁻⁴⁴t͡ɕʰiu²²
遊行	iu²⁴⁻²²hiɪŋ²⁴
秀林	ɕiu²¹⁻⁵³lim²⁴
花樣	hue⁴⁴⁻²²iũ²²
邊	pĩ⁴⁴
騰	tʰiɪŋ²⁴
入監	lip̚⁴⁻³²kã⁴⁴
纍	lui²⁴
基隆	ki⁴⁴⁻²²liɔŋ²⁴
公證	kɔŋ⁴⁴⁻²²t͡ɕiɪŋ²¹
正月初一	t͡ɕiã⁴⁴⁻²²ɡeʔ⁴⁻²¹t͡sʰue⁴⁴⁻²²it̚³²
彼當時	hit̚³²⁻⁴taŋ⁴⁴⁻²²ɕi²⁴
漂浮	pʰiaʊ⁴⁴⁻²²hu²⁴
短䘼	te⁵³⁻⁴⁴ŋ̍⁵³
晚餐	buan⁵³⁻⁴⁴t͡sʰan⁴⁴
年成	nĩ²⁴⁻²²ɕiɪŋ²⁴
娛	ɡu²⁴
政綱	t͡ɕiɪŋ²¹⁻⁵³kaŋ⁴⁴
公爵	kɔŋ⁴⁴⁻²²t͡ɕiɔk̚³²
呀	ia⁴⁴
極刑	kiɪk̚⁴⁻³²hiɪŋ²⁴
桂冠	kui²¹⁻⁵³kuan⁴⁴
政局	t͡ɕiɪŋ²¹⁻⁵³kiɪk̚⁴
痚	he⁴⁴
墨魚	bak̚⁴⁻³²hi²⁴
到限	kaʊ²¹⁻⁵³han²²
癖好	pʰiaʔ³²⁻⁵³hɔ̃²¹
噍吧哖	ta⁴⁴⁻²²pa⁴⁴⁻²²nĩ²⁴
捍鼎	huã²²⁻²¹tiã⁵³
封條	hɔŋ⁴⁴⁻²²tiaʊ²⁴
過年	ke²¹⁻⁵³nĩ²⁴
賊仔貨	t͡sʰat̚⁴⁻³²a⁵³⁻⁴⁴he²¹
雪人	seʔ³²⁻⁵³laŋ²⁴
法案	huat̚³²⁻⁴an²¹
報數	po²¹⁻⁵³ɕiaʊ²¹
屑	ɕiɛt̚³²
克	kʰiɪk̚³²
有寡	u²²⁻²¹kua⁵³
鞏	kʰiɔŋ⁵³
例證	le²²⁻²¹t͡ɕiɪŋ²¹
文讀音	bun²⁴⁻²²tʰak̚⁴⁻³²im⁴⁴
別樣	pat̚⁴⁻³²iũ²²
邦交	paŋ⁴⁴⁻²²kaʊ⁴⁴
旒	liu²⁴
抹殺	buat̚⁴⁻³²sat̚³²
桅杆	ui²⁴⁻²²kuãi⁴⁴
出訪	t͡sʰut̚³²⁻⁴hɔŋ⁵³
譴相	kʰiɛn²¹⁻⁵³ɕiũ²¹
