'COS	kˈəz
DONATIONS	dəʊnˈeɪʃənz
DONE	dˈɐn
DONKEY	dˈɒŋki
DONNA	dˈɒnə
DONOR	dˈəʊnə
DONORS	dˈəʊnəz
DONUT	dˈəʊnˌɐt
DOOM	dˈuːm
DOOR	dˈɔː
DOORBELL	dˈɔːbˌɛl
DOORS	dˈɔːz
DOORWAY	dˈɔːwˌeɪ
DOPE	dˈəʊp
DOREEN	dəɹˈiːn
DORIS	dˈɒɹɪs
DORMANT	dˈɔːmənt
DORMICE	dˈɔːmˌaɪs
DORMOUSE	dˈɔːmˌaʊs
DOROTHY	dˈɒɹəθi
DORSET	dˈɔːsɪt
DOS	dˈɒs
DOSAGE	dˈəʊsɪdʒ
DOSE	dˈəʊs
DOT	dˈɒt
DOTH	dˈuːθ
DOUBLE	dˈɐbəl
DOUBLY	dˈɐbli
DOUBT	dˈaʊt
DOUBTFUL	dˈaʊtfəl
DOUBTLESS	dˈaʊtlɪs
DOUBTS	dˈaʊts
DOUG	dˈɐg
DOUGH	dˈəʊ
DOUGHNUT	dˈəʊnˌɐt
DOUGHTY	dˈaʊti
DOUGLAS	dˈɐgləs
DOUR(1)	dˈaʊə
DOUR(2)	dˈʊə
DOVE	dˈɐv
DOVER	dˈəʊvə
DOWN	dˈaʊn
DOWNLOAD	dˈaʊnlˌəʊd
DOWNLOADABLE	dˈaʊnlˌəʊdɪbəl
DOWNLOADED	dˈaʊnlˌəʊdɪd
DOWNLOADING	dˈaʊnlˌəʊdɪŋ
DOWNLOADS	dˈaʊnlˌəʊdz
DOWNSTAIRS(1)	dˈaʊnstˌɛəz
DOWNSTAIRS(2)	daʊnstˈɛəz
DOWNTOWN	dˈaʊntˌaʊn
DOWNWARD	dˈaʊnwəd
DOWNWARDS	dˈaʊnwədz
DOWRY(1)	dˈaʊɹi
DOWRY(2)	dˈaʊəɹi
DOZE	dˈəʊz
DOZEN	dˈɐzən
DOZENS	dˈɐzənz
DRAB	dɹˈæb
DRAFT	dɹˈɑːft
DRAG	dɹˈæg
DRAGGED	dɹˈægd
DRAGON	dɹˈægən
DRAIN	dɹˈeɪn
DRAINAGE	dɹˈeɪnɪdʒ
DRAKE	dɹˈeɪk
DRAMA	dɹˈɑːmə
DRAMATIC	dɹəmˈætɪk
DRAMATICALLY(1)	dɹəmˈætɪkli
DRAMATICALLY(2)	dɹəmˈætɪkəli
DRANK	dɹˈæŋk
DRAPE	dɹˈeɪp
DRASTIC	dɹˈæstɪk
DRAUGHT	dɹˈɑːft
DRAW	dɹˈɔː
DRAWER	dɹˈɔːə
DRAWERS	dɹˈɔːəz
DRAWING	dɹˈɔːɪŋ
DRAWINGS	dɹˈɔːɪŋz
DRAWL	dɹˈɔːl
DRAWN	dɹˈɔːn
DRAWS	dɹˈɔːz
DREAD	dɹˈɛd
DREADFUL	dɹˈɛdfəl
DREAM	dɹˈiːm
DREAMED	dɹˈiːmd
DREAMING	dɹˈiːmɪŋ
DREAMS	dɹˈiːmz
DREAMT	dɹˈɛmt
DRESS	dɹˈɛs
DRESSED	dɹˈɛst
DRESSES	dɹˈɛsɪz
DRESSING	dɹˈɛsɪŋ
DREW	dɹˈuː
DRIED	dɹˈaɪd
DRIES	dɹˈaɪz
DRIFT	dɹˈɪft
DRILL	dɹˈɪl
DRILLING	dɹˈɪlɪŋ
DRINK	dɹˈɪŋk
DRINKING	dɹˈɪŋkɪŋ
DRINKS	dɹˈɪŋks
DRIP	dɹˈɪp
DRIVE	dɹˈaɪv
DRIVEN	dɹˈɪvən
DRIVER	dɹˈaɪvə
DRIVERS	dɹˈaɪvəz
DRIVES	dɹˈaɪvz
DRIVING	dɹˈaɪvɪŋ
DRONE	dɹˈəʊn
DROOL	dɹˈuːl
DROOP	dɹˈuːp
DROP	dɹˈɒp
DROPPED	dɹˈɒpt
DROPPING	dɹˈɒpɪŋ
DROPS	dɹˈɒps
DROUGHT	dɹˈaʊt
DROVE	dɹˈəʊv
DROWN	dɹˈaʊn
DROWNED	dɹˈaʊnd
DRUG	dɹˈɐg
DRUGS	dɹˈɐgz
DRUM	dɹˈɐm
DRUMS	dɹˈɐmz
DRUNK	dɹˈɐŋk
DRY	dɹˈaɪ
DRYER	dɹˈaɪə
DUAL	djˈuːəl
DUB	dˈɐb
DUBAI	duːbˈaɪ
DUBIOUS	djˈuːbɪəs
DUBLIN	dˈɐblɪn
DUCK	dˈɐk
DUCKS	dˈɐks
DUD	dˈɐd
DUDE	dˈuːd
DUDLEY	dˈɐdli
DUE	djˈuː
DUEL	djˈuːəl
DUES	djˈuːz
DUET	djuːˈɛt
DUG	dˈɐg
DUH	dˈɜː
DUKE	djˈuːk
DULL	dˈɐl
DULWICH	dˈɐlɪtʃ
DULY	djˈuːli
DUMB	dˈɐm
DUMFRIES	dɐmfɹˈiːs
DUMMY	dˈɐmi
DUMP	dˈɐmp
DUMPED	dˈɐmpt
DUMPLINGS	dˈɐmplɪŋz
DUN	dˈɐn
DUNBARTONSHIRE	dɐnbˈɑːtənʃə
DUNCAN	dˈɐŋkən
DUNDEE	dɐndˈiː
DUNE	djˈuːn
DUNG	dˈɐŋ
DUNGEON	dˈɐndʒən
DUNK	dˈɐŋk
DUO	djˈuːəʊ
DUPE	djˈuːp
DUPLICATE(1)	djˈuːplɪkɪt
DUPLICATE(2)	djˈuːplɪkˌeɪt
DURABLE	djˈʊəɹəbəl
DURATION	djʊɹˈeɪʃən
DURHAM	dˈɐɹəm
DURING	djˈʊəɹɪŋ
DUSK	dˈɐsk
DUST	dˈɐst
DUSTBIN	dˈɐstbɪn
DUSTY	dˈɐsti
DUTCH	dˈɐtʃ
DUTIES	djˈuːtiz
DUTY	djˈuːti
DUVET	dˈuːveɪ
DWARF	dwˈɔːf
DWARFS	dwˈɔːfs
DWARVES	dwˈɔːvz
DWELL	dwˈɛl
DWELLED	dwˈɛld
DWELLING	dwˈɛlɪŋ
DWELLINGS	dwˈɛlɪŋz
DWELT	dwˈɛlt
DYE	daɪ
DYED	daɪd
DYEING	dˈaɪɪŋ
DYES	daɪz
DYING	dˈaɪɪŋ
DYKE	dˈaɪk
DYLAN	dˈɪlən
DYNAMIC	daɪnˈæmɪk
DYNAMICS	daɪnˈæmɪks
DYNAMITE	dˈaɪnəmˌaɪt
DYNASTY	dˈɪnəsti
E	ˈiː
E'S	ˈiːz
EACH	ˈiːtʃ
EAGER	ˈiːgə
EAGLE	ˈiːgəl
EAGLES	ˈiːgəlz
EALING	ˈiːlɪŋ
EAR	ˈɪə
EARL	ˈɜːl
EARLIER	ˈɜːlɪə
EARLIEST	ˈɜːlɪəst
EARLY	ˈɜːli
EARN	ˈɜːn
EARNED	ˈɜːnd
EARNING	ˈɜːnɪŋ
EARNINGS	ˈɜːnɪŋz
EARPHONES	ˈɪəfˌəʊnz
EARRINGS	ˈɪəɹɪŋz
EARS	ˈɪəz
EARTH	ˈɜːθ
EARTHQUAKE	ˈɜːθkwˌeɪk
EASE	ˈiːz
EASIER	ˈiːziːə
EASIEST	ˈiːziɪst
EASILY	ˈiːzɪli
EAST	ˈiːst
EASTBOURNE	ˈiːstbˌɔːn
EASTENDERS	ˈiːstˌɛndəz
EASTER	ˈiːstə
EASTERN	ˈiːstən
EASY	ˈiːzi
EAT	ˈiːt
EATEN	ˈiːtən
EATING	ˈiːtɪŋ
EATS	ˈiːts
EAVE	ˈiːv
EAVES	ˈiːvz
EAVESDROP	ˈiːvzdɹˌɒp
EBAY	ˈiːbˌeɪ
EBB	ˈɛb
EBONY	ˈɛbəni
EBOOKS	ˈiːbˌʊks
ECCLESIASTICAL	ɪklɪzɪˈæstɪkəl
ECHO	ˈɛkəʊ
ECHOES	ˈɛkəʊz
ECKS	ˈɛks
ECKSES	ˈɛksɪz
ECLIPSE	ɪklˈɪps
ECO(1)	ˈiːkəʊ
ECO(2)	ˈɛkəʊ
ECOLOGICAL(1)	ˌiːkəlˈɒdʒɪkəl
ECOLOGICAL(2)	ˌɛkəlˈɒdʒɪkəl
ECOLOGY	ɪkˈɒlədʒi
ECOMMERCE	ˈiːkˌɒmɜːs
ECONOMIC(1)	ˌiːkənˈɒmɪk
ECONOMIC(2)	ˌɛkənˈɒmɪk
ECONOMICALLY(1)	ˌɛkənˈɒmɪkli
ECONOMICALLY(2)	ˌiːkənˈɒmɪkli
ECONOMICS(1)	ˌiːkənˈɒmɪks
ECONOMICS(2)	ˌɛkənˈɒmɪks
ECONOMIES	ɪkˈɒnəmiz
ECONOMIST	ɪkˈɒnəmɪst
ECONOMISTS	ɪkˈɒnəmɪsts
ECONOMY	ɪkˈɒnəmi
ECSTASY	ˈɛkstəsi
ECSTATIC	ɛkstˈætɪk
ECUADOR	ˈɛkwədˌɔː
EDDIE	ˈɛdi
EDEN	ˈiːdən
EDGAR	ˈɛdgə
EDGE	ˈɛdʒ
EDGES	ˈɛdʒɪz
EDGY	ˈɛdʒi
EDINBURGH	ˈɛdɪnbɹə
EDIT	ˈɛdɪt
EDITED	ˈɛdɪtɪd
EDITH	ˈiːdɪθ
EDITING	ˈɛdɪtɪŋ
EDITION	ɪdˈɪʃən
EDITIONS	ɪdˈɪʃənz
EDITOR	ˈɛdɪtə
EDITORIAL	ˌɛdɪtˈɔːɹɪəl
EDITORIALS	ˌɛdɪtˈɔːɹɪəlz
EDITORS	ˈɛdɪtəz
EDMUND	ˈɛdmənd
EDNA	ˈɛdnə
EDUCATE	ˈɛdjʊkˌeɪt
EDUCATED	ˈɛdjʊkˌeɪtɪd
EDUCATION	ˌɛdjʊkˈeɪʃən
EDUCATIONAL	ˌɛdjʊkˈeɪʃənəl
EDUCATORS	ˈɛdjʊkˌeɪtəz
EDWARD	ˈɛdwəd
EDWARDS	ˈɛdwədz
EERIE	ˈɪəɹi
EF	ˈɛf
EFFECT	ɪfˈɛkt
EFFECTIVE	ɪfˈɛktɪv
EFFECTIVELY	ɪfˈɛktɪvli
EFFECTIVENESS	ɪfˈɛktɪvnɪs
EFFECTS	ɪfˈɛkts
EFFED	ˈɛft
EFFICIENCY	ɪfˈɪʃənsi
EFFICIENT	ɪfˈɪʃənt
EFFICIENTLY	ɪfˈɪʃəntli
EFFORT	ˈɛfət
EFFORTS	ˈɛfəts
EFS	ˈɛfs
EGG	ˈɛg
EGGS	ˈɛgz
EGO	ˈiːgəʊ
EGYPT	ˈiːdʒɪpt
EGYPTIAN	ɪdʒˈɪpʃən
EH	ˈeɪ
EIGHT	ˈeɪt
EIGHTEEN(1)	ˈeɪtiːn
EIGHTEEN(2)	eɪtˈiːn
EIGHTEENTH(1)	ˈeɪtiːnθ
EIGHTEENTH(2)	eɪtˈiːnθ
EIGHTH	ˈeɪtθ
EIGHTIES	ˈeɪtiz
EIGHTS	ˈeɪts
EIGHTY	ˈeɪti
EILEEN	aɪlˈiːn
EIRE	ˈɛəɹə
EITHER(1)	ˈaɪðə
EITHER(2)	ˈiːðə
EJACULATION	ɪdʒˌækjʊlˈeɪʃən
EJECT	ɪdʒˈɛkt
EL	ˈɛl
ELABORATE(1)	ɪlˈæbəɹɪt
ELABORATE(2)	ɪlˈæbəɹˌeɪt
ELAINE(1)	əlˈeɪn
ELAINE(2)	ɪlˈeɪn
ELASTIC	ɪlˈæstɪk
ELASTICITY(1)	ɪlæstˈɪsɪti
ELASTICITY(2)	ˌiːlæstˈɪsɪti
ELBOW	ˈɛlbˌəʊ
ELDER	ˈɛldə
ELDERLY	ˈɛldəli
ELDERS	ˈɛldəz
ELDEST	ˈɛldɪst
ELEANOR(1)	ˈɛlɪnɔː
ELEANOR(2)	ˈɛlɪnə
ELECT	ɪlˈɛkt
ELECTED	ɪlˈɛktɪd
ELECTION	ɪlˈɛkʃən
ELECTIONS	ɪlˈɛkʃənz
ELECTORAL	ɪlˈɛktəɹəl
ELECTORATE	ɪlˈɛktəɹɪt
ELECTRIC	ɪlˈɛktɹɪk
ELECTRICAL	ɪlˈɛktɹɪkəl
ELECTRICITY	ɪlˌɛktɹˈɪsɪti
ELECTRO	ɪlˈɛktɹəʊ
ELECTRON	ɪlˈɛktɹɒn
ELECTRONIC	ɪlˌɛktɹˈɒnɪk
ELECTRONICS	ɪlˌɛktɹˈɒnɪks
ELEGANT	ˈɛlɪgənt
ELEMENT	ˈɛlɪmənt
ELEMENTARY(1)	ˌɛlɪmˈɛntəɹi
ELEMENTARY(2)	ˌɛlɪmˈɛntɹi
ELEMENTS	ˈɛlɪmənts
ELEPHANT	ˈɛlɪfənt
ELEVATE	ˈɛlɪvˌeɪt
ELEVATION	ˌɛlɪvˈeɪʃən
ELEVATOR	ˈɛlɪvˌeɪtə
ELEVEN	ɪlˈɛvən
ELEVENSES	ɪlˈɛvənzɪz
ELEVENTH	ɪlˈɛvənθ
ELF	ˈɛlf
ELFS	ˈɛlfs
ELIGIBILITY	ˌɛlɪdʒɪbˈɪlɪti
ELIGIBLE	ˈɛlɪdʒɪbəl
ELIMINATE	ɪlˈɪmɪnˌeɪt
ELIMINATION	ɪlˌɪmɪnˈeɪʃən
ELIOT	ˈɛlɪət
ELITE(1)	ɪlˈiːt
ELITE(2)	eɪlˈiːt
ELIZABETH	ɪlˈɪzəbəθ
ELK	ˈɛlk
ELLEN	ˈɛlən
ELLIE	ˈɛli
ELLIOTT	ˈɛlɪət
ELLIPSE	ɪlˈɪps
ELLIPSES	ɪlˈɪpsiːz
ELLIPSIS	ɪlˈɪpsɪs
ELM	ˈɛlm
ELS	ˈɛlz
ELSE	ˈɛls
ELSEWHERE	ˈɛlswˌɛə
ELUDE	ɪlˈuːd
ELVES	ˈɛlvz
ELVIS	ˈɛlvɪs
ELY	ˈiːli
EM	ˈɛm
EMAIL	ˈiːmeɪl
EMAILS	ˈiːmeɪlz
EMBANKMENT	ɪmbˈæŋkmənt
EMBARK(1)	ɪmbˈɑːk
EMBARK(2)	ɛmbˈɑːk
EMBARRASS	ɪmbˈæɹəs
EMBARRASSED	ɪmbˈæɹəst
EMBARRASSING	ɪmbˈæɹəsɪŋ
EMBARRASSMENT	ɪmbˈæɹəsmənt
EMBASSY	ˈɛmbəsi
EMBED	ɛmbˈɛd
EMBEDDED	ɛmbˈɛdɪd
EMBODY	ɪmbˈɒdi
EMBRACE(1)	ɛmbɹˈeɪs
EMBRACE(2)	ɪmbɹˈeɪs
EMBROILED	ɪmbɹˈɔɪld
EMERALD(1)	ˈɛmɹəld
EMERALD(2)	ˈɛməɹəld
EMERGE	ɪmˈɜːdʒ
EMERGED	ɪmˈɜːdʒd
EMERGENCE	ɪmˈɜːdʒəns
EMERGENCY	ɪmˈɜːdʒənsi
EMERGES	ɪmˈɜːdʒɪz
EMERGING	ɪmˈɜːdʒɪŋ
EMILY	ˈɛmɪli
EMINENTLY	ˈɛmɪnəntli
EMIRATES	ˈɛmɪɹɪts
EMISSION	ɪmˈɪʃən
EMISSIONS	ɪmˈɪʃənz
EMIT	ɪmˈɪt
EMMA	ˈɛmə
EMOTION	ɪmˈəʊʃən
EMOTIONAL	ɪmˈəʊʃənəl
EMOTIONS	ɪmˈəʊʃənz
EMPEROR	ˈɛmpəɹə
EMPHASIS	ˈɛmfəsɪs
EMPHASISE	ˈɛmfəsˌaɪz
EMPHASIZE	ˈɛmfəsˌaɪz
EMPIRE	ˈɛmpaɪə
EMPIRICAL	ˌɛmpˈɪɹɪkəl
EMPLOY(1)	ɪmplˈɔɪ
EMPLOY(2)	ɛmplˈɔɪ
EMPLOYED(1)	ɛmplˈɔɪd
EMPLOYED(2)	ɪmplˈɔɪd
EMPLOYEE(1)	ɛmplˈɔɪi
EMPLOYEE(2)	ɪmplˈɔɪi
EMPLOYEES(1)	ɛmplˈɔɪiz
EMPLOYEES(2)	ɪmplˈɔɪiz
EMPLOYER(1)	ɛmplˈɔɪə
EMPLOYER(2)	ɪmplˈɔɪə
EMPLOYERS(1)	ɛmplˈɔɪəz
EMPLOYERS(2)	ɪmplˈɔɪəz
EMPLOYMENT(1)	ɛmplˈɔɪmənt
EMPLOYMENT(2)	ɪmplˈɔɪmənt
EMPTY(1)	ˈɛmpti
EMPTY(2)	ˈɛmti
EMS	ˈɛmz
EN	ˈɛn
ENABLE(1)	ɛnˈeɪbəl
ENABLE(2)	ɪnˈeɪbəl
ENABLED(1)	ɪnˈeɪbəld
ENABLED(2)	ɛnˈeɪbəld
ENABLES(1)	ɛnˈeɪbəlz
ENABLES(2)	ɪnˈeɪbəlz
ENABLING(1)	ɪnˈeɪblɪŋ
ENABLING(2)	ɛnˈeɪbəlɪŋ
ENACT	ɪnˈækt
ENCLOSE(1)	ɪnklˈəʊz
ENCLOSE(2)	ɛnklˈəʊz
ENCLOSED(1)	ɪnklˈəʊzd
ENCLOSED(2)	ɛnklˈəʊzd
ENCLOSURE(1)	ɪnklˈəʊʒə
ENCLOSURE(2)	ɛnklˈəʊʒə
ENCODE	ɪnkˈəʊd
ENCODED	ɪnkˈəʊdɪd
ENCODING(1)	ɪnkˈəʊdɪŋ
ENCODING(2)	ɛnkˈəʊdɪŋ
ENCOMPASS	ɪnkˈɐmpəs
ENCOUNTER	ɪnkˈaʊntə
ENCOUNTERED	ɪnkˈaʊntəd
ENCOURAGE(1)	ɛnkˈɐɹɪdʒ
ENCOURAGE(2)	ɪnkˈɐɹɪdʒ
ENCOURAGED	ɛnkˈɐɹɪdʒd
ENCOURAGEMENT	ɛnkˈɐɹɪdʒmənt
ENCOURAGES(1)	ɪnkˈɐɹɪdʒɪz
ENCOURAGES(2)	ɛnkˈɐɹɪdʒɪz
ENCOURAGING(1)	ɛnkˈɐɹɪdʒɪŋ
ENCOURAGING(2)	ɪnkˈɐɹɪdʒɪŋ
ENCRYPTION	ɛnkɹˈɪpʃən
ENCYCLOPEDIA(1)	ɛnsˌaɪkləʊpˈiːdɪə
ENCYCLOPEDIA(2)	ɛnsˌaɪkləpˈiːdɪə
ENCYCLOPEDIA(3)	ɪnsˌaɪkləʊpˈiːdɪə
ENCYCLOPEDIA(4)	ɪnsˌaɪkləpˈiːdɪə
END	ˈɛnd
ENDANGERED(1)	ɛndˈeɪndʒəd
ENDANGERED(2)	ɪndˈeɪndʒəd
ENDEAVOUR	ɪndˈɛvə
ENDED	ˈɛndɪd
ENDING	ˈɛndɪŋ
ENDLESS	ˈɛndlɪs
ENDORSE	ɛndˈɔːs
ENDORSED	ɛndˈɔːst
ENDORSEMENT	ɛndˈɔːsmənt
ENDOW	ɪndˈaʊ
ENDS	ˈɛndz
ENDURANCE	ɪndjˈʊəɹəns
ENDURE	ɪndjˈʊə
ENEMIES	ˈɛnəmiz
ENEMY	ˈɛnəmi
ENERGIES	ˈɛnədʒiz
ENERGY	ˈɛnədʒi
ENFIELD	ˈɛnfiːld
ENFORCE	ɛnfˈɔːs
ENFORCEMENT	ɪnfˈɔːsmənt
ENGAGE(1)	ɪngˈeɪdʒ
ENGAGE(2)	ɛngˈeɪdʒ
ENGAGED(1)	ɪngˈeɪdʒd
ENGAGED(2)	ɛngˈeɪdʒd
ENGAGEMENT	ɪngˈeɪdʒmənt
ENGAGING(1)	ɛngˈeɪdʒɪŋ
ENGAGING(2)	ɪngˈeɪdʒɪŋ
ENGINE	ˈɛndʒɪn
ENGINEER	ˌɛndʒɪnˈɪə
ENGINEERING	ˌɛndʒɪnˈɪəɹɪŋ
ENGINEERS	ˌɛndʒɪnˈɪəz
ENGINES	ˈɛndʒɪnz
ENGLAND	ˈɪŋglənd
ENGLISH	ˈɪŋglɪʃ
ENGLISHMAN	ˈɪŋglɪʃmən
ENGLISHMEN	ˈɪŋglɪʃmən
ENHANCE(1)	ɪnhˈɑːns
ENHANCE(2)	ɛnhˈɑːns
ENHANCED(1)	ɪnhˈɑːnst
ENHANCED(2)	ɛnhˈɑːnst
ENHANCEMENT(1)	ɪnhˈɑːnsmənt
ENHANCEMENT(2)	ɛnhˈɑːnsmənt
ENHANCEMENTS	ɪnhˈɑːnsmənts
ENHANCING	ɪnhˈɑːnsɪŋ
ENJOY(1)	ɛndʒˈɔɪ
ENJOY(2)	ɪndʒˈɔɪ
ENJOYABLE	ɛndʒˈɔɪəbəl
ENJOYED(1)	ɛndʒˈɔɪd
ENJOYED(2)	ɪndʒˈɔɪd
ENJOYING(1)	ɛndʒˈɔɪɪŋ
ENJOYING(2)	ɪndʒˈɔɪɪŋ
ENJOYMENT(1)	ɛndʒˈɔɪmənt
ENJOYMENT(2)	ɪndʒˈɔɪmənt
ENJOYS(1)	ɛndʒˈɔɪz
ENJOYS(2)	ɪndʒˈɔɪz
ENLARGE(1)	ɪnlˈɑːdʒ
ENLARGE(2)	ɛnlˈɑːdʒ
ENLARGEMENT(1)	ɪnlˈɑːdʒmənt
ENLARGEMENT(2)	ɛnlˈɑːdʒmənt
ENORMOUS	ɪnˈɔːməs
ENORMOUSLY	ɪnˈɔːməsli
ENOUGH	ɪnˈɐf
ENQUIRE	ɪnkwˈaɪə
ENQUIRED	ɪnkwˈaɪəd
ENQUIRIES	ɪnkwˈaɪəɹiz
ENQUIRY	ɪnkwˈaɪəɹi
ENROL	ɛnɹˈəʊl
ENROLL	ɛnɹˈəʊl
ENROLLED	ɛnɹˈəʊld
ENROLLMENT	ɛnɹˈəʊlmənt
ENS	ˈɛnz
ENSCONCE	ɪnskˈɒns
ENSEMBLE	ɒnsˈɒmbəl
ENSUE	ɪnsjˈuː
ENSURE(1)	ɛnʃˈɔː
ENSURE(2)	ɪnʃˈɔː
ENSURES(1)	ɪnʃˈɔːz
ENSURES(2)	ɛnʃˈɔːz
ENSURING(1)	ɛnʃˈɔːɹɪŋ
ENSURING(2)	ɪnʃˈɔːɹɪŋ
ENTAIL	ɪntˈeɪl
ENTAILS	ɪntˈeɪlz
ENTER	ˈɛntə
ENTERED	ˈɛntəd
ENTERING	ˈɛntəɹɪŋ
ENTERPRISE	ˈɛntəpɹˌaɪz
ENTERPRISES	ˈɛntəpɹˌaɪzɪz
ENTERS	ˈɛntəz
ENTERTAIN	ˌɛntətˈeɪn
ENTERTAINING	ˌɛntətˈeɪnɪŋ
ENTERTAINMENT	ˌɛntətˈeɪnmənt
ENTERTAINS	ˌɛntətˈeɪnz
ENTHUSIASM	ɪnθˈuːzɪˌæzəm
ENTHUSIAST	ɪnθˈuːzɪˌæst
ENTHUSIASTIC	ɪnθjˌuːzɪˈæstɪk
ENTIRE	ɪntˈaɪə
ENTIRELY	ɪntˈaɪəli
ENTITIES	ˈɛntɪtiz
ENTITLE	ɛntˈaɪtəl
ENTITLED	ɛntˈaɪtəld
ENTITY	ˈɛntɪti
ENTRANCE	ˈɛntɹəns
ENTREPRENEUR	ˌɒntɹəpɹənˈɜː
ENTREPRENEURS	ˌɒntɹəpɹənˈɜːz
ENTRIES	ˈɛntɹiz
ENTRY	ˈɛntɹi
ENVELOPE	ˈɛnvəlˌəʊp
ENVELOPES	ˈɛnvəlˌəʊps
ENVIRONMENT	ɪnvˈaɪɹənmənt
ENVIRONMENTAL	ɪnvˌaɪɹənmˈɛntəl
ENVIRONMENTS	ɪnvˈaɪɹənmənts
ENVISAGE	ɪnvˈɪzɪdʒ
ENVISAGED	ɪnvˈɪzɪdʒd
ENVOY	ˈɛnvɔɪ
ENVY	ˈɛnvi
ENZYME	ˈɛnzˌaɪm
EPIC	ˈɛpɪk
EPIDEMIC	ɛpɪdˈɛmɪk
EPIDEMIOLOGY	ˌɛpɪdˌiːmɪˈɒlədʒi
EPISODE	ˈɛpɪsˌəʊd
EPISODES	ˈɛpɪsˌəʊdz
EPITOME	ɪpˈɪtəmi
EPOCH	ˈiːpɒk
EQUAL	ˈiːkwəl
EQUALITY	ɪkwˈɒlɪti
EQUALLY	ˈiːkwəli
EQUALS	ˈiːkwəlz
EQUATION	ɪkwˈeɪʒən
EQUATIONS	ɪkwˈeɪʒənz
EQUILIBRIUM	ˌiːkwɪlˈɪbɹɪəm
EQUIP	ɪkwˈɪp
EQUIPMENT	ɪkwˈɪpmənt
EQUIPPED	ɪkwˈɪpt
EQUITY	ˈɛkwɪti
EQUIVALENCE	ɪkwˈɪvələns
EQUIVALENT	ɪkwˈɪvələnt
ERA	ˈɪəɹə
ERASE	ɪɹˈeɪz
ERECT	ɪɹˈɛkt
ERIC	ˈɛɹɪk
ERICSSON	ˈɛɹɪksən
ERIK	ˈɛɹɪk
ERNEST	ˈɜːnɪst
ERODE	ɪɹˈəʊd
EROSION	ɪɹˈəʊʒən
EROTIC	ɪɹˈɒtɪk
EROTICA	ɪɹˈɒtɪkə
ERR	ˈɜː
ERROR	ˈɛɹə
ERRORS	ˈɛɹəz
ERUPT	ɪɹˈɐpt
ERUPTION	ɪɹˈɐpʃən
ESCAPE	ɪskˈeɪp
ESCAPED	ɪskˈeɪpt
ESCORT(1)	ˈɛskˌɔːt
ESCORT(2)	ɪskˈɔːt
ESCORTS(1)	ˈɛskɔːts
ESCORTS(2)	ɪskˈɔːts
ESPECIALLY(1)	ɪspˈɛʃli
ESPECIALLY(2)	ɪspˈɛʃəli
ESPRESSO	ɛspɹˈɛsəʊ
ESS	ˈɛs
ESSAY(1)	ˈɛsˌeɪ
ESSAY(2)	ɛsˈeɪ
ESSAYS(1)	ˈɛsˌeɪz
ESSAYS(2)	ɛsˈeɪz
ESSENCE	ˈɛsəns
ESSENTIAL	ɪsˈɛnʃəl
ESSENTIALLY	ɪsˈɛnʃəli
ESSENTIALS	ɪsˈɛnʃəlz
ESSES	ˈɛsɪz
ESSEX	ˈɛsɪks
ESTABLISH	ɪstˈæblɪʃ
ESTABLISHED	ɪstˈæblɪʃt
ESTABLISHING	ɪstˈæblɪʃɪŋ
ESTABLISHMENT	ɪstˈæblɪʃmənt
ESTABLISHMENTS(1)	ɛstˈæblɪʃmənts
ESTABLISHMENTS(2)	ɪstˈæblɪʃmənts
ESTATE	ɪstˈeɪt
ESTATES	ɪstˈeɪts
ESTIMATE(1)	ˈɛstɪmɪt
ESTIMATE(2)	ˈɛstɪmˌeɪt
ESTIMATED	ˈɛstɪmˌeɪtɪd
ESTIMATES(1)	ˈɛstɪmɪts
ESTIMATES(2)	ˈɛstɪmˌeɪts
ESTIMATION	ˌɛstɪmˈeɪʃən
ESTONIA	ɛstˈəʊnɪə
ET	ˈɛt
ETCETERA	ɪtsˈɛtəɹə
ETCH	ˈɛtʃ
ETERNAL	ɪtˈɜːnəl
ETERNITY	ɪtˈɜːnɪti
ETHERNET	ˈiːθənˌɛt
ETHICAL	ˈɛθɪkəl
ETHICS	ˈɛθɪks
ETHIOPIA	ˌiːθɪˈəʊpɪə
ETHNIC	ˈɛθnɪk
ETHNICITY	ɛθnˈɪsɪti
ETHOS	ˈiːθˈɒs
ETON	ˈiːtən
EUGENE(1)	juːdʒˈiːn
EUGENE(2)	jˈuːdʒiːn
EUREKA	jʊɹˈiːkə
EURO	jˈʊəɹəʊ
EUROPE	jˈʊəɹəp
EUROPEAN	jˌʊəɹəpˈiːən
EUROS	jˈʊəɹəʊz
EVA	ˈiːvə
EVADE	ɪvˈeɪd
EVALUATE	ɪvˈæljʊˌeɪt
EVALUATED	ɪvˈæljʊˌeɪtɪd
EVALUATING	ɪvˈæljʊˌeɪtɪŋ
EVALUATION	ɪvˌæljʊˈeɪʃən
EVALUATIONS	ɪvˌæljʊˈeɪʃənz
EVANESCENCE	ˌɛvənˈɛsəns
EVANS	ˈɛvənz
EVE	ˈiːv
EVELYN(1)	ˈiːvəlɪn
EVELYN(2)	ˈɛvəlɪn
EVEN	ˈiːvən
EVENING	ˈiːvnɪŋ
EVENINGS	ˈiːvnɪŋz
EVENLY	ˈiːvənli
EVENT	ɪvˈɛnt
EVENTS	ɪvˈɛnts
EVENTUAL	ɪvˈɛntʃʊəl
EVENTUALLY	ɪvˈɛntʃʊəli
EVER	ˈɛvə
EVERY(1)	ˈɛvɹi
