ئابووری	.ʔa.bû.rî
بەراوەرد	.be.ra.werd
بەربڵاوانە	.ber.bi.ła.wa.ne
بەربەرەکانیی	.ber.be.re.ka.nîy
بەربەست	.ber.best
بەرپرس	.ber.pirs
بەرپرسەکانی	.ber.pir.se.ka.nî
بەرتیلی	.ber.tî.lî
بەرتیلەوە	.ber.tî.le.we
بەرچاو	.ber.çaw
بەرچاوترن	.ber.çaw.ti.rin
بەرچاوی	.ber.ça.wî
بەردرام	.ber.di.ram
بەردەگرێ	.ber.deg.rê
بەردەوام	.ber.de.wam
بەردەوامی	.ber.de.wa.mî
بەرز	.berz
بەرزتری	.berz.ti.rî
بەرقەوڵ	.ber.qewł
بەرکراون	.ber.ki.ra.win
بەرگری	.ber.gi.rî
بەرگریی	.ber.gi.rîy
بەرگرییان	.ber.gi.rî.yan
بەرگرییەک	.ber.gi.rî.yek
بەرگرییەکان	.ber.gi.rî.ye.kan
بەرگەکانی	.ber.ge.ka.nî
بەرنامەگەلەش	.ber.na.me.ge.leş
بەرنامەی	.ber.na.mey
بەرهەڵست	.ber.he.łist
بەرهەڵستی	.ber.he.łis.tî
بەرهەڵستە	.ber.he.łis.te
بەرهەڵستەکان	.ber.he.łis.te.kan
بەرهەم	.ber.hem
بەرهەمان	.ber.he.man
بەرهەمانێک	.ber.he.ma.nêk
بەرهەمانی	.ber.he.ma.nî
بەرهەمانە	.ber.he.ma.ne
بەرهەمهێنانی	.ber.hem.hê.na.nî
بەرهەمێک	.ber.he.mêk
بەرهەمێکی	.ber.he.mê.kî
بەرهەمی	.ber.he.mî
بەرهەمیان	.ber.hem.yan
بەرهەمە	.ber.he.me
بەرهەمەکان	.ber.he.me.kan
بەرهەمەکانی	.ber.he.me.ka.nî
بەرهەمەکانیان	.ber.he.me.kan.yan
بەرهەمەکە	.ber.he.me.ke
بەرهەمەکەی	.ber.he.me.key
بەرێ	.be.rê
بەرێوەبەری	.be.rê.we.be.rî
بەریان	.ber.yan
بەرین	.be.rîn
بەرینایی	.be.rî.na.yî
بەرە	.be.re
بەرەکانیان	.be.re.kan.yan
بەرەنگارییەکان	.be.ren.ga.rî.ye.kan
بەرەو	.be.rew
بەرەوە	.be.re.we
بەڕاستی	.be.řas.tî
بەڕای	.be.řay
بەڕێز	.be.řêz
بەڕێوبەرەکانی	.be.řêw.be.re.ka.nî
بەڕێوە	.be.řê.we
بەڕێوەبربوو	.be.řê.we.bi.ri.bû
بەڕێوەبەران	.be.řê.we.be.ran
بەڕێوەبەرانی	.be.řê.we.be.ra.nî
بەڕێوەبەرانیکی	.be.řê.we.be.ra.nî.kî
بەڕێوەبەرایەتی	.be.řê.we.be.ra.ye.tî
بەڕێوەبەرایەتیی	.be.řê.we.be.ra.ye.tîy
بەڕێوەبەرایەتییە	.be.řê.we.be.ra.ye.tî.ye
بەڕێوەبەرایەتییەکان	.be.řê.we.be.ra.ye.tî.ye.kan
بەڕێوەبەرایەتییەکە	.be.řê.we.be.ra.ye.tî.ye.ke
بەڕێوەبەری	.be.řê.we.be.rî
بەڕێوەبەریی	.be.řê.we.be.rîy
بەڕێوەبەرە	.be.řê.we.be.re
بەڕێوەبەرەکان	.be.řê.we.be.re.kan
بەڕێوەبەرەکانی	.be.řê.we.be.re.ka.nî
بەڕێوەچوو	.be.řê.we.çû
بەڕێوەدەبران	.be.řê.we.de.bi.ran
بەڕێوەدەچوو	.be.řê.we.de.çû
بەڕێوەدەچوون	.be.řê.we.de.çûn
بەڕێوەی	.be.řê.wey
بەڕێوەیان	.be.řê.we.yan
بەزۆر	.be.zor
بەستنەوەی	.bes.ti.ne.wey
بەسوود	.be.sûd
بەسە	.be.se
بەسەر	.be.ser
بەسەردا	.be.ser.da
بەسەردەبا	.be.ser.de.ba
بەسەرهاتی	.be.ser.ha.tî
بەش	.beş
بەشار	.be.şar
بەشدار	.beş.dar
بەشداران	.beş.da.ran
بەشدارانە	.beş.da.ra.ne
بەشداری	.beş.da.rî
بەشداریان	.beş.dar.yan
بەشداریی	.beş.da.rîy
بەشدارییان	.beş.da.rî.yan
بەشدارەکان	.beş.da.re.kan
بەشدارەکانی	.beş.da.re.ka.nî
بەشکچی	.be.şik.çî
بەشێک	.be.şêk
بەشێکی	.be.şê.kî
بەشێکیان	.be.şêk.yan
بەشی	.be.şî
بەشە	.be.şe
بەشەکانی	.be.şe.ka.nî
بەعس	.be.ƹis
بەعسەکان	.beƹ.se.kan
بەغدا	.beẍ.da
بەکار	.be.kar
بەکاربهێندرێ	.be.kar.bi.hên.di.rê
بەکاردەهێنران	.be.kar.de.hên.ran
بەکارکرد	.be.kar.kird
بەکارهێنانی	.be.kar.hê.na.nî
بەکارهێندرابوون	.be.kar.hên.di.ra.bûn
بەکارهێنەری	.be.kar.hê.ne.rî
بەکارهێنەرەکانی	.be.kar.hê.ne.re.ka.nî
بەکارەکان	.be.ka.re.kan
بەکرێ	.be.ki.rê
بەکۆچ	.be.koç
بەکۆمەڵ	.be.ko.meł
بەگژیاندا	.be.gij.yan.da
بەگوێرەی	.be.gwê.rey
بەلاش	.be.laş
بەلاوەنانی	.be.la.we.na.nî
بەلکی	.bel.kî
بەلەکی	.be.le.kî
بەڵام	.be.łam
بەڵکەم	.beł.kem
بەڵگە	.beł.ge
بەڵگەی	.beł.gey
بەم	.bem
بەماناتر	.be.ma.na.tir
بەمانەش	.be.ma.neş
بەمەش	.be.meş
بەناوبانگ	.be.naw.bang
بەناوبانگەکان	.be.naw.ban.ge.kan
بەند	.bend
بەندبکرێ	.bend.bi.ki.rê
بەندکراو	.bend.ki.raw
بەندکراوە	.bend.ki.ra.we
بەندێکی	.ben.dê.kî
بەندی	.ben.dî
بەندیخاناندا	.ben.dî.xa.nan.da
بەندیخانە	.ben.dî.xa.ne
بەندیخانەدا	.ben.dî.xa.ne.da
بەندیخانەکان	.ben.dî.xa.ne.kan
بەندیخانەکاندا	.ben.dî.xa.ne.kan.da
بەندیخانەکەیە	.ben.dî.xa.ne.ke.ye
بەندیخانەی	.ben.dî.xa.ney
بەندیخانەیە	.ben.dî.xa.ne.ye
بەندیخانەیەکی	.ben.dî.xa.ne.ye.kî
بەندەکانی	.ben.de.ka.nî
بەنرخە	.be.nir.xe
بەنێوبانگ	.be.nêw.bang
بەنێوبانگترین	.be.nêw.bang.ti.rîn
بەنێوبانگەکان	.be.nêw.ban.ge.kan
بەنێوی	.be.nê.wî
بەهۆی	.be.hoy
بەو	.bew
بەوە	.be.we
بەوەشەوە	.be.we.şe.we
بەیبوون	.bey.bûn
بەیرووت	.bey.rût
بەیرووتدا	.bey.rût.da
بەیرووتێ	.bey.rû.tê
بەیرووتیان	.bey.rût.yan
بەیرووتەوە	.bey.rû.te.we
بەینێکی	.bey.nê.kî
پ	.pi
پاراستن	.pa.ras.tin
پاراستنی	.pa.ras.ti.nî
پارتی	.par.tî
پارتیا	.part.ya
پارتییە	.par.tî.ye
پارچە	.par.çe
پارلەمانی	.par.le.ma.nî
پارێزگا	.pa.rêz.ga
پارێزگادا	.pa.rêz.ga.da
پارێزگاکان	.pa.rêz.ga.kan
پارێزگاکانی	.pa.rêz.ga.ka.nî
پارێزگاکانیش	.pa.rêz.ga.ka.nîş
پارێزگای	.pa.rêz.gay
پارێزگایەدا	.pa.rêz.ga.ye.da
پارێزگایەدان	.pa.rêz.ga.ye.dan
پاریس	.pa.rîs
پارە	.pa.re
پارەداندا	.pa.re.dan.da
پارەش	.pa.reş
پارەشی	.pa.re.şî
پارەکە	.pa.re.ke
پارەکەی	.pa.re.key
پارەکەیان	.pa.re.ke.yan
پارەوە	.pa.re.we
پارەی	.pa.rey
پارەیان	.pa.re.yan
پارەیە	.pa.re.ye
پارەیەک	.pa.re.yek
پارەیەکی	.pa.re.ye.kî
پارەیەی	.pa.re.yey
پاسا	.pa.sa
پاسپۆرتیشیان	.pas.por.tîş.yan
پاش	.paş
پاشا	.pa.şa
پاشان	.pa.şan
پاشتر	.paş.tir
پاشدا	.paş.da
پاشماوەکە	.paş.ma.we.ke
پاکەتی	.pa.ke.tî
پالۆ	.pa.lo
پتر	.pi.tir
پرزەیان	.pir.ze.yan
پرس	.pirs
پرسی	.pir.sî
پرسیارانە	.pirs.ya.ra.ne
پرسیارکردن	.pirs.yar.kir.din
پرسیارێکیان	.pirs.ya.rêk.yan
پرسیاری	.pirs.ya.rî
پرسیارە	.pirs.ya.re
پرسیارەتان	.pirs.ya.re.tan
پرسیارەکانی	.pirs.ya.re.ka.nî
پرسیبووم	.pir.sî.bûm
پرسیم	.pir.sîm
پرۆتۆکۆل	.pi.ro.to.kol
پرۆسەکە	.pi.ro.se.ke
پرۆسەی	.pi.ro.sey
پرۆفیسۆر	.pi.ro.fî.sor
پرۆگرامانی	.pi.rog.ra.ma.nî
پرۆگرامە	.pi.rog.ra.me
پرۆگرامەکانیان	.pi.rog.ra.me.kan.yan
پڕ	.piř
پڕبایەخترین	.piř.ba.yex.ti.rîn
پڕبکەنەوە	.piř.bi.ke.ne.we
پڕچاودێری	.piř.çaw.dê.rî
پڕۆسەی	.pi.řo.sey
پسپۆڕانە	.pis.po.řa.ne
پشتسووریی	.pişt.sû.rîy
پشتگری	.pişt.gi.rî
پشتگریان	.pişt.gir.yan
پشتگرەکانیشیان	.pişt.gi.re.ka.nîş.yan
پشتی	.piş.tî
پشتیوانی	.piş.tî.wa.nî
پشتیوانییان	.piş.tî.wa.nî.yan
پشتیوانییەک	.piş.tî.wa.nî.yek
پشکنیمی	.piş.ki.nî.mî
پشکنینی	.piş.ki.nî.nî
پلکەتی	.pil.ke.tî
پلەوپایەی	.pi.lew.pa.yey
پلەوپایەیەکی	.pi.lew.pa.ye.ye.kî
پلەوپایەیەکیان	.pi.lew.pa.ye.yek.yan
پوول	.pûl
پۆست	.post
پۆستکراوەگەلێک	.post.ki.ra.we.ge.lêk
پۆستی	.pos.tî
پۆستیی	.pos.tîy
پۆستەری	.pos.te.rî
پۆستەکەدا	.pos.te.ke.da
پۆستەوە	.pos.te.we
پۆلانە	.po.la.ne
پۆلی	.po.lî
پۆلیس	.po.lîs
پۆلیسان	.po.lî.san
پۆلیسدا	.po.lîs.da
پۆلیسی	.po.lî.sî
پۆلیسەکان	.po.lî.se.kan
پۆلیسەوە	.po.lî.se.we
پۆلەکانی	.po.le.ka.nî
پێ	.pê
پێبدرێ	.pê.bi.di.rê
پێچ	.pêç
پێچەوانە	.pê.çe.wa.ne
پێچەوانەی	.pê.çe.wa.ney
پێداچوونەوە	.pê.da.çû.ne.we
پێداچوونەوەکان	.pê.da.çû.ne.we.kan
پێداچوونەوەکانی	.pê.da.çû.ne.we.ka.nî
پێداچوونەوەی	.pê.da.çû.ne.wey
پێداچوونەوەیەکی	.pê.da.çû.ne.we.ye.kî
پێدانی	.pê.da.nî
پێداهەڵگوتنەوەی	.pê.da.heł.gu.ti.ne.wey
پێداویستیگەلە	.pê.da.wîs.tî.ge.le
پێداویستیی	.pê.da.wîs.tîy
پێداویستییەکان	.pê.da.wîs.tî.ye.kan
پێری	.pê.rî
پێڕست	.pê.řist
پێزانین	.pê.za.nîn
پێش	.pêş
پێشان	.pê.şan
پێشانگا	.pê.şan.ga
پێشانگاکان	.pê.şan.ga.kan
پێشانگاکانی	.pê.şan.ga.ka.nî
پێشانگاکە	.pê.şan.ga.ke
پێشانگاکەدا	.pê.şan.ga.ke.da
پێشانگاکەیان	.pê.şan.ga.ke.yan
پێشانگاگەلی	.pê.şan.ga.ge.lî
پێشانگای	.pê.şan.gay
پێشانگایەدا	.pê.şan.ga.ye.da
پێشانگایەک	.pê.şan.ga.yek
پێشانگایەکی	.pê.şan.ga.ye.kî
پێشانگەکاندا	.pê.şan.ge.kan.da
پێشبرد	.pêş.bird
پێشتر	.pêş.tir
پێشتریش	.pêş.ti.rîş
پێشخستن	.pêş.xis.tin
پێشخستنی	.pêş.xis.ti.nî
پێشقوتابی	.pêş.qu.ta.bî
پێشکەش	.pêş.keş
پێشکەشی	.pêş.ke.şî
پێشکەفتن	.pêş.kef.tin
پێشکەوتن	.pêş.kew.tin
پێشکەوتنێکی	.pêş.kew.ti.nê.kî
پێشکەوتنی	.pêş.kew.ti.nî
پێشکەوتووییی	.pêş.kew.tû.yîy
پێشگری	.pêş.gi.rî
پێشگرییان	.pêş.gi.rî.yan
پێشگرییە	.pêş.gi.rî.ye
پێشگرییەکان	.pêş.gi.rî.ye.kan
پێشگرییەکانیش	.pêş.gi.rî.ye.ka.nîş
پێشگیراو	.pêş.gî.raw
پێشنیار	.pêş.nyar
پێشنیاری	.pêş.nya.rî
پێشنیاریان	.pêş.nyar.yan
پێشنیارە	.pêş.nya.re
پێشوو	.pê.şû
پێشووی	.pê.şûy
پێشووەکان	.pê.şu.we.kan
پێشووەکاندا	.pê.şu.we.kan.da
پێشێ	.pê.şê
پێشی	.pê.şî
پێک	.pêk
پێکدێن	.pêk.dên
پێکراوەکان	.pê.ki.ra.we.kan
پێکرد	.pê.kird
پێکهاتنامەکان	.pêk.hat.na.me.kan
پێکهاتوو	.pêk.ha.tû
پێکهاتووە	.pêk.ha.tu.we
پێکهاتە	.pêk.ha.te
پێکهاتەکانی	.pêk.ha.te.ka.nî
پێکهاتەیەکی	.pêk.ha.te.ye.kî
پێکهێنا	.pêk.hê.na
پێکەوە	.pê.ke.we
پێکەوەییگەلی	.pê.ke.we.yî.ge.lî
پێگرتن	.pê.gir.tin
پێگە	.pê.ge
پێم	.pêm
پێناس	.pê.nas
پێناسە	.pê.na.se
پێناسەکانی	.pê.na.se.ka.nî
پێناسەی	.pê.na.sey
پێنج	.pênc
پێنووس	.pê.nûs
پێنووسان	.pê.nû.san
پێنەدەدرا	.pê.ne.de.di.ra
پێویست	.pê.wîst
پێویستن	.pê.wîs.tin
پێویستی	.pê.wîs.tî
پێویستیی	.pê.wîs.tîy
پێویستە	.pê.wîs.te
پێوە	.pê.we
پێی	.pêy
پێیان	.pê.yan
پێیدابڕۆنەوە	.pêy.da.bi.řo.ne.we
پێئەسپێردرا	.pê.ʔes.pêr.di.ra
پی	.pî
پیاوچاکییەوە	.pyaw.ça.kî.ye.we
پیاوێکی	.pya.wê.kî
پیاوی	.pya.wî
پیاوە	.pya.we
پیرەمێرد	.pî.re.mêrd
پیشکەوتنی	.pîş.kew.ti.nî
پیشە	.pî.şe
پیشەیە	.pî.şe.ye
پیشەیەک	.pî.şe.yek
پیشەیەکی	.pî.şe.ye.kî
پیلان	.pî.lan
پیلانێکی	.pî.la.nê.kî
پیلانەکان	.pî.la.ne.kan
پینتر	.pîn.tir
پینتێر	.pîn.têr
پەخشانی	.pex.şa.nî
پەراوێز	.pe.ra.wêz
پەرتووکان	.per.tû.kan
پەرتووکەکانیشی	.per.tû.ke.ka.nî.şî
پەردە	.per.de
پەردەژییان	.per.de.jî.yan
پەرۆشیی	.pe.ro.şîy
پەرە	.pe.re
پەرەبستێنێ	.pe.re.bis.tê.nê
پەرەپێدانی	.pe.re.pê.da.nî
پەرەستاندنی	.pe.res.tan.di.nî
پەرەی	.pe.rey
پەرەئەستێنی	.pe.re.ʔes.tê.nî
پەڕ	.peř
پەڕانپەڕی	.pe.řan.pe.řî
پەڕتووکنامەگەلی	.peř.tûk.na.me.ge.lî
پەڕتووکنامەی	.peř.tûk.na.mey
پەڕتووکنامەیەک	.peř.tûk.na.me.yek
پەڕتووکی	.peř.tû.kî
پەڕتووکە	.peř.tû.ke
پەڕتووکەکانی	.peř.tû.ke.ka.nî
پەڕتووکەکەیان	.peř.tû.ke.ke.yan
پەستابەپەستا	.pes.ta.be.pes.ta
پەسەند	.pe.send
پەسەندکردنی	.pe.send.kird.nî
پەشێو	.pe.şêw
پەکیان	.pek.yan
پەلەی	.pe.ley
پەڵپێکە	.peł.pê.ke
پەو	.pew
پەوند	.pewnd
پەیامی	.pe.ya.mî
پەیڤین	.pey.vîn
پەیمانشکێنی	.pey.man.şi.kê.nî
پەیماننامەی	.pey.man.na.mey
پەیمانی	.pey.ma.nî
پەیوەندی	.pey.wen.dî
پەیوەندیدا	.pey.wen.dî.da
پەیوەندیدار	.pey.wen.dî.dar
پەیوەندیی	.pey.wen.dîy
پەیوەندییان	.pey.wen.dî.yan
پەیوەندییەکان	.pey.wen.dî.ye.kan
پەیوەندییەکانی	.pey.wen.dî.ye.ka.nî
پەیوەندییەکیان	.pey.wen.dî.yek.yan
ت	.ti
تا	.ta
تابوو	.ta.bû
تازەش	.ta.zeş
تازەکاندا	.ta.ze.kan.da
تازەلاوەکان	.ta.ze.la.we.kan
تازەلەچاپدراو	.ta.ze.le.çap.di.raw
تازەلەچاپدراوەکان	.ta.ze.le.çap.di.ra.we.kan
تازەنووسەر	.ta.ze.nû.ser
تازەنووسەرەکان	.ta.ze.nû.se.re.kan
تاش	.taş
تاقمە	.taq.me
تامەزرۆییی	.ta.mez.ro.yîy
تامەزرۆیییەکی	.ta.mez.ro.yî.ye.kî
تاوانبار	.ta.wan.bar
تاوانبارکارییەکی	.ta.wan.bar.ka.rî.ye.kî
تاوانبارکردنی	.ta.wan.bar.kir.di.nî
تاوانباریگەلەدا	.ta.wan.ba.rî.ge.le.da
تاوانباریی	.ta.wan.ba.rîy
تاوانێک	.ta.wa.nêk
تاوانی	.ta.wa.nî
تاوانەکەت	.ta.wa.ne.ket
تایبەت	.tay.bet
تایبەتی	.tay.be.tî
تایبەتیان	.tay.bet.yan
تایبەتیدا	.tay.be.tî.da
تایبەتییەکانی	.tay.be.tî.ye.ka.nî
تایبەتییەکانیان	.tay.be.tî.ye.kan.yan
تر	.tir
تراک	.ti.rak
تربەسپی	.tir.be.si.pî
تردا	.tir.da
ترس	.tirs
ترسان	.tir.san
ترسی	.tir.sî
ترساون	.tir.sa.win
ترسە	.tir.se
ترووسکاییی	.ti.rûs.ka.yîy
تری	.ti.rî
تریش	.ti.rîş
تشرینی	.tiş.rî.nî
تکایە	.ti.ka.ye
تلێفۆن	.ti.lê.fon
تلێفۆنەوە	.ti.lê.fo.ne.we
توانی	.twa.nî
توانیان	.twan.yan
توانیاندا	.twan.yan.da
توانیم	.twa.nîm
توانیویانە	.twa.nîw.ya.ne
توانیویە	.twa.nîw.ye
تورک	.turk
تورکمەن	.turk.men
تورکی	.tur.kî
تورکیا	.turk.ya
تورکیادا	.turk.ya.da
تورکیاش	.turk.yaş
تورکیان	.turk.yan
تورکیاوە	.turk.ya.we
تورکیای	.turk.yay
تورکیایان	.turk.ya.yan
تورکیایە	.turk.ya.ye
تورکیدا	.tur.kî.da
تورکیشی	.tur.kî.şî
تورکیی	.tur.kîy
تورکییان	.tur.kî.yan
تورکییە	.tur.kî.ye
تورکییەکان	.tur.kî.ye.kan
تورکییەکاندا	.tur.kî.ye.kan.da
تورکییەکانیان	.tur.kî.ye.kan.yan
تورکییەوە	.tur.kî.ye.we
تورکیەکانیان	.turk.ye.kan.yan
تورکەکان	.tur.ke.kan
تورکەکاندا	.tur.ke.kan.da
تورکەکانن	.tur.ke.ka.nin
تورکەکانیشدا	.tur.ke.ka.nîş.da
تورکەکانە	.tur.ke.ka.ne
توندوتێژی	.tun.du.tê.jî
توندوتیژانەتر	.tun.du.tî.ja.ne.tir
تووش	.tûş
تووشی	.tû.şî
توێژینەوە	.twê.jî.ne.we
توێژینەوەکانی	.twê.jî.ne.we.ka.nî
توێژینەوەیەک	.twê.jî.ne.we.yek
توێژینەوەیەکم	.twê.jî.ne.we.ye.kim
توێژەرێکی	.twê.je.rê.kî
تۆرەمەی	.to.re.mey
تۆڕێکی	.to.řê.kî
تۆزێک	.to.zêk
تۆسقاڵێکیش	.tos.qa.łê.kîş
تۆڵە	.to.łe
تۆمار	.to.mar
تۆماردەکرێن	.to.mar.de.ki.rên
تۆمارکراون	.to.mar.ki.ra.win
تۆمارکراوە	.to.mar.ki.ra.we
تۆمارکردن	.to.mar.kir.din
تۆمارکردنی	.to.mar.kir.di.nî
تۆمارنەکراون	.to.mar.ne.ki.ra.win
تۆمارنەکراوەکان	.to.mar.ne.ki.ra.we.kan
تۆمارنەکردنی	.to.mar.ne.kir.di.nî
تۆمارەکان	.to.ma.re.kan
تۆمارەکانی	.to.ma.re.ka.nî
تێبکۆشن	.tê.bi.ko.şin
تێبینیگەلی	.tê.bî.nî.ge.lî
تێپەڕینی	.tê.pe.řî.nî
تێچوون	.tê.çûn
تێچووون	.tê.çû.win
تێدا	.tê.da
تێدایە	.tê.da.ye
تێدەپەڕێ	.tê.de.pe.řê
تێدەچوو	.tê.de.çû
تێدەچێ	.tê.de.çê
تێدەکۆشا	.tê.de.ko.şa
تێدەکۆشان	.tê.de.ko.şan
تێدەکۆشن	.tê.de.ko.şin
تێدەکۆشێ	.tê.de.ko.şê
تێدەکۆشی	.tê.de.ko.şî
تێرمینۆلۆژی	.têr.mî.no.lo.jî
تێرمینۆلۆژیکی	.têr.mî.no.lo.jî.kî
تێرمینۆلۆژیی	.têr.mî.no.lo.jîy
تێرۆریزم	.tê.ro.rî.zim
تێرۆریزمەوە	.tê.ro.rîz.me.we
تێزێک	.tê.zêk
تێزی	.tê.zî
تێک	.têk
تێکڕا	.têk.řa
تێکنیکانی	.têk.nî.ka.nî
تێکۆشان	.tê.ko.şan
تێکۆشی	.tê.ko.şî
تێکۆشیبوو	.tê.ko.şî.bû
تێکۆشین	.tê.ko.şîn
تێکۆشیون	.tê.ko.şî.win
تێکۆشیوە	.tê.ko.şî.we
تێکەڵ	.tê.keł
تێگەیشتن	.tê.geyş.tin
تێیاندا	.tê.yan.da
تێیدا	.têy.da
تیرۆژ	.tî.roj
تیرێژ	.tî.rêj
تیشک	.tîşk
تیۆریی	.tyo.rîy
تیۆرییەکی	.tyo.rî.ye.kî
تەرخان	.ter.xan
تەقسیم	.teq.sîm
تەک	.tek
تەکنیکییەوە	.tek.nî.kî.ye.we
تەلڤیزیۆنی	.tel.vîz.yo.nî
تەلڤیزیۆنییەکان	.tel.vîz.yo.nî.ye.kan
تەلێفۆن	.te.lê.fon
تەلەب	.te.leb
تەلەفیزیۆنی	.te.le.fîz.yo.nî
تەلەڤیزیۆن	.te.le.vîz.yon
تەلەڤیزیۆنی	.te.le.vîz.yo.nî
تەلەڤیزیۆنییەکانی	.te.le.vîz.yo.nî.ye.ka.nî
تەلەڤیزیۆنە	.te.le.vîz.yo.ne
تەلەڤیزیۆنەکان	.te.le.vîz.yo.ne.kan
تەمووزی	.te.mû.zî
تەمۆ	.te.mo
تەمەن	.te.men
تەمەنی	.te.me.nî
تەنانەت	.te.na.net
تەنگاوییەک	.ten.ga.wî.yek
تەنگدا	.ten.gi.da
تەنیا	.ten.ya
تەنیاییدا	.ten.ya.yî.da
تەواو	.te.waw
تەواوی	.te.wa.wî
تەواویی	.te.wa.wîy
تەواوەتیی	.te.wa.we.tîy
تەواوەوە	.te.wa.we.we
تەوەرەکانی	.te.we.re.ka.nî
تەوەرەکانیان	.te.we.re.kan.yan
جار	.car
جاران	.ca.ran
جارانیش	.ca.ra.nîş
جارانەی	.ca.ra.ney
جارجار	.car.car
جارجاریش	.car.ca.rîş
جاروبار	.ca.ru.bar
جاروبارنامە	.ca.ru.bar.na.me
جارێ	.ca.rê
جاری	.ca.rî
جارە	.ca.re
جاندان	.can.dan
جببە	.cib.be
جببەش	.cib.beş
جزیر	.ci.zîr
جزیری	.ci.zî.rî
جغارەکانیان	.ci.ẍa.re.kan.yan
جگە	.ci.ge
جگەر	.ci.ger
جگەرخوێن	.ci.ger.xwên
جگەرخوێنیش	.ci.ger.xwê.nîş
جم	.cim
جوان	.cwan
جوانتان	.cwan.tan
جوانتر	.cwan.tir
جوانی	.cwa.nî
جوانیان	.cwan.yan
جوغرافییەکانەوە	.cuẍ.ra.fî.ye.ka.ne.we
جومهووریەت	.cum.hûr.yet
جوولەکەکان	.cû.le.ke.kan
جووڵ	.cûł
جوێ	.cwê
جۆراوجۆری	.co.raw.co.rî
جۆراوجۆرەوە	.co.raw.co.re.we
جۆربەجۆر	.cor.be.cor
جۆربەجۆری	.cor.be.co.rî
جۆربەجۆریان	.cor.be.cor.yan
جۆربەجۆرەکان	.cor.be.co.re.kan
جۆربەجۆرەکاندا	.cor.be.co.re.kan.da
جۆربەجۆرەکانی	.cor.be.co.re.ka.nî
جۆربەجۆرەکانەوە	.cor.be.co.re.ka.ne.we
جۆربەجۆرەوە	.cor.be.co.re.we
جۆرێک	.co.rêk
جێ	.cê
جێبەجێ	.cê.be.cê
جێبەجێکردنی	.cê.be.cê.kir.di.nî
جێبەجێنەکرانی	.cê.be.cê.ne.ki.ra.nî
جێبەجێی	.cê.be.cêy
جێگاکەی	.cê.ga.key
جێگای	.cê.gay
جێگایەک	.cê.ga.yek
جێگری	.cê.gi.rî
جێگریی	.cê.gi.rîy
جێی	.cêy
جیابوونەوە	.cya.bû.ne.we
جیاکارییە	.cya.ka.rî.ye
جیاکراونەتەوە	.cya.ki.raw.ne.te.we
جیاواز	.cya.waz
جیاوازن	.cya.wa.zin
جیاوازیان	.cya.waz.yan
جیاوازیی	.cya.wa.zîy
جیاوازییان	.cya.wa.zî.yan
جیاوازییەکان	.cya.wa.zî.ye.kan
جیاوازەکان	.cya.wa.ze.kan
جیاوازەکانی	.cya.wa.ze.ka.nî
جیاوازەوە	.cya.wa.ze.we
جیایی	.cya.yî
جیهان	.cî.han
جیهاندا	.cî.han.da
جیهانی	.cî.ha.nî
جیهانەوە	.cî.ha.ne.we
جەخت	.cext
جەختیشیان	.cex.tîş.yan
جەستەیی	.ces.te.yî
جەفەر	.ce.fer
جەڤدەت	.cev.det
جەلادەت	.ce.la.det
جەماوەری	.ce.ma.we.rî
جەمیل	.ce.mîl
جەنگ	.ceng
جەنگی	.cen.gî
جەنگەکە	.cen.ge.ke
جەنگەوە	.cen.ge.we
جەنگەیەدا	.cen.ge.ye.da
چ	.çi
چاپ	.çap
چاپخانە	.çap.xa.ne
چاپخانەکان	.çap.xa.ne.kan
چاپخانەکاندا	.çap.xa.ne.kan.da
چاپخانەکانی	.çap.xa.ne.ka.nî
چاپخانەکە	.çap.xa.ne.ke
چاپخانەکەشیاندا	.çap.xa.ne.keş.yan.da
چاپخانەکەی	.çap.xa.ne.key
چاپخانەکەیان	.çap.xa.ne.ke.yan
چاپخانەگەلێک	.çap.xa.ne.ge.lêk
چاپخانەگەلێکی	.çap.xa.ne.ge.lê.kî
چاپخانەگەلێکیان	.çap.xa.ne.ge.lêk.yan
چاپخانەگەلی	.çap.xa.ne.ge.lî
چاپخانەگەلە	.çap.xa.ne.ge.le
چاپخانەگەلەم	.çap.xa.ne.ge.lem
چاپخانەوە	.çap.xa.ne.we
چاپخانەی	.çap.xa.ney
چاپخانەیانە	.çap.xa.ne.ya.ne
چاپخانەیە	.çap.xa.ne.ye
چاپخانەیەدا	.çap.xa.ne.ye.da
چاپخانەیەک	.çap.xa.ne.yek
چاپخانەیەکی	.çap.xa.ne.ye.kî
چاپخانەیەکیان	.çap.xa.ne.yek.yan
چاپخەگەلە	.çap.xe.ge.le
چاپدا	.çap.da
چاپدان	.çap.dan
چاپدانی	.çap.da.nî
چاپدانیان	.çap.dan.yan
چاپدران	.çap.di.ran
چاپدەدران	.çap.de.di.ran
چاپدەرەکان	.çap.de.re.kan
چاپدەکرێ	.çap.de.ki.rê
چاپکران	.çap.ki.ran
چاپکراو	.çap.ki.raw
چاپکراویان	.çap.ki.raw.yan
چاپکراوە	.çap.ki.ra.we
چاپکراوەکان	.çap.ki.ra.we.kan
چاپکراوەکانی	.çap.ki.ra.we.ka.nî
چاپکراوەکانیان	.çap.ki.ra.we.kan.yan
چاپکراوەکانیش	.çap.ki.ra.we.ka.nîş
چاپکراوەگەلەدا	.çap.ki.ra.we.ge.le.da
چاپکراوەیان	.çap.ki.ra.we.yan
