र	ɾə
धरपकड	dʰˈʌɾəpˌəkəɖ
नगए	nˈʌɡəˌeː
भएउपर	bʰəˈeːʊpˌəɾə
वहश	wˈʌhəʃ
सव	sˈʌwə
सस	sˈʌs
Koshi	(͡e͡n)kˈə͡ʊʃi(͡n͡e)
Martin	(͡e͡n)mˈɑːtɪn(͡n͡e)
PDF	(͡e͡n)pˌiːdˌiːˈɛf(͡n͡e)
Rights	(͡e͡n)ɹˈa͡ɪts(͡n͡e)
address	(͡e͡n)ɐdɹˈɛs(͡n͡e)
download	(͡e͡n)dˈa͡ʊnlə͡ʊd(͡n͡e)
with	(͡e͡n)wɪð(͡n͡e)
अवध	ˈʌwədʰ
अवल	ˈʌwəl
गडबड	ɡˈʌɖəbˌəɖ
धर	dʰˈʌɾə
नरमगरम	nˈʌɾəmˌəɡəɾˌəmə
मफलर	mˈʌpʰəlˌəɾə
रम	ɾˈʌmə
सजक	sˈʌɟəkˌə
हज	hˈʌɟ
College	(͡e͡n)kˈɒlɪd͡ʒ(͡n͡e)
February	(͡e͡n)fˈɛbɹuːəɹi(͡n͡e)
create	(͡e͡n)kɹiːˈe͡ɪt(͡n͡e)
p	(͡e͡n)pˈiː(͡n͡e)
seconds	(͡e͡n)sˈɛkəndz(͡n͡e)
आइज	ˈaːɪɟ
इभन	ˈɪbʰən
एव	ˈeːwə
एसएलआर	ˌeːsəˌeːləˈaːɾə
एसर	ˈeːsəɾˌə
ओज	ˈoːɟ
कवल	kˈʌwəl
पख	pˈʌkʰ
ब	bˈə
लट	lˈʌʈ
सट	sˈʌʈ
सयर	sˈʌjəɾˌə
Chautari	(͡e͡n)t͡ʃɔːtˈɑːɹi(͡n͡e)
Human	(͡e͡n)hjˈuːmən(͡n͡e)
Land	(͡e͡n)lˈand(͡n͡e)
Nepalese	(͡e͡n)nˌɛpəlˈiːz(͡n͡e)
Organization	(͡e͡n)ˌɔːɡɐna͡ɪzˈe͡ɪʃən(͡n͡e)
Sunsari	(͡e͡n)sʌnsˈɑːɹi(͡n͡e)
Written	(͡e͡n)ɹˈɪtən(͡n͡e)
discussions	(͡e͡n)dɪskˈʌʃənz(͡n͡e)
organizes	(͡e͡n)ˈɔːɡənˌa͡ɪzɪz(͡n͡e)
twice	(͡e͡n)twˈa͡ɪs(͡n͡e)
आईएल	ˌaːɪːˈeːl
आप	ˈaːp
करम	kˈʌɾəmˌə
गड	ɡˈʌɖ
घट	ɡʰˈʌʈ
तन	tˈʌn
नन	nˈʌn
बरफ	bˈʌɾəpʰ
मटन	mˈʌʈən
वरण	wˈʌɾəɳ
शप	ʃˈʌp
bichar	(͡e͡n)bˈɪt͡ʃɑː(͡n͡e)
or	(͡e͡n)ɔː(͡n͡e)
vs	(͡e͡n)vˌiːˈɛs(͡n͡e)
अनपढ	ˈʌnəpˌəɖʰ
अहम	ˈʌhəmˌə
आइएस	ˌaːɪˈeːs
आठसय	ˈaːʈʰəsˌəjə
उठन	ˈʊʈʰən
कद	kˈʌd
ढ	ɖʰˈə
तŒव	tˈə(͡e͡n)lˌɪɡɐt͡ʃəə͡ʊˈiː(͡n͡e)wˈə
नआउन	nəˈaːʊn
परल	pˈʌɾəl
बटर	bˈʌʈəɾˌə
बढन	bˈʌɖʰən
बसर	bˈʌsəɾˌə
भइन	bʰˈʌɪn
भईकन	bʰəˈɪːkən
मम	mˈʌmə
यमन	jˈʌmən
लव	lˈʌwə
सत	sˈʌt
By	(͡e͡n)bˈa͡ɪ(͡n͡e)
Limited	(͡e͡n)lˈɪmɪtɪd(͡n͡e)
MRP	(͡e͡n)ˌɛmˌɑːpˈiː(͡n͡e)
NRN	(͡e͡n)ˌɛnˌɑːɹˈɛn(͡n͡e)
Union	(͡e͡n)jˈuːni͡ən(͡n͡e)
pathak	(͡e͡n)pˈaθak(͡n͡e)
website	(͡e͡n)wˈɛbsa͡ɪt(͡n͡e)
अमन	ˈʌmən
आइकन	ˈaːɪkˌən
आरआर	ˌaːɾəˈaːɾə
आरन	ˈaːɾən
इगल	ˈɪɡəl
इद	ˈɪd
एफएस	ˌeːpʰəˈeːs
एलओआई	ˌeːləoːˈaːi
एसएस	ˌeːsəˈeːs
कवच	kˈʌwəc
कवर	kˈʌwəɾˌə
जतन	ɟˈʌtən
दहन	dˈʌhən
नरहन	nˈʌɾəhˌən
Ambassador	(͡e͡n)ɐmbˈasədə(͡n͡e)
Browser	(͡e͡n)bɹˈa͡ʊzə(͡n͡e)
Copy	(͡e͡n)kˈɒpɪ(͡n͡e)
Executive	(͡e͡n)ɛɡzˈɛkjuːtˌɪv(͡n͡e)
Internet	(͡e͡n)ˈɪntənˌɛt(͡n͡e)
Law	(͡e͡n)lˈɔː(͡n͡e)
Posts	(͡e͡n)pˈə͡ʊsts(͡n͡e)
Reasonable	(͡e͡n)ɹˈiːzənəbə͡l(͡n͡e)
Sagar	(͡e͡n)sˈaɡə(͡n͡e)
South	(͡e͡n)sˈa͡ʊθ(͡n͡e)
This	(͡e͡n)ðˈɪs(͡n͡e)
doesnot	(͡e͡n)dˈə͡ʊsnɒt(͡n͡e)
iframe	(͡e͡n)ˈɪfɹe͡ɪm(͡n͡e)
news	(͡e͡n)njˈuːz(͡n͡e)
अनलक	ˈʌnəlˌəkə
अर	ˈʌɾə
अवयव	ˈʌwəjˌəwə
आईई	aːˈɪːi
उड	ˈʊɖ
उल	ˈʊl
एडम	ˈeːɖəmˌə
एमआरआई	ˌeːməˌaːɾəˈaːi
कचकच	kˈʌcəkˌəc
खटपट	kʰˈʌʈəpˌəʈ
छर	cʰˈʌɾə
जयनगर	ɟˈʌjənˌəɡəɾˌə
ठ	ʈʰˈə
भइकन	bʰˈʌɪkˌən
भएक	bʰəˈeːkə
लवज	lˈʌwəɟ
हरपल	hˈʌɾəpˌəl
हरफ	hˈʌɾəpʰ
I	(͡e͡n)ˈa͡ɪ(͡n͡e)
Political	(͡e͡n)pəlˈɪtɪkə͡l(͡n͡e)
Prasai	(͡e͡n)pɹˈasa͡ɪ(͡n͡e)
Related	(͡e͡n)ɹɪlˈe͡ɪtɪd(͡n͡e)
Social	(͡e͡n)sˈə͡ʊʃə͡l(͡n͡e)
User	(͡e͡n)jˈuːzə(͡n͡e)
अडचन	ˈʌɖəcˌən
असई	ˈʌsəˌiː
आइन	ˈaːɪn
आइसफल	ˈaːɪsˌəpʰəl
आईएलओ	ˌaːɪːˈeːləˌoː
उन	ˈʊn
एफएओ	ˌeːpʰəˈeːoː
ओस	ˈoːs
कस	kˈʌs
गम	ɡˈʌmə
डक	ɖˈʌkə
तडकभडक	tˈʌɖəkˌəbʰəɖˌəkə
बध	bˈʌdʰ
मकर	mˈʌkəɾˌə
मलम	mˈʌləmˌə
यल	jˈʌl
रजहर	ɾˈʌɟəhˌəɾə
लहड	lˈʌhəɖ
शक	ʃˈʌkə
सतलज	sˈʌtəlˌəɟ
सरस	sˈʌɾəs
ॐ	ˈõm
Act	(͡e͡n)ˈakt(͡n͡e)
China	(͡e͡n)t͡ʃˈa͡ɪnə(͡n͡e)
Designed	(͡e͡n)dɪzˈa͡ɪnd(͡n͡e)
Developed	(͡e͡n)dɪvˈɛləpt(͡n͡e)
Geosoft	(͡e͡n)d͡ʒˌiːə͡ʊsˈɒft(͡n͡e)
Interest	(͡e͡n)ˈɪntɹɛst(͡n͡e)
Isai	(͡e͡n)ˈɪsa͡ɪ(͡n͡e)
Judicial	(͡e͡n)d͡ʒuːdˈɪʃə͡l(͡n͡e)
List	(͡e͡n)lˈɪst(͡n͡e)
Ltd	(͡e͡n)lˈɪmɪtɪd(͡n͡e)
Medical	(͡e͡n)mˈɛdɪkə͡l(͡n͡e)
NRNA	(͡e͡n)ˌɛnˌɑːɹˌɛnˈe͡ɪ(͡n͡e)
Reform	(͡e͡n)ɹɪfˈɔːm(͡n͡e)
Technologies	(͡e͡n)tɛknˈɒləd͡ʒiz(͡n͡e)
Trust	(͡e͡n)tɹˈʌst(͡n͡e)
death	(͡e͡n)dˈɛθ(͡n͡e)
mrpo	(͡e͡n)ˌɛmˌɑːpˌiːˈə͡ʊ(͡n͡e)
आईएफआरएस	ˌaːɪːˌeːpʰəˌaːɾəˈeːs
आईएस	ˌaːɪːˈeːs
आदत	ˈaːdət
गनगन	ɡˈʌnəɡˌən
जनलहर	ɟˈʌnəlˌəhəɾˌə
जबज	ɟˈʌbəɟ
झमक	ɟʰˈʌməkˌə
धनहर	dʰˈʌnəhˌəɾə
नआएर	nˌəaːˈeːɾə
फ	pʰˈə
फरकपन	pʰˈʌɾəkˌəpən
भइरहन	bʰˈʌɪɾˌəhən
मदत	mˈʌdət
रमझम	ɾˈʌməɟʰˌəmə
वगर	wˈʌɡəɾˌə
शयन	ʃˈʌjən
Council	(͡e͡n)kˈa͡ʊnsə͡l(͡n͡e)
Date	(͡e͡n)dˈe͡ɪt(͡n͡e)
Mandali	(͡e͡n)mandˈɑːli(͡n͡e)
Meeting	(͡e͡n)mˈiːtɪŋ(͡n͡e)
New	(͡e͡n)njˈuː(͡n͡e)
No	(͡e͡n)nˈə͡ʊ(͡n͡e)
Principle	(͡e͡n)pɹˈɪnsɪpə͡l(͡n͡e)
Trade	(͡e͡n)tɹˈe͡ɪd(͡n͡e)
Training	(͡e͡n)tɹˈe͡ɪnɪŋ(͡n͡e)
URL	(͡e͡n)jˌuːˌɑːɹˈɛl(͡n͡e)
due	(͡e͡n)djˈuː(͡n͡e)
main	(͡e͡n)mˈe͡ɪn(͡n͡e)
π	(͡e͡l)pˈi(͡n͡e)
अपच	ˈʌpəc
अम	ˈʌmə
आन	ˈaːn
ईन	ˈɪːn
उठ	ˈʊʈʰ
उपलबध	ˈʊpəlˌəbədʰ
एसओएस	ˌeːsəoːˈeːs
ओदश	ˈoːdəʃ
कबल	kˈʌbəl
खट	kʰˈʌʈ
जबजब	ɟˈʌbəɟˌəb
नगएर	nˌəɡəˈeːɾə
नयन	nˈʌjən
पच	pˈʌc
पढ	pˈʌɖʰ
पलङ	pˈʌləŋ
बर	bˈʌɾə
रट	ɾˈʌʈ
रमन	ɾˈʌmən
लग	lˈʌɡ
सई	sˈʌi
सङ	sˈʌŋ
सयम	sˈʌjəmˌə
सरद	sˈʌɾəd
Armed	(͡e͡n)ˈɑːmd(͡n͡e)
Aswini	(͡e͡n)ɐswˈiːnɪ(͡n͡e)
Civil	(͡e͡n)sˈɪvə͡l(͡n͡e)
Corporate	(͡e͡n)kˈɔːpəɹət(͡n͡e)
Dr	(͡e͡n)dˈɒktə(͡n͡e)
Economic	(͡e͡n)ˌiːkənˈɒmɪk(͡n͡e)
Finality	(͡e͡n)fa͡ɪnˈalɪti(͡n͡e)
First	(͡e͡n)fˈɜːst(͡n͡e)
Head	(͡e͡n)hˈɛd(͡n͡e)
High	(͡e͡n)hˈa͡ɪ(͡n͡e)
Justice	(͡e͡n)d͡ʒˈʌstɪs(͡n͡e)
Military	(͡e͡n)mˈɪlɪtəɹi(͡n͡e)
One	(͡e͡n)wˈɒn(͡n͡e)
Report	(͡e͡n)ɹɪpˈɔːt(͡n͡e)
Resource	(͡e͡n)ɹɪzˈɔːs(͡n͡e)
Standard	(͡e͡n)stˈandəd(͡n͡e)
right	(͡e͡n)ɹˈa͡ɪt(͡n͡e)
was	(͡e͡n)wɒz(͡n͡e)
á	(͡e͡n)ˌe͡ɪɐkjˈuːt(͡n͡e)
अपजस	ˈʌpəɟˌəs
आईएमईआई	ˌaːɪːˌeːməɪːˈaːi
आगन	ˈaːɡən
इभ	ˈɪbʰ
ऊड	ˈʊɖ
एनएम	ˌeːnəˈeːmə
एमएल	ˌeːməˈeːl
एसआर	ˌeːsəˈaːɾə
एसएम	ˌeːsəˈeːmə
करङ	kˈʌɾəŋ
करन	kˈʌɾən
चक	cˈʌkə
जनपथ	ɟˈʌnəpˌətʰ
जलचर	ɟˈʌləcˌəɾə
जलन	ɟˈʌlən
ढक	ɖʰˈʌkə
नल	nˈʌl
पलट	pˈʌləʈ
बदल	bˈʌdəl
भएनछ	bʰəˈeːnəcʰˌə
भङ	bʰˈʌŋ
मप	mˈʌp
सघ	sˈʌɡʰ
सनम	sˈʌnəmˌə
सरर	sˈʌɾəɾˌə
हरबखत	hˈʌɾəbˌəkʰət
All	(͡e͡n)ˈɔːl(͡n͡e)
Certificate	(͡e͡n)sətˈɪfɪkət(͡n͡e)
Fair	(͡e͡n)fˈe͡ə(͡n͡e)
Health	(͡e͡n)hˈɛlθ(͡n͡e)
Kathmandu	(͡e͡n)kaθmˌandˈuː(͡n͡e)
Ms	(͡e͡n)ˌɛmˈɛs(͡n͡e)
Page	(͡e͡n)pˈe͡ɪd͡ʒ(͡n͡e)
Plz	(͡e͡n)pˌiːˌɛlzˈɛd(͡n͡e)
Pokhara	(͡e͡n)pˈɒkɑːɹə(͡n͡e)
School	(͡e͡n)skˈuːl(͡n͡e)
Staff	(͡e͡n)stˈaf(͡n͡e)
Technology	(͡e͡n)tɛknˈɒləd͡ʒi(͡n͡e)
World	(͡e͡n)wˈɜːld(͡n͡e)
attachment	(͡e͡n)ɐtˈat͡ʃmənt(͡n͡e)
pm	(͡e͡n)pˌiːˈɛm(͡n͡e)
अनवर	ˈʌnəwˌəɾə
अनशनरत	ˈʌnəʃˌənəɾˌət
असद	ˈʌsəd
एलए	ˈeːləˌeː
ऐनर	ˈʌ͡ɪnəɾˌə
खडग	kʰˈʌɖəɡ
चटक	cˈʌʈəkˌə
तरखर	tˈʌɾəkʰˌəɾə
दसमलव	dˈʌsəmˌələwˌə
पढन	pˈʌɖʰən
पथल	pˈʌtʰəl
परख	pˈʌɾəkʰ
पस	pˈʌs
बज	bˈʌɟ
यश	jˈʌʃ
रनआउट	ɾˌənəˈaːʊʈ
शयर	ʃˈʌjəɾˌə
हजरत	hˈʌɟəɾˌət
हस	hˈʌs
Army	(͡e͡n)ˈɑːmi(͡n͡e)
Bikash	(͡e͡n)bˈɪkaʃ(͡n͡e)
Centre	(͡e͡n)sˈɛntə(͡n͡e)
Command	(͡e͡n)kəmˈand(͡n͡e)
Commerce	(͡e͡n)kˈɒmɜːs(͡n͡e)
Commission	(͡e͡n)kəmˈɪʃən(͡n͡e)
Constituent	(͡e͡n)kənstˈɪtjuːənt(͡n͡e)
Court	(͡e͡n)kˈɔːt(͡n͡e)
DetailsHuman	(͡e͡n)dˈiːte͡ɪlz hjˈuːmən(͡n͡e)
Dharan	(͡e͡n)dˈaɹən(͡n͡e)
Energy	(͡e͡n)ˈɛnəd͡ʒi(͡n͡e)
Gallery	(͡e͡n)ɡˈaləɹi(͡n͡e)
GalleryExecutive	(͡e͡n)ɡˈaləɹi ɛɡzˈɛkjuːtˌɪv(͡n͡e)
ICT	(͡e͡n)ˈa͡ɪkt(͡n͡e)
ID	(͡e͡n)a͡ɪdˈiː(͡n͡e)
India	(͡e͡n)ˈɪndiə(͡n͡e)
Institute	(͡e͡n)ˈɪnstɪtjˌuːt(͡n͡e)
Legal	(͡e͡n)lˈiːɡə͡l(͡n͡e)
Level	(͡e͡n)lˈɛvə͡l(͡n͡e)
Policy	(͡e͡n)pˈɒlɪsi(͡n͡e)
Project	(͡e͡n)pɹˈɒd͡ʒɛkt(͡n͡e)
Reference	(͡e͡n)ɹˈɛfɹəns(͡n͡e)
Rules	(͡e͡n)ɹˈuːlz(͡n͡e)
Singh	(͡e͡n)sˈɪŋ(͡n͡e)
US	(͡e͡n)jˌuːˈɛs(͡n͡e)
Voice	(͡e͡n)vˈɔ͡ɪs(͡n͡e)
Work	(͡e͡n)wˈɜːk(͡n͡e)
Yadav	(͡e͡n)jˈadav(͡n͡e)
nepal	(͡e͡n)nɛpˈɔːl(͡n͡e)
आइएमइ	ˌaːɪˈeːməˌɪ
आईएसआई	ˌaːɪːˌeːsəˈaːi
आरए	ˈaːɾəˌeː
आरओ	ˈaːɾəˌoː
आवशयक	ˈaːwəʃˌəjəkˌə
ईआईएफ	ˌɪːaːɪːˈeːpʰ
एचएच	ˌeːcəˈeːc
एलन	ˈeːlən
ओयल	ˈoːjəl
ओरल	ˈoːɾəl
ओसन	ˈoːsən
कमलदह	kˈʌməlˌədəhˌə
चकचक	cˈʌkəcˌəkə
छलकपट	cʰˈʌləkˌəpəʈ
जप	ɟˈʌp
डल	ɖˈʌl
ण	ɳˈə
तबल	tˈʌbəl
तलतल	tˈʌlətˌəl
नब	nˈʌb
नस	nˈʌs
पज	pˈʌɟ
फसल	pʰˈʌsəl
बत	bˈʌt
बबल	bˈʌbəl
भ	bʰˈə
भईन	bʰəˈɪːn
रफ	ɾˈʌpʰ
सप	sˈʌp
सफर	sˈʌpʰəɾˌə
हम	hˈʌmə
हवस	hˈʌwəs
ADSL	(͡e͡n)ˌe͡ɪdˌiːˌɛsˈɛl(͡n͡e)
Asia	(͡e͡n)ˈe͡ɪʃə(͡n͡e)
Assembly	(͡e͡n)ɐsˈɛmblɪ(͡n͡e)
Center	(͡e͡n)sˈɛntə(͡n͡e)
Central	(͡e͡n)sˈɛntɹə͡l(͡n͡e)
Daily	(͡e͡n)dˈe͡ɪli(͡n͡e)
Declaration	(͡e͡n)dˌɛkləɹˈe͡ɪʃən(͡n͡e)
Division	(͡e͡n)dɪvˈɪʒən(͡n͡e)
Federation	(͡e͡n)fˌɛdəɹˈe͡ɪʃən(͡n͡e)
Framework	(͡e͡n)fɹˈe͡ɪmwɜːk(͡n͡e)
Gen	(͡e͡n)d͡ʒˈɛn(͡n͡e)
Google	(͡e͡n)ɡˈuːɡə͡l(͡n͡e)
Government	(͡e͡n)ɡˈʌvənmənt(͡n͡e)
Issued	(͡e͡n)ˈɪʃuːd(͡n͡e)
Kumar	(͡e͡n)kuːmˈɑː(͡n͡e)
Minister	(͡e͡n)mˈɪnɪstə(͡n͡e)
Performance	(͡e͡n)pəfˈɔːməns(͡n͡e)
Protection	(͡e͡n)pɹətˈɛkʃən(͡n͡e)
SLC	(͡e͡n)ˌɛsˌɛlsˈiː(͡n͡e)
Scanned	(͡e͡n)skˈand(͡n͡e)
law	(͡e͡n)lˈɔː(͡n͡e)
sex	(͡e͡n)sˈɛks(͡n͡e)
अतहर	ˈʌtəhˌəɾə
अमनचयन	ˈʌmənˌəcəjˌən
अलप	ˈʌləp
असम	ˈʌsəmˌə
आइएलओ	ˌaːɪˈeːləˌoː
आईईई	ˌaːɪːˈɪːi
आट	ˈaːʈ
आयरन	ˈaːjəɾˌən
आरएस	ˌaːɾəˈeːs
एएनए	eːˈeːnəˌeː
एकड	ˈeːkəɖ
एकतह	ˈeːkətˌəhə
एमआई	ˌeːməˈaːi
एमआरएफ	ˌeːməˌaːɾəˈeːpʰ
खटन	kʰˈʌʈən
खलक	kʰˈʌləkˌə
खश	kʰˈʌʃ
गल	ɡˈʌl
छल	cʰˈʌl
जगन	ɟˈʌɡən
जयमल	ɟˈʌjəmˌəl
झमझम	ɟʰˈʌməɟʰˌəmə
झवर	ɟʰˈʌwəɾˌə
नभन	nˈʌbʰən
पलपल	pˈʌləpˌəl
फलत	pʰˈʌlət
बलम	bˈʌləmˌə
बसउठ	bˈʌsəˌʊʈʰ
बहश	bˈʌhəʃ
भरण	bʰˈʌɾəɳ
मदननगर	mˈʌdənˌənəɡˌəɾə
मरण	mˈʌɾəɳ
लखनऊ	lˈʌkʰənˌəʊ
ललन	lˈʌlən
