ও	oː
ইলম	ˈilɔm
উৎকল	ˈutkɔl
এনএ	ˈenɔˌe
এসএ	ˈeʃɔˌe
তৎসম	tˈɔtʃɔm
মকর	mˈɔkɔɾ
শতশত	ʃˈɔtɔʃˌɔto
শরবত	ʃˈɔɾɔbˌɔto
সল	ʃˈɔl
An	(͡e͡n)an(͡b͡n)
Charles	(͡e͡n)t͡ʃˈɑːlz(͡b͡n)
Group	(͡e͡n)ɡɹˈuːp(͡b͡n)
Michael	(͡e͡n)mˈa͡ɪkə͡l(͡b͡n)
No	(͡e͡n)nˈə͡ʊ(͡b͡n)
PNG	(͡e͡n)pˌiːˌɛnd͡ʒˈiː(͡b͡n)
Royal	(͡e͡n)ɹˈɔ͡ɪə͡l(͡b͡n)
States	(͡e͡n)stˈe͡ɪts(͡b͡n)
Streeton	(͡e͡n)stɹˈiːtən(͡b͡n)
al	(͡e͡n)ˈal(͡b͡n)
g	(͡e͡n)d͡ʒˈiː(͡b͡n)
অদলবদল	ˈɔdɔlˌɔbɔdˌɔl
আগমণ	ˈaɡɔmˌɔn
আনত	ˈanɔtˌo
উলফ	ˈulɔf
এনএফএল	ˈenɔˌefɔˌel
ওহ	ˈoːho
কসরত	kˈɔʃɔɾˌɔto
বৎ	bˈɔt
রইল	ɾˈoil
College	(͡e͡n)kˈɒlɪd͡ʒ(͡b͡n)
George	(͡e͡n)d͡ʒˈɔːd͡ʒ(͡b͡n)
Muslim	(͡e͡n)mˈʊzlɪm(͡b͡n)
W	(͡e͡n)dˈʌbə͡ljˌuː(͡b͡n)
pages	(͡e͡n)pˈe͡ɪd͡ʒɪz(͡b͡n)
আইএএফ	ˈaiˌeef
আসফ	ˈaʃɔf
এএসআই	ˈeeʃˌɔaˌi
প	pˈɔ
ভগত	bʰˈɔɡɔtˌo
Calcutta	(͡e͡n)kalkˈʌtə(͡b͡n)
Cricket	(͡e͡n)kɹˈɪkɪt(͡b͡n)
From	(͡e͡n)fɹɒm(͡b͡n)
Haigh	(͡e͡n)hˈe͡ɪɡ(͡b͡n)
IV	(͡e͡n)ɹˌə͡ʊmən fˈɔː(͡b͡n)
Modern	(͡e͡n)mˈɒdən(͡b͡n)
Penguin	(͡e͡n)pˈɛŋɡwɪn(͡b͡n)
Publishing	(͡e͡n)pˈʌblɪʃɪŋ(͡b͡n)
SO	(͡e͡n)sˈə͡ʊ(͡b͡n)
Science	(͡e͡n)sˈa͡ɪ͡əns(͡b͡n)
September	(͡e͡n)sɛptˈɛmbə(͡b͡n)
White	(͡e͡n)wˈa͡ɪt(͡b͡n)
theory	(͡e͡n)θˈi͡əɹi(͡b͡n)
z	(͡e͡n)zˈɛd(͡b͡n)
আইইইই	ˈaiˌiiˌi
আইএসএসএন	ˈaiˌeʃɔˌeʃɔˌen
উৎপল	ˈutpɔl
এরর	ˈeɾɔɾ
ওপরও	ˈoːpɔɾˌɔoː
গণকবর	ɡˈɔnɔkˌɔbɔɾ
ধরম	dʰˈɔɾɔm
রইস	ɾˈoiʃ
রজন	ɾˈoɟɔn
হ	hˈɔ
হকসহ	hˈɔkɔʃˌɔho
Asia	(͡e͡n)ˈe͡ɪʃə(͡b͡n)
British	(͡e͡n)bɹˈɪtɪʃ(͡b͡n)
By	(͡e͡n)bˈa͡ɪ(͡b͡n)
Council	(͡e͡n)kˈa͡ʊnsə͡l(͡b͡n)
Die	(͡e͡n)dˈa͡ɪ(͡b͡n)
East	(͡e͡n)ˈiːst(͡b͡n)
Historical	(͡e͡n)hɪstˈɒɹɪkə͡l(͡b͡n)
আউশ	ˈauʃ
আবরন	ˈabɔɾˌɔn
আলবদর	ˈalɔbˌɔdɔɾ
উঠত	ˈuʈʰɔtˌo
উর	ˈuɾ
এএস	ˈeeʃ
এটন	ˈeʈɔn
এব	ˈeb
কই	kˈoi
ঘ	ɡʰˈɔ
ঘট	ɡʰˈɔʈ
ঘনক	ɡʰˈɔnɔk
দ	dˈɔ
দলবল	dˈɔlɔbˌɔl
পঠন	pˈɔʈʰɔn
বছরও	bˈɔt͡ʃʰɔɾˌɔoː
সহজতম	ʃˈɔhɔɟˌɔtɔm
Accessed	(͡e͡n)ˈaksɛst(͡b͡n)
Army	(͡e͡n)ˈɑːmi(͡b͡n)
City	(͡e͡n)sˈɪti(͡b͡n)
Cl	(͡e͡n)sˌiːˈɛl(͡b͡n)
Cobb	(͡e͡n)kˈɒb(͡b͡n)
General	(͡e͡n)d͡ʒˈɛnəɹə͡l(͡b͡n)
Human	(͡e͡n)hjˈuːmən(͡b͡n)
Osprey	(͡e͡n)ˈɒspɹi(͡b͡n)
Peter	(͡e͡n)pˈiːtə(͡b͡n)
no	(͡e͡n)nˈə͡ʊ(͡b͡n)
v	(͡e͡n)vˈiː(͡b͡n)
van	(͡e͡n)vˈan(͡b͡n)
β	(͡e͡l)vˈita(͡b͡n)
π	(͡e͡l)pˈi(͡b͡n)
আইএনএ	ˈaiˌenɔˌe
ইএমআই	ˈiemˌɔaˌi
ইস	ˈiʃ
এইস	ˈeiʃ
এমএম	ˈemɔˌem
এমএল	ˈemɔˌel
এসএম	ˈeʃɔˌem
কন	kˈɔn
ঙ	ˈuŋɡɔ̃
জমজম	ɟˈɔmɔɟˌɔm
জহর	ɟˈɔhɔɾ
ডটকম	ɖˈɔʈɔkˌɔm
পলস	pˈɔlɔʃ
রণ	ɾˈɔn
রদবদল	ɾˈodɔbˌɔdɔl
রম	ɾˈɔm
সজল	ʃˈɔɟɔl
Assam	(͡e͡n)ɑːsˈɑːm(͡b͡n)
Company	(͡e͡n)kˈʌmpəni(͡b͡n)
House	(͡e͡n)hˈa͡ʊs(͡b͡n)
Louis	(͡e͡n)lˈuːi(͡b͡n)
NH	(͡e͡n)ˌɛnˈe͡ɪt͡ʃ(͡b͡n)
Na	(͡e͡n)nˈɑː(͡b͡n)
Nature	(͡e͡n)nˈe͡ɪt͡ʃə(͡b͡n)
Routledge	(͡e͡n)ɹˈa͡ʊtə͡ld͡ʒ(͡b͡n)
South	(͡e͡n)sˈa͡ʊθ(͡b͡n)
Thomas	(͡e͡n)tˈɒməs(͡b͡n)
ed	(͡e͡n)ˈɛd(͡b͡n)
pg	(͡e͡n)pˌiːd͡ʒˈiː(͡b͡n)
আইআর	ˈaiˌaɾ
আইএএএফ	ˈaiˌeeˌef
আইএমএফ	ˈaiˌemɔˌef
আইএসএসএফ	ˈaiˌeʃɔˌeʃɔˌef
ইউএফও	ˈiuˌefɔˌoː
উইলস	ˈuilˌɔʃ
ঊষর	ˈuʃɔɾ
এএআই	ˈeeˌai
এমআরআই	ˈemɔˌaɾɔˌai
ওপরই	ˈoːpɔɾˌɔi
কক	kˈɔk
কখনওই	kˈɔkʰɔnˌɔoːˌi
কতক	kˈɔtɔk
টমসন	ʈˈɔmɔʃˌɔn
ঢপ	ɖʰˈɔp
ধলই	dʰˈɔlɔˌi
নও	nˈɔoː
নফল	nˈɔfɔl
ফরম	fˈɔɾɔm
বদন	bˈɔdɔn
বম	bˈɔm
সরস	ʃˈɔɾɔʃ
Green	(͡e͡n)ɡɹˈiːn(͡b͡n)
Man	(͡e͡n)mˈan(͡b͡n)
Martin	(͡e͡n)mˈɑːtɪn(͡b͡n)
One	(͡e͡n)wˈɒn(͡b͡n)
Pakistan	(͡e͡n)pˌakɪstˈɑːn(͡b͡n)
Political	(͡e͡n)pəlˈɪtɪkə͡l(͡b͡n)
Publications	(͡e͡n)pˌʌblɪkˈe͡ɪʃənz(͡b͡n)
Story	(͡e͡n)stˈɔːɹi(͡b͡n)
base	(͡e͡n)bˈe͡ɪs(͡b͡n)
α	(͡e͡l)ˈalfa(͡b͡n)
অজ	ˈɔɟ
আইএস	ˈaiˌeʃ
আদ	ˈad
উইশ	ˈuiʃ
এইমস	ˈeimˌɔʃ
এডলফ	ˈeɖɔlˌɔf
এমএলএম	ˈemɔˌelɔˌem
কলহ	kˈɔlɔhˌo
জট	ɟˈɔʈ
টর	ʈˈɔɾ
শরণ	ʃˈɔɾɔn
সনম	ʃˈɔnɔm
সরফ	ʃˈɔɾɔf
Education	(͡e͡n)ˌɛd͡ʒuːkˈe͡ɪʃən(͡b͡n)
Encyclopaedia	(͡e͡n)ɛnsˌa͡ɪkləpˈiːdi͡ə(͡b͡n)
February	(͡e͡n)fˈɛbɹuːəɹi(͡b͡n)
High	(͡e͡n)hˈa͡ɪ(͡b͡n)
Introduction	(͡e͡n)ˌɪntɹədˈʌkʃən(͡b͡n)
Islamic	(͡e͡n)ɪslˈɑːmɪk(͡b͡n)
LDL	(͡e͡n)ˌɛldˌiːˈɛl(͡b͡n)
Muhammad	(͡e͡n)məhˈamɪd(͡b͡n)
Power	(͡e͡n)pˈa͡ʊə(͡b͡n)
San	(͡e͡n)sˌan(͡b͡n)
Social	(͡e͡n)sˈə͡ʊʃə͡l(͡b͡n)
culture	(͡e͡n)kˈʌlt͡ʃə(͡b͡n)
অত	ˈɔto
অবনত	ˈɔbɔnˌɔto
আউস	ˈauʃ
আমরণ	ˈamɔɾˌɔn
উপকরন	ˈupɔkˌɔɾɔn
উৎখনন	ˈutkʰɔnˌɔn
এআরএম	ˈeaɾˌɔem
এলএল	ˈelɔˌel
কজন	kˈɔɟɔn
গগন	ɡˈɔɡɔn
চমচম	t͡ʃˈɔmɔt͡ʃˌɔm
জক	ɟˈɔk
জশ	ɟˈɔʃ
থম	tʰˈɔm
ফজর	fˈɔɟɔɾ
বশ	bˈɔʃ
লসন	lˈɔʃɔn
শহরই	ʃˈɔhɔɾˌɔi
সমতট	ʃˈɔmɔtˌɔʈ
সহমত	ʃˈɔhɔmˌɔto
Altekar	(͡e͡n)ˈɔːltɪkˌɑː(͡b͡n)
California	(͡e͡n)kˌalɪfˈɔːni͡ə(͡b͡n)
Co	(͡e͡n)kˈə͡ʊ(͡b͡n)
Dr	(͡e͡n)dˈɒktə(͡b͡n)
EHG	(͡e͡n)ˈe͡ɪɡ(͡b͡n)
Early	(͡e͡n)ˈɜːlɪ(͡b͡n)
Google	(͡e͡n)ɡˈuːɡə͡l(͡b͡n)
Grand	(͡e͡n)ɡɹˈand(͡b͡n)
Hill	(͡e͡n)hˈɪl(͡b͡n)
Ibn	(͡e͡n)ˈɪbən(͡b͡n)
Les	(͡e͡n)lˈɛs(͡b͡n)
Love	(͡e͡n)lˈʌv(͡b͡n)
OH	(͡e͡n)ˈə͡ʊ(͡b͡n)
Radio	(͡e͡n)ɹˈe͡ɪdɪˌə͡ʊ(͡b͡n)
Sciences	(͡e͡n)sˈa͡ɪ͡ənsɪz(͡b͡n)
Sir	(͡e͡n)sˌɜː(͡b͡n)
US	(͡e͡n)jˌuːˈɛs(͡b͡n)
en	(͡e͡n)ˈɛn(͡b͡n)
অরটন	ˈɔɾɔʈˌɔn
আইএএস	ˈaiˌeeʃ
আনলক	ˈanɔlˌɔk
আরআর	ˈaɾɔˌaɾ
আসগর	ˈaʃɔɡˌɔɾ
ইউথ	ˈiutʰ
ইগর	ˈiɡɔɾ
এমএফএ	ˈemɔˌefɔˌe
কপ	kˈɔp
কফ	kˈɔf
কমর	kˈɔmɔɾ
ঘটল	ɡʰˈɔʈɔl
পটল	pˈɔʈɔl
পদকসহ	pˈɔdɔkˌɔʃɔhˌo
ভগৎ	bʰˈɔɡɔt
মঈন	mˈoin
শব	ʃˈɔb
হয	hˈɔd͡ʒ
Age	(͡e͡n)ˈe͡ɪd͡ʒ(͡b͡n)
Bengali	(͡e͡n)bɛŋɡˈɑːli(͡b͡n)
Brown	(͡e͡n)bɹˈa͡ʊn(͡b͡n)
Economic	(͡e͡n)ˌiːkənˈɒmɪk(͡b͡n)
IP	(͡e͡n)ˌa͡ɪpˈiː(͡b͡n)
ISBN	(͡e͡n)ˌa͡ɪˌɛsbˌiːˈɛn(͡b͡n)
Lee	(͡e͡n)lˈiː(͡b͡n)
Medical	(͡e͡n)mˈɛdɪkə͡l(͡b͡n)
Public	(͡e͡n)pˈʌblɪk(͡b͡n)
Service	(͡e͡n)sˈɜːvɪs(͡b͡n)
Smith	(͡e͡n)smˈɪθ(͡b͡n)
Studies	(͡e͡n)stˈʌdiz(͡b͡n)
also	(͡e͡n)ˈɔːlsə͡ʊ(͡b͡n)
sp	(͡e͡n)ˌɛspˈiː(͡b͡n)
und	(͡e͡n)ˈʌnd(͡b͡n)
আইএসআইএল	ˈaiˌeʃɔˌaiˌel
আতর	ˈatɔɾ
আপতন	ˈapɔtˌɔn
আরএমএস	ˈaɾɔˌemɔˌeʃ
আরওএইচ	ˈaɾɔˌoːeˌit͡ʃ
ইএ	ˈie
ইসমত	ˈiʃɔmˌɔto
এএইচ	ˈeeˌit͡ʃ
এএএ	ˈeeˌe
এনএইচএল	ˈenɔˌeit͡ʃˌɔel
এসওএস	ˈeʃɔˌoːeʃ
এসবই	ˈeʃɔbˌɔi
কজ	kˈɔɟ
খতম	kʰˈɔtɔm
খরচও	kʰˈɔɾɔt͡ʃˌɔoː
গট	ɡˈɔʈ
জনম	ɟˈɔnɔm
তরণ	tˈɔɾɔn
নজদ	nˈɔɟɔd
পদও	pˈɔdɔˌoː
পরশ	pˈɔɾɔʃ
ফলও	fˈɔlɔˌoː
বখশ	bˈɔkʰɔʃ
ভবণ	bʰˈɔbɔn
ভবনসহ	bʰˈɔbɔnˌɔʃɔhˌo
সদন	ʃˈɔdɔn
সরলতম	ʃˈɔɾɔlˌɔtɔm
All	(͡e͡n)ˈɔːl(͡b͡n)
Allen	(͡e͡n)ˈalən(͡b͡n)
America	(͡e͡n)ɐmˈɛɹɪkə(͡b͡n)
Analysis	(͡e͡n)ɐnˈaləsˌɪs(͡b͡n)
Black	(͡e͡n)blˈak(͡b͡n)
Central	(͡e͡n)sˈɛntɹə͡l(͡b͡n)
Cultural	(͡e͡n)kˈʌlt͡ʃəɹə͡l(͡b͡n)
Day	(͡e͡n)dˈe͡ɪ(͡b͡n)
Development	(͡e͡n)dɪvˈɛləpmənt(͡b͡n)
Edition	(͡e͡n)ɪdˈɪʃən(͡b͡n)
Fe	(͡e͡n)fˈiː(͡b͡n)
First	(͡e͡n)fˈɜːst(͡b͡n)
Health	(͡e͡n)hˈɛlθ(͡b͡n)
Henry	(͡e͡n)hˈɛnɹi(͡b͡n)
NAIRU	(͡e͡n)nˈe͡əɹuː(͡b͡n)
People	(͡e͡n)pˈiːpə͡l(͡b͡n)
Policy	(͡e͡n)pˈɒlɪsi(͡b͡n)
Principles	(͡e͡n)pɹˈɪnsɪpə͡lz(͡b͡n)
Robinson	(͡e͡n)ɹˈɒbɪnsən(͡b͡n)
Roy	(͡e͡n)ɹˈɔ͡ɪ(͡b͡n)
SVG	(͡e͡n)ˌɛsvˌiːd͡ʒˈiː(͡b͡n)
Se	(͡e͡n)sˈiː(͡b͡n)
Secret	(͡e͡n)sˈiːkɹɪt(͡b͡n)
Study	(͡e͡n)stˈʌdi(͡b͡n)
Time	(͡e͡n)tˈa͡ɪm(͡b͡n)
not	(͡e͡n)nˈɒt(͡b͡n)
o	(͡e͡n)ˈə͡ʊ(͡b͡n)
vol	(͡e͡n)vˈɒl(͡b͡n)
অপরজন	ˈɔpɔɾˌɔɟɔn
আইচ	ˈait͡ʃ
আপটন	ˈapɔʈˌɔn
আরজ	ˈaɾɔɟ
ইউআরএল	ˈiuˌaɾɔˌel
ইপ	ˈip
উইদ	ˈuid
উৎসবও	ˈutʃɔbˌɔoː
এসএমই	ˈeʃɔˌemɔˌi
এসএসএইচ	ˈeʃɔˌeʃɔˌeit͡ʃ
ওইসব	ˈoːiʃˌɔb
কটক	kˈɔʈɔk
কথন	kˈɔtʰɔn
কষ	kˈɔʃ
ঘটত	ɡʰˈɔʈɔtˌo
ফ	fˈɔ
ফখর	fˈɔkʰɔɾ
ভগবত	bʰˈɔɡɔbˌɔto
মইন	mˈoin
মরণ	mˈɔɾɔn
শশধর	ʃˈɔʃɔdʰˌɔɾ
Al	(͡e͡n)ˈal(͡b͡n)
Commission	(͡e͡n)kəmˈɪʃən(͡b͡n)
Committee	(͡e͡n)kəmˈɪti(͡b͡n)
Cu	(͡e͡n)kˈuː(͡b͡n)
Gibson	(͡e͡n)ɡˈɪbsən(͡b͡n)
Global	(͡e͡n)ɡlˈə͡ʊbə͡l(͡b͡n)
Joseph	(͡e͡n)d͡ʒˈə͡ʊsəf(͡b͡n)
Khan	(͡e͡n)kˈɑːn(͡b͡n)
Literature	(͡e͡n)lˈɪtɹɪt͡ʃə(͡b͡n)
Mark	(͡e͡n)mˈɑːk(͡b͡n)
Museum	(͡e͡n)mjuːzˈi͡əm(͡b͡n)
News	(͡e͡n)njˈuːz(͡b͡n)
Of	(͡e͡n)ɒv(͡b͡n)
Order	(͡e͡n)ˈɔːdə(͡b͡n)
Perry	(͡e͡n)pˈɛɹi(͡b͡n)
Philosophy	(͡e͡n)fɪlˈɒsəfi(͡b͡n)
Republic	(͡e͡n)ɹɪpˈʌblɪk(͡b͡n)
Singh	(͡e͡n)sˈɪŋ(͡b͡n)
Williams	(͡e͡n)wˈɪli͡əmz(͡b͡n)
cell	(͡e͡n)sˈɛl(͡b͡n)
l	(͡e͡n)ˈɛl(͡b͡n)
language	(͡e͡n)lˈaŋɡwɪd͡ʒ(͡b͡n)
state	(͡e͡n)stˈe͡ɪt(͡b͡n)
von	(͡e͡n)vˈɒn(͡b͡n)
w	(͡e͡n)dˈʌbə͡ljˌuː(͡b͡n)
θ	(͡e͡l)θˈita(͡b͡n)
আইপড	ˈaipˌɔɖ
আও	ˈaoː
আত	ˈato
ইউই	ˈiuˌi
ঈগলস	ˈiɡɔlˌɔʃ
উইকস	ˈuikˌɔʃ
উইট	ˈuiʈ
এইউ	ˈeiˌu
এইচআর	ˈeit͡ʃˌɔaɾ
এবছর	ˈebɔt͡ʃʰˌɔɾ
এমএসএস	ˈemɔˌeʃɔˌeʃ
এলএ	ˈelɔˌe
এসএসআর	ˈeʃɔˌeʃɔˌaɾ
গণভবন	ɡˈɔnɔbʰˌɔbɔn
ডসন	ɖˈɔʃɔn
ণ	mˌoddʰeɳɳˈɔ
ননদ	nˈɔnɔd
পথও	pˈɔtʰɔˌoː
পরখ	pˈɔɾɔkʰ
ফরয	fˈɔɾɔd͡ʒ
বটম	bˈɔʈɔm
বরকল	bˈɔɾɔkˌɔl
মনন	mˈɔnɔn
রঙও	ɾˈoŋɔˌoː
সর	ʃˈɔɾ
হব	hˈɔb
হলঘর	hˈɔlɔɡʰˌɔɾ
Alfred	(͡e͡n)ˈalfɹɪd(͡b͡n)
For	(͡e͡n)fɔː(͡b͡n)
Government	(͡e͡n)ɡˈʌvənmənt(͡b͡n)
How	(͡e͡n)hˈa͡ʊ(͡b͡n)
Jones	(͡e͡n)d͡ʒˈə͡ʊnz(͡b͡n)
Kamath	(͡e͡n)kˈamaθ(͡b͡n)
List	(͡e͡n)lˈɪst(͡b͡n)
Politics	(͡e͡n)pˈɒlətˌɪks(͡b͡n)
Project	(͡e͡n)pɹˈɒd͡ʒɛkt(͡b͡n)
Publishers	(͡e͡n)pˈʌblɪʃəz(͡b͡n)
RNA	(͡e͡n)ˌɑːɹˌɛnˈe͡ɪ(͡b͡n)
Revolution	(͡e͡n)ɹˌɛvəlˈuːʃən(͡b͡n)
Saint	(͡e͡n)sˈe͡ɪnt(͡b͡n)
Space	(͡e͡n)spˈe͡ɪs(͡b͡n)
This	(͡e͡n)ðˈɪs(͡b͡n)
To	(͡e͡n)tuː(͡b͡n)
acid	(͡e͡n)ˈasɪd(͡b͡n)
effect	(͡e͡n)ɪfˈɛkt(͡b͡n)
অঘটন	ˈɔɡʰɔʈˌɔn
অলআউট	ˈɔlɔˌauʈ
অসমতল	ˈɔʃɔmˌɔtɔl
আউল	ˈaul
ইউকন	ˈiukˌɔn
ইউজ	ˈiuɟ
ইটস	ˈiʈɔʃ
এআর	ˈeaɾ
এইজ	ˈeiɟ
এএফআই	ˈeefˌɔaˌi
এমআই	ˈemɔˌai
এলএলএম	ˈelɔˌelɔˌem
ওলসন	ˈoːlɔʃˌɔn
কচ	kˈɔt͡ʃ
কনর	kˈɔnɔɾ
কসমস	kˈɔʃɔmˌɔʃ
খই	kʰˈoi
গওহর	ɡˈɔoːhˌɔɾ
গডস	ɡˈɔɖɔʃ
জনপথ	ɟˈɔnɔpˌɔtʰ
ডল	ɖˈɔl
তছনছ	tˈɔt͡ʃʰɔnˌɔt͡ʃʰ
ধবন	dʰˈɔbɔn
নসর	nˈɔʃɔɾ
পদকও	pˈɔdɔkˌɔoː
পরব	pˈɔɾɔb
মতও	mˈɔtɔˌoː
মরমন	mˈɔɾɔmˌɔn
য	ˌontosted͡ʒˈɔ
রবসন	ɾˈobɔʃˌɔn
ﷺ	lˈetəˈefdˈiːˈefˈeːj
Ali	(͡e͡n)ˈɑːli(͡b͡n)
Arab	(͡e͡n)ˈaɹəb(͡b͡n)
Article	(͡e͡n)ˈɑːtɪkə͡l(͡b͡n)
Asiatic	(͡e͡n)ˌe͡ɪʒɪˈatɪk(͡b͡n)
Award	(͡e͡n)ɐwˈɔːd(͡b͡n)
BC	(͡e͡n)bˌiːsˈiː(͡b͡n)
BMI	(͡e͡n)bˌiːˌɛmˈa͡ɪ(͡b͡n)
Britain	(͡e͡n)bɹˈɪtən(͡b͡n)
Center	(͡e͡n)sˈɛntə(͡b͡n)
Centre	(͡e͡n)sˈɛntə(͡b͡n)
Century	(͡e͡n)sˈɛnt͡ʃəɹi(͡b͡n)
District	(͡e͡n)dˈɪstɹɪkt(͡b͡n)
Foreign	(͡e͡n)fˈɒɹən(͡b͡n)
Greek	(͡e͡n)ɡɹˈiːk(͡b͡n)
Jean	(͡e͡n)d͡ʒˈiːn(͡b͡n)
Limited	(͡e͡n)lˈɪmɪtɪd(͡b͡n)
Ltd	(͡e͡n)lˈɪmɪtɪd(͡b͡n)
Middle	(͡e͡n)mˈɪdə͡l(͡b͡n)
Party	(͡e͡n)pˈɑːti(͡b͡n)
Pimlott	(͡e͡n)pˈɪmlɒt(͡b͡n)
Red	(͡e͡n)ɹˈɛd(͡b͡n)
Russian	(͡e͡n)ɹˈʌʃən(͡b͡n)
Second	(͡e͡n)sˈɛkənd(͡b͡n)
Short	(͡e͡n)ʃˈɔːt(͡b͡n)
Swanton	(͡e͡n)swˈantən(͡b͡n)
apex	(͡e͡n)ˈe͡ɪpɛks(͡b͡n)
film	(͡e͡n)fˈɪlm(͡b͡n)
his	(͡e͡n)hˈɪz(͡b͡n)
ibn	(͡e͡n)ˈɪbən(͡b͡n)
law	(͡e͡n)lˈɔː(͡b͡n)
আইএসআই	ˈaiˌeʃɔˌai
আইও	ˈaiˌoː
আইজ	ˈaiɟ
ইউল	ˈiul
ঋষভ	ɾˈiʃɔbʰ
এগ	ˈeɡ
এনএম	ˈenɔˌem
এনএমআর	ˈenɔˌemɔˌaɾ
এপ	ˈep
এলটন	ˈelɔʈˌɔn
এসএইচ	ˈeʃɔˌeit͡ʃ
ওফ	ˈoːf
ওরশ	ˈoːɾɔʃ
জগ	ɟˈɔɡ
জনগণই	ɟˈɔnɔɡˌɔnɔˌi
পলক	pˈɔlɔk
বখত	bˈɔkʰɔtˌo
বরই	bˈɔɾɔˌi
বলও	bˈɔlɔˌoː
বলদ	bˈɔlɔd
ভবনও	bʰˈɔbɔnˌɔoː
মলম	mˈɔlɔm
সগর	ʃˈɔɡɔɾ
সরগন	ʃˈɔɾɔɡˌɔn
AND	(͡e͡n)and(͡b͡n)
Academy	(͡e͡n)ɐkˈadəmi(͡b͡n)
Arts	(͡e͡n)ˈɑːts(͡b͡n)
Classical	(͡e͡n)klˈasɪkə͡l(͡b͡n)
Companion	(͡e͡n)kəmpˈani͡ən(͡b͡n)
Conference	(͡e͡n)kˈɒnfɹəns(͡b͡n)
Department	(͡e͡n)dɪpˈɑːtmənt(͡b͡n)
Der	(͡e͡n)dˈe͡ə(͡b͡n)
Europe	(͡e͡n)jˈʊ͡əɹəp(͡b͡n)
Francis	(͡e͡n)fɹˈansɪs(͡b͡n)
God	(͡e͡n)ɡˈɒd(͡b͡n)
Guide	(͡e͡n)ɡˈa͡ɪd(͡b͡n)
Handbook	(͡e͡n)hˈandbʊk(͡b͡n)
Harry	(͡e͡n)hˈaɹi(͡b͡n)
Hart	(͡e͡n)hˈɑːt(͡b͡n)
Information	(͡e͡n)ˌɪnfəmˈe͡ɪʃən(͡b͡n)
Kolkata	(͡e͡n)kɒlkˈɑːtə(͡b͡n)
Last	(͡e͡n)lˈast(͡b͡n)
Little	(͡e͡n)lˈɪtə͡l(͡b͡n)
Mal	(͡e͡n)mˈal(͡b͡n)
MnO	(͡e͡n)ˌɛmˈɛn ˈə͡ʊ(͡b͡n)
Murphy	(͡e͡n)mˈɜːfi(͡b͡n)
Natural	(͡e͡n)nˈat͡ʃəɹə͡l(͡b͡n)
Office	(͡e͡n)ˈɒfɪs(͡b͡n)
Organization	(͡e͡n)ˌɔːɡɐna͡ɪzˈe͡ɪʃən(͡b͡n)
Oriental	(͡e͡n)ˌɔːɹɪˈɛntə͡l(͡b͡n)
Prize	(͡e͡n)pɹˈa͡ɪz(͡b͡n)
RETScreen	(͡e͡n)ˈɑːɹ ˈiː tˈiː skɹˈiːn(͡b͡n)
Religious	(͡e͡n)ɹɪlˈɪd͡ʒəs(͡b͡n)
Scientific	(͡e͡n)sa͡ɪ͡əntˈɪfɪk(͡b͡n)
Sydney	(͡e͡n)sˈɪdni(͡b͡n)
Tom	(͡e͡n)tˈɒm(͡b͡n)
Top	(͡e͡n)tˈɒp(͡b͡n)
Water	(͡e͡n)wˈɔːtə(͡b͡n)
Wisden	(͡e͡n)wˈɪsdən(͡b͡n)
Years	(͡e͡n)jˈi͡əz(͡b͡n)
blue	(͡e͡n)blˈuː(͡b͡n)
death	(͡e͡n)dˈɛθ(͡b͡n)
district	(͡e͡n)dˈɪstɹɪkt(͡b͡n)
group	(͡e͡n)ɡɹˈuːp(͡b͡n)
model	(͡e͡n)mˈɒdə͡l(͡b͡n)
out	(͡e͡n)ˈa͡ʊt(͡b͡n)
power	(͡e͡n)pˈa͡ʊə(͡b͡n)
thorax	(͡e͡n)θˈɔːɹaks(͡b͡n)
অহরহ	ˈɔhɔɾˌɔho
আইনও	ˈainˌɔoː
আকর	ˈakɔɾ
আগর	ˈaɡɔɾ
আফজল	ˈafɔɟˌɔl
আরশ	ˈaɾɔʃ
আহল	ˈahɔl
ইআর	ˈiaɾ
ইফ	ˈif
ইম	ˈim
এইচএম	ˈeit͡ʃˌɔem
একন	ˈekɔn
এফআইআর	ˈefɔˌaiˌaɾ
এমনসব	ˈemɔnˌɔʃɔb
এসইও	ˈeʃɔˌioː
এসএসএল	ˈeʃɔˌeʃɔˌel
কনট	kˈɔnɔʈ
কম৷	kˈɔm
জলও	ɟˈɔlɔˌoː
জলতল	ɟˈɔlɔtˌɔl
জস	ɟˈɔʃ
ঢল	ɖʰˈɔl
বলব	bˈɔlɔb
বলবত	bˈɔlɔbˌɔto
বশত	bˈɔʃɔtˌo
রকমই	ɾˈokɔmˌɔi
লগইন	lˈɔɡɔˌin
Adams	(͡e͡n)ˈadəmz(͡b͡n)
Area	(͡e͡n)ˈe͡əɹi͡ə(͡b͡n)
Assembly	(͡e͡n)ɐsˈɛmblɪ(͡b͡n)
Bank	(͡e͡n)bˈaŋk(͡b͡n)
Big	(͡e͡n)bˈɪɡ(͡b͡n)
Ca	(͡e͡n)kˈɑː(͡b͡n)
Chandra	(͡e͡n)t͡ʃˈʌndɹə(͡b͡n)
Cohen	(͡e͡n)kˈə͡ʊən(͡b͡n)
Color	(͡e͡n)kˈʌlə(͡b͡n)
Cotton	(͡e͡n)kˈɒtən(͡b͡n)
Culture	(͡e͡n)kˈʌlt͡ʃə(͡b͡n)
