тата	tˈata
ĕçĕ	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
Унта	ˈʊnta
вăхăтрах	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t r ˈa x
илет	ˈilɛt
уйăхĕн	ˈʊ j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
юнашар	junˈaʃar
Хулара	xulˈaɾa
анлă	ˈa n l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
йывăр	j ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r
хĕрлĕ	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Çапах	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p ˈa x
çурçĕр	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r
Анăç	ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
Иван	ˈivan
Ялта	jˈalta
вырăнти	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n t ˈɪ
уйрăлса	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l s ˈa
хăш	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ
Иванович	ˌivanˈovɪt͡ʃ
вырăнĕнче	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
йышне	jˈɯʃnɛ
кĕрекен	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈɛ k jˈæ n
мĕнле	m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n l jˈɛ
сарăлнă	s ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тăракан	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa k ˈa n
Атăл	ˈa t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l
Пĕр	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
иртнĕ	ˈɪ r t n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
никĕсленĕ	n ˈɪ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
тăраççĕ	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
çитнĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ĕçĕсене	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
Вырăс	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s
Малтан	mˈaltan
вăрман	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r m ˈa n
пулас	pˈulas
эрăччен	ˈɛ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t͡ʃ t͡ʃ jˈæ n
Тăван	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa n
метр	mˈɛtr
пĕлтерет	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l t jˈɛ r jˈɛ t
пыракан	pɯɾˈakan
чĕлхине	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ n jˈɛ
Китай	kˈitaj
Тепĕр	t jˈɛ p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
Хăйĕн	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
пурăнаççĕ	p ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
тени	tˈɛnɪ
Канада	kanˈada
куçарнă	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ӳнер	ˈynɛr
çити	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t ˈɪ
ĕмĕрĕн	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
йышăнать	j ˈɯ ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa t
нимĕç	n ˈɪ m (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
территорипе	tˌɛrritoɾˈipɛ
фронтăн	f r ˈɔ n t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
хуçалăх	x ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
Çаплах	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p l ˈa x
амăшĕ	ˈa m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
каланă	k ˈa l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
каласа	kalˈasa
облаçĕн	ˈɔ b l ˈa (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n
Вĕсен	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n
Владимир	vladˈimɪr
вĕренме	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈæ n m jˈɛ
пулнӑ	pˈʊlnɯ
пултарнă	p ˈʊ l t ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ывăлĕ	ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
артиллери	ˌartɪllˈɛɾɪ
вырăнĕ	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
иккĕ	ˈɪ k k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
йĕркеленĕ	j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r k jˈæ l jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пайташĕ	p ˈa j t ˈa ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пама	pˈama
пуçланса	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l ˈa n s ˈa
хутчен	xˈʊtt͡ʃɛn
çитет	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t jˈɛ t
Вăтам	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa m
Итали	itˈalɪ
урамĕ	ˈʊ r ˈa m (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чăвашсем	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa ʃ s jˈæ m
çапах	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p ˈa x
Вăта	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa
кура	kˈuɾa
уйăхĕнче	ˈʊ j (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
япала	japˈala
Çавăнпа	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n p ˈa
Çакăн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
кĕрсе	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r s jˈɛ
мĕн	m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
тĕпĕ	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çакăн	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
çулĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Хура	xˈuɾa
кĕçĕн	k (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n
тери	tˈɛɾɪ
хăшпĕр	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
вырăсла	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) s l ˈa
илеççĕ	ˈɪ l jˈɛ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
корпусĕн	k ˈɔ r p ˈʊ s (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
тухăç	t ˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
шкулĕнче	ʃ k ˈʊ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
çапса	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa p s ˈa
çултан	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l t ˈa n
Шупашкар	ʃupˈaʃkar
анăç	ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
вĕçĕнче	v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
иртет	ˈɪrtɛt
лейтенант	lɛjtˈɛnant
мĕншĕн	m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
официаллă	ˈɔ f ˈɪ t͡s ˈɪ ˈa l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пайне	pˈajnɛ
центрĕ	t͡s jˈæ n t r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
чĕлхипе	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ p jˈɛ
çĕре	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r jˈɛ
ĕçĕсем	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) s jˈæ m
Вăрçă	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v)
Василий	vasˈilɪj
Васильевич	vˌasɪlʲˈɛvɪt͡ʃ
майлă	m ˈa j l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
районĕн	r ˈa j ˈɔ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Кашни	kˈaʃnɪ
кăтартать	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t ˈa r t ˈa t
пурăнакан	p ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa k ˈa n
тупнă	t ˈʊ p n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тӗп	tˈɵp
ĕçлеме	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) l jˈæ m jˈɛ
ĕçченĕ	(͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) t͡ʃ jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Икĕ	ˈɪ k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Кайран	kˈajran
Рим	rˈɪm
вăйлă	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
илсен	ˈɪlsɛn
каллех	kˈallɛx
пурăнма	p ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n m ˈa
сывлăш	s ˈɯ v l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ
тĕсĕ	t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
ту	tˈʊ
хулана	xulˈana
чăн	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
çарĕсем	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
çурчĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
асăннă	ˈa s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
педагогика	pˌɛdaɡoɡˈika
пултараççĕ	p ˈʊ l t ˈa r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
шкулта	ʃkˈʊlta
вĕсенчен	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n t͡ʃ jˈæ n
курăнать	k ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa t
патши	pˈatʃɪ
паха	pˈaxa
политика	pˌolitˈika
сăмахран	s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x r ˈa n
танлашать	tanlˈaʃat
ĕмĕрте	(͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r t jˈɛ
Шыв	ʃˈɯv
ертӳçи	jˈɛ r t ˈø (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
тăрăшнă	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
шутласа	ʃʊtlˈasa
çула	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l ˈa
çумĕнчи	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ ˈɪ
çывăх	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
Иккĕмĕш	ˈɪ k k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ
Ленин	lˈɛnɪn
Шупашкарти	ʃˌupaʃkˈartɪ
варринче	varrˈɪnt͡ʃɛ
епле	jˈɛplɛ
пуян	pˈujan
уçнă	ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
чаплă	t͡ʃ ˈa p l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
юппи	jˈʊppɪ
ялта	jˈalta
II	(͡e͡n)ˈa͡ɪ ˈa͡ɪ(͡c͡v)
çамрăк	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa m r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
çумне	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ m n jˈɛ
Нумай	nˈumaj
Пĕтĕм	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) m
Тури	tˈuɾɪ
Тухăç	t ˈʊ x (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
вырăна	v ˈɯ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa
енне	jˈænnɛ
облаçĕ	ˈɔ b l ˈa (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
пине	pˈinɛ
тивĕçнĕ	t ˈɪ v (͡e͡n)ˌiːbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çумĕнче	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
Патшалăх	p ˈa t ʃ ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x
ларнă	l ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
малалла	malˈalla
пулнине	pʊlnˈinɛ
пулнипе	pʊlnˈipɛ
уйрăмах	ˈʊ j r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m ˈa x
хулара	xulˈaɾa
вӑл	vˈɯl
килет	kˈilɛt
пĕлтерĕшлĕ	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l t jˈɛ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) ʃ l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пайĕнче	p ˈa j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
палли	pˈallɪ
район	rˈajɔn
тапхăрĕнче	t ˈa p x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
тулли	tˈʊllɪ
хайланă	x ˈa j l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хастар	xˈastar
ячĕпе	jˈa t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
çумĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ m (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çынна	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n n ˈa
çыннисем	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n n ˈɪ s jˈæ m
çынсене	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n s jˈæ n jˈɛ
Ашшĕ	ˈa ʃ ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пулни	pˈʊlnɪ
пырса	pˈɯrsa
тытăнать	t ˈɯ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa t
ушкăнĕ	ˈʊ ʃ k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
хура	xˈuɾa
шутланă	ʃ ˈʊ t l ˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çирĕплетнĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p l jˈɛ t n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çм²	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) m (͡e͡n)tˈuː(͡c͡v)
Вĕсене	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ n jˈɛ
Каярах	kajˈaɾax
и	ˈɪ
кăларса	k (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l ˈa r s ˈa
ларать	lˈaɾat
пĕтерекен	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) t jˈɛ r jˈɛ k jˈæ n
таса	tˈasa
усӑ	ˈusɯ
ярать	jˈaɾat
çитме	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ t m jˈɛ
Лаптăкĕ	l ˈa p t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
институтĕнче	ˈɪ n s t ˈɪ t ˈʊ t (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
параççĕ	p ˈa r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
патнелле	patnˈɛllɛ
пурнăç	p ˈʊ r n (͡e͡n)ˌe͡ɪbɹˈiːv sˌiːsədˈɪlɐ(͡c͡v)
см	sm
тытăнса	t ˈɯ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n s ˈa
чул	t͡ʃˈʊl
çакна	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa k n ˈa
çарĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
çырма	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r m ˈa
Шурă	ʃ ˈʊ r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
алă	ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
евĕрлĕ	jˈɛ v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
куçнă	k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
мĕнпур	m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n p ˈʊ r
палăртаççĕ	p ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r t ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
пуçламăшĕнче	p ˈʊ (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) l ˈa m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n t͡ʃ jˈɛ
тăватă	t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хăварнă	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa r n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
хытă	x ˈɯ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çăмăл	(͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) m (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l
Николаевич	nˌikolaˈɛvɪt͡ʃ
Пурĕ	p ˈʊ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
вĕлернĕ	v (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
енчи	jˈænt͡ʃɪ
ирттернĕ	ˈɪ r t t jˈɛ r n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
качча	kˈat͡ʃt͡ʃa
каяççĕ	k ˈa jˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
коммуна	kɔmmˈuna
театр	tˈɛatr
тинĕсĕ	t ˈɪ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
халăхĕ	x ˈa l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
I	(͡e͡n)ˈa͡ɪ(͡c͡v)
çĕрĕсем	(͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v) r (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
çӳллĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø l l (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Ытларах	ɯtlˈaɾax
вылянă	v ˈɯ l jˈa n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
тутар	tˈutar
унпа	ˈʊnpa
чĕлхин	t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v) l x ˈɪ n
ялсем	jˈalsɛm
III	(͡e͡n)ˈa͡ɪ ˈa͡ɪ ˈa͡ɪ(͡c͡v)
çăлкуçĕ	(͡e͡n)sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) l k ˈʊ (͡e͡n)sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
çурт	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ r t
çӳренĕ	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈø r jˈæ n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Михаил	mixˈaɪl
РФ	rf
Раççейĕн	r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ(͡c͡v) jˈɛ j (͡e͡n)ˌiːbɹˈiːv(͡c͡v) n
Хăшпĕр	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) ʃ p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
в	v
курса	kˈʊrsa
лекнĕ	l jˈɛ k n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
пăхса	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x s ˈa
пулмалла	pʊlmˈalla
редакторĕ	r jˈɛ d ˈa k t ˈɔ r (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
укçа	ˈʊ k (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈa
урамĕсем	ˈʊ r ˈa m (͡e͡n)ˌiːbɹˈiːv(͡c͡v) s jˈæ m
хăйсем	x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) j s jˈæ m
хĕрарăм	x (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r ˈa r (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
чиркӳ	t͡ʃˈɪrkø
юппин	jˈʊppɪn
яла	jˈala
АССР	ˈassr
Пысăк	p ˈɯ s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
Чылай	t͡ʃˈɯlaj
мусăк	m ˈʊ s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k
пыраççĕ	p ˈɯ r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌiːbɹˈiːv(͡c͡v)
Администраци	ˌadminɪstrˈat͡sɪ
Пăлхар	p (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l x ˈa r
ахаль	ˈaxal
бригадин	briɡˈadɪn
вăрçи	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ
