व	vˈə
एनआरआय	ˌeːnˌaːɾˈaːj
ऑप	ˈɔp
करलकर	kˈʌɾəlˌəkəɾ
घरच	ɡʰˈʌɾəc
घरभर	ɡʰˈʌɾəbʰˌəɾ
जफर	zˈʌpʰəɾ
जवस	zˈʌvəs
ढवण	ɖʰˈʌvəɳ
भडकत	bʰˈʌɖəkˌət
भरवत	bʰˈʌɾəvˌət
ल	lˈə
लगतच	lˈʌɡətˌəc
सगळ	sˈʌɡəɭ
सलगर	sˈʌləɡˌəɾ
August	(͡e͡n)ˈɔːɡəst(͡m͡r)
CNG	(͡e͡n)sˌiːˌɛnd͡ʒˈiː(͡m͡r)
Flashback	(͡e͡n)flˈaʃbak(͡m͡r)
Tuesday	(͡e͡n)tjˈuːzde͡ɪ(͡m͡r)
modi	(͡e͡n)mˈə͡ʊdi(͡m͡r)
अडखळत	ˈʌɖəkʰˌəɭət
आटत	ˈaːʈət
आडकर	ˈaːɖəkˌəɾ
आदळआपट	ˌaːdəɭˈaːpəʈ
एअरबस	ˈeːəɾˌəbəs
एमएसएमई	ˌeːmˌeːsˈeːmˌi
ओएस	oːˈeːs
ओकत	ˈoːkət
कबर	kˈʌbəɾ
कमर	kˈʌməɾ
कसरतच	kˈʌsəɾˌətəc
खटपट	kʰˈʌʈəpˌəʈ
चढ	cˈʌɖʰ
जब	zˈʌb
पतन	pˈʌtən
भरभर	bʰˈʌɾəbʰˌəɾ
य	jˈə
रण	ɾˈʌɳ
वड	vˈʌɖ
सणगर	sˈʌɳəɡˌəɾ
हळवल	hˈʌɭəvˌəl
LIVE	(͡e͡n)lˈa͡ɪv(͡m͡r)
अतहर	ˈʌtəhˌəɾ
अशरफ	ˈʌʃəɾˌəpʰ
असगर	ˈʌsəɡˌəɾ
आईपण	aːˈiːpəɳ
आईसह	aːˈiːsəh
आदळत	ˈaːdəɭˌət
आयओएस	ˌaːjoːˈeːs
आरएस	ˌaːɾˈeːs
उमप	ˈʊməp
एड	ˈeːɖ
एसएमई	ˌeːsˈeːmˌi
ओर	ˈoːɾ
कचरत	kˈʌcəɾˌət
कड	kˈʌɖ
खळखळ	kʰˈʌɭəkʰˌəɭ
चरस	cˈʌɾəs
तगमग	tˈʌɡəmˌəɡ
दमन	dˈʌmən
पसरट	pˈʌsəɾˌəʈ
पसरवत	pˈʌsəɾˌəvət
फजल	pʰˈʌzəl
बठक	bˈʌʈʰək
मण	mˈʌɳ
र	ɾˈə
लटकत	lˈʌʈəkˌət
लपवत	lˈʌpəvˌət
स	sˈə
सकट	sˈʌkəʈ
सडत	sˈʌɖət
सतलज	sˈʌtəlˌəz
हवन	hˈʌvən
July	(͡e͡n)d͡ʒuːlˈa͡ɪ(͡m͡r)
अवजल	ˈʌvəzˌəl
अवध	ˈʌvədʰ
असलम	ˈʌsəlˌəm
आयएमए	ˌaːjˈeːmˌeː
आयटक	ˈaːjəʈˌək
आरफळ	ˈaːɾəpʰˌəɭ
ईएसआय	ˌiːeːsˈaːj
उढस	ˈʊɖʰəs
उपशहर	ˈʊpəʃˌəhəɾ
उरणकर	ˈʊɾəɳˌəkəɾ
ऍन	ˈɛn
एएसआय	ˌeːeːsˈaːj
ऐकतच	ˈa͡ɪkətˌəc
ओसरत	ˈoːsəɾˌət
कटक	kˈʌʈək
कणव	kˈʌɳəv
खसखस	kʰˈʌsəkʰˌəs
गफलत	ɡˈʌpʰəlˌət
घड	ɡʰˈʌɖ
झटकन	ɟʰˈʌʈəkˌən
तस	tˈʌs
दमण	dˈʌməɳ
धर	dʰˈʌɾ
नख	nˈʌkʰ
बखर	bˈʌkʰəɾ
मडव	mˈʌɖəv
मळ	mˈʌɭ
रमन	ɾˈʌmən
समतल	sˈʌmətˌəl
सरगम	sˈʌɾəɡˌəm
सरत	sˈʌɾət
सरपण	sˈʌɾəpˌəɳ
सरल	sˈʌɾəl
PM	(͡e͡n)pˌiːˈɛm(͡m͡r)
September	(͡e͡n)sɛptˈɛmbə(͡m͡r)
आपल	ˈaːpəl
आयएमएफ	ˌaːjˌeːmˈeːpʰ
उत	ˈʊt
उतरवत	ˈʊtəɾˌəvət
उपवर	ˈʊpəvˌəɾ
उबग	ˈʊbəɡ
उमटवत	ˈʊməʈˌəvət
एमएस	ˌeːmˈeːs
ओजस	ˈoːzəs
कमवत	kˈʌməvˌət
करसवलत	kˈʌɾəsˌəvəlˌət
गटतट	ɡˈʌʈətˌəʈ
तळमळत	tˈʌɭəmˌəɭət
दशम	dˈʌʃəm
नई	nˈʌi
पथ	pˈʌtʰ
फडकवत	pʰˈʌɖəkˌəvət
भडकल	bʰˈʌɖəkˌəl
मऊसर	mˈʌusˌəɾ
रकम	ɾˈʌkəm
वळ	vˈʌɭ
हटवत	hˈʌʈəvˌət
a	(͡e͡n)ˈe͡ɪ(͡m͡r)
by	(͡e͡n)bˈa͡ɪ(͡m͡r)
r	(͡e͡n)ˈɑː(͡m͡r)
the	(͡e͡n)ðə(͡m͡r)
अझलन	ˈʌɟʰəlˌən
अनवट	ˈʌnəvˌəʈ
आए	ˈaːeː
आठच	ˈaːʈʰəc
आयएम	ˌaːjˈeːm
आळ	ˈaːɭ
इनर	ˈɪnəɾ
ईट	ˈiːʈ
उदक	ˈʊdək
ऍटम	ˈɛʈəm
ऍश	ˈɛʃ
एनआरएचएम	ˌeːnˌaːɾˌeːcˈeːm
एरम	ˈeːɾəm
ऐकवत	ˈa͡ɪkəvˌət
ऑर	ˈɔɾ
ओल	ˈoːl
कटआऊट	kˌəʈˈaːuʈ
खचत	kʰˈʌcət
खपत	kʰˈʌpət
गफह	ɡˈʌpʰəh
नरक	nˈʌɾək
फडकत	pʰˈʌɖəkˌət
बकर	bˈʌkəɾ
लगट	lˈʌɡəʈ
सरहद	sˈʌɾəhˌəd
सलत	sˈʌlət
हनन	hˈʌnən
A	(͡e͡n)ˈe͡ɪ(͡m͡r)
for	(͡e͡n)fɔː(͡m͡r)
tar	(͡e͡n)tˈɑː(͡m͡r)
अफसर	ˈʌpʰəsˌəɾ
आगर	ˈaːɡəɾ
आडपईकर	ˌaːɖəpˈiːkəɾ
आब	ˈaːb
आसद	ˈaːsəd
इतपतच	ˈɪtəpˌətəc
ईतर	ˈiːtəɾ
ईश	ˈiːʃ
उघडउघड	ˈʊɡʰəɖʊɡʰˌəɖ
उघडच	ˈʊɡʰəɖˌəc
उधव	ˈʊdʰəv
उरक	ˈʊɾək
एमएमएस	ˌeːmˌeːmˈeːs
कमळकर	kˈʌməɭˌəkəɾ
कळकट	kˈʌɭəkˌəʈ
खरतर	kʰˈʌɾətˌəɾ
गळत	ɡˈʌɭət
चलनवलन	cˈʌlənˌəvəlˌən
टक	ʈˈʌk
डब	ɖˈʌb
डर	ɖˈʌɾ
डवर	ɖˈʌvəɾ
तळवळकर	tˈʌɭəvˌəɭəkˌəɾ
दशकभर	dˈʌʃəkˌəbʰəɾ
धनगड	dʰˈʌnəɡˌəɖ
नरहर	nˈʌɾəhˌəɾ
पड	pˈʌɖ
मजहर	mˈʌzəhˌəɾ
मनगट	mˈʌnəɡˌəʈ
रग	ɾˈʌɡ
लकब	lˈʌkəb
वळवत	vˈʌɭəvˌət
वश	vˈʌʃ
वसईत	vˌəsˈiːt
शमन	ʃˈʌmən
शरथ	ʃˈʌɾətʰ
शरम	ʃˈʌɾəm
सकळ	sˈʌkəɭ
सणस	sˈʌɳəs
सरमळकर	sˈʌɾəmˌəɭəkˌəɾ
सहगल	sˈʌhəɡˌəl
IPL	(͡e͡n)ˈɪpə͡l(͡m͡r)
अवतरण	ˈʌvətˌəɾəɳ
आइस	ˈaːɪs
आठव	ˈaːʈʰəv
आदम	ˈaːdəm
आमच	ˈaːməc
आयएसआयएल	ˌaːjˌeːsˌaːjˈeːl
आवई	ˈaːvˌi
इनकम	ˈɪnəkˌəm
उजळत	ˈʊzəɭˌət
एकवटत	ˈeːkəvˌəʈət
एनएसई	ˌeːnˈeːsˌi
एसआरए	ˌeːsˈaːɾˌeː
कच	kˈʌc
गई	ɡˈʌi
गडकर	ɡˈʌɖəkˌəɾ
चकवत	cˈʌkəvˌət
चलनच	cˈʌlənˌəc
जणच	zˈʌɳəc
तपस	tˈʌpəs
तळकर	tˈʌɭəkˌəɾ
धडकन	dʰˈʌɖəkˌən
धसई	dʰˈʌsˌi
पल	pˈʌl
बघवत	bˈʌɡʰəvˌət
बडबडत	bˈʌɖəbˌəɖət
बसवण	bˈʌsəvˌəɳ
मढ	mˈʌɖʰ
मय	mˈʌɛj
यम	jˈʌm
लपत	lˈʌpət
सबल	sˈʌbəl
समद	sˈʌməd
हणबर	hˈʌɳəbˌəɾ
हमसफर	hˈʌməsˌəpʰəɾ
ॐ	ˈõm
