සහ	sˈɐhə
තරමකට	tˈɐɹəmˌəkəʈə
තරමටම	tˈɐɹəmˌəʈəmə
තලයක	tˈɐləjˌəkə
දහසකට	dˈɐhəsˌəkəʈə
ධජ	dʰˈɐd͡ʒə
නඟන	nˈɐᵑɡənə
පනවන	pˈɐnəwˌənə
පරතර	pˈɐɹətˌəɹə
පහව	pˈɐhəw
රථයට	ɹˈɐtʰəjˌəʈə
වරම	wˈɐɹəmə
ස	sˈə
සමනල	sˈɐmənˌələ
Art	(͡e͡n)ˈɑːt(͡s͡i)
Book	(͡e͡n)bˈʊk(͡s͡i)
Data	(͡e͡n)dˈe͡ɪtə(͡s͡i)
GNU	(͡e͡n)ɡənˈuː(͡s͡i)
HTT	(͡e͡n)ˌe͡ɪt͡ʃtˌiːtˈiː(͡s͡i)
ICC	(͡e͡n)ˈa͡ɪk(͡s͡i)
Internet	(͡e͡n)ˈɪntənˌɛt(͡s͡i)
L	(͡e͡n)ˈɛl(͡s͡i)
LED	(͡e͡n)lˈɛd(͡s͡i)
Law	(͡e͡n)lˈɔː(͡s͡i)
Man	(͡e͡n)mˈan(͡s͡i)
NATO	(͡e͡n)nˈe͡ɪtə͡ʊ(͡s͡i)
Oxford	(͡e͡n)ˈɒksfəd(͡s͡i)
Society	(͡e͡n)səsˈa͡ɪ͡əti(͡s͡i)
Theory	(͡e͡n)θˈi͡əɹi(͡s͡i)
Times	(͡e͡n)tˈa͡ɪmz(͡s͡i)
William	(͡e͡n)wˈɪli͡əm(͡s͡i)
z	(͡e͡n)zˈɛd(͡s͡i)
අටක	ˈɐʈəkə
අනවසර	ˈɐnəwˌəsəɹə
අවශය	ˈɐwəsˌəjə
ආයතනයකට	ˈaːjətˌənəjˌəkəʈə
ආහ	ˈaːhə
ඈට	ˈæːʈə
ඊලග	ˈiːləɡə
උරග	ˈuɹəɡə
උවද	ˈuwədə
එජ	ˈed͡ʒə
එළඹ	ˈeɭəᵐbə
ජනපදවල	d͡ʒˈɐnəpˌədəwˌələ
ත	tˈə
තරම	tˈɐɹəmə
දහවන	dˈɐhəwˌənə
පතන	pˈɐtənə
පනතට	pˈɐnətˌəʈə
පහළම	pˈɐhəɭˌəmə
මහරගම	mˈɐhəɹˌəɡəmə
මහල	mˈɐhələ
රජකමට	ɹˈɐd͡ʒəkˌəməʈə
රටවලද	ɹˈɐʈəwˌələdə
රඳවන	ɹˈɐⁿdəwˌənə
වධ	wˈɐdʰə
වමනය	wˈɐmənˌəjə
වරණය	wˈɐɹəɳˌəjə
වළ	wˈɐɭə
ශක	sˈɐkə
සටනකට	sˈɐʈənˌəkəʈə
සරළව	sˈɐɹəɭəw
සළකන	sˈɐɭəkˌənə
හතක	hˈɐtəkə
හදන	hˈɐdənə
හමන	hˈɐmənə
AU	(͡e͡n)ˌə͡ʊ(͡s͡i)
An	(͡e͡n)an(͡s͡i)
Association	(͡e͡n)ɐsˌə͡ʊsɪˈe͡ɪʃən(͡s͡i)
Award	(͡e͡n)ɐwˈɔːd(͡s͡i)
Best	(͡e͡n)bˈɛst(͡s͡i)
CD	(͡e͡n)sˌiːdˈiː(͡s͡i)
Database	(͡e͡n)dˈe͡ɪtəbˌe͡ɪs(͡s͡i)
GIS	(͡e͡n)d͡ʒˈɪs(͡s͡i)
GPU	(͡e͡n)d͡ʒˌiːpˌiːjˈuː(͡s͡i)
Great	(͡e͡n)ɡɹˈe͡ɪt(͡s͡i)
HDTV	(͡e͡n)ˌe͡ɪt͡ʃdˌiːtˌiːvˈiː(͡s͡i)
IV	(͡e͡n)ɹˌə͡ʊmən fˈɔː(͡s͡i)
In	(͡e͡n)ˈɪn(͡s͡i)
Lee	(͡e͡n)lˈiː(͡s͡i)
My	(͡e͡n)mˈa͡ɪ(͡s͡i)
Paul	(͡e͡n)pˈɔːl(͡s͡i)
Public	(͡e͡n)pˈʌblɪk(͡s͡i)
Q	(͡e͡n)kjˈuː(͡s͡i)
ROH	(͡e͡n)ɹˈə͡ʊ(͡s͡i)
Robert	(͡e͡n)ɹˈɒbət(͡s͡i)
Zn	(͡e͡n)zˌɛdˈɛn(͡s͡i)
at	(͡e͡n)at(͡s͡i)
e	(͡e͡n)ˈiː(͡s͡i)
memory	(͡e͡n)mˈɛməɹi(͡s͡i)
page	(͡e͡n)pˈe͡ɪd͡ʒ(͡s͡i)
ඒකට	ˈeːkəʈə
කද	kˈɐdə
කසළ	kˈɐsəɭə
කහට	kˈɐhəʈə
ගගන	ɡˈɐɡənə
ගතකරන	ɡˈɐtəkˌəɹənə
ගමනය	ɡˈɐmənˌəjə
ජවන	d͡ʒˈɐwənə
දමනය	dˈɐmənˌəjə
දහයකට	dˈɐhəjˌəkəʈə
නමද	nˈɐmədə
පටකය	pˈɐʈəkˌəjə
පතල	pˈɐtələ
බරට	bˈɐɹəʈə
මගධ	mˈɐɡədʰə
මළපහ	mˈɐɭəpˌəhə
යටට	jˈɐʈəʈə
යම	jˈɐmə
රචනයට	ɹˈɐt͡ʃənˌəjəʈə
රථවල	ɹˈɐtʰəwˌələ
සකල	sˈɐkələ
සමථයකට	sˈɐmətʰˌəjəkˌəʈə
හණ	hˈɐɳə
