આ	ˈaː
રણમલ	ɾˌəɳəmˈʌl
વગ	wˈʌɡ
વરદ	wəɾˈʌd
સજજ	səɟˈʌɟ
સધન	sədʰˈʌn
સરઘસ	sˌəɾəɡʰˈʌs
સવલત	sˌəʋəlˈʌt
CCTV	(͡e͡n)sˌiːsˌiːtˌiːvˈiː(͡g͡u)
CFO	(͡e͡n)sˌiːˌɛfˈə͡ʊ(͡g͡u)
ECB	(͡e͡n)ˈɛkb(͡g͡u)
FII	(͡e͡n)fˈɪa͡ɪ(͡g͡u)
IIM	(͡e͡n)ˈɪɪm(͡g͡u)
Plus	(͡e͡n)plˈʌs(͡g͡u)
USB	(͡e͡n)jˌuːˌɛsbˈiː(͡g͡u)
to	(͡e͡n)tuː(͡g͡u)
અચરજ	ˌʌcəɾˈʌɟ
ઇએમઆઇ	ˌɪeːmˈaːɪ
ઇડર	ˈɪɖəɾ
ઇદ	ˈɪd
એફએમ	ˌeːpʰˈeːm
ઓડ	ˈoːɖ
ઓવરઓલ	ˌoːʋəɾˈoːl
કસમ	kəsˈʌm
ખપત	kʰəpˈʌt
ખસખસ	kʰˌəsəkʰˈʌs
ચકમક	cˌəkəmˈʌk
જત	ɟˈʌt
જમણ	ɟəmˈʌɳ
તદન	tədˈʌn
નવલ	nəʋˈʌl
પથ	pˈʌtʰ
બટ	bˈʌʈ
વ	ʋˈə
સશ	sˈʌʃ
BAPS	(͡e͡n)bˈaps(͡g͡u)
Bloggers	(͡e͡n)blˈɒɡəz(͡g͡u)
COM	(͡e͡n)kˈɒm(͡g͡u)
ET	(͡e͡n)ˈɛt(͡g͡u)
FUNNY	(͡e͡n)fˈʌni(͡g͡u)
IDFC	(͡e͡n)ˈa͡ɪdfk(͡g͡u)
Indian	(͡e͡n)ˈɪndi͡ən(͡g͡u)
LICએ	(͡e͡n)lˈɪk(͡g͡u)ˈeː
LoC	(͡e͡n)lˈə͡ʊ sˈiː(͡g͡u)
MCX	(͡e͡n)ˌɛmsˌiːˈɛks(͡g͡u)
PMI	(͡e͡n)pˌiːˌɛmˈa͡ɪ(͡g͡u)
Real	(͡e͡n)ɹˈi͡əl(͡g͡u)
ST	(͡e͡n)sənt(͡g͡u)
for	(͡e͡n)fɔː(͡g͡u)
hellip	(͡e͡n)hˈɛlɪp(͡g͡u)
અડદ	ʌɖˈʌd
અડધ	ʌɖˈʌdʰ
અવગત	ˌʌʋəɡˈʌt
આઇસર	aːˈɪsəɾ
આઈએસઆઈ	ˌaːiˌeːsˈaːi
આમરણ	ˌaːməɾˈʌɳ
આલમ	aːlˈʌm
ઈસમ	isˈʌm
ઉણપ	ʊɳˈʌp
એઇડ	eːˈɪɖ
એમએસએમઇ	ˌeːmˌeːseːmˈʌɪ
કરજ	kəɾˈʌɟ
કલ	kˈʌl
કવન	kəʋˈʌn
ગણપત	ɡˌəɳəpˈʌt
ચહલપહલ	cˌəhəlˌəpəhˈʌl
છઠ	cʰˈʌʈʰ
જગ	ɟˈʌɡ
નમ	nˈʌm
પદક	pədˈʌk
મકકમ	mˌəkəkˈʌm
મધરસન	mˌədʰəɾəsˈʌn
મનહર	mənˈʌhəɾ
મસ	mˈʌs
વઘઈ	wəɡʰˈʌi
વટ	wˈʌʈ
વળગણ	wˌər.əɡˈʌɳ
શબનમ	ʃˌəbənˈʌm
સમ	sˈʌm
સરગમ	sˌəɾəɡˈʌm
BCCIએ	(͡e͡n)bˌiːsˌiːsˌiːˈa͡ɪ(͡g͡u)ˈeː
C	(͡e͡n)sˈiː(͡g͡u)
D	(͡e͡n)dˈiː(͡g͡u)
ENG	(͡e͡n)ˈɛŋ(͡g͡u)
Facts	(͡e͡n)fˈakts(͡g͡u)
GB	(͡e͡n)d͡ʒˌiːbˈiː(͡g͡u)
GVK	(͡e͡n)d͡ʒˌiːvˌiːkˈe͡ɪ(͡g͡u)
Headlines	(͡e͡n)hˈɛdla͡ɪnz(͡g͡u)
IHS	(͡e͡n)ˈa͡ɪz(͡g͡u)
Iચ	(͡e͡n)ˈa͡ɪ(͡g͡u)cˈə
NBFCs	(͡e͡n)ˌɛnbˌiːˈɛfsˌiːˈɛs(͡g͡u)
NSE	(͡e͡n)ˌɛnˌɛsˈiː(͡g͡u)
PNB	(͡e͡n)pˌiːˌɛnbˈiː(͡g͡u)
TCSએ	(͡e͡n)tˌiːsˌiːˈɛs(͡g͡u)ˈeː
TV	(͡e͡n)tˌiːvˈiː(͡g͡u)
અણઘડ	ˌʌɳəɡʰˈʌɖ
અરજણ	ˌʌɾəɟˈʌɳ
આઈસર	aːˈiːsəɾ
આગઠ	aːɡˈʌʈʰ
આરએસઆઇ	ˌaːɾˌeːsˈaːɪ
ઇસ	ˈɪs
ઉપરવટ	ˌʊpəɾəʋˈʌʈ
ઉલટ	ʊlˈʌʈ
એકટર	eːkˈʌʈəɾ
એફઆઈઆઈ	ˌeːpʰˌaːiˈaːi
એય	ˈeːjə
કરત	kəɾˈʌt
કરમસદ	kˌəɾəməsˈʌd
ઘ	ɡhˈə
થ	thˈə
પટ	pˈʌʈ
પઠન	pəʈʰˈʌn
રતનપર	ɾˌətənˈʌpəɾ
સબક	səbˈʌk
હ	hˈə
હલનચલન	hˌələnˌəcəlˈʌn
ATMs	(͡e͡n)ˈatəmz(͡g͡u)
And	(͡e͡n)and(͡g͡u)
Blogs	(͡e͡n)blˈɒɡz(͡g͡u)
Dhoni	(͡e͡n)dˈə͡ʊni(͡g͡u)
IAS	(͡e͡n)ˈa͡ɪəz(͡g͡u)
KKR	(͡e͡n)kˌe͡ɪkˌe͡ɪˈɑː(͡g͡u)
KYC	(͡e͡n)kˈɪk(͡g͡u)
NPS	(͡e͡n)ˌɛnpˌiːˈɛs(͡g͡u)
NSEL	(͡e͡n)ˈɛnsˈɛl(͡g͡u)
Newspaper	(͡e͡n)njˈuːzpe͡ɪpə(͡g͡u)
ODI	(͡e͡n)ˈə͡ʊdi(͡g͡u)
Online	(͡e͡n)ˈɒnla͡ɪn(͡g͡u)
REITs	(͡e͡n)ɹˈe͡ɪts(͡g͡u)
SIP	(͡e͡n)sˈɪp(͡g͡u)
TDS	(͡e͡n)tˌiːdˌiːˈɛs(͡g͡u)
Vs	(͡e͡n)vˌiːˈɛs(͡g͡u)
અકળ	ʌkˈʌr.
અશકય	ˌʌʃəkˈʌɛj
અસફળ	ˌʌsəpʰˈʌr.
આકલન	ˌaːkəlˈʌn
આદમ	aːdˈʌm
આમદ	aːmˈʌd
આયસર	aːjˈəsəɾ
ઈસ	ˈiːs
ઉન	ˈʊn
ઉનડકટ	ˌʊnəɖəkˈʌʈ
ઉપજ	ʊpˈʌɟ
ઉલ	ˈʊl
એઓન	eːˈoːn
એફએસઆઇ	ˌeːpʰˌeːsˈaːɪ
કરકસર	kˌəɾəkˈʌsəɾ
કલરવ	kˌələɾˈʌʋ
કસ	kˈʌs
ખ	khˈə
ગડબડ	ɡˌəɖəbˈʌɖ
ગરક	ɡəɾˈʌk
જપ	ɟˈʌp
જલ	ɟˈʌl
ઝટપટ	zˌəʈəpˈʌʈ
ડગ	ɖˈʌɡ
તજ	tˈʌɟ
તરબતર	tˌəɾəbˈʌtəɾ
દલ	dˈʌl
નટખટ	nˌəʈəkʰˈʌʈ
ફડ	pʰˈʌɖ
ફલડ	pʰəlˈʌɖ
બટલર	bəʈˈʌləɾ
બશર	bˈʌʃəɾ
રલ	ɾˈʌl
લક	lˈʌk
વડનગર	wˌəɖənˈʌɡəɾ
સગડ	səɡˈʌɖ
હડફ	həɖˈʌpʰ
