ਇਸ	ˈɪs
ਕਟਰ	kˈʌʈəɾ
ਖਰੜ	kʰˈʌɾər.
ਗਜ	ɡˈʌɟ
ਚਤਰ	cˈʌtəɾ
ਜਲਨ	ɟˈʌlən
ਪਰਸਨ	pˈʌɾəsˌən
ਬਰਟਨ	bˈʌɾəʈˌən
ਮਤਲਵ	mˈʌtəlˌəv
ਸਚ	sˈʌc
ਸਪਤ	sˈʌpət
ਹਮਦਰਦ	hˈʌmədˌəɾəd
ਹਲਚਲ	hˈʌləcˌəl
Cℓ	(͡e͡n)sˈiː(͡p͡a)ˈʌkʰːərdˈoˈɪkːˈɪkːtˈɪ̃n
ISBN	(͡e͡n)ˌa͡ɪˌɛsbˌiːˈɛn(͡p͡a)
at	(͡e͡n)at(͡p͡a)
km	(͡e͡n)kˌe͡ɪˈɛm(͡p͡a)
ਅਰਹਰ	ˈʌɾəhˌəɾ
ਅਸ	ˈʌs
ਆਇਤ	ˈaɪt
ਆਇਰਸ	ˈaɪɾˌəs
ਆਥਣ	ˈatʰəɳ
ਆੜ	ˈar.
ਇ	ˈɪ
ਇਰਦ	ˈɪɾəd
ਈਗਲ	ˈiɡəl
ਏਧਰ	ˈedʰəɾ
ਐਡਮਸ	ˈɛɖəmˌəs
ਐਬਕ	ˈɛbək
ਓਫ	ˈopʰ
ਔਡ	ˈɔɖ
ਧਰਤ	tˈʌ+ɾət
ਨਈ	nˈʌi
ਨਸ	nˈʌs
ਪਲਟਣ	pˈʌləʈˌəɳ
ਫਟ	pʰˈʌʈ
ਬਚਤ	bˈʌcət
ਬਰਗਰ	bˈʌɾəɡˌəɾ
ਬਸਰ	bˈʌsəɾ
ਸਬਦ	sˈʌbəd
G	(͡e͡n)d͡ʒˈiː(͡p͡a)
National	(͡e͡n)nˈaʃənə͡l(͡p͡a)
RQM	(͡e͡n)ˌɑːkjˌuːˈɛm(͡p͡a)
Singh	(͡e͡n)sˈɪŋ(͡p͡a)
US	(͡e͡n)jˌuːˈɛs(͡p͡a)
Z	(͡e͡n)zˈɛd(͡p͡a)
ਅਈਅਰ	ˌəˈiˌəɾ
ਅਜਗਰ	ˈʌɟəɡˌəɾ
ਅਵਰ	ˈʌvəɾ
ਆਚਰਨ	ˈacəɾˌən
ਇਆਨ	ɪˈan
ਈਵ	ˈiv
ਉਰਸ	ˈʊɾəs
ਐਡਲਰ	ˈɛɖəlˌəɾ
ਐਮਸਟਰਡਮ	ˈɛməsˌəʈəɾˌəɖəm
ਜਨਮਤ	ɟˈʌnəmˌət
ਤਰਸ	tˈʌɾəs
ਥਰਡ	tʰˈʌɾəɖ
ਪੜ	pˈʌr.
ਮਸਲਨ	mˈʌsəlˌən
ਲਕਸ	lˈʌkəs
July	(͡e͡n)d͡ʒuːlˈa͡ɪ(͡p͡a)
Mbau	(͡e͡n)ˈɛmbˈa͡ʊ(͡p͡a)
SI	(͡e͡n)sˈiː(͡p͡a)
from	(͡e͡n)fɹɒm(͡p͡a)
is	(͡e͡n)ɪz(͡p͡a)
la	(͡e͡n)lˌa(͡p͡a)
ਅਬਦ	ˈʌbəd
ਅਰਨਸਟ	ˈʌɾənˌəsəʈ
ਅਰਪਣ	ˈʌɾəpˌəɳ
ਆਵ	ˈav
ਇਡ	ˈɪɖ
ਏਹ	ˈeh
ਐਕਟਰਸ	ˈɛkəʈˌəɾəs
ਐਨਐਸਈਐਲ	ˌɛnəˌɛsəiˈɛl
ਕਲਬ	kˈʌləb
ਬ	bˈʌ
ਬਈ	bˈʌi
ਬਦਤਰ	bˈʌdətˌəɾ
ਬਦਨ	bˈʌdən
ਮਗਨ	mˈʌɡən
ਮਲਕ	mˈʌlək
ਲਗਣ	lˈʌɡəɳ
ਵਰਧਨ	vˈʌɾədʰˌən
ਵਰਨਰ	vˈʌɾənˌəɾ
ਸਮਤਲ	sˈʌmətˌəl
CPT	(͡e͡n)sˌiːpˌiːtˈiː(͡p͡a)
Culture	(͡e͡n)kˈʌlt͡ʃə(͡p͡a)
Disney	(͡e͡n)dˈɪzni(͡p͡a)
J	(͡e͡n)d͡ʒˈe͡ɪ(͡p͡a)
SO	(͡e͡n)sˈə͡ʊ(͡p͡a)
Times	(͡e͡n)tˈa͡ɪmz(͡p͡a)
Volume	(͡e͡n)vˈɒljuːm(͡p͡a)
with	(͡e͡n)wɪð(͡p͡a)
z	(͡e͡n)zˈɛd(͡p͡a)
ਅਦਰ	ˈʌdəɾ
ਅਸਮ	ˈʌsəm
ਆਈਓਐਸ	ˌaioˈɛs
ਆਖਣ	ˈakʰəɳ
ਈਸਟਰਨ	ˈisəʈˌəɾən
ਏਟ	ˈeʈ
ਐਨਐਚਐਲ	ˌɛnəˌɛcəˈɛl
ਓਲ	ˈol
ਓਵਨ	ˈovən
ਖਤ	kʰˈʌt
ਗਗਨ	ɡˈʌɡən
ਗੜ	ɡˈʌr.
ਚੜਤ	cˈʌr.ət
ਤਤਸਮ	tˈʌtəsˌəm
ਤਥ	tˈʌtʰ
ਦਸਤਕ	dˈʌsətˌək
ਪਥ	pˈʌtʰ
ਪਲਪ	pˈʌləp
ਬਰਸ	bˈʌɾəs
ਰ	ɾˈʌ
ਲਈਆ	ləˈia
ਲਕਬ	lˈʌkəb
ਲਖਪਤ	lˈʌkʰəpˌət
ਸਕਲ	sˈʌkəl
ਹਰਮ	hˈʌɾəm
ਹਸਰਤ	hˈʌsəɾˌət
La	(͡e͡n)lˌa(͡p͡a)
Mace	(͡e͡n)mˈe͡ɪs(͡p͡a)
See	(͡e͡n)sˈiː(͡p͡a)
et	(͡e͡n)ˈɛt(͡p͡a)
lb	(͡e͡n)ˌɛlbˈiː(͡p͡a)
ਅਕਰਮ	ˈʌkəɾˌəm
ਅਜਕਲ	ˈʌɟəkˌəl
ਅਪਰ	ˈʌpəɾ
ਇਤਰ	ˈɪtəɾ
ਇਨਰ	ˈɪnəɾ
ਉਡ	ˈʊɖ
ਐਟਲਸ	ˈɛʈəlˌəs
ਐਡਗਰ	ˈɛɖəɡˌəɾ
ਐਮਐਲਐਸ	ˌɛməˌɛləˈɛs
ਕਲਪ	kˈʌləp
ਕਸਰ	kˈʌsəɾ
ਘੜ	kˈʌ+r.
ਜਨਪਦ	ɟˈʌnəpˌəd
ਜਰਗ	ɟˈʌɾəɡ
ਜਸਟ	ɟˈʌsəʈ
ਢਕ	ʈˈʌ+k
ਤਦਭਵ	tˈʌdəbʰˌəv
ਨਗਨ	nˈʌɡən
ਨਨ	nˈʌn
ਨਮ	nˈʌm
ਫਰਸਟ	pʰˈʌɾəsˌəʈ
ਮਨਘੜਤ	mˈʌnəɡʰˌər.ət
ਰਨਰ	ɾˈʌnəɾ
ਰਸਮਈ	ɾˈʌsəmˌəi
ਵਰਣਕਰਮ	vˈʌɾəɳˌəkəɾˌəm
ਵਰਬਲ	vˈʌɾəbˌəl
ਸਜ	sˈʌɟ
ਸਨਮ	sˈʌnəm
ਸਬਰ	sˈʌbəɾ
ਹਸਤਰ	hˈʌsətˌəɾ
IDA	(͡e͡n)ˈa͡ɪdə(͡p͡a)
London	(͡e͡n)lˈʌndən(͡p͡a)
William	(͡e͡n)wˈɪli͡əm(͡p͡a)
Y	(͡e͡n)wˈa͡ɪ(͡p͡a)
β	(͡e͡l)vˈita(͡p͡a)
ਅਜਮਲ	ˈʌɟəmˌəl
ਅਮਜਦ	ˈʌməɟˌəd
ਆਈਡਲ	aˈiɖəl
ਇਨਕਮ	ˈɪnəkˌəm
ਏਕਮ	ˈekəm
ਓਐਸ	oˈɛs
ਔऱ	ˈɛrə kˌənɔrˈa (͡e͡n)hˈɪndi(͡p͡a)ɾˈə
ਕਟ	kˈʌʈ
ਗਨ	ɡˈʌn
ਗਮ	ɡˈʌm
ਚਕਰ	cˈʌkəɾ
ਚਮਚ	cˈʌməc
ਚਰਕ	cˈʌɾək
ਛਕ	cʰˈʌk
ਟਰਸਟ	ʈˈʌɾəsˌəʈ
ਤ	tˈʌ
ਤੜਪ	tˈʌr.əp
ਪਛੜ	pˈʌcʰər.
ਫਰਜ	pʰˈʌɾəɟ
ਬਨ	bˈʌn
ਬਰਬਰ	bˈʌɾəbˌəɾ
ਮਸਕਟ	mˈʌsəkˌəʈ
ਯਮ	jˈʌm
ਲਖਨ	lˈʌkʰən
ਲਟਕ	lˈʌʈək
ਸਥਲ	sˈʌtʰəl
James	(͡e͡n)d͡ʒˈe͡ɪmz(͡p͡a)
Modern	(͡e͡n)mˈɒdən(͡p͡a)
October	(͡e͡n)ɒktˈə͡ʊbə(͡p͡a)
Punjab	(͡e͡n)pʌnd͡ʒˈɑːb(͡p͡a)
des	(͡e͡n)dˈɛs(͡p͡a)
nm	(͡e͡n)ˌɛnˈɛm(͡p͡a)
ω	(͡e͡l)omˈeɣa(͡p͡a)
ਅਚਲ	ˈʌcəl
ਅਦਨ	ˈʌdən
ਅਦਰਕ	ˈʌdəɾˌək
ਅਸਗਰ	ˈʌsəɡˌəɾ
ਅਸਚਰਜ	ˈʌsəcˌəɾəɟ
ਅਸਦ	ˈʌsəd
ਅਸਲਮ	ˈʌsəlˌəm
ਇਕਵਚਨ	ˈɪkəvˌəcən
ਉਜੜ	ˈʊɟər.
ਉਤਪਤ	ˈʊtəpˌət
ਉਦਏ	ˈʊdəˌe
ਊਤਕ	ˈutək
ਏਚ	ˈec
ਐਬਟ	ˈɛbəʈ
ਐਸਟਨ	ˈɛsəʈˌən
ਓਏ	ˈoe
ਕਰਕ	kˈʌɾək
ਚੜਨ	cˈʌr.ən
ਛਤਰ	cʰˈʌtəɾ
ਢਲ	ʈˈʌ+l
ਣ	ɳˈʌ
ਧੜਕਨ	tˈʌ+r.əkˌən
ਪਰਸ	pˈʌɾəs
ਬਕਰ	bˈʌkəɾ
ਬਫਰ	bˈʌpʰəɾ
ਰਬ	ɾˈʌb
ਲਕਸਮਬਰਗ	lˈʌkəsˌəməbˌəɾəɡ
ਵਗ	vˈʌɡ
ਸਮਨਰ	sˈʌmənˌəɾ
ਸਮਰਥਤ	sˈʌməɾˌətʰət
ਸਰਹਦ	sˈʌɾəhˌəd
ਹਮਦ	hˈʌməd
ਹਰਟ	hˈʌɾəʈ
ਹੜ	hˈʌr.
Delhi	(͡e͡n)dˈɛli(͡p͡a)
For	(͡e͡n)fɔː(͡p͡a)
John	(͡e͡n)d͡ʒˈɒn(͡p͡a)
Life	(͡e͡n)lˈa͡ɪf(͡p͡a)
March	(͡e͡n)mˈɑːt͡ʃ(͡p͡a)
War	(͡e͡n)wˈɔː(͡p͡a)
as	(͡e͡n)az(͡p͡a)
u	(͡e͡n)jˈuː(͡p͡a)
ਅਸਤਬਲ	ˈʌsətˌəbəl
ਇਲ	ˈɪl
ਉਦਰ	ˈʊdəɾ
ਉਭਰਨ	ˈʊbʰəɾˌən
ਏਰ	ˈeɾ
ਏਲਨ	ˈelən
ਐਸਟਰ	ˈɛsəʈˌəɾ
ਜਗਵਲਕਯ	ɟˈʌɡəvˌələkˌəj
ਤਲਬ	tˈʌləb
ਦਖਣ	dˈʌkʰəɳ
ਨਵਰਤਨ	nˈʌvəɾˌətən
ਨਸਰ	nˈʌsəɾ
ਪਥਰ	pˈʌtʰəɾ
ਫਨ	pʰˈʌn
ਬਜ	bˈʌɟ
ਬਦਰ	bˈʌdəɾ
ਬਲਖ	bˈʌləkʰ
ਮਰਡਰ	mˈʌɾəɖˌəɾ
ਮਸਊਦ	mˌəsəˈud
ਲਕੜ	lˈʌkər.
ਵਚ	vˈʌc
ਵਟ	vˈʌʈ
ਵਟਸਐਪ	vˌəʈəsəˈɛp
ਵਫਦ	vˈʌpʰəd
ਸਰਮਦ	sˈʌɾəmˌəd
ੳਸ	ˈus
American	(͡e͡n)ɐmˈɛɹɪkən(͡p͡a)
Brown	(͡e͡n)bɹˈa͡ʊn(͡p͡a)
Cambridge	(͡e͡n)kˈe͡ɪmbɹɪd͡ʒ(͡p͡a)
Church	(͡e͡n)t͡ʃˈɜːt͡ʃ(͡p͡a)
City	(͡e͡n)sˈɪti(͡p͡a)
December	(͡e͡n)dɪsˈɛmbə(͡p͡a)
Encyclopedia	(͡e͡n)ɛnsˌa͡ɪklə͡ʊpˈiːdi͡ə(͡p͡a)
From	(͡e͡n)fɹɒm(͡p͡a)
May	(͡e͡n)mˈe͡ɪ(͡p͡a)
NH	(͡e͡n)ˌɛnˈe͡ɪt͡ʃ(͡p͡a)
News	(͡e͡n)njˈuːz(͡p͡a)
State	(͡e͡n)stˈe͡ɪt(͡p͡a)
VI	(͡e͡n)vˌiːˈa͡ɪ(͡p͡a)
γ	(͡e͡l)ɣˈama(͡p͡a)
ਅਕਰਮਕ	ˈʌkəɾˌəmək
ਅਸਤ	ˈʌsət
ਅੜਚਨ	ˈʌr.əcˌən
ਆਇਰ	ˈaɪɾ
ਆਉ	ˈaʊ
ਆਕਲ	ˈakəl
ਆਰਨਲਡ	ˈaɾənˌələɖ
ਆਲਪਸ	ˈaləpˌəs
ਆਵਰ	ˈavəɾ
ਈਸਪ	ˈisəp
ਉਡਣ	ˈʊɖəɳ
ਉਤਕਲ	ˈʊtəkˌəl
ਉਪਵਰਗ	ˈʊpəvˌəɾəɡ
ਐਜ	ˈɛɟ
ਓਪਨਰ	ˈopənˌəɾ
ਓਵਲ	ˈovəl
ਓਹਮ	ˈohəm
ਕਜ	kˈʌɟ
ਕਦ	kˈʌd
ਕਰਜ	kˈʌɾəɟ
ਕਰਮਨ	kˈʌɾəmˌən
ਕਰਲ	kˈʌɾəl
ਖ	kʰˈʌ
ਖੜਗ	kʰˈʌr.əɡ
ਗਰਲਸ	ɡˈʌɾəlˌəs
ਘ	kˈʌ+
ਝੜਨ	cˈʌ+r.ən
ਡਰਨ	ɖˈʌɾən
ਢਕਣ	ʈˈʌ+kəɳ
ਤਤਪਰ	tˈʌtəpˌəɾ
ਤਪਤ	tˈʌpət
ਥ	tʰˈʌ
ਦਰਸਨ	dˈʌɾəsˌən
ਨਰਵ	nˈʌɾəv
ਪਕ	pˈʌk
ਪਰਪਲ	pˈʌɾəpˌəl
ਫਰਬਰ	pʰˈʌɾəbˌəɾ
ਮਰਣ	mˈʌɾəɳ
ਰਚਨ	ɾˈʌcən
ਲਈਏ	ləˈie
ਲਭਣ	lˈʌbʰəɳ
ਵਨਸ	vˈʌnəs
ਸਈ	sˈʌi
ਸਦ	sˈʌd
ਸਰਬਣ	sˈʌɾəbˌəɳ
ਸਰਲਤਮ	sˈʌɾəlˌətəm
ਸਰਵਉਚ	sˈʌɾəvˌəʊc
ਸਰਵਉਤਮ	sˈʌɾəvˌəʊtˌəm
ਸਵਈਏ	sˌəvəˈie
ਹਈ	hˈʌi
ਹਟਣ	hˈʌʈəɳ
ਹਬਲ	hˈʌbəl
ਹਰਟਜ	hˈʌɾəʈˌəɟ
By	(͡e͡n)bˈa͡ɪ(͡p͡a)
CH	(͡e͡n)sˌiːˈe͡ɪt͡ʃ(͡p͡a)
CP	(͡e͡n)sˌiːpˈiː(͡p͡a)
College	(͡e͡n)kˈɒlɪd͡ʒ(͡p͡a)
David	(͡e͡n)dˈe͡ɪvɪd(͡p͡a)
Folklore	(͡e͡n)fˈə͡ʊklɔː(͡p͡a)
ISO	(͡e͡n)ˈa͡ɪzə͡ʊ(͡p͡a)
Institute	(͡e͡n)ˈɪnstɪtjˌuːt(͡p͡a)
Johnson	(͡e͡n)d͡ʒˈɒnsən(͡p͡a)
Man	(͡e͡n)mˈan(͡p͡a)
Martin	(͡e͡n)mˈɑːtɪn(͡p͡a)
Robert	(͡e͡n)ɹˈɒbət(͡p͡a)
Santa	(͡e͡n)sˈantə(͡p͡a)
September	(͡e͡n)sɛptˈɛmbə(͡p͡a)
½	(͡e͡n)ɐ hˈɑːf(͡p͡a)
ਅਜਬ	ˈʌɟəb
ਅਨਯ	ˈʌnəj
ਆਗ	ˈaɡ
ਆਬ	ˈab
ਆਹਰ	ˈahəɾ
ਇਚ	ˈɪc
ਇਟਸ	ˈɪʈəs
ਉ	ˈʊ
ਉਗ	ˈʊɡ
ਏਇਥਰ	ˈeɪtʰˌəɾ
ਐਡਜਸਟ	ˈɛɖəɟˌəsəʈ
ਐਮਐਸ	ˌɛməˈɛs
ਓਰ	ˈoɾ
ਕਢਣ	kˈʌɖʰəɳ
ਕਰਤਵ	kˈʌɾətˌəv
ਕਰਦ	kˈʌɾəd
ਕਰਦਨ	kˈʌɾədˌən
ਖਨਨ	kʰˈʌnən
ਖਰ	kʰˈʌɾ
ਚਮਨ	cˈʌmən
ਚਰ	cˈʌɾ
ਜਗਨ	ɟˈʌɡən
ਝ	cˈʌ+
ਝੜ	cˈʌ+r.
ਢ	ʈˈʌ+
ਢਲਣ	ʈˈʌ+ləɳ
ਦਰਵ	dˈʌɾəv
ਨਣਦ	nˈʌɳəd
ਪਲਟਨ	pˈʌləʈˌən
ਪਲਸਰ	pˈʌləsˌəɾ
ਫ	pʰˈʌ
ਬਟਰਵਰਥ	bˈʌʈəɾˌəvəɾˌətʰ
ਭਦਰ	pˈʌ+dəɾ
ਮਦ	mˈʌd
ਰਤਨਮ	ɾˈʌtənˌəm
ਸਰਸ	sˈʌɾəs
ਸਲਫਰ	sˈʌləpʰˌəɾ
ਸਹਰ	sˈʌhəɾ
ਹਰਬਲ	hˈʌɾəbˌəl
ਹਵਨ	hˈʌvən
ੳ	ˈʊrʌ
