பல	pˈʌlʌ
CE	(͡e͡n)sˈiː(͡t͡a)
Control	(͡e͡n)kəntɹˈə͡ʊl(͡t͡a)
EPA	(͡e͡n)ˈɛpə(͡t͡a)
From	(͡e͡n)fɹɒm(͡t͡a)
GSM	(͡e͡n)d͡ʒˌiːˌɛsˈɛm(͡t͡a)
Hill	(͡e͡n)hˈɪl(͡t͡a)
IIS	(͡e͡n)ˌa͡ɪˌa͡ɪˈɛs(͡t͡a)
IT	(͡e͡n)ˌa͡ɪtˈiː(͡t͡a)
Java	(͡e͡n)d͡ʒˈɑːvə(͡t͡a)
Lake	(͡e͡n)lˈe͡ɪk(͡t͡a)
Lanka	(͡e͡n)lˈaŋkə(͡t͡a)
Liber	(͡e͡n)lˈa͡ɪbə(͡t͡a)
Master	(͡e͡n)mˈastə(͡t͡a)
McG	(͡e͡n)mə(͡t͡a) d͡ʒˈiː
Muhammad	(͡e͡n)məhˈamɪd(͡t͡a)
Music	(͡e͡n)mjˈuːzɪk(͡t͡a)
One	(͡e͡n)wˈɒn(͡t͡a)
Protocol	(͡e͡n)pɹˈə͡ʊtəkˌɒl(͡t͡a)
Revolution	(͡e͡n)ɹˌɛvəlˈuːʃən(͡t͡a)
Saint	(͡e͡n)sˈe͡ɪnt(͡t͡a)
TCP	(͡e͡n)tˌiːsˌiːpˈiː(͡t͡a)
da	(͡e͡n)dˈɑː(͡t͡a)
gene	(͡e͡n)d͡ʒˈiːn(͡t͡a)
mmHg	(͡e͡n)ˌɛmˈɛm ˌe͡ɪt͡ʃd͡ʒˈiː(͡t͡a)
சத	sˈʌdʌ
பழக	pˈʌɻʌɡʌ
Asia	(͡e͡n)ˈe͡ɪʃə(͡t͡a)
Award	(͡e͡n)ɐwˈɔːd(͡t͡a)
CAD	(͡e͡n)kˈad(͡t͡a)
Canon	(͡e͡n)kˈanən(͡t͡a)
Demand	(͡e͡n)dɪmˈand(͡t͡a)
FM	(͡e͡n)ˌɛfˈɛm(͡t͡a)
Federation	(͡e͡n)fˌɛdəɹˈe͡ɪʃən(͡t͡a)
Film	(͡e͡n)fˈɪlm(͡t͡a)
Francis	(͡e͡n)fɹˈansɪs(͡t͡a)
Golden	(͡e͡n)ɡˈə͡ʊldən(͡t͡a)
HTTP	(͡e͡n)ˌe͡ɪt͡ʃtˌiːtˌiːpˈiː(͡t͡a)
Kingdom	(͡e͡n)kˈɪŋdəm(͡t͡a)
Little	(͡e͡n)lˈɪtə͡l(͡t͡a)
Management	(͡e͡n)mˈanɪd͡ʒmənt(͡t͡a)
Maria	(͡e͡n)mɐɹˈiːə(͡t͡a)
Movement	(͡e͡n)mˈuːvmənt(͡t͡a)
Operation	(͡e͡n)ˌɒpəɹˈe͡ɪʃən(͡t͡a)
Our	(͡e͡n)ˌa͡ʊə(͡t͡a)
Police	(͡e͡n)pəlˈiːs(͡t͡a)
Pontificalis	(͡e͡n)pɒntˈɪfɪkˈɑːliz(͡t͡a)
SDK	(͡e͡n)ˌɛsdˌiːkˈe͡ɪ(͡t͡a)
method	(͡e͡n)mˈɛθəd(͡t͡a)
science	(͡e͡n)sˈa͡ɪ͡əns(͡t͡a)
van	(͡e͡n)vˈan(͡t͡a)
ஊக	ˈuːɡʌ
கவன	ɡˈʌvʌnʌ
Africa	(͡e͡n)ˈafɹɪkə(͡t͡a)
CRT	(͡e͡n)sˌiːˌɑːtˈiː(͡t͡a)
Chemical	(͡e͡n)kˈɛmɪkə͡l(͡t͡a)
December	(͡e͡n)dɪsˈɛmbə(͡t͡a)
EOS	(͡e͡n)ɪˈə͡ʊz(͡t͡a)
Elements	(͡e͡n)ˈɛlɪmənts(͡t͡a)
February	(͡e͡n)fˈɛbɹuːəɹi(͡t͡a)
Free	(͡e͡n)fɹˈiː(͡t͡a)
GDP	(͡e͡n)d͡ʒˌiːdˌiːpˈiː(͡t͡a)
Home	(͡e͡n)hˈə͡ʊm(͡t͡a)
July	(͡e͡n)d͡ʒuːlˈa͡ɪ(͡t͡a)
KPMG	(͡e͡n)kˌe͡ɪpˌiːˌɛmd͡ʒˈiː(͡t͡a)
Kerala	(͡e͡n)kˈɛɹələ(͡t͡a)
Lady	(͡e͡n)lˈe͡ɪdi(͡t͡a)
Li	(͡e͡n)lˈa͡ɪ(͡t͡a)
Limited	(͡e͡n)lˈɪmɪtɪd(͡t͡a)
Manual	(͡e͡n)mˈanjuːə͡l(͡t͡a)
NADH	(͡e͡n)nˈad(͡t͡a)
North	(͡e͡n)nˈɔːθ(͡t͡a)
Nuclear	(͡e͡n)njˈuːkli͡ə(͡t͡a)
Part	(͡e͡n)pˈɑːt(͡t͡a)
Physics	(͡e͡n)fˈɪzɪks(͡t͡a)
RAM	(͡e͡n)ɹˈam(͡t͡a)
SOAP	(͡e͡n)sˈə͡ʊp(͡t͡a)
UNICEF	(͡e͡n)jˈuːnɪsˌɛf(͡t͡a)
West	(͡e͡n)wˈɛst(͡t͡a)
line	(͡e͡n)lˈa͡ɪn(͡t͡a)
state	(͡e͡n)stˈe͡ɪt(͡t͡a)
zone	(͡e͡n)zˈə͡ʊn(͡t͡a)
ஆல	ˈaːlʌ
உவம	ˈuvʌmʌ
கனக	kˈʌnʌɡʌ
தடய	tˈʌɖʌjʌ
மக	mˈʌɡʌ
மட	mˈʌɖʌ
Age	(͡e͡n)ˈe͡ɪd͡ʒ(͡t͡a)
Alfred	(͡e͡n)ˈalfɹɪd(͡t͡a)
Arthur	(͡e͡n)ˈɑːθə(͡t͡a)
Books	(͡e͡n)bˈʊks(͡t͡a)
China	(͡e͡n)t͡ʃˈa͡ɪnə(͡t͡a)
Club	(͡e͡n)klˈʌb(͡t͡a)
Fe	(͡e͡n)fˈiː(͡t͡a)
Fort	(͡e͡n)fˈɔːt(͡t͡a)
God	(͡e͡n)ɡˈɒd(͡t͡a)
ISP	(͡e͡n)ˌa͡ɪˌɛspˈiː(͡t͡a)
Imperial	(͡e͡n)ɪmpˈi͡əɹiə͡l(͡t͡a)
Jesus	(͡e͡n)d͡ʒˈiːzəs(͡t͡a)
Johann	(͡e͡n)jˈə͡ʊhan(͡t͡a)
Kamath	(͡e͡n)kˈamaθ(͡t͡a)
LDL	(͡e͡n)ˌɛldˌiːˈɛl(͡t͡a)
MIT	(͡e͡n)ˌɛmˌa͡ɪtˈiː(͡t͡a)
MRI	(͡e͡n)ˌɛmˌɑːɹˈa͡ɪ(͡t͡a)
Mount	(͡e͡n)mˈa͡ʊnt(͡t͡a)
NBC	(͡e͡n)ˌɛnbˌiːsˈiː(͡t͡a)
Paris	(͡e͡n)pˈaɹɪs(͡t͡a)
Project	(͡e͡n)pɹˈɒd͡ʒɛkt(͡t͡a)
Published	(͡e͡n)pˈʌblɪʃt(͡t͡a)
Roman	(͡e͡n)ɹˈə͡ʊmən(͡t͡a)
Rural	(͡e͡n)ɹˈʊ͡əɹə͡l(͡t͡a)
Si	(͡e͡n)sˈiː(͡t͡a)
Trust	(͡e͡n)tɹˈʌst(͡t͡a)
XII	(͡e͡n)ɹˌə͡ʊmən twˈɛlv(͡t͡a)
Year	(͡e͡n)jˈi͡ə(͡t͡a)
mRNA	ˈɛm (͡e͡n)ˌɑːɹˌɛnˈe͡ɪ(͡t͡a)
mate	(͡e͡n)mˈe͡ɪt(͡t͡a)
matrix	(͡e͡n)mˈe͡ɪtɹɪks(͡t͡a)
network	(͡e͡n)nˈɛtwɜːk(͡t͡a)
therapy	(͡e͡n)θˈɛɹəpi(͡t͡a)
ல	lˈʌ
ABB	(͡e͡n)ˈab(͡t͡a)
AM	(͡e͡n)am(͡t͡a)
Abdul	(͡e͡n)ˈabdʊl(͡t͡a)
All	(͡e͡n)ˈɔːl(͡t͡a)
Analysis	(͡e͡n)ɐnˈaləsˌɪs(͡t͡a)
Auto	(͡e͡n)ˈɔːtə͡ʊ(͡t͡a)
Co	(͡e͡n)kˈə͡ʊ(͡t͡a)
DFT	(͡e͡n)dˌiːˌɛftˈiː(͡t͡a)
Daniel	(͡e͡n)dˈanjə͡l(͡t͡a)
EA	(͡e͡n)ˈiː(͡t͡a)
El	(͡e͡n)ˌɛl(͡t͡a)
FDA	(͡e͡n)ˌɛfdˌiːˈe͡ɪ(͡t͡a)
GPRS	(͡e͡n)d͡ʒˌiːpˌiːˌɑːɹˈɛs(͡t͡a)
Gandhi	(͡e͡n)ɡˈɑːndi(͡t͡a)
Gazetteer	(͡e͡n)ɡəzɪtˈi͡ə(͡t͡a)
Global	(͡e͡n)ɡlˈə͡ʊbə͡l(͡t͡a)
Greenwood	(͡e͡n)ɡɹˈiːnwʊd(͡t͡a)
Holy	(͡e͡n)hˈə͡ʊli(͡t͡a)
Jacob	(͡e͡n)d͡ʒˈe͡ɪkəb(͡t͡a)
Lawrence	(͡e͡n)lˈɒɹəns(͡t͡a)
Library	(͡e͡n)lˈa͡ɪbɹəɹi(͡t͡a)
MGM	(͡e͡n)ˌɛmd͡ʒˌiːˈɛm(͡t͡a)
Mark	(͡e͡n)mˈɑːk(͡t͡a)
NSS	(͡e͡n)ˌɛnˌɛsˈɛs(͡t͡a)
ST	(͡e͡n)sənt(͡t͡a)
Star	(͡e͡n)stˈɑː(͡t͡a)
Stephen	(͡e͡n)stˈiːvən(͡t͡a)
Story	(͡e͡n)stˈɔːɹi(͡t͡a)
Vietnam	(͡e͡n)vˌiːətnˈɑːm(͡t͡a)
di	(͡e͡n)dˌɪ(͡t͡a)
engineering	(͡e͡n)ˌɛnd͡ʒɪnˈi͡əɹɪŋ(͡t͡a)
field	(͡e͡n)fˈiːld(͡t͡a)
mm	(͡e͡n)ˌɛmˈɛm(͡t͡a)
ppm	(͡e͡n)pˌiːpˌiːˈɛm(͡t͡a)
rate	(͡e͡n)ɹˈe͡ɪt(͡t͡a)
இல	ˈilʌ
ய	jˈʌ
வண	vˈʌɳʌ
ABO	(͡e͡n)ɐbˈə͡ʊ(͡t͡a)
AU	(͡e͡n)ˌə͡ʊ(͡t͡a)
Academy	(͡e͡n)ɐkˈadəmi(͡t͡a)
Administration	(͡e͡n)ɐdmˌɪnɪstɹˈe͡ɪʃən(͡t͡a)
Advanced	(͡e͡n)ɐdvˈanst(͡t͡a)
Architecture	(͡e͡n)ˈɑːkɪtˌɛkt͡ʃə(͡t͡a)
As	(͡e͡n)az(͡t͡a)
By	(͡e͡n)bˈa͡ɪ(͡t͡a)
CBS	(͡e͡n)sˌiːbˌiːˈɛs(͡t͡a)
Carl	(͡e͡n)kˈɑːl(͡t͡a)
Cu	(͡e͡n)kˈuː(͡t͡a)
Cup	(͡e͡n)kˈʌp(͡t͡a)
Earnshaw	(͡e͡n)ˈɜːnʃɔː(͡t͡a)
IKEA	(͡e͡n)a͡ɪkˈiːə(͡t͡a)
IRS	(͡e͡n)ˌa͡ɪˌɑːɹˈɛs(͡t͡a)
Inc	(͡e͡n)ˈɪŋk(͡t͡a)
LAN	(͡e͡n)lˈan(͡t͡a)
Le	(͡e͡n)lə(͡t͡a)
MW	(͡e͡n)ˌɛmdˈʌbə͡ljˌuː(͡t͡a)
Mac	(͡e͡n)mˈak(͡t͡a)
Medicine	(͡e͡n)mˈɛdsən(͡t͡a)
Mg	(͡e͡n)ˌɛmd͡ʒˈiː(͡t͡a)
NBA	(͡e͡n)ˌɛnbˌiːˈe͡ɪ(͡t͡a)
Of	(͡e͡n)ɒv(͡t͡a)
Office	(͡e͡n)ˈɒfɪs(͡t͡a)
PLM	(͡e͡n)pˌiːˌɛlˈɛm(͡t͡a)
Peace	(͡e͡n)pˈiːs(͡t͡a)
Pope	(͡e͡n)pˈə͡ʊp(͡t͡a)
Post	(͡e͡n)pˈə͡ʊst(͡t͡a)
Prize	(͡e͡n)pɹˈa͡ɪz(͡t͡a)
Publishing	(͡e͡n)pˈʌblɪʃɪŋ(͡t͡a)
RO	(͡e͡n)ɹˈə͡ʊ(͡t͡a)
Raja	(͡e͡n)ɹˈɑːd͡ʒə(͡t͡a)
Reddy	(͡e͡n)ɹˈɛdi(͡t͡a)
Review	(͡e͡n)ɹɪvjˈuː(͡t͡a)
SQL	(͡e͡n)ˌɛskjˌuːˈɛl(͡t͡a)
Santa	(͡e͡n)sˈantə(͡t͡a)
States	(͡e͡n)stˈe͡ɪts(͡t͡a)
UVB	(͡e͡n)ˈʌvb(͡t͡a)
Virtual	(͡e͡n)vˈɜːt͡ʃuːə͡l(͡t͡a)
Water	(͡e͡n)wˈɔːtə(͡t͡a)
Western	(͡e͡n)wˈɛstən(͡t͡a)
art	(͡e͡n)ˈɑːt(͡t͡a)
day	(͡e͡n)dˈe͡ɪ(͡t͡a)
kHz	kˈeːj (͡e͡n)ˌe͡ɪt͡ʃzˈɛd(͡t͡a)
km²	(͡e͡n)skwˌe͡əkɪlˈɒmɪtəz(͡t͡a)
mph	(͡e͡n)ˌɛmpˌiːˈe͡ɪt͡ʃ(͡t͡a)
pages	(͡e͡n)pˈe͡ɪd͡ʒɪz(͡t͡a)
series	(͡e͡n)sˈi͡əɹiz(͡t͡a)
sp	(͡e͡n)ˌɛspˈiː(͡t͡a)
space	(͡e͡n)spˈe͡ɪs(͡t͡a)
ƒ	(͡e͡n)kurijzˌɔːɹɑːˈonrɑːˈonbdɔːɹɑːirdɳˈɔːɹɑː(͡t͡a)
γ	(͡e͡l)ɣˈama(͡t͡a)
δ	(͡e͡l)ðˈelta(͡t͡a)
ஔ	ˈa͡ʊ
யவன	jˈʌvʌnʌ
ழ	ɻˈʌ
Airport	(͡e͡n)ˈe͡əpɔːt(͡t͡a)
Asian	(͡e͡n)ˈe͡ɪʒən(͡t͡a)
Bay	(͡e͡n)bˈe͡ɪ(͡t͡a)
Big	(͡e͡n)bˈɪɡ(͡t͡a)
Bill	(͡e͡n)bˈɪl(͡t͡a)
CT	(͡e͡n)sˌiːtˈiː(͡t͡a)
Chandra	(͡e͡n)t͡ʃˈʌndɹə(͡t͡a)
Committee	(͡e͡n)kəmˈɪti(͡t͡a)
Data	(͡e͡n)dˈe͡ɪtə(͡t͡a)
European	(͡e͡n)jˌʊ͡əɹəpˈi͡ən(͡t͡a)
Jan	(͡e͡n)d͡ʒˈan(͡t͡a)
June	(͡e͡n)d͡ʒˈuːn(͡t͡a)
Knight	(͡e͡n)nˈa͡ɪt(͡t͡a)
Krishna	(͡e͡n)kɹˈɪʃnə(͡t͡a)
Lehman	(͡e͡n)lˈe͡ɪmən(͡t͡a)
Lewis	(͡e͡n)lˈuːɪs(͡t͡a)
Light	(͡e͡n)lˈa͡ɪt(͡t͡a)
Memory	(͡e͡n)mˈɛməɹi(͡t͡a)
NT	(͡e͡n)ˌɛntˈiː(͡t͡a)
PD	(͡e͡n)pˌiːdˈiː(͡t͡a)
PM	(͡e͡n)pˌiːˈɛm(͡t͡a)
PSTN	(͡e͡n)pˌiːˌɛstˌiːˈɛn(͡t͡a)
Pb	(͡e͡n)pˌiːbˈiː(͡t͡a)
Period	(͡e͡n)pˈi͡əɹɪəd(͡t͡a)
Perl	(͡e͡n)pˈɜːl(͡t͡a)
SEO	(͡e͡n)sˈiːə͡ʊ(͡t͡a)
Server	(͡e͡n)sˈɜːvə(͡t͡a)
Smith	(͡e͡n)smˈɪθ(͡t͡a)
Software	(͡e͡n)sˈɒftwe͡ə(͡t͡a)
Special	(͡e͡n)spˈɛʃə͡l(͡t͡a)
Thanjavur	(͡e͡n)θˈand͡ʒɐvˌɜː(͡t͡a)
USD	jˈues dˈolʌz
Valley	(͡e͡n)vˈalɪ(͡t͡a)
Walter	(͡e͡n)wˈɒltə(͡t͡a)
Zn	(͡e͡n)zˌɛdˈɛn(͡t͡a)
amp	(͡e͡n)ˈamp(͡t͡a)
area	(͡e͡n)ˈe͡əɹi͡ə(͡t͡a)
en	(͡e͡n)ˈɛn(͡t͡a)
minor	(͡e͡n)mˈa͡ɪnə(͡t͡a)
per	(͡e͡n)pɜː(͡t͡a)
period	(͡e͡n)pˈi͡əɹɪəd(͡t͡a)
value	(͡e͡n)vˈaljuː(͡t͡a)
vol	(͡e͡n)vˈɒl(͡t͡a)
w	dˈʌbʌljuː
²	ˈiɹʌɳɖʉ
வரத	vˈʌɹʌdʌ
AG	(͡e͡n)ˈaɡ(͡t͡a)
ARM	(͡e͡n)ˈɑːm(͡t͡a)
Alexander	(͡e͡n)ˌalɪɡzˈandə(͡t͡a)
Army	(͡e͡n)ˈɑːmi(͡t͡a)
Article	(͡e͡n)ˈɑːtɪkə͡l(͡t͡a)
Assembly	(͡e͡n)ɐsˈɛmblɪ(͡t͡a)
Bitcoin	(͡e͡n)bˈɪtkɔ͡ɪn(͡t͡a)
Cathedral	(͡e͡n)kɐθˈiːdɹə͡l(͡t͡a)
Cell	(͡e͡n)sˈɛl(͡t͡a)
Chinese	(͡e͡n)t͡ʃa͡ɪnˈiːz(͡t͡a)
Dam	(͡e͡n)dˈam(͡t͡a)
Days	(͡e͡n)dˈe͡ɪz(͡t͡a)
Economics	(͡e͡n)ˌiːkənˈɒmɪks(͡t͡a)
Express	(͡e͡n)ɛkspɹˈɛs(͡t͡a)
FC	(͡e͡n)ˌɛfsˈiː(͡t͡a)
FRS	(͡e͡n)ˌɛfˌɑːɹˈɛs(͡t͡a)
For	(͡e͡n)fɔː(͡t͡a)
Green	(͡e͡n)ɡɹˈiːn(͡t͡a)
Heritage	(͡e͡n)hˈɛɹɪtɪd͡ʒ(͡t͡a)
Hg	(͡e͡n)ˌe͡ɪt͡ʃd͡ʒˈiː(͡t͡a)
Hong	(͡e͡n)hˈɒŋ(͡t͡a)
ITIL	(͡e͡n)ˈɪtɪl(͡t͡a)
Jain	(͡e͡n)d͡ʒˈe͡ɪn(͡t͡a)
LED	(͡e͡n)lˈɛd(͡t͡a)
Mk	(͡e͡n)ˌɛmkˈe͡ɪ(͡t͡a)
Mohammad	(͡e͡n)mə͡ʊhˈamɪd(͡t͡a)
NAAC	(͡e͡n)nˈɑːk(͡t͡a)
NGC	(͡e͡n)ˌɛnd͡ʒˌiːsˈiː(͡t͡a)
NaOH	(͡e͡n)nˈɑːɹ ˈə͡ʊ(͡t͡a)
Nations	(͡e͡n)nˈe͡ɪʃənz(͡t͡a)
Ni	(͡e͡n)nˈa͡ɪ(͡t͡a)
Official	(͡e͡n)əfˈɪʃə͡l(͡t͡a)
Oriental	(͡e͡n)ˌɔːɹɪˈɛntə͡l(͡t͡a)
PO	(͡e͡n)pˈə͡ʊ(͡t͡a)
Philosophical	(͡e͡n)fˌɪləsˈɒfɪkə͡l(͡t͡a)
Philosophy	(͡e͡n)fɪlˈɒsəfi(͡t͡a)
Poetry	(͡e͡n)pˈə͡ʊɪtɹi(͡t͡a)
Protection	(͡e͡n)pɹətˈɛkʃən(͡t͡a)
RC	(͡e͡n)ˌɑːsˈiː(͡t͡a)
ROM	(͡e͡n)ɹˈɒm(͡t͡a)
SH	(͡e͡n)ˌɛsˈe͡ɪt͡ʃ(͡t͡a)
Sarah	(͡e͡n)sˈe͡əɹə(͡t͡a)
Solar	(͡e͡n)sˈə͡ʊlə(͡t͡a)
Standard	(͡e͡n)stˈandəd(͡t͡a)
Street	(͡e͡n)stɹˈiːt(͡t͡a)
Study	(͡e͡n)stˈʌdi(͡t͡a)
UGC	(͡e͡n)ˈʌɡk(͡t͡a)
Wilson	(͡e͡n)wˈɪlsən(͡t͡a)
chemistry	(͡e͡n)kˈɛmɪstɹi(͡t͡a)
complex	(͡e͡n)kˈɒmplɛks(͡t͡a)
control	(͡e͡n)kəntɹˈə͡ʊl(͡t͡a)
del	(͡e͡n)dˈɛl(͡t͡a)
family	(͡e͡n)fˈamɪli(͡t͡a)
group	(͡e͡n)ɡɹˈuːp(͡t͡a)
mass	(͡e͡n)mˈas(͡t͡a)
see	(͡e͡n)sˈiː(͡t͡a)
up	(͡e͡n)ˈʌp(͡t͡a)
war	(͡e͡n)wˈɔː(͡t͡a)
λ	(͡e͡l)lˈamða(͡t͡a)
ஔடவ	ˈa͡ʊɖʌvʌ
சயன	sˈʌjʌnʌ
சரவண	sˈʌɹʌvˌʌɳʌ
தச	tˈʌsʌ
தசரத	dˈʌsʌɹˌʌdʌ
நட	nˈʌɖʌ
AA	(͡e͡n)ˈɑː(͡t͡a)
ADSL	(͡e͡n)ˌe͡ɪdˌiːˌɛsˈɛl(͡t͡a)
Anna	(͡e͡n)ˈanə(͡t͡a)
BA	(͡e͡n)bˈɑː(͡t͡a)
BJT	(͡e͡n)bˌiːd͡ʒˌe͡ɪtˈiː(͡t͡a)
BRI	(͡e͡n)bɹˈa͡ɪ(͡t͡a)
Bureau	(͡e͡n)bjˈʊ͡əɹə͡ʊ(͡t͡a)
CERN	(͡e͡n)sˈɜːn(͡t͡a)
CRC	(͡e͡n)sˌiːˌɑːsˈiː(͡t͡a)
CW	(͡e͡n)sˌiːdˈʌbə͡ljˌuː(͡t͡a)
Chennai	(͡e͡n)t͡ʃˈɛna͡ɪ(͡t͡a)
Daily	(͡e͡n)dˈe͡ɪli(͡t͡a)
Das	(͡e͡n)dˈas(͡t͡a)
Elizabeth	(͡e͡n)ɪlˈɪzəbəθ(͡t͡a)
Encyclopaedia	(͡e͡n)ɛnsˌa͡ɪkləpˈiːdi͡ə(͡t͡a)
Festival	(͡e͡n)fˈɛstɪvə͡l(͡t͡a)
Field	(͡e͡n)fˈiːld(͡t͡a)
Ford	(͡e͡n)fˈɔːd(͡t͡a)
GHz	(͡e͡n)ɡˈɪɡəhˌɜːts(͡t͡a)
GUI	(͡e͡n)ɡˈuːi(͡t͡a)
IAF	(͡e͡n)ˈa͡ɪaf(͡t͡a)
ICC	(͡e͡n)ˈa͡ɪk(͡t͡a)
Islam	(͡e͡n)ɪslˈɑːm(͡t͡a)
Ka	(͡e͡n)kˈɑː(͡t͡a)
LLC	(͡e͡n)ˌɛlˌɛlsˈiː(͡t͡a)
Last	(͡e͡n)lˈast(͡t͡a)
Literature	(͡e͡n)lˈɪtɹɪt͡ʃə(͡t͡a)
Lord	(͡e͡n)lˈɔːd(͡t͡a)
MBA	(͡e͡n)ˌɛmbˌiːˈe͡ɪ(͡t͡a)
MD	(͡e͡n)ˌɛmdˈiː(͡t͡a)
MOID	(͡e͡n)mˈɔ͡ɪd(͡t͡a)
MS	(͡e͡n)ˌɛmˈɛs(͡t͡a)
Malaysia	(͡e͡n)məlˈe͡ɪzi͡ə(͡t͡a)
Mission	(͡e͡n)mˈɪʃən(͡t͡a)
Model	(͡e͡n)mˈɒdə͡l(͡t͡a)
OR	(͡e͡n)ɔː(͡t͡a)
Old	(͡e͡n)ˈə͡ʊld(͡t͡a)
Pillai	(͡e͡n)pˈɪla͡ɪ(͡t͡a)
Point	(͡e͡n)pˈɔ͡ɪnt(͡t͡a)
RSS	(͡e͡n)ˌɑːɹˌɛsˈɛs(͡t͡a)
Radio	(͡e͡n)ɹˈe͡ɪdɪˌə͡ʊ(͡t͡a)
Samuel	(͡e͡n)sˈamjuːl(͡t͡a)
Sanctuary	(͡e͡n)sˈaŋktjuːəɹi(͡t͡a)
Scrivener	(͡e͡n)skɹˈɪvənə(͡t͡a)
Security	(͡e͡n)sɪkjˈʊ͡əɹɪti(͡t͡a)
Singapore	(͡e͡n)sˈɪŋɡɐpˌɔː(͡t͡a)
Station	(͡e͡n)stˈe͡ɪʃən(͡t͡a)
Studies	(͡e͡n)stˈʌdiz(͡t͡a)
TNT	(͡e͡n)tˌiːˌɛntˈiː(͡t͡a)
Two	(͡e͡n)tˈuː(͡t͡a)
UI	(͡e͡n)jˌuːˈa͡ɪ(͡t͡a)
URL	(͡e͡n)jˌuːˌɑːɹˈɛl(͡t͡a)
Wilhelm	(͡e͡n)wˈɪlhɛlm(͡t͡a)
XIII	(͡e͡n)ɹˌə͡ʊmən θˈɜːtiːn(͡t͡a)
XP	(͡e͡n)ˌɛkspˈiː(͡t͡a)
absolute	(͡e͡n)ˈabsəlˌuːt(͡t͡a)
abstract	(͡e͡n)ˈabstɹakt(͡t͡a)
common	(͡e͡n)kˈɒmən(͡t͡a)
cycle	(͡e͡n)sˈa͡ɪkə͡l(͡t͡a)
force	(͡e͡n)fˈɔːs(͡t͡a)
knot	(͡e͡n)nˈɒt(͡t͡a)
life	(͡e͡n)lˈa͡ɪf(͡t͡a)
light	(͡e͡n)lˈa͡ɪt(͡t͡a)
mi	(͡e͡n)mˈa͡ɪ(͡t͡a)
people	(͡e͡n)pˈiːpə͡l(͡t͡a)
power	(͡e͡n)pˈa͡ʊə(͡t͡a)
red	(͡e͡n)ɹˈɛd(͡t͡a)
synthesis	(͡e͡n)sˈɪnθəsˌɪs(͡t͡a)
type	(͡e͡n)tˈa͡ɪp(͡t͡a)
vector	(͡e͡n)vˈɛktə(͡t͡a)
ஏவ	ʲˈeːvʌ
தகன	dˈʌɡʌnʌ
ALT	(͡e͡n)ˈɒlt(͡t͡a)
ASCII	(͡e͡n)ˈaskɪ(͡t͡a)
Action	(͡e͡n)ˈakʃən(͡t͡a)
African	(͡e͡n)ˈafɹɪkən(͡t͡a)
Apple	(͡e͡n)ˈapə͡l(͡t͡a)
Au	(͡e͡n)ˌə͡ʊ(͡t͡a)
Authority	(͡e͡n)ɐθˈɒɹɪti(͡t͡a)
Bachelor	(͡e͡n)bˈat͡ʃələ(͡t͡a)
Business	(͡e͡n)bˈɪznəs(͡t͡a)
Civil	(͡e͡n)sˈɪvə͡l(͡t͡a)
Class	(͡e͡n)klˈas(͡t͡a)
Court	(͡e͡n)kˈɔːt(͡t͡a)
Dance	(͡e͡n)dˈans(͡t͡a)
Death	(͡e͡n)dˈɛθ(͡t͡a)
Department	(͡e͡n)dɪpˈɑːtmənt(͡t͡a)
ECW	(͡e͡n)ˈɛkwə(͡t͡a)
EEG	(͡e͡n)ˈiːɡ(͡t͡a)
EPOC	(͡e͡n)ˈɛpɒk(͡t͡a)
Economic	(͡e͡n)ˌiːkənˈɒmɪk(͡t͡a)
Edition	(͡e͡n)ɪdˈɪʃən(͡t͡a)
Environment	(͡e͡n)ɛnvˈa͡ɪɹənmənt(͡t͡a)
FBI	(͡e͡n)ˌɛfbˌiːˈa͡ɪ(͡t͡a)
Family	(͡e͡n)fˈamɪli(͡t͡a)
Fire	(͡e͡n)fˈa͡ɪ͡ə(͡t͡a)
Garden	(͡e͡n)ɡˈɑːdən(͡t͡a)
Giovanni	(͡e͡n)d͡ʒəvˈɑːni(͡t͡a)
Gupta	(͡e͡n)ɡˈʊptə(͡t͡a)
ICT	(͡e͡n)ˈa͡ɪkt(͡t͡a)
IETF	(͡e͡n)ˌa͡ɪˌiːtˌiːˈɛf(͡t͡a)
IR	(͡e͡n)ˈɜː(͡t͡a)
Ibn	(͡e͡n)ˈɪbən(͡t͡a)
Ice	(͡e͡n)ˈa͡ɪs(͡t͡a)
Lee	(͡e͡n)lˈiː(͡t͡a)
Magazine	(͡e͡n)mˌaɡɐzˈiːn(͡t͡a)
Method	(͡e͡n)mˈɛθəd(͡t͡a)
Mn	(͡e͡n)ˌɛmˈɛn(͡t͡a)
Mo	(͡e͡n)mˈə͡ʊ(͡t͡a)
OC	(͡e͡n)ˈɒk(͡t͡a)
OSI	(͡e͡n)ˈə͡ʊsi(͡t͡a)
Organization	(͡e͡n)ˌɔːɡɐna͡ɪzˈe͡ɪʃən(͡t͡a)
PA	(͡e͡n)pˈɑː(͡t͡a)
PCB	(͡e͡n)pˌiːsˌiːbˈiː(͡t͡a)
PID	(͡e͡n)pˈɪd(͡t͡a)
Physical	(͡e͡n)fˈɪzɪkə͡l(͡t͡a)
Presidency	(͡e͡n)pɹˈɛzɪdənsi(͡t͡a)
Provincial	(͡e͡n)pɹəvˈɪnʃə͡l(͡t͡a)
Republic	(͡e͡n)ɹɪpˈʌblɪk(͡t͡a)
Rice	(͡e͡n)ɹˈa͡ɪs(͡t͡a)
